CONCEPTICON_ID	MRC_WORD	AGE_OF_ACQUISITION	CONCRETENESS	FAMILIARITY	IMAGABILITY	KUCERA_FRANCIS_FREQUENCY
228	CARVE					3
230	SWEEP	281	476	495	513	15
231	SHAVE					6
232	FLEA		625	515	606	2
234	PADDLE					1
236	STEPMOTHER					3
239	FLOWER		584	566	618	23
240	ELECTION	528	343	535	435	77
242	COST		348	589	401	229
243	FRESH			576	453	82
244	LEFT		341	592	383	480
245	BROOM		613	547	608	2
246	THRUST					22
247	TAN					9
248	HAPPEN					63
249	FOG		556	546	606	25
250	LIGHT		550	575	542	333
251	SHARPEN					1
252	FRIGHTEN					11
254	STICKING					8
255	SERVANT	406	515	437	508	19
256	FOOD		597	579	539	147
257	WORSHIP					36
258	CALM		360	547	439	35
259	ROUGH		452	557	491	41
263	HERDSMAN	458	543	356	500	
265	FOWL		532	452	528	1
266	SCALE	397	475	523	463	60
270	JUG			498		6
271	SAUCER		606	533	544	
272	TONGS					1
273	DOUGH	369	627	474	558	13
274	KNEAD					1
275	PEEL		432	507	436	3
277	SPINDLE					8
278	AWL		413	257	292	
281	POST	306	533	586	518	84
282	POLE		577	510	579	18
284	HOE		537	489	525	
287	CONE	275	573	506	559	13
288	FORGE					10
289	MOLD		486	503	454	45
290	ADZE		283	138	256	
292	RUG	233	611	557	591	13
296	CROUCH					7
297	CROOKED		387	487	487	3
298	SHRIEK	406	481	458	515	5
300	RATTLE	261	549	448	554	5
301	CHIEFTAIN					4
302	CLAN					2
304	PREACH					8
307	HAWK		623	504	591	14
319	LICK					3
320	LAME					2
321	CHEW		442	570	527	2
322	FIG					72
323	FAT	236	540	609	574	60
325	FELT		437	504	483	357
326	CLOAK		543	423	518	3
327	PONCHO					3
329	STOCKING		551	516	555	1
332	RAG					10
333	PLAIT		353	216	319	
336	PADLOCK			387	523	2
337	PITCHFORK					2
338	RAKE	336	597	476	550	11
340	LASSO					2
342	HAY	297	623	486	597	19
343	VINE	425	601	411	564	4
345	SAP	464	540	377	451	1
347	SORGHUM					3
352	UNTIE					2
353	STRIKE					50
354	POUND	308	515	618	553	28
359	POTTER					4
361	PEG		537	462	538	4
362	STRING		570	566	556	19
363	DWELL					8
364	SMEAR		355	480	415	2
365	SPLASH					3
366	LIMP		481	494	512	12
367	RIDE		424	576	483	49
369	OWE					10
372	POINTED					74
375	SNIFF					2
376	FRAGRANT					3
377	LOUD		413	577	448	20
378	PINCH					6
379	BLUNT			434	404	9
380	WRINKLED					12
381	BLAME	328	293	541	356	34
382	GOVERN					7
383	MASTER		498	495	495	72
384	FREEMAN					11
385	RESPECT	433	280	571	343	125
387	SLING					1
390	PUNISHMENT	342	358	515	418	21
391	BLESS					9
392	MAGIC	281	257	481	458	37
393	CIRCUMCISION					1
395	PILL		610	556	580	15
396	TABLET					3
398	PIERCE					6
399	PLANTAIN					1
402	SURPASS					1
404	ALCOHOL		618	578	598	13
411	GOURD					2
416	OUTRIGGER					3
419	SEVERE		286	526	352	39
420	FOREST	297	609	513	633	66
421	RETREAT	431	367	479	408	14
422	NECESSITY	511	273	521	306	40
430	TWIST		423	510	529	18
443	TIP	328	459	493	483	22
460	BREAK		360	529	398	88
462	WRAPPER					2
463	FELL		407	546	431	92
469	PANDANUS					1
470	POSSUM					2
473	SPEAR		584	513	545	7
474	DRESS	222	595	588	595	67
475	UNTRUTH					2
476	CUP		539	595	558	45
477	LATE		262	584	387	179
478	LIP		590	568	619	18
479	GROW		409	562	371	63
480	PLATE		595	556	527	22
481	DISH					16
482	NOBLE			410	383	23
483	COMPOUND					11
484	CONDEMN		314	500	349	4
485	DISAPPEAR					11
486	MINISTER	342	563	500	584	61
487	SHY					13
488	MANNER		297	546	342	124
489	KIDNEY					6
491	CENTER		371	540	459	224
492	THREE		439	581	495	610
493	FIVE		365	553	529	286
494	FLIRT					1
495	REVENGE	467	305	489	429	7
496	CUCUMBER		653	536	623	
497	SCAR		552	529	565	10
499	CURE	350	352	526	397	28
500	CRUEL		367	521	422	15
501	LIFT	311	461	555	482	23
502	NAIL	272	598	563	588	6
503	FROG	258	619	507	617	1
504	LEARN		370	552	361	84
506	MAIZE		453	334	420	
507	MELON			441		1
508	PERIOD	458	358	573	429	265
509	CERTAIN					313
516	PERSON		562	620	562	175
518	SPARK		526	505	539	12
519	SPOT	261	512	560	507	57
520	MANZANITA					1
522	WOLF		595	537	610	6
526	HOWL	269	434	447	536	4
528	DREADFUL					10
529	FLANK					2
533	GLUTTON		498	430	548	
534	HUMP	369	507	439	515	2
535	INFLATED					3
538	MULTITUDE	494	361	447	436	3
539	NEST		557	521	571	20
540	PALATE					2
541	POETRY	386	425	512	486	88
542	SCANTY					4
544	SPICY		478	509	494	1
545	SPRUCE		568	499	532	5
546	SUCKER		404	492	419	
547	SURFACE	378	447	573	453	200
550	DILUTE					1
557	OFFEND		321	498	372	4
559	BROTHER	219	585	598	589	73
560	BROTHER	219	585	598	589	73
561	SISTER		575	588	613	38
562	SISTER		575	588	613	38
563	YOUNG			609	521	385
564	YOUNG			609	521	385
565	OLD		349	616	478	660
566	OLD		349	616	478	660
567	REBEL	461	439	448	497	18
568	RISE		368	546	451	102
569	SPOIL					3
571	STING	261	509	480	553	5
573	SWAY					5
574	TRANSIT					16
575	TREAD					5
576	DANDRUFF		546	495	554	
577	FOREFINGER					6
578	KISS		564	592	633	17
579	BATTLE		564	537	597	87
580	FUR		601	530	588	13
582	LEND			566	327	14
584	DIFFICULT					161
585	BOOT	251	595	566	604	13
586	GARDEN	186	602	567	635	60
587	ANT		604	511	613	6
588	BROKEN		383	576	469	63
589	CLOSED					106
590	NAKED					32
591	ADDRESS					77
592	PISS					1
593	POTATO	233	629	612	617	15
594	PIECE		384	511	395	129
597	PHYSICIAN	561	573	472	572	14
598	SHELL		597	524	581	22
600	STRANGE			606	378	84
601	LIE	250	357	548	385	59
602	HIDE	256	451	515	430	22
603	COAT	197	601	610	572	43
604	GLASS		635	611	585	99
605	GRAIN					27
606	GRASS		599	587	602	53
607	GRASSHOPPER		660	507	630	
608	GULF	456	449	406	491	22
609	HAIL	354	502	440	477	10
610	PORT	372	531	481	546	21
611	HARVEST	322	535	466	562	12
612	HEAT	278	472	580	507	97
614	HILL	256	588	585	607	72
615	HORSE		613	560	624	117
616	HOSPITAL	319	584	548	602	110
617	ICE	261	621	564	635	45
618	PRECIPICE					1
619	ANIMAL	222	587	620	575	68
620	INSECT	283	593	542	586	14
621	IRON	281	584	555	561	43
622	ISLAND	289	596	507	643	167
623	LAGOON					15
624	LAKE		585	583	616	54
625	LAMP	283	615	578	575	18
626	LAND	286	604	574	566	217
627	LEAD	400	543	526	488	129
628	LEAF		593	556	608	12
629	LEATHER		575	571	586	24
630	LIGHT		550	575	542	333
632	LIZARD		588	483	632	
633	MARKET	328	551	518	583	155
634	MEAT		587	589	618	45
635	MILK		670	588	638	49
636	MILL					11
637	MOSS		575	436	569	9
639	MOUNTAIN	283	616	574	629	33
640	MUD	239	605	519	582	32
641	MUSHROOM					2
642	MUSIC	272	512	599	549	216
643	NEED		314	589	327	360
644	OAK	311	588	515	590	15
645	OCEAN	317	593	526	623	34
646	ASH	343	583	494	553	11
647	PAINT		577	551	567	37
648	PAPER	229	599	635	590	157
649	PASTURE	386	562	414	562	14
650	PETROLEUM					1
651	SEAL	328	587	482	563	17
652	PLAIN	361	426	551	463	48
653	PLANT		594	592	605	125
654	PLASTIC					31
655	POISON	364	527	504	513	10
656	POLICE					155
657	PRICE					108
658	RAIN	211	600	604	618	70
659	REED	369	564	430	520	5
660	REEF					11
661	RELIGION		375	565	434	119
662	BATTERY					18
663	BAY	336	580	474	570	57
664	RESIN					9
665	BEE		597	554	623	11
666	RIVER		585	565	633	165
667	ROAD	206	583	604	609	197
668	ROCK		600	583	612	75
669	RODENT					3
670	ROOT		558	554	565	30
671	SAND	217	616	519	603	28
672	EARLY			575	376	366
673	SCHOOL	228	573	582	599	492
674	MOUTH		568	572	613	103
676	SHIT					2
677	AXE	311	623	461	597	6
678	BEARD		580	538	630	26
679	BRIGHT		473	589	489	87
680	BREAK		360	529	398	88
681	DESTROY		367	551	444	48
682	SIDE		394	566	386	380
683	PERSON		562	620	562	175
684	OWN		317	598	337	772
685	DECIDE					40
686	EASY		288	607	321	125
687	NOTHING					412
688	LUNG		569	546	576	16
689	BETWEEN					730
690	BOTTOM			587	436	88
691	SEASON	328	445	565	495	105
692	BRING					158
693	FROM		197	612	239	4369
694	GET		290	604	264	750
695	GO		337	618	364	626
696	STIR					7
697	CONTAIN					45
698	WISE		268	533	412	36
699	SAD		360	589	419	35
700	CARRY		364	554	393	88
701	SLOW		293	602	377	60
702	CATCH					43
703	SOON		261	547	278	199
704	CLEAN		392	610	454	70
706	DARK		497	598	586	185
707	REMEMBER					138
708	SHINE					5
709	TEACH		353	552	429	41
710	WHEEL		573	566	576	56
711	TALL		439	585	514	55
712	RICH		377	575	467	74
713	STEAL		363	562	448	5
714	SEED		611	514	542	41
715	SHOUT		471	557	484	9
716	GROAN	342	432	508	506	1
717	SWEET		463	570	493	70
718	PAY					172
719	FIND	272	351	580	370	399
721	LOW		322	580	378	174
722	ATTACK		411	542	501	105
723	PLACE	269	427	612	377	571
724	READ		420	568	499	173
726	WHILE		204	543	302	680
727	WHICH		215	555	257	3562
728	FIRST		311	590	388	1360
729	DAWN	350	501	507	586	28
730	SNAKE	289	621	501	627	44
731	DRINK	211	549	628	553	82
732	YOUR		256	581	289	923
733	EARN		349	557	437	16
734	MAKE		299	618	322	794
735	OWL	269	614	477	595	2
736	YARD	308	553	522	568	35
737	LIGHT		550	575	542	333
738	THING		350	587	358	333
739	FEED					123
740	SHIP	249	615	553	612	83
741	DRIVE					105
742	END		320	592	462	410
743	END		320	592	462	410
744	EGG	186	613	608	599	12
745	SHELF					12
746	SHOP	236	549	615	561	63
747	BICYCLE					5
749	ENTER					78
750	DROP		320	577	417	59
751	SHRUB	383	588	446	556	1
752	STORE		548	562	506	74
754	HURRY					36
755	DENY					47
756	DEPEND					45
757	BUTTON	192	613	573	580	10
758	HERON					1
759	SILVER	317	564	528	582	29
760	KNOT					8
761	COVER	289	502	597	443	88
762	OUTSIDE			607	419	210
763	SKIN		614	591	638	47
764	SUIT		545	543	536	48
765	MOVE		390	572	413	171
766	MENSTRUATION					1
767	CORPSE		587	406	614	7
768	LUNCH	275	552	616	602	33
769	ROOF		586	552	604	59
771	HAT		601	580	562	56
772	BELT		602	550	494	29
773	HAVE		251	597	271	3941
774	CABBAGE		611	504	573	4
775	TRUMPET		608	490	628	7
777	FLUTE		587	496	581	1
778	SMOKE	228	541	596	615	41
779	PART	314	339	579	340	500
780	OUR		245	602	315	1252
781	FEAR		326	569	394	127
782	DEFEAT		363	519	402	31
783	VICTORY	411	376	498	461	61
784	SNOW		618	615	597	59
785	STRONG			603	463	202
787	SAIL		567	504	597	12
788	SOAP	222	598	594	600	22
789	PEOPLE	281	540	628	548	847
790	READY					143
791	STRANGER	322	441	522	454	40
792	BOIL		467	533	533	12
793	BOIL		467	533	533	12
794	PEN		571	554	576	18
795	TROUT	394	617	479	617	4
798	JAW	361	617	529	573	16
799	WRIST					10
800	THIGH					9
801	RIB		599	536	586	1
803	ANKLE	264	608	543	613	8
804	WOMB		538	508	529	1
805	SPINE					6
806	BLANKET	211	622	563	582	30
807	SKILLED					30
808	DRIP					1
809	TROUSERS					7
810	LOCUST					6
811	SOUL		289	544	366	47
812	SLAVE	386	539	418	564	30
813	DO		276	609	247	1363
815	GOVERNMENT	453	426	594	486	417
816	HALF	267	389	610	458	275
817	THEY		316	607	312	3618
818	WILLOW	386	589	425	565	9
819	STOMACH		617	547	551	37
820	LAMB	186	633	519	614	7
821	POPLAR					1
824	WITCH	258	522	474	589	5
825	AWAKE					20
826	BRANCH	303	583	529	548	33
827	ROLL		457	547	496	35
829	RAFTER					1
830	SOOT		563	390	531	1
831	BASE	369	441	520	436	91
832	BEAN		604	549	538	5
833	ENDURE					8
835	CHAPTER					74
836	SCREWDRIVER		574	544	617	
837	BLUE		459	593	569	143
839	ERR					1
842	LIQUOR		630	579	576	43
843	SPIDER		607	526	597	2
844	KIND		323	575	383	313
845	MURDER	381	445	528	549	75
846	TIGER		611	513	606	7
847	THIRSTY		451	602	482	5
848	THIRST					4
849	SPRING		524	588	585	127
850	SQUARE	250	516	576	610	143
851	STABLE	292	562	519	537	30
852	PRIEST	411	561	484	568	16
853	ALTAR					5
854	KETTLE	274	602	551	594	3
855	SEIZE					6
856	HIRE					15
857	STONE		614	564	585	58
858	STORM		527	555	587	26
859	STOVE	297	591	525	592	15
860	CAUSE	408	287	557	282	130
861	JUDGE		506	539	558	77
862	SUGAR		620	608	595	34
863	EDGE	308	465	569	495	78
864	PUMPKIN					2
865	FAME					18
866	WIN	269	364	582	454	55
867	GLOVE	228	607	575	596	9
868	BANANA		633	576	644	4
869	BLADE	344	584	517	568	13
870	BREATH	331	479	572	480	53
871	RATTLESNAKE		586	493	611	3
872	TAR		597	491	550	12
873	TAX	469	445	523	446	197
874	CANDY		602	559	601	16
876	ARCH	367	512	483	557	13
877	MASON					23
878	HELL	314	355	564	519	95
879	COUGH					7
880	REPEAT	367	331	602	351	26
881	TAILOR	378	535	417	499	2
882	PARROT					1
884	SHARE					98
885	OPPOSITE					81
887	BITTER		409	526	457	53
888	POISONOUS					5
889	FLAME	261	582	551	598	17
890	MULE	339	592	455	608	4
891	TIDE	331	516	504	530	11
892	TIME		343	604	413	1599
893	TIN	286	593	575	532	12
894	TOAD		568	516	591	4
895	TORTOISE		602	415	539	3
896	ANACONDA					14
897	SWALLOW	308	547	531	554	10
898	TRADE			537	390	143
899	PRESIDENT	458	526	538	572	382
900	TRAIN		592	548	593	82
901	ADOBE					2
902	ADULTERY	583	311	456	494	3
903	ASPEN					2
904	BERRY	289	573	470	551	9
905	BORING			590	390	5
906	TREE		604	613	622	59
908	DRUM		602	506	599	11
909	GARBAGE		572	554	596	7
910	DEATH		365	581	498	277
911	TEMPLE		565	450	547	38
912	COYOTE					1
913	CROW	308	590	490	578	2
914	SCULPTOR					6
915	SINK	219	590	586	599	23
916	LINEN	386	581	515	551	6
917	ORNAMENT	303	615	460	594	4
918	INCLINATION					8
920	GRAPE	297	611	532	591	3
921	VALLEY	339	575	515	600	73
922	PEAR		634	567	590	6
923	LOVE	303	311	619	569	232
926	RICE		608	548	506	33
928	EMBRACE	492	449	433	597	13
930	VILLAGE	317	576	524	578	72
932	BARLEY					6
933	WALL		589	596	576	160
934	BUFFALO					16
935	WAR	314	477	582	551	464
936	STALLION					3
937	BIRD	206	602	592	614	31
938	MARE		549	460	529	16
939	HORN	308	618	498	566	31
940	STRAIN	422	338	533	402	31
941	MEAD					2
942	HONEY	286	611	533	608	25
943	WATERFALL					2
944	SALMON					3
945	SPEAR		584	513	545	7
946	BLOOD	253	613	571	620	121
947	STREAM					51
948	WATER	153	616	641	632	442
952	WEATHER	292	439	623	537	69
953	RAPE		472	555	565	5
954	WELL		467	550	522	897
955	GREASY					8
956	FLEE		400	486	431	1
957	WHALE		610	500	623	
959	WAGON			443		55
960	WIND		552	592	535	63
962	WOMAN	258	580	623	626	224
963	BOOK	214	609	643	591	193
964	WOOL	247	608	540	586	10
965	WORLD		532	607	560	787
966	BRAKE		526	551	511	2
967	YEAST					3
968	ACORN			397		
969	CIGARETTE		607	573	645	25
970	COCONUT					7
971	MUST		297	589	247	1013
973	NOODLE		588	499	530	
974	TOBACCO	366	609	558	601	19
975	SPINACH		589	452	606	2
976	WEAR		360	536	328	36
977	ARROW		595	490	619	14
978	WAVE		492	518	542	46
979	FARMER					23
980	HEEL		579	524	597	9
981	ELBOW	237	607	564	602	10
982	LIME	378	590	447	563	13
983	CONVICT					6
984	WORK		402	603	458	760
985	VINEGAR		645	468	562	9
986	TOMATO		662	574	610	4
987	REMAIN					93
989	CLEAR		359	576	456	219
990	CREEK					14
991	FRY					2
992	CLIFF	322	591	479	599	11
994	BOW	271	572	489	546	15
995	QUIVER	460	485	368	505	
996	DEAF					12
998	PUT		287	539	263	437
999	JOINT			527		39
1000	ANXIETY		241	548	422	42
1001	BLACKSMITH		589	407	575	2
1002	STATUE	406	600	444	562	17
1003	PERMIT	458	399	516	388	77
1004	MUSCLE	397	573	540	553	42
1006	BRICK	261	610	529	574	18
1007	COW		621	529	632	29
1008	BULL					14
1010	BOUNDARY	472	411	481	435	16
1011	BRIDGE	289	623	561	608	98
1012	LATCH	386	578	432	464	5
1014	OR		248	589	224	4207
1015	SOIL	347	581	516	566	54
1016	DRIZZLE		558	516	582	5
1017	APPEARANCE		358	578	425	57
1018	MEMORY		284	573	391	76
1019	RIGHT		361	599	372	613
1020	HANDKERCHIEF	289	618	551	583	9
1021	TOWEL			570	570	6
1022	BOOTY					3
1024	CHARACTER	464	365	551	372	118
1025	WHISTLE		579	505	574	4
1027	BUG					4
1028	YAWN		502	567	545	2
1029	JEWEL	292	594	519	621	1
1030	NECESSARY					222
1032	CITIZEN		455	535	445	30
1033	GRIND		441	486	485	2
1034	DEFENDANT					6
1035	GOOD		297	621	374	807
1036	OWNER		468	564	425	33
1037	ELF	272	437	355	543	
1038	TEACHER	247	569	599	575	80
1039	SHOW		402	559	424	287
1040	HAIR		583	575	580	148
1041	INCREASE	419	315	590	356	195
1042	CARPENTER					6
1044	PILLOW	217	613	602	624	8
1045	POET		552	544	518	99
1046	SHUT					46
1047	PURSUE					20
1048	LINE	275	477	591	491	298
1050	MOTHER-IN-LAW					1
1051	CAN		365	620	369	1772
1052	LIGHT		550	575	542	333
1053	HUNTER	342	535	428	564	18
1054	SMALLPOX					2
1056	SON-IN-LAW					4
1059	STEPSON					3
1061	ARMOUR	400	591	406	536	2
1062	LAW	383	349	562	409	299
1063	NEPHEW		541	452	443	9
1064	SHIELD	350	576	464	556	8
1066	CRIME	383	387	537	471	34
1067	JUDGMENT					60
1068	COURT		509	549	552	230
1069	GLUE					8
1070	BUS					34
1071	HOOK		525	497	541	5
1072	PRISONER	361	548	485	565	7
1073	CAPTIVE		516	415	518	5
1075	TRAP					20
1077	WHEAT	386	594	510	577	9
1078	MAIN	364	324	574	309	119
1079	FEEL		324	588	363	216
1080	VULGAR		359	507	420	7
1081	BILL	406	528	552	535	143
1082	MERCHANT	408	517	439	472	20
1083	MESS					22
1084	CALL	225	389	599	424	188
1085	FOLLOW					97
1086	WORK		402	603	458	760
1087	CONCEIVE					14
1088	SINK	219	590	586	599	23
1091	SALTY		490	509	512	4
1092	HOPE		261	561	421	178
1093	MIDDLE					118
1094	FASTEN					4
1096	SONG	242	514	603	578	70
1097	ABANDON			510	395	17
1098	WEIGH		363	536	411	4
1099	RESIDE					2
1100	COOK		502	568	504	47
1101	SUFFER					33
1102	CLIMB					12
1103	SACRIFICE					30
1104	NURSE	256	588	537	617	17
1105	CAMP	308	571	541	588	75
1108	UNCOVER					4
1109	WOUND	372	561	474	570	28
1110	SHARK		611	516	602	
1111	CAR	197	622	634	638	274
1112	SUCCEED		304	591	416	15
1113	WRAP		457	549	482	5
1114	BULLET		595	517	611	28
1115	SPEECH	369	453	549	447	61
1116	DAMAGE	358	406	558	443	33
1117	LIKE		286	610	352	1290
1119	DIVIDE					14
1120	HONEST			607	366	47
1121	SECRET					78
1123	PREGNANT					8
1124	PIPE		602	535	598	20
1125	BALD					5
1127	SEND		324	529	423	74
1128	ORDER	344	344	570	352	376
1129	PAINFUL					25
1130	WE		270	614	389	2653
1131	WE		270	614	389	2653
1132	BEAM	394	502	476	539	21
1133	MATCH		535	558	490	41
1134	DIVORCE					29
1135	KICK	228	485	563	551	16
1136	RABBIT	206	635	523	611	11
1138	FAIRY	242	433	471	536	4
1139	LEOPARD		595	431	635	
1140	FATIGUE		416	499	502	11
1141	PITY	353	303	516	391	14
1142	URINE					1
1143	OVEN	236	593	577	599	7
1144	WITNESS	472	459	496	467	28
1145	SWAMP		570	438	600	5
1147	PURE			590	366	56
1148	BRUISE					3
1149	ORPHAN					1
1150	THUNDER		547	547	554	14
1151	VEIL	414	560	421	516	8
1152	BEGET					1
1153	CATTLE	261	600	511	619	97
1154	OLIVE	458	618	444	578	5
1155	CAVE		592	526	601	9
1156	OPEN		381	581	425	319
1157	BECAUSE		196	604	244	883
1158	STEP	267	508	578	483	131
1160	THIEF	322	519	529	529	8
1161	THREAD	267	607	522	568	15
1162	INTENTION	481	285	525	286	36
1163	BRIBE		367	531	425	1
1164	BRIBE		367	531	425	1
1165	MOUSTACHE			481		1
1166	MOULD					1
1169	OX	329	633	364	548	5
1170	TRAP					20
1171	MIRROR	258	605	593	627	27
1172	SHOOT		445	536	494	27
1173	EYEBROW					4
1174	YESTERDAY					83
1175	GHOST		379	505	552	11
1176	SPADE		565	513	578	10
1178	NOSTRIL					1
1182	NOISE					37
1184	DIMINISH					3
1185	VULTURE					4
1186	LAST		299	587	367	676
1187	GOOSE					4
1188	CHARCOAL					14
1189	ULCER	517	558	423	516	5
1190	HARE	281	615	460	577	1
1192	THREATEN					11
1193	STEAM	308	552	545	591	17
1194	BEAVER		589	470	612	3
1196	PENALTY					14
1198	MANY		276	599	393	1030
1199	WIFE		562	585	575	228
1200	HUSBAND		549	557	537	131
1201	FEATHER			485		6
1202	BIG			640	463	360
1203	LONG		381	579	471	755
1204	BARK		563	518	539	14
1205	TONGUE		634	531	621	35
1206	BARKING					2
1207	YOUNG			609	521	385
1208	CAT		615	582	617	23
1209	I		483	628	465	5173
1210	HEAVY		413	581	495	110
1211	HE		399	604	452	9543
1212	WE		270	614	389	2653
1213	YOU		370	632	400	3286
1214	THIS		240	601	279	5146
1215	THOU					14
1216	MOTHER	144	579	632	638	216
1217	FATHER		594	591	646	183
1218	ROPE	281	608	539	596	15
1219	WORM	253	611	498	578	4
1220	TAIL		613	533	551	24
1221	NOSE	206	628	584	605	60
1223	HEART	281	605	578	617	173
1224	LIVER	353	617	481	571	16
1225	DAY		477	595	526	686
1226	YEAR	269	364	601	428	660
1227	BOARD		565	546	592	239
1228	EARTH	317	580	580	580	150
1229	OLD		349	616	478	660
1230	DIRTY			589	485	36
1231	NEW		348	614	418	1635
1232	WARM			613	441	67
1233	NIGHT	222	496	636	607	411
1234	SMOOTH		406	570	472	42
1235	WHO		234	599	261	2252
1236	WHAT		293	608	249	1908
1237	WHERE		256	608	255	938
1238	WHEN		219	609	231	2331
1239	HOW		195	593	230	834
1240	NOT		273	565	253	4609
1241	SOME		286	578	302	1617
1242	FEW		309	593	333	601
1243	WIDE		348	569	455	125
1244	THICK		386	573	468	67
1245	BUTTER	206	618	615	603	27
1246	SMALL		402	616	447	542
1247	EAR		640	560	597	29
1248	EYE	167	634	611	603	122
1249	SPIKE	353	572	471	573	2
1250	JAGUAR					5
1251	BELLY		630	486	576	23
1252	HOUSE		608	600	606	591
1253	RAIN	211	600	604	618	70
1254	HANDLE					53
1256	HEAD	181	603	611	593	424
1257	WING		595	510	584	18
1259	WEDDING	314	509	507	594	32
1260	DAY		477	595	526	686
1261	SING		421	576	527	34
1262	BROTHER	219	585	598	589	73
1263	SISTER		575	588	613	38
1264	CHANGE					240
1265	HIGH		371	612	463	497
1266	BRIDE					33
1267	NARROW		372	546	491	63
