ID	AUTHOR	YEAR	LIST_SUFFIX	ITEMS	TAGS	SOURCE_LANGUAGE	TARGET_LANGUAGE	URL	REFS	PDF	NOTE	PAGES	ALIAS
Heggarty-2020-200	Heggarty, Paul and Anderson, Cormac and Scarborough, Matthew	2020		200	basic	English	Indo-European languages	http://cobl.clld.org	Scarborough2020		This is the basic list of 200 items which were selected for the Cognates in Basic Lexicon project. The compilers selected the items following various different criteria, such as ease of elicitation, non-fuzziness of the meaning, representation in Indo-European languages, and more. The numbers are at times higher than 200. This results from the earlier selection which containted more concepts which were no longer used in the official version.		
Hill-2017-240	Hill, Nathan W. and List, Johann-Mattis	2017		240	basic,areal	English	Burmish languages	https://zenodo.org/record/886116	Hill2017		This list is a small subset of the larage list of almost 2000 items which was used for the survey of Sino-Tibetan languages by [Huáng (1992)](:bib:Huang1992), usually called the *Tibet-Burman lexicon* or simply abbreviated as TBL. The authors slightly modified the glosses in their investigation of Burmish languages in the TBL, but the links to the are added in the column TBL_ID.		
Serva-2012-200	Serva, Maurizio  and Petroni, Filippo and Volchenkov, Dima  and Wichmann, Søren	2012		200	basic	English	Malagasy dialects	http://people.disim.univaq.it/%7Eserva/languages/english.html	Serva2012		This list which resembles Swadesh's list of [200 items](:ref:Swadesh-1952-200) closely, was compiled for a study of several varieties of Malagasy dialects. Given that we only had the concept labels for linking, and nobody of the current team knows much about Malagasy dialects, the linking may be sub-optimal at times, and if users detect errors or have suggestions on refinements, we would be very glad if they contacted us.		
Bender-1971-99	Bender, M. L.	1971		99	basic	English	Ethiopian	https://www.jstor.org/stable/30029540?seq=1#page_scan_tab_contents	Bender1971	Bender1971	This list of 99 concepts for a lexical study on Ethiopian is mainly based on the classical [Swadesh list of 100 items](:ref:Swadesh-1955-100).	169	
Dellert-2017-1016	Dellert, Johannes and Jäger, Gerhard	2017		1016	questionnaire	English,German,Russian	North-Eurasian languages	http://www.northeuralex.org	Dellert2017		This huge dataset lists translations for as many as 1016 concepts into more than 100 North-Eurasian languages. Concept sets have been linked to the Concepticon with help of the editors of the database, and since more than 200 concepts were not yet included in the Concepticon, this greatly increased the number of concept sets which we have by now. The data is further ranked, following some kind of stability score which was based on a method presented in [Dellert and Buch 2016](:bib:Dellert2016). The data are available from the columns RANK and STABILITY_SCORE. Currently, we do not yet display the weblinks to the online application, but only the internal ID, which can be retrieved from the downloadable data in CLDF format from the website.		
Ray-1895-26	Ray, Sidney H.	1895		26	ultra-stable,areal	English	Britich New Guina Languagse (Melanesian and Papuan)		Ray1895	Ray1895	This early concept list was compiled to study genetic relationships among languages of New Guinea. The author reports himself that he was specifically looking into words of common usage in order to determine whether they are related among different branches.	33-39	
Backstrom-1992-210a	Backstrom, Peter C. and Radloff, Carla F.	1992	a	210	basic,areal	English	Pakistanian languages		Backstrom1992	Backstrom1992	This list was compiled for a sociolinguistic survey of language use in Pakistan. The list of 210 items is supposed to represent a standardized list used to investigate all languages in the field work survey. However, as can be seen when comparing the official list of 210 items with the concept labels given in the concrete surveys on specific language families, as the list of [Balti dialects](:ref:Backstrom-1992-210b), it becomes obvious that not only some items are missing, but also that certain meanings have been modified, probably in order to make sure that enough words could be elicited. Although all glosses for «verbal meanings» are highly complex, we link them all to the basic concept sets, since from the survey it is clear that the authors adjusted them in order to elicite those verbal forms which represent the root of a given concept most consistently.	209-214	
Backstrom-1992-210b	Backstrom, Peter C. and Radloff, Carla F.	1992	b	205	basic,areal	English	Balti dialects		Backstrom1992		This is the concrete list which was used for Balti dialects (Tibetan group of Sino-Tibetan) in the large survey of languages in Pakistan (see the [general list of 210 items used in this survey](:ref:Backstrom-1992-210a)). The list is missing five entries and shows also some further differences from the main list. Since we kept the numbering of both the standardized list and the concrete questionnaire used for the Balti dialects, those differences can be easily spotted when comparing the lists.	219-233	
Bowern-2012-644	Bowern, Claire	2012		644	questionnaire	English	Tasmanian		Bowern2012a		This list supplements a study on Tasmanian languages based on various sources. It provides a linking between different concept labels found in various sources on Tasmanian languages. Due to the specificity of the vocabulary, we had to leave many concepts unlinked.		
Bowern-2017-348	Bowern, Claire	2012		348	questionnaire	English	Pama-Nyungan	https://zenodo.org/record/1005671	Bowern2012b		This lists supplements [Bowern and Atkinson's (2012)](:bib:Bowern2012) study and contains material from both Swadesh's [200-item list](:ref:Swadesh-1952-200) and the [questionnaire for hunter gatherer languages](:ref:Bowern-2011-204).		
Kingsada-1999-303	Kingsada, Thongpheth and Shintani, Tadahiko	1999		303	basic	English	South-East Asia		Kingsada1999		This list was used for a survey of basic vocabulary of 17 language varieties spoken in the border region between China and Vietnam. The list itself references an earlier list by [Shintani and Yang (1990)](:bib:Shintani1990), which itself goes back to an even earlier larger list of concepts used for lexical field work of Chinese dialects. The last two lists are not yet available for the Concepticon, but we add the reference number in the column Shintani1990 (items with ID 999999 seem to indicate that this concept does not occur in the master list and was added for the survey).		
Calude-2011-200	Calude, Andreea S. and Pagel, Mark	2011		200	basic	English	cross-linguistic sample		Calude2011		This list is identical with the one by [Pagel et al. 2007](:ref:Pagel-2007-200), but it adds additional metadata, namely frequency counts for the 200 items for as many as 17 different languages. We list the logged frequencies of the basic words, leaving those cases where the authors did not find the respective word frequencies empty.		
BeijingDaxue-1964-905	{Beijing University}	1964		905	areal	Chinese	Chinese dialects		BeijingDaxue1964		This questionnaire was employed for one of the first large-scale dialect surveys in China, notably a survey that was based on lexical data, not solely on character readings. Unfortunately, the concepts themselves are very idiosyncratic and we had to omit many of those terms, as it would have been too tedious add them to the Concepticon right now.		Cihui
Daniels-2016-85	Daniels, Don	2016		85	basic,areal,documentation	English	New Guinea	http://muse.jhu.edu/article/619290	Daniels2016	Daniels2016	This list is supposed to reflect [Swadesh's concept list of 100 items](:ref:Swadesh-1955-100), although it deviates from the original concept labels. It was used to compare a so far undocumented language from Papua New Guina (Magɨ) with a potentially related language (Aisi). Certain concepts were excluded from the list, mostly due to dependencies with other concepts due to colexification and compounding.	219-221	
Swadesh-1964-100	Swadesh, Morris	1964		100	basic	English,Russian	Global	http://www.classes.ru/grammar/148.new-in-linguistics-1/source/worddocuments/_24.htm	Swadesh1964		This is the famous [100 item Swadesh list](:ref:Swadesh-1955-100) in the first Russian translation. This list contains the 92 most stable items from the [master list of 215 items](:ref:Swadesh-1960-215) plus eight additional items which are only mentioned in the text and are indicated here by starring the English concept label.	78-87	Swadesh-100-Russian
Swadesh-1960-215	Swadesh, Morris	1960		215	basic	Russian,English	Global	http://www.classes.ru/grammar/148.new-in-linguistics-1/source/worddocuments/_24.htm	Swadesh1964		This is the first Russian translation of the master list of [Swadesh's paper from 1955](:bib:Swadesh1955), which turned out to be very influential in Soviet linguistics and has retained influential up to today. Note that while the translation of the concept labels is literal and also provides the original ones which Swadesh provided in his c[master list of 215 concepts](:ref:Swadesh-1955-215), the Russian translation makes certain distinctions which cannot be determined from the original text. In one case, in the case of «fat», this distinction is essentially wrong, as Swadesh did explicitly annotate this concept as a body part or substance. The concepts whose English labels are preceded by an asterisk are those 92 concepts which were later included in the famous [100-item list](:ref:Swadesh-1955-100).	78-87	
Wilkins-1996-75	Wilkins, David P.	1996		75	body parts,specific	English	Global		Wilkins1996	Wilkins1996	This collection shows cross-linguistically frequent pathways of semantic change which involve one item of the [list of 41 body part terms](:ref:Wilkins-1996-41) by the same compiler. The network is displayed by showing to which *target* a given concept links, with multiple targets being separated by a comma.	284	Wilkins-75
Wilkins-1996-41	Wilkins, David P.	1996		41	body parts,specific	English	Global		Wilkins1996	Wilkins1996	This collection of body part concepts was used for a cross-linguistic study of semantic change.	271	Wilkins-41
Peiros-1999-100	Peiros, Ilia	1999		100	basic	English	Global		Peiros1999	Peiros1999	This list is supposed to reflect Swadesh's original [basic list of 100 items](:ref:Swadesh-1955-100), yet it contains many additional specifications in the concept labels, which at times also differ from the concepts which Swadesh had originally in mind.	291	
Campbell-1999-100	Campbell, Lyle	1999		100	basic	English	Global		Campbell1999	Campbell1999	This list is supposed to replicate the standard list of [100 items by Swadesh (1955)](:ref:Swadesh-1955-100). It differs in the concept labels, however, and also in the ordering of concepts.	178	
Birchall-2016-125	Birchall, Joshua and Dunn, Michael and Greenhill, Simon J.	2016		125	areal	English	Chapacuran		Birchall2016		This list is the concept list underlying a comparative analysis of Chapacuran languages. The original data lists the concepts, but splits them into 285 cognate sets, occasionally allowing for variation in meaning. We ignored these variations and linked the concepts according to the basic meaning as further exemplified in the supplementary material of the study.		
Snoek-2013-61	Snoek, Conor	2013		61	body parts,specific	English	Athapaskan langauges		Snoek2013	Snoek2013	This concept list provides a list of general body part terms, including proper body parts, body liquids, and what the compiler calls ephemera, that is, alienable parts of the human body. The list is of specific interest as it is one of the rare explicit accounts we could find so far, where body part terminology is nearly exhaustively listed.	244	Snoek-body-parts
Wang-2015-62	Wang, Feng	2015		62	basic,stable	English,Chinese	Miao-Yao, Chinese		Wang2015		This list is supposed to represent a list of stable lexical items which are reflected in a larger range of Miao-Yao languages in form of regular sound correspondences in stable form-meaning relations.	170-175	
Matisoff-2009-47	Matisoff, James A.	2009		47	basic,stable	English	Tibeto-Burman	https://minpaku.repo.nii.ac.jp/?action=repository_uri&item_id=2578&file_id=18&file_no=1	Matisoff2009		This list proposes the most stable concepts for Tibeto-Burman, as reflected in reconstrutions with wide-spread reflexes. The concepts themselves are sometimes further broadened in the actual examples, showing complex patterns of semantic change that the author assumes. They are listed in the column REFLEX_MEANINGS in the data. The two personal pronouns are starred, as the author does not give the literal forms in the paper.	299-307	
Hooley-1971-128	Hooley, Bruce A.	1971		128	basic,areal	English	Austronesian		Hooley1971	Hooley1971	This list is based on [Bee (1962)](:bib:Bee1962), and it contains a selection of 128 of those original 176 words, due to the criterion of 'elicitability' in a field work survey. Further 28 items were discarded, since they did not find a word in the given varieties.	109-111	
Rea-1958-100	Rea, John A.	1958	1	100	basic	English	Romance languages		Rea1958	Rea1958	This list is basically identical with the list of [Swadesh (1955)](:ref:Swadesh-1955-100) and was used to test the stability of lexical items in the Romance languages.	148	
Mennecier-2016-183	Phillipe Mennecier and John Nerbonne and Evelyne Heyer and Franz Manni	2016		183	basic	English,Russian	Indo-Iranian,Turkic	https://figshare.com/articles/A_Central_Asian_Language_Survey/3443090/1	Mennecier2016		This concept list was underlying a study on Central Asian language varieties (Turkic and Indo-Iranian dialects). The data description is a bit confusing, as the authors list in their abstract that they used a [Swadesh list of 200 items](:ref:Swadesh-1952-200) which they reduced to 176 items. In the supplementary table 1, they then mention that they excluded 21 of the 200 concepts, but they do not mention that they added to more concepts (AUTUMN and BUTTERFLY) in the table they show in supplementary material 1, and the total number of concepts expected in this table is also not 181, but 188, so they obviously used the [combined Swadesh list 207 items](:bib:Comrie1977). In the supplementary table 2, however, there are only 183 concepts, which we now list as such in our Concepticon. The column ENGLISH_1 corresponds to the summary table in supplementary table 1, from where we also took the Russian translations.		
Liu-2007-201	Liú, Lìlǐ 刘俐李 and Wáng, Hóngzhōng 王洪钟 and Bǎi, Yíng 柏莹	2007		201	basic	English,Chinese	Chinese dialects		Liu2007	Liu2007	This list is based on the [200 item list of Swadesh (1952)](:ref:Swadesh-1952-200). The reason why it contains 201 items is that the word for «RIVER» occurs twice, reflecting the two opposed terms *hé* and *jiāng*. Since these are merely regional terms both existing only in the cultural context of China, we link them to the same concept set. Nevertheless, the list still contains 201 items, as the item «count» in the data is listed both as a noun and a verb, with the noun then translating as «number». In Chinese dialects, the words for *number* and *count* are essentially the same, but they often show a difference in tone.	32-132	
Cysouw-2006-110	Cysouw, Michael and Wichmann, Søren and Kamholz, David	2006		110	basic	English	Mixe-Zoque		Cysouw2006		This list is almost completely identical with the original [110 item list by Starostin (1991)](:ref:Starostin-1991-110). It was used for a lexicostatistical investigation of 10 Mixe-Zoque languages.	259-261	
Deepadung-2015-100	Deepadung, Sujaritlak and Buakaw, Supakit and Rattanapitak, Ampika	2015		100	areal,basic	English	Palaung (Austroasiatic)	http://www.sealang.net/mks/mks44sujaritlak.pdf	Deepadung2015		This list consists of 100 items which were taken from the comparative basic list by [Mann (2004)](:ref:Mann-2004-500), consisting of 118 items which occur both in the list by [Matisoff (1978)](:ref:Matisoff-1978-200)the different lists of Swadesh ([1955](:ref:Swadesh-1955-100), [1952](:ref:Swadesh-1952-200)). While this list contains 118 items, the authors only chose the first 100 of those.	33-38	
List-2016-57	List, Johann-Mattis	2016		57	areal,basic	English,Chinese	Chinese dialects		List2016f	List2016f	This list was created for an experiment on ancestral state reconstruction in Chinese dialects. It is originally based on a 200 concept list by [Wang (2006)](:ref:Wang-2006-200) and our version of the list shows the link to the original entries. The list is a collection of nouns which are all reconstructible back to Old Chinese, that is, following the annotation of the data provided in [Hamed and Wang (2006)](:bib:Hamed2006), the words expressing the concepts in Old Chinese have survived in at least one of the Chinese dialects in the same meaning.	129	
List-2016-180	List, Johann-Mattis	2016		180	areal,basic	English,Chinese	Chinese dialects		List2016g		This list was taken from the supplementary material of a study on partial cognate detection and comprises a larger concept lists, the [Hànyǔ Fāngyán Cíhuì](:bib:Cihui] (1964), consisting of about 800 concepts which were translated into 18 dialect varieties. The smaller list of 180 concepts was selected with respect to the relative frequency of the concepts in other datasets. While the authors link to our Concepticon in their original publication, we re-adjusted some of their links, as it turned out they were either ambiguous or not precise enough. Thus, we linked «left» to «LEFT HAND», as the Chinese concept label in the original source and the dialect words suggest this reading. We also added information on the page number and the identification number in the original source of the Cíhuì.		
Heggarty-2014-110	Heggarty, Paul	2014		110	areal,stable	English	Germanic	http://alignments.lingpy.org/multiple.php?dataset=Germanic	List2014e		This list was originally proposed by Paul Heggarty to reflect the most stable words across Germanic languages and is now used in the [Sound Comparisons Projects](http://soundcomparisons.com/). The data for a couple of Germanic language varieties was further included in the [Benchmark Database of Phonetic Alignments](http://alignments.lingpy.org), from which we took the list we present here.		
Chacon-2014-142	Chacon, Thiago Costa	2014		142	areal	English	Tukano		Chacon2014		This list was underlying a detailed reconstruction of the consonant system of Proto-Tukano. The items in the list were selected for reasons of coverage in terms of cognate reflexes in the Tukanoan languages under investigation. The list was not officially published but kindly provided to us by the author.		
Kessler-2001-200	Kessler, Brett	2001		200	basic	English	global		Kessler2001		This list was used to test various methods for the proof of language relationship. It is supposed to follow strictly the [200-item list of Swadesh (1952)](:ref:Swadesh-1952-200).	202-258	
Gregersen-1976-217	Gregersen, Edgar A.	1976		217	basic	English	African		Gregersen1976	Gregersen1976	This concept list is based on a merger of several concept lists proposed by Swadesh. As the compiler mentions himself, the list is composed of all 200 items proposed in [Swadesh (1952)](:ref:Swadesh-1952-200), all additional items proposed in [Swadesh (1955)](:ref:Swadesh-1955-100), and [Swadeshs supplementary list of 100 items](:ref:Swadesh-1960-100a). According to the annotation of the compiler, all items occuring in the 200-item list and the 100-item list are marked with one asterisk. All items occuring only in the 100-item list are marked with two asterisks, and all items makred with a preceding dash (—) occur only in the supplementary list.	110-116	
Sato-2002-200	Sato, Tomomi	2002		200	areal,documentation	English	Ainu	http://hdl.handle.net/2115/34009	Sato2002	Sato2002	This list was taken from an article which cites basic vocabulary items from the Ainu dialect of Samani. It is not clear on which criteria the author selected the meaning list. He quotes work of Shirō Hattori ([1961](:bib:Hattori1961)), and lists data presented in an earlier dictionary compiled by Hattori, but it is not clear whether the selection of meanings was also based on previous work.	99-114	
Lee-2013-200	Lee, S. and Hasegawa, Toshiharu	2013		200	basic	English,Japanese	Ainu		Lee2013		This list was used to study the evolution of the Ainu languages. It is almost completely identical with the list of [200 items by Hattori (1973)](:ref:Hattori-1973-200), but contains additional Japanese translations. The first author was so friendly to provide us with the concept list in digital form.		
Swadesh-1954-97	Swadesh, Morris	1954		97	basic	English	American Indian languages		Swadesh1954	Swadesh1954	According to Swadesh, this list of 97 items was extracted from a larger collection of 120 wordlists in American Indian languages. The 97 items which Swadesh labeled as «non-cultural» seem to be a compromise between coverage and useful items for language comparison, which would also explain the rather strange number of 97 concepts.	316-318	
Brinton-1891-21	Brinton, Daniel G.	1891		21	ultra-stable	English	American languages	https://archive.org/details/americanraceali01bringoog	Brinton1891	Brinton1891	This list of 21 items was used as a means to compare basic characteristics of different indigeneous languages of America.	336	
Heggarty-2005-30a	Heggarty, Paul	2005	a	30	hihi	English	Andean		McMahon2005	McMahon2005	This is what [McMahon and McMahon (2005)](:bib:McMahon2005) call a «hihi» list for Andean languages, that is, a list high in «reconstructability» and high in «retentiveness». So the items are supposed to be among the most stable concepts that can be found in the Andean languages.	171	
Heggarty-2005-30b	Heggarty, Paul	2005	b	30	lolo	English	Andean		McMahon2005	McMahon2005	This is what [McMahon and McMahon (2005)](:bib:McMahon2005) call a «lolo» list for Andean languages, that is, a list low in «reconstructability» and low in «retentiveness». So the items are supposed to be among the less stable concepts that can be found in the original lexicostatistical database of Andean languages.	171	
Payne-1991-202	Payne, David L.	1991		202	specific	English	Arawakan		Payne1991	Payne1991	This concept list is extracted from a collection of lexical reconstructions of Proto-Arawakan along with their reflexes in 24 Arawakan languages. The concept labels are not always easy to interprete. The author mentions that labels in brackets result from meaning deviations in some of the reflexes, but this principle does not seem to have been followed up thoroughly all the time.	392-426	
Pozdniakov-2014-100b	Pozdniakov, Konstantin	2014	b	100	ranked	English	Atlantic	http://jolr.ru/files/(144)jlr2014-11(187-237).pdf	Pozdniakov2014	Pozdniakov2014	This list presents stability ranks for the Atlantic languages by using a modified version of the ranking procedure proposed by [Starostin (2007)](:bib:Starostin2007). In contrast to the original ranking procedure, the results are calculated by averaging them. The Atlantic language data underlying the ranking covers etymological data for 41 different languages. Since we know that the concept labels in this list are meant to denote the same concepts as those presented in the list by [Starostin (2007)](:ref:Starostin-2007-110), there are some mappings which may seem unintuitive («ground» being mapped to «EARTH (SOIL)»), since they result from different translations from the Russian source into English.  202	200	
Alpher-1999-151	Alpher, Barry and Nash, David	1999		151	areal	English	Australian		Alpher1999	Alpher1999	This list was originally proposed in order to carry out lexicostatistical studies of Australian languages. The first 100 words constitute the list of [O'Grady and Klokeid in 1969](:ref:OGrady-1969-100); the next 20 are the words in Hale's (1961) list that are not also in O'Grady and Klokeid's; the next 25 are words in Black's (nd a.) list that are not in either of the above; the last 6 words (relevant for the most part in the monsoon tropics of Australia) are the authors' additions.	53-55	
Hale-1961-100	Hale, Kenneth L.	1961		100	areal	English	Australian		Alpher1999	Alpher1999	According to [Alpher and Nash (1999)](:bib:Alpher1999), this list has been created by K. Hale and is reflected in an unpublished resource from 1961.		
OGrady-1969-100	O'Grady, Geoffrey N. and Klokeid, Terry J.	1969		100	areal	English	Australian		OGrady1969	OGrady1969	This is one of the earlier lists proposed for comparative studies on Australian languages. It was later used as the basis of the [151 item list by Alpher and Nash (1999)](:ref:Alpher-1999-151).	303-307	
Sidwell-2015-200	Sidwell, Paul	2015		200	areal	English	Austroasiatic	http://dx.doi.org/10.5281/zenodo.34092	Sidwell2015	Sidwell2015	This list was compiled for the purpose of lexicostatistical comparison of Austroasiatic languages. The list is essentially a merger of the classical lists of Swadesh ([1952](:ref:Swadesh-1952-200), [1955](:ref:Swadesh-1955-100)) and Matisoff ([1978](:ref:Matisoff-1978-200)), though it does not follow any of them completely. Sidwell provides a comparison of his own list with the two classical lists by Swadesh, which is indicated in the additional columns.	lxxv-lxxvi	
Blust-2008-210	Blust, Robert	2008		210	areal	English	Austronesian	https://abvd.shh.mpg.de/austronesian/word.php	Greenhill2008	Greenhill2008	This is the 210 item concept list which is used in the [Austronesian Basic Vocabulary Database](https://abvd.shh.mpg.de/austronesian/).	274	
Blust-1981-200	Blust, Robert	1981		200	basic	English	Austronesian		Blust1981		This is the first version of Blust's modified list for lexicostatistical comparison which would later become the [210 item list](:ref:Blust-2008-210) of the [ABVD]() project. The list is mentioned in [Blust (2000)](:bib:Blust2000) yet it is not printed there, and it was prepared as a manuscript that was presented at a conference in 1981 but was never published. Robert Blust was so friendly to provide us with a digital version of his original list.		
Thomas-1979-34	Thomas, David	1979		34	areal	English	Bahnaric		Thomas1979	Thomas1979	This list contains words which are useful for the subgrouping of Bahnaric, since the main branches show divergent vocabulary items in these cases.	174-177	
Allen-2007-500	Allen, Brian	2007		500	questionnaire	English, Chinese	Bai		Allen2007		This list was taken as the reference for conducting field work on the Bai dialects, a minority language spoken in South-West China. Originally, 550 words were collected, but due to missing items in some of the languages of the survey, the list was further reduced to 500 languages.	69-113	
Bennett-1976-100	Bennett, Patrick R.	1976		100	areal	English	Bantu		Bennet1976		This list was created to carry out lexicostatistical studies of Bantu languages. Originally, it is divided into two parts, one for nouns ([163-165](:ref:Bennett-1976-50a)) and one for verbs ([166f](:ref:Bennett-1976-50b)). Here, we list both parts together.	163-167	
Bennett-1976-50a	Bennett, Patrick R.	1976	a	50	areal	English	Bantu		Bennet1976		This list was created to carry out lexicostatistical studies of Bantu languages. This subset of the [complete list](:ref:Bennett-1976-100) contains only nouns.	163-165	
