NUMBER	ENGLISH	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN	CONCEPTICON_ID	CONCEPTICON_GLOSS
109	arbalest, crossbow	arbalest, crossbow	ranged weapon using an elastic launching device consisting of a bow-like assembly, mounted horizontally on a main frame, which is hand-held in a similar fashion to the stock of a long firearm		N/a	3193	CROSSBOW
110	arc	arc			Artifacts		
111	Arctic fox	Arctic fox	mammal Vulpes lagopus, a fox-like carnivore of the family Canidae living in the Arctic regions of North America and Eurasia		Animals		
112	Aries	Aries	constellation of the zodiac supposedly shaped like a ram		N/a		
113	arm	arm	the part between the shoulder and the wrist		N/a	1673	ARM
114	armadillo	armadillo	any of the burrowing mammals covered with bony, jointed, protective plates, order Cingulata, found in the Americas, especially in South America		N/a	1885	ARMADILLO
115	armpit	armpit	cavity beneath the junction of the arm and shoulder		Body parts	1886	ARMPIT
116	army	army	large, highly organized military force		Human being	1561	ARMY
117	arrogance	arrogance			N/a		
118	arrogant	arrogant	having or revealing an exaggerated sense of one&#39;s own importance or abilities		N/a		
119	arrow	arrow	projectile consisting of a shaft, a point and a tail with stabilizing fins that is shot from a bow		Artifacts	977	ARROW
120	arrow fletching	arrow fletching	feathers of an arrow used to stabilize the longitudinal axis of the projectile parallel to the flight path		N/a		
121	arterial (blood)	arterial (blood)	blood purified from carbon dioxide and saturated with oxygen (oxygenated), in contrast to venous blood		N/a		
122	artery	artery	blood vessels forming part of the circulation system by which blood is conveyed away from the heart		N/a	1925	ARTERY
123	artichoke	artichoke			N/a		
124	as, like	as, like			N/a		
125	ash (tree)	ash (tree)			Plants		
126	ashes	ashes			Natural objects	646	ASH
127	Asiatic dock	Asiatic dock	Rumex confertus, a plant species in the family Polygonaceae		Human being		
128	asleep	asleep			N/a		
129	asp (fish)	asp (fish)	(Aspius aspius, Leuciscus aspius) a European freshwater fish of the Cyprinidae family		N/a		
130	aspen	aspen			Plants	903	ASPEN
131	asphodel	asphodel	plant of the genus Asphodelus		N/a		
132	aspic (dish)	aspic (dish)	dish in which ingredients are set into a gelatine, jelly-like substance made from a meat stock or consommé		N/a		
133	assistant	assistant	person who assists or helps someone else		N/a		
134	astringent	astringent			N/a	3837	ASTRINGENT
135	atheist	atheist	person who does not believe in deities		Human being		
136	attack (n.)	attack (n.)	attempt to cause damage, injury to, or death of opponent or enemy		Human being	722	ATTACK
137	attack of disease	attack of disease	(medicine) the sudden onset of a disease or condition		Human being		
138	attentive	attentive			Non-physical	1908	ATTENTIVE
139	auger, gimlet	auger, gimlet			N/a	3423	DRILL
140	August	August			Time	2851	AUGUST
141	aunt	aunt			N/a	1272	AUNT
142	aunt (father's brother's wife)	aunt (father&#39;s brother&#39;s wife)			N/a		
143	aunt (father's sister)	aunt (father&#39;s sister)			N/a	2691	PATERNAL AUNT (FATHER'S SISTER)
144	aunt (mother's brother's wife)	aunt (mother&#39;s brother&#39;s wife)			N/a	2172	MATERNAL AUNT (WIFE OF MOTHER'S BROTHER)
145	aunt (mother's sister)	aunt (mother&#39;s sister)			N/a	2693	MATERNAL AUNT (MOTHER'S SISTER)
146	auricle	auricle	visible part of the ear that is outside the head		N/a		
147	author	author	originator or creator of a work, especially of a literary composition		N/a		
148	automobile	automobile	type of vehicle designed to move on the ground under its own stored power and intended to carry a driver, a small number of additional passengers, and a very limited amount of other load		N/a	1111	CAR
149	autumn	autumn	the third of the four seasons, when deciduous trees lose their leaves; typically regarded as being from September 24 to December 22 in parts of the Northern Hemisphere, and the months of March, April and May in the Southern Hemisphere		Time	1276	AUTUMN
150	autumn fall of the leaves	autumn fall of the leaves	autumn fall of the leaves		N/a		
151	awake	awake			N/a	825	AWAKE
152	award	award			N/a		
153	away	away			N/a		
154	awl	awl	pointed instrument for piercing small holes, as in leather or wood		Artifacts	278	AWL
155	awn	awn	bristle or beard of barley, oats, grasses, etc., or any similar bristlelike appendage; arista.		N/a		
156	axe	axe	tool for felling trees or chopping wood etc. consisting of a heavy head flattened to a blade on one side, and a handle attached to it; also an ancient weapon consisting of a head that has one or two blades and a long handle		Artifacts	677	AXE
157	axle	axle	pin or spindle on which a wheel revolves, or which revolves with a wheel		N/a	1769	AXLE
158	(body) side	(body) side			N/a	3344	SIDE (BODY)
159	berry	&lt;berry&gt;			Plants	904	BERRY
160	beverage, drink	&lt;beverage, drink&gt;			N/a	731	BEVERAGE
161	bird	&lt;bird&gt;			Animals	937	BIRD
162	blood-sucking insect	&lt;blood-sucking insect&gt;			Animals		
163	body part	&lt;body part&gt;			N/a	2213	BODY PART
164	building	&lt;building&gt;			N/a	3396	BUILDING
165	babble-tube	babble-tube			N/a		
166	baby	baby			N/a	1289	BABY
167	baby chicken	baby chicken	young rooster or hen		N/a	2513	CHICKEN CHICK
168	back (body part)	back (body part)			Body parts	1291	BACK
169	back of the axe head	back of the axe head			Artifacts		
170	back of the head	back of the head			Body parts	523	BACK OF HEAD
171	back vowels (linguistics)	back vowels (linguistics)			N/a		
172	backbone	backbone			N/a	805	SPINE
173	backdrop (visual)	backdrop (visual)			N/a		
174	backside	backside	back side of anything, the part opposite its front		N/a		
175	backwards	backwards			Space	2911	BACKWARD
176	bad	bad			Evaluation	1292	BAD
177	bad (ethically)	bad (ethically)			Evaluation	3764	BAD OR EVIL
178	bad luck	bad luck			Abstract entities	56	BAD LUCK
179	bad person	bad person			Human being	2197	BAD PERSON
180	bad smell, stench	bad smell, stench	None		Abstract entities		
181	bad weather	bad weather			Natural objects		
182	bad weather	bad weather			Abstract entities		
183	bad-smelling, stinking	bad-smelling, stinking			Taste	42	STINKING
184	badger (Meles)	badger (Meles)			Animals	3717	BADGER
185	bagpipes	bagpipes	musical wind instrument, possessing a flexible bag inflated by bellows, a double-reed melody pipe and up to four drone pipes; any aerophone that produces sound using air from a reservoir to vibrate enclosed reeds		N/a		
186	balance weight on scale	balance weight on scale			N/a		
187	bald	bald			Other physical	1125	BALD
188	bald spot	bald spot			Natural objects		
189	bald-coot (Fulica atra)	bald-coot (Fulica atra)			Animals		
190	bamboo	bamboo			N/a	1927	BAMBOO
191	bamboo sprout	bamboo sprout	None		N/a	2494	BAMBOO SHOOT
192	banana flower	banana flower			N/a		
193	bank, shore	bank, shore			N/a	3310	SHORE OR BANK
194	barbel	barbel			Animals	524	BARBEL
195	barberry	barberry			N/a		
196	bare (feet)	bare (feet)			N/a		
197	bareback	bareback	without a saddle		N/a		
198	bark (of a tree)	bark (of a tree)			Natural objects	1204	BARK
199	barley	barley			Plants	932	BARLEY
200	barrel	barrel	round vessel or cask, of greater length than breadth, and bulging in the middle, made of staves bound with hoops, and having flat ends or heads		N/a	2548	BARREL
201	barrel (of a gun)	barrel (of a gun)	metallic tube, as of a gun, from which a projectile is discharged		Artifacts		
202	barren (of animals)	barren (of animals)			Other physical		
203	barrier	barrier	structure that bars passage		N/a		
204	base (geometry)	base (geometry)			N/a		
205	base for beheading	base for beheading			Artifacts		
206	basin (vessel)	basin (vessel)			Body parts	915	SINK (BASIN)
207	basis	basis			Abstract entities	831	BASE
208	basket	basket			Artifacts	1539	BASKET
209	bass, low-pitched voice	bass, low-pitched voice			Sound		
210	bast, the layer under the bark	bast, the layer under the bark	(botany) phloem, a vascular tissue in land plants primarily responsible for the distribution of sugars and nutrients manufactured in the shoot; fibre made from the phloem of certain plants and used for matting and cord		Natural objects	3950	LIBER (INNER BARK)
211	bastard	bastard			Human being	1947	BASTARD
212	bat	bat	any of the flying mammals of the order Chiroptera, usually small and nocturnal, insectivorous or frugivorous		Animals	1793	BAT
213	bath	bath			N/a		
214	bathroom	bathroom			N/a		
215	battering-ram	battering-ram			Artifacts		
216	battery	battery	device used to power electric devices, consisting of a set of electrically connected electrochemical or, archaically, electrostatic cells		N/a	662	BATTERY
217	battle	battle			Abstract entities	579	BATTLE
218	bead	bead			Artifacts	1860	BEAD
219	beak	beak			Body parts	73	BEAK
220	beam	beam			Artifacts	1132	BEAM
221	bean	bean			N/a	832	BEAN
222	bear (Ursus)	bear (Ursus)			Animals	1820	BEAR
223	bear garlic	bear garlic	Allium ursinum		N/a		
224	beard	beard			Body parts	678	BEARD
225	bearded man	bearded man			Human being		
226	bearded vulture	bearded vulture	bird Gypaetus barbatus		N/a		
227	bearing (mechanical device)	bearing (mechanical device)	mechanical device that supports another part and/or reduces friction		N/a		
228	beautiful	beautiful			Evaluation	1427	BEAUTIFUL
229	beautiful girl	beautiful girl			N/a		
230	beaver (Castor fiber)	beaver (Castor fiber)			Animals	1194	BEAVER
231	because of	because of			Grammatical markers	2918	BECAUSE OF
232	bed	bed			Artifacts	1663	BED
233	bed canopy	bed canopy			N/a		
234	bed-clothes	bed-clothes			N/a		
235	bedbug (Cimex lectularius)	bedbug (Cimex lectularius)			Animals	1949	BEDBUG
236	bedding (padding)	bedding (padding)			N/a		
237	bedsheet	bedsheet			N/a		
238	bee	bee			Animals	665	BEE
239	bee swarm	bee swarm			N/a		
240	beech	beech			Plants	1950	BEECH
241	beehive	beehive			N/a	88	BEEHIVE
242	beer	beer	alcoholic drink fermented from starch material, commonly barley malt; often with hops or some other substance (like gruit) to impart a bitter flavor		N/a	1639	BEER
243	beet (Beta vulgaris)	beet (Beta vulgaris)			Plants		
244	beetle	beetle			Animals	2242	BEETLE
245	before	before			Time	1882	BEFORE
246	beggartick	beggartick	plant Bidens sp.		N/a		
247	beginning	beginning			Abstract entities	1557	BEGINNING
248	behaviour	behaviour			Abstract entities		
249	behind	behind			Space	1686	BEHIND
250	belemnite	belemnite			N/a		
251	bell	bell			Artifacts	2246	BELL
252	belladonna	belladonna	Atropa belladonna, a toxic perennial herbaceous plant		N/a		
253	bellflower (Campanula)	bellflower (Campanula)			Plants		
254	bellows	bellows			N/a	3658	BELLOWS
255	belly	belly			Body parts	1251	BELLY
256	beloribitsa	beloribitsa	Stenodus leucichthys, a species of freshwater whitefish in the family Salmonidae. In the strict sense its natural distribution is restricted to the Caspian Sea basin		N/a		
257	beloved	beloved			Human being	2470	DEAR
258	below, down, bottom part	below, down, bottom part	None		Space		
259	belt	belt			Artifacts	772	BELT
260	beluga sturgeon	beluga sturgeon	Huso huso, a species of anadromous fish in the sturgeon family		N/a		
261	bench	bench			N/a	2584	BENCH
262	bend (of a river)	bend (of a river)			Natural objects		
263	benediction	benediction	short invocation for help, blessing and guidance from God, said on behalf of another person or persons (sometimes at the end of a church worship service)		N/a		
264	benefit	benefit			Abstract entities	2929	BENEFIT
265	berry	berry			Plants	904	BERRY
266	best	best			Non-physical		
267	best part of something	best part of something			N/a		
268	betel	betel	an evergreen Indian creeping shrub, Piper betle, whose dried leaves are chewed with betel nut: the betel pepper		N/a	177	BETEL PEPPER VINE
269	betrothal, engagement	betrothal, engagement			Abstract entities		
270	better	better			N/a		
271	big	big			Size	1202	BIG
272	bile, gall	bile, gall			Body parts	1780	BILE
273	billion	billion	a thousand million: 1 000 000 000		N/a	3599	BILLION
274	biotite	biotite	dark brown mica; it is a mixed aluminosilicate and fluoride of potassium, magnesium and iron		N/a		
275	birch	birch			Plants	1855	BIRCH
276	birch bolete (Leccinum scabrum)	birch bolete (Leccinum scabrum)			N/a		
277	bird	bird			Animals	937	BIRD
278	bird cherry tree	bird cherry tree			Plants		
279	bird cherry tree	bird cherry tree			Plants		
280	bird Nectarinia gutturalis	bird Nectarinia gutturalis			Animals		
281	bird's foot	bird&#39;s foot			N/a		
282	birthmark	birthmark			Natural objects	1751	BIRTHMARK
283	biscuit, cookie	biscuit, cookie			N/a		
284	bishop	bishop			N/a		
285	bishop (chess)	bishop (chess)			N/a		
286	bison	bison			N/a	3142	BISON
287	bit (part of horse harness)	bit (part of horse harness)			Artifacts		
288	bitch	bitch	female of a canine animal		N/a	2481	FEMALE DOG
289	Bitis arietans	Bitis arietans			N/a		
290	bitter	bitter			Taste	887	BITTER
291	bitterling	bitterling			Animals		
292	bittern (Botaurus)	bittern (Botaurus)			Animals		
293	black	black			Light and Colour	163	BLACK
294	black cloud	black cloud			Natural objects		
295	black grouse	black grouse	bird Lyrurus tetrix (syn. Tetrao tetrix)		N/a		
296	black grouse (Lyrurus)	black grouse (Lyrurus)			Animals		
297	black radish	black radish	None		Plants		
298	blackberry	blackberry			N/a		
299	blackcurrant	blackcurrant	Ribes nigrum, a deciduous shrub in the family Grossulariaceae grown for its edible berries		N/a		
300	blacksmith	blacksmith			Human being	1001	BLACKSMITH
301	blackthorn	blackthorn			Plants		
302	blade	blade			Artifacts	869	BLADE
303	blade	blade			Artifacts	869	BLADE
304	blank	blank	free from writing, printing, or marks; having an empty space to be filled in		N/a		
305	blanket	blanket	heavy, loosely woven fabric, usually large and woollen, used for warmth while sleeping or resting		N/a	806	BLANKET
306	blind	blind			Other physical	1653	BLIND
307	blind	blind			Other physical	1653	BLIND
308	blind alley	blind alley			N/a		
309	blister	blister	small bubble between the layers of the skin that contains watery or bloody fluid and is caused by friction and pressure, burning, freezing, chemical irritation, disease or infection		N/a	1584	BLISTER
310	blizzard	blizzard			N/a		
311	blond person	blond person			N/a		
312	blonde	blonde	having a light colour of hair		N/a		
313	blood	blood	vital liquid flowing in the bodies of many types of animals that usually conveys nutrients and oxygen. In vertebrates, it is colored red by hemoglobin, is conveyed by arteries and veins, is pumped by the hear		Natural objects	946	BLOOD
314	blood vessel	blood vessel	component of the circulatory system, such as an artery, capillary, or vein, that carries blood		Body parts	525	BLOOD VESSEL
315	bloodletting	bloodletting	archaic practice of treating illness by removing some blood, believed to be tainted, from the stricken person		N/a		
316	blow	blow			N/a		
317	blue	blue			Light and Colour	837	BLUE
318	blueberry	blueberry			N/a	2809	BLUEBERRY
319	blueflag (Iris)	blueflag (Iris)			N/a		
320	blunt	blunt			Tactile quality	379	BLUNT
321	board, plank	board, plank			Artifacts	1227	BOARD
322	boat	boat			N/a	1844	BOAT
323	body	body			Body parts	1480	BODY
324	body of water	body of water	significant accumulation of water, covering the Earth, such as a river, lake or a bay		N/a		
325	body part	body part	any part of an animal organism, such as an organ, limb or extremity		Body parts	2213	BODY PART
326	bog-rosemary	bog-rosemary	Andromeda, plant		N/a		
327	Boletus edulis	Boletus edulis	edible mushroom Boletus edulis		N/a		
328	bone	bone			Body parts	1394	BONE
329	bone marrow	bone marrow	None		Body parts	1835	MARROW
330	book (n.)	book (n.)			Artifacts	963	BOOK
331	book spine	book spine	narrow, bound edge of a book that encloses the inner edges of the pages, facing outwards when the book is on a shelf and typically bearing the title and the author&#39;s and publisher&#39;s name		N/a		
332	boredom	boredom			Abstract entities		
333	boring	boring			Non-physical	905	BORING
334	boss	boss			Human being	2930	BOSS
335	bothering	bothering			N/a		
336	bottle	bottle			Artifacts	1321	BOTTLE
337	bottom	bottom			Space	690	BOTTOM
338	bottom of a dress	bottom of a dress			N/a		
339	boundary (of land plots)	boundary (of land plots)	dividing line between two ploughed fields		N/a	1010	BOUNDARY
340	bouquet	bouquet	bunch of cut flowers		N/a		
341	bourrache (Borago)	bourrache (Borago)			Plants		
342	bow (weapon)	bow (weapon)			Artifacts	994	BOW
343	bow, fiddlestick	bow, fiddlestick	rod with horsehair (or an artificial substitute) stretched between the ends, used for playing various stringed musical instruments.		N/a		
344	bow-legged	bow-legged	having a bowlegs		N/a		
345	bow-string	bow-string			Artifacts	2119	BOW STRING
346	bowel	bowel			Body parts	1991	INTESTINES
347	bowels, intestine	bowels, intestine			Body parts	1991	INTESTINES
348	box, container	box, container			Artifacts	1465	BOX
349	boy	boy			Human being	1366	BOY
350	bracelet	bracelet			N/a	1754	BRACELET
351	braid (of hair)	braid (of hair)	weave of three or more strands of hair		N/a	1043	BRAID
352	brain (cerebrum)	brain (cerebrum)			Body parts	1583	BRAIN
353	bran	bran			Natural objects	2362	BRAN
354	branch (of a river)	branch (of a river)			Natural objects	826	BRANCH (BIFURCATION)
355	branch, twig	branch, twig			Natural objects	3223	BRANCH OR TWIG
356	brand, stamp	brand, stamp			Artifacts		
357	brass	brass	metallic alloy of copper and zinc		N/a	3743	BRASS
358	brave	brave			Non-physical	3	BRAVE
359	brave person	brave person			Human being	2226	BRAVE PERSON
360	bread	bread			Artifacts	1368	BREAD
361	bread roll	bread roll	miniature round loaf of bread		N/a		
362	breakfast	breakfast			Abstract entities	1322	BREAKFAST
363	bream (Abramis)	bream (Abramis)			N/a		
364	breast	breast	A woman&#39;s breast.		N/a	1402	BREAST
365	breaststroke	breaststroke	swimming stroke in which the swimmer lies face down, the arms being swept forward, outward and back under the water and the legs are kicked like a frog&#39;s		Abstract entities		
366	breathing	breathing			Physiology	1407	BREATHE
367	breed	breed			N/a		
368	bribe	bribe			Abstract entities	1163	BRIBE (AMOUNT)
369	brick (n.)	brick (n.)			Artifacts	1006	BRICK
370	bride	bride			Human being	1266	BRIDE
371	bridegroom	bridegroom			Human being	3282	GROOM
372	bridge	bridge			Artifacts	1011	BRIDGE
373	bridge (of musical imstrument)	bridge (of musical imstrument)	device that supports the strings on a stringed musical instrument		N/a		
374	brief	brief			Time	3312	SHORT (TIME)
375	brilliant, glaring	brilliant, glaring			Light and Colour	2228	GLARING
376	broken	broken			N/a	588	BROKEN
377	bronze	bronze	naturally occurring or man-made alloy of copper in combination with tin		N/a	2313	BRONZE
378	brood, hatch	brood, hatch			N/a		
379	broom	broom			Artifacts	245	BROOM
380	broom	broom			Artifacts	245	BROOM
381	broth	broth			N/a	1547	SOUP
382	brothel	brothel			Artifacts		
383	brother	brother			N/a	1262	BROTHER
384	brother-in-law	brother-in-law			N/a	2314	BROTHER-IN-LAW
385	brown	brown			Light and Colour	2409	BROWN
386	brown	brown			Light and Colour	2409	BROWN
387	brown meagre	brown meagre	fish Sciaena umbra		N/a		
388	bruise	bruise			Physiology	1148	BRUISE
389	brush	brush	implement consisting of multiple more or less flexible bristles or other filaments attached to a handle, used for any of various purposes including cleaning, painting, and arranging hair		N/a	1821	BRUSH
390	brushwood	brushwood			Natural objects		
391	bucket	bucket	Typically a watertight, vertical cylinder or truncated cone or square, with an open top and a flat bottom, attached to a semicircular carrying handle called the bail (Wikipedia)		N/a	2052	BUCKET
392	buckthorn (Frangula)	buckthorn (Frangula)			Plants		
393	buckwheat	buckwheat			Plants	2040	BUCKWHEAT
394	bud (of a flower)	bud (of a flower)			Plants	1684	BUD
395	bud (on a twig)	bud (on a twig)			Natural objects	1684	BUD
396	bug (Heteroptera)	bug (Heteroptera)			N/a	1027	BUG
397	bulb (of plant)	bulb (of plant)			N/a	2617	BULB
398	bull	bull			Animals	1008	BULL
399	bullet	bullet			Artifacts	1114	BULLET
400	bullhead	bullhead			Animals		
401	bully	bully			Human being		
402	bumblebee	bumblebee			N/a		
403	burbot	burbot			Animals		
404	burdock	burdock			N/a		
405	burial	burial			N/a	3336	FUNERAL
406	burn (physical injury)	burn (physical injury)	physical injury caused by heat or caustic chemicals		N/a		
407	burner	burner			Artifacts		
408	burrow (of animal)	burrow (of animal)			N/a	2949	LAIR
409	burstwort (herniaria)	burstwort (herniaria)			N/a		
410	bush, shrub	bush, shrub			N/a	1683	BUSH
411	busy	busy			N/a	2755	BUSY
412	but, however	but, however			Abstract entities	3843	BUT
413	butcher	butcher	person who prepares and sells meat (and sometimes also slaughters the animals)		N/a	2569	BUTCHER
414	butt of a log	butt of a log			N/a	241	TREE STUMP
415	butt of the rifle	butt of the rifle			N/a		
416	butter	butter			N/a	1245	BUTTER
417	butterfly	butterfly			Animals	1791	BUTTERFLY
418	butterfly fish	butterfly fish	fish of the family Chaetodontidae		N/a		
419	butterfly stroke	butterfly stroke	swimming stroke in which the body is prone, the arms are moved in simultaneous circles, and the feet are kicked up and down		N/a		
420	buttock	buttock			Body parts	834	BUTTOCKS
421	button (on a dress)	button (on a dress)			Artifacts	757	BUTTON
422	buttonquail	buttonquail	bird Turnix sp.		N/a		
