# Wordlist

# DATA
ID	LIST_ID	CONCEPTLIST	CONCEPTID	CONCEPT	ENGLISH	AGE SCORE	AGE_SCORE	ANALYZABILITY SCORE	BENNET1976100	BORROWED SCORE	BORROWING_SCORE	CATEGORY	CHEN1996200	CHINESE	COMMON_CHINESE	COMPOSITE SCORE	CONCEPTICON_GLOSS	CONTEXT	DEFINITION	DESCRIPTION	DSS_ID	FRENCH	GERMAN	HAUSA	IDS_ID	JACHONTOV_35	LATIN	NUMBER	NUMBERINSOURCE	OCCURRENCES	OMEGAWIKI	ONTOLOGICAL_CATEGORY	PAGENUMBER	RANK	REPRESENTATION	REPRESENTATION SCORE	RUSSIAN	SEEALSO	SEMANTICFIELD	SEMANTIC_FIELD	SIMPLICITY_SCORE	SPANISH	SWADESH_100	SWADESH_200	SWADESH_GLOSS	URL	WIKTIONARY	WOLD	WOLD_ID	RELATIONS
825	Gregersen-1976-217-106	Gregersen-1976-217	1198	*many	*many												MANY											106																						similar
#
826	Gregersen-1976-217-107	Gregersen-1976-217	634	*meat-flesh	*meat-flesh												MEAT											107																						similar
#
830	Gregersen-1976-217-111	Gregersen-1976-217	639	*mountain	*mountain												MOUNTAIN											111																						similar
#
831	Gregersen-1976-217-112	Gregersen-1976-217	674	*mouth	*mouth												MOUTH											112																						similar
#
832	Gregersen-1976-217-113	Gregersen-1976-217	1405	*name	*name												NAME											113																						similar
#
836	Gregersen-1976-217-117	Gregersen-1976-217	1333	*neck	*neck												NECK											117																						similar
#
837	Gregersen-1976-217-118	Gregersen-1976-217	1231	*new	*new												NEW											118																						similar
#
838	Gregersen-1976-217-119	Gregersen-1976-217	1233	*night	*night												NIGHT											119																						similar
#
839	Gregersen-1976-217-120	Gregersen-1976-217	1221	*nose	*nose												NOSE											120																						similar
#
840	Gregersen-1976-217-121	Gregersen-1976-217	1240	*not	*not												NOT											121																						similar
#
842	Gregersen-1976-217-123	Gregersen-1976-217	1493	*one	*one												ONE											123																						similar
#
844	Gregersen-1976-217-125	Gregersen-1976-217	683	*person	*person												PERSON											125																						similar
#
848	Gregersen-1976-217-129	Gregersen-1976-217	658	*rain	*rain												RAIN, PRECIPATION											129																						broader
849		Gregersen-1976-217	1253	*rain	*rain												RAINING											129																						broader
#
855	Gregersen-1976-217-135	Gregersen-1976-217	667	*road-path	*road-path												ROAD											135																						similar
#
856	Gregersen-1976-217-136	Gregersen-1976-217	670	*root	*root												ROOT											136																						similar
#
862	Gregersen-1976-217-142	Gregersen-1976-217	671	*sand	*sand												SAND											142																						similar
#
863	Gregersen-1976-217-143	Gregersen-1976-217	1458	*say	*say												SAY											143																						similar
#
866	Gregersen-1976-217-146	Gregersen-1976-217	1409	*see	*see												SEE											146																						similar
#
867	Gregersen-1976-217-147	Gregersen-1976-217	714	*seed	*seed												SEED											147																						similar
#
872	Gregersen-1976-217-152	Gregersen-1976-217	1416	*sit	*sit												SIT											152																						similar
#
873	Gregersen-1976-217-153	Gregersen-1976-217	763	*skin	*skin												SKIN											153																						similar
#
875	Gregersen-1976-217-155	Gregersen-1976-217	1585	*sleep vb	*sleep vb												SLEEP											155																						similar
#
876	Gregersen-1976-217-156	Gregersen-1976-217	1246	*small	*small												SMALL											156																						similar
#
878	Gregersen-1976-217-158	Gregersen-1976-217	778	*smoke	*smoke												SMOKE, EXHAUST											158																						similar
#
888	Gregersen-1976-217-167	Gregersen-1976-217	1442	*stand	*stand												STAND											167																						similar
#
889	Gregersen-1976-217-168	Gregersen-1976-217	1430	*star	*star												STAR											168																						similar
#
891	Gregersen-1976-217-170	Gregersen-1976-217	857	*stone	*stone												STONE											170																						similar
#
894	Gregersen-1976-217-173	Gregersen-1976-217	1343	*sun	*sun												SUN											173																						similar
#
896	Gregersen-1976-217-175	Gregersen-1976-217	1439	*swim	*swim												SWIM											175																						similar
#
897	Gregersen-1976-217-176	Gregersen-1976-217	1220	*tail	*tail												TAIL											176																						similar
#
904	Gregersen-1976-217-183	Gregersen-1976-217	1214	*this	*this												THIS											183																						similar
#
905	Gregersen-1976-217-184	Gregersen-1976-217	1215	*thou	*thou												THOU											184																						similar
#
909	Gregersen-1976-217-188	Gregersen-1976-217	1205	*tongue	*tongue												TONGUE											188																						similar
#
910	Gregersen-1976-217-189	Gregersen-1976-217	1380	*tooth	*tooth												TOOTH											189																						similar
#
911	Gregersen-1976-217-190	Gregersen-1976-217	906	*tree	*tree												TREE											190																						similar
#
913	Gregersen-1976-217-192	Gregersen-1976-217	1498	*two	*two												TWO											192																						similar
#
916	Gregersen-1976-217-195	Gregersen-1976-217	1443	*walk	*walk												WALK											195																						similar
#
917	Gregersen-1976-217-196	Gregersen-1976-217	1232	*warm-hot	*warm-hot												WARM											196																						broader
918		Gregersen-1976-217	1286	*warm-hot	*warm-hot												HOT											196																						broader
#
920	Gregersen-1976-217-198	Gregersen-1976-217	948	*water	*water												WATER											198																						similar
#
921	Gregersen-1976-217-199	Gregersen-1976-217	1212	*we	*we												WE											199																						similar
#
923	Gregersen-1976-217-201	Gregersen-1976-217	1236	*what?	*what?												WHAT											201																						similar
#
926	Gregersen-1976-217-204	Gregersen-1976-217	1335	*white	*white												WHITE											204																						similar
#
927	Gregersen-1976-217-205	Gregersen-1976-217	1235	*who?	*who?												WHO											205																						similar
#
934	Gregersen-1976-217-212	Gregersen-1976-217	962	*woman	*woman												WOMAN											212																						similar
#
939	Gregersen-1976-217-217	Gregersen-1976-217	1424	*yellow	*yellow												YELLOW											217																						similar
#
8835	Dixon-1919-173-12	Dixon-1919-173	1256	11a.   head (2)	11a.   head (2)												HEAD											12																						narrower
#
3479	SatterthwaitePhillips-2011-423-100	SatterthwaitePhillips-2011-423	1705	192	192									八			EIGHT											100	8				185																	similar
#
2869	Tadmor-2009-100-14	Tadmor-2009-100	1209	1sg pronoun	1sg pronoun	0.875	0.875	0.936		0.970						0.776	I											14						14		0.976														similar
#
5166	Bulakh-2013-870-2	Bulakh-2013-870	1260	24 hours	24 hours												DAY 24 HOURS				62							2		3																http://semshifts.iling-ran.ru/show-meaning.html?id=62				narrower
#
2864	Tadmor-2009-100-9	Tadmor-2009-100	1215	2sg pronoun	2sg pronoun	0.893	0.893	0.933		0.958						0.798	THOU											9						9		1.000														similar
#
2893	Tadmor-2009-100-35	Tadmor-2009-100	1211	3sg pronoun	3sg pronoun	0.893	0.893	0.955		1.000						0.749	HE											35						34		0.878														similar
#
8889	Dixon-1919-173-65	Dixon-1919-173	1844	63a. boat (2)	63a. boat (2)												BOAT											65																						narrower
#
10957		0CONCEPTICON	1097	ABANDON													ABANDON		To give up control of, to surrender.												478269	Person/Thing						-	Motion									-		similar
#
2173	Huber-1992-374-16	Huber-1992-374	1251	ABDOMEN, BELLY	ABDOMEN, BELLY												BELLY											16														VIENTRE, ABDOMEN								narrower
#
11601		0CONCEPTICON	1741	ABOVE													ABOVE		In or to a higher place; higher than; on or over the upper surface.												7064	Other						-	Spatial relations									12.081		similar
#
10163		0CONCEPTICON	303	ABSTAIN FROM FOOD													ABSTAIN FROM FOOD		To refrain from eating												1508616	Action/Process						-	Religion and belief									22.26		similar
#
11813		0CONCEPTICON	1953	ABUSE													ABUSE		Improper or excessive treatment or usage (e.g. alchool); application to a wrong or bad purpose (e.g. public funds).												885235	Person/Thing						-	Law									-		similar
#
11402		0CONCEPTICON	1542	ACCOMPANY													ACCOMPANY		To go or travel in the company of someone.												638652	Action/Process						-	Motion									-		similar
#
11674		0CONCEPTICON	1814	ACCUSE													ACCUSE		To lay a charge against; bring an accusation against.												751478	Action/Process						541549	Law									21.31		similar
#
10978		0CONCEPTICON	1118	ACCUSTOM													ACCUSTOM		Avoir l'habitude.												486067	Action/Process						-	Basic actions and technology									-		similar
#
11675		0CONCEPTICON	1815	ACHE													ACHE		To be in continuous pain.												751582	Action/Process						-	The body									-		similar
#
2327	Huber-1992-374-170	Huber-1992-374	349	ACHIOTE	ACHIOTE												ACHIOTE											170														ACHIOTE, BIJA								similar
10209		0CONCEPTICON	349	ACHIOTE													ACHIOTE		A derivative of the achiote trees of tropical regions of the Americas used as a red food coloring and as a flavoring.												1510885	Person/Thing						-	Agriculture and vegetation									-		similar
#
10828		0CONCEPTICON	968	ACORN													ACORN		Fruit of the oak tree.												419370	Person/Thing						-	Agriculture and vegetation									8.66		similar
#
10848		0CONCEPTICON	988	ACQUIT													ACQUIT		To pronounce not guilty of criminal charges.												424928	Action/Process						-	Law									21.34		similar
#
11721		0CONCEPTICON	1861	ACTIVE													ACTIVE		Characterized by energetic activity.												8019	Property						-	The physical world									-		similar
#
2389	Huber-1992-374-238	Huber-1992-374	802	ADAM’S APPLE	ADAM’S APPLE												ADAM’S APPLE											238														NUEZ DE LA GARGANTA								similar
10662		0CONCEPTICON	802	ADAM’S APPLE													ADAM’S APPLE		A lump at the front of the neck.												348242	Person/Thing						-	The body									-		similar
#
10451		0CONCEPTICON	591	ADDRESS													ADDRESS		Direction or superscription of a letter, or the name, title, and place of residence of the person addressed.												160397	Person/Thing						-	Modern world									23.385		similar
#
11678		0CONCEPTICON	1818	ADJUDICATE													ADJUDICATE		To act as a judge.												754888	Action/Process						-	Law									21.16		similar
#
11882		0CONCEPTICON	2022	ADMIT													ADMIT		To admit to be true.												992946	Action/Process						439423	Speech and language									18.33		similar
#
10761		0CONCEPTICON	901	ADOBE													ADOBE		An unburnt brick dried in the sun made of clay and dried grasses.												383952	Person/Thing						-	The house									7.64		similar
#
11682		0CONCEPTICON	1822	ADORNMENT													ADORNMENT		Something that beautifies or adorns.												756816	Person/Thing						-	Clothing and grooming									6.71		similar
#
10762		0CONCEPTICON	902	ADULTERY													ADULTERY		Sex by a married person with someone other than their spouse.												383985	Person/Thing						-	Law									21.43		similar
#
10150		0CONCEPTICON	290	ADZE													ADZE		A sharp tool with the blade at a right angle to the handle, used to shape pieces of wood												1507412	Person/Thing						-	Basic actions and technology									9.251		similar
#
11545		0CONCEPTICON	1685	AFTER													AFTER		Subsequent; following in time; later than.												6944	Other						-	Spatial relations									12.01		similar
#
3226	Zgraggen-1980-380-270	Zgraggen-1980-380	1807	AFTERNOON	AFTERNOON												AFTERNOON											270																						similar
11667		0CONCEPTICON	1807	AFTERNOON													AFTERNOON		The part of the day which follows noon, between noon and evening.												7455	Person/Thing						-	Time									14.451		similar
#
3234	Zgraggen-1980-380-280	Zgraggen-1980-380	1685	AFTERWARDS	AFTERWARDS												AFTER											280																						similar
#
10064		0CONCEPTICON	204	AGAIN													AGAIN		Once more.												1412012	Other						6952	Time									14.35		similar
#
11649		0CONCEPTICON	1789	AGE													AGE		The period of time that a person, animal or plant has lived or is expected to live.												73	Person/Thing						-	Time									14.12		similar
#
2274	Huber-1992-374-117	Huber-1992-374	313	AGOUTI	AGOUTI												AGOUTI											117														AGUTÍ								similar
10173		0CONCEPTICON	313	AGOUTI													AGOUTI		A rodent similar in appearance to a guinea pig but having longer legs.												1510408	Person/Thing						-	Animals									-		similar
#
9887		0CONCEPTICON	27	AIR													AIR		A predominantly mechanical mixture of a variety of individual gases forming the earth's enveloping atmosphere.												106	Person/Thing						-	The physical world									1.71		similar
#
11457		0CONCEPTICON	1597	AIRPLANE													AIRPLANE		A powered heavier-than-air aircraft with fixed wings that obtains lift by the Bernoulli effect and is used for transportation.												6549	Person/Thing						108	Modern world									23.16		similar
#
3112	Zgraggen-1980-380-131	Zgraggen-1980-380	464	ALANG-ALANG GRASS	ALANG-ALANG GRASS												ALANG-ALANG GRASS											131																						similar
10324		0CONCEPTICON	464	ALANG-ALANG GRASS													ALANG-ALANG GRASS		It is a perennial high grown grass native to Asia, Australia and Africa.												1543597	Person/Thing						-	Agriculture and vegetation									-		similar
#
2522	Huber-1992-374-373	Huber-1992-374	1422	ALIVE	ALIVE												BE ALIVE											373														VIVO								similar
#
2411	Huber-1992-374-261	Huber-1992-374	98	ALL	ALL												ALL											261														TODOS								similar
3015	Zgraggen-1980-380-4	Zgraggen-1980-380	98	ALL	ALL												ALL											4																						similar
9958		0CONCEPTICON	98	ALL													ALL		The totality of.												1173416	Other						-	Quantity									13.14		similar
#
11441		0CONCEPTICON	1581	ALLIGATOR													ALLIGATOR		(Alligatoridae) A reptile belonging to the order Crocodilia.												648694	Person/Thing						-	Animals									3.97		similar
#
11824		0CONCEPTICON	1964	ALONE													ALONE		Without any others being included or involved.												904382	Property						-	Quantity									13.331		similar
#
10713		0CONCEPTICON	853	ALTAR													ALTAR		Table for religious ceremonies.												361044	Person/Thing						1314139	Religion and belief									22.14		similar
#
3244	Zgraggen-1980-380-293	Zgraggen-1980-380	1676	ALWAYS	ALWAYS												ALWAYS											293																						similar
11536		0CONCEPTICON	1676	ALWAYS													ALWAYS		At all times.												6902	Other						6903	Time									14.31		similar
#
11723		0CONCEPTICON	1863	AMAZING													AMAZING		Causing great surprise or sudden wonder.												803175	Property						-	Emotions and values									-		similar
#
9925		0CONCEPTICON	65	AMBUSH													AMBUSH		The act of concealing yourself and lying in wait to attack by surprise.												1117421	Person/Thing						-	Warfare and hunting									20.49		similar
#
2280	Huber-1992-374-123	Huber-1992-374	896	ANACONDA, WATER BOA	ANACONDA, WATER BOA												ANACONDA, WATER BOA											123														MAPANA								similar
10756		0CONCEPTICON	896	ANACONDA, WATER BOA													ANACONDA, WATER BOA		Any of various large non-venomous snakes of the genus Eunectes, found mainly in northern South America.												379150	Person/Thing						-	Animals									-		similar
#
11529		0CONCEPTICON	1669	ANCESTORS													ANCESTORS		Person from whom a person is descended, whether on the father's or mother's side, at any number of generations.												6861	Person/Thing						-	Kinship									2.56		similar
#
11730		0CONCEPTICON	1870	ANCHOR													ANCHOR		Something, usually a heavy piece of metal with points which dig into the sea-bed, used to hold a boat in one position.												806253	Person/Thing						-	Motion									10.89		similar
#
11437		0CONCEPTICON	1577	AND													AND		Used to connect two homogeneous words or phrases.												6464	Other						6466	Cognition									17.51		similar
#
9942		0CONCEPTICON	82	ANGER													ANGER		Belligerence aroused by a real or supposed wrong (personified as one of the deadly sins).												1156554	Person/Thing						-	Emotions and values									16.42		similar
#
11686		0CONCEPTICON	1826	ANGRY													ANGRY		Irritated, in a temper, feeling or displaying anger.												7613	Property						-	Emotions and values									-		similar
#
10479		0CONCEPTICON	619	ANIMAL													ANIMAL		Any living organism characterized by voluntary movement, the possession of cells with noncellulose cell walls and specialized sense organs enabling rapid response to stimuli, and the ingestion of complex organic substances such as plants and other animals.												194	Person/Thing						-	Animals									3.11		similar
#
10663		0CONCEPTICON	803	ANKLE													ANKLE		A joint formed where the foot and the leg meet.												348298	Person/Thing						-	The body									4.371		similar
#
9869		0CONCEPTICON	9	ANNOUNCE													ANNOUNCE		To make known by stating or announcing.												1024716	Action/Process						728351	Speech and language									18.43		similar
#
11135		0CONCEPTICON	1275	ANSWER													ANSWER		To communicate a message of any form in reaction to something that has been asked or expressed, to the being who expressed it; to react verbally.												5610	Action/Process						-	Speech and language									18.32		similar
#
2303	Huber-1992-374-146	Huber-1992-374	587	ANT	ANT												ANT											146														HORMIGA								similar
10447		0CONCEPTICON	587	ANT													ANT		Any of the black, red, brown, or yellow insects of the family Formicidae characterized by a large head and by living in organized colonies.												160271	Person/Thing						-	Animals									3.817		similar
#
2266	Huber-1992-374-109	Huber-1992-374	181	ANTEATER	ANTEATER												ANTEATER											109														OSO HORMIGUERO								similar
10041		0CONCEPTICON	181	ANTEATER													ANTEATER		A mammal of the suborder Vermilingua having elongated snouts and feeding on ants and termites.												1385114	Person/Thing						-	Animals									3.89		similar
#
11733		0CONCEPTICON	1873	ANTHILL													ANTHILL		A mound of earth made by ants as they dig their nest.												808465	Person/Thing						-	Animals									-		similar
#
11795		0CONCEPTICON	1935	ANUS													ANUS		The lower opening of the digestive tract, through which feces pass.												853880	Person/Thing						-	The body									-		similar
#
11508		0CONCEPTICON	1648	ANVIL													ANVIL		A heavy iron block used by a blacksmith as a surface upon which metal can be struck and shaped.												6777	Person/Thing						-	Basic actions and technology									9.62		similar
#
10860		0CONCEPTICON	1000	ANXIETY													ANXIETY		An unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath.												430287	Person/Thing						-	Emotions and values									16.33		similar
#
10877		0CONCEPTICON	1017	APPEARANCE													APPEARANCE		The outward or visible aspect of a person or thing.												434826	Person/Thing						-	The body									-		similar
#
11180		0CONCEPTICON	1320	APPLE													APPLE		The popular, crisp, round fruit of the apple tree, usually with red, yellow or green skin, light-coloured flesh and pips inside.												5781	Person/Thing						-	Agriculture and vegetation									-		similar
#
11638		0CONCEPTICON	1778	APPROACH													APPROACH		To come near to; to move towards.												721097	Action/Process						-	Motion									10.56		similar
#
10736		0CONCEPTICON	876	ARCH													ARCH		An arch-shaped arrangement of trapezoidal stones, designed to redistribute downward force outward.												372196	Person/Thing						372193;372199	The house									7.58		similar
#
10121		0CONCEPTICON	261	ARCTIC LIGHTS													ARCTIC LIGHTS		A natural light display in the sky particularly in the Arctic regions.												1505700	Person/Thing						-	The physical world									1.771		similar
#
2176	Huber-1992-374-19	Huber-1992-374	1673	ARM	ARM												ARM											19														BRAZO								similar
3047	Zgraggen-1980-380-55	Zgraggen-1980-380	1673	ARM	ARM												ARM											55																						similar
11533		0CONCEPTICON	1673	ARM													ARM		The upper limb, extending from the shoulder to the wrist and sometimes including the hand.												6894	Person/Thing						-	The body									4.31		similar
#
2257	Huber-1992-374-100	Huber-1992-374	1885	ARMADILLO	ARMADILLO												ARMADILLO											100														ARMADILLO, QUINQUINCHO, CHUPA								similar
11745		0CONCEPTICON	1885	ARMADILLO													ARMADILLO		(family Dasypodidae) Burrowing chiefly nocturnal mammal with body covered with strong horny plates.												817621	Person/Thing						-	Animals									-		similar
#
10921		0CONCEPTICON	1061	ARMOUR													ARMOUR		Clothing that soldiers wear to protect themselves during combat. Historically made of leather or metal, today special materials like kevlar are used.												454297	Person/Thing						-	Warfare and hunting									20.31		similar
#
3050	Zgraggen-1980-380-59	Zgraggen-1980-380	1886	ARMPIT	ARMPIT												ARMPIT											59																						similar
11746		0CONCEPTICON	1886	ARMPIT													ARMPIT		The hollow under the upper part of the arm at the shoulder.												818235	Person/Thing						-	The body									4.312		similar
#
11421		0CONCEPTICON	1561	ARMY													ARMY		A large, military force concerned mainly with ground operations.												6414	Person/Thing						-	Warfare and hunting									20.15		similar
#
11428		0CONCEPTICON	1568	ARRANGE													ARRANGE		To give structure to.												6432	Action/Process						-	Basic actions and technology									-		similar
#
11247		0CONCEPTICON	1387	ARRIVE													ARRIVE		To come to a destination.												5965	Action/Process						-	Motion									10.55		similar
#
2252	Huber-1992-374-95	Huber-1992-374	977	ARROW	ARROW												ARROW											95														FLECHA								similar
10837		0CONCEPTICON	977	ARROW													ARROW		Pointed projectile that is shot with a bow.												420887	Person/Thing						-	Warfare and hunting									20.25		similar
#
3166	Zgraggen-1980-380-196a	Zgraggen-1980-380	977	ARROW A	ARROW A												ARROW											196a																						narrower
#
3167	Zgraggen-1980-380-196b	Zgraggen-1980-380	977	ARROW B	ARROW B												ARROW											196b																						narrower
#
3168	Zgraggen-1980-380-196c	Zgraggen-1980-380	977	ARROW C	ARROW C												ARROW											196c																						narrower
#
3169	Zgraggen-1980-380-196d	Zgraggen-1980-380	977	ARROW D	ARROW D												ARROW											196d																						narrower
#
11749		0CONCEPTICON	1889	ARSON													ARSON		The crime of setting fire to a building or a property on purpose.												819524	Person/Thing						-	Law									21.46		similar
#
11785		0CONCEPTICON	1925	ARTERY													ARTERY		A blood vessel transporting blood away from the heart.												8473	Person/Thing						-	The body									4.151		similar
#
2214	Huber-1992-374-57	Huber-1992-374	646	ASH	ASH												ASH											57														CENIZA								similar
10506		0CONCEPTICON	646	ASH													ASH		The incombustible matter remaining after a substance has been incinerated.												264	Person/Thing						-	The physical world									1.84		similar
#
11754		0CONCEPTICON	1894	ASHAMED													ASHAMED		Feeling shame or guilt.												823950	Property						-	Emotions and values									-		similar
#
3142	Zgraggen-1980-380-164	Zgraggen-1980-380	646	ASHES	ASHES												ASH											164																						similar
#
11169		0CONCEPTICON	1309	ASK, INQUIRE													ASK, INQUIRE		To ask (a question) to somebody; to seek an answer to.												5717	Action/Process						955350	Speech and language									18.31		similar
#
11688		0CONCEPTICON	1828	ASK, REQUEST													ASK, REQUEST		To desire a service or physical goods, often without returning the favor in kind.												7621	Action/Process						1495114	Speech and language									18.35		similar
#
10763		0CONCEPTICON	903	ASPEN													ASPEN		A kind of poplar tree (genus Populus; section Populus).												384856	Person/Thing						-	Agriculture and vegetation									-		similar
#
11760		0CONCEPTICON	1900	ASTONISHED													ASTONISHED		Filled with the emotional impact of overwhelming surprise or shock.												834474	Property						-	Emotions and values									16.15		similar
#
2471	Huber-1992-374-322	Huber-1992-374	1461	AT	AT												AT											322														EN, LUGAR DEFINIDO								similar
