ID	NUMBER	LATIN	RUSSIAN	PALLAS_1786_441	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Pallas-1789-285-115	115	altitudo	Высота	238	height, altitude (noun)	2535	ALTITUDE
Pallas-1789-285-116	116	latitudo	Ширина	239	breadth, width (noun)	2536	BREADTH
Pallas-1789-285-117	117	longitudo	Длина	240	length (noun)	2537	LENGTH
Pallas-1789-285-118	118	foramen	Дыра	241	hole (noun)	1667	HOLE
Pallas-1789-285-119	119	fovea	Яма	242	pit, large hole (noun)	2539	PIT (POTHOLE)
Pallas-1789-285-120	120	fossa	Ровъ	243	trench (noun)	2538	TRENCH (FOSSE)
Pallas-1789-285-121	121	lapis	Камень	245	stone (noun)	857	STONE
Pallas-1789-285-122	122	aurum	Золото	246	gold (noun)	1369	GOLD
Pallas-1789-285-123	123	argentum	Серебро	247	silver (noun)	759	SILVER
Pallas-1789-285-124	124	sal	Соль	252	salt (noun)	1274	SALT
Pallas-1789-285-125	125	miraculum	Чудо	255	wonder (noun)	2541	MIRACLE
Pallas-1789-285-126	126	silua	Лѣсъ	259	wood, forest (noun)	420	FOREST
Pallas-1789-285-127	127	herba	Трава	257	herbs (noun)	2542	HERB
Pallas-1789-285-128	128	arbor	Дерево	258	tree (noun)	906	TREE
Pallas-1789-285-129	129	palus	Колъ	260	stake, pole (noun)	281	POST
Pallas-1789-285-130	130	gramen	Зелень	256	grass (noun)	606	GRASS
Pallas-1789-285-131	131	quercus	Дубъ	273	oak (noun)	644	OAK
Pallas-1789-285-132	132	truncus	Пень	262	stump (of tree, noun)	241	TREE STUMP
Pallas-1789-285-133	133	folium	Листъ	265	leaf (noun)	628	LEAF
Pallas-1789-285-134	134	fructus	Плоды	267	fruit (noun)	1507	FRUIT
Pallas-1789-285-135	135	cortex	Кора	263	bark (noun)	1204	BARK
Pallas-1789-285-136	136	radix	Корень	261	root (noun)	670	ROOT
Pallas-1789-285-137	137	ramus	Сукъ	264	branch (noun)	1531	BRANCH
Pallas-1789-285-138	138	campus	Поле	275	field (noun)	652	PLAIN
Pallas-1789-285-139	139	pratum	Лугъ	278	meadow (noun)	2819	GRASSLAND
Pallas-1789-285-140	140	frumentum	Жито	279	crop (noun)	605	GRAIN
Pallas-1789-285-141	141	secale	Рожь	280	rye (noun)	23	RYE
Pallas-1789-285-142	142	avena	Овесъ	282	oat (noun)	60	OAT
Pallas-1789-285-143	143	uva	Виноградъ	274	vine (noun)	343	VINE
Pallas-1789-285-144	144	piscis	Рыба	286	fish (noun)	227	FISH
Pallas-1789-285-145	145	vermis	Червь	291	worm (noun)	1219	WORM
Pallas-1789-285-146	146	musca	Муха	292	fly (noun)	1504	FLY (INSECT)
Pallas-1789-285-147	147	fera	Звѣрь	285	animal (wild, noun)	958	WILD ANIMAL
Pallas-1789-285-148	148	bos	Быкъ	298	bull, ox (noun)	1008	BULL
Pallas-1789-285-149	149	vacca	Корова	299	cow (noun)	1007	COW
Pallas-1789-285-150	150	aries	Баранъ	302	ram (animal, noun)	1344	RAM
Pallas-1789-285-151	151	cornu	Рогъ	304	horn (noun)	1393	HORN (ANATOMY)
Pallas-1789-285-152	152	equus	Конь	305	horse (noun)	615	HORSE
Pallas-1789-285-153	153	sus	Свинья	308	pig (noun)	1337	PIG
Pallas-1789-285-154	154	canis	Собака	309	dog (noun)	2009	DOG
Pallas-1789-285-155	155	catus	Котъ	310	cat (noun)	1208	CAT
Pallas-1789-285-156	156	mus	Мышъ	316	mouse (noun)	1491	MOUSE
Pallas-1789-285-157	157	avis	Птица	325	bird (noun)	937	BIRD
Pallas-1789-285-158	158	penna	Перо	328	feather (noun)	1201	FEATHER
Pallas-1789-285-159	159	gallus	Пѣтелъ	317	cock (noun)	1511	ROOSTER
Pallas-1789-285-160	160	ovum	Яицо	329	egg (noun)	744	EGG
Pallas-1789-285-161	161	gallina	Курица	318	chicken (noun)	1318	CHICKEN
Pallas-1789-285-162	162	anser	Гусь	319	goose (noun)	1187	GOOSE
Pallas-1789-285-163	163	anas	Утка	320	duck (noun)	1360	DUCK
Pallas-1789-285-164	164	columba	Голубь	321	pigeon (noun)	1853	DOVE
Pallas-1789-285-165	165	aratrum	Соха	333	plough (noun)	2154	PLOUGH (INSTRUMENT)
Pallas-1789-285-166	166	occa	Борона	335	harrow (noun)	2545	HARROW (TOOL)
Pallas-1789-285-167	167	limes	Межа	337	border, frontier (noun)	2546	BORDER
Pallas-1789-285-168	168	domus	Домъ	338	house (noun)	1252	HOUSE
Pallas-1789-285-169	169	porta	Дверь	341	door (noun)	1567	DOOR
Pallas-1789-285-170	170	aula	Дворъ		yard (noun)	736	YARD
Pallas-1789-285-171	171	urbs	Городъ	344	city (noun)	2547	CITY
Pallas-1789-285-172	172	focus	Очагъ	342	stove (noun)	859	STOVE
Pallas-1789-285-173	173	mensura	Мѣра	347	measure (noun)	1506	MEASURE
Pallas-1789-285-174	174	cadus	Кадъ		jug (noun)	270	JUG
Pallas-1789-285-175	175	securis	Топоръ	346	axe (noun)	677	AXE
Pallas-1789-285-176	176	cingulum	Поясъ	365	belt (noun)	772	BELT
Pallas-1789-285-177	177	clavus	Гвоздъ		nail (tool, noun)	502	NAIL (TOOL)
Pallas-1789-285-178	178	vectura	Возъ	355	vehicle (noun)	2549	VEHICLE
Pallas-1789-285-179	179	panis	Хлѣбъ	376	bread (noun)	1368	BREAD
Pallas-1789-285-180	180	vinum	Вино	374	wine (noun)	1524	WINE
Pallas-1789-285-181	181	cibus	Яствы	370	food (noun)	2550	VIANDS (PROVISIONS)
Pallas-1789-285-182	182	fur	Тать	378	thief (noun)	1160	THIEF
Pallas-1789-285-183	183	thorax	Латы	383	harness (noun)	2552	HARNESS (ARMOUR)
Pallas-1789-285-184	184	custos	Сторожъ	395	watchmen (noun)	1940	GUARD
Pallas-1789-285-185	185	rixa	Брань	381	quarrel (noun)	1848	QUARREL
Pallas-1789-285-186	186	pugna	Драка	382	fight (noun)	3301	BRAWL
Pallas-1789-285-187	187	miseria	Бѣда	387	need, misery (noun)	2553	MISERY
Pallas-1789-285-188	188	victoria	Побѣда	378	victory (noun)	783	VICTORY
Pallas-1789-285-189	189	bellum	Война	379	war (noun)	935	WAR
Pallas-1789-285-190	190	miles	Воинъ	380	warrior (noun)	1941	SOLDIER
Pallas-1789-285-191	191	segnities	Лѣнь	95	lazy (noun)	1564	LAZY
Pallas-1789-285-192	192	concordia	Ладъ		concord, harmony (noun)		
Pallas-1789-285-193	193	puerperium	Родины		childbed (noun)		
Pallas-1789-285-194	194	pavimentum	Полъ	343	ground, floor (noun)	2159	GROUND
Pallas-1789-285-195	195	ager	Пашня	276	field, acre (noun)	212	FIELD
Pallas-1789-285-196	196	jugum	Иго	397	yoke (noun)	14	YOKE
Pallas-1789-285-197	197	navis	Судно	353	ship (noun)	740	SHIP
Pallas-1789-285-198	198	cetus	Китъ		sea monster (noun)	2038	DRAGON
Pallas-1789-285-199	199	lux	Свѣтъ	202	light (noun)	630	LIGHT (RADIATION)
Pallas-1789-285-200	200	tonitru	Громъ	195	thunder	1150	THUNDER
Pallas-1789-285-201	201	juvenis	Молодъ	142	young (adjective)	1207	YOUNG
Pallas-1789-285-202	202	vetus	Старъ	141	old (adjective)	2112	OLD (AGED)
Pallas-1789-285-203	203	sanus	Здравъ	150	healthy (adjective)	1364	HEALTHY
Pallas-1789-285-204	204	alte	Высоко	145	tall (adjective)	1265	HIGH
Pallas-1789-285-205	205	humile	Ниско	146	low (adjective)	721	LOW
Pallas-1789-285-206	206	magnum	Велико	143	big (adjective)	1202	BIG
Pallas-1789-285-207	207	parvum	Мало	144	small (adjective)	1246	SMALL
Pallas-1789-285-208	208	album	Бѣло	172	white (adjective)	1335	WHITE
Pallas-1789-285-209	209	nigrum	Черно	173	black (adjective)	163	BLACK
Pallas-1789-285-210	210	rubrum	Красно	174	red (adjective)	156	RED
Pallas-1789-285-211	211	viride	Зелено	175	green (adjective)	1425	GREEN
Pallas-1789-285-212	212	acute	Остро	158	sharp (adjective)	1396	SHARP
Pallas-1789-285-213	213	humide; crudum	Сыро	371	raw (noun)	1959	RAW
Pallas-1789-285-214	214	laevis	Легокъ	162	light (adjective)	1052	LIGHT (WEIGHT)
Pallas-1789-285-215	215	crassus	Толстъ	168	fat (adjective)	2449	FAT (OF MEAT AND FOOD)
Pallas-1789-285-216	216	bene, probum	Добро		good, noble (adjective)		
Pallas-1789-285-217	217	bene, pulchre	Хорошо	151	good (adjective)	1035	GOOD
Pallas-1789-285-218	218	pulchre, lepide	Лѣпо	157	beautiful (adjective)	1427	BEAUTIFUL
Pallas-1789-285-219	219	benignus, beatus	Благъ	152	blessed (adjective)	2529	BLESSED
Pallas-1789-285-220	220	malum, maligne	Зло	153	evil (adjective)	45	EVIL
Pallas-1789-285-221	221	male, dementer	Дурно	154	bad (adjective)	1292	BAD
Pallas-1789-285-222	222	male	Худо	154	bad (adjective)	1292	BAD
Pallas-1789-285-223	223	cito	Скоро	170	fast (adjective)	1631	FAST
Pallas-1789-285-224	224	lente	Тихо	171	quiet (adjective)	1314	QUIET
Pallas-1789-285-225	225	vivum	Живо		alive, living (adjective)	1422	BE ALIVE
Pallas-1789-285-226	226	hilaris	Радъ	88	glad (adjective)	1495	HAPPY
Pallas-1789-285-227	227	edere	Ясти	109	to eat (verb)	1336	EAT
Pallas-1789-285-228	228	bibere	Пить	113	to drink (verb)	1401	DRINK
Pallas-1789-285-229	229	canere	Пѣть	71	to sing (verb)	1261	SING
Pallas-1789-285-230	230	cedere	Бить		to beat (verb)	2133	STRIKE OR BEAT
Pallas-1789-285-231	231	dormire	Спать	80	to sleep (verb)	1585	SLEEP
Pallas-1789-285-232	232	jacere	Лечь	75	to lie, to rest (verb)	1411	LIE (REST)
Pallas-1789-285-233	233	sumere	Взять	115	to take (verb)	1749	TAKE
Pallas-1789-285-234	234	amare	Любить	86	to love (verb)	923	LOVE
Pallas-1789-285-235	235	portare	Носить	117	to wear (verb)	976	WEAR
Pallas-1789-285-236	236	vehere	Возить	356	to drive (a vehicle, verb)	741	DRIVE
Pallas-1789-285-237	237	secare	Рѣзать	123	to cut (verb)	1432	CUT
Pallas-1789-285-238	238	serere	Сѣять	277	to sow (verb)	748	SOW SEEDS
Pallas-1789-285-239	239	arare	Пахать	332	to plow, plough (verb)	1921	PLOUGH
Pallas-1789-285-240	240	ocultare	Скрыть	124	to hide (verb)	602	HIDE (CONCEAL)
Pallas-1789-285-241	241	fundere	Лить	120	to pour (verb)	1487	POUR
Pallas-1789-285-242	242	coquere	Варить	372	to boil (verb)	1100	COOK (SOMETHING)
Pallas-1789-285-243	243	est	Есть	104	he is (verb)	1579	BE
Pallas-1789-285-244	244	da	Дай	122	give! (imperative, verb)	1447	GIVE
Pallas-1789-285-245	245	sta	Стой	76	to stand (verb)	1442	STAND
Pallas-1789-285-246	246	ito	Иди	78	go! (imperative, verb)	695	GO
Pallas-1789-285-247	247	ego	Я	95	I (p)	1209	I
Pallas-1789-285-248	248	tu	Ты	96	thou, you (p)	1215	THOU
Pallas-1789-285-249	249	ille	Онъ	97	he (p)	1211	HE
Pallas-1789-285-250	250	illa	Она		she (p)	1834	SHE
Pallas-1789-285-251	251	nos	Мы	98	we (p)	1212	WE
Pallas-1789-285-252	252	vos	Вы	99	you (plural, pronoun)	1213	YOU
Pallas-1789-285-253	253	illi	Они	100	they (p)	817	THEY
Pallas-1789-285-254	254	illis	Имъ		them (dative case, pronoun)	817	THEY
Pallas-1789-285-255	255	quid	Что	419	what (interrogative)	1236	WHAT
Pallas-1789-285-256	256	per quod	Чемъ	422	with what (interrogative)	1236	WHAT
Pallas-1789-285-257	257	perquem, quis	Кѣмъ, кто	421	with whom (interrogative)	1235	WHO
Pallas-1789-285-258	258	ita	Да	402	yes (other)	1268	YES
Pallas-1789-285-259	259	non	Нѣтъ	403	no (other)	1269	NO
Pallas-1789-285-260	260	ubi	Гдѣ	417	where (interrogative)	1237	WHERE
Pallas-1789-285-261	261	hic	Здѣсь	409	here (adverb)	136	HERE
Pallas-1789-285-262	262	ibi	Тамъ	410	there (adverb)	1937	THERE
Pallas-1789-285-263	263	sub	Подъ	423	under (preposition)	1485	BELOW OR UNDER
Pallas-1789-285-264	264	super	Надъ	424	over (preposition)	1741	ABOVE
Pallas-1789-285-265	265	in	Во	426	in (preposition)	1460	IN
Pallas-1789-285-266	266	quando	Когда	418	when (interrogative)	1238	WHEN
Pallas-1789-285-267	267	nunc	Теперь	404	now (adverb)	1376	NOW
Pallas-1789-285-268	268	prius	Прежде	405	before (adverb)	1882	BEFORE
Pallas-1789-285-269	269	post	Послѣ	406	after	1685	AFTER
Pallas-1789-285-270	270	quomodo	Какъ	416	how (interrogative)	1239	HOW
Pallas-1789-285-271	271	sine	Безъ	425	without (preposition)	1478	WITHOUT
Pallas-1789-285-272	272	vel	Или	415	or (conjunction)	1014	OR
Pallas-1789-285-273	273	ecce, vide	Вотъ	414	look (exclamation)	1819	LOOK
Pallas-1789-285-274	274	*unus	*Одинъ	428	one (numeral)	1493	ONE
Pallas-1789-285-275	275	*duo	*Два	429	two (numeral)	1498	TWO
Pallas-1789-285-276	276	*tria	*Три	430	three (numeral)	492	THREE
Pallas-1789-285-277	277	*quatuor	*Четыре	431	four (numeral)	1500	FOUR
Pallas-1789-285-278	278	*quinque	*Пять	432	five (numeral)	493	FIVE
Pallas-1789-285-279	279	*sex	Шесть	433	six (numeral)	1703	SIX
Pallas-1789-285-280	280	*septem	Семь	434	seven (numeral)	1704	SEVEN
Pallas-1789-285-281	281	*octo	Восемь	435	eight (numeral)	1705	EIGHT
Pallas-1789-285-282	282	*novem	Девять	436	nine (numeral)	1483	NINE
Pallas-1789-285-283	283	*decem	Десять	437	ten (numeral)	1515	TEN
Pallas-1789-285-284	284	*centum	Сто	441	hundred (numeral)	1634	HUNDRED
Pallas-1789-285-285	285	*mille	Тысяча	442	thousand (numeral)	1843	THOUSAND
