ID	NUMBER	ENGLISH	POS	LEXIBANK_GLOSS	SWAHILI	CONCEPTICON_ID	CONCEPTICON_GLOSS
Nurse-1975-1038-132	132	intestines	n.	intestines	matumbo	1991	INTESTINES
Nurse-1975-1038-133	133	belly, stomach	n.	belly, stomach	tumbo		
Nurse-1975-1038-134	134	lie down	v.	lie down	(ku)lala	215	LIE DOWN
Nurse-1975-1038-135	135	have sexual intercourse with	v.	have sexual intercourse with	(ku)lala (na)		HAVE SEX
Nurse-1975-1038-136	136	sleep	v.	sleep	(ku)lala usingizi	1585	SLEEP
Nurse-1975-1038-137	137	spend time	v.	spend time	(ku)pisha (wakati)		
Nurse-1975-1038-138	138	bridge	n.	bridge	daraja	1011	BRIDGE
Nurse-1975-1038-139	139	bridge	n.	bridge//bridge (wa mbao)	ulalo (wa mbao)	1011	BRIDGE
Nurse-1975-1038-140	140	stretch oneself	v.	stretch oneself	(ku)jinyosha	214	STRETCH
Nurse-1975-1038-141	141	be spread out	v.	be spread out	(ku)enea(enea)		
Nurse-1975-1038-142	142	follow	v.	follow	(ku)fuata	1085	FOLLOW
Nurse-1975-1038-143	143	follow (in order)	v.	follow (in order)	(ku)andama		
Nurse-1975-1038-144	144	long	n.	long	-refu	1203	LONG
Nurse-1975-1038-145	145	serpent, snake	n.	serpent, snake	nyoka	730	SNAKE
Nurse-1975-1038-146	146	today	n.	today	leo	1283	TODAY
Nurse-1975-1038-147	147	beard	n.	beard	ndevu	678	BEARD
Nurse-1975-1038-148	148	avoid	v.	avoid	(ku)epuka		
Nurse-1975-1038-149	149	rest heavily on, be burdensome	v.	rest heavily on, be burdensome	(ku)lemea		
Nurse-1975-1038-150	150	honor	v.	honor	(ku)heshimu		
Nurse-1975-1038-151	151	be lame	v.	be lame	(ku)chechemea	320	LAME
Nurse-1975-1038-152	152	be mutilated	v.	be mutilated	(ku)lemaa		
Nurse-1975-1038-153	153	cripple	n.	cripple	kilema		
Nurse-1975-1038-154	154	make straight	v.	make straight	(ku)nyosha		
Nurse-1975-1038-155	155	increase	v.	increase	(ku)zidi	1041	INCREASE
Nurse-1975-1038-155a	155a	increase	v.	increase	(ku)zidi urefu	1041	INCREASE
Nurse-1975-1038-156	156	eat	v.	eat//become long	(ku)la	1336	EAT
Nurse-1975-1038-157	157	righthand	n.	righthand	kulia	1019	RIGHT
Nurse-1975-1038-158	158	snare, trap	n.	snare, trap	mtego	1075	TRAP (PITFALL)
Nurse-1975-1038-159	159	pay	v.	pay	(ku)lipa	718	PAY
Nurse-1975-1038-160	160	cry, wail	v.	cry, wail	(ku)lia		
Nurse-1975-1038-161	161	bedstead	n.	bedstead	ulili		
Nurse-1975-1038-162	162	bed	n.	bed	kitanda	1663	BED
Nurse-1975-1038-163	163	mourning	n.	mourning	kilio		
Nurse-1975-1038-164	164	grief, sorrow	n.	grief, sorrow	huzuni	1668	GRIEF
Nurse-1975-1038-165	165	cultivate	v.	cultivate	(ku)lima	1541	CULTIVATE
Nurse-1975-1038-166	166	tongue	n.	tongue	ulimi	1205	TONGUE
Nurse-1975-1038-167	167	work	n.	work	kazi	984	WORK (LABOUR)
Nurse-1975-1038-168	168	agriculture	n.	agriculture	kilimo		
Nurse-1975-1038-169	169	root	n.	root	mzizi	670	ROOT
Nurse-1975-1038-170	170	sink	v.	sink	(ku)zuma (maji)	1088	SINK (DESCEND)
Nurse-1975-1038-171	171	bring to light	v.	bring to light	(ku)zua		
Nurse-1975-1038-172	172	pull up, root up	v.	pull up, root up	(ku)ng'oa	2066	PULL UP (RICE SEEDLINGS)
Nurse-1975-1038-173	173	pull up, come to a halt	v.	pull up, come to a halt	(ku)simama		
Nurse-1975-1038-174	174	turn round	v.	turn round	(ku)zungua, (ku)zungusha	1445	TURN (SOMETHING)
Nurse-1975-1038-175	175	white man	n.	white man	mzungu	2839	WHITE MAN
Nurse-1975-1038-176	176	stop up, fill a hole	v.	stop up, fill a hole	(ku)ziba		
Nurse-1975-1038-177	177	pool	n.	pool	kiziwa		
Nurse-1975-1038-178	178	lake	n.	lake	ziwa	624	LAKE
Nurse-1975-1038-179	179	bury	v.	bury	(ku)zika	1719	BURY
Nurse-1975-1038-180	180	quench, extinguish	v.	quench, extinguish	(ku)zima	127	EXTINGUISH
Nurse-1975-1038-181	181	get lost	v.	get lost	(ku)potea	423	GET LOST
Nurse-1975-1038-182	182	spirit (of dead person)	n.	spirit (of dead person)	mzimu		
Nurse-1975-1038-183	183	go round, turn round	v.	go round, turn round	(ku)zinga		TURN AROUND
Nurse-1975-1038-184	184	surround	v.	surround	(ku)zunguka		
Nurse-1975-1038-185	185	twist	v.	twist	(ku)sokota	430	TWIST
Nurse-1975-1038-186	186	bend, twist	v.	bend, twist	(ku)pinda		BEND
Nurse-1975-1038-187	187	wind up (thread)	v.	wind up (thread)	(ku)kunja (uzi)		
Nurse-1975-1038-188	188	close	v.	close	(ku)sinzia		CLOSE (MOUTH)
Nurse-1975-1038-189	189	fish-hook	n.	fish-hook	ndoana	1074	FISHHOOK
Nurse-1975-1038-190	190	fish	v.	fish	(ku)vua (samaki)		FISHING
Nurse-1975-1038-191	191	fish up, pull out	v.	fish up, pull out	(ku)opoa	2325	PULL OUT
Nurse-1975-1038-192	192	whistling	n.	whistling	ubinja / uwinja	1025	WHISTLE
Nurse-1975-1038-193	193	bewitch	v.	bewitch	(ku)loga	118	BEWITCH
Nurse-1975-1038-194	194	witchcraft	n.	witchcraft	ulozi	392	MAGIC
Nurse-1975-1038-195	195	sorcerer	n.	sorcerer//sorceror	mchawi	823	SORCERER
Nurse-1975-1038-196	196	drizzle	n.	drizzle	manyunyu	1016	DRIZZLE
Nurse-1975-1038-197	197	rainy season	n.	rainy season	masika	453	RAINY SEASON
Nurse-1975-1038-198	198	lip	n.	lip	mdomo	478	LIP
Nurse-1975-1038-199	199	ask for	v.	ask for	(ku)omba	1828	ASK (REQUEST)
Nurse-1975-1038-200	200	look for, hand around (to get something) 	v.	look for, hand around (to get	(ku)londea		
Nurse-1975-1038-201	201	sore	n.	sore	kidonda	51	SORE
Nurse-1975-1038-202	202	start off, send away	v.	start off, send away	(ku)ondoa		
Nurse-1975-1038-203	203	arrange, put in order	v.	arrange, put in order	(ku)panga	1568	ARRANGE
Nurse-1975-1038-204	204	arrange, put right, repair	v.	arrange, put right, repair	(ku)tengeneza	2243	REPAIR
Nurse-1975-1038-205	205	guide aright	v.	guide aright	(ku)ongoa		
Nurse-1975-1038-206	206	increase, make greater	v.	increase, make greater	(ku)ongeza	1041	INCREASE
Nurse-1975-1038-207	207	pack	v.	pack (mizigo)//pack	(ku)funga pamoja (mizigo)		
Nurse-1975-1038-208	208	pack, press together	v.	pack, press together	(ku)songa		
Nurse-1975-1038-209	209	river	n.	river	mto	666	RIVER
Nurse-1975-1038-210	210	well	n.	well	kisima	954	WELL
Nurse-1975-1038-211	211	number	n.	number	mwongo / mlongo	1356	NUMBER
Nurse-1975-1038-212	212	groove, furrow	n.	groove, furrow	mfuo	1794	FURROW
Nurse-1975-1038-213	213	line, row	n.	line, row	mstari	1048	LINE
Nurse-1975-1038-214	214	being one-eyed	n.	being one-eyed	uchongo		
Nurse-1975-1038-215	215	dream	v.	dream	(ku)ota (ndoto)		DREAM (SOMETHING)
Nurse-1975-1038-216	216	fight	v.	fight	(ku)pigana	1423	FIGHT
Nurse-1975-1038-217	217	overcome, win, vanquish	v.	overcome, win, vanquish//overcome; win, vanquish	(ku)shinda	1999	OVERCOME
Nurse-1975-1038-218	218	kill	v.	kill	(ku)ua	1417	KILL
Nurse-1975-1038-219	219	put to death	v.	put to death	(ku)fisha		
Nurse-1975-1038-220	220	slaughter	v.	slaughter	(ku)chinja	1796	SLAUGHTER
Nurse-1975-1038-221	221	bitter	n.	bitter	-chungu	887	BITTER
Nurse-1975-1038-222	222	bile	n.	bile	nyongo	1780	BILE
Nurse-1975-1038-223	223	bladder	n.	bladder	kibofu	1746	BLADDER
Nurse-1975-1038-224	224	vomit	v.	vomit	(ku)tapika	1278	VOMIT
Nurse-1975-1038-225	225	plait	v.	plait	(ku)suka	1729	PLAIT OR BRAID OR WEAVE
Nurse-1975-1038-226	226	male	n.	male	(d)ume	1553	MALE
Nurse-1975-1038-227	227	husband	n.	husband	mume	1200	HUSBAND
Nurse-1975-1038-228	228	store up, collect	v.	store up, collect	(ku)kusanya		
Nurse-1975-1038-229	229	add up	v.	add up	(ku)jumlisha		ADD
Nurse-1975-1038-230	230	construct, put together	v.	construct, put together	(ku)unda		
Nurse-1975-1038-231	231	become burnt	v.	become burnt	(ku)ungua	1428	BURNING
Nurse-1975-1038-232	232	pass, surpass	v.	pass, surpass	(ku)pita	402	SURPASS
Nurse-1975-1038-233	233	take off (clothes)	v.	take off (clothes)	(ku)vua (nguo)	1755	UNDRESS
Nurse-1975-1038-234	234	wear	v.	wear	(ku)vaa	976	WEAR
Nurse-1975-1038-235	235	clothe	v.	clothe	(ku)vika	158	PUT ON
Nurse-1975-1038-236	236	paddle	n.	paddle	kafi	234	PADDLE
Nurse-1975-1038-237	237	oar	n.	oar	kasia	108	RUDDER
Nurse-1975-1038-238	238	blow bellows	v.	blow bellows	(ku)vukuta		
Nurse-1975-1038-239	239	roar, rumble	v.	roar, rumble	(ku)vuma		
Nurse-1975-1038-240	240	smell (bad)	v.	smell (bad)	(ku)nuka	42	STINKING
Nurse-1975-1038-241	241	smell (sweet)	v.	smell (sweet)	(ku)nukia		
Nurse-1975-1038-242	242	bad smell (of fish)	n.	bad smell (of fish)	vumba		
Nurse-1975-1038-243	243	dust, cloud of dust	n.	dust, cloud of dust	vumbi	2	DUST
Nurse-1975-1038-244	244	pull	v.	pull	(ku)vuta	1455	PULL
Nurse-1975-1038-245	245	divide	v.	divide	(ku)gawa	1119	DIVIDE
Nurse-1975-1038-246	246	give away (present)	v.	give away (present)	(ku)toa (zawadi)	196	DONATE
Nurse-1975-1038-247	247	turn round, change	v.	turn round, change	(ku)geuka		
Nurse-1975-1038-248	248	alter, change	v.	alter, change	(ku)badili	1264	CHANGE
Nurse-1975-1038-249	249	go back, return	v.	go back, return	(ku)rejea		RETURN HOME
Nurse-1975-1038-250	250	lie on one's back	v.	lie on one's back	(ku)lala chali	1411	LIE (REST)
Nurse-1975-1038-251	251	say to, tell to	v.	say to, tell to	(ku)ambia	1458	SAY
Nurse-1975-1038-252	252	abuse	v.	abuse	(ku)amba		
Nurse-1975-1038-253	253	speak	v.	speak	(ku)sema	1623	SPEAK
Nurse-1975-1038-254	254	affair	n.	affair	jambo	2214	AFFAIR
Nurse-1975-1038-255	255	clan	n.	clan	ukoo	302	CLAN
Nurse-1975-1038-256	256	navel	n.	navel	kitovu	1838	NAVEL
Nurse-1975-1038-257	257	palm (of hand)	n.	palm (of hand)	kitanga (cha mkono)	1183	PALM OF HAND
Nurse-1975-1038-258	258	tie up	v.	tie up	(ku)funga kwa kamba	1094	FASTEN
Nurse-1975-1038-259	259	medicine, remedy	n.	medicine, remedy	dawa		
Nurse-1975-1038-260	260	medicine (=art of medicine man) 	n.	medicine (=art of medicine man//medicine (art of medicine man)	utabibu	1372	MEDICINE
Nurse-1975-1038-261	261	medicine man	n.	medicine man	mganga	394	SHAMAN (FOLK HEALER)
Nurse-1975-1038-262	262	bind up, splice	v.	bind up, splice	(ku)ganga		
Nurse-1975-1038-263	263	how many?	n.	how many?	-ngapi?	822	HOW MANY
Nurse-1975-1038-264	264	iron	n.	iron	chuma	621	IRON
Nurse-1975-1038-265	265	copper, brass	n.	copper, brass	shaba	1825	COPPER
Nurse-1975-1038-266	266	steel	n.	steel	(chuma cha) pua	2343	STEEL
Nurse-1975-1038-267	267	tooth	n.	tooth	jino	1380	TOOTH
Nurse-1975-1038-268	268	stranger, guest	n.	stranger, guest	mgeni	1782	GUEST
Nurse-1975-1038-269	269	go	n.	go	(kw)enda		
Nurse-1975-1038-269a	269a	walk	n.	walk	(kw)enda kwa miguu	1443	WALK
Nurse-1975-1038-270	270	travel	n.	travel//walk	(ku)safiri		
Nurse-1975-1038-271	271	journey	n.	journey	safari	2393	JOURNEY
Nurse-1975-1038-272	272	movement	n.	movement	mwendo		
Nurse-1975-1038-273	273	egg	n.	egg	yai	744	EGG
Nurse-1975-1038-274	274	act	v.	act	(ku)tenda		
Nurse-1975-1038-275	275	imitate	v.	imitate	(ku)iga / (ku)igiza	117	IMITATE
Nurse-1975-1038-276	276	village	n.	village	kijiji	930	VILLAGE
Nurse-1975-1038-277	277	town	n.	town	mji	1391	TOWN
Nurse-1975-1038-278	278	fly	n.	fly	inzi		
Nurse-1975-1038-279	279	withhold from	v.	withhold from//withold from	(ku)nyima		
Nurse-1975-1038-279a	279a	abstain	v.	abstain	(ku)jinyima		
Nurse-1975-1038-280	280	fireplace, hearth, kitchen	v.	abstain//fireplace, hearth, kitchen	jiko	185	FIREPLACE
Nurse-1975-1038-281	281	name	n.	name	jina	1405	NAME
Nurse-1975-1038-282	282	string	n.	string	uzi	362	STRING
Nurse-1975-1038-283	283	copy a pattern	v.	copy a pattern	(ku)oleza		
Nurse-1975-1038-284	284	drum	n.	drum	ngoma	908	DRUM
Nurse-1975-1038-285	285	cow	n.	cow	ng'ombe	1007	COW
Nurse-1975-1038-286	286	cattle	n.	cattle	mifugo	1153	CATTLE
Nurse-1975-1038-287	287	sheep	n.	sheep	kondoo	1331	SHEEP
Nurse-1975-1038-288	288	horse	n.	horse	farasi	615	HORSE
Nurse-1975-1038-289	289	duck	n.	duck	bata	1360	DUCK
Nurse-1975-1038-290	290	millipede	n.	millipede	jongoo		
Nurse-1975-1038-291	291	rooster (=cock)	n.	rooster (cock)//rooster (=cock)	jogoo	1511	ROOSTER
Nurse-1975-1038-292	292	donkey	n.	donkey	punda	1862	DONKEY
Nurse-1975-1038-292a	292a	zebra	n.	zebra	punda milia	3675	ZEBRA
Nurse-1975-1038-293	293	tortoise	n.	tortoise//zebra	kobe	895	TORTOISE
Nurse-1975-1038-294	294	hare	n.	hare	sungura		
Nurse-1975-1038-295	295	frog	n.	frog	chura	503	FROG
Nurse-1975-1038-296	296	snore, snort	v.	snore, snort	(ku)koroma	1983	SNORE
Nurse-1975-1038-297	297	back	n.	back	mgongo	1291	BACK
Nurse-1975-1038-297a	297a	backbone	n.	backbone	uti wa mgongo		
Nurse-1975-1038-298	298	fall	n.	fall//backbone	(ku)anguka	1276	AUTUMN
Nurse-1975-1038-299	299	cloth	n.	cloth	kitambaa	1616	CLOTH
Nurse-1975-1038-300	300	clothes, material	n.	clothes, material	nguo	1895	CLOTHES
Nurse-1975-1038-301	301	buy	v.	buy	(ku)nunua	1869	BUY
Nurse-1975-1038-302	302	sell	v.	sell	(ku)uza	1571	SELL
Nurse-1975-1038-303	303	sky	n.	sky	mbingu	1732	SKY
Nurse-1975-1038-304	304	light, sky	n.	light, sky	anga		LIGHT (RADIATION)
Nurse-1975-1038-305	305	cloud	n.	cloud	wingu	1489	CLOUD
Nurse-1975-1038-306	306	top, peak	n.	top, peak	kilele		TOP
Nurse-1975-1038-307	307	highest point, utmost	n.	highest point, utmost	kipeo	2205	PEAK
Nurse-1975-1038-308	308	crown of the head	n.	crown of the head	utosi		
Nurse-1975-1038-309	309	hill	n.	hill	kilima	614	HILL
Nurse-1975-1038-310	310	leg, foot	n.	leg, foot	mguu	2098	FOOT OR LEG
Nurse-1975-1038-311	311	up, above	n.	up, above	juu	1741	ABOVE
Nurse-1975-1038-312	312	pig	n.	pig	nguruwe	1337	PIG
Nurse-1975-1038-313	313	barren (of living being)	n.	barren (of living being)	tasa		
Nurse-1975-1038-314	314	barren (of land)	n.	barren (of land)	kame		
Nurse-1975-1038-315	315	sterile man (or woman)	n.	sterile man (or woman)	mgumba		
Nurse-1975-1038-316	316	garden	n.	garden	bustani	586	GARDEN
Nurse-1975-1038-317	317	hippopotamus	n.	hippopotamus	kiboko		
Nurse-1975-1038-318	318	rhinoceros	n.	rhinoceros//rhinocerous	kifaru	2591	RHINOCEROS
Nurse-1975-1038-319	319	cross (a river)	v.	cross (a river)	(ku)vuka	1742	TRAVERSE
Nurse-1975-1038-320	320	hunger	n.	hunger	njaa	1864	HUNGER
Nurse-1975-1038-321	321	rubbish heap	n.	rubbish heap	jaa	909	GARBAGE
