ID	NUMBER	ENGLISH	ENGLISH_GLOSS	FRENCH_GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gravina-2014-1611-131	131	Sunday	Sunday	dimanche	1699	SUNDAY
Gravina-2014-1611-132	132	Thursday	Thursday	jeudi // jeudi (jour de marché du village)	1693	THURSDAY
Gravina-2014-1611-133	133	Tuesday	Tuesday	mardi // mardi (jour de marché du village)	1695	TUESDAY
Gravina-2014-1611-134	134	Wednesday	Wednesday	mercredi	1694	WEDNESDAY
Gravina-2014-1611-135	135	abandon	abandon	abandonner	1097	ABANDON
Gravina-2014-1611-136	136	abdomen (external)	abdomen (external)	estomac // estomac, abdomen (externe)	1251	BELLY
Gravina-2014-1611-137	137	above	above	au-dessus // dessus; en haut // en haut	1741	ABOVE
Gravina-2014-1611-138	138	abscess	abscess	abcès		
Gravina-2014-1611-139	139	abstain	abstain	abstenir // s'abstenir	303	ABSTAIN FROM FOOD
Gravina-2014-1611-140	140	accept, receive	accept, receive	accepter, recevoir	694	GET
Gravina-2014-1611-141	141	accompany	accompany	accompager // accompagner	1542	ACCOMPANY
Gravina-2014-1611-142	142	account (report) (n)	account (report) (n)	rapport, compte rendu		
Gravina-2014-1611-143	143	accumulate	accumulate	accumuler		
Gravina-2014-1611-144	144	accuse	accuse	accuser	1814	ACCUSE
Gravina-2014-1611-145	145	act, do	act, do	faire // faire, agir	813	DO
Gravina-2014-1611-146	146	add	add	ajouter	2882	ADD
Gravina-2014-1611-147	147	admire	admire	admirer		
Gravina-2014-1611-148	148	admit (to a wrong)	admit (to a wrong)	admettre (un faute) // admettre (un tort)	2022	ADMIT
Gravina-2014-1611-149	149	adult	adult	adulte	3635	ADULT
Gravina-2014-1611-150	150	advise	advise	conseiller		
Gravina-2014-1611-151	151	after	after	après // faire du progrès	1685	AFTER
Gravina-2014-1611-152	152	afternoon	afternoon	après-midi // soirée	1807	AFTERNOON
Gravina-2014-1611-153	153	again	again	de nouveau // encore	204	AGAIN
Gravina-2014-1611-154	154	agama lizard (red-headed)	agama lizard (red-headed)	margouillat		
Gravina-2014-1611-155	155	agree	agree	(être) d'accord // se mettre d'accord	3643	AGREE
Gravina-2014-1611-156	156	agreement	agreement	accord // d'accord	3644	AGREEMENT
Gravina-2014-1611-157	157	air (breathed)	air (breathed)	air (respiré)	27	AIR
Gravina-2014-1611-158	158	all	all	tous // tout // tout, tous // tout; tous	98	ALL
Gravina-2014-1611-159	159	allow, permit	allow, permit	permettre	3237	ALLOW OR PERMIT
Gravina-2014-1611-160	160	also	also	aussi // de même // en même temps		
Gravina-2014-1611-161	161	alter, change (tr)	alter, change (tr)	changer (tr), modifier	2856	CHANGE (SOMETHING)
Gravina-2014-1611-162	162	always	always	toujours	1676	ALWAYS
Gravina-2014-1611-163	163	ancestor	ancestor	ancêtre	1669	ANCESTORS
Gravina-2014-1611-164	164	and	and	avec // avec, et // et // et ; avec // et alors	1577	AND
Gravina-2014-1611-165	165	animal	 // animal	animal // type d' animal	619	ANIMAL
Gravina-2014-1611-166	166	ankle	ankle	cheville // cheville ; os de cheville // cheville de pied	803	ANKLE
Gravina-2014-1611-167	167	ankle ring, bangle	ankle ring, bangle	anneau de cheville		
Gravina-2014-1611-168	168	announce	announce	annoncer // annoncer ; proclamer	9	ANNOUNCE
Gravina-2014-1611-169	169	announcement	announcement	annonce // nouvelles		
Gravina-2014-1611-170	170	annoy, disturb	annoy, disturb	embêter, déranger	2869	BOTHER (HARASS)
Gravina-2014-1611-171	171	answer, reply (v)	answer, reply (v)	répondre	1275	ANSWER
Gravina-2014-1611-172	172	ant	ant	fourmi // fourmi très piquante // fourmis // petite fourmi	587	ANT
Gravina-2014-1611-173	173	antelope	antelope	antelope // antilope	3674	ANTELOPE
Gravina-2014-1611-174	174	anus	 // anus	anus // anus_extérieur // anus_intérieur	1935	ANUS
Gravina-2014-1611-175	175	anvil	anvil	enclume	1648	ANVIL
Gravina-2014-1611-176	176	appease, pacify	appease, pacify	apaiser // appaiser		
Gravina-2014-1611-177	177	appeler		appeler	1084	CALL
Gravina-2014-1611-178	178	apply (ointment), besmear	apply (ointment), besmear	enduire // s'enduire	3650	APPLY (OINTMENT)
Gravina-2014-1611-179	179	approach (v)	approach (v)	s'approcher // s`approcher	1778	APPROACH
Gravina-2014-1611-180	180	argue	argue	discuter // disputer // se disputer	3302	QUARREL (VERB)
Gravina-2014-1611-181	181	argument	argument	argument, dispute // discussion // dispute		
Gravina-2014-1611-182	182	arm	arm	bras // |uc{main, bras} - de l'épaule jusqu'au bout des doigts	1673	ARM
Gravina-2014-1611-183	183	armpit	armpit	aisselle	1886	ARMPIT
Gravina-2014-1611-184	184	army	army	armée	1561	ARMY
Gravina-2014-1611-185	185	arrange	arrange	arranger // arranger ; régler // arranger, mettre en ordre	1568	ARRANGE
Gravina-2014-1611-186	186	arrive	arrive	arriver	1387	ARRIVE
Gravina-2014-1611-187	187	arrow	arrow	flèche	977	ARROW
Gravina-2014-1611-188	188	ashes	ashes	ceindre // cendres	646	ASH
Gravina-2014-1611-189	189	ask, request	ask, request	ask for help // demander	1828	ASK (REQUEST)
Gravina-2014-1611-190	190	assemble, meet	assemble, meet	se rassembler		
Gravina-2014-1611-191	191	at	at	chez // sur // à	1461	AT
Gravina-2014-1611-192	192	avoid	avoid	esquiver // éviter	3639	AVOID
Gravina-2014-1611-193	193	axe	axe	hache	677	AXE
Gravina-2014-1611-194	194	baboon	baboon	babouin // babouin ; cynocéphale	1197	BABOON
Gravina-2014-1611-195	195	baby	baby	bébé // bébé, nourrisson // enfant	1289	BABY
Gravina-2014-1611-196	196	baby sling	baby sling	écharpe (pour porter bébé)		
Gravina-2014-1611-197	197	bachelor	bachelor	célibataire // célibataire (homme)		
Gravina-2014-1611-198	198	back	back	dos	1291	BACK
Gravina-2014-1611-199	199	backward (direction)	backward (direction)	en arrière	2911	BACKWARD
Gravina-2014-1611-200	200	bad	bad	mal // mal préparé // mauvais // méchant	1292	BAD
Gravina-2014-1611-201	201	bag	bag	sac // sac; poche // sac; quelque chose de tressé qui peut être utilisé soit pour une porte-monnaie, soit pour taper le mil pendant sa murissage // sacoche	2468	BAG
Gravina-2014-1611-202	202	bamboo	bamboo	bambou	1927	BAMBOO
Gravina-2014-1611-203	203	banana	banana	banane	868	BANANA
Gravina-2014-1611-204	204	baobab tree	baobab tree	baobab	997	BAOBAB TREE
Gravina-2014-1611-205	205	bare, show (teeth)	bare, show (teeth)	montrer les dents		
Gravina-2014-1611-206	206	bark (as dog) (v)	bark (as dog) (v)	aboyer (comme un chien)	1206	BARKING
Gravina-2014-1611-207	207	bark (of tree)	bark (of tree)	écorce (d'arbre)	1204	BARK
Gravina-2014-1611-208	208	barren woman	barren woman	femme stérile		
Gravina-2014-1611-209	209	basket	basket	corbeille // panier // panier (sans trous) // panier à récolte // panier à récolte; panier à récolte fait de morceaux de bois, pour porter les épis de mil // panier(avec_trous) // panier, corbeille // panier; petit panier rond en écorce de fv:tselew; panier fait des tiges de mil	1539	BASKET
Gravina-2014-1611-210	210	bat	bat	chauve-souris // chauve-souris ; anomalure // chauve-souris(gros) // grande chauve-souris	1793	BAT
Gravina-2014-1611-211	211	bathe (intr)	bathe (intr)	se laver	138	BATHE
Gravina-2014-1611-212	212	bathing place	bathing place	douche		
Gravina-2014-1611-213	213	bead	bead	perle	1860	BEAD
Gravina-2014-1611-214	214	beak, bill	beak, bill	bec	73	BEAK
Gravina-2014-1611-215	215	bean	bean	fève; |uc{arachide} // haricot // haricot sauvage	832	BEAN
Gravina-2014-1611-216	216	bear (child), give birth	bear (child), give birth	accoucher // accoucher, donner naissance	1195	GIVE BIRTH
Gravina-2014-1611-217	217	beard	beard	barbe	678	BEARD
Gravina-2014-1611-218	218	beat (drum)	beat (drum)	battre (tambour)		
Gravina-2014-1611-219	219	because	because	parce que // parce que (pourque) // parce_que // parce_que ; car // à cause de	1157	BECAUSE
Gravina-2014-1611-220	220	become	become	devenir	1990	BECOME
Gravina-2014-1611-221	221	become old (age)	become old (age)	vieillir		
Gravina-2014-1611-222	222	bed	bed	lit // lit traditionnel fait d´un morceau du tronc d´arbre	1663	BED
Gravina-2014-1611-223	223	bedbug	bedbug	punaise // punaise (de lit)	1949	BEDBUG
Gravina-2014-1611-224	224	bedroom	bedroom	chambre (à dormir)	2505	BEDROOM
Gravina-2014-1611-225	225	bee	bee	abeille	665	BEE
Gravina-2014-1611-226	226	beehive	beehive	ruche	88	BEEHIVE
Gravina-2014-1611-227	227	beer	beer	bière // bière_blonde // boisson alcoolique	1639	BEER
Gravina-2014-1611-228	228	befit, suit	befit, suit	convenir // convenir ( quelqu'un) // convenir (à quelqu'un)	764	SUIT
Gravina-2014-1611-229	229	before	before	avant // avant (de) // avant que // avant, // avant; temporal	1882	BEFORE
Gravina-2014-1611-230	230	beg (for money)	beg (for money)	mendier	3534	BEG
Gravina-2014-1611-231	231	beggar	beggar	mendiant	1934	BEGGAR
Gravina-2014-1611-232	232	begin	begin	commencer // se mettre	1806	BEGIN
Gravina-2014-1611-233	233	beginning	beginning	commencement, début // début // premier jour (de la fête)	1557	BEGINNING
Gravina-2014-1611-234	234	behind	behind	derrière	1686	BEHIND
Gravina-2014-1611-235	235	belch	belch	roter // roti; l'action de faire renvoi // rôter; éructer // éructation // éructer // éructer, rôter	2245	BELCH
Gravina-2014-1611-236	236	believe	believe	croire	1890	BELIEVE
Gravina-2014-1611-237	237	bell	bell	cloche	2246	BELL
Gravina-2014-1611-238	238	bellows	bellows	soufflet	3658	BELLOWS
Gravina-2014-1611-239	239	belongings	belongings	biens, possessions	3860	POSSESSIONS
Gravina-2014-1611-240	240	below	below	en bas // sous	1485	BELOW OR UNDER
Gravina-2014-1611-241	241	bend down, stoop	bend down, stoop	se courber	2761	BEND (ONESELF)
Gravina-2014-1611-242	242	bend, crook, curve (n)	bend, crook, curve (n)	courbe		
Gravina-2014-1611-243	243	beside	beside	côté de // à côté de // à_côté_de; côté //   côté de	1816	BESIDE
Gravina-2014-1611-244	244	between	between	entre	689	BETWEEN
Gravina-2014-1611-245	245	bicycle	bicycle	bicyclette // vélo	747	BICYCLE
Gravina-2014-1611-246	246	big	big	grand // grande // gros // gros et partout // géant // tombant // très_grand // un grand	1202	BIG
Gravina-2014-1611-247	247	big drum	big drum	grand tambour // tam-tam		
Gravina-2014-1611-248	248	big hoe	big hoe	grande houe		
Gravina-2014-1611-249	249	bile, gall	bile, gall	bile	1780	BILE
Gravina-2014-1611-250	250	bird	bird	(oiseau) // oiseau // oiseau (esp.) // type d'oiseau	937	BIRD
Gravina-2014-1611-251	251	bite (v)	bite (v)	mordre	1403	BITE
Gravina-2014-1611-252	252	bitter	bitter	aigre // amer // amère // être amer	887	BITTER
Gravina-2014-1611-253	253	black	black	noir	163	BLACK
Gravina-2014-1611-254	254	black man	black man	homme noir	2806	BLACK MAN
Gravina-2014-1611-255	255	blacksmith	blacksmith	forgeron	1001	BLACKSMITH
Gravina-2014-1611-256	256	bladder	bladder	vessie	1746	BLADDER
Gravina-2014-1611-257	257	blade (of grass)	blade (of grass)	brin (d'herbe)		
Gravina-2014-1611-258	258	bleed	bleed	saigner	3615	BLEED
Gravina-2014-1611-259	259	bless	bless	bénir // bénir, obeïr, se mefier	391	BLESS
Gravina-2014-1611-260	260	blessing	blessing	bénissant // bénédiction		
Gravina-2014-1611-261	261	blind person	blind person	(un) aveugle // aveugle	457	BLIND PERSON
Gravina-2014-1611-262	262	blink	blink	battre les cils // cligner (des yeux)	1655	BLINK
Gravina-2014-1611-263	263	blood	blood	sang	946	BLOOD
Gravina-2014-1611-264	264	blow	blow	coup // souffler // souffler dans // souffler; activer le feu de la fonderie // souffler_(du vent)	175	BLOW (OF WIND)
Gravina-2014-1611-265	265	blow (horn)	blow (horn)	souffler dans (un cor)	176	BLOW (WITH MOUTH)
Gravina-2014-1611-266	266	blow away	blow away	s'envoler // s`envoler	176	BLOW (WITH MOUTH)
Gravina-2014-1611-267	267	blow nose	blow nose	se moucher	2679	BLOW (WITH NOSE)
Gravina-2014-1611-268	268	blow up, inflate	blow up, inflate	gonfler, exploser	1573	SWELL
Gravina-2014-1611-269	269	boar	boar	sanglier	1348	BOAR (MALE PIG)
Gravina-2014-1611-270	270	boast, brag	boast, brag	se vanter	101	BOAST
Gravina-2014-1611-271	271	body	body	cadavre // corps	1480	BODY
Gravina-2014-1611-272	272	boil	boil	abcès // bouillir	2493	BOIL
Gravina-2014-1611-273	273	boil (food)	boil (food)	bouillir (la nourriture)		
Gravina-2014-1611-274	274	boil over	boil over	bouiller à déborder // bouillir à déborder // déborder // faire bouillir		
Gravina-2014-1611-275	275	bone	bone	os	1394	BONE
Gravina-2014-1611-276	276	bone marrow	bone marrow	moelle // moëlle	1835	MARROW
Gravina-2014-1611-277	277	borrow	borrow	emprunter	1823	BORROW
Gravina-2014-1611-278	278	bottle	bottle	bouteille	1321	BOTTLE
Gravina-2014-1611-279	279	bottom	bottom	fesse // fond // fond ; base ; bas	690	BOTTOM
Gravina-2014-1611-280	280	boundary (of field)	boundary (of field)	borne (d'un champ)	1010	BOUNDARY
Gravina-2014-1611-281	281	bow	bow	arc // s'incliner	994	BOW
Gravina-2014-1611-282	282	bow (as in greeting)	bow (as in greeting)	s'incliner (pour saluer)		
Gravina-2014-1611-283	283	bow (hunting)	bow (hunting)	arc (de chasse)	994	BOW
Gravina-2014-1611-284	284	bowl	bowl	basin // bol // bol, assiette creuse	1530	BOWL
Gravina-2014-1611-285	285	bowstring	bowstring	corde (d'arc) // corde d'arc	2119	BOW STRING
Gravina-2014-1611-286	286	box	box	boîte // carton // carton, boîte	1465	BOX
Gravina-2014-1611-287	287	boy	boy	garçon	1366	BOY
Gravina-2014-1611-288	288	boyfriend	boyfriend	fiancée // petit ami, fiancé		
Gravina-2014-1611-289	289	bracelet	 // bracelet	bracelet // bracelet; bracelet au dessus du coude	1754	BRACELET
Gravina-2014-1611-290	290	brain	brain	cerveau	1583	BRAIN
Gravina-2014-1611-291	291	branch (of tree)	branch (of tree)	branche (d'arbre)	1531	BRANCH
Gravina-2014-1611-292	292	bread	bread	pain	1368	BREAD
Gravina-2014-1611-293	293	break (tr)	break (tr)	casser	2558	BREAK (CLEAVE)
Gravina-2014-1611-294	294	break wind, fart	break wind, fart	péter	1159	FART
Gravina-2014-1611-295	295	breakfast	breakfast	petit déjeuner	1322	BREAKFAST
Gravina-2014-1611-296	296	breast	breast	mamelle; sein // sein // sein (mamelle)	1402	BREAST
Gravina-2014-1611-297	297	breastbone	breastbone	sternum	2810	BREASTBONE
Gravina-2014-1611-298	298	breath	breath	souffle // souffle, haleine	870	BREATH
Gravina-2014-1611-299	299	breathe	breathe	respirer // souffler	1407	BREATHE
Gravina-2014-1611-300	300	bride	bride	mariée	1266	BRIDE
Gravina-2014-1611-301	301	bridge	bridge	pont	1011	BRIDGE
Gravina-2014-1611-302	302	bridge (of nose)	bridge (of nose)	arête, dos du nez		
Gravina-2014-1611-303	303	bring	bring	amener // apporter // apporter, amener	692	BRING
Gravina-2014-1611-304	304	bring up (a child)	bring up (a child)	élever (un enfant)	2134	RAISE (BRING UP)
Gravina-2014-1611-305	305	brook, stream	brook, stream	ruisseau	947	STREAM
Gravina-2014-1611-306	306	broom	broom	balai	245	BROOM
Gravina-2014-1611-307	307	brother	brother	frère	1262	BROTHER
Gravina-2014-1611-308	308	brother-in-law	brother-in-law	beau-frère	2314	BROTHER-IN-LAW
Gravina-2014-1611-309	309	bucket, pail	bucket, pail	seau	2052	BUCKET
Gravina-2014-1611-310	310	bud	bud	bourgeon // bourgeonner // fleurir	1684	BUD
Gravina-2014-1611-311	311	buffalo	buffalo	buffle	934	BUFFALO
Gravina-2014-1611-312	312	build	build	construire // construire ; bâtir une case // construire, bâtir	1840	BUILD
Gravina-2014-1611-313	313	bull	bull	taureau	1008	BULL
