ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	WORD_TYPE	SUBJECTIVE_FREQ_MEAN	NUMBER_LETTERS	FREQ_LOG_LEXESP	FAMILIARITY_LEXESP
Desrochers-2010-330-163	163	folio	sheet (of paper)			Noun	6.38235294117647	5	18	6.5
Desrochers-2010-330-164	164	foto	photo			Noun	6.48039215686275	4	203	6.7
Desrochers-2010-330-165	165	fruta	fruit	FRUIT	1507	Noun	6.56862745098039	5	71	6.35
Desrochers-2010-330-166	166	gafas	glasses	SPECTACLES	1898	Noun	6.49019607843137	5	185	6.66
Desrochers-2010-330-167	167	gota	drop	DROP (OF A LIQUID)	3748	Noun	6.01	4	107	6.16
Desrochers-2010-330-168	168	granada	pomegranate	POMEGRANATE	3732	Noun	5.98	7	101	
Desrochers-2010-330-169	169	hielo	ice	ICE	617	Noun	6.17647058823529	5	173	6.76
Desrochers-2010-330-170	170	hierba	grass	GRASS	606	Noun	5.99019607843137	6	132	6.31
Desrochers-2010-330-171	171	incendio	fire (conflagration)			Noun	5.64705882352941	8	83	4.93
Desrochers-2010-330-172	172	joya	jewel	JEWEL	1029	Noun	5.56862745098039	4	26	6.05
Desrochers-2010-330-173	173	kilómetro	kilometer			Noun	6.38235294117647	9	45	6.36
Desrochers-2010-330-174	174	labio	lip	LIP	478	Noun	6.46078431372549	5	45	6.24
Desrochers-2010-330-175	175	lápiz	pencil	PENCIL	2578	Noun	6.53921568627451	5	39	6.16
Desrochers-2010-330-176	176	lata	can	CAN	1051	Noun	6.24509803921569	4	58	6.06
Desrochers-2010-330-177	177	levita	overskirt			Noun	2.96078431372549	6	8	
Desrochers-2010-330-178	178	libro	book	BOOK	963	Noun	6.67647058823529	5	1088	6.84
Desrochers-2010-330-179	179	línea	line	LINE	1048	Noun	5.99019607843137	5	488	6.15
Desrochers-2010-330-180	180	llama	flame	FLAME	889	Noun	5.05882352941176	5	631	4.95
Desrochers-2010-330-181	181	llave	key	KEY	1472	Noun	6.63725490196079	5	128	6.71
Desrochers-2010-330-182	182	mañana	tomorrow	TOMORROW	1329	Noun	6.69607843137255	6	1429	7
Desrochers-2010-330-183	183	mancha	stain			Noun	6.05882352941176	6	91	6.56
Desrochers-2010-330-184	184	mano	hand	HAND	1277	Noun	6.57843137254902	4	2168	6.53
Desrochers-2010-330-185	185	mantel	tablecloth			Noun	5.84313725490196	6	33	6.27
Desrochers-2010-330-186	186	marciano	martian			Noun	4.34313725490196	8	8	
Desrochers-2010-330-187	187	miedo	fear	FEAR (FRIGHT)	781	Noun	6.16666666666667	5	839	6.19
Desrochers-2010-330-188	188	moneda	currency			Noun	6.57843137254902	6	110	6.31
Desrochers-2010-330-189	189	monstruo	monster			Noun	5.14705882352941	8	117	6.06
Desrochers-2010-330-190	190	montaña	mountain	MOUNTAIN	639	Noun	6.08823529411765	7	193	6.38
Desrochers-2010-330-191	191	mosca	fly	FLY (INSECT)	1504	Noun	6.01960784313726	5	60	5.94
Desrochers-2010-330-192	192	mueble	furniture			Noun	6.17647058823529	6	42	6.27
Desrochers-2010-330-193	193	mundo	world	WORLD	965	Noun	6.44117647058824	5	3783	6.44
Desrochers-2010-330-194	194	nieve	snow	SNOW	784	Noun	5.82352941176471	5	220	5.41
Desrochers-2010-330-195	195	nuez	nut	NUT	191	Noun	5.42156862745098	4	24	5.17
Desrochers-2010-330-196	196	ola	wave	WAVE	978	Noun	5.5	3	62	6.76
Desrochers-2010-330-197	197	página	page			Noun	6.52941176470588	6	178	6.64
Desrochers-2010-330-198	198	pájaro	bird	BIRD	937	Noun	6.29411764705882	6	116	6.5
Desrochers-2010-330-199	199	papel	paper	PAPER	648	Noun	6.66666666666667	5	1028	6.66
Desrochers-2010-330-200	200	paso	step	STEP	1158	Noun	5.88235294117647	4	1331	6.24
Desrochers-2010-330-201	201	pata	paw	PAW	2965	Noun	5.92156862745098	4	78	6.45
Desrochers-2010-330-202	202	patata	potato	POTATO	593	Noun	6.51960784313726	6	33	6.75
Desrochers-2010-330-203	203	pelota	ball	BALL	1845	Noun	6.40196078431373	6	103	6.49
Desrochers-2010-330-204	204	perra	female dog	FEMALE DOG	2481	Noun	6.22	5	60	6.47
Desrochers-2010-330-205	205	persona	person	PERSON	683	Noun	6.50980392156863	7	962	7
Desrochers-2010-330-206	206	pizza	pizza			Noun	6.24509803921569	5	5	
Desrochers-2010-330-207	207	plato	plate	PLATE	480	Noun	6.6078431372549	5	173	
Desrochers-2010-330-208	208	pluma	pen	PEN	794	Noun	5.48039215686275	5	89	5.76
Desrochers-2010-330-209	209	puerta	door	DOOR	1567	Noun	6.57843137254902	6	1557	6.71
Desrochers-2010-330-210	210	punta	tip	TIP (OF OBJECT)	2992	Noun	5.89114925588637	5	232	5.69
Desrochers-2010-330-211	211	puro	pure			Noun	5.42156862745098	4	236	5.33
Desrochers-2010-330-212	212	rabia	rabies	RABIES	2206	Noun	5.51960784313726	5	128	6.18
Desrochers-2010-330-213	213	rata	rat	RAT	1490	Noun	5.79411764705882	4	70	6.3
Desrochers-2010-330-214	214	rayo	lightning	LIGHTNING	1654	Noun	5.15686274509804	4	111	5.86
Desrochers-2010-330-215	215	sello	stamp	POSTAGE STAMP	596	Noun	6.09915634874148	5	35	6.61
Desrochers-2010-330-216	216	submarino	submarine			Noun	4.57843137254902	9	12	
Desrochers-2010-330-217	217	techo	roof	ROOF	769	Noun	5.99019607843137	5	225	6.54
Desrochers-2010-330-218	218	torpedo	torpedo			Noun	3.90196078431373	7	4	
Desrochers-2010-330-219	219	uña	nail	FINGERNAIL	1258	Noun	6.23529411764706	3	24	6.27
Desrochers-2010-330-220	220	uva	grape	GRAPE	920	Noun	5.80392156862745	3	25	
Desrochers-2010-330-221	221	vajilla	tableware			Noun	5.63725490196079	7	17	
Desrochers-2010-330-222	222	vampiro	vampire			Noun	4.17647058823529	7	22	4.25
Desrochers-2010-330-223	223	vaso	glass			Noun	6.58823529411765	4	209	6.3
Desrochers-2010-330-224	224	vela	sail			Noun	5.67647058823529	4	83	5.78
Desrochers-2010-330-225	225	vida	life	LIFE	210	Noun	6.59803921568627	4	4765	6.44
Desrochers-2010-330-226	226	vino	wine	WINE	1524	Noun	6.35294117647059	4	716	6.39
Desrochers-2010-330-227	227	abatir	tear down			Verb	3.77450980392157	6	5	
Desrochers-2010-330-228	228	abrir	open	OPEN	1156	Verb	6.55882352941176	5	275	6.45
Desrochers-2010-330-229	229	acudir	to attend to somebody			Verb	4.82352941176471	6	141	4.91
Desrochers-2010-330-230	230	afilar	sharpen	SHARPEN (SOMETHING)	251	Verb	4.63725490196079	6	6	
Desrochers-2010-330-231	231	aguar	water down			Verb	3.73529411764706	5		
Desrochers-2010-330-232	232	alumbrar	to illuminate			Verb	4.56862745098039	8	16	4.77
Desrochers-2010-330-233	233	apaciguar	appease			Verb	3.5	9	6	
Desrochers-2010-330-234	234	apagar	turn off			Verb	6.5	6	39	5.97
Desrochers-2010-330-235	235	asir	summarize			Verb	2.43572184416938	4	6	
Desrochers-2010-330-236	236	atrapar	to catch	CATCH	702	Verb	4.95098039215686	7	55	5.29
Desrochers-2010-330-237	237	avisar	notify			Verb	6.02941176470588	6	45	5.81
Desrochers-2010-330-238	238	balbucear	babble			Verb	3.46078431372549	9	5	
Desrochers-2010-330-239	239	besar	kiss	KISS	578	Verb	6.52941176470588	5	34	6.85
Desrochers-2010-330-240	240	brotar	sprout	SPROUT (VERB)	2076	Verb	4.89	6	26	4.13
Desrochers-2010-330-241	241	bullir	boil	BOIL	2493	Verb	2.41176470588235	6	1	
Desrochers-2010-330-242	242	buscar	search	LOOK FOR	1468	Verb	6.29411764705882	6	457	6.39
Desrochers-2010-330-243	243	calar	put on	PUT ON	158	Verb	4.2843137254902	5	3	
Desrochers-2010-330-244	244	calcificar	calcify			Verb	3.08823529411765	10		
Desrochers-2010-330-245	245	calentar	heat	HEAT UP	1341	Verb	6.41176470588235	8	31	6.74
Desrochers-2010-330-246	246	cantar	sing	SING	1261	Verb	6.34313725490196	6	137	6.21
Desrochers-2010-330-247	247	cascar	to crack			Verb	4.65686274509804	6	2	
Desrochers-2010-330-248	248	catar	taste	TASTE (SOMETHING)	21	Verb	4.34313725490196	5	3	
Desrochers-2010-330-249	249	cazar	hunting	HUNT	1435	Verb	5.30392156862745	5	43	5.2
Desrochers-2010-330-250	250	cerrar	close	SHUT	1046	Verb	6.64705882352941	6	197	6.46
Desrochers-2010-330-251	251	cobijar	shelter			Verb	3.2156862745098	7	6	
Desrochers-2010-330-252	252	colegir	to deduce			Verb	1.36274509803922	7		
Desrochers-2010-330-253	253	contar	count	COUNT	1420	Verb	6.31372549019608	6	364	6.52
Desrochers-2010-330-254	254	cortar	cut	CUT	1432	Verb	6.29411764705882	6	101	5.73
Desrochers-2010-330-255	255	cubrir	cover	COVER	761	Verb	5.5	6	103	6.11
Desrochers-2010-330-256	256	cumplir	to fulfill			Verb	5.86274509803922	7	285	6.04
Desrochers-2010-330-257	257	declamar	declaim			Verb	2.2156862745098	8	3	
Desrochers-2010-330-258	258	delinquir	offending			Verb	3.06862745098039	9	2	
Desrochers-2010-330-259	259	embargar	seize	SEIZE	855	Verb	4.04901960784314	8	5	
Desrochers-2010-330-260	260	embeber	to damp			Verb	2.17647058823529	7	1	
Desrochers-2010-330-261	261	embolar	embolish			Verb	1.98039215686275	7		
Desrochers-2010-330-262	262	entablar	to set up			Verb	3.94117647058824	8	15	
Desrochers-2010-330-263	263	erguir	erect			Verb	2.93137254901961	6	8	
Desrochers-2010-330-264	264	escurrir	to drain			Verb	5.26470588235294	8	2	
Desrochers-2010-330-265	265	espantar	scare off			Verb	4.91176470588235	8	13	
Desrochers-2010-330-266	266	esparcir	spread	SPREAD OUT	38	Verb	3.7843137254902	8	5	
Desrochers-2010-330-267	267	fustigar	whip			Verb	2.77450980392157	8	5	
Desrochers-2010-330-268	268	garabatear	scribble			Verb	3.38235294117647	10		
Desrochers-2010-330-269	269	guardar	protect	PROTECT	2900	Verb	6.2843137254902	7	116	6.76
Desrochers-2010-330-270	270	hacinar	pile up			Verb	2.31372549019608	7		
Desrochers-2010-330-271	271	haraganear	lounge			Verb	1.8921568627451	10		
Desrochers-2010-330-272	272	holgar	be superfluous			Verb	2.76470588235294	6	3	
Desrochers-2010-330-273	273	hurtar	steal	STEAL	713	Verb	3.57430143213565	6	6	
Desrochers-2010-330-274	274	identificar	identify			Verb	6.12	11	79	5.25
Desrochers-2010-330-275	275	imbuir	imbue			Verb	1.70588235294118	6	1	
Desrochers-2010-330-276	276	implorar	begging			Verb	3.00980392156863	8	5	
Desrochers-2010-330-277	277	invocar	invoke			Verb	3.96078431372549	7	20	3.65
Desrochers-2010-330-278	278	jalar	pull	PULL	1455	Verb	4.09803921568627	5	2	
Desrochers-2010-330-279	279	jamar	polish off			Verb	2.31372549019608	5		
Desrochers-2010-330-280	280	lamer	lick	LICK	319	Verb	4.66666666666667	5	6	
Desrochers-2010-330-281	281	laminar	laminar			Verb	2.72549019607843	7	4	
Desrochers-2010-330-282	282	lanzar	launch			Verb	5.50980392156863	6	93	5.28
Desrochers-2010-330-283	283	lavar	wash	WASH	1453	Verb	6.41176470588235	5	35	6.35
Desrochers-2010-330-284	284	limpiar	clean	CLEAN (SOMETHING)	2235	Verb	6.63725490196079	7	57	6.49
Desrochers-2010-330-285	285	lustrar	polish	POLISH (SOMETHING)	3659	Verb	2.42156862745098	7	6	
Desrochers-2010-330-286	286	marcar	dial			Verb	5.87254901960784	6	69	6.03
Desrochers-2010-330-287	287	matar	kill	KILL	1417	Verb	5.92156862745098	5	239	5.52
Desrochers-2010-330-288	288	meter	put	PUT	998	Verb	6.4159747889007	5	130	6.68
Desrochers-2010-330-289	289	mezclar	mix	MIX	2017	Verb	5.82352941176471	7	24	6.12
Desrochers-2010-330-290	290	mitigar	mitigate			Verb	2.95098039215686	7	6	
Desrochers-2010-330-291	291	mondar	peel	PEEL	275	Verb	3.62745098039216	6	1	
Desrochers-2010-330-292	292	mostrar	show	SHOW	1039	Verb	5.93	7	119	6.07
Desrochers-2010-330-293	293	mutilar	mutilate			Verb	3.86274509803922	7	4	
Desrochers-2010-330-294	294	nivelar	level			Verb	3.96078431372549	7	3	
Desrochers-2010-330-295	295	nutrir	feed	FEED	739	Verb	3.84313725490196	6	5	
Desrochers-2010-330-296	296	obsequiar	give away			Verb	3.93137254901961	9	2	
Desrochers-2010-330-297	297	ofuscar	obfuscate			Verb	3.02941176470588	7		
Desrochers-2010-330-298	298	ornar	decorate	DECORATE	1739	Verb	2	5	7	
Desrochers-2010-330-299	299	pagar	pay	PAY	718	Verb	6.84	5	342	6.75
Desrochers-2010-330-300	300	parar	stop	STOP DOING	3351	Verb	6.47058823529412	5	200	6.64
Desrochers-2010-330-301	301	partir	share			Verb	5.88235294117647	6	79	5.78
Desrochers-2010-330-302	302	pasar	go to			Verb	6.37254901960784	5	1040	6.33
Desrochers-2010-330-303	303	pelar	peel	PEEL	275	Verb	6.04901960784314	5	12	
Desrochers-2010-330-304	304	picar	to sting	STING	571	Verb	5.92156862745098	5	14	
Desrochers-2010-330-305	305	pintar	paint	PAINT (SOMETHING)	3122	Verb	6.23529411764706	6	47	6.4
