ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	JAPANESE	JAPANESE_ROMANIZED	NAME_AGREEMENT	AoA_JAPANESE	FAMILIARITY	MORA
Nishimoto-2005-359-47	47	Cup	476	CUP	カップ	KAPPU	30.0	3.5	6.5	3
Nishimoto-2005-359-48	48	Hammer	1481	HAMMER	カナヅチ	KANADUCHI	42.5	4.9	4.3	4
Nishimoto-2005-359-49	49	Crab	2348	CRAB	カニ	KANI	100.0	2.8	4.6	2
Nishimoto-2005-359-50	50	Canoe	1970	CANOE	カヌー	KANÛ	30.0	6.3	3.2	3
Nishimoto-2005-359-51	51	Hippopotamus	3145	HIPPOPOTAMUS	カバ	KABA	70.0	3.4	2.6	2
Nishimoto-2005-359-52	52	Suitcase	4005	SUITCASE	カバン	KABAN	95.0	2.4	6.5	3
Nishimoto-2005-359-53	53	Beetle	2242	BEETLE	カブトムシ	KABUTOMUSHI	87.5	3.4	4.8	5
Nishimoto-2005-359-54	54	Pumpkin	864	PUMPKIN	カボチャ	KABOCHA	100.0	3.6	4.7	3
Nishimoto-2005-359-55	55	Hair	2648	HAIR (HEAD)	カミ	KAMI	55.0	2.2	6.9	2
Nishimoto-2005-359-56	56	Turtle	112	TURTLE	カメ	KAME	100.0	3.0	4.9	2
Nishimoto-2005-359-57	57	Seagull	950	SEAGULL	カモメ	KAMOME	12.5	4.6	3.0	3
Nishimoto-2005-359-58	58	Kangaroo	164	KANGAROO	カンガルー	KANGARÛ	100.0	3.9	3.6	5
Nishimoto-2005-359-59	59	Can opener			カンキリ	KANKIRI	40.0	5.5	4.8	4
Nishimoto-2005-359-60	60	Tree	906	TREE	キ	KI	85.0	2.6	6.0	1
Nishimoto-2005-359-61	61	Machine gun			キカンジュウ	KIKANJUU	30.0	6.8	2.2	5
Nishimoto-2005-359-62	62	Guitar	3090	GUITAR	ギター	GITÂ	97.5	5.6	5.0	3
Nishimoto-2005-359-63	63	Woodpecker	2447	WOODPECKER	キツツキ	KITSUTSUKI	95.0	5.3	2.9	4
Nishimoto-2005-359-64	64	Fox	1312	FOX	キツネ	KITSUNE	77.5	2.8	3.3	3
Nishimoto-2005-359-65	65	Mushroom	641	MUSHROOM	キノコ	KINOKO	60.0	3.5	5.7	3
Nishimoto-2005-359-66	66	Lettuce	3729	LETTUCE	キャベツ	KYABETSU	97.5	3.5	5.8	3
Nishimoto-2005-359-67	67	Church	1349	CHURCH	キョウカイ	KYOUKAI	72.5	5.6	4.4	4
Nishimoto-2005-359-68	68	Giraffe	3089	GIRAFFE	キリン	KIRIN	100.0	2.9	4.9	3
Nishimoto-2005-359-69	69	Goldfish			キンギョ	KINGYO	82.5	3.0	4.2	3
Nishimoto-2005-359-70	70	Nail	502	NAIL (TOOL)	クギ	KUGI	85.0	4.7	3.8	2
Nishimoto-2005-359-71	71	Chain	1627	CHAIN	クサリ	KUSARI	75.0	5.3	4.6	3
Nishimoto-2005-359-72	72	Comb	1475	COMB	クシ	KUSHI	90.0	3.7	5.0	2
Nishimoto-2005-359-73	73	Peacock	3382	PEACOCK	クジャク	KUJAKU	92.5	4.5	3.4	3
Nishimoto-2005-359-74	74	Whale	957	WHALE	クジラ	KUJIRA	92.5	3.6	4.5	3
Nishimoto-2005-359-75	75	Lips	478	LIP	クチビル	KUCHIBIRU	97.5	3.4	6.1	4
Nishimoto-2005-359-76	76	Shoe	1381	SHOE	クツ	KUTSU	95.0	1.7	6.4	2
Nishimoto-2005-359-77	77	Sock	1522	SOCK	クツシタ	KUTSUSHITA	95.0	2.8	6.4	4
Nishimoto-2005-359-78	78	Cloud	1489	CLOUD	クモ	KUMO	90.0	2.9	5.7	2
Nishimoto-2005-359-79	79	Spider	843	SPIDER	クモ	KUMO	87.5	3.1	4.9	2
Nishimoto-2005-359-80	80	Wineglass			グラス	GURASU	95.0	4.5	6.2	3
Nishimoto-2005-359-81	81	Piano	3994	PIANO (INSTRUMENT)	グランドピアノ	GURANDO-PIANO	97.5	5.4	3.5	7
Nishimoto-2005-359-82	82	Chestnut	2318	CHESTNUT	クリ	KURI	100.0	3.2	5.1	2
Nishimoto-2005-359-83	83	Car	1111	CAR	クルマ	KURUMA	92.5	2.5	6.5	3
Nishimoto-2005-359-84	84	Measuring cup			ケイリョウカップ	KEIRYOU-KAPPU	67.5	6.3	4.3	7
Nishimoto-2005-359-85	85	Cake	2408	CAKE	ケーキ	KÊKI	100.0	1.9	6.3	3
Nishimoto-2005-359-86	86	Caterpillar	2247	CATERPILLAR	ケムシ	KEMUSHI	45.0	3.8	4.4	3
Nishimoto-2005-359-87	87	Sword	1535	SWORD	ケン	KEN	15.0	5.2	3.1	2
Nishimoto-2005-359-88	88	Bat	1793	BAT	コウモリ	KOUMORI	100.0	4.6	2.8	4
Nishimoto-2005-359-89	89	Coat	603	COAT	コート	KÔTO	70.0	5.2	6.4	3
Nishimoto-2005-359-90	90	Saltshaker			コショウ	KOSHOU*	37.5	5.3	5.1	3
Nishimoto-2005-359-91	91	Glass	604	GLASS	コップ	KOPPU	97.5	1.8	6.6	3
Nishimoto-2005-359-92	92	Japanese harp			コト	KOTO	92.5	5.9	4.6	2
Nishimoto-2005-359-93	93	Cobra			コブラ	KOBURA	40.0	5.7	2.3	3
Nishimoto-2005-359-94	94	Top	3995	TOP (TOY)	コマ	KOMA	97.5	3.0	3.8	2
Nishimoto-2005-359-95	95	Gorilla	3144	GORILLA	ゴリラ	GORIRA	87.5	3.3	4.5	3
Nishimoto-2005-359-96	96	Plug			コンセント	KONSENTO	67.5	4.4	6.2	5
Nishimoto-2005-359-97	97	Rhinoceros	2591	RHINOCEROS	サイ	SAI	97.5	3.6	3.0	2
Nishimoto-2005-359-98	98	Barn/Silo			サイロ	SAIRO	22.5	7.8	2.1	3
Nishimoto-2005-359-99	99	Fish	227	FISH	サカナ	SAKANA	67.5	2.5	5.3	3
Nishimoto-2005-359-100	100	Fence	1690	FENCE	サク	SAKU	85.0	4.6	4.1	2
Nishimoto-2005-359-101	101	Cherry blossom			サクラ	SAKURA	55.0	3.6	6.4	3
Nishimoto-2005-359-102	102	Cherry	2765	CHERRY	サクランボ	SAKURANBO	75.0	3.2	4.8	5
Nishimoto-2005-359-103	103	Shark	1110	SHARK	サメ	SAME	90.0	3.9	3.2	2
Nishimoto-2005-359-104	104	Plate	480	PLATE	サラ	SARA	92.5	3.1	6.7	2
Nishimoto-2005-359-105	105	Lobster	2397	LOBSTER	ザリガニ	ZARIGANI	90.0	3.9	3.7	4
Nishimoto-2005-359-106	106	Monkey	1350	MONKEY	サル	SARU	95.0	2.4	4.4	2
Nishimoto-2005-359-107	107	Triangle ruler			サンカクジョウギ	SANKAKU-JOUGI	97.5	5.3	4.8	7
Nishimoto-2005-359-108	108	Sandwich	4008	SANDWICH	サンドイッチ	SANDOICCHI	92.5	3.8	5.5	6
Nishimoto-2005-359-109	109	Tricycle			サンリンシャ	SANRINSHA	95.0	2.1	3.8	5
Nishimoto-2005-359-110	110	Deer	1936	DEER	シカ	SHIKA	80.0	3.5	4.3	2
Nishimoto-2005-359-111	111	Tongue	1205	TONGUE	シタ	SHITA	87.5	3.8	6.2	2
Nishimoto-2005-359-112	112	Turkey	2386	TURKEY	シチメンチョウ	SHICHIMENCHOU	30.0	6.5	2.5	6
Nishimoto-2005-359-113	113	Bicycle	747	BICYCLE	ジテンシャ	JITENSHA	95.0	3.7	6.7	4
Nishimoto-2005-359-114	114	Zebra	3675	ZEBRA	シマウマ	SHIMAUMA	100.0	3.6	2.7	4
Nishimoto-2005-359-115	115	Potato	593	POTATO	ジャガイモ	JAGAIMO	92.5	2.5	6.1	4
Nishimoto-2005-359-116	116	Faucet	1488	FAUCET	ジャグチ	JAGUCHI	85.0	4.2	6.3	3
Nishimoto-2005-359-117	117	Jacket	2770	JACKET	ジャケット	JAKETTO	65.0	6.6	5.1	4
Nishimoto-2005-359-118	118	Shovel	1901	SHOVEL	シャベル	SHABERU	50.0	2.7	3.8	3
Nishimoto-2005-359-119	119	Wheel	710	WHEEL	シャリン	SHARIN	77.5	5.2	4.3	3
Nishimoto-2005-359-120	120	Jumper			ジャンパー	JANPÂ	55.0	4.0	5.0	4
Nishimoto-2005-359-121	121	Watering can			ジョウロ	JOURO	95.0	3.0	4.2	3
Nishimoto-2005-359-122	122	Pocketbook/Shoulder bag			ショルダーバッグ	SHORUDÂ-BAGGU	35.0	6.0	5.9	7
Nishimoto-2005-359-123	123	Castle			シロ（西洋）	SHIRO	100.0	3.9	2.6	2
Nishimoto-2005-359-124	124	Japanese castle			シロ（日本）	SHIRO	97.5	5.1	4.1	2
Nishimoto-2005-359-125	125	Bear	1820	BEAR	シロクマ	SHIRO-KUMA	100.0	4.3	4.2	4
Nishimoto-2005-359-126	126	Traffic light			シンゴウ	SHINGOU	95.0	3.4	6.3	4
Nishimoto-2005-359-127	127	Shinto shrine			ジンジャ	JINJA	47.5	4.5	4.4	3
Nishimoto-2005-359-128	128	Watermelon	2766	WATERMELON	スイカ	SUIKA	97.5	3.1	6.0	3
Nishimoto-2005-359-129	129	Light switch	4001	LIGHT SWITCH	スイッチ	SUICCHI	85.0	3.9	6.3	4
Nishimoto-2005-359-130	130	Skirt	1600	SKIRT	スカート	SUKÂTO	100.0	2.5	6.3	4
Nishimoto-2005-359-131	131	Skunk	3888	SKUNK	スカンク	SUKANKU	40.0	5.6	3.3	4
Nishimoto-2005-359-132	132	Ski	2991	SKI	スキーイタ	SUKÎ ITA	95.0	5.8	4.2	5
Nishimoto-2005-359-133	133	Scooter			スクーター	SUKÛTÂ	22.5	6.5	3.9	5
Nishimoto-2005-359-134	134	Skating boots			スケートグツ	SUKÊTO GUTSU	85.0	5.6	3.8	6
Nishimoto-2005-359-135	135	Bird	937	BIRD	スズメ	SUZUME	50.0	3.3	5.1	3
Nishimoto-2005-359-136	136	Stereo set			ステレオ	SUTEREO	37.5	5.9	5.5	4
Nishimoto-2005-359-137	137	Spiked shoe			スパイク	SUPAIKU	10.0	7.0	3.6	4
Nishimoto-2005-359-138	138	Wrench	1361	TOOL	スパナ	SUPANA	35.0	7.7	3.5	3
Nishimoto-2005-359-139	139	Spoon	1378	SPOON	スプーン	SUPÛN	95.0	1.9	6.6	4
Nishimoto-2005-359-140	140	Pants	809	TROUSERS	ズボン	ZUBON	90.0	3.2	6.5	3
Nishimoto-2005-359-141	141	Slippers			スリッパ	SURIPPA	92.5	3.5	5.1	4
Nishimoto-2005-359-142	142	Sweater	4035	SWEATER	セーター	SÊTÂ	82.5	3.9	5.9	4
Nishimoto-2005-359-143	143	Celery	3727	CELERY	セロリ	SERORI	27.5	5.2	4.8	3
Nishimoto-2005-359-144	144	Battleship			センカン	SENKAN	25.0	6.3	2.3	4
Nishimoto-2005-359-145	145	Tank	3102	TANK	センシャ	SENSHA	97.5	5.3	2.2	3
Nishimoto-2005-359-146	146	Submarine	4022	SUBMARINE	センスイカン	SENSUIKAN	55.0	5.0	3.1	6
Nishimoto-2005-359-147	147	Diving suit			センスイフク	SENSUI FUKU	15.0	7.4	1.8	6
Nishimoto-2005-359-148	148	Clothespin			センタクバサミ	SENTAKU-BASAMI	62.5	3.9	5.6	7
Nishimoto-2005-359-149	149	Elephant	1290	ELEPHANT	ゾウ	ZOU	100.0	3.0	4.8	2
Nishimoto-2005-359-150	150	Couch	3099	SOFA	ソファー	SOFÂ	80.0	5.2	5.0	3
Nishimoto-2005-359-151	151	Sled	16	SLED	ソリ	SORI	87.5	3.7	3.4	2
Nishimoto-2005-359-152	152	Drum	908	DRUM	タイコ	TAIKO	65.0	3.7	5.2	3
Nishimoto-2005-359-153	153	Japanese radish			ダイコン	DAIKON	92.5	3.4	5.4	4
Nishimoto-2005-359-154	154	Cannon	3202	CANNON	タイホウ	TAIHOU	57.5	6.1	2.1	4
Nishimoto-2005-359-155	155	Sun	1343	SUN	タイヨウ	TAIYOU	90.0	2.7	6.5	4
Nishimoto-2005-359-156	156	Waterfall	943	WATERFALL	タキ	TAKI	90.0	4.7	3.4	2
Nishimoto-2005-359-157	157	Bamboo	1927	BAMBOO	タケ	TAKE	85.0	3.7	4.2	2
Nishimoto-2005-359-158	158	Stilts	2593	STILTS	タケウマ	TAKEUMA	75.0	4.3	4.1	4
Nishimoto-2005-359-159	159	Kite	307	HAWK	タコ	TAKO	92.5	3.6	3.3	2
Nishimoto-2005-359-160	160	Ostrich	3797	OSTRICH	ダチョウ	DACHOU	72.5	4.7	2.8	3
Nishimoto-2005-359-161	161	Sea horse			タツノオトシゴ	TATSUNOOTOSHIGO	82.5	5.7	3.3	7
Nishimoto-2005-359-162	162	Raccoon	828	RACCOON	タヌキ	TANUKI	47.5	3.5	3.5	3
Nishimoto-2005-359-163	163	Cigarette	969	CIGARETTE	タバコ	TABAKO	97.5	4.3	4.4	3
Nishimoto-2005-359-164	164	Onion	2366	ONION	タマネギ	TAMANEGI	85.0	3.5	6.3	4
Nishimoto-2005-359-165	165	Barrel	2548	BARREL	タル	TARU	95.0	5.9	2.3	2
Nishimoto-2005-359-166	166	Oil tanker			タンカー	TANKÂ	7.5	7.5	2.0	4
Nishimoto-2005-359-167	167	Dresser			タンス	TANSU	95.0	4.1	6.4	3
Nishimoto-2005-359-168	168	Fireplace	185	FIREPLACE	ダンロ	DANRO	95.0	5.1	2.2	3
Nishimoto-2005-359-169	169	Tulip			チューリップ	CHÛRIPPU	95.0	2.4	5.0	5
Nishimoto-2005-359-170	170	Butterfly	1791	BUTTERFLY	チョウ	CHOU	97.5	2.9	5.8	2
Nishimoto-2005-359-171	171	Desk	1775	TABLE	ツクエ	TSUKUE	95.0	3.4	5.9	3
Nishimoto-2005-359-172	172	Table	1775	TABLE	ツクエ	TSUKUE	80.0	2.3	6.5	3
Nishimoto-2005-359-173	173	Wing	1257	WING	ツバサ	TSUBASA	12.5	4.4	4.0	3
Nishimoto-2005-359-174	174	Swallow	3077	SWALLOW (BIRD)	ツバメ	TSUBAME	77.5	4.0	4.4	3
Nishimoto-2005-359-175	175	Vase	3746	VASE	ツボ	TSUBO	65.0	4.5	3.6	2
Nishimoto-2005-359-176	176	Artichoke	3997	ARTICHOKE	ツボミ	TSUBOMI*	15.0	4.4	5.1	3
Nishimoto-2005-359-177	177	Japanese crane			ツル	TSURU	67.5	4.1	3.2	2
Nishimoto-2005-359-178	178	Hand	1277	HAND	テ	TE	92.5	1.7	6.8	1
Nishimoto-2005-359-179	179	T-Shirt			ティーシャツ	TEÎ-SHATSU	87.5	4.3	6.8	4
Nishimoto-2005-359-180	180	Tape recorder			テープレコーダー	TÊPU REKÔDÂ	42.5	5.7	3.6	8
Nishimoto-2005-359-181	181	Glove	867	GLOVE	テブクロ	TEBUKURO	92.5	3.0	5.7	4
Nishimoto-2005-359-182	182	Mitten	867	GLOVE	テブクロ	TEBUKURO	95.0	3.5	5.9	4
Nishimoto-2005-359-183	183	Television	1788	TELEVISION	テレビ	TEREBI	100.0	2.6	6.8	3
Nishimoto-2005-359-184	184	Lamp	625	LAMP	デンキスタンド	DENKI SUTANDO	40.0	5.1	5.6	7
Nishimoto-2005-359-185	185	Light bulb			デンキュウ	DENKYUU	82.5	4.7	5.9	4
Nishimoto-2005-359-186	186	Train	900	TRAIN	デンシャ	DENSHA	95.0	3.4	6.1	3
Nishimoto-2005-359-187	187	Stove	859	STOVE	デンシレンジ	DENSHI-RENJI*	57.5	4.7	6.3	6
Nishimoto-2005-359-188	188	Tent	1316	TENT	テント	TENTO	97.5	4.6	4.0	3
Nishimoto-2005-359-189	189	Ladybug	3139	LADYBUG	テントウムシ	TENTOUMUSHI	95.0	3.3	4.1	6
Nishimoto-2005-359-190	190	Telephone	1379	TELEPHONE	デンワ	DENWA	100.0	2.3	6.6	3
Nishimoto-2005-359-191	191	Door	1567	DOOR	ドア	DOA	95.0	3.1	6.4	2
Nishimoto-2005-359-192	192	Corn	506	MAIZE	トウモロコシ	TOUMOROKOSHI	97.5	3.6	5.2	6
Nishimoto-2005-359-193	193	Toaster	4010	TOASTER	トースター	TÔSUTÂ	80.0	4.6	4.9	5
Nishimoto-2005-359-194	194	Clock	1323	CLOCK	トケイ	TOKEI	100.0	3.3	6.9	3
Nishimoto-2005-359-195	195	Tomato	986	TOMATO	トマト	TOMATO	95.0	2.9	5.4	3
Nishimoto-2005-359-196	196	Tiger	846	TIGER	トラ	TORA	90.0	3.1	3.7	2
Nishimoto-2005-359-197	197	Screwdriver	836	SCREWDRIVER	ドライバー	DORAIBÂ	72.5	5.9	4.6	5
Nishimoto-2005-359-198	198	Tractor			トラクター	TORAKUTÂ	62.5	5.7	3.3	5
Nishimoto-2005-359-199	199	Truck	4011	TRUCK	トラック	TORAKKU	90.0	3.2	4.9	4
Nishimoto-2005-359-200	200	Playing cards			トランプ	TORANPU	97.5	3.7	5.7	4
Nishimoto-2005-359-201	201	Trumpet	775	TRUMPET	トランペット	TORANPETTO	67.5	6.4	3.1	6
Nishimoto-2005-359-202	202	Dress	474	DRESS	ドレス	DORESU	85.0	3.4	4.9	3
Nishimoto-2005-359-203	203	Wagon	122	CART	トロッコ	TOROKKO	60.0	6.3	2.4	4
Nishimoto-2005-359-204	204	Dragonfly	2352	DRAGONFLY	トンボ	TONBO	95.0	3.0	4.3	3
Nishimoto-2005-359-205	205	Knife	1352	KNIFE	ナイフ	NAIFU	82.5	4.4	5.3	3
Nishimoto-2005-359-206	206	Nut	191	NUT	ナット	NATTO	25.0	7.4	3.0	3
Nishimoto-2005-359-207	207	Pot	1462	POT	ナベ	NABE	70.0	3.8	5.7	2
Nishimoto-2005-359-208	208	Chicken	1318	CHICKEN	ニワトリ	NIWATORI	90.0	2.8	4.4	4
Nishimoto-2005-359-209	209	Rooster	1511	ROOSTER	ニワトリ	NIWATORI	95.0	3.2	5.0	4
Nishimoto-2005-359-210	210	Doll	1659	DOLL	ニンギョウ	NINGYOU	35.0	2.4	3.8	4
Nishimoto-2005-359-211	211	Carrot	3085	CARROT	ニンジン	NINJIN	90.0	2.2	6.0	4
Nishimoto-2005-359-212	212	Tie	1917	TIE	ネクタイ	NEKUTAI	100.0	4.7	5.0	4
Nishimoto-2005-359-213	213	Cat	1208	CAT	ネコ	NEKO	100.0	2.4	5.4	2
Nishimoto-2005-359-214	214	Screw	1802	SCREW	ネジ	NEJI	35.0	4.7	3.9	2
Nishimoto-2005-359-215	215	Mouse	1491	MOUSE	ネズミ	NEZUMI	100.0	3.5	4.5	3
Nishimoto-2005-359-216	216	Necklace	1961	NECKLACE	ネックレス	NEKKURESU	85.0	4.4	4.4	5
Nishimoto-2005-359-217	217	Saw	1948	SAW	ノコギリ	NOKOGIRI	97.5	4.3	3.5	4
Nishimoto-2005-359-218	218	Doorknob	4030	DOORKNOB	ノブ	NOBU	65.0	5.3	5.7	2
Nishimoto-2005-359-219	219	Chisel	1979	CHISEL	ノミ	NOMI	17.5	7.5	2.7	2
Nishimoto-2005-359-220	220	Teeth	1380	TOOTH	ハ（歯）	HA	60.0	2.3	6.5	1
Nishimoto-2005-359-221	221	Leaf	628	LEAF	ハ（葉）	HA	90.0	3.3	6.3	1
Nishimoto-2005-359-222	222	Heart	1223	HEART	ハート	HÂTO	97.5	4.3	4.6	3
Nishimoto-2005-359-223	223	Harp	2597	HARP	ハープ	HÂPU	75.0	6.8	4.6	3
Nishimoto-2005-359-224	224	Harmonica	2590	HARMONICA	ハーモニカ	HÂMONIKA	85.0	4.2	4.5	5
Nishimoto-2005-359-225	225	Violin	4023	VIOLIN	バイオリン	BAIORIN	90.0	5.3	2.7	5
Nishimoto-2005-359-226	226	Ashtray	4028	ASHTRAY	ハイザラ	HAIZARA	80.0	5.1	4.5	4
Nishimoto-2005-359-227	227	Pineapple	2440	PINEAPPLE	パイナップル	PAINAPPURU	100.0	3.9	5.7	6
Nishimoto-2005-359-228	228	High-heeled shoes			ハイヒール	HAIHÎRU	75.0	5.7	2.7	5
Nishimoto-2005-359-229	229	Pipe	1124	PIPE	パイプ	PAIPU	87.5	6.0	2.5	3
Nishimoto-2005-359-230	230	Fly	1504	FLY (INSECT)	ハエ	HAE	72.5	4.0	5.6	2
Nishimoto-2005-359-231	231	Swan	2837	SWAN	ハクチョウ	HAKUCHOU	75.0	3.8	2.9	4
Nishimoto-2005-359-232	232	Box	1465	BOX	ハコ	HAKO	97.5	2.3	5.4	2
Nishimoto-2005-359-233	233	Scissors	356	SHEARS	ハサミ	HASAMI	100.0	3.2	6.6	3
Nishimoto-2005-359-234	234	Ladder	1464	LADDER	ハシゴ	HASHIGO	97.5	4.0	3.9	3
Nishimoto-2005-359-235	235	Bus	1070	BUS	バス	BASU	95.0	2.4	6.3	2
Nishimoto-2005-359-236	236	Basket	1539	BASKET	バスケット	BASUKETTO	27.5	5.3	4.3	5
Nishimoto-2005-359-237	237	Flag	2623	FLAG	ハタ	HATA	95.0	3.3	3.5	2
Nishimoto-2005-359-238	238	Bee	665	BEE	ハチ	HACHI	50.0	3.3	5.1	2
Nishimoto-2005-359-239	239	Grasshopper	607	GRASSHOPPER	バッタ	BATTA	90.0	3.6	4.4	3
Nishimoto-2005-359-240	240	Baseball bat			バット	BATTO	100.0	4.2	3.8	3
Nishimoto-2005-359-241	241	Pigeon	1853	DOVE	ハト	HATO	75.0	2.9	5.2	2
Nishimoto-2005-359-242	242	Flower	239	FLOWER	ハナ	HANA	72.5	2.4	6.6	2
Nishimoto-2005-359-243	243	Nose	1221	NOSE	ハナ	HANA	97.5	2.5	6.2	2
Nishimoto-2005-359-244	244	Banana	868	BANANA	バナナ	BANANA	90.0	2.0	6.0	3
Nishimoto-2005-359-245	245	Toothbrush	2579	TOOTHBRUSH	ハブラシ	HA-BURASHI	95.0	2.8	6.7	4
Nishimoto-2005-359-246	246	Cigar	4019	CIGAR	ハマキ	HAMAKI	57.5	7.4	2.0	3
Nishimoto-2005-359-247	247	Rose	3882	ROSE	バラ	BARA	100.0	3.7	5.0	2
Nishimoto-2005-359-248	248	Needle	1382	NEEDLE (FOR SEWING)	ハリ	HARI	95.0	4.9	5.1	2
Nishimoto-2005-359-249	249	Ball	1845	BALL	バレーボール	BARÊ BÔRU	92.5	5.6	3.9	6
Nishimoto-2005-359-250	250	Bread	1368	BREAD	パン	PAN	97.5	2.0	6.6	2
Nishimoto-2005-359-251	251	Hanger	770	EARRING	ハンガー	HANGÂ	97.5	4.5	6.5	4
Nishimoto-2005-359-252	252	Handkerchief	1020	HANDKERCHIEF	ハンカチ	HANKACHI	70.0	3.2	5.4	4
