ID	Number	KBA_ID	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	COMMENTS	French	German	Afrikaans	Tswana	Scientific	Category	Möhlig	Swadesh	LJ
KBA-2021-912-91	91	m-k-bp15-fl-fa	shin	186	SHIN							Body parts			
KBA-2021-912-92	92	m-k-bp23-fl-fa	trunk (of tree)	344	TREE TRUNK							Body parts			
KBA-2021-912-93	93	m-k-bp26-fl-fa	skeleton	2668	SKELETON							Body parts			
KBA-2021-912-94	94	m-k-bp38-fl-fa	front			STIRN						Body parts			
KBA-2021-912-95	95	m-k-bp39-fl-fa	space (in front of sth.)			ignore						Body parts			
KBA-2021-912-96	96	m-k-bp41-fl-fa	top			ignore						Body parts			
KBA-2021-912-97	97	m-k-bp49-fl-fa	skull	1605	SKULL							Body parts			
KBA-2021-912-98	98	m-k-bp51-fl-fa	bone marrow	1835	MARROW							Body parts			
KBA-2021-912-99	99	m-k-bp54-fl-fa	inside	1606	INSIDE							Body parts			
KBA-2021-912-100	100	m-k-bp6-fl-fa	forearm	446	LOWER ARM							Body parts			
KBA-2021-912-101	101	m-k-bp62-fl-fa	mucus (snot)	208	NASAL MUCUS (SNOT)							Body parts			
KBA-2021-912-102	102	m-k-bp67-fl-fa	pip									Body parts			
KBA-2021-912-103	103	m-k-bp69-fl-fa	testicle	797	TESTICLES							Body parts			
KBA-2021-912-104	104	m-k-bp7-fl-fa	upper arm	431	UPPER ARM							Body parts			
KBA-2021-912-105	105	m-k-bp70-fl-fa	breath	870	BREATH							Body parts			
KBA-2021-912-106	106	m-k-bp75-fl-fa	to skin (flay)	291	PULL OFF (SKIN)							Body parts			
KBA-2021-912-107	107	m-k-bp79-fl-fa	to point	2669	POINT (WITH FINGER)							Body parts			
KBA-2021-912-108	108	m-k-bp84-fl-fa	eyebrow	1173	EYEBROW							Body parts			
KBA-2021-912-109	109	m-k-bp85-fl-fa	tears	1651	TEAR (OF EYE)							Body parts			
KBA-2021-912-110	110	m-k-bp88-fl-fa	to lick	319	LICK							Body parts			
KBA-2021-912-111	111	m-k-bp9-fl-fa	toenail	2662	TOENAIL							Body parts			
KBA-2021-912-112	112	m-k-bp95-fl-fa	thumb	1781	THUMB							Body parts			
KBA-2021-912-113	113	m-k1-bp-fl-fa	home (homestead)	2406	HOME							Kinship			
KBA-2021-912-114	114	m-k10-bp-fl-fa	essG («elder same-sex sibling»)	3037	SAME-SEX OLDER SIBLING							Kinship			
KBA-2021-912-115	115	m-k102-bp-fl-fa	female initiate									Kinship			
KBA-2021-912-116	116	m-k105-bp-fl-fa	colleague (countryman)									Kinship			
KBA-2021-912-117	117	m-k106-bp-fl-fa	neighbour	1332	NEIGHBOUR							Kinship			
KBA-2021-912-118	118	m-k107-bp-fl-fa	agemate (peer)									Kinship			
KBA-2021-912-119	119	m-k108-bp-fl-fa	namesake									Kinship			
KBA-2021-912-120	120	m-k109-bp-fl-fa	senior namesake (person for whom EGO is named)									Kinship			
KBA-2021-912-121	121	m-k11-bp-fl-fa	yssG («younger same-sex sibling»)	3038	SAME-SEX YOUNGER SIBLING							Kinship			
KBA-2021-912-122	122	m-k110-bp-fl-fa	junior namesake (person named after EGO)									Kinship			
KBA-2021-912-123	123	m-k112-bp-fl-fa	to joke	2760	MAKE A JOKE							Kinship			
KBA-2021-912-124	124	m-k113-bp-fl-fa	to avoid	3639	AVOID							Kinship			
KBA-2021-912-125	125	m-k114-bp-fl-fa	respect	385	RESPECT (SOMEBODY)							Kinship			
KBA-2021-912-126	126	m-k115-bp-fl-fa	to fear	1419	FEAR (BE AFRAID)							Kinship			
KBA-2021-912-127	127	m-k116-bp-fl-fa	(to be) related									Kinship			
KBA-2021-912-128	128	m-k118-bp-fl-fa	> first grade relative									Kinship			
KBA-2021-912-129	129	m-k119-bp-fl-fa	unknown grade relative									Kinship			
KBA-2021-912-130	130	m-k12-bp-fl-fa	PGC («cousin»)	1643	COUSIN							Kinship			
KBA-2021-912-131	131	m-k120-bp-fl-fa	unrelated people									Kinship			
KBA-2021-912-132	132	m-k121-bp-fl-fa	in-law									Kinship			
KBA-2021-912-133	133	m-k128-bp-fl-fa	household community									Kinship			
KBA-2021-912-134	134	m-k13-bp-fl-fa	PGD («female cousin»)	3823	FEMALE COUSIN							Kinship			
KBA-2021-912-135	135	m-k130-bp-fl-fa	to settle									Kinship			
KBA-2021-912-136	136	m-k131_132-bp-fl-fa	home (homestead)	2406	HOME							Kinship			
KBA-2021-912-137	137	m-k133-bp-fl-fa	headwoman									Kinship			
KBA-2021-912-138	138	m-k134_135-bp-fl-fa	chief (headman)	301	CHIEFTAIN							Kinship			
KBA-2021-912-139	139	m-k136-bp-fl-fa	king	1508	KING							Kinship			
KBA-2021-912-140	140	m-k137-bp-fl-fa	(to be) a leader									Kinship			
KBA-2021-912-141	141	m-k14-bp-fl-fa	PGS («male cousin»)	3822	MALE COUSIN							Kinship			
KBA-2021-912-142	142	m-k15-bp-fl-fa	PosGC («cross cousin»)	3162	CROSS-COUSIN							Kinship			
KBA-2021-912-143	143	m-k16-bp-fl-fa	P («parent»)	505	PARENTS							Kinship			
KBA-2021-912-144	144	m-k28-bp-fl-fa	GD («niece»)	1642	NIECE							Kinship			
KBA-2021-912-145	145	m-k29-bp-fl-fa	GS («nephew»)	1063	NEPHEW							Kinship			
KBA-2021-912-146	146	m-k3-bp-fl-fa	eG («elder sibling»)	405	OLDER SIBLING							Kinship			
KBA-2021-912-147	147	m-k30-bp-fl-fa	ZC («sister's child»)									Kinship			
KBA-2021-912-148	148	m-k31-bp-fl-fa	BC («brother's child»)									Kinship			
KBA-2021-912-149	149	m-k38-bp-fl-fa	CC («grandchild»)	1617	GRANDCHILD							Kinship			
KBA-2021-912-150	150	m-k39-bp-fl-fa	CC ws («grandchild, woman speaking»)	3782	GRANDCHILD (OF FEMALE EGO)							Kinship			
KBA-2021-912-151	151	m-k4-bp-fl-fa	yG («younger sibling»)	427	YOUNGER SIBLING							Kinship			
KBA-2021-912-152	152	m-k40-bp-fl-fa	CC ms («grandchild, man speaking»)									Kinship			
KBA-2021-912-153	153	m-k41-bp-fl-fa	CD («granddaughter»)	1619	GRANDDAUGHTER							Kinship			
KBA-2021-912-154	154	m-k42-bp-fl-fa	CS («grandson»)	1618	GRANDSON							Kinship			
KBA-2021-912-155	155	m-k43-bp-fl-fa	DC («daughter's child»)	2703	GRANDCHILD (DAUGHTER’S OFFSPRING)							Kinship			
KBA-2021-912-156	156	m-k44-bp-fl-fa	SC («son's child»)									Kinship			
KBA-2021-912-157	157	m-k45-bp-fl-fa	DS («daughter's son»)									Kinship			
KBA-2021-912-158	158	m-k46-bp-fl-fa	SS («son's son»)	2702	GRANDSON (SON’S SON)							Kinship			
KBA-2021-912-159	159	m-k47-bp-fl-fa	PPM («great grandmother»)									Kinship			
KBA-2021-912-160	160	m-k48-bp-fl-fa	PPF («great grandfather»)									Kinship			
KBA-2021-912-161	161	m-k49-bp-fl-fa	CCD («great granddaughter»)									Kinship			
KBA-2021-912-162	162	m-k50-bp-fl-fa	CCS («great grandson»)									Kinship			
KBA-2021-912-163	163	m-k51-bp-fl-fa	CCC ws («great grandchild, woman speaking»)									Kinship			
KBA-2021-912-164	164	m-k52-bp-fl-fa	CCC ms («great grandchild, man speaking»)									Kinship			
KBA-2021-912-165	165	m-k53-bp-fl-fa	E («spouse»)	2514	SPOUSE							Kinship			
KBA-2021-912-166	166	m-k56-bp-fl-fa	EP («parent-in-law»)	306	PARENTS-IN-LAW							Kinship			
KBA-2021-912-167	167	m-k61-bp-fl-fa	WF («father-in-law, man speaking»)	2255	FATHER-IN-LAW (OF MAN)							Kinship			
KBA-2021-912-168	168	m-k63-bp-fl-fa	SW («daughter-in-law»)	1057	DAUGHTER-IN-LAW							Kinship			
KBA-2021-912-169	169	m-k64-bp-fl-fa	DH («son-in-law»)	1056	SON-IN-LAW							Kinship			
KBA-2021-912-170	170	m-k65-bp-fl-fa	CEM (child's mother-in-law)									Kinship			
KBA-2021-912-171	171	m-k67-bp-fl-fa	BW («sister-in-law»)									Kinship			
KBA-2021-912-172	172	m-k68-bp-fl-fa	WZ («sister-in-law»)									Kinship			
KBA-2021-912-173	173	m-k69-bp-fl-fa	HZ («sister-in-law»)									Kinship			
KBA-2021-912-174	174	m-k70-bp-fl-fa	ZH («brother-in-law»)									Kinship			
KBA-2021-912-175	175	m-k71-bp-fl-fa	WB («brother-in-law»)									Kinship			
KBA-2021-912-176	176	m-k72-bp-fl-fa	HB («brother-in-law»)									Kinship			
KBA-2021-912-177	177	m-k73-bp-fl-fa	MZH («mother's sister's husband»)									Kinship			
KBA-2021-912-178	178	m-k74-bp-fl-fa	FZH («father's sister's husband»)									Kinship			
KBA-2021-912-179	179	m-k75-bp-fl-fa	MBW («mother's brother's wife»)									Kinship			
KBA-2021-912-180	180	m-k76-bp-fl-fa	FBW («father's brother's wife»)									Kinship			
KBA-2021-912-181	181	m-k77-bp-fl-fa	first wife									Kinship			
KBA-2021-912-182	182	m-k78-bp-fl-fa	second wife									Kinship			
KBA-2021-912-183	183	m-k79-bp-fl-fa	co-wife	3636	CO-WIFE							Kinship			
KBA-2021-912-184	184	m-k80-bp-fl-fa	co-husband									Kinship			
KBA-2021-912-185	185	m-k83-bp-fl-fa	plural marriage									Kinship			
KBA-2021-912-186	186	m-k85-bp-fl-fa	girlfriend									Kinship			
KBA-2021-912-187	187	m-k86-bp-fl-fa	boyfriend									Kinship			
KBA-2021-912-188	188	m-k87-bp-fl-fa	orphan	1149	ORPHAN							Kinship			
KBA-2021-912-189	189	m-k89-bp-fl-fa	people	789	PEOPLE							Kinship	M104	s111	
KBA-2021-912-190	190	m-k9-bp-fl-fa	ossG («opposite-sex sibling»)									Kinship			
KBA-2021-912-191	191	m-k92-bp-fl-fa	(to be) female	2260	FEMALE (OF PERSON)							Kinship	M130	s195	
KBA-2021-912-192	192	m-k93-bp-fl-fa	(to be) male	2261	MALE (OF PERSON)							Kinship	M129	s094	
KBA-2021-912-193	193	m-k96-bp-fl-fa	young woman (maiden)	77	YOUNG WOMAN							Kinship			
KBA-2021-912-194	194	m-k97-bp-fl-fa	young man (youth)	76	YOUNG MAN							Kinship			
KBA-2021-912-195	195	m1-k88-bp28-fl-fa	people	789	PEOPLE		gens	Leute, Menschen	mense	batho		1. Social life  1A.Social structure	M104	s111	
KBA-2021-912-196	196	m10-k-bp-fl-fa	father  (if inalienable: his/her; possible without possessor?)	1217	FATHER		père	Vater	vader	ntate		1. Social life  1A.Social structure	M114	s043	
KBA-2021-912-197	197	m10-k18-bp-fl-fa	father  (if inalienable: his/her; possible without possessor?)	1217	FATHER		père	Vater	vader	ntate		1. Social life  1A.Social structure	M114	s043	
KBA-2021-912-198	198	m100-k-bp42-fl-fa	head  (if inalienable: his/her; possible without possessor?)	1256	HEAD		tête	Kopf	hoof, kop	tlhogo, di-		2. What refers to the body  2A.Parts of the Body and Secretions	M002	s068	
KBA-2021-912-199	199	m101-k-bp50-fl-fa	brain	1583	BRAIN		cerveau	Gehirn, Hirn	harsings, brein	boboko, ma-		2. What refers to the body  2A.Parts of the Body and Secretions	M003		
KBA-2021-912-200	200	m102-k-bp46-fl-fa	hair (of head)	2648	HAIR (HEAD)		cheveu	Haar	hare, haar	(thiri), moriri		2. What refers to the body  2A.Parts of the Body and Secretions	M004	s065	lj031
KBA-2021-912-201	201	m103-k-bp47-fl-fa	forehead	123	FOREHEAD		front	Stirn	voorhoof	phatla, di-		2. What refers to the body  2A.Parts of the Body and Secretions	M005		
KBA-2021-912-202	202	m104-k-bp40-fl-fa	face	1560	FACE		visage	Gesicht	gesig (gelaat)	sephapha/sefatlhego		2. What refers to the body  2A.Parts of the Body and Secretions	M006		
KBA-2021-912-203	203	m105-k-bp33-fl-fa	cheek	1730	CHEEK		joue	Wange	wang	lerama, ma-		2. What refers to the body  2A.Parts of the Body and Secretions	M007		
KBA-2021-912-204	204	m106-k-bp34-fl-fa	jaw	798	JAW		machoire	Kiefer	kakebeen	letlhaa, ma- or lotlhaa, di-		2. What refers to the body  2A.Parts of the Body and Secretions	M008		
KBA-2021-912-205	205	m107-k-bp35-fl-fa	chin	1510	CHIN		menton	Kinn	ken	seledu, di-		2. What refers to the body  2A.Parts of the Body and Secretions	M009		
KBA-2021-912-206	206	m108-k-bp36-fl-fa	beard	678	BEARD		barbe	Bart	baard	tedu, di-		2. What refers to the body  2A.Parts of the Body and Secretions	M010		
KBA-2021-912-207	207	m109-k-bp63-fl-fa	nose	1221	NOSE		nez	Nase	neus	nko, dinko		2. What refers to the body  2A.Parts of the Body and Secretions	M011	s106	lj002
KBA-2021-912-208	208	m11-k19-bp-fl-fa	child (kin term, such as «my ~»)				enfant	Kind	(my) kind	ngwana, bana		1. Social life  1A.Social structure	M121	s020	lj051
KBA-2021-912-209	209	m110-k-bp45-fl-fa	eye	1248	EYE		oeil	Auge	oog	leitlho, matlho		2. What refers to the body  2A.Parts of the Body and Secretions	M012	s039	lj083
KBA-2021-912-210	210	m112-k-bp48-fl-fa	ear	1247	EAR		oreille	Ohr	oor	tsebe, di-		2. What refers to the body  2A.Parts of the Body and Secretions	M014	s035	lj022
KBA-2021-912-211	211	m113-k-bp43-fl-fa	mouth	674	MOUTH		bouche	Mund	mond	molomo, me-		2. What refers to the body  2A.Parts of the Body and Secretions	M015	s099	lj005
KBA-2021-912-212	212	m114-k-bp44-fl-fa	lip	478	LIP		lèvre	Lippe	lip	pounama, di-		2. What refers to the body  2A.Parts of the Body and Secretions	M016		
KBA-2021-912-213	213	m115-k-bp87-fl-fa	tongue	1205	TONGUE		langue	Zunge	tong	leleme, ma-; loleme, diteme		2. What refers to the body  2A.Parts of the Body and Secretions	M017	s172	lj006
KBA-2021-912-214	214	m116-k-bp86-fl-fa	tooth	1380	TOOTH		dent	Zahn	tand	leino, meno		2. What refers to the body  2A.Parts of the Body and Secretions	M018	s173	lj028
KBA-2021-912-215	215	m117-k-bp89-fl-fa	throat	1346	THROAT		gorge	Kehle	keel			2. What refers to the body  2A.Parts of the Body and Secretions	M019		
KBA-2021-912-216	216	m118-k-bp90-fl-fa	neck	1333	NECK		cou	Hals	nek, hals	molala, me-		2. What refers to the body  2A.Parts of the Body and Secretions	M020	s103	lj023
KBA-2021-912-217	217	m119-k-bp92-fl-fa	shoulder	1482	SHOULDER		épaule	Schulter	skouer	legetla, ma-		2. What refers to the body  2A.Parts of the Body and Secretions	M021		
KBA-2021-912-218	218	m12-k21-bp-fl-fa	son	1620	SON		fils	Sohn	seun	morwa, ba-		1. Social life  1A.Social structure	M122		
KBA-2021-912-219	219	m120-k-bp8-fl-fa	arm	1673	ARM		bras	Arm	arm	lebogo, ma-		2. What refers to the body  2A.Parts of the Body and Secretions	M022		lj019
KBA-2021-912-220	220	m121-k-bp-fl-fa	armpit	1886	ARMPIT		aisselle	Achsel, Achselhöhle	armholte	legwafa, ma-		2. What refers to the body  2A.Parts of the Body and Secretions	M023		
KBA-2021-912-221	221	m122-k-bp19-fl-fa	elbow	981	ELBOW		coude	Ellenbogen	elmboog	sekgono, di-		2. What refers to the body  2A.Parts of the Body and Secretions	M024		
KBA-2021-912-222	222	m123-k-bp5-fl-fa	hand	1277	HAND		main	Hand	hand	seatla, di-; letsogo, ma-		2. What refers to the body  2A.Parts of the Body and Secretions		s066	lj019
KBA-2021-912-223	223	m124-k-bp94-fl-fa	left (hand, side)	244	LEFT		gauche	linke(r)	links, linkerhand, linkerkant	molema, ko molemeng		2. What refers to the body  2A.Parts of the Body and Secretions	M025	s087	
KBA-2021-912-224	224	m125-k-bp93-fl-fa	right (hand, side)	1019	RIGHT		droit	rechte(r)	regs, regterhand, regterkant	moja, ko mojeng		2. What refers to the body  2A.Parts of the Body and Secretions	M026	s118	
KBA-2021-912-225	225	m126-k-bp4-fl-fa	palm (of hand)	1183	PALM OF HAND		paume	Handteller, Handfläche	handpalm	legofi		2. What refers to the body  2A.Parts of the Body and Secretions	M027		
KBA-2021-912-226	226	m127-k-bp3-fl-fa	finger	1303	FINGER		doigt	Finger	vinger	mono, me-; monwana, me-		2. What refers to the body  2A.Parts of the Body and Secretions	M028		
KBA-2021-912-227	227	m128-k-bp2-fl-fa	fingernail	1258	FINGERNAIL		ongle	Fingernagel	nael	lonala		2. What refers to the body  2A.Parts of the Body and Secretions	M029		
KBA-2021-912-228	228	m129-k-bp91-fl-fa	back (of body)	1291	BACK		dos	Rücken	rug	mokwatla, me-		2. What refers to the body  2A.Parts of the Body and Secretions	M030	s006	lj046
KBA-2021-912-229	229	m13-k20-bp-fl-fa	daughter	1357	DAUGHTER		fille	Tochter	dogter	morwadi, ba-		1. Social life  1A.Social structure	M123		
KBA-2021-912-230	230	m130-k-bp99-fl-fa	rib	801	RIB		côte	Rippe	rib	legopo/logopo, dikgopo		2. What refers to the body  2A.Parts of the Body and Secretions	M031		
KBA-2021-912-231	231	m131-k-bp21-fl-fa	chest	1592	CHEST		poitrine	Brust, Brustkorb	ribekas	mafatlha; sehuba, di-		2. What refers to the body  2A.Parts of the Body and Secretions	M032		
KBA-2021-912-232	232	m132-k-bp57-fl-fa	breast, breasts, bosom	1402	BREAST		sein, poitrine	Brust, Brüste, Busen	boesem, bors	lebele, ma-		2. What refers to the body  2A.Parts of the Body and Secretions	M033	(s100)	lj012
