ID	NUMBER	ENGLISH	LINK	ROLE_FRAME	MICROROLES	CONCEPTICON_ID	CONCEPTICON_GLOSS
Zanchi-2022-170-103	103	DO	do	X does Y	doer, done thing	813	DO
Zanchi-2022-170-104	104	CROSS	cross	X crosses Y	crosser, crossed place	574	TRANSIT
Zanchi-2022-170-105	105	GIVE BIRTH	give-birth	X gives birth to Y	birth giver, born entity	1195	GIVE BIRTH
Zanchi-2022-170-106	106	ENTER	enter	X enters somewhere	enterer, entered place	749	ENTER
Zanchi-2022-170-107	107	REST	rest	X rests	resting person	168	REST
Zanchi-2022-170-108	108	DRINK	drink	X drinks Y	drinking person, drunken thing	1401	DRINK
Zanchi-2022-170-109	109	FEEL SLEEPY	feel-sleepy	E feels sleepy	sleepy head	3620	SLEEPY
Zanchi-2022-170-110	110	DREAM	dream	E dreams	dreamer, dream(t-of thing)	1920	DREAM (SOMETHING)
Zanchi-2022-170-111	111	FEEL SICK	feel-sick	E feels sick	sick feeling person		
Zanchi-2022-170-112	112	PROPOSE (a marriage)	propose-a-marriage	A proposes to M	proposer, proposed to person		
Zanchi-2022-170-113	113	CAPSIZE	capsize	S capsizes	capsizing entity, capsizing causer		
Zanchi-2022-170-114	114	STUMBLE	stumble	S stumbles	stumbling person	3617	STUMBLE
Zanchi-2022-170-115	115	SAY (impersonal)	say-impersonal	S says somewhere (L)	sayer (quotation), source of quotation, said thing (quotation)		
Zanchi-2022-170-116	116	MAKE ONE'S PRESENCE KNOWN	make-ones-presence-known	S makes one's presence known	presence known maker		
Zanchi-2022-170-117	117	BE NEEDED	be-needed	S is needed	needee		
Zanchi-2022-170-118	118	ASSASSINATE	assassinate	A assassinates P	assassin, assassinee, assassination instrument, assassination causer		
Zanchi-2022-170-119	119	COME	come	A comes (to L)	comer, coming goal	1446	COME
Zanchi-2022-170-120	120	GET (= obtain)	get-obtain	A gets P	obtainer, obtained thing	694	GET
Zanchi-2022-170-121	121	ASK (a question)	ask-a-question	A asks R Q	Q asker, Q asked person, Q	1309	ASK (INQUIRE)
Zanchi-2022-170-122	122	DROWN	drown	S drowns	drowned thing/person	1904	DROWN
Zanchi-2022-170-123	123	LEARN	learn	A learns P	learner, learned thing	504	LEARN
Zanchi-2022-170-124	124	CALL	call	A calls P	caller, called to/for person	1084	CALL
Zanchi-2022-170-125	125	COME (2)	come-2	A comes (from/to L)	coming person/thing, come source, come goal, come causer		
Zanchi-2022-170-126	126	BE A DRESS	be-a-dress	X is a dress	dress/clothing, dresser		
Zanchi-2022-170-127	127	REMAIN	remain	A remains in L	remainer, remaining place	987	REMAIN
Zanchi-2022-170-128	128	WINK	wink	A winks at X	winker, winkee	1655	BLINK
Zanchi-2022-170-129	129	LONG FOR	long-for	A longs for P	longer, longed for person/thing	3473	LONG (FOR SOMETHING)
Zanchi-2022-170-130	130	DRIVE OUT	drive-out	A drives P out	out driver, driven out thing/person	30	DISPEL
Zanchi-2022-170-131	131	BURN (tr)	burn-tr	A burns P	burner (tr), burnt thing (tr), burn instrument (tr), burn causer (tr)	141	BURN (SOMETHING)
Zanchi-2022-170-132	132	MAKE HUNGRY	make-hungry	M makes E hungry	hungry person (tr), hunger causer (tr)		
Zanchi-2022-170-133	133	MAKE SICK	make-sick	M makes E sick	sick person (tr), sickness causer (tr)		
Zanchi-2022-170-134	134	DRY	dry	A dries P	drier (tr), dry thing (tr)	1786	DRY UP
Zanchi-2022-170-135	135	MAKE APPEAR	make-appear	A makes P appear	appearer (tr), appear causer (tr)		
Zanchi-2022-170-136	136	FELL	fell	A fells P	feller, fellee	355	CUT DOWN
Zanchi-2022-170-137	137	DROP	drop	A drops P	dropper, dropped thing	2866	DROP (SOMETHING)
Zanchi-2022-170-138	138	SEAT	seat	A seats P (somewhere L)	seater, seatee, seating place	4088	SEAT
Zanchi-2022-170-139	139	MAKE RUN	make-run	A makes P run	run causer (tr), runner (tr)		
Zanchi-2022-170-140	140	SINK (tr)	sink-tr	A sinks P	sink-(caus)er (tr), sunken entity (tr), sinking instrument, sinking causer (tr)		
Zanchi-2022-170-141	141	BOIL (tr)	boil-tr	A boils P	boiler (tr), boiled thing (tr), boiling causer (tr), boiling beneficiary (tr)	2492	BOIL (SOMETHING)
Zanchi-2022-170-142	142	ROLL (tr)	roll-tr	A rolls P	roller (tr), rolling thing (tr), rolling goal (tr), rolling location (tr), roll causer (tr)		
Zanchi-2022-170-143	143	DESERVE	deserve	A deserves P	deserver, deserved thing		
Zanchi-2022-170-144	144	BE BURDENED	be-burdened	A is burdened with P	burdened person, burden		
Zanchi-2022-170-145	145	HAVE AN INTUITION	have-an-intuition	A has the intiontion that P	intuition haver, intuition topic		
Zanchi-2022-170-146	146	BE GLAD	be-glad	A is glad.	gladdened entity	2192	REJOICE
Zanchi-2022-170-147	147	GO WELL	go-well	T goes well for E	well going entity, well going beneficiary		
Zanchi-2022-170-148	148	SETTLE	settle	A settles in L	settler, settling place		
Zanchi-2022-170-149	149	GET EXCITED	get-excited	A got excited	excited entity		
Zanchi-2022-170-150	150	BE FAR FROM THE TRUTH	be-far-from-the-truth	A is far from the truth	untrue entity		
Zanchi-2022-170-151	151	MAKE CLIMB	make-climb	C makes A climb L	climb maker, make climbing entity, make climbing goal		
Zanchi-2022-170-152	152	HURT	hurt	A hurts X	hurter, hurt locus	2411	HURT (SOMEBODY)
Zanchi-2022-170-153	153	BE NAMED	be-named	S is named X	name carrier, name (intr.)		
Zanchi-2022-170-154	154	LAUGH ABOUT	laugh-about	A laughs about X	laugher (tr.), laughed-about thing (tr.)		
Zanchi-2022-170-155	155	BE SAD ABOUT	be-sad-about	E is sad about S	sad person (about), sad about thing		
Zanchi-2022-170-156	156	CRY ABOUT	cry-about	A cries about X	crying person, cryed about thing		
Zanchi-2022-170-157	157	COUGH AT	cough-at	A coughs at P	coughing person, coughed at entity		
Zanchi-2022-170-158	158	JUMP OVER	jump-over	A jumps over X	jumping person, jumped over entity		
Zanchi-2022-170-159	159	BE BRIGHT	be-bright	S is bright	bright entity, causer of brightness	679	BRIGHT
Zanchi-2022-170-160	160	LISTEN	listen	E listens to M.	listener, listened to sound, listening causer	1608	LISTEN
Zanchi-2022-170-161	161	GET DRESSED	get-dressed	S gets gressed.	getting dressed person, get dressed causer		
Zanchi-2022-170-162	162	SHAVE (self)	shave-self	A shaves P	shaver (of self), shaving instrument (for self), shave (self) causer, shave (self) body part		
Zanchi-2022-170-163	163	LIGHT	light			737	LIGHT (IGNITE)
Zanchi-2022-170-164	164	LIGHTEN	lighten				
Zanchi-2022-170-165	165	BE ANNOYED	be-annoyed			2223	BE ANGRY
Zanchi-2022-170-166	166	BE ASHAMED	be-ashamed			1894	ASHAMED
Zanchi-2022-170-167	167	DISPLEASE	displease				
Zanchi-2022-170-168	168	HAVE PITY	have-pity				
Zanchi-2022-170-169	169	OPEN	open			1156	OPEN
Zanchi-2022-170-170	170	REGRET	regret			1875	REGRET
