ID	NUMBER	ENGLISH	RUSSIAN	ENGLISH_CONTEXT	RUSSIAN_CONTEXT	ENGLISH_DESCRIPTION	RUSSIAN_DESCRIPTION	CONCEPTICON_ID	CONCEPTICON_GLOSS
Kassian-2010-116-39	39	to hear	слышать	1. You speak too quietly, I cannot hear you.<br>2. Suddenly I heard a shot.	1. Ты тихо говоришь, я тебя не слышу.<br>2. Я неожиданно услышал выстрел.	Not to be confused with ‘to listen’ (sometimes, but far from always, expressed by the same root). To be separated from ‘to hear’ in the meaning ‘to know’, i.e. ‘to hear that X’ or ‘to hear of X’ (I heard that he died; I heard of it).	Отличать от ‘слушать’ (иногда, но далеко не всегда, тот же корень) и ‘прислушиваться’. Отличать от ‘слышать’ в значении ‘знать’, т.е. ‘слышать, что X’ или ‘слышать о X-е’ (Я слышал, что он умер; Я слышал об этом).	1408	HEAR
Kassian-2010-116-40	40	heart	сердце	1. He cut the heart out of the carcass.<br>2. A human heart is larger than a dog’s heart.	1. Он вырезал сердце из туши.<br>2. Человечье сердце больше собачьего.	Both of humans and animals. Understood as a body part rather than in any abstract sense (‘heart’ as a vessel for one’s mind or soul).	О человеке и животном. Часть тела; отличать от вместилища души, ума и т. п.	1223	HEART
Kassian-2010-116-41	41	horn	рог	1. Some animals have horns, some don’t.<br>2. People don’t have horns, some ani-mals do.<br>3. He grabbed [the beast] by the horn.<br>4. He cut off [the beast’s] horn.	1. Бывают звери с рогами, а бывают без.<br>2. У человека нет рогов, а у некоторых зверей есть.<br>3. Он схватил [зверя] за рог.<br>4. Он отрезал рог у [зверя].	Applied to the prevailing/endemic species of the given region. If there are different words for ‘hollow horn’ and ‘antler’ and both kinds of species are endemic, the pre-ferred choice is ‘hollow horn’ (‘antler’ is generally less stable and more likely to have a “descriptive” origin). However, the word for ‘antler’ can be used if there are no prevailing cavicorn endemics in the region (e.g., in North Siberia). If there are no cornute species in the region altogether, the slot remains empty (e.g., Oceania). To be strictly separated from termini technici like ‘hunting horn’ or ‘drinking horn’ which may be formed from different roots.	Обозначение ‘рога’ у широко распространенных и исконных в данном регионе видов. Если язык лексически различает ‘полый рог’ и ‘ветвистые рога’, причем оба типа животных относятся к числу исконных, то предпочтительно слово для ‘полого рога’ (для лексически менее устойчивого понятия ‘ветвистые рога’ характерны различные описательные обозначения). Обозначение ‘ветвистых рогов’ следует брать, только если исконного широко распространенного полорогого вида в регионе нет (случай Северной Сибири). Если исконных рогатых видов в регионе нет вообще, строка не заполняется (случай Океании). Строго отличать от технических терминов, таких как ‘охотничий рог’, ‘рог-сосуд’.	1393	HORN (KERATINIZED SKIN)
Kassian-2010-116-42	42a	I	я			Stylistically neutral 1st sg. person; various honorific forms must be excluded. Direct stem.	Стилистически нейтральное личное местоимение 1 л. ед. ч. Различные формы вежливости должны быть исключены. Прямая основа.	1209	I
Kassian-2010-116-43	42b	me	меня			Indirect stem of the same pronoun (for languages which distinguish between the two on a paradigmatic level).	Это же, но косвенная основа (для языков, которые имеют соответствующее различие на парадигматическом уровне).	2301	ME
Kassian-2010-116-44	43	to kill	убивать	1. The man killed a beast / another man.<br>2. He is so strong / agile that he can kill any beast / any man.	1. Человек убил зверя / другого человека.<br>2. Он такой сильный / ловкий, что может убить любого человека / любое животное.	By an animate agent (i.e. excluding diseases, colliding stones etc.). This verb should preferably be able to take both humans and common animals as its object, so as to rule out stylistic and archaic variants (e.g., ‘to slay’). Singular object use (i. e. not ‘to slaugh-ter’ or various suppletive roots in specific paradigms, see the introduction).	С одушевленным агенсом (т. е. исключая случаи болезни, сорвавшегося вниз камня и т. п.). Желательно, чтобы позиция объекта для данного глагола могла быть заполнена названиями как людей, так и обычных животных, в целях фильтрации стилистически маркированных и архаичных вариантов (вроде ‘умерщвлять’). Отличать от ‘убивать’ с множественным объектом (‘вырезать’ и т. п.; см. также введение относительно стратегии, выбираемой для супплетивных парадигм).	1417	KILL
Kassian-2010-116-45	44	knee	колено	1. He punched the man with his knee while fighting.<br>2. My knee hurts.<br>3. Bend your knees.	1. Он ударил его в драке коленом.<br>2. У меня болит колено.<br>3. Согни колени.	The knee joint (outside part; to be distinguished from ‘knee cap’ as a bone).	Коленный сустав (внешняя часть ноги). Следует отличать от внутренней стороны колена и ‘коленной чашечки’ (кость).	1371	KNEE
Kassian-2010-116-46	45	to know	знать	1. What’s happened? I don’t know, maybe he knows.<br>2. Everybody knows that clouds bring rain.	1. Что случилось? — Я не знаю, может быть, он знает.<br>2. Все знают, что тучи приносят дождь.	Expresses previous possession of knowledge of a situation; thus, to be separated from (a) acquisition of knowledge — ‘to recognize’, ‘to learn’, ‘to get to know’, etc.; (b) ac-quaintance with an object/person — ‘to know the way’, ‘to know one’s name’ etc. (as in French connaître).	Глагол, обозначающий уже имеющее место знание относительно какой-л. ситуации; следует, таким образом, отличать от (а) глаголов узнавания (‘узнавать’, ‘понимать’ и т. п.), (б) ситуаций знакомства с каким-л. объектом/человеком (знать дорогу, знать имя и т. п., как франц. connaître).	1410	KNOW (SOMETHING)
Kassian-2010-116-47	46	leaf	лист	1. He plucked one leaf from the tree/bush.<br>2. Trees / bushes bear leaves, but dead trees / bushes have no leaves.	1. Он сорвал с дерева/куста один лист.<br>2. На деревьях/кустарнике растут листья, а у мертвого дерева/кус-тар¬ника листьев нет.	Should be applicable to as many different plant species as possible. Should also be sep-arated from special collective terms, such as ‘foliage’ or ‘greenery’ (hence the singular use in ex. 1). Not ‘leaf of grass’ (for languages that distinguish between ‘tree leaf’ and ‘grass leaf’).	Желательна сочетаемость с максимальным разнообразием видов растений. Отличать от коллективного ‘листва’ или ‘зелень’ (ср. пример 1) и от обозначения листа у травянистых растений.	628	LEAF
Kassian-2010-116-48	47	to lie	лежать	1. Man can stand, sit, or lie.<br>2. Why are you lying in bed?	1. Человек может стоять, сидеть и лежать.<br>2. Почему ты лежишь в постели?	A verb of continuative/durative action. It is generally not recommended to fill in the slot with the inchoative verb ‘to lie down’, although such practice is rather frequent (and, in truth, both notions are quite commonly expressed with the same root). Should be strictly separated from lying in particular postures (‘lie on one’s side’, ‘lie face down’ etc.). Cf. similar requirements for No.75 ‘to sit’, No.80 ‘to stand’. NB: this entry does not mean ‘to speak untruthfully’!	Глагол состояния; не рекомендуется подменять инхоативным глаголом ‘ложиться’, хотя подобного рода практика существует (на самом деле, оба понятия часто выражаются одним и тем же корнем). Строго отличать от лежания в конкретных позах (‘лежать на боку’, ‘лежать ничком’ и т. п.). Ср. аналогичные требования для №75 ‘сидеть’, №80 ‘стоять’.	1411	LIE (REST)
Kassian-2010-116-49	48	liver	печень	1. He cut the liver from the carcass.<br>2. Human liver is larger than a dog’s liver.	1. Он вырезал печень из туши.<br>2. Человечья печень больше собачей.	Applicable to both humans and animals. ‘Liver’ as a body organ rather than an abstract vessel for the mind, soul, etc., see ‘heart’.	О человеке и животном. Отличать от вместилища души, ума и т. п. (см. ‘сердце’).	1224	LIVER
Kassian-2010-116-50	49	long	длинный	1. Here is a long stick, here is a short one.<br>2. This rope is long, I need a short one.	1. Вот длинная палка, а вот короткая.<br>2. Эта веревка длинная, мне нужна короткая.	Of physical objects. Not to be confused with ‘high’, ‘tall’ (vertical, not horizontal) in languages that distinguish between the two. Antonymous to No.105 ‘short’.	О физических объектах. Не смешивать с ‘высокий’ (вертикальное положение) в тех языках, которые различают эти два слова. Антоним — №105 ‘короткий’.	1203	LONG
Kassian-2010-116-51	50	louse	вошь	1. There is a large louse creeping across the top of his head.<br>2. He has no lice.	1. У него по макушке ползет большая вошь.<br>2. У него нет вшей.	Head louse as a basic human parasite. Should be kept separate from body lice, pubic lice, animal/plant species of lice, as well as nits.	Головная вошь как обычный паразит человека. Отличать от платяной вши, лобковой вши, травяной вши и т. п., а также от гниды.	1392	LOUSE
Kassian-2010-116-52	51	man (male)	мужчина	1. Men are doing [X], women are mak-ing [Y].<br>2. Women bear children, men do not.	1. Мужчины делают [X], а женщины делают [Y].<br>2. Женщины рожают детей, а мужчины — нет.	Adult human being of the male sex, antonymous to ‘woman’. Should be kept apart from ‘male’ (of any species) if the latter is distinct from ‘man’ (male human), as well as from ‘person / human being’ in general. Context No. 1 is culturally conditioned, in that X and Y should be understood as designations of typical male / female occupations for the given society (e.g., ‘hunting’, ‘cooking’, etc.). If, instead of a general term for ‘man’, one finds differentiation by age groups, the respective lexemes for the age of ca. 20–45 must be treated as synonymous. To be separated from specific designations of ‘bache-lor’, ‘widower’ etc. Same contexts as in No.98 ‘woman’.	Взрослый человек мужского пола. Отличать от понятия ‘самец’ (‘male’), если для последнего существует отдельное слово, равно как и от обозначения человека вообще (‘person’ / ‘human being’). Контекст 1 является культурно обусловленным; здесь следует подставлять наименования типичных для данного социума мужского и женского занятий (охота, готовка и т. п.). Если в языке нет общего слова для ‘мужчины’, а имеется спецификация по возрастным группам, то соответствующие лексемы для возраста примерно 20—45 лет надо брать как синонимы. Отличать от специальных наименований холостяка, вдовца и т. п. Те же контексты, что и для №98 ‘женщина’.	2106	MALE PERSON
Kassian-2010-116-53	52	man (person)	человек	1. The dog is a man’s (best) friend.<br>2. There is something moving in the bushes, I do not know if it is a man or a beast.<br>3. Man can talk, an animal cannot.	1. Собака — друг человека<br>2. В кустах что-то шевелится, я не понимаю, это человек или зверь.<br>3. Человек умеет говорить, а животное — нет.	The basic term for a human being regardless of sex. Singular (plural is frequently suppletive, e.g., ‘people’). NB: The original Swadesh list included this word as ‘person’ in order to avoid misunderstandings, even though the basic English equivalent (in non-PC speech) for the term is also ‘man’.	Базисный термин, обозначающий человека как вид, безотносительно к половой принадлежности. Ед. ч. (мн. ч. часто образуется супплетивно, ср. люди). NB: в исходном списке Сводеша слово обозначено как ‘person’ во избежание неоднозначности понимания, несмотря на то, что в стандартном английском языке (без налета политкорректности) правильный эквивалент — man (= ‘мужчина’).	683	PERSON
Kassian-2010-116-54	53	many, a lot of	много	1. There are many / there is a lot of rocks on the ground.<br>2. I have many / a lot of friends.	1. На земле лежит много камней.<br>2. У меня много друзей.	Adjective or adverb; applicable to countable objects.	Прилагательное или наречие, употребляется со счетными объектами.	1198	MANY
Kassian-2010-116-55	54	meat	мясо	1. Which animal’s meat is this?<br>2. He got / brought plenty of meat.<br>3. He ate all the meat and all the fat.	1. Это мясо какого животного?<br>2. Он достал/принес много мяса.<br>3. Он съел все мясо и весь жир.	Meat as food. To be distinguished from specific kinds of meat (from various body parts, various animals etc.) and from marked terms like ‘flesh’.	Мясо как пищевой продукт. Отличать от наименований конкретных видов мяса (из разных частей туши, от разных животных и т. п.) и от маркированных слов вроде ‘плоть’.	634	MEAT
Kassian-2010-116-56	55	moon	луна	1. The sun shines during the day, the moon shines at night.<br>2. There is a full moon in the sky.	1. Днем светит солнце, а ночью — луна.<br>2. На небе круглая луна.	To be distinguished from ‘crescent moon’ if a separate root exists, as well as from ‘month’.	Отличать от ‘месяца’ (= неполная луна) и календарного месяца.	1313	MOON
Kassian-2010-116-57	56	mountain	гора	1. A mountain is higher than a hill.<br>2. It takes a whole day to climb this mountain.	1. Гора выше холма.<br>2. На эту гору подниматься целый день.	The concept is relative, depending on the landscape of the region (for some languages, the term ‘hill’ itself functions as a proper equivalent).	Относительное понятие, зависящее от ландшафта данного ареала (для некоторых языков в качестве эквивалента приходится брать понятие ‘холм’).	639	MOUNTAIN
Kassian-2010-116-58	57	mouth	рот	1. He took a piece (of food) in his mouth.<br>2. He rinsed his mouth with water.<br>3. What a big mouth you have!	1. Он положил в рот кусок [пищи]<br>2. Он прополоскал рот водой<br>3. Какой у тебя большой рот!	‘Mouth’ as part of face (‘lips’ + ‘oral cavity’), but should be kept separate from ‘lips’ per se, as well as ‘cheek pouches’ etc. It seems that some languages may possess two sepa-rate terms — one for ‘oral cavity’ (His mouth is full of water) and another for ‘external parts of the mouth’ (He has a very wide mouth) (plus a special designation for ‘lips’ per se); in such a case both terms can be accepted as synonyms.	‘Рот’ как часть лица (‘губы’ + ‘ротовая полость’); следует, однако, отличать от собственно ‘губ’, равно как ‘защечных пазух’ и т. п. Видимо, некоторые языки могут обладать двумя отдельными словами — одно для ‘ротовой полости’ (Его рот полон воды), а второе для ‘внешних частей рта’ (У него очень широкий рот) (при этом есть и особое выражение собственно для ‘губ’); в таких случаях оба слова можно брать как синонимы.	674	MOUTH
Kassian-2010-116-59	58	nail	ноготь	1. Man has five fingers on each hand, and each finger has a nail.<br>2. He broke one of his (finger)nails.	1. У человека на руках 10 пальцев, на каждом пальце по ногтю.<br>2. Он сломал ноготь на большом пальце.	Common term for fingernails (not toenails). The original Swadesh wordlist had ‘claw’ (= of animals), but this has on practice been replaced by ‘nail’ quite a long time ago.	Общее слово для ногтей на пальцах рук (не ног). В исходном списке Сводеша на этом месте было ‘claw’ = ‘коготь’ (животного), но на практике уже давно используется ‘ноготь’ (человека).	1258	FINGERNAIL
Kassian-2010-116-60	59	name	имя	1. Tell me your mother’s / father’s name.<br>2. A new-born baby does not yet have a name.	1. Скажи имя твоей матери / твоего отца.<br>2. У новорожденных еще нет имени.			1405	NAME
Kassian-2010-116-61	60	neck	шея	1. He hit him in the neck while fighting.<br>2. He tightened the rope around his neck.	1. Он в драке ударил его по шее.<br>2. Он затянул веревку вокруг шеи.	To be distinguished from ‘throat’ (internal) or specialized terms like ‘front / back of the neck’.	Отличать от ‘глотки’ (‘внутренняя часть шеи’), а также от конкретизированных понятий ‘передняя часть шеи’, ‘задняя часть шеи’ и т. п.	1333	NECK
Kassian-2010-116-62	61	new	новый	1. He got himself some new clothes.<br>2. He made himself a new tool.	1. Он приобрел себе новую одежду.<br>2. Он сделал себе новый инстру-мент.	A common term for ‘just made’ and ‘just acquired’, applicable to objects; to be distin-guished from ‘young’.	Общее слово для ‘только что сделанный’ и ‘только что приобретенный’ по отношению к вещам; отличать от ‘молодого’.	1231	NEW
Kassian-2010-116-63	62	night	ночь	1. Night comes after the day.<br>2. The night is bright when the moon is shining.	1. Ночь сменяет день.<br>2. Ночь светла, когда светит луна.	‘Night’ as the time period devoid of sunshine, opposed to ‘day’. Not to be confused with adverbial temporal usage (‘by night’, ‘nightly’), if such forms are represented by a different root.	Ночь как время суток без солнечного света, противопоставленное ‘дню’. Отличать от адвербиального употребления (ночью) в том случае, если соответствующие формы представлены другим корнем.	1233	NIGHT
Kassian-2010-116-64	63	nose	нос	1. While fighting, he hit him in the nose.<br>2. We breathe and smell with the nose.	1. Он в драке ударил его в нос.<br>2. Мы дышим и нюхаем носом.	Should be distinguished from ‘nostrils’, “internal nose” (i. e. internal organs), as well as ‘flair’ or ‘scent’.	Отличать от ‘ноздря’, «внутреннего носа» (т. е. внутренних органов) и ‘нюха’.	1221	NOSE
Kassian-2010-116-65	64	not	не	1. I do not understand [in response to a question].<br>2. You do not / did not see [X].<br>3. He does not / did not love [X].	1. Я не понимаю [ответ на непонятно заданный вопрос].<br>2. Ты не видишь [X].<br>3. Он не любит [X].	The basic negation of an assertion (indicative, not prohibitive). Used with the most simple or statistically frequent verbal forms (e.g., Present Indefinite for Modern English). If different tense / aspect etc. forms use different negative markers and no preferences can be easily formulated, the suppletive variants should be treated as synonyms. In languages that use a special negative verbal stem, this particular stem should be used. Should be strictly separated from the negative answer “No”.	Базовое отрицание при утверждении (индикатив, не прохибитив), сочетающееся с самыми морфологически простыми и/или частотными временными формами (напр., настоящее время для русского языка). Если для разных видовременных форм используются разные маркеры отрицания и никаких преференций установить не удается, допустимо брать супплетивные варианты как синонимичные. В языках, выражающих отрицание с помощью специальной негативной глагольной основы, должна браться именно эта основа. Следует строго отличать от негативного ответа «Нет».	1240	NOT
Kassian-2010-116-66	65	one	один	1. There is one leaf on the ground, but many leaves on the tree.<br>2. Here is one stone, here are two stones, here are three stones.	1. На земле лежит один лист, а на дереве висит много листьев.<br>2. Вот один камень, вот два камня, вот три камня.	Cardinal numeral. It is recommendable to keep this apart from the respective element of the numeric row one, two, three, four… used in counting. Same contexts as in No.91 ‘two’.	Количественное числительное. Желательно отличать от соответствующего элемента при счете один (раз), два, три, четыре… Контексты те же, что и при №91 ‘два’.	1493	ONE
Kassian-2010-116-67	66	rain	дождь	1. Rain is water from the sky.<br>2. Look at the rain, it is not very heavy yet.	1. Дождь — это небесная вода.<br>2. Посмотри на дождь, он пока еще не очень сильный.	Should be separated from specific kinds of rain (‘heavy’, ‘light’, ‘shower’, etc.). It is not recommended to fill the slot with the basic term for ‘rainy season’ (frequent practice, e.g., in Africanist tradition) or the verb ‘to rain’.	Отличать от конкретных видов дождя (‘ливень’ и т. п.). Не рекомендуется заполнять эту позицию словом для ‘дождевого сезона’ (типичная замена для африканистики), а также глагольной формой ‘идти (о дожде)’.	658	RAIN (PRECIPITATION)
Kassian-2010-116-68	67	red	красный	[As on the RGB 255:255:0 and simi-lar cards. The natural color of ar-terial blood from a fresh wound.]	[Цвет артериальной крови, текущей из раны. Карточка RGB 255:0:0 и несколько оттенков].			156	RED
Kassian-2010-116-69	68	road	дорога	1. There is a road from my village to the next one, but no road to the far away village.<br>2. He is walking on the road.	1. Из моего селения в соседнее есть дорога, а в то дальнее селение дороги нет.<br>2. Он идет по дороге.	The most typical kind of walkway for the given region (path, trail, serpentine etc.); in many cultures, ‘path’ is the correct equivalent (since ‘road’ may be taken to represent a cultural term imposed by a technologically superior civilization).	Наиболее обычный тип дороги для данного ареала (тропа [но не звериная], серпантин и т. д.). Во многих случаях ‘тропа’ оказывается предпочтительнее ‘дороги’, т. к. противопоставлена последней как культурному термину, заимствованному от более технологически развитой цивилизации.	667	ROAD
Kassian-2010-116-70	69	root	корень	1. This tree/bush has very deep roots.<br>2. He stumbled against the root of this tree/bush.<br>3. Look how long this root is.	1. У этого дерева/кустарника глубокие корни.<br>2. Он споткнулся о корень этого дерева/кустарника.<br>3. Посмотри, какой длинный корень.	Generic term referring to roots of trees/shrubs. Not to be confused with ‘tubers’, ‘edible roots’ of specific plants, or grass roots.	Общее название корня дерева (или кустарника). Отличать от корней травянистых растений; не путать также с клубнями и съедобными кореньями отдельных растений.	670	ROOT
Kassian-2010-116-71	70a	round (3D)	круглый	1. A round stone.<br>2. A round fruit.	1. Вот круглый камень.<br>2. Вот круглый плод.	3D round, i. e. of spherical objects.	3D круглый, т. е. о сферических объектах.	2303	SPHERICAL (ROUND IN THREE DIMENSIONS)
Kassian-2010-116-72	70b	round (2D)	круглый	1. A round dish.<br>2. A round leaf.	1. Вот круглое блюдо.<br>2. Вот круглый лист.	2D round, i. e. of flat objects. Some languages lexically distinguish a third kind of roundness (terete, round in section, e.g., a stick). This term is not included in the list.	2D круглый, т. е. о плоских и т. п. объектах. В некоторых языках лексически выделяется третий тип круглых объектов: круглый в сечении (напр., палка). Подобный термин не включается в список.	2302	CIRCULAR (ROUND IN TWO DIMENSIONS)
Kassian-2010-116-73	71	sand	песок	1. While digging the hole, he was throwing out the sand.<br>2. He took a handful of sand.<br>3. I don’t know whether that site con-tains sand or earth.	1. Он рыл яму и выбрасывал наружу песок.<br>2. Он взял в горсть песка.<br>3. Я не знаю, что на том участке: земля или песок.	Same contexts as in No.21 ‘earth’. Not to be confused with ‘dust’, ‘gravel’ (= ‘small stones’), ‘coarse sand’ (= ‘with small stones in it’).	Те же контексты, что и в №21 ‘земля’. Отличать от ‘пыли’, ‘гальки’ (= ‘камешки’) и т. п.	671	SAND
Kassian-2010-116-74	72	to say	сказать	1. What did you say? [= a request to repeat something that was mis-heard]<br>2. He said that he would come to-morrow.	1. Что ты сказал? [Переспрос после непонятной реплики]<br>2. Он сказал, что завтра придет.	A neutral designation of a single speech act. Should be distinguished from durative ac-tion (‘to talk’), but also not confused with certain special markers of direct speech, e.g., Old Indian iti.	Нейтральное обозначение однократного речевого акта. Отличать от длительного действия (‘говорить’), а также от специальных показателей прямой речи, таких, как санскр. iti.	1458	SAY
Kassian-2010-116-75	73	to see	видеть	1. It is dark, I do not see you.<br>2. I see the animal.	1. Темно, я тебя не вижу<br>2. Я вижу зверя.	Durative process of perception. Should not be confused with intentional action (‘to look’) or various inchoative or punctive verbs (‘glance’, ‘notice’ etc.).	Основное обозначение дуративного процесса восприятия. Не следует смешивать с намеренным действием (‘смотреть’), а также с различными инхоативами или пунктивами (‘взглянуть’, ‘заметить’ и т. п.).	1409	SEE
Kassian-2010-116-76	74	seed	семя	1. When the seed falls on the ground, it grows into a plant.<br>2. Seeds were scattered on the ground.	1. Если семя попадет в землю, оно прорастет.<br>2. Семена рассыпались по земле.	Generic term for ‘seed’ of any plant; the word that can be applied to as many different plant species as possible. Not specifically ‘fruit-stone’, although the same root may be used for both small and large seeds. To be kept separate from more specialized terms (‘seed for sowing’, ‘moist seed’, ‘seed of a particular group of plants, e.g., cereals’).	Общий термин для семени любого растения (проверить на сочетаемость с максимальным разнообразием видов). Отличать от ‘косточки’, хотя во многих языках ‘большое’ и ‘маленькое’ семя могут обозначаться одинаково. Также отличать от более узкоспециальных терминов (‘посевные семена’, ‘влажное семя’, ‘семя опр. группы растений, напр. злаковых’).	714	SEED
Kassian-2010-116-77	75	to sit	сидеть	1. Man can stand, sit, or lie.<br>2. It is comfortable to sit on this stone/log.	1. Человек может стоять, сидеть и лежать.<br>2. На этом камне/бревне удобно сидеть.	Static verb. It is not recommended to fill in the slot with an inchoative form (‘to sit down’). Should be separated from verbs depicting specific, “non-generic” ways of sit-ting, such as ‘squatting’, ‘sitting in a lotus position’ etc. See No.47 ‘to lie’, No.80 ‘to stand’.	Длительное состояние. Не рекомендуется подставлять инхоативный глагол ‘сесть’. Отличать от «нестандартного» сидения в специфических позах (на корточках, в позе лотоса и т. п.). См. также №47 ‘лежать’, №80 ‘стоять’.	1416	SIT
Kassian-2010-116-78	76	skin	кожа	1. To paint on one’s skin.<br>2. I have cut my skin.	1. Рисовать на коже.<br>2. Я порезал свою кожу.	Human skin.	Кожа человека.	763	SKIN
Kassian-2010-116-79	77	to sleep	спать	1. People usually sleep in the night and keep awake by day.<br>2. Do not wake him up, he is sleeping.	1. Обычно ночью люди спят, а днем бодрствуют.<br>2. Не буди его, он спит.	Static verb. Should be kept apart from inchoatives like ‘to fall asleep’.	Длительное состояние. Отличать от инхоативов вроде ‘заснуть’.	1585	SLEEP
Kassian-2010-116-80	78	small, little	маленький	1. This person has a big nose, that one has a small nose.<br>2. A small stone [leaf, tree, pool, etc…].	1. У этого человека большой нос, а у того — маленький.<br>2. Маленький камень [лист, дерево, водоем…].	An adjective or verb that may be applied to different objects. The contexts are the same as in No.5 ‘big’.	Прилагательное/глагол, сочетающееся с максимальным количеством объектов. Контексты те же, что и для №5 ‘большой’.	1246	SMALL
Kassian-2010-116-81	79	smoke	дым	1. With no wind, smoke from the bonfire rises straight up.<br>2. Smoke gets in my eyes.	1. Когда нет ветра, дым от костра поднимается прямо вверх.<br>2. Дым ест мне глаза.	Smoke as the result of combustion of wood, grass, dry dung (not after cremation). Should be distinguished from ‘vapour’ or specific kinds of smoke (e.g., ‘(thick) black smoke’).	Дым как результат горения дерева, травы, кизяка (но не после кремации). Следует отличать от ‘пара’, а также специальных видов дыма (напр., ‘(густой) черный дым’).	778	SMOKE (EXHAUST)
Kassian-2010-116-82	80	to stand	стоять	1. Man can stand, sit, or lie.<br>2. He is standing on his own two feet.<br>3. I am tired of standing, I want to lie down.	1. Человек может стоять, сидеть и лежать.<br>2. Он стоит на двух ногах.<br>3. Я устал стоять, я хочу лечь.	Static verb. It is not recommended to fill the slot by an inchoative form like ‘to stand up’. See No.47 ‘to lie’, No.75 ‘to sit’.	Длительное состояние. Не рекомендуется подставлять инхоативный глагол ‘встать’. См. №47 ‘лежать’, №75 ‘сидеть’.	1442	STAND
Kassian-2010-116-83	81	star	звезда	1. At night we see the stars and the moon, during the day we see the sun.<br>2. There is a bright star over there.	1. Ночью на небе видны звезды и луна, а днем солнце.<br>2. Вон яркая звезда.	Should be kept apart from ‘constellation’ (a group of stars) as well as names of specific stars.	Отличать от ‘созвездия’ (группы звезд) и наименований конкретных звезд.	1430	STAR
Kassian-2010-116-84	82	stone	камень	1. He took a stone in his hand.<br>2. He threw a stone at the bird and killed her.<br>3. He used a stone to beat a peg into the ground.<br>4. Stones can be of different colors.	1. Он взял в руку камень.<br>2. Он бросил камень в птицу и убил ее.<br>3. Он забил в землю колышек камнем.<br>4. Камни бывают разных цветов.	An average-size stone that can be taken into one’s hand (and used as a tool). It is preferable to separate this term from words for notably smaller stones (‘pebble’, ‘gravel’, etc.) and notably bigger stones (‘boulder’, ‘block’ etc.).	Камень среднего размера, который можно взять в руку (и использовать как орудие). Отличать от специализированных названий мелких камней (‘галька’, ‘щебень’ и т. п.) и крупных камней (‘глыба’, ‘скала’, ‘валун’ и т. п.).	857	STONE
Kassian-2010-116-85	83	sun	солнце	1. At night we see the stars and the moon, during the day we see the sun.<br>2. Look at the sun.	1. Ночью на небе видны звезды и луна, а днем солнце.<br>2. Посмотри на солнце.	Not to be confused with the abstract terms ‘sunshine’, ‘heat of the sun’ etc.	Отличать от абстрактных терминов — ‘солнечный свет’, ‘жарá’ и т. п.	1343	SUN
Kassian-2010-116-86	84	to swim	плыть, плавать	1. Is there anyone among your friends who cannot swim?<br>2. If you do not learn to swim, you will drown.<br>3. There is someone swimming out there.	1. Кто-нибудь из твоих друзей не умеет плавать?<br>2. Если ты не научишься плавать, ты утонешь.<br>3. Вон плавает какой-то человек.	Of human, not of fish, other animals, or inanimate objects. Should be kept apart from more specific terms like ‘to cross, to swim across (a water body)’, ‘to bathe / wash one-self’, or designations of specific techniques of swimming.	О человеке, не о рыбах, других животных или неодушевленных предметах. Следует отличать от более конкретного ‘переплывать’ (т. е. пересекать водоем), а также от обозначений конкретных техник плаванья и от ‘купаться’, ‘мыться’.	1439	SWIM
Kassian-2010-116-87	85	tail	хвост	1. Animals have tails, man does not have a tail.<br>2. [The beast] is swishing its tail to drive away the flies.<br>3. He cut off [the beast’s] tail.	1. У зверей есть хвост, а у человека нету.<br>2. [Зверь] машет хвостом, отгоняя насекомых.<br>3. Он отрезал у [зверя] хвост.	Of mammals (not birds, fish, snakes, etc.). Generic term, applied to as many different species as possible. Not to be confused with possible narrow terms, such as ‘small tail as of a goatling’ etc.	О млекопитающем (не о рыбах, птицах, змеях и т. п.). Общий термин, сочетающийся с максимальным разнообразием видов. Отличать от возможных специализированных обозначений, напр., ‘хвостик козленка’ и т. п.	1220	TAIL
Kassian-2010-116-88	86	that	тот	1. I am well acquainted with this tale, but do not remember that one.<br>2. I know this man, but I do not know that one.	1. Я хорошо знаю это предание/сказ-ку и совсем плохо помню то предание/сказку.<br>2. Я знаком с этим человеком и не знаком с тем.	Demonstrative pronoun with adjectival functions. Not to be confused with ‘another’. A complex case, since in a great part of the world’s languages the pronominal systems of spatial deixis are much more complex than the binary opposition this ~ that in Modern English. Such systems can include several degrees of proximity (both on the horizontal and vertical axis), references to the location of the speaker and the addressee, or indica-tion of some special features of the object (e.g., animate/inanimate or visible/invisible). It is recommended to try to reveal the most basic binary opposition between ‘this’ (close) and ‘that’ (far away). If this is completely impossible, several (standardly three) pronouns should be listed as synonyms.	Указательное местоимение с адъективными функциями. Отличать от ‘другой’. Сложный случай, т. к. в большом числе языков местоименные системы пространственного дейксиса намного более развиты, нежели русская бинарная оппозиция этот ~ тот. Подобные системы могут включать в себя несколько степеней близости (причем как по горизонтальной, так и вертикальной осям), указание на местоположение говорящего и слушающего, спецификацию определенных свойств объекта (одушевленный ~ неодушевленный, видимый ~ невидимый). Рекомендуется попробовать выделить наиболее базовую бинарную оппозицию ‘этот’—‘тот’. Если это невозможно, то несколько (стандартно три) местоимений должны быть перечислены как синонимы.	78	THAT
