ID	NUMBER	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	GERMAN	PORTUGUESE
Araujo-1996-289-40	40	Flesh	2259	FLESH	Fleisch	carne
Araujo-1996-289-41	41	Blood	946	BLOOD	Blut	sangue
Araujo-1996-289-42	42	Heart	1223	HEART	Herz	coração
Araujo-1996-289-43	43	Hunger	1864	HUNGER	Hunger	fome
Araujo-1996-289-44	44	Sky	1732	SKY	Himmel	céu
Araujo-1996-289-45	45	Day	1225	DAY (NOT NIGHT)	Tag	dia
Araujo-1996-289-46	46	Night	1233	NIGHT	Nacht	noite
Araujo-1996-289-47	47	Sun	1343	SUN	Sonne	sol
Araujo-1996-289-48	48	Moon	1313	MOON	Mond	lua
Araujo-1996-289-49	49	Star	1430	STAR	Stern	estrela
Araujo-1996-289-50	50	Orion's Constellation	3945	ORION'S CONSTELLATION	Orion	Orion, constelação de
Araujo-1996-289-51	51	Pleiades			Siebengestirn	Plêiades
Araujo-1996-289-52	52	Sirius			Sirius	Cão-Maior (Sirius)
Araujo-1996-289-53	53	Milky Way	2289	MILKY WAY	Milchstraße	Via Láctea
Araujo-1996-289-54	54	Gemini			Zwillinge	Gêmeos
Araujo-1996-289-55	55	Water	948	WATER	Wassaer	água
Araujo-1996-289-56	56	Cloud	1489	CLOUD	Wolke	nuvem
Araujo-1996-289-57	57	Rain (Precipitation)	658	RAIN (PRECIPITATION)	Regen	chuva
Araujo-1996-289-58	58	Rainbow	1733	RAINBOW	Regenbogen	arco-í­ris
Araujo-1996-289-59	59	Lightning	1654	LIGHTNING	Blitz	relâmpago
Araujo-1996-289-60	60	Thunder	1150	THUNDER	Donner	trovão
Araujo-1996-289-61	61	River	666	RIVER	Fluß	rio
Araujo-1996-289-62	62	Stream	947	STREAM	kleiner Bach	riacho pequeno
Araujo-1996-289-63	63	Lake	624	LAKE	See	lago
Araujo-1996-289-64	64	Sea	1474	SEA	Meer	mar
Araujo-1996-289-65	65	Earth (Soil)	1228	EARTH (SOIL)	Erde	terra
Araujo-1996-289-66	66	Stone	857	STONE	Stein	pedra
Araujo-1996-289-67	67	Sand	671	SAND	Sand	areia
Araujo-1996-289-68	68	Mountain	639	MOUNTAIN	Berg	montanha
Araujo-1996-289-69	69	Fire	221	FIRE	Feuer	fogo
Araujo-1996-289-70	70	Firewood	10	FIREWOOD	Brennholz	lenha
Araujo-1996-289-71	71	Ash	646	ASH	Asche	cinzas
Araujo-1996-289-72	72	East	1877	EAST	Osten	Leste
Araujo-1996-289-73	73	West	1817	WEST	Westen	Oeste
Araujo-1996-289-74	74	North	1598	NORTH	Norden	Norte
Araujo-1996-289-75	75	South	1595	SOUTH	Süden	Sul
Araujo-1996-289-76	76	House	1252	HOUSE	Haus	casa
Araujo-1996-289-77	77	Roof	769	ROOF	Dach	telhado
Araujo-1996-289-78	78	Door	1567	DOOR	Tür	porta
Araujo-1996-289-79	79	Path	2252	PATH	Weg	caminho
Araujo-1996-289-80	80	Swidden Field	429	SWIDDEN FIELD	Rodung	roçado
Araujo-1996-289-81	81	Wooden Stick Bed			Stangenbett	cama de vara
Araujo-1996-289-82	82	Mat	195	MAT	Matte	esteira
Araujo-1996-289-83	83	Hammock	2019	HAMMOCK	Hängematte	rede
Araujo-1996-289-84	84	Embauba Fibers			Ambaúvafasern	fibras de embaúba
Araujo-1996-289-85	85	Netbag	293	NETBAG	Tragnetz	rede para carregar
Araujo-1996-289-86	86	Baby Sling	3946	BABY SLING	Kindertragband	tipóia
Araujo-1996-289-87	87	Lagenaria Bowl (Cumbuca)			Lagenariaschale	cumbuca
Araujo-1996-289-88	88	Lagenaria Gourd (Carved Plant)	3918	CALABASH	Lagenariaflasche	cabaça
Araujo-1996-289-89	89	Pot	1462	POT	Topf	pote de barro
Araujo-1996-289-90	90	Bowl	1530	BOWL	Schüssel	tigela
Araujo-1996-289-91	91	Lid Basket			Deckelkorb	cesto com tampa
Araujo-1996-289-92	92	Stick To Carve Sweet Potato			Batatengrabstock	pau para cavar batata-doce
Araujo-1996-289-93	93	Mortar	224	MORTAR	Mörser	pilão
Araujo-1996-289-94	94	Pestle	225	PESTLE	Stössel	mão de pilão
Araujo-1996-289-95	95	Sieve	3353	SIEVE (TOOL)	Sieb	peneira
Araujo-1996-289-96	96	Manioc Flour	324	MANIOC FLOUR	Mandiokamehl	farinha de mandioca
Araujo-1996-289-97	97	Manioc Pancake			Beijú	beijú
Araujo-1996-289-98	98	Candle	1273	CANDLE	Wachskerze	vela de cera
Araujo-1996-289-99	99	Shears	356	SHEARS	Scheere	tesoura
Araujo-1996-289-100	100	Knife	1352	KNIFE	Messer	faca
Araujo-1996-289-101	101	Axe	677	AXE	Axt	machado
Araujo-1996-289-102	102	Honeycomb	3947	HONEYCOMB	Honigsack	favo de mel
Araujo-1996-289-103	103	Boat	1844	BOAT	Boot	canoa
Araujo-1996-289-104	104	Oar	3137	OAR	Ruder	remo
Araujo-1996-289-105	105	Fishhook	1074	FISHHOOK	Angel	anzol
Araujo-1996-289-106	106	Fishing Sieve			Käscher	peneira para pesca
Araujo-1996-289-107	107	Bow	994	BOW	Bogen	arco
Araujo-1996-289-108	108	Arrow	977	ARROW	Pfeil	flecha
Araujo-1996-289-109	109	Toothed Arrow			gezahnter Pfeil	flecha dentada
Araujo-1996-289-110	110	Serrated Arrow			sägeförmiger Pfeil	flecha serrilhada
Araujo-1996-289-111	111	Jaguar Arrow			Yaguarpfeil	flecha para onça
Araujo-1996-289-112	112	Arrow With Multiple Tips			mehrspitziger Pfeil	flecha com várias pontas
Araujo-1996-289-113	113	Bird Arrow			Vogelpfeil	flecha para caçar aves
Araujo-1996-289-114	114	Slinghot Bow			Schleuderbogen	bodoque (arco para atirar bolas de barro)
Araujo-1996-289-115	115	Clay Ball			Tonkugel dazu	bola de barro (para o bodoque)
Araujo-1996-289-116	116	Spear	945	SPEAR	Lanze	lança
Araujo-1996-289-117	117	Shotgun	3948	SHOTGUN	Flinte	espingarda
Araujo-1996-289-118	118	Whipping-Top			gequirlter Kreiser	pião de girar com a mão
Araujo-1996-289-119	119	Lip Plate, Ear Plate			Lippenflock, Ohrpflock	bodoque de lábio, de orelha
Araujo-1996-289-120	120	Waist Cord (Belt)			Gürtelschnur	cordão da cintura
Araujo-1996-289-121	121	Man	1554	MAN	Mann	homem
Araujo-1996-289-122	122	Old Person	725	OLD PERSON	Alter, Alte	velho
Araujo-1996-289-123	123	Young Man	76	YOUNG MAN	Jüngling	moço
Araujo-1996-289-124	124	Twelve Year-Old Boy			Knabe von 12 Jahren	garoto de doze anos
Araujo-1996-289-125	125	Seven Year-Old Boy			Knabe von 7 Jahren	garoto de sete anos
Araujo-1996-289-126	126	Small Boy			kleiner Knabe	pequeno garoto
Araujo-1996-289-127	127	Nursling	1289	BABY	Säugling	lactente
Araujo-1996-289-128	128	Woman	962	WOMAN	Frau	mulher
Araujo-1996-289-129	129	Young Woman	77	YOUNG WOMAN	großes Mädchen	moça
Araujo-1996-289-130	130	Twelve Year-Old Girl			Mädchen von 12 Jahren	menina de doze anos
Araujo-1996-289-131	131	Girl	1646	GIRL	kleines Mädchen	menininha
Araujo-1996-289-132	132	Father	1217	FATHER	Vater	pai
Araujo-1996-289-133	133	Mother	1216	MOTHER	Mutter	mãe
Araujo-1996-289-134	134	His Mother			seine Mutter	mãe dele
Araujo-1996-289-135	135	My Wife			meine Frau	minha mulher
Araujo-1996-289-136	136	White Person			Weißer	Branco
Araujo-1996-289-137	137	Black Person			Neger	Negro
Araujo-1996-289-138	138	Indigenous Peoples Of The Americas	3612	INDIGENOUS PEOPLES OF THE AMERICAS	Indianer	Índio
Araujo-1996-289-139	139	Maxakalí			Mašakarí­	Maxakali
Araujo-1996-289-140	140	Botocudo			Botocudo	Botocudo
Araujo-1996-289-141	141	Pataxó			Patašó	Pataxó
Araujo-1996-289-142	142	Men'S House	408	MEN'S HOUSE	Männerhaus	casa dos homens
Araujo-1996-289-143	143	Dance Place			Tanzplatz	lugar de dança
Araujo-1996-289-144	144	Dance Mask			Tanzmaske	máscara de dança
Araujo-1996-289-145	145	Dance Mast			Tanzpfahl	mastro para dança
Araujo-1996-289-146	146	Dancing Rattle	300	RATTLE	Tanzrassel	chocalho para dança
Araujo-1996-289-147	147	Dancing Rammer (Olyra)			Stampfrohr	tubo [de taquara] para bater (o ritmo)
Araujo-1996-289-148	148	Shade Or Shadow	2275	SHADOW	Schatten	sombra
Araujo-1996-289-149	149	Soul Of Dead Person	1175	GHOST	Totenseele	alma do morto
Araujo-1996-289-150	150	Rainstick			Schwirrholz	(pau) zunidor
Araujo-1996-289-151	151	Monkey	1350	MONKEY	Affe	macaco
Araujo-1996-289-152	152	Howler Monkey	433	HOWLER MONKEY	Brüllaffe	guariba
Araujo-1996-289-153	153	Bat	1793	BAT	Fledermaus	morcego
Araujo-1996-289-154	154	Dog	2009	DOG	Hund	cachorro
Araujo-1996-289-155	155	Giant Otter (Pteronura Brasiliensis)			Fischotter	lontra, ariranha
Araujo-1996-289-156	156	Jaguar	1250	JAGUAR	Yaguar	onça
Araujo-1996-289-157	157	Black Jaguar			schwarzer Yaguar	onça preta
Araujo-1996-289-158	158	Puma	1891	PUMA	Puma	puma
Araujo-1996-289-159	159	Ocelot			Yaguatirica	jaguatirica
Araujo-1996-289-160	160	Porcupine	2510	PORCUPINE	Stachelschwein	porco espinho
Araujo-1996-289-161	161	Rabbit	1136	RABBIT	Hase	coelho
Araujo-1996-289-162	162	Capybara	314	CAPYBARA	Capivara	capivara
Araujo-1996-289-163	163	Paca	316	PACA	Paca	paca
Araujo-1996-289-164	164	Agouti	313	AGOUTI	Cutia	cotia
Araujo-1996-289-165	165	Ox	1169	OX	Rinde	boi
Araujo-1996-289-166	166	Pecari Tajaçu			Tayaçú	taiaçu
Araujo-1996-289-167	167	Pecari Taitetu			Taitetú	taitetu
Araujo-1996-289-168	168	Pig	1337	PIG	Hausschwein	porco doméstico
Araujo-1996-289-169	169	Horse	615	HORSE	Pferd	cavalo
Araujo-1996-289-170	170	Tapir	312	TAPIR	Tapir	anta
Araujo-1996-289-171	171	Giant Anteater (Myrmecophaga Tridactyla)			Tamanduá bandeira	tamanduá bandeira
Araujo-1996-289-172	172	Southern Tamandua (Tamandua Tetradactyla)			Mixilla	melete
Araujo-1996-289-173	173	Armadillo	1885	ARMADILLO	Tatu	tatu
Araujo-1996-289-174	174	Six-Banded Armadillo (Euphractus Sexcinctus)			Tatu peba	tatu peba
Araujo-1996-289-175	175	Six-Banded Armadillo (Euphractus Sexcinctus)			Tatu canastra	tatu canastra
Araujo-1996-289-176	176	Sloth	2446	SLOTH	Faultier	bicho-preguiça
Araujo-1996-289-177	177	Opossum	309	OPOSSUM	Beutelratte	gambá
Araujo-1996-289-178	178	Bird	937	BIRD	Vogel	ave
Araujo-1996-289-179	179	Egg	744	EGG	Ei	ovo
Araujo-1996-289-180	180	Harpy			Harpye	harpia
Araujo-1996-289-181	181	Hawk	307	HAWK	Falke	gavião
Araujo-1996-289-182	182	Urubu (Cathartidae)	1185	VULTURE	Aasgeier	urubu
Araujo-1996-289-183	183	Urubu-Rei (Sarcoramphus Papa)			Königsgeier	urubu-rei
Araujo-1996-289-184	184	Owl	735	OWL	Eule	coruja
Araujo-1996-289-185	185	Macaw	1630	MACAW	Arara	arara
Araujo-1996-289-186	186	Parrot	882	PARROT	Papagai	papagaio
Araujo-1996-289-187	187	Woodpecker	2447	WOODPECKER	Specht	pica-pau
Araujo-1996-289-188	188	Sabia-Laranjeira (Turdus Rufiventris)			Drossel	sabiá
Araujo-1996-289-189	189	Yellow-Rumped Cacique (Cacicus Cela)			Japiim	japim
Araujo-1996-289-190	190	Crested Oropendola (Psarocolius Decumanus)			Japu	japu
Araujo-1996-289-191	191	Ruddy Ground Dove (Columbina Talpacoti)			Juruty	juruti
Araujo-1996-289-192	192	Chicken	1318	CHICKEN	Huhn	galinha
Araujo-1996-289-193	193	Guan	437	GUAN	Jacu	jacu
Araujo-1996-289-194	194	Black-Fronted Pipin Guan (Aburria Jacutinga)			Jacutinga	jacutinga
Araujo-1996-289-195	195	Curassow	315	CURASSOW	Mutum	mutum
Araujo-1996-289-196	196	Horned Screamer (Anhima Cornuta)			Anhuma	anhuma
Araujo-1996-289-197	197	Wattled Jacana (Jacana Jacana)			Jaçanã	jaçanã
Araujo-1996-289-198	198	Duck	1360	DUCK	Ente	pato
Araujo-1996-289-199	199	Heron	758	HERON	Reiher	garça
Araujo-1996-289-200	200	Aquatic Bird			?Wasservogel	ave aquática
Araujo-1996-289-201	201	Yacare Caiman	2438	CAIMAN	Jacaré	jacaré
Araujo-1996-289-202	202	Red-Footed Tortoise	3949	RED-FOOTED TORTOISE	Jaboty	jabuti
Araujo-1996-289-203	203	Snake	730	SNAKE	Schlange	cobra
Araujo-1996-289-204	204	Anaconda (Water Boa)	896	ANACONDA (WATER BOA)	Giboya	jibóia
Araujo-1996-289-205	205	Jararaca (Bothrops Insularis)			Jararaca	jararaca
Araujo-1996-289-206	206	Yarara Grande (Bothrops Alternatus)			Urutu	urutu
Araujo-1996-289-207	207	Coral Cobra (Oxyrhopus Formosus)			Korallenschlange	cobra coral
Araujo-1996-289-208	208	Caninana (Spilotes Pullatus)			Caninana	caninana
Araujo-1996-289-209	209	Frog	503	FROG	Frosch	rã
Araujo-1996-289-210	210	Toad	894	TOAD	Kröte	sapo
Araujo-1996-289-211	211	Fish	227	FISH	Fisch	peixe
Araujo-1996-289-212	212	Traía Fish (Hoplias)			Tarahira	traí­ra
Araujo-1996-289-213	213	Piabinha Fish (Brycon Acuminatus)			Piabinha	piabinha
Araujo-1996-289-214	214	Mosquito	1509	MOSQUITO	Mosquito	mosquito
Araujo-1996-289-215	215	Butterfly	1791	BUTTERFLY	Schmetterling	borboleta
Araujo-1996-289-216	216	Bee	665	BEE	Biene	abelha
Araujo-1996-289-217	217	Honey	942	HONEY	Honig	mel
Araujo-1996-289-218	218	Beeswax	1931	BEESWAX	Wachs	cera
Araujo-1996-289-219	219	Leafcutter Ants (Atta)			Saúva	saúva
Araujo-1996-289-220	220	Termite	883	TERMITE	Cupim	cupim
Araujo-1996-289-221	221	Moth	2828	MOTH	Bicho de taquara	bicho de taquara
Araujo-1996-289-222	222	Spider	843	SPIDER	Spinne	aranha
Araujo-1996-289-223	223	Louse	1392	LOUSE	Laus	piolho
Araujo-1996-289-224	224	Chiggoe (Jigger Flea)	438	CHIGGOE (JIGGER FLEA)	Sandfloh	bicho de pé
Araujo-1996-289-225	225	Leech	2273	LEECH	Blutegel	sanguessuga
Araujo-1996-289-226	226	Tree	906	TREE	Baum	árvore
Araujo-1996-289-227	227	Forest	420	FOREST	Wald	floresta, mata
Araujo-1996-289-228	228	Wood	1803	WOOD	Holz	madeira
Araujo-1996-289-229	229	Liber (Inner Bark)	3950	LIBER (INNER BARK)	Bast	entrecasca
Araujo-1996-289-230	230	Bark	1204	BARK	Rinde	casca
Araujo-1996-289-231	231	Thorn	124	THORN	Dorne	espinho
Araujo-1996-289-232	232	Leaf	628	LEAF	Blatte	folha
Araujo-1996-289-233	233	Flower	239	FLOWER	Blüte	inflorescência
Araujo-1996-289-234	234	Fruit	1507	FRUIT	Frucht	fruta
Araujo-1996-289-235	235	Root	670	ROOT	Wurzel	raiz
Araujo-1996-289-236	236	Sapucaia (Lecythis Pisonis)			Sapucaya	sapucaia
Araujo-1996-289-237	237	Ambaiba (Cecropia)			Ambaúba	ambaúba
Araujo-1996-289-238	238	Pacara Tree (Enterolobium Contortisiliquum)			Timbó	timbó
Araujo-1996-289-239	239	Taquaruçu (Chusquea Gaudichaudii)			Taquaruçú	taquaruçú
Araujo-1996-289-240	240	Grass	606	GRASS	Gras	capim
Araujo-1996-289-241	241	Manioc	927	MANIOC	Mandioka	mandioca
Araujo-1996-289-242	242	Sweet Potato	159	SWEET POTATO	Batate	batata-doce
Araujo-1996-289-243	243	Yam	410	YAM	Inhame	inhame
Araujo-1996-289-244	244	Maize	506	MAIZE	Mais	milho
Araujo-1996-289-245	245	Bean	832	BEAN	Bohne	feijão
Araujo-1996-289-246	246	Groundnut (Peanut)	595	GROUNDNUT (PEANUT)	Manduvy	amendoim
Araujo-1996-289-247	247	Pumpkin	864	PUMPKIN	Kürbis	moranga
Araujo-1996-289-248	248	Gourd	411	GOURD	Abobara	abóbora
Araujo-1996-289-249	249	Watermelon	2766	WATERMELON	Melancia	melancia
Araujo-1996-289-250	250	Pepper	1385	PEPPER	Pfeffer	pimenta
Araujo-1996-289-251	251	Cotton	1850	COTTON	Baumwolle	algodão
Araujo-1996-289-252	252	Tobacco	974	TOBACCO	Tabak	tabaco
Araujo-1996-289-253	253	Achiote	349	ACHIOTE	Urucú	urucum
Araujo-1996-289-254	254	I	1209	I	ich	eu
Araujo-1996-289-255	255	Thou	1215	THOU	du	tu
Araujo-1996-289-256	256	He	1211	HE	er	ele
Araujo-1996-289-257	257	We Two	2634	WE TWO	wir zwei	nós dois (ambos)
Araujo-1996-289-258	258	It Is Mine			ist mein	é meu
Araujo-1996-289-259	259	It Is Yours			ist dein	é teu
Araujo-1996-289-260	260	It Is His			ist sein	é dele
Araujo-1996-289-261	261	My Foot			mein Fuß	meu pé
Araujo-1996-289-262	262	Your Foot			dein Fuß	teu pé
Araujo-1996-289-263	263	His Foot			sein Fuß	pé dele
Araujo-1996-289-264	264	His Foot Is Red			sein Fuß ist rot	o pé dele é vermelho
Araujo-1996-289-265	265	Our Feet			unsre Füße	nossos pés
Araujo-1996-289-266	266	My Hand			meine Hand	minha mão
Araujo-1996-289-267	267	Your Hand			deine Hand	tua mão
Araujo-1996-289-268	268	His Hand			seine Hand	mão dele
Araujo-1996-289-269	269	Our Hands			unsre Hände	nossas mãos
Araujo-1996-289-270	270	My Hair Is Straight			mein Haar ist schlicht	meu cabelo é liso
Araujo-1996-289-271	271	Your Hair Is Straight			dein Haar ist schlicht	teu cabelo é liso
Araujo-1996-289-272	272	His Hair Is Straight			sein Haar ist wollig	o cabelo dele é crespo
Araujo-1996-289-273	273	Our Hair Is Straight			unser Haar ist schlicht	nosso cabelo é liso
Araujo-1996-289-274	274	I Killed			ich habe getötet	eu matei
Araujo-1996-289-275	275	You Killed			du hast getötet	tu mataste
Araujo-1996-289-276	276	He Killed			er hat getötet	ele matou
Araujo-1996-289-277	277	I'M Sick			ich bin Krank	eu estou doente
Araujo-1996-289-278	278	Atop	57	ATOP	auf	sobre
Araujo-1996-289-279	279	Below Or Under	1485	BELOW OR UNDER	unter	embaixo de
Araujo-1996-289-280	280	Behind	1686	BEHIND	hinter	atrás de
Araujo-1996-289-281	281	In Front Of	1883	IN FRONT OF	vor	em frente de
Araujo-1996-289-282	282	Right Hand	2183	RIGHT HAND	rechte Hand	mão direita
Araujo-1996-289-283	283	Left Hand	2182	LEFT HAND	linke Hand	mão esquerda
Araujo-1996-289-284	284	One	1493	ONE	eins	um
Araujo-1996-289-285	285	Two	1498	TWO	zwei	dois
Araujo-1996-289-286	286	Three	492	THREE	drei	três
Araujo-1996-289-287	287	Four	1500	FOUR	vier	quatro
Araujo-1996-289-288	288	Five	493	FIVE	fünf	cinco
Araujo-1996-289-289	289	Many	1198	MANY	viel	muito
