ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	RUSSIAN	RUSSIAN_DOMINANT	NAME_AGREEMENT_PERCENT	IMAGE_AGREEMENT_M	CONCEPTUAL_FAMILIARITY_M	RUSSIAN_AOA_M	IMAGEABILITY_M
Tsaparina-2011-260-42	42	cake	2408	CAKE	торт	торт	96	4.12	4.19	1.52	4.74
Tsaparina-2011-260-43	43	camel	1871	CAMEL	верблюд 	верблюд 	83	4.38	2.69	2.26	3.59
Tsaparina-2011-260-44	44	candle	1273	CANDLE	свеча 	свеча 	89	4.62	4.08	1.97	4.79
Tsaparina-2011-260-45	45	cannon	3202	CANNON	пушка	пушка	96	4.44	2.67	2.26	3.88
Tsaparina-2011-260-46	46	cap	1288	CAP	кепка	кепка	80	4.09	3.44	1.81	4.65
Tsaparina-2011-260-47	47	car	1111	CAR	автомобиль / машина	Машина 	46	4.18	4.72	1.29	4.82
Tsaparina-2011-260-48	48	carrott			морковь 	морковь 	93	4.76	4.47	1.48	4.88
Tsaparina-2011-260-49	49	cat	1208	CAT	кошка	кошка	59	4.12	4.06	1.26	4.88
Tsaparina-2011-260-50	50	caterpillar	2247	CATERPILLAR	гусеница	гусеница	100	4.18	3.53	1.65	4.32
Tsaparina-2011-260-51	51	celery	3727	CELERY	сельдерей	сельдерей 	17	3.15	3.50	3.52	3.76
Tsaparina-2011-260-52	52	chain	1627	CHAIN	цепь	цепь	100	4.76	3.83	2.03	4.56
Tsaparina-2011-260-53	53	chair	1476	CHAIR	стул	стул	100	4.68	4.64	1.39	4.79
Tsaparina-2011-260-54	54	cherry	2765	CHERRY	вишня 	вишня	89	4.21	4.39	1.58	4.88
Tsaparina-2011-260-55	55	chicken	1318	CHICKEN	курица 	курица 	96	4.44	4.44	1.39	4.62
Tsaparina-2011-260-56	56	chisel	1979	CHISEL	стамеска	стамеска	74	3.65	2.81	3.61	3.65
Tsaparina-2011-260-57	57	church	1349	CHURCH	церковь 	церковь 	26	2.76	2.08	2.58	4.41
Tsaparina-2011-260-58	58	cigar	4019	CIGAR	сигара	сигара	85	4.18	2.69	3.81	4.24
Tsaparina-2011-260-59	59	cigarette	969	CIGARETTE	сигарета	сигарета	91	4.91	3.36	3.32	4.68
Tsaparina-2011-260-60	60	clock	1323	CLOCK	часы настенные	часы 	91	4.09	4.75	1.45	4.79
Tsaparina-2011-260-61	61	clothespin			прищепка 	прищепка 	91	4.74	3.61	2.06	4.56
Tsaparina-2011-260-62	62	cloud	1489	CLOUD	облако 	облако 	61	3.82	4.17	1.68	4.35
Tsaparina-2011-260-63	63	clown	4020	CLOWN	клоун	клоун	93	4.03	3.28	1.77	4.29
Tsaparina-2011-260-64	64	coat	603	COAT	пальто	пальто	85	4.29	4.39	1.94	4.56
Tsaparina-2011-260-65	65	comb	1475	COMB	расческа	расческа	96	4.47	4.81	1.52	4.94
Tsaparina-2011-260-66	66	corn	506	MAIZE	кукуруза	кукуруза	78	4.79	3.97	1.97	4.59
Tsaparina-2011-260-67	67	couch	3099	SOFA	диван 	диван 	96	4.09	4.81	1.35	4.82
Tsaparina-2011-260-68	68	cow	1007	COW	корова	корова	100	4.53	3.36	1.35	4.56
Tsaparina-2011-260-69	69	crown	1943	CROWN (OF HEAD)	корона	корона	98	4.26	2.67	1.90	4.15
Tsaparina-2011-260-70	70	cup	476	CUP	чашка	чашка	87	4.47	4.83	1.42	4.79
Tsaparina-2011-260-71	71	deer	1936	DEER	олень	олень	96	4.62	2.81	1.71	3.76
Tsaparina-2011-260-72	72	desk	1775	TABLE	Стол письменный	Стол	48	4.50	4.89	1.32	4.82
Tsaparina-2011-260-73	73	dog	2009	DOG	собака	собака	96	4.26	4.36	1.39	4.85
Tsaparina-2011-260-74	74	doll	1659	DOLL	кукла	кукла	76	3.94	3.61	1.35	4.50
Tsaparina-2011-260-75	75	donkey	1862	DONKEY	осёл	осёл	93	4.74	2.83	1.71	4.24
Tsaparina-2011-260-76	76	door	1567	DOOR	дверь	дверь	100	4.50	4.81	1.26	4.74
Tsaparina-2011-260-77	77	doorknob	4030	DOORKNOB	дверная ручка 	дверная ручка	48	4.24	4.78	1.84	4.62
Tsaparina-2011-260-78	78	dress	474	DRESS	платье	платье	100	4.09	3.92	1.58	4.76
Tsaparina-2011-260-79	79	dresser	4055	DRESSER	комод	комод	96	4.65	4.08	2.39	4.21
Tsaparina-2011-260-80	80	drum	908	DRUM	барабан	барабан	96	4.32	3.22	1.68	4.53
Tsaparina-2011-260-81	81	duck	1360	DUCK	утка	утка	100	4.56	3.50	1.48	4.44
Tsaparina-2011-260-82	82	eagle	1905	EAGLE	орел	орел	59	3.91	2.75	1.84	3.74
Tsaparina-2011-260-83	83	ear	1247	EAR	ухо	ухо	96	4.97	4.75	1.26	4.59
Tsaparina-2011-260-84	84	elephant	1290	ELEPHANT	слон	слон	98	4.71	2.78	1.74	4.21
Tsaparina-2011-260-85	85	envelope	3088	ENVELOPE	конверт	конверт	87	4.91	3.86	2.35	4.82
Tsaparina-2011-260-86	86	eye	1248	EYE	глаз 	глаз 	98	4.35	4.58	1.23	4.44
Tsaparina-2011-260-87	87	fence	1690	FENCE	забор	забор	93	4.53	3.92	1.68	4.79
Tsaparina-2011-260-88	88	finger	1303	FINGER	указательный палец	палец	67	4.74	4.75	1.19	4.76
Tsaparina-2011-260-89	89	fish	227	FISH	рыба	рыба	72	4.56	4.50	1.29	4.71
Tsaparina-2011-260-90	90	flag	2623	FLAG	флаг	флаг	100	4.35	3.50	1.68	4.65
Tsaparina-2011-260-91	91	flower	239	FLOWER	цветок	цветок 	89	4.32	4.64	1.35	4.85
Tsaparina-2011-260-92	92	flute	777	FLUTE	флейта	флейта	57	4.15	2.50	2.90	3.50
Tsaparina-2011-260-93	93	fly	1504	FLY (INSECT)	муха	муха	100	4.53	4.33	1.42	4.65
Tsaparina-2011-260-94	94	foot	1301	FOOT	стопа	стопа	35	4.41	4.61	2.52	4.32
Tsaparina-2011-260-95	95	football			мяч для регби	мяч для регби 	46	4.71	1.64	3.81	2.88
Tsaparina-2011-260-96	96	football helmet			шлем 	шлем 	67	4.09	3.00	2.58	3.79
Tsaparina-2011-260-97	97	fork	1302	FORK	вилка	вилка	98	4.59	4.89	1.52	4.91
Tsaparina-2011-260-98	98	fox	1312	FOX	лиса 	лиса	83	3.85	2.97	1.61	4.26
Tsaparina-2011-260-99	99	french horn	939	HORN (INSTRUMENT)	валторна	труба 	54	3.29	3.28	2.23	4.41
Tsaparina-2011-260-100	100	frog	503	FROG	лягушка	лягушка	67	4.41	3.44	1.65	4.53
Tsaparina-2011-260-101	101	frying pan	31	PAN	сковорода	сковорода	98	4.32	4.25	2.29	4.79
Tsaparina-2011-260-102	102	garbage can	4036	GARBAGE CAN	мусорный бак	мусорный бак 	37	4.50	4.42	2.26	4.47
Tsaparina-2011-260-103	103	giraffe	3089	GIRAFFE	жираф	жираф	100	4.76	3.00	1.74	3.74
Tsaparina-2011-260-104	104	glass	604	GLASS	стакан	стакан	98	4.50	4.50	1.68	4.76
Tsaparina-2011-260-105	105	glasses	1898	SPECTACLES	очки	очки	100	4.59	4.08	1.94	4.76
Tsaparina-2011-260-106	106	gloves	867	GLOVE	перчатка 	перчатка 	93	4.32	4.17	2.06	4.82
Tsaparina-2011-260-107	107	goat	1502	GOAT	Козел 	Козел	70	4.41	3.19	1.58	4.21
Tsaparina-2011-260-108	108	gorilla	3144	GORILLA	горилла	горилла	59	4.65	2.69	2.26	3.68
Tsaparina-2011-260-109	109	grapes	920	GRAPE	виноград	виноград	80	4.35	4.33	1.68	4.88
Tsaparina-2011-260-110	110	grasshopper	607	GRASSHOPPER	кузнечик	кузнечик	96	4.53	3.22	1.77	4.26
Tsaparina-2011-260-111	111	guitar	3090	GUITAR	гитара	гитара	96	4.71	3.33	2.48	4.62
Tsaparina-2011-260-112	112	gun	1566	GUN	Револьвер/ пистолет	Револьвер	50	4.76	2.56	3.06	3.41
Tsaparina-2011-260-113	113	hair	2648	HAIR (HEAD)	волосы	волосы	67	3.79	4.89	1.23	4.79
Tsaparina-2011-260-114	114	hammer	1481	HAMMER	молоток 	молоток 	78	4.24	4.06	2.03	4.85
Tsaparina-2011-260-115	115	hand	1277	HAND	кисть  руки	кисть 	41	4.59	4.86	2.26	4.79
Tsaparina-2011-260-116	116	hanger	770	EARRING	вешалка 	вешалка 	89	4.29	4.75	2.16	4.62
Tsaparina-2011-260-117	117	harp	2597	HARP	арфа	арфа	93	4.56	1.89	3.26	3.44
Tsaparina-2011-260-118	118	hat	771	HAT	шляпа	шляпа	96	4.62	3.58	1.97	4.56
Tsaparina-2011-260-119	119	heart	1223	HEART	сердце 	сердце	93	4.03	4.44	2.10	4.12
Tsaparina-2011-260-120	120	helicopter	2580	HELICOPTER	вертолет 	вертолет 	96	4.12	2.92	2.00	4.12
Tsaparina-2011-260-121	121	horse	615	HORSE	лошадь	лошадь	87	4.74	3.44	1.48	4.62
Tsaparina-2011-260-122	122	house	1252	HOUSE	дом 	дом	87	4.29	4.78	1.42	4.79
Tsaparina-2011-260-123	123	iron			утюг	утюг	100	4.15	4.33	1.77	4.82
Tsaparina-2011-260-124	124	ironing board	3998	IRONING BOARD	доска гладильная	доска гладильная	96	4.68	4.25	2.52	4.62
Tsaparina-2011-260-125	125	jacket	2770	JACKET	пиджак 	пиджак 	37	3.56	3.92	2.45	4.59
Tsaparina-2011-260-126	126	kangaroo	164	KANGAROO	кенгуру 	кенгуру 	93	4.76	2.69	1.94	3.56
Tsaparina-2011-260-127	127	kettle	854	KETTLE	чайник	чайник	100	4.35	4.72	1.55	4.59
Tsaparina-2011-260-128	128	key	1472	KEY	ключ	ключ	98	4.12	4.69	1.61	4.85
Tsaparina-2011-260-129	129	kite	307	HAWK	воздушный змей	воздушный змей	78	4.59	3.00	2.45	3.97
Tsaparina-2011-260-130	130	knife	1352	KNIFE	нож 	нож 	83	4.21	4.83	1.65	4.85
Tsaparina-2011-260-131	131	ladder	1464	LADDER	лестница 	лестница 	96	4.32	4.64	1.61	4.82
Tsaparina-2011-260-132	132	lamp	625	LAMP	лампа 	лампа настольная 	48	3.94	4.00	2.52	4.71
Tsaparina-2011-260-133	133	leaf	628	LEAF	лист 	 кленовый лист 	50	4.50	3.78	2.19	4.74
Tsaparina-2011-260-134	134	leg	1297	LEG	нога	нога	91	4.53	4.75	1.26	4.76
Tsaparina-2011-260-135	135	lemon	3091	LEMON	лимон	лимон	98	4.82	4.53	1.74	4.97
Tsaparina-2011-260-136	136	leopard	1139	LEOPARD	леопард	леопард	67	4.50	2.83	2.03	3.71
Tsaparina-2011-260-137	137	lettuce	3729	LETTUCE	капуста	капуста	78	4.15	4.61	1.45	4.76
Tsaparina-2011-260-138	138	light bulb			лампочка 	лампочка	78	4.88	4.69	1.90	4.82
Tsaparina-2011-260-139	139	light switch	4001	LIGHT SWITCH	выключатель	выключатель	80	4.09	4.75	2.00	4.56
Tsaparina-2011-260-140	140	lion	1386	LION	лев	лев	98	4.06	2.92	1.52	4.03
Tsaparina-2011-260-141	141	lips	478	LIP	губы	губы	87	4.44	4.83	1.26	4.82
Tsaparina-2011-260-142	142	lobster	2397	LOBSTER	омар	Рак	78	4.18	3.17	1.58	4.24
Tsaparina-2011-260-143	143	lock	1596	LOCK	замок 	замок 	74	4.24	4.39	1.74	4.62
Tsaparina-2011-260-144	144	mitten			Варежка 	Варежка	70	4.41	4.08	1.45	4.44
Tsaparina-2011-260-145	145	monkey	1350	MONKEY	обезьяна	обезьяна 	74	4.12	2.81	1.74	4.12
Tsaparina-2011-260-146	146	moon	1313	MOON	"месяц (crescent; croissant)"	месяц 	85	4.68	3.72	2.03	3.97
Tsaparina-2011-260-147	147	motorcycle	638	MOTORCYCLE	мотоцикл	мотоцикл	98	4.68	3.44	2.13	4.24
Tsaparina-2011-260-148	148	mountain	639	MOUNTAIN	гора	гора	70	4.50	3.42	1.90	4.44
Tsaparina-2011-260-149	149	mouse	1491	MOUSE	мышь	мышь	83	4.65	3.58	1.52	4.53
Tsaparina-2011-260-150	150	mushroom	641	MUSHROOM	гриб 	гриб 	80	4.24	3.75	1.61	4.50
Tsaparina-2011-260-151	151	nail	502	NAIL (TOOL)	гвоздь	гвоздь	100	4.82	3.50	2.19	4.50
Tsaparina-2011-260-152	152	nail file			Пилка для ногтей	пилка для ногтей	35	4.32	3.92	3.26	4.68
Tsaparina-2011-260-153	153	necklace	1961	NECKLACE	бусы	бусы	70	4.59	3.58	1.84	4.44
Tsaparina-2011-260-154	154	needle	1382	NEEDLE (FOR SEWING)	игла 	игла 	85	4.91	3.97	2.00	4.79
Tsaparina-2011-260-155	155	nose	1221	NOSE	нос	нос	98	4.79	4.86	1.23	4.59
Tsaparina-2011-260-156	156	nut	191	NUT	гайка	гайка	76	4.76	3.31	2.68	4.09
Tsaparina-2011-260-157	157	onion	2366	ONION	лук	лук 	78	4.32	4.61	1.55	4.91
Tsaparina-2011-260-158	158	orange	2627	ORANGE (FRUIT)	апельсин	апельсин	89	4.47	4.58	1.65	4.91
Tsaparina-2011-260-159	159	ostrich	3797	OSTRICH	страус	страус	89	4.47	2.69	2.26	3.56
Tsaparina-2011-260-160	160	owl	735	OWL	сова	сова	70	4.26	3.11	1.65	3.85
Tsaparina-2011-260-161	161	paintbrush	3094	PAINTBRUSH	Кисточка 	Кисточка	48	4.53	3.83	1.90	4.59
Tsaparina-2011-260-162	162	pants	809	TROUSERS	брюки	брюки	67	4.35	4.83	1.77	4.79
Tsaparina-2011-260-163	163	peach	2043	PEACH	персик 	персик 	72	4.15	4.33	1.68	4.85
Tsaparina-2011-260-164	164	peacock	3382	PEACOCK	павлин	павлин	96	4.56	2.75	2.06	3.97
Tsaparina-2011-260-165	165	peanut	595	GROUNDNUT (PEANUT)	арахис	арахис	54	4.09	3.64	2.87	4.44
Tsaparina-2011-260-166	166	pear	922	PEAR	груша	груша	98	4.50	4.50	1.42	4.85
Tsaparina-2011-260-167	167	pen	794	PEN	ручка	ручка	76	4.50	4.78	1.77	4.91
Tsaparina-2011-260-168	168	pencil	2578	PENCIL	карандаш 	карандаш 	91	4.76	4.56	1.35	4.88
Tsaparina-2011-260-169	169	penguin	2831	PENGUIN	пингвин	пингвин	93	4.50	2.94	2.10	3.91
Tsaparina-2011-260-170	170	pepper	1385	PEPPER	перец	перец	63	4.06	4.33	1.97	4.76
Tsaparina-2011-260-171	171	piano	3994	PIANO (INSTRUMENT)	рояль	рояль	91	4.59	2.72	2.74	4.38
Tsaparina-2011-260-172	172	pig	1337	PIG	свинья 	свинья 	78	4.59	3.31	1.48	4.53
Tsaparina-2011-260-173	173	pineapple	2440	PINEAPPLE	ананас	ананас	98	4.71	3.61	2.35	4.82
Tsaparina-2011-260-174	174	pipe	1124	PIPE	трубка	трубка	65	4.35	3.19	2.68	4.15
Tsaparina-2011-260-175	175	pitcher	120	PITCHER	кувшин	кувшин	91	4.21	3.44	2.19	4.24
Tsaparina-2011-260-176	176	pliers	4003	PLIERS	плоскогубцы	плоскогубцы	48	4.18	3.42	2.74	4.38
Tsaparina-2011-260-177	177	plug			вилка электрическая	вилка	35	3.71	4.47	2.61	4.50
Tsaparina-2011-260-178	178	pocketbook			сумка 	сумка 	78	3.94	4.56	1.55	4.82
Tsaparina-2011-260-179	179	pot	1462	POT	ковш 	ковш 	78	3.97	3.78	2.13	4.41
Tsaparina-2011-260-180	180	potato	593	POTATO	Картофель	Картошка  	46	4.56	4.78	1.52	4.88
Tsaparina-2011-260-181	181	pumpkin	864	PUMPKIN	тыква	тыква	98	4.50	3.22	1.97	4.35
Tsaparina-2011-260-182	182	rabbit	1136	RABBIT	кролик	Заяц  	59	4.24	3.25	1.48	4.29
Tsaparina-2011-260-183	183	raccoon	828	RACCOON	енот	енот	80	4.44	2.69	2.20	3.41
Tsaparina-2011-260-184	184	record player	4004	RECORD PLAYER	проигрыватель	проигрыватель	41	4.18	3.17	2.58	4.12
Tsaparina-2011-260-185	185	refrigerator	3952	REFRIGERATOR	холодильник	холодильник	100	4.56	4.86	1.74	4.76
Tsaparina-2011-260-186	186	rhinoceros	2591	RHINOCEROS	носорог	носорог	96	4.56	2.75	1.94	3.44
Tsaparina-2011-260-187	187	ring	1374	RING	кольцо	кольцо	74	4.24	3.75	2.23	4.85
Tsaparina-2011-260-188	188	rocking chair	3999	ROCKING CHAIR	кресло-качалка	кресло-качалка	67	4.47	2.67	2.45	4.24
Tsaparina-2011-260-189	189	roller skate			роликовый конек	Ролики 	39	3.50	3.39	2.90	4.44
Tsaparina-2011-260-190	190	rolling pin	4002	ROLLING PIN	скалка	скалка	98	4.59	3.25	2.58	4.59
Tsaparina-2011-260-191	191	rooster	1511	ROOSTER	петух 	петух 	98	4.76	3.19	1.42	4.53
Tsaparina-2011-260-192	192	ruler	3405	RULER	линейка 	линейка 	98	4.82	4.28	2.06	4.88
Tsaparina-2011-260-193	193	sail boat			парусник	парусник	46	4.21	2.81	2.81	3.56
Tsaparina-2011-260-194	194	salt shaker			солонка	солонка	80	4.41	4.64	2.23	4.68
Tsaparina-2011-260-195	195	sandwich	4008	SANDWICH	бутерброд	бутерброд	54	3.71	4.75	1.90	4.94
Tsaparina-2011-260-196	196	saw	1948	SAW	пила 	пила 	70	4.68	3.33	2.13	4.68
Tsaparina-2011-260-197	197	scissors	356	SHEARS	ножницы	ножницы	98	4.74	4.89	1.68	4.85
Tsaparina-2011-260-198	198	screw	1802	SCREW	шуруп	шуруп	65	4.29	3.50	2.74	4.21
Tsaparina-2011-260-199	199	screwdriver	836	SCREWDRIVER	отвертка	отвертка	96	4.88	3.92	2.42	4.71
Tsaparina-2011-260-200	200	sea horse	2586	SEAHORSE	морской конек	морской конек	96	4.41	2.36	2.65	3.12
Tsaparina-2011-260-201	201	seal	651	SEAL	тюлень	тюлень	65	4.26	2.61	2.10	3.35
Tsaparina-2011-260-202	202	sheep	1331	SHEEP	овца	овца	80	4.44	2.86	1.65	4.12
Tsaparina-2011-260-203	203	shirt	1622	SHIRT	рубашка 	рубашка	83	4.47	4.53	1.55	4.76
Tsaparina-2011-260-204	204	shoe	1381	SHOE	ботинок	ботинок	63	4.24	4.75	1.32	4.65
Tsaparina-2011-260-205	205	skirt	1600	SKIRT	юбка	юбка	98	4.26	4.19	1.52	4.76
Tsaparina-2011-260-206	206	skunk	3888	SKUNK	скунс	скунс	72	4.35	1.89	3.00	2.79
Tsaparina-2011-260-207	207	sled	16	SLED	санки 	санки 	87	4.35	3.83	1.39	4.79
Tsaparina-2011-260-208	208	snail	1543	SNAIL	улитка	улитка	98	4.62	3.31	1.65	4.32
Tsaparina-2011-260-209	209	snake	730	SNAKE	змея	змея	96	4.38	2.81	1.74	4.15
Tsaparina-2011-260-210	210	snowman	3098	SNOWMAN	снеговик	снеговик	91	4.50	3.58	1.55	4.59
Tsaparina-2011-260-211	211	socks	1522	SOCK	носок	носок	100	4.32	4.72	1.45	4.79
Tsaparina-2011-260-212	212	spider	843	SPIDER	паук	паук	100	4.15	3.64	1.87	4.56
Tsaparina-2011-260-213	213	spinning wheel	4009	SPINNING WHEEL	прялка	прялка	78	3.94	2.14	3.00	3.15
Tsaparina-2011-260-214	214	spool of thread			катушка ниток	Нитки   	37	4.24	3.97	2.03	4.76
Tsaparina-2011-260-215	215	spoon	1378	SPOON	ложка	ложка	91	4.76	4.86	1.32	4.91
Tsaparina-2011-260-216	216	squirrel	1628	SQUIRREL	белка	белка	100	4.35	3.47	1.58	4.21
Tsaparina-2011-260-217	217	star	1430	STAR	звезда 	звезда 	91	4.26	3.64	2.00	4.74
Tsaparina-2011-260-218	218	stool	2058	STOOL	табурет 	табурет 	65	4.38	4.44	1.90	4.76
Tsaparina-2011-260-219	219	stove	859	STOVE	плита	плита	57	4.09	4.42	2.00	4.53
Tsaparina-2011-260-220	220	strawberry	3138	STRAWBERRY	клубника 	клубника 	87	4.71	4.25	1.45	4.94
Tsaparina-2011-260-221	221	suitcase	4005	SUITCASE	чемодан	чемодан	93	4.15	4.00	2.13	4.65
Tsaparina-2011-260-222	222	sun	1343	SUN	солнце	солнце	98	4.59	4.83	1.19	4.53
Tsaparina-2011-260-223	223	swan	2837	SWAN	лебедь	лебедь	100	4.62	3.11	1.77	4.32
Tsaparina-2011-260-224	224	sweater	4035	SWEATER	свитер	свитер	85	4.32	4.67	1.90	4.76
Tsaparina-2011-260-225	225	swing	3101	SWING	качели	качели	87	4.00	3.92	1.45	4.59
Tsaparina-2011-260-226	226	table	1775	TABLE	cтол 	cтол 	80	3.71	4.89	1.35	4.85
Tsaparina-2011-260-227	227	telephone	1379	TELEPHONE	телефон 	телефон 	93	4.26	4.64	1.94	4.82
Tsaparina-2011-260-228	228	television	1788	TELEVISION	телевизор 	телевизор 	98	4.21	4.56	1.65	4.79
Tsaparina-2011-260-229	229	tennis racket	3096	RACKET	теннисная ракетка	ракетка	70	4.44	3.25	2.26	4.59
Tsaparina-2011-260-230	230	thimble			наперсток	наперсток	89	4.56	2.83	2.77	4.41
Tsaparina-2011-260-231	231	thumb	1781	THUMB	большой палец руки	палец 	41	4.65	4.75	1.32	4.56
Tsaparina-2011-260-232	232	tie	3711	TIE (NOUN)	галстук	галстук	100	4.65	3.25	2.68	4.32
Tsaparina-2011-260-233	233	tiger	846	TIGER	тигр	тигр	96	4.44	2.86	1.58	4.21
Tsaparina-2011-260-234	234	toaster	4010	TOASTER	тостер	тостер	87	4.50	3.47	3.32	4.35
Tsaparina-2011-260-235	235	toe	1389	TOE	большой палец ноги	палец	48	4.18	4.78	1.32	4.76
Tsaparina-2011-260-236	236	tomato	986	TOMATO	помидор	помидор	72	4.62	4.81	1.39	4.88
Tsaparina-2011-260-237	237	toothbrush	2579	TOOTHBRUSH	зубная щетка	зубная щетка	96	4.35	4.92	1.68	4.91
Tsaparina-2011-260-238	238	top	3996	TOP (TOY)	юла 	юла 	52	3.91	3.19	1.35	4.50
Tsaparina-2011-260-239	239	traffic lights			светофор	светофор	100	4.50	4.83	2.06	4.71
Tsaparina-2011-260-240	240	train	900	TRAIN	поезд	поезд	57	3.91	3.97	1.71	4.74
Tsaparina-2011-260-241	241	tree	906	TREE	дерево 	дерево 	80	4.62	4.58	1.32	4.88
Tsaparina-2011-260-242	242	truck	4011	TRUCK	грузовик 	грузовик 	50	3.76	3.83	1.68	4.53
Tsaparina-2011-260-243	243	trumpet	775	TRUMPET	труба 	труба 	85	4.24	3.22	2.29	4.24
Tsaparina-2011-260-244	244	turtle	112	TURTLE	черепаха	черепаха	100	4.68	3.14	1.77	4.24
Tsaparina-2011-260-245	245	umbrella	3105	UMBRELLA	зонт 	зонт	98	4.47	4.25	1.65	4.85
Tsaparina-2011-260-246	246	vase	3746	VASE	ваза	ваза	98	4.09	4.17	2.00	4.59
Tsaparina-2011-260-247	247	vest	3140	VEST	жилет 	жилет 	54	4.47	3.64	2.19	4.53
