ID	NUMBER	ENGLISH	RUSSIAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Swadesh-1960-215-81	81	hundred	сто	1634	HUNDRED
Swadesh-1960-215-82	82	hunt	охотиться	1435	HUNT
Swadesh-1960-215-83	83	husband	муж	1200	HUSBAND
Swadesh-1960-215-84	84	*I	я (местоимение)	1209	I
Swadesh-1960-215-85	85	ice	лед	617	ICE
Swadesh-1960-215-86	86	if	если	1459	IF
Swadesh-1960-215-87	87	in	в (предлог)	1460	IN
Swadesh-1960-215-88	88	*kill	убивать	1417	KILL
Swadesh-1960-215-89	89	*know	знать	1410	KNOW (SOMETHING)
Swadesh-1960-215-90	90	lake	озеро	624	LAKE
Swadesh-1960-215-91	91	laugh	смеяться	1355	LAUGH
Swadesh-1960-215-92	92	*leaf	лист (дерева)	628	LEAF
Swadesh-1960-215-93	93	left	левый	244	LEFT
Swadesh-1960-215-94	94	leg	нога	1297	LEG
Swadesh-1960-215-95	95	*lie	лежать	1411	LIE (REST)
Swadesh-1960-215-96	96	live	жить	1422	BE ALIVE
Swadesh-1960-215-97	97	*liver	печень	1224	LIVER
Swadesh-1960-215-98	98	*long	длинный	1203	LONG
Swadesh-1960-215-99	99	*louse	вошь	1392	LOUSE
Swadesh-1960-215-100	100	*man	мужчина	1554	MAN
Swadesh-1960-215-101	101	*many	много	1198	MANY
Swadesh-1960-215-102	102	*meat	мясо	634	MEAT
Swadesh-1960-215-103	103	mother	мать	1216	MOTHER
Swadesh-1960-215-104	104	*mountain	гора	639	MOUNTAIN
Swadesh-1960-215-105	105	*mouth	рот	674	MOUTH
Swadesh-1960-215-106	106	*name	имя	1405	NAME
Swadesh-1960-215-107	107	narrow	узкий	1267	NARROW
Swadesh-1960-215-108	108	near	близкий	1942	NEAR
Swadesh-1960-215-109	109	*neck	шея	1333	NECK
Swadesh-1960-215-110	110	*new	новый	1231	NEW
Swadesh-1960-215-111	111	*night	ночь	1233	NIGHT
Swadesh-1960-215-112	112	nine	девять	1483	NINE
Swadesh-1960-215-113	113	*nose	нос	1221	NOSE
Swadesh-1960-215-114	114	*not	не	1240	NOT
Swadesh-1960-215-115	115	old	старый	1229	OLD
Swadesh-1960-215-116	116	*one	один	1493	ONE
Swadesh-1960-215-117	117	other	другой	197	OTHER
Swadesh-1960-215-118	118	*person	человек	683	PERSON
Swadesh-1960-215-119	119	play	играть	1413	PLAY
Swadesh-1960-215-120	120	pull	тянуть	1455	PULL
Swadesh-1960-215-121	121	push	толкать	1452	PUSH
Swadesh-1960-215-122	122	*rain	дождь	658	RAIN (PRECIPITATION)
Swadesh-1960-215-123	123	*red	красный	156	RED
Swadesh-1960-215-124	124	right	правый	1019	RIGHT
Swadesh-1960-215-125	125	right	правильный	1725	CORRECT (RIGHT)
Swadesh-1960-215-126	126	river	река	666	RIVER
Swadesh-1960-215-127	127	*road	дорога	667	ROAD
Swadesh-1960-215-128	128	*root	корень	670	ROOT
Swadesh-1960-215-129	129	rope	веревка	1218	ROPE
Swadesh-1960-215-130	130	rotten	гнилой	1728	ROTTEN
Swadesh-1960-215-131	131	rub	тереть	1449	RUB
Swadesh-1960-215-132	132	salt	соль	1274	SALT
Swadesh-1960-215-133	133	*sand	песок	671	SAND
Swadesh-1960-215-134	134	scratch	чесать	1436	SCRATCH
Swadesh-1960-215-135	135	sea	море	1474	SEA
Swadesh-1960-215-136	136	*see	видеть	1409	SEE
Swadesh-1960-215-137	137	*seed	семя	714	SEED
Swadesh-1960-215-138	138	seven	семь	1704	SEVEN
Swadesh-1960-215-139	139	sew	шить	1457	SEW
Swadesh-1960-215-140	140	sharp	острый	1396	SHARP
Swadesh-1960-215-141	141	shoot	стрелять	1172	SHOOT
Swadesh-1960-215-142	142	short	короткий	1645	SHORT
Swadesh-1960-215-143	143	sing	петь	1261	SING
Swadesh-1960-215-144	144	sister	сестра	1263	SISTER
Swadesh-1960-215-145	145	*sit	сидеть	1416	SIT
Swadesh-1960-215-146	146	six	шесть	1703	SIX
Swadesh-1960-215-147	147	*skin	кожа	763	SKIN
Swadesh-1960-215-148	148	sky	небо	1732	SKY
Swadesh-1960-215-149	149	*sleep	спать	1585	SLEEP
Swadesh-1960-215-150	150	*small	маленький	1246	SMALL
Swadesh-1960-215-151	151	smell	нюхать	1586	SMELL (PERCEIVE)
Swadesh-1960-215-152	152	*smoke	дым	778	SMOKE (EXHAUST)
Swadesh-1960-215-153	153	smooth	гладкий	1234	SMOOTH
Swadesh-1960-215-154	154	snake	змея	730	SNAKE
Swadesh-1960-215-155	155	snow	снег	784	SNOW
Swadesh-1960-215-156	156	some	некий	1241	SOME
Swadesh-1960-215-157	157	speak	говорить	1623	SPEAK
Swadesh-1960-215-158	158	spear	копье	945	SPEAR
Swadesh-1960-215-159	159	spit	плевать	1440	SPIT
Swadesh-1960-215-160	160	split	расщеплять	1437	SPLIT
Swadesh-1960-215-161	161	squeeze	сжимать	1414	SQUEEZE
Swadesh-1960-215-162	162	stab	вонзать	1434	STAB
Swadesh-1960-215-163	163	*stand	стоять	1442	STAND
Swadesh-1960-215-164	164	*star	звезда	1430	STAR
Swadesh-1960-215-165	165	stick	палка	1295	STICK
Swadesh-1960-215-166	166	*stone	камень	857	STONE
Swadesh-1960-215-167	167	straight	прямой	1404	STRAIGHT
Swadesh-1960-215-168	168	suck	сосать	1421	SUCK
Swadesh-1960-215-169	169	*sun	солнце	1343	SUN
Swadesh-1960-215-170	170	swell	распухать	1573	SWELL
Swadesh-1960-215-171	171	*swim	плавать	1439	SWIM
Swadesh-1960-215-172	172	*tail	хвост	1220	TAIL
Swadesh-1960-215-173	173	ten	десять	1515	TEN
Swadesh-1960-215-174	174	*that	тот	78	THAT
Swadesh-1960-215-175	175	there	там	1937	THERE
Swadesh-1960-215-176	176	they	они	817	THEY
Swadesh-1960-215-177	177	thick	толстый	1244	THICK
Swadesh-1960-215-178	178	thin	тонкий	2249	THIN (OF SHAPE OF OBJECT)
Swadesh-1960-215-179	179	think	думать	2271	THINK
Swadesh-1960-215-180	180	*this	этот	1214	THIS
Swadesh-1960-215-181	181	*thou	ты	1215	THOU
Swadesh-1960-215-182	182	three	три	492	THREE
Swadesh-1960-215-183	183	throw	бросать	1456	THROW
Swadesh-1960-215-184	184	tie	связывать	1917	TIE
Swadesh-1960-215-185	185	*tongue	язык	1205	TONGUE
Swadesh-1960-215-186	186	*tooth	зуб	1380	TOOTH
Swadesh-1960-215-187	187	*tree	дерево	906	TREE
Swadesh-1960-215-188	188	turn	поворачивать	1588	TURN
Swadesh-1960-215-189	189	twenty	двадцать	1710	TWENTY
Swadesh-1960-215-190	190	*two	два	1498	TWO
Swadesh-1960-215-191	191	vomit	рвать (тошнить)	1278	VOMIT
Swadesh-1960-215-192	192	*walk	идти	1443	WALK
Swadesh-1960-215-193	193	*warm	теплый	1232	WARM
Swadesh-1960-215-194	194	wash	мыть	1453	WASH
Swadesh-1960-215-195	195	*water	вода	948	WATER
Swadesh-1960-215-196	196	*we	мы	1212	WE
Swadesh-1960-215-197	197	wet	мокрый	1726	WET
Swadesh-1960-215-198	198	*what	что	1236	WHAT
Swadesh-1960-215-199	199	when	когда	1238	WHEN
Swadesh-1960-215-200	200	where	где	1237	WHERE
Swadesh-1960-215-201	201	*white	белый	1335	WHITE
Swadesh-1960-215-202	202	*who	кто	1235	WHO
Swadesh-1960-215-203	203	wide	широкий	1243	WIDE
Swadesh-1960-215-204	204	wife	жена	1199	WIFE
Swadesh-1960-215-205	205	wind	ветер	960	WIND
Swadesh-1960-215-206	206	wing	крыло	1257	WING
Swadesh-1960-215-207	207	wipe	вытирать	1454	WIPE
Swadesh-1960-215-208	208	with	с	1340	WITH
Swadesh-1960-215-209	209	*woman	женщина	962	WOMAN
Swadesh-1960-215-210	210	woods	леса	420	FOREST
Swadesh-1960-215-211	211	work	работать	1086	WORK (ACTIVITY)
Swadesh-1960-215-212	212	worm	червяк	1219	WORM
Swadesh-1960-215-213	213	ye	вы	1213	YOU
Swadesh-1960-215-214	214	year	год	1226	YEAR
Swadesh-1960-215-215	215	*yellow	желтый	1424	YELLOW
