ID	NUMBER	ENGLISH	FRENCH	GERMAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Williamson-1973-118-103	103	one	un	eins, ein(e)	1493	ONE
Williamson-1973-118-104	104	two	deux	zwei	1498	TWO
Williamson-1973-118-105	105	three	trois	drei	492	THREE
Williamson-1973-118-106	106	four	quatre	vier	1500	FOUR
Williamson-1973-118-107	107	five	cinq	fünf	493	FIVE
Williamson-1973-118-108	108	six	six	sechs	1703	SIX
Williamson-1973-118-109	109	seven	sept	sieben	1704	SEVEN
Williamson-1973-118-110	110	eight	huit	acht	1705	EIGHT
Williamson-1973-118-111	111	nine	neuf	neun	1483	NINE
Williamson-1973-118-112	112	ten	dix	zehn	1515	TEN
Williamson-1973-118-113	113	fifteen	quinze	fünfzehn	1709	FIFTEEN
Williamson-1973-118-114	114	twenty	vingt	zwanzig	1710	TWENTY
Williamson-1973-118-115	115	one hundred	cent	ein hundert	1634	HUNDRED
Williamson-1973-118-116	116	two hundred	deux cents	zwei hundert	2676	TWO HUNDRED
Williamson-1973-118-117	117	four hundred	quatre cents	vier hundert	3515	FOUR HUNDRED
Williamson-1973-118-118	118	one thousand	mille	ein tausend	1843	THOUSAND
