ID	NUMBER	GLOSS	GERMAN	PORTUGUESE	CONCEPTICON_ID	CONCEPTICON_GLOSS
KochGrunberg-1914-809-40	40	Lower leg	Unterschenkel	Parte da perna abaixo do joelho e acima do tornozelo	447	LOWER LEG
KochGrunberg-1914-809-41	41	Shin	Schienbein	Canela da perna	186	SHIN
KochGrunberg-1914-809-42	42	Calf of leg	Wade	Panturrilha	498	CALF OF LEG
KochGrunberg-1914-809-43	43	Knee	Knie	Joelho	1371	KNEE
KochGrunberg-1914-809-44	44	Popliteal fossa	Kniekehle	Parte detrás do joelho		
KochGrunberg-1914-809-45	45	Foot	Fuß	Pé	1301	FOOT
KochGrunberg-1914-809-46	46	Instep	Fußrücken	Peito do pé	3736	INSTEP
KochGrunberg-1914-809-47	47	Sole (foot)	Sohle	Sola do pé	2666	SOLE (FOOT)
KochGrunberg-1914-809-48	48	Heel	Ferse	Calcamnhar	980	HEEL
KochGrunberg-1914-809-49	49	Ankle	Fußknöchel	Tornozelo	803	ANKLE
KochGrunberg-1914-809-50	50	Foot tendon	Fußsehne	Tendão do pé		
KochGrunberg-1914-809-51	51	Toe	Zehe	Dedão	1389	TOE
KochGrunberg-1914-809-52	52	Toenail	Zehennagel	Unha do dedão	2662	TOENAIL
KochGrunberg-1914-809-53	53	Body	Körper	Corpo	1480	BODY
KochGrunberg-1914-809-54	54	Neck	Hals	Pescoço	1333	NECK
KochGrunberg-1914-809-55	55	Nape (of neck)	Nacken	Nuca	1347	NAPE (OF NECK)
KochGrunberg-1914-809-56	56	Throat	Kehle	Gargante	1346	THROAT
KochGrunberg-1914-809-57	57	Armpit	Achselhöhle	Axila	1886	ARMPIT
KochGrunberg-1914-809-58	58	Shoulder blade	Schulterblatt	Escápula	172	SHOULDERBLADE
KochGrunberg-1914-809-59	59	Rib	Rippen	Costela	801	RIB
KochGrunberg-1914-809-60	60	Chest	Brust	Peito	1592	CHEST
KochGrunberg-1914-809-61	61	Nipple	Brustwarze	Mamilo	796	NIPPLE
KochGrunberg-1914-809-62	62	Breast	Weibliche Brust	Peito feminino	1402	BREAST
KochGrunberg-1914-809-63	63	Belly	Bauch	Barriga	1251	BELLY
KochGrunberg-1914-809-64	64	Navel	Nabel	Umbigo	1838	NAVEL
KochGrunberg-1914-809-65	65	Back	Rücken	Costas	1291	BACK
KochGrunberg-1914-809-66	66	Buttocks	Gesaß	Nádegas	834	BUTTOCKS
KochGrunberg-1914-809-67	67	Penis	Penis	Pênis	1222	PENIS
KochGrunberg-1914-809-68	68	Scrotum	Scrotum	Escroto	2834	SCROTUM
KochGrunberg-1914-809-69	69	Testicle	Testikel	Testículo	797	TESTICLES
KochGrunberg-1914-809-70	70	Membrum muliebre	Membrum muliebre	Membrum muliebre		
KochGrunberg-1914-809-71	71	Vagina	Vagina	Vagina	1836	VAGINA
KochGrunberg-1914-809-72	72	Clitoris	Clitoris	Clitóris	3257	CLITORIS
KochGrunberg-1914-809-73	73	Anus	Anus	Ânus	1935	ANUS
KochGrunberg-1914-809-74	74	Skin	Haut	Pele	763	SKIN
KochGrunberg-1914-809-75	75	Fur	Fell	Pelo	580	FUR
KochGrunberg-1914-809-76	76	Bone	Knochen	Osso	1394	BONE
KochGrunberg-1914-809-77	77	Blood	Blut	Sangue	946	BLOOD
KochGrunberg-1914-809-78	78	Vein	Ader	Veia	1924	VEIN
KochGrunberg-1914-809-79	79	Pulse	Puls	Pulso	3267	PULSE
KochGrunberg-1914-809-80	80	Flesh	Fleisch	Carne	2259	FLESH
KochGrunberg-1914-809-81	81	Tendon	Sehne	Tendão	1137	TENDON
KochGrunberg-1914-809-82	82	Heart	Herz	Coração	1223	HEART
KochGrunberg-1914-809-83	83	Guts	Eingeweide	Vísceras	1334	GUTS
KochGrunberg-1914-809-84	84	Stomach	Magen	Estômago	819	STOMACH
KochGrunberg-1914-809-85	85	Intestine	Darm	Intestino	1991	INTESTINES
KochGrunberg-1914-809-86	86	Fat (organic substance)	Fett	Gordura	323	FAT (ORGANIC SUBSTANCE)
KochGrunberg-1914-809-87	87	Saliva	Speichel	Saliva	1503	SALIVA
KochGrunberg-1914-809-88	88	Urine	Urin	Urina	1142	URINE
KochGrunberg-1914-809-89	89	Sweat (substance)	Schweiß	Suor	125	SWEAT (SUBSTANCE)
KochGrunberg-1914-809-90	90	Tear (of eye)	Träne	Lágrima	1651	TEAR (OF EYE)
KochGrunberg-1914-809-91	91	Faeces (excrement)	Kot	Fezes	675	FAECES (EXCREMENT)
KochGrunberg-1914-809-92	92	Flatus	Flatus	Flatulência		
KochGrunberg-1914-809-93	93	Breath	Atem	Hálito	870	BREATH
KochGrunberg-1914-809-94	94	Wound	Wunde	Ferida	1109	WOUND
KochGrunberg-1914-809-95	95	Purupuru (skin disease)	Purupuru (Hautkrankheit)	Pupupuru (doença de pele)		
KochGrunberg-1914-809-96	96	Beak	Schnabel	Bico	73	BEAK
KochGrunberg-1914-809-97	97	Tail	Schwanz	Cauda	1220	TAIL
KochGrunberg-1914-809-98	98	Wing	Flügel	Asa	1257	WING
KochGrunberg-1914-809-99	99	Feather	Feder	Pena	1201	FEATHER
KochGrunberg-1914-809-100	100	Fin	Flosse	Nadadeira	213	FIN
KochGrunberg-1914-809-101	101	Water	Wasser	Água	948	WATER
KochGrunberg-1914-809-102	102	River	Fluß	Rio	666	RIVER
KochGrunberg-1914-809-103	103	Brook	Bach	Riacho	3821	BROOK
KochGrunberg-1914-809-104	104	Lagoon	Lagune	Lagoa	623	LAGOON
KochGrunberg-1914-809-105	105	Waterfall	Cachoeira (Stromschnelle, Wasserfall)	Cachoeira	943	WATERFALL
KochGrunberg-1914-809-106	106	Narrow river arm (paraná miri)	Schmaler Flußarm (Paraná miri)	Paraná-mirim		
KochGrunberg-1914-809-107	107	Fire	Feuer	Fogo	221	FIRE
KochGrunberg-1914-809-108	108	Smoke (exhaust)	Rauch	Fumaça	778	SMOKE (EXHAUST)
KochGrunberg-1914-809-109	109	Ash	Asche	Cinzas	646	ASH
KochGrunberg-1914-809-110	110	Coal	Kohle	Carvão	2658	COAL
KochGrunberg-1914-809-111	111	Firewood	Brennholz	Lenha	10	FIREWOOD
KochGrunberg-1914-809-112	112	Sky	Himmel	Céu	1732	SKY
KochGrunberg-1914-809-113	113	Cloud	Wolke	Nuvem	1489	CLOUD
KochGrunberg-1914-809-114	114	Rain (precipitation)	Regen	Chuva	658	RAIN (PRECIPITATION)
KochGrunberg-1914-809-115	115	Fog	Nebel	Névoa	249	FOG
KochGrunberg-1914-809-116	116	Dew	Tau	Orvalho	1977	DEW
KochGrunberg-1914-809-117	117	Drizzle	Feiner Nebelregen	Garoa	1016	DRIZZLE
KochGrunberg-1914-809-118	118	Wind	Wind	Vento	960	WIND
KochGrunberg-1914-809-119	119	Lightning	Blitz	Relâmpago	1654	LIGHTNING
KochGrunberg-1914-809-120	120	Thunder	Donner	Trovão	1150	THUNDER
KochGrunberg-1914-809-121	121	Rainbow	Regenbogen	Arco-íris	1733	RAINBOW
KochGrunberg-1914-809-122	122	Sun	Sonne	Sol	1343	SUN
KochGrunberg-1914-809-123	123	Shade	Schatten	Sombra	1388	SHADE
KochGrunberg-1914-809-124	124	Year	Jahr	Ano	1226	YEAR
KochGrunberg-1914-809-125	125	Rainy season	Regenzeit	Estação chuvosa	453	RAINY SEASON
KochGrunberg-1914-809-126	126	Dry season	Trockenzeit	Estação seca	452	DRY SEASON
KochGrunberg-1914-809-127	127	Day	Tag	Dia	1225	DAY (NOT NIGHT)
KochGrunberg-1914-809-128	128	Night	Nacht	Noite	1233	NIGHT
KochGrunberg-1914-809-129	129	Morning	Morgen	Manhã	1339	MORNING
KochGrunberg-1914-809-130	130	Noon	Mittag	Meio-dia	12	MIDDAY
KochGrunberg-1914-809-131	131	Evening	Abend	Tarde	1629	EVENING
KochGrunberg-1914-809-132	132	Dawn	Morgenrot	Amanhecer	729	DAWN
KochGrunberg-1914-809-133	133	Moon	Mond	Lua	1313	MOON
KochGrunberg-1914-809-134	134	New moon	Neuer Mond	Lua nova	3691	NEW MOON
KochGrunberg-1914-809-135	135	Full moon	Vollmond	Lua cheia	3690	FULL MOON
KochGrunberg-1914-809-136	136	Moon halo	Ringförmiger Mondhof	Halo lunar		
KochGrunberg-1914-809-137	137	Lunar eclipse	Mondfinsternis	Eclipse lunar		
KochGrunberg-1914-809-138	138	Solar eclipse	Sonnenfinstemis	Eclipse solar		
KochGrunberg-1914-809-139	139	Star	Stern	Estrela	1430	STAR
KochGrunberg-1914-809-140	140	Pleiades	Plejaden	Plêiades		
KochGrunberg-1914-809-141	141	Milky way	Milchstraße	Via Láctea	2289	MILKY WAY
KochGrunberg-1914-809-142	142	Ground	Erdboden	Chão	2159	GROUND
KochGrunberg-1914-809-143	143	Field	Feld	Campo	212	FIELD
KochGrunberg-1914-809-144	144	Path	Weg	Caminho	2252	PATH
KochGrunberg-1914-809-145	145	Mountain	Berg	Montanha	639	MOUNTAIN
KochGrunberg-1914-809-146	146	Forest	Wald	Floresta	420	FOREST
KochGrunberg-1914-809-147	147	Island	Insel	Ilha	622	ISLAND
KochGrunberg-1914-809-148	148	Beach	Strand	Praia	3460	BEACH
KochGrunberg-1914-809-149	149	Stone	Stein	Pedra	2125	STONE OR ROCK
KochGrunberg-1914-809-150	150	Pumice	Bimsstein	Pedra-pomes		
KochGrunberg-1914-809-151	151	Whiter clay	Weißer Ton	Tabatinga (tipo de argila mais clara)		
KochGrunberg-1914-809-152	152	Yellow clay	Gelber Ton	Argila amarelada		
KochGrunberg-1914-809-153	153	Hole	Loch	Buraco	1667	HOLE
KochGrunberg-1914-809-154	154	Grave	Grab	Tumba	1773	GRAVE
KochGrunberg-1914-809-155	155	Sea	Meer	Mar	1474	SEA
KochGrunberg-1914-809-156	156	Rio Solimões	Rio Solimões	Rio Solimões		
KochGrunberg-1914-809-157	157	Rio Japurá	Rio Yapurá	Rio Japurá		
KochGrunberg-1914-809-158	158	Rio Apapóris	Rio Apaporis	Rio Apapóris		
KochGrunberg-1914-809-159	159	Town or village	Dorf, Heimat	Cidade pequena ou vila	3609	TOWN OR VILLAGE
KochGrunberg-1914-809-160	160	Home	Heimat	Lar	2406	HOME
KochGrunberg-1914-809-161	161	Your home	deine Heimat	Seu lar		
KochGrunberg-1914-809-162	162	House	Haus	Casa	1252	HOUSE
KochGrunberg-1914-809-163	163	Entrance	Eingang	Entrada		
KochGrunberg-1914-809-164	164	Exit	Ausgang	Saída		
KochGrunberg-1914-809-165	165	Trapdoor	Falltür	Alçapão		
KochGrunberg-1914-809-166	166	Buttress posts	Strebepfosten	Contraforte		
KochGrunberg-1914-809-167	167	Wall (of house)	Wand	Parede	933	WALL (OF HOUSE)
KochGrunberg-1914-809-168	168	Horizontal battens that hold the paxiúbal batts of the wall together in the middle	Horizontallatten, die die Paxiúbalatten der Wand in der Mitte zusammenhalten			
KochGrunberg-1914-809-169	169	Beams that sit on the paxiúbalatten on the wall and support the roof	Balken, die auf den Paxiúbalatten der Wand aufsitzen und das Dach tragen			
KochGrunberg-1914-809-170	170	Sloping rafters	Schräge Dachsparren	Caibros inclinados		
KochGrunberg-1914-809-171	171	Roof cladding made from leaves of the caraná palm tree	Dachbekleidung aus Blättern der Caraná Palme	Revestimento do telhado feito de folhas de caraná		
KochGrunberg-1914-809-172	172	Horizontal barriers to which these caraná leaves are attached	Horizontalsperren, an denen diese Caraná Blätter befestigt sind	Barreiras horizontais onde essas folhas de caraná são conectadas		
KochGrunberg-1914-809-173	173	Chimney	Rauchfang	Chaminé	1305	CHIMNEY
KochGrunberg-1914-809-174	174	Planting	Pflanzung	Plantio		
KochGrunberg-1914-809-175	175	Torch	Fackel	Tocha	1919	TORCH
KochGrunberg-1914-809-176	176	Yeast	Hefen	Levedura	967	YEAST
KochGrunberg-1914-809-177	177	Storage place in forest (l. g .. mitasáua)	Lagerplatz in Walde (l. g.. mitasáua)	Local para armazenar coisas na floresta		
KochGrunberg-1914-809-178	178	Scaffolding in the house to put things on or hang on	Gerüst im Haus, um Sachen darauf zu legen oder daran zu hängen	Plataforma na casa para colocar ou pendurar coisas		
KochGrunberg-1914-809-179	179	Stool	Sitzschemel	Banco	2058	STOOL
KochGrunberg-1914-809-180	180	Curauá fiber	Curauáfasern	Fibra de carauá		
KochGrunberg-1914-809-181	181	Hammock	Hängmatte	Rede	2019	HAMMOCK
KochGrunberg-1914-809-182	182	Cotton hammock	Hängematte aus Baumwolle	Rede de algodão		
KochGrunberg-1914-809-183	183	Hammock ropes	Hängemattenstricke	Corda da rede		
KochGrunberg-1914-809-184	184	Cotton	Baumwolle	Algodão	1850	COTTON
KochGrunberg-1914-809-185	185	Cloth	Tuch	Tecido	1616	CLOTH
KochGrunberg-1914-809-186	186	Carrying basket of women	Tragkorb der Weiber	Cesto de carga para mulheres		
KochGrunberg-1914-809-187	187	Men's carrying basket to get coca leaves	Tragbkorb der Männer um Coca-Blätter zu holen	Cesto de carga para homens coletarem folhas de coca		
KochGrunberg-1914-809-188	188	Hanging basket	Hangkörbchen	Cesto para pendrar		
KochGrunberg-1914-809-189	189	Flat basket for mbeiju etc.	Flacher Korb für Mandiocafladen (Beijús) usw.	Cesto plano para beiju etc.		
KochGrunberg-1914-809-190	190	Large flat fine manioc strainer	Großes, flaches, feines, Mandiocasieb	Coador grande, plano e fino para mandioca		
KochGrunberg-1914-809-191	191	Large flat coarser manioc strainer	Großes, flaches, gröberes Mandocasieb	Coador grande, plano e rústico para mandioca		
KochGrunberg-1914-809-192	192	Flat coarser basket for storing fruits, bulbs etc.	Flacher, grober Korb zum Aufbewahren von Füchten, Knollen usw.	Cesto plano e rústico para armezenar frutas, bulbos etc.		
KochGrunberg-1914-809-193	193	Deep basket for storing farinha (manioc flour)	Tiefer Korb zum Aufbewahren von Farinha (Mandiocamehl)	Cesto fundo para armazenar farinha de mandioca		
KochGrunberg-1914-809-194	194	Cylinder made of tree bark for storing manioc dough	Zylinder aus Baumrinde zum Aufbewahren von Mandiocamasse	Cilindro feito de casca de árvore para armezenar massa de mandioca		
KochGrunberg-1914-809-195	195	Small round very fine sieve to sieve coca powder	Kleines, runder, sehr feines Sieb, um Cocapulver zu sieben.	Peneira pequena, redonda e bem fina para pó de coca		
KochGrunberg-1914-809-196	196	Mat for covering vessels	Matte zum Zudecken von Gefäßen	Tapete para cobrir os recipientes		
KochGrunberg-1914-809-197	197	Braided tube (tipiti) for squeezing the manioc dough	Geflochtener Schlauch (tipiti) zum Auspressen der Mandiocamasse	Tubo transado (tipiti) para espremer a massa da mandioca		
KochGrunberg-1914-809-198	198	Square men's tucum cord bag for small items	Viereckige Tasche der Männer aus Tucumschnüren für Kleinkram	Saco quadrado  masculino de cordão de tucum para itens pequenos		
KochGrunberg-1914-809-199	199	Knitting frame z. manufacture these bags	Strickrahmen z. Verfertigen dieser Taschen			
KochGrunberg-1914-809-200	200	Fire fans	Feuerfächer	Abano		
KochGrunberg-1914-809-201	201	Calabash	Kalabasse	Cabaça	3918	CALABASH
KochGrunberg-1914-809-202	202	Big calabash	große Kalabasse	Cabaça grande		
KochGrunberg-1914-809-203	203	Small calabash for scooping	kleine Kalabasse zum Schöpfen	Cabaça pequena para escavar		
KochGrunberg-1914-809-204	204	Cooking pot	Kochtopf	Panela	3653	COOKING POT
KochGrunberg-1914-809-205	205	Iron saucepan	Eiserner Kochtopf	Panela de ferro		
KochGrunberg-1914-809-206	206	Large kashiri pot	Großer Kaschiritopf	Jarro grande para caxiri		
KochGrunberg-1914-809-207	207	Deep bowl in which you can ferment the manioc	Tiefe Topfschale, in der man Mandiocamasse gären läßt	Tigela funda para fermentar a mandioca		
KochGrunberg-1914-809-208	208	Large flatter saucepan for manicuéra (boiled manioc juice)	Große, flachere Topfschale für Manicuéra (abgekochten Mandiocasaft)	Panela grande mais plana para manicuera		
KochGrunberg-1914-809-209	209	Clay vessel for the drink	Tongefäß für das Getränk	Recipiente de argila para bebidas		
KochGrunberg-1914-809-210	210	Water pot with two handles	Wassertopf mit zwei Henkein	Jarro de água com duas alças		
KochGrunberg-1914-809-211	211	Clay bowl	Tonschale	Tigela de argila 	2055	CLAY POT
KochGrunberg-1914-809-212	212	Bowl for coca	Schale für Coca	Tigela para coca		
KochGrunberg-1914-809-213	213	Clay bowl with foot as handle	Tonschale mit Fuß als Handgriff			
KochGrunberg-1914-809-214	214	Clay	Töpferton	Argila	1399	CLAY
KochGrunberg-1914-809-215	215	Hourglass-shaped frame made of sticks for vessels	Sanduhrförmiges Gestell aus Stäbchen für Gefäße	Moldura com formato de ampulheta feita de gravetos para recipientes		
KochGrunberg-1914-809-216	216	Mortar	Mörser	Pilão	224	MORTAR
KochGrunberg-1914-809-217	217	Pestle	Stössel	Socador (do pilão)	225	PESTLE
KochGrunberg-1914-809-218	218	Stove top	Herdplatte	Chapa, forno para beiju		
KochGrunberg-1914-809-219	219	Earthenware	Tönerne	Louça de barro		
KochGrunberg-1914-809-220	220	Gridiron	Bratrost	Grelha		
KochGrunberg-1914-809-221	221	Manioc grater	Mandiocareibebrett	Ralador de mandioca, ralo de mandioca		
KochGrunberg-1914-809-222	222	Wooden cylinder in which coca is tapped	Holzzylinder, in dem Coca geklopft wird	Cilindro de madeira onde a coca é macerada		
KochGrunberg-1914-809-223	223	Coca hammer	Cocaklopfer	Martelo para coca		
KochGrunberg-1914-809-224	224	Raffia bags for coca	Bastsäckchen für Coca	Sacos de ráfia para coca		
KochGrunberg-1914-809-225	225	Hollow bird bones for sucking coca	Hohler Vogelknochen, um Coca zu saugen	Ossos ocos de ave para sugar coca		
KochGrunberg-1914-809-226	226	Calabash with lid as a coca container	Kalabasse mit Deckel als Cocabehälter	Cabaça com tampa para ser um conteiner de coca		
KochGrunberg-1914-809-227	227	Wooden lid for this calabash	Holzdeckel zu dieser Kalabasse	Tampa de madeira para essa cabaça		
KochGrunberg-1914-809-228	228	Bone spoon used to take coca	Knochenlöffel, mit dem Coca genommen wird	Colher de osso para pegar coca		
KochGrunberg-1914-809-229	229	Axe	Beil	Machado	677	AXE
KochGrunberg-1914-809-230	230	Stone axe	Steinbeil	Machado de pedra		
KochGrunberg-1914-809-231	231	Knife	Messer	Faca	1352	KNIFE
KochGrunberg-1914-809-232	232	Forest knife	Waldmesser	Faca de sobrevivência		
KochGrunberg-1914-809-233	233	Tree	Einbaum	Árvore	906	TREE
KochGrunberg-1914-809-234	234	Rudder	Ruder	Leme	108	RUDDER
KochGrunberg-1914-809-235	235	Grid on the boat for protection against backflow	Lattengitter im Boot Schutzgegen das Kielwasser	Grade de rede no barco para proteção contra o refluxo		
KochGrunberg-1914-809-236	236	Sun canopy (tolda) over the boat	Sonnendach (tolda) über dem Boot	Tolda do barco		
KochGrunberg-1914-809-237	237	Bow	Bogen	Arco	994	BOW
KochGrunberg-1914-809-238	238	Bowstring	Bogensehne	Corda do arco	2119	BOW STRING
KochGrunberg-1914-809-239	239	Arrow	Pfeil	Flecha	977	ARROW
KochGrunberg-1914-809-240	240	Large poisoned arrows for high hunting	Große vergiftete Pfeile für Hochjagd	Flechas grandes envenedadas para caçar		
KochGrunberg-1914-809-241	241	Case for the tips of these poison arrows	Futteral für die Spitzen dieser Giftpfeile	Estojo para as pontas dessas flechas envenenadas		
KochGrunberg-1914-809-242	242	Fish arrow with double iron point	Fischpfeil mit doppelter Eisenspitze	Flecha para peixe com ponta dupla de ferro		
KochGrunberg-1914-809-243	243	Harpoon arrow	Harpunenpfeil	Flecha de arpão		
KochGrunberg-1914-809-244	244	Iron harpoon of this arrow	Eiserne Harpune dieses Pfeils	Arpão de ferro dessa flecha		
KochGrunberg-1914-809-245	245	Tip of the harpoon	Spitze der Harpune	Ponta do arpão		
KochGrunberg-1914-809-246	246	Barb of the tip	Widerhaken der Spitze	Farpa da ponta		
KochGrunberg-1914-809-247	247	Wrap around the top	Umwicklung der Spitze	Invólucro envolta da ponta		
KochGrunberg-1914-809-248	248	Wooden stick into which the harpoon is inserted	Holzastab, in den die Harpune gestecket wird	Graveto de madeira onde o arpão é inserido		
KochGrunberg-1914-809-249	249	Pipe shaft of the harpoon arrow	Rohrschaft des Harpunenpfeils	Tubo da flecha do arpão		
KochGrunberg-1914-809-250	250	Hand end of the tubular shaft	Handende des Rohrschaftes	Final do tubo		
KochGrunberg-1914-809-251	251	Harpoon string	Schnur der Harpune	Corda do arpão		
KochGrunberg-1914-809-252	252	Resin	Pech	Breu	664	RESIN
KochGrunberg-1914-809-253	253	Club	Keule	Clava	1763	CLUB
KochGrunberg-1914-809-254	254	String of the mace	Schnur der Keule	Corda do martelo		
KochGrunberg-1914-809-255	255	Blowgun	Blasrohr	Zarabatana	432	BLOWGUN
KochGrunberg-1914-809-256	256	Blowgun arrow	Blasrohrpfeilchen	Flecha para zarabatana		
KochGrunberg-1914-809-257	257	Mouthpiece of the blowgun	Mundstück des Blasrohres	Bocal da zarabatana		
KochGrunberg-1914-809-258	258	Quiver for the poison arrows	Köcher für die Giftpfeilchen	Aljava de flechas envenenadas		
KochGrunberg-1914-809-259	259	Poison dart	Pfeilgift	Dardo envenenado		
KochGrunberg-1914-809-260	260	Tree silk (samaúma) to wrap arround the blowgun darts	Baumseide (Samaúma) zum Umwickeln der Blasrohrpfeilchen	Tecido de samaúma para enrolar os dardos da zarabatana		
KochGrunberg-1914-809-261	261	Poison lance	Giftlanze	Lança envenenada		
KochGrunberg-1914-809-262	262	Case for the tips of the poison lances	Futteral für die Spitzen der Giftlanzen			
KochGrunberg-1914-809-263	263	Point of the poison lance	Spitze der Giftlanze	Ponta da lança envenenada		
KochGrunberg-1914-809-264	264	Shield	Schild	Escudo	1064	SHIELD
KochGrunberg-1914-809-265	265	War shield	Kriegsschild	Escudo de guerra		
KochGrunberg-1914-809-266	266	Fishnet	Fischnetz	Rede de pesca	388	FISHNET
KochGrunberg-1914-809-267	267	Big trap	Große Reuse	Armadilha grande		
KochGrunberg-1914-809-268	268	Small trap	Kleine Reuse	Armadilha pequena		
KochGrunberg-1914-809-269	269	Fish trap	Fischfalle	Armadilha para peixe	389	FISH TRAP
KochGrunberg-1914-809-270	270	Fishing rod	Angel	Vara de pesca		
KochGrunberg-1914-809-271	271	Fishing line	Angelschnur	Linha de pesca	19	FISHING LINE
KochGrunberg-1914-809-272	272	Gun	Gewehr	Arma de fogo	1566	GUN
KochGrunberg-1914-809-273	273	Gunpowder	Pulver	Pólvora	1798	GUNPOWDER
KochGrunberg-1914-809-274	274	Shot	Schrot	Tiro		
KochGrunberg-1914-809-275	275	Hip cord	Hüftschnur	Cordão da cintura		
KochGrunberg-1914-809-276	276	Man's loincloth	Schambinde des Mannes	Tanga masculina		
KochGrunberg-1914-809-277	277	Woman's loincloth	Schamschurz der Frau	Tanga feminina		
KochGrunberg-1914-809-278	278	Wide raffia belt (men's costume)	Breiter Bastgürtel (Tracht der Männer)	Cinto largo de ráfia (traje masculino)		
KochGrunberg-1914-809-279	279	Bracelets made of raffia (men's costume)	Armbänder aus Bast (Tracht der Männer)	Braceletes feitos de ráfia (traje masculino)		
KochGrunberg-1914-809-280	280	Softer strips of raffia to tie belts and bracelets	Weichere Baststreifen, um Gürtel und Armbänder festzubinden	Pedaços mais maleáveis de ráfia para amarrar cintos e braceletes		
KochGrunberg-1914-809-281	281	Male braid	Männerzopf	Trança masculina		
KochGrunberg-1914-809-282	282	Raffia wrap around the braid	Bastumwicklung des Zopfes	Ráfia enrolada em torno da trança		
KochGrunberg-1914-809-283	283	Mirror	Spiegel	Espelho	1171	MIRROR
KochGrunberg-1914-809-284	284	Needle (for sewing)	Nadel	Agulha	1382	NEEDLE (FOR SEWING)
KochGrunberg-1914-809-285	285	Earring	Ohrring	Brinco	770	EARRING
KochGrunberg-1914-809-286	286	Pearl	Perlen	Pérola	3325	PEARL
KochGrunberg-1914-809-287	287	Box or chest	Koffer	Caixa ou baú	3150	BOX OR CHEST
KochGrunberg-1914-809-288	288	Comb	Kamm	Pente	1475	COMB
