ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE	ENGLISH2	NOTE
Castro-2015-608-74	74	spinach	975	SPINACH	菠菜 	spinach	
Castro-2015-608-75	75	Chinese chives			韭菜 	Chinese chives	
Castro-2015-608-76	76	coriander	3241	CORIANDER	芫荽（香菜） 	coriander	
Castro-2015-608-77	77	mustard	3181	MUSTARD	青菜（芥菜） 	green leaf vegetable (leaf mustard)	
Castro-2015-608-78	78	bean	832	BEAN	豆 	bean	
Castro-2015-608-79	79	pod			豆荚 	bean pod	
Castro-2015-608-80	80	sesame	2797	SESAME	芝麻 	sesame	
Castro-2015-608-81	81	ginger	2500	GINGER	姜 	ginger	
Castro-2015-608-82	82	chilli	919	CHILI PEPPER	辣椒 	chilli pepper	
Castro-2015-608-83	83	pricklyash	3253	PRICKLY ASH	花椒 	pricklyash	
Castro-2015-608-84	84	taro	351	TARO	芋头 	taro	
Castro-2015-608-85	85	mushroom	641	MUSHROOM	菌子 	mushroom, fungus	
Castro-2015-608-86	86	mould	3251	MOLD (GET ROTTEN)	霉 	mould	
Castro-2015-608-87	87	ox	1169	OX	牛（黄牛） 	ox	
Castro-2015-608-88	88	water	948	WATER	水牛 	water buffalo	
Castro-2015-608-89	89	pig	1337	PIG	猪 	pig	
Castro-2015-608-90	90	wildboar	3154	WILD BOAR	野猪 	wild pig, wild boar	
Castro-2015-608-91	91	goat	1502	GOAT	羊（养的） 	goat, sheep (domestic)	
Castro-2015-608-92	92	chicken	1318	CHICKEN	鸡 	chicken	
Castro-2015-608-93	93	young	2513	CHICKEN CHICK	未下蛋的母鸡 	y. chicken	
Castro-2015-608-94	94	duck	1360	DUCK	鸭 	duck	
Castro-2015-608-95	95	goose	1187	GOOSE	鹅 	goose	
Castro-2015-608-96	96	bird	937	BIRD	鸟 	bird	
Castro-2015-608-97	97	dove	1853	DOVE	鸽子 	dove	
Castro-2015-608-98	98	crow	913	CROW	乌鸦 	crow	
Castro-2015-608-99	99	horse	615	HORSE	马 	horse	
Castro-2015-608-100	100	dog	2009	DOG	狗 	dog	
Castro-2015-608-101	101	cat	1208	CAT	猫 	cat	
Castro-2015-608-102	102	tiger	846	TIGER	老虎 	tiger	
Castro-2015-608-103	103	bear	1820	BEAR	熊 	bear	
Castro-2015-608-104	104	rat	1490	RAT	老鼠 	rat, mouse	
Castro-2015-608-105	105	monkey	1350	MONKEY	猴子 	monkey	
Castro-2015-608-106	106	otter	15	OTTER	水獭 	otter	
Castro-2015-608-107	107	pangolin	2508	PANGOLIN	穿山甲 	pangolin	
Castro-2015-608-108	108	porcupine	2510	PORCUPINE	豪猪（箭猪） 	porcupine	
Castro-2015-608-109	109	small frog	3245	FROG (SMALL)	青蛙（小的） 	frog (small)	
Castro-2015-608-110	110	turtle	112	TURTLE	乌龟（水里面） 	turtle	
Castro-2015-608-111	111	river snail			螺蛳 	river snail	
Castro-2015-608-112	112	crab	2348	CRAB	螃蟹 	crab	
Castro-2015-608-113	113	fish	227	FISH	鱼 	fish	
Castro-2015-608-114	114	crucian carp	2784	CRUCIAN CARP	鲫鱼 	crucian carp	
Castro-2015-608-115	115	shrimp	2686	CRUSTACEANS (PRAWNS OR SHRIMP)	虾 	shrimp	
Castro-2015-608-116	116	insect	620	INSECT	虫 	insect	
Castro-2015-608-117	117	fly	1504	FLY (INSECT)	苍蝇 	fly	
Castro-2015-608-118	118	butterfly	1791	BUTTERFLY	蝴蝶 	butterfly	
Castro-2015-608-119	119	bee	665	BEE	蜜蜂 	bee	
Castro-2015-608-120	120	wasp, hornet	1517	WASP	黄蜂（通称） 	hornet (general word)	
Castro-2015-608-121	121	ant	587	ANT	蚂蚁 	ant	
Castro-2015-608-122	122	locust	810	LOCUST	蝗虫（蚂蚱） 	locust	
Castro-2015-608-123	123	field cricket	2354	CRICKET	蟋蟀 	field cricket	
Castro-2015-608-124	124	grasshopper	607	GRASSHOPPER	蚱蜢（扁担勾） 	grasshopper (long legs)	
Castro-2015-608-125	125	mantis			螳螂 	mantis	
Castro-2015-608-126	126	centipede	1974	CENTIPEDE	蜈蚣 	centipede	
Castro-2015-608-127	127	body louse	311	BODY LOUSE	虱子（身上的） 	louse (on body / in clothes; NOT on head)	
Castro-2015-608-128	128	head louse	310	HEAD LOUSE	虱子（头上的） 	louse (in hair)	
Castro-2015-608-129	129	bedbug	1949	BEDBUG	臭虫（家里） 	bedbug	
Castro-2015-608-130	130	stink bug			臭虫（山上） 	smelly bug (outdoors)	
Castro-2015-608-131	131	flea	232	FLEA	跳蚤 	flea	
Castro-2015-608-132	132	maggot	2640	LARVA	蛆 	maggot	
Castro-2015-608-133	133	worm	1219	WORM	蚯蚓 	worm	
Castro-2015-608-134	134	leech	949	WATER LEECH	蚂蝗 	leech	
Castro-2015-608-135	135	snake	730	SNAKE	蛇 	snake	
Castro-2015-608-136	136	dragon	2038	DRAGON	龙 	dragon	
Castro-2015-608-137	137	gills	1916	GILL	鱼鳃 	gills	
Castro-2015-608-138	138	scales	266	SCALE	鱼鳞 	scales	
Castro-2015-608-139	139	horn	1393	HORN (ANATOMY)	角（牛角） 	horn	
Castro-2015-608-140	140	wing	1257	WING	翅膀 	wing	
Castro-2015-608-141	141	feather	1201	FEATHER	羽毛 	feather	
Castro-2015-608-142	142	egg	744	EGG	蛋 	egg	
Castro-2015-608-143	143	claw	72	CLAW	爪 	claw	
Castro-2015-608-144	144	tail	1220	TAIL	尾巴 	tail	
Castro-2015-608-145	145	head	1256	HEAD	头 	head	
Castro-2015-608-146	146	head hair	2648	HAIR (HEAD)	头发 	hair (on head)	
Castro-2015-608-147	147	fine body hair	189	HAIR (BODY)	寒毛 	hair (fine hair on human body)	
Castro-2015-608-148	148	forehead	123	FOREHEAD	额头 	forehead	
Castro-2015-608-149	149	face	1560	FACE	脸 	face	
Castro-2015-608-150	150	cheeks	1730	CHEEK	脸颊 	cheeks	
Castro-2015-608-151	151	eye	1248	EYE	眼睛 	eye	
Castro-2015-608-152	152	ear	1247	EAR	耳 	ear	
Castro-2015-608-153	153	nose	1221	NOSE	鼻子 	nose	
Castro-2015-608-154	154	nasal mucus	208	NASAL MUCUS (SNOT)	鼻涕 	nasal mucus, snot	
Castro-2015-608-155	155	mouth	674	MOUTH	嘴巴 	mouth	
Castro-2015-608-156	156	saliva	1503	SALIVA	口水 	saliva	
Castro-2015-608-157	157	tongue	1205	TONGUE	舌头 	tongue	
Castro-2015-608-158	158	tooth	1380	TOOTH	牙齿 	tooth	
Castro-2015-608-159	159	beard	678	BEARD	胡须 	beard	
Castro-2015-608-160	160	neck	1333	NECK	脖子 	neck	
Castro-2015-608-161	161	shoulder	1482	SHOULDER	肩膀 	shoulder	
Castro-2015-608-162	162	arm	1673	ARM	胳膊 	arm	
Castro-2015-608-163	163	armpit	1886	ARMPIT	腋下 	armpit	
Castro-2015-608-164	164	hand	1277	HAND	手 	hand	
Castro-2015-608-165	165	palm	1183	PALM OF HAND	手掌 	palm	
Castro-2015-608-166	166	fist	1473	FIST	拳 	fist	
Castro-2015-608-167	167	fingernail	1258	FINGERNAIL	指甲 	fingernail	
Castro-2015-608-168	168	chest	1592	CHEST	胸脯 	chest	
Castro-2015-608-169	169	navel	1838	NAVEL	肚脐 	navel	
Castro-2015-608-170	170	breast	1592	CHEST	乳房 	breast	
Castro-2015-608-171	171	leg	1297	LEG	腿 	leg	
Castro-2015-608-172	172	knee	1371	KNEE	膝盖 	knee	
Castro-2015-608-173	173	foot	1301	FOOT	脚 	foot	
Castro-2015-608-174	174	bone	1394	BONE	骨头 	bone	
Castro-2015-608-175	175	spine	805	SPINE	脊骨 	spine (= back-bone)	
Castro-2015-608-176	176	rib	801	RIB	肋骨 	rib	
Castro-2015-608-177	177	skin	763	SKIN	皮 	skin	
Castro-2015-608-178	178	heart	1223	HEART	心脏 	heart	
Castro-2015-608-179	179	lungs	688	LUNG	肺脏 	lungs	
Castro-2015-608-180	180	liver	1224	LIVER	肝脏 	liver	
Castro-2015-608-181	181	pancreas	3252	PANCREAS	胰脏 	pancreas	
Castro-2015-608-182	182	belly	1251	BELLY	肚子 	belly	
Castro-2015-608-183	183	intestines	1991	INTESTINES	肠子 	intestines	
Castro-2015-608-184	184	body	1480	BODY	身体 	body	
Castro-2015-608-185	185	blood	946	BLOOD	血 	blood	
Castro-2015-608-186	186	excrement	675	FAECES (EXCREMENT)	屎 	excrement	
Castro-2015-608-187	187	urine	1142	URINE	尿 	urine	
Castro-2015-608-188	188	meat	634	MEAT	肉 	meat	
Castro-2015-608-189	189	oil	1484	OIL (ORGANIC SUBSTANCE)	油 	oil	
Castro-2015-608-190	190	salt	1274	SALT	盐 	salt	
Castro-2015-608-191	191	tea	1373	TEA	茶 	tea	
Castro-2015-608-192	192	liquor	842	LIQUOR	酒 	liquor	
Castro-2015-608-193	193	sticky rice dumpling			粽子 	sticky rice dumpling	
Castro-2015-608-194	194	congee	2049	CONGEE	粥 	rice porridge, congee	
Castro-2015-608-195	195	dipping sauce			蘸水 	dipping sauce (for hotpot etc.)	
Castro-2015-608-196	196	odour	2938	FLAVOR	气味（味道） 	smell, odour, aroma	
Castro-2015-608-197	197	chopsticks	1987	CHOPSTICKS	筷子 	chopsticks	
Castro-2015-608-198	198	bowl	1530	BOWL	碗 	small bowl	
Castro-2015-608-199	199	dish	481	DISH	碟子（浅的） 	dish, plate (shallow)	
Castro-2015-608-200	200	cup	476	CUP	杯 	cup	
Castro-2015-608-201	201	spoon	1378	SPOON	汤匙（用来喝汤的） 	spoon (for drinking soup)	
Castro-2015-608-202	202	wok	2056	WOK	锅（炒菜锅） 	wok, pan, pot	
Castro-2015-608-203	203	wok stand			锅架（三脚架） 	wok stand (tripod)	
Castro-2015-608-204	204	rice steamer			甑子 	rice steamer	
Castro-2015-608-205	205	winnowing fan	2051	DUSTPAN	簸箕 	winnowing basket, winnowing fan	
Castro-2015-608-206	206	knife	1352	KNIFE	刀 	knife	
Castro-2015-608-207	207	scissors	356	SHEARS	剪刀 	scissors	
Castro-2015-608-208	208	axe	677	AXE	斧头 	axe	
Castro-2015-608-209	209	sickle	341	SICKLE	镰刀 	sickle, scythe	
Castro-2015-608-210	210	hoe	284	HOE	锄头 	hoe	
Castro-2015-608-211	211	longbow	994	BOW	弓 	bow (long-bow)	
Castro-2015-608-212	212	crossbow	3193	CROSSBOW	弩 	crossbow	
Castro-2015-608-213	213	arrow	977	ARROW	箭 	arrow	
Castro-2015-608-214	214	end, tip A	2992	TIP (OF OBJECT)	末端（树梢）A 	end, tip (e.g. tree top) A	
Castro-2015-608-215	215	end, tip B	2992	TIP (OF OBJECT)	末端（树梢）B 	end, tip (e.g. tree top) B	
Castro-2015-608-216	216	yoke	14	YOKE	轭（牛轭） 	yoke	
Castro-2015-608-217	217	shoulder pole			扁担 	shoulder pole	
Castro-2015-608-218	218	well	954	WELL	井 	well	
Castro-2015-608-219	219	straw drying mat			席子（草做的） 	straw drying mat	
Castro-2015-608-220	220	bamboo mat	3240	BAMBOO MAT	席子（竹子做的） 	bamboo mat	
Castro-2015-608-221	221	quilt	2048	QUILT	被子（棉被） 	quilt, blanket	
Castro-2015-608-222	222	table	1775	TABLE	桌子 	table	
Castro-2015-608-223	223	stool	2058	STOOL	凳子 	stool, bench	
Castro-2015-608-224	224	book	963	BOOK	书，字 	book, writing	
Castro-2015-608-225	225	Dwa festival			端节（过端） 	Duan festival	
Castro-2015-608-226	226	drum	908	DRUM	鼓 	drum	
Castro-2015-608-227	227	gong	2502	GONG	锣 	gong	
Castro-2015-608-228	228	bronze drum			铜鼓 	bronze drum	
Castro-2015-608-229	229	top (game)			陀螺 	top (game)	
Castro-2015-608-230	230	coop			圈（鸡圈） 	coop (chicken coop)	
Castro-2015-608-231	231	lair, burrow	2949	LAIR	窝（老鼠住的） 	a hole in the ground for some animals to live	
Castro-2015-608-232	232	room	1450	ROOM	房间（房圈） 	small room	
Castro-2015-608-233	233	toilet	219	TOILET	厕所 	toilet	
Castro-2015-608-234	234	wall(wooden)			墙壁（木房的） 	wall (in a wooden house)	
Castro-2015-608-235	235	door	1567	DOOR	门 	door	
Castro-2015-608-236	236	key	1472	KEY	钥匙 	key	
Castro-2015-608-237	237	tile			瓦 	tile	
Castro-2015-608-238	238	net	2963	NET	渔网 	net	
Castro-2015-608-239	239	rope	1218	ROPE	绳子 	rope	
Castro-2015-608-240	240	cloth	1616	CLOTH	布 	cloth	
Castro-2015-608-241	241	cloth in loom			布（在织布机里，还没织完） 	cloth (still being woven in loom, not finished yet)	
Castro-2015-608-242	242	clothes	1895	CLOTHES	衣服 	clothes	
Castro-2015-608-243	243	hat	771	HAT	帽子 	hat	
Castro-2015-608-244	244	bamboo hat	2160	BAMBOO HAT	斗笠 	bamboo hat	
Castro-2015-608-245	245	glove	867	GLOVE	手套 	glove	
Castro-2015-608-246	246	socks	1522	SOCK	袜子 	socks	
Castro-2015-608-247	247	kerchief	1020	HANDKERCHIEF	帕 	hankerchief	
Castro-2015-608-248	248	medicine	1372	MEDICINE	药 	medicine	
Castro-2015-608-249	249	strength	202	STRENGTH	力量 	strength	
Castro-2015-608-250	250	money	1559	MONEY	钱 	money	
Castro-2015-608-251	251	village	930	VILLAGE	村寨 	village	
Castro-2015-608-252	252	place	723	PLACE (POSITION)	地区 	place	
Castro-2015-608-253	253	vehicle	2549	VEHICLE	车 	vehicle	
Castro-2015-608-254	254	boat	1844	BOAT	船（小） 	boat (small)	
Castro-2015-608-255	255	lograft	1664	RAFT	木筏 	log-raft	
Castro-2015-608-256	256	road	2457	PATH OR ROAD	路 	road	
Castro-2015-608-257	257	footprint	318	FOOTPRINT	脚印（印迹） 	footprint, trace	
Castro-2015-608-258	258	home	2406	HOME	家 	home, household	
Castro-2015-608-259	259	garden	586	GARDEN	园（菜园） 	vegetable plot, garden	
Castro-2015-608-260	260	shadow	1388	SHADE	影子 	shadow	
Castro-2015-608-261	261	dream	2374	DREAM	梦 	dream	
Castro-2015-608-262	262	ghost	53	SPIRIT	鬼（鬼神） 	ghost, god (a "large" spirit - can possess people etc.)	
Castro-2015-608-263	263	person	683	PERSON	人 	person	
Castro-2015-608-264	264	father	1217	FATHER	父亲 	father	
Castro-2015-608-265	265	mother	1216	MOTHER	母亲 	mother	
Castro-2015-608-266	266	maternal uncle (elder)	3249	MATERNAL UNCLE (MOTHER'S OLDER BROTHER)	大舅（妈之兄） 	uncle	
Castro-2015-608-267	267	maternal uncle (younger)	3250	MATERNAL UNCLE (MOTHER'S YOUNGER BROTHER)	小舅（妈之弟） 	uncle	
Castro-2015-608-268	268	maternal aunt			舅母（妈之姐） 	mother's older sister or older brother's wife	
Castro-2015-608-269	269	grand-father	1383	GRANDFATHER	爷爷 	grandfather	
Castro-2015-608-270	270	grand-mother	1496	GRANDMOTHER	奶奶 	grandmother	
Castro-2015-608-271	271	husband	1200	HUSBAND	丈夫 	husband	
Castro-2015-608-272	272	wife	1199	WIFE	妻子 	wife	
Castro-2015-608-273	273	son-in-law	1056	SON-IN-LAW	女婿 	son-in-law	
Castro-2015-608-274	274	daughter-in-law	1057	DAUGHTER-IN-LAW	媳妇（儿媳） 	daughter-in-law, wife	
Castro-2015-608-275	275	son	1620	SON	儿子 	son	
Castro-2015-608-276	276	daughter	1357	DAUGHTER	女儿 	daughter	
Castro-2015-608-277	277	grandchild	1617	GRANDCHILD	孙子 	grandchild	
Castro-2015-608-278	278	elder brother	1759	OLDER BROTHER	哥哥 	elder brother	
Castro-2015-608-279	279	elder sister	1758	OLDER SISTER	姐姐 	elder sister	
Castro-2015-608-280	280	younger siblings	427	YOUNGER SIBLING	弟或妹 	younger sibling	
Castro-2015-608-281	281	child, whelp	3254	YOUNG ANIMAL	崽 	young animal, whelp	
Castro-2015-608-282	282	guest	1782	GUEST	客人 	guest	
Castro-2015-608-283	283	friend	1325	FRIEND	朋友 	friend	
Castro-2015-608-284	284	Han			汉族（或外来人） 	Han, outsider	
Castro-2015-608-285	285	Sui			水族 	Shui	
Castro-2015-608-286	286	Miao			苗族 	Miao	
Castro-2015-608-287	287	Yao			瑶族 	Yao	
Castro-2015-608-288	288	Bouyei			布依族 	Buyi	
Castro-2015-608-289	289	Kam			侗族 	Dong	
Castro-2015-608-290	290	hunchback	99	HUNCHBACK	驼背 	hunchback	
Castro-2015-608-291	291	name	1405	NAME	名字 	name	
Castro-2015-608-292	292	to eat	1336	EAT	吃 	to eat	
Castro-2015-608-293	293	to drink	1401	DRINK	喝 	to drink	
Castro-2015-608-294	294	to feed	739	FEED	喂（喂小孩） 	to feed (a child)	
Castro-2015-608-295	295	to raise	501	LIFT	养（养鸡） 	to raise	
Castro-2015-608-296	296	to hatch	3116	HATCH (OUT)	孵 	to hatch	
Castro-2015-608-297	297	to lick	319	LICK	舔 	to lick	
Castro-2015-608-298	298	to rinse out			漱口 	to rinse out (one's mouth)	
Castro-2015-608-299	299	to buy	1869	BUY	买 	to buy	
Castro-2015-608-300	300	to sell	1571	SELL	卖 	to sell	
Castro-2015-608-301	301	to count	1420	COUNT	数 	to count	
Castro-2015-608-302	302	to get	694	GET	得（获得） 	to get, to gain	
Castro-2015-608-303	303	to pick up	371	PICK UP	捡 	to pick up	
Castro-2015-608-304	304	to catch	702	CATCH	捉（捉鱼） 	to catch (a fish)	
Castro-2015-608-305	305	to throw away			扔 	to throw away, to discard	
Castro-2015-608-306	306	to exchange	2509	EXCHANGE	换（交换） 	to change, to exchange, to swap	
Castro-2015-608-307	307	to give	1447	GIVE	给 	to give	
Castro-2015-608-308	308	to borrow	1823	BORROW	借 	to borrow	
Castro-2015-608-309	309	to steal	713	STEAL	偷 	to steal	
Castro-2015-608-310	310	to lose	1660	LOSE	丢（丢失） 	to lose, to misplace	
Castro-2015-608-311	311	to pull A	1455	PULL	拉（人） 	to drag, to pull	
Castro-2015-608-312	312	to pull B	1455	PULL	拉（东西在地上） 	to drag, to pull	
Castro-2015-608-313	313	to pull up (sleeves)			拉上（裤筒, 袖子） 	to pull up (trouser legs, sleevesː pull all the way up)	
Castro-2015-608-314	314	to roll up (sleeves)			挽起（裤筒，袖子） 	to roll up (trouser legs, sleeves)	
Castro-2015-608-315	315	to roll up (cloth)			卷起 	to roll up (paper, cloth, etc.)	
Castro-2015-608-316	316	to move	765	MOVE	动 	to move	
Castro-2015-608-317	317	to go	695	GO	去 	to go	
Castro-2015-608-318	318	to come out	1107	GO OUT	出（小鸡从鸡蛋里出来） 	to come out	
Castro-2015-608-319	319	to arrive	1387	ARRIVE	到 	to arrive	
Castro-2015-608-320	320	to come	1446	COME	来 	to come	
Castro-2015-608-321	321	to walk	1443	WALK	走（路） 	to walk	
Castro-2015-608-322	322	to go for a walk	2890	WALK (TAKE A WALK)	散步 	to go for a walk	
Castro-2015-608-323	323	to have fun	3239	AMUSE ONESELF (HAVE FUN)	玩 	to have fun	
Castro-2015-608-324	324	to ascend	705	GO UP (ASCEND)	上（上坡） 	to ascend, to climb, to get on (a bus)	
Castro-2015-608-325	325	to descend	2014	GO DOWN (DESCEND)	下（下坡） 	to descend, to come down	
Castro-2015-608-326	326	to climb	1102	CLIMB	爬（爬山） 	to climb	
Castro-2015-608-327	327	to cross, pass	1951	PASS	过（经过） 	to pass, to go by, to cross	
Castro-2015-608-328	328	to chase, pursue	1047	PURSUE	追 	to chase, pursue	
Castro-2015-608-329	329	to trip in a hole			陷脚 	to step into a hole or depression and fall, to trip	
Castro-2015-608-330	330	to ride	367	RIDE	骑 	to ride (a horse, a bicycle)	
Castro-2015-608-331	331	to kick	1135	KICK	踢（如用力踢开门） 	to kick	
Castro-2015-608-332	332	to fall	1280	FALL	落（掉） 	to fall, to drop	
Castro-2015-608-333	333	to sit	1416	SIT	坐 	to sit	
Castro-2015-608-334	334	to kneel	66	KNEEL	跪 	to kneel	
Castro-2015-608-335	335	to stand up	570	STAND UP	站 	to stand (up)	
Castro-2015-608-336	336	to rest against			靠 	to lean on (one object resting against a fixed object)	
Castro-2015-608-337	337	to lean on each other			靠（靠在一起，支撑） 	to rest on (two objects leaning against each other)	
Castro-2015-608-338	338	to rest upon			置（被支撑） 	to rest upon (e.g. a stick resting on two objects to hold it up)	
Castro-2015-608-339	339	to sleep	1585	SLEEP	睡 	to sleep	
Castro-2015-608-340	340	to rest	168	REST	歇 	to take a rest (for a short length of time)	
Castro-2015-608-341	341	to wake up	1602	WAKE UP	醒 	to wake up	
Castro-2015-608-342	342	to get up	1512	RISE (ONESELF)	起来（起床） 	to rise, to get up	
Castro-2015-608-343	343	to bathe	138	BATHE	洗澡 	to bathe	
Castro-2015-608-344	344	to swim	1439	SWIM	游泳 	to swim	
Castro-2015-608-345	345	to dive	119	DIVE	潜水 	to dive	
Castro-2015-608-346	346	to sink	1088	SINK (DESCEND)	沉 	to sink	
Castro-2015-608-347	347	to fly	1441	FLY (MOVE THROUGH AIR)	飞 	to fly	
Castro-2015-608-348	348	to wash (hands)	1453	WASH	洗（脸） 	to wash (hands, dishes)	
Castro-2015-608-349	349	to wash (clothes)	2503	LAUNDER	洗（衣服） 	to wash (clothes)	
Castro-2015-608-350	350	to plough	1921	PLOUGH	犁（田） 	to plough	
Castro-2015-608-351	351	to pull up (weeds)			薅 	to pull up (weeds)	
Castro-2015-608-352	352	to dig up			挖（从地里挖出土豆） 	to dig (a potato out of the ground)	
Castro-2015-608-353	353	to cut	1432	CUT	割（草） 	to cut (grass with a sickle), to mow	
Castro-2015-608-354	354	to sharpen	251	SHARPEN (SOMETHING)	磨（刀） 	to sharpen	
Castro-2015-608-355	355	to dye	157	DYE	染 	to dye	
Castro-2015-608-356	356	to listen	1608	LISTEN	听 	to listen	
Castro-2015-608-357	357	to hear	1408	HEAR	听见 	to hear	
Castro-2015-608-358	358	to consider	1415	THINK (REFLECT)	思考，想 	to think, to consider	
Castro-2015-608-359	359	to miss (sb.)	2328	MISS (SOMEBODY)	挂念 	to miss (someone), to worry about (sb. who is absent)	
Castro-2015-608-360	360	to look	1819	LOOK	看 	to look	
Castro-2015-608-361	361	to seek	1468	LOOK FOR	寻找 	to look for, to search	
Castro-2015-608-362	362	to see	1409	SEE	看见 	to see	
Castro-2015-608-363	363	to come across	719	FIND	遇，遇见 	to bump into, to come across	
