ID	NUMBER	ENGLISH	LEXIBANK_GLOSS	RUSSIAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Daniel-2021-160-34	34	copper	the copper	медь	1825	COPPER
Daniel-2021-160-35	35	corpse	the corpse	труп	767	CORPSE
Daniel-2021-160-36	36	cross	the cross	крест	1367	CROSS
Daniel-2021-160-37	37	cup	the cup	чашка	476	CUP
Daniel-2021-160-38	38	debt	the debt	долг	1914	DEBT
Daniel-2021-160-39	39	drum	the drum	барабан	908	DRUM
Daniel-2021-160-40	40	duck	the duck	утка	1360	DUCK
Daniel-2021-160-41	41	dust	the dust	пыль	2	DUST
Daniel-2021-160-42	42	earring	the earring	серьга, сережка	770	EARRING
Daniel-2021-160-43	43	egg	the egg	яйцо	744	EGG
Daniel-2021-160-44	44	fairy tale	the fairy tale	сказка	2937	FAIRY TALE
Daniel-2021-160-45	45	family	the family	семья	194	FAMILY
Daniel-2021-160-46	46	felt	the felt	войлок	325	FELT
Daniel-2021-160-47	47	fermented drink	the fermented drink	буза	404	ALCOHOL (FERMENTED DRINK)
Daniel-2021-160-48	48	firewood	the firewood	дрова, топливо	10	FIREWOOD
Daniel-2021-160-49	49	fish	the fish	рыба	227	FISH
Daniel-2021-160-50	50	fist	the fist	кулак	1473	FIST
Daniel-2021-160-51	51	flour	the flour	мука (пшеничная)	1594	FLOUR
Daniel-2021-160-52	52	flower	the flower	цветок	239	FLOWER
Daniel-2021-160-53	53	footprint	the footprint	след (ноги)	318	FOOTPRINT
Daniel-2021-160-54	54	fork	the fork	вилка	1302	FORK
Daniel-2021-160-55	55	pitchfork	the fork(2)/pitchfork	вилы	337	PITCHFORK
Daniel-2021-160-56	56	friend	the friend	друг, приятель	1325	FRIEND
Daniel-2021-160-57	57	frog	the frog	лягушка	503	FROG
Daniel-2021-160-58	58	garden	the garden	сад	586	GARDEN
Daniel-2021-160-59	59	glass	the glass	стекло	604	GLASS
Daniel-2021-160-60	60	gold	the gold	золото	1369	GOLD
Daniel-2021-160-61	61	goose	the goose	гусь	1187	GOOSE
Daniel-2021-160-62	62	grape	the grape	виноград	920	GRAPE
Daniel-2021-160-63	63	grasshopper	the grasshopper	кузнечик	607	GRASSHOPPER
Daniel-2021-160-64	64	guest	the guest	гость	1782	GUEST
Daniel-2021-160-65	65	gun	the gun	ружьё	1566	GUN
Daniel-2021-160-66	66	hammer	the hammer	молоток	1481	HAMMER
Daniel-2021-160-67	67	hare	the hare	заяц	1190	HARE
Daniel-2021-160-68	68	herd	the herd	стадо (овец)	2939	FLOCK (OF ANIMALS)
Daniel-2021-160-69	69	iron	the iron	железо	621	IRON
Daniel-2021-160-70	70	joke	the joke	шутка	3425	JOKE
Daniel-2021-160-71	71	lead	the lead	свинец (из чего пули)	627	LEAD (CHEMICAL ELEMENT)
Daniel-2021-160-72	72	lightning	the lightning	молния	1654	LIGHTNING
Daniel-2021-160-73	73	lion	the lion	лев	1386	LION
Daniel-2021-160-74	74	lip	the lip	губа	478	LIP
Daniel-2021-160-75	75	lizard	the lizard	ящерица	632	LIZARD
Daniel-2021-160-76	76	lock	the lock	замок (навесной)	1596	LOCK
Daniel-2021-160-77	77	maize/corn	the maize/corn	кукуруза	506	MAIZE
Daniel-2021-160-78	78	medicine	the medicine	лекарство	1372	MEDICINE
Daniel-2021-160-79	79	melon	the melon	дыня	507	MELON
Daniel-2021-160-80	80	mirror	the mirror	зеркало	1171	MIRROR
Daniel-2021-160-81	81	money	the money	деньги	1559	MONEY
Daniel-2021-160-82	82	mortar	the mortar(2)	известковый раствор	1731	MORTAR BINDER
Daniel-2021-160-83	83	mule	the mule	мул	890	MULE
Daniel-2021-160-84	84	mushroom	the mushroom	гриб	641	MUSHROOM
Daniel-2021-160-85	85	nail	the nail	гвоздь	502	NAIL (TOOL)
Daniel-2021-160-86	86	needle	the needle(1)	игла	1382	NEEDLE (FOR SEWING)
Daniel-2021-160-87	87	neighbour	the neighbour	сосед	1332	NEIGHBOUR
Daniel-2021-160-88	88	nest	the nest	гнездо	539	NEST
Daniel-2021-160-89	89	nettle	the nettle	крапива	33	NETTLE
Daniel-2021-160-90	90	oats	the oats	овёс (чем кормят лошадей)	60	OAT
Daniel-2021-160-91	91	orphan	the orphan	сирота	1149	ORPHAN
Daniel-2021-160-92	92	owl	the owl	сова	735	OWL
Daniel-2021-160-93	93	paint	the paint	краска	647	PAINT (PIGMENTS)
Daniel-2021-160-94	94	paper	the paper	бумага	648	PAPER
Daniel-2021-160-95	95	partridge	the partridge	куропатка	3681	PARTRIDGE
Daniel-2021-160-96	96	pea	the pea	горох	2025	PEA
Daniel-2021-160-97	97	pear	the pear	груша	922	PEAR
Daniel-2021-160-98	98	pencil	the pencil	карандаш	2578	PENCIL
Daniel-2021-160-99	99	pepper	the pepper	перец (черный)	1385	PEPPER
Daniel-2021-160-100	100	pig	the pig	свинья	1337	PIG
Daniel-2021-160-101	101	pipe	the pipe	трубка курительная	1124	PIPE
Daniel-2021-160-102	102	plum	the plum	слива	4063	PLUM
Daniel-2021-160-103	103	pocket	the pocket	карман	1851	POCKET
Daniel-2021-160-104	104	poison	the poison	яд	655	POISON
Daniel-2021-160-105	105	price	the price	цена	657	PRICE
Daniel-2021-160-106	106	prison	the prison	тюрьма	1281	PRISON
Daniel-2021-160-107	107	pumpkin or squash	the pumpkin or squash	тыква	864	PUMPKIN
Daniel-2021-160-108	108	reindeer	the reindeer/caribou	олень	1936	DEER
Daniel-2021-160-109	109	rice	the rice	рис	926	RICE
Daniel-2021-160-110	110	ring	the ring	кольцо	1374	RING
Daniel-2021-160-111	111	rope	the rope	веревка	1218	ROPE
Daniel-2021-160-112	112	rosary	the rosary	четки		
Daniel-2021-160-113	113	rust	the rust	ржавчина	3064	RUST
Daniel-2021-160-114	114	sand	the sand	песок (строительный)	671	SAND
Daniel-2021-160-115	115	saw	the saw	пила	1948	SAW
Daniel-2021-160-116	116	scar	the scar	шрам	497	SCAR
Daniel-2021-160-117	117	school	the school	школа	673	SCHOOL
Daniel-2021-160-118	118	scissors	the scissors or shears	ножницы	356	SHEARS
Daniel-2021-160-119	119	scythe	the scythe	коса	20	SCYTHE
Daniel-2021-160-120	120	sea	the sea	море	1474	SEA
Daniel-2021-160-121	121	shadow	the shade or shadow	тень	1388	SHADE
Daniel-2021-160-122	122	shop/store	the shop/store	магазин	746	SHOP
Daniel-2021-160-123	123	sickle	the sickle	серп	341	SICKLE
Daniel-2021-160-124	124	silver	the silver	серебро	759	SILVER
Daniel-2021-160-125	125	slave	the slave	раб	812	SLAVE
Daniel-2021-160-126	126	sledge/sled	the sledge/sled	санки	16	SLED
Daniel-2021-160-127	127	sleeve	the sleeve	рукав	2953	SLEEVE
Daniel-2021-160-128	128	soap	the soap	мыло	788	SOAP
Daniel-2021-160-129	129	song	the song	песня	1096	SONG
Daniel-2021-160-130	130	soup	the soup	суп	1547	SOUP
Daniel-2021-160-131	131	spade	the spade	лопата	1176	SPADE
Daniel-2021-160-132	132	spider	the spider	паук	843	SPIDER
Daniel-2021-160-133	133	spoon	the spoon	ложка	1378	SPOON
Daniel-2021-160-134	134	sugar	the sugar	сахар	862	SUGAR
Daniel-2021-160-135	135	table	the table	стол	1775	TABLE
Daniel-2021-160-136	136	tail	the tail	хвост	1220	TAIL
Daniel-2021-160-137	137	thief	the thief	вор	1160	THIEF
Daniel-2021-160-138	138	thing	the thing	вещь, предмет	738	THING
Daniel-2021-160-139	139	thread	the thread	нитка	1161	THREAD
Daniel-2021-160-140	140	time	the time	время	892	TIME
Daniel-2021-160-141	141	tobacco	the tobacco	табак	974	TOBACCO
Daniel-2021-160-142	142	tongs	the tongs	щипцы, клещи	272	TONGS
Daniel-2021-160-143	143	towel	the towel	полотенце	1021	TOWEL
Daniel-2021-160-144	144	trousers	the trousers	брюки	809	TROUSERS
Daniel-2021-160-145	145	turnip	the turnip	репа	3062	TURNIP
Daniel-2021-160-146	146	voice	the voice	голос	1363	VOICE
Daniel-2021-160-147	147	wall	the wall	стена	3830	WALL
Daniel-2021-160-148	148	watermelon	the watermelon	арбуз	2766	WATERMELON
Daniel-2021-160-149	149	wedding	the wedding	свадьба	1259	WEDDING
Daniel-2021-160-150	150	week	the week	неделя	1469	WEEK
Daniel-2021-160-151	151	wheel	the wheel	колесо	710	WHEEL
Daniel-2021-160-152	152	whip	the whip	кнут, хлыст (для лошади)	2630	WHIP
Daniel-2021-160-153	153	widow	the widow	вдова	1756	WIDOW
Daniel-2021-160-154	154	window	the window	окно	1375	WINDOW
Daniel-2021-160-155	155	wine	the wine	вино	1524	WINE
Daniel-2021-160-156	156	wing	the wing	крыло	1257	WING
Daniel-2021-160-157	157	wolf	the wolf	волк	522	WOLF
Daniel-2021-160-158	158	work	the work	работа	984	WORK (LABOUR)
Daniel-2021-160-159	159	worm	the worm	червяк	1219	WORM
Daniel-2021-160-160	160	year	the year	год	1226	YEAR
