ID	NUMBER	RUSSIAN	GLOSS	GERMAN	LATIN	FRENCH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Pallas-1786-441-52	51	Зрѣнïе	sight, seeing (noun)	Sehen	Vißus	Vuë	2519	SEEING (VISUAL SENSE)
Pallas-1786-441-53	52	Бидѣть	to see	Sehen	Videre	Voir	1409	SEE
Pallas-1786-441-54	53	Вкусъ	taste (noun)	Geßchmak	Gußtus	Gout	2190	TASTE
Pallas-1786-441-55	54	Обонянïе	smell, olfaction (noun)	Geruch	Olfactus	Odorat	2520	SMELLING (OLFACTORY SENSE)
Pallas-1786-441-56	55	Нюхать	to smell	Riechen	Olfacere	Sentir	1586	SMELL (PERCEIVE)
Pallas-1786-441-57	56	Осязанïе	feeling, sense (noun)	Gefühl	Tactus	Attouchement	2521	FEELING (HAPTIC SENSE)
Pallas-1786-441-58	57	Голосъ	voice (noun)	Stimme	Vox	Voix	1363	VOICE
Pallas-1786-441-59	58	Горовить	to speak	Reden	Loqui	Parler	1623	SPEAK
Pallas-1786-441-60	59	Рѣчъ	talk (noun)	Reden	Oratio	Dißcour	1115	SPEECH
Pallas-1786-441-61	60	Слово	word (noun)	Wort	Verbum	Mot	1599	WORD
Pallas-1786-441-62	61	Имя	name (noun)	Nahme	Nomen	Nom	1405	NAME
Pallas-1786-441-63	62	Кричать	to shout, to cry	Kreißchen	Clamare	Crier	715	SHOUT
Pallas-1786-441-64	63	Крикъ	shout, cry (noun)	Geßchrey	Clamor	Cri	2522	SCREAMING
Pallas-1786-441-65	64	Шумъ	noise (noun)	Geräußch	Strepitus	Bruit	1182	NOISE
Pallas-1786-441-66	65	Вопль	howl (noun)	Geheul	Ululatus	Hurlement	2523	HOWLING
Pallas-1786-441-67	66	Плакать	to cry, to weep (verb)	Weinen	Plorare	Pleurer	1839	CRY
Pallas-1786-441-68	67	Смѣаться	to laugh (verb)	Lachen	Ridere	Rire	1355	LAUGH
Pallas-1786-441-69	68	Пѣть	to sing (verb)	Singen	Cantare	Chanter	1261	SING
Pallas-1786-441-70	69	Чихать	to sneeze (verb)	Nießen	Sternutare	Eternuer	1621	SNEEZE
Pallas-1786-441-71	70	Дрожать	to tremble (verb)	Zittern	Tremere	Trembler	52	SHIVER
Pallas-1786-441-72	71	Пѣть	to sing (verb)	Singen	Cantare	Chanter	1261	SING
Pallas-1786-441-73	72	Стонать	to groan, to moan (verb)	Stoehnen	Sußpirare	Soupirer	716	GROAN
Pallas-1786-441-74	73	Зѣвать	to yawn (verb)	Gaehnen	Oßcitare	Bailler	1028	YAWN
Pallas-1786-441-75	74	Свистать	to whistle (verb)	Pfeiffen	Sibilare	Sifler	1025	WHISTLE
Pallas-1786-441-76	75	Лечь	to lie, to rest (verb)	Liegen	Cubare	Coucher	1411	LIE (REST)
Pallas-1786-441-77	76	Стой	to stand (verb)	Stehe	Sta	Arrête	1442	STAND
Pallas-1786-441-78	77	Итти	to go (verb)	Gehen	Ire	Aller	695	GO
Pallas-1786-441-79	78	Иди	go! (imperative, verb)	Gehe	Ito	Va	695	GO
Pallas-1786-441-80	79	Пади	go away! (imperative, verb)	Gehe-fort	Abi	Va-t-en	1752	LEAVE
Pallas-1786-441-81	80	Спать	to sleep (verb)	Schlafen	Dormire	Dormir	1585	SLEEP
Pallas-1786-441-82	81	Сонъ	sleep (noun)	Schlafen	Somnus	Someil	1585	SLEEP
Pallas-1786-441-83	82	Скакать	to jump (verb)	Springen	Saltare	Sauter	1829	JUMP
Pallas-1786-441-84	83	Держать	to hold (verb)	Halten	Tenere	Tenir	1448	HOLD
Pallas-1786-441-85	84	Бѣжать	to run (verb)	Laufen	Currere	Courir	1519	RUN
Pallas-1786-441-86	85	Плясать	to dance (verb)	Tantzen	Saltare	Dancer	1879	DANCE
Pallas-1786-441-87	86	Любить	to love (verb)	Lieben	Amare	Aimer	923	LOVE
Pallas-1786-441-88	87	Любовь	love (noun)	Liebe	Amor	Amour	923	LOVE
Pallas-1786-441-89	88	Радъ	glad (adjective)	Froh	Laetus	Joyeu	1495	HAPPY
Pallas-1786-441-90	89	Радость	joy (noun)	Freude	Laetitia	Joye	2524	JOY
Pallas-1786-441-91	90	Печаль	grief (noun)	Kummer	Trißtitia	Trißteßße, Chagrin	1668	GRIEF
Pallas-1786-441-92	91	Боль	pain (noun)	Schmertz	Dolor	Douleur	1783	PAIN
Pallas-1786-441-93	92	Трудъ	labor, effort (noun)	Mühe	Labor	Peine	2525	LABOUR (EFFORT)
Pallas-1786-441-94	93	Работа	labor, work (noun)	Arbeit	Labor	Travail	984	WORK (LABOUR)
Pallas-1786-441-95	94	Лѣнь	lazy (noun)	Faul	Piger	Pareßßeu	1564	LAZY
Pallas-1786-441-96	95	Я	I (pronoun)	Ich	Ego	Je	1209	I
Pallas-1786-441-97	96	Ты	thou, you (pronoun)	Du	Tu	Tu	1215	THOU
Pallas-1786-441-98	97	Онъ	he (pronoun)	Er	Ille	Il	1211	HE
Pallas-1786-441-99	98	Мы	we (pronoun)	Wir	Nos	Nous	1212	WE
Pallas-1786-441-100	99	Вы	you (plural, pronoun)	Ihr	Vos	Vous	1213	YOU
Pallas-1786-441-101	100	Они	they (pronoun)	Sie	Illi	Ils	817	THEY
Pallas-1786-441-102	101	Быть	to be (verb)	Seyn	Eßße	Etre	1579	BE
Pallas-1786-441-103	102	Есмь	I am (verb)	Ich bin	Sum	Je ßuis	1579	BE
Pallas-1786-441-104	103	Еси	you are (verb)	Du bißt	Es	Tu es	1579	BE
Pallas-1786-441-105	104	Есть	he is (verb)	Er ißt	Eßt	Il eßt	1579	BE
Pallas-1786-441-106	105	Есъми	we are (verb)	Wir ßind	Sumus	Nous ßommes	1579	BE
Pallas-1786-441-107	106	Есте	you are (verb)	Ihr, Seyd	Eßtis	Vous étes	1579	BE
Pallas-1786-441-108	107	Суть	they are (verb)	Sie ßind	Sunt	Ils ßont	817	THEY
Pallas-1786-441-109	108	Былъ	was (verb)	War	Fuit	Fut	1579	BE
Pallas-1786-441-110	109	Ястй	to eat (verb)	Eßßen	Edere	Manger	1336	EAT
Pallas-1786-441-111	110	Ѣмъ	you eat (verb)	Ißßeßt	Edis	Tu mange	1336	EAT
Pallas-1786-441-112	111	Ѣсть	he eats (verb)	Ißßet	Edit	Il mange	1336	EAT
Pallas-1786-441-113	112	Пить	to drink (verb)	Trinken	Bibere	Boire	1401	DRINK
Pallas-1786-441-114	113	Кормить	to feed (verb)	Naehren	Nutrure	Nourrir	739	FEED
Pallas-1786-441-115	114	Взять	to take (verb)	Nehmen	Sumere	Prendre	1749	TAKE
Pallas-1786-441-116	115	Бить	to beat (verb)	Schlagen	Verberare	Battre	1665	BEAT
Pallas-1786-441-117	116	Носить	to wear (verb)	Tragen	Ferre	Porter	976	WEAR
Pallas-1786-441-118	117	Бросать	to throw (verb)	Werfen	Projicere	Jetter	1456	THROW
Pallas-1786-441-119	118	Драть	to pull (verb)	Reßßen	Lacerare	Dechirer	1455	PULL
Pallas-1786-441-120	119	Лить	to pour (verb)	Gießßen	Fundere	Verßer	1487	POUR
Pallas-1786-441-121	120	Дать	to give (verb)	Geben	Dare	Donner	1447	GIVE
Pallas-1786-441-122	121	Дай	give! (imperative, verb)	Gieb	Da	Donne	1447	GIVE
Pallas-1786-441-123	122	Рѣзать	to cut (verb)	Schneiden	Secare	Couper	1432	CUT
Pallas-1786-441-124	123	Скрыть	to hide (verb)	Verbergen	Occultare	Cacher	2486	HIDE
Pallas-1786-441-125	124	Сила	strength (noun)	Staerke	Vis	Force	202	STRENGTH
Pallas-1786-441-126	125	Мочъ	ability (noun)	Krafft	Potentia	Faculté	2527	ABILITY
Pallas-1786-441-127	126	Власть	power (noun)	Gewalt	Potentia	Pouvoir	2526	POWER
Pallas-1786-441-128	127	Родить	to give birth (verb)	Gebaehren	Parere	Enfanter	1195	GIVE BIRTH
Pallas-1786-441-129	128	Родъ	family (noun)	Geßchlecht	Genus	Famille	194	FAMILY
Pallas-1786-441-130	129	Бракъ	marriage (noun)	Ehe	Matrimonium	Mariage	2432	MARRIAGE
Pallas-1786-441-131	130	Свадба	wedding (noun)	Hochzeit	Nuptiae	Noҫes	1259	WEDDING
Pallas-1786-441-132	131	Вдова	widow (noun)	Wittwe	Vidua	Veuve	1756	WIDOW
Pallas-1786-441-133	132	Жить	to live (verb)	Leben	Vivere	Vivre	1422	BE ALIVE
Pallas-1786-441-134	133	Жизнь	life (noun)	das Leben	Vita	Vie	210	LIFE
Pallas-1786-441-135	134	Тѣло	body (noun)	Leib	Corpus	Corps	1480	BODY
Pallas-1786-441-136	135	Рость	height, size (noun)	Wuchs	Statura	Taille	2528	SIZE (OF PERSON)
Pallas-1786-441-137	136	Духъ	spirit (noun)	Geißt, Duft	Spiritus	Eßprit	53	SPIRIT
Pallas-1786-441-138	137	Душа	soul (noun)	Seele	Anima	Ame	811	SOUL
Pallas-1786-441-139	138	Умереть	to die (verb)	Sterben	Mori	Mourir	1494	DIE
Pallas-1786-441-140	139	Смерть	death (noun)	Tod	Mors	Mort	910	DEATH
Pallas-1786-441-141	140	Старъ	old (adjective)	Alt	Senex	Vieu	2112	OLD (AGED)
Pallas-1786-441-142	141	Молодъ	young (adjective)	Jung	Juvenis	Jeune	1207	YOUNG
Pallas-1786-441-143	142	Велико	big (adjective)	Großs	Magnus	Grand	1202	BIG
Pallas-1786-441-144	143	Мало	small (adjective)	Klein	Parvus	Petit	1246	SMALL
Pallas-1786-441-145	144	Высоко	tall (adjective)	Hoch	Altus	Haut	711	TALL
Pallas-1786-441-146	145	Ниско	low (adjective)	Niedrig	Humilis	Bas	721	LOW
Pallas-1786-441-147	146	Хладъ	frost (cold)	Kaelte	Frigus	Froid	2034	FROST
Pallas-1786-441-148	147	Тепло	warm (adjective)	Warm	Calidus	Chaud	1232	WARM
Pallas-1786-441-149	148	Жарко	hot (adjective)	Heißs	Fervidus	Ardent	1286	HOT
Pallas-1786-441-150	149	Зсравъ	healthy (adjective)	Geßund	Sanus	Sain	1364	HEALTHY
Pallas-1786-441-151	150	Хорошо	good (adjective)	Gut	Bene, Bonus	Bien, Bon	1035	GOOD
Pallas-1786-441-152	151	Благъ	blessed (adjective)	Wohl, Seelig	?	Biènheureu	2529	BLESSED
Pallas-1786-441-153	152	Зло	evil (adjective)	Böße	Sceleratus	Méchant	45	EVIL
Pallas-1786-441-154	153	Дурно	bad (adjective)	Schlecht	Male	Mal	1292	BAD
Pallas-1786-441-155	154	Глупо	stupid (adjective)	Dumm	Stultus	Sot	1518	STUPID
Pallas-1786-441-156	155	Умно	smart (adjective)	Klug	Sapiens	Sage	2530	SMART
Pallas-1786-441-157	156	Лѣпо	beautiful (adjective)	Schoen	Pulcher	Beau	1427	BEAUTIFUL
Pallas-1786-441-158	157	Остро	sharp (adjective)	Scharf	Acutus	Aigû	1396	SHARP
Pallas-1786-441-159	158	Кругло	round (adjective)	Rund	Rotundus	Rond	1395	ROUND
Pallas-1786-441-160	159	Кругъ	circle (noun)	Kreißs	Circulus	Cercle	1467	CIRCLE
Pallas-1786-441-161	160	Шаръ	ball (noun)	Ball	Globus	Coule	1845	BALL
Pallas-1786-441-162	161	Легокъ	light (adjective)	Leicht	Levis	Leger	1052	LIGHT (WEIGHT)
Pallas-1786-441-163	162	Тяжелъ	heavy (adjective)	Schwer	Gravis	Peßant	1210	HEAVY
Pallas-1786-441-164	163	Твердъ	hard (adjective)	Feßt, Hart	Solidus, Durus	Solide, Dur	1884	HARD
Pallas-1786-441-165	164	Крѣпокъ	strong (adjective)	Stark	Fortis	Fort	785	STRONG
Pallas-1786-441-166	165	Слабъ	weak (adjective)	Schwach	Debilis	Faible	1601	WEAK
Pallas-1786-441-167	166	Тонко	thin (adjective)	Dünn	Tenuis	Mince	2305	THIN (OF HAIR AND THREAD)
Pallas-1786-441-168	167	Толсто	fat (adjective)	Dick	Craßßus	Gros	2449	FAT (OF MEAT AND FOOD)
Pallas-1786-441-169	168	Широко	broad (adjective)	Breit	Latus	Large	2531	BROAD
Pallas-1786-441-170	169	Скоро	fast (adjective)	Geßchwind	Celer	Vite	1631	FAST
Pallas-1786-441-171	170	Тихо	quiet (adjective)	Langßam, Still	Lentus, Tranquillus	Lent, Tranquille	1314	QUIET
Pallas-1786-441-172	171	Бѣло	white (adjective)	Weißs	Albus	Blanc	1335	WHITE
Pallas-1786-441-173	172	Черно	black (adjective)	Schwartz	Niger	Noir	163	BLACK
Pallas-1786-441-174	173	Красно	red (adjective)	Roth	Ruber	Rouge	156	RED
Pallas-1786-441-175	174	Зелено	green (adjective)	Grün	Viridis	Verd	1425	GREEN
Pallas-1786-441-176	175	Желто	yellow (adjective)	Gelb	Flavus	Jaune	1424	YELLOW
Pallas-1786-441-177	176	Синiй	blue (adjective)	Blau	Coerulus	Bleu	837	BLUE
Pallas-1786-441-178	177	Солнце	sun (noun)	Sonne	Sol	Soleil	1343	SUN
Pallas-1786-441-179	178	Мѣсяцъ	moon (noun)	Mond	Luna	Lune	1313	MOON
Pallas-1786-441-180	179	Звѣзда	star (noun)	Stern	Stella	Etoile	1430	STAR
Pallas-1786-441-181	180	Небо	sky (noun)	Himmel	Coelum	Ciel	1732	SKY
Pallas-1786-441-182	181	Туманъ	fog (noun)	Nebel	Nebula	Brouillar	249	FOG
Pallas-1786-441-183	182	Облако	cloud (noun)	Wolke	Nubes	Nue	1489	CLOUD
Pallas-1786-441-184	183	Радуга	rainbow (noun)	Regenbogen	Iris	Arc-en-ciel	1733	RAINBOW
Pallas-1786-441-185	184	Лучь	beam (noun)	Strahl	Radius	Rayon	1132	BEAM
Pallas-1786-441-186	185	Воздухъ	air (noun)	Luft	Aër	Air	27	AIR
Pallas-1786-441-187	186	Вѣтрь	wind (noun)	Wind	Ventus	Vent	960	WIND
Pallas-1786-441-188	187	Вѣть	blow (of wind, noun)	Wehen	Ventilare	Venter	175	BLOW (OF WIND)
Pallas-1786-441-189	188	Вихрь	twister, tornado (noun)	Wirbelwind	Turbo	Tourbillon	2532	TORNADO
Pallas-1786-441-190	189	Буря	storm (noun)	Sturm	Procella	Tempête, Ouragan	858	STORM
Pallas-1786-441-191	190	Паръ	vapor (noun)	Dunßt	Vapor	Vapeur	1193	STEAM
Pallas-1786-441-192	191	Дождь	rain (noun)	Regen	Plubia	Pluye	658	RAIN (PRECIPITATION)
Pallas-1786-441-193	192	Роса	dew (noun)	Thau	Ros	Roßée	1977	DEW
Pallas-1786-441-194	193	Градъ	hail (noun)	Hagel	Grando	Grêle	609	HAIL
Pallas-1786-441-195	194	Громъ	thunder	Donner	Tonitru	Tonnere	1150	THUNDER
Pallas-1786-441-196	195	Молнiя	flash (noun)	Blitz	Fulgur	Eclair	2377	FLASH (VERB)
Pallas-1786-441-197	196	Снѣгъ	snow (noun)	Schnee	Nix	Neige	784	SNOW
Pallas-1786-441-198	197	Стужа	cold (noun)	Kaelte	Frigus	Froid	1287	COLD
Pallas-1786-441-199	198	Морозъ	frost (noun)	Froßt	Gelu	Gelée	2034	FROST
Pallas-1786-441-200	199	Ледъ	ice (noun)	Eißs	Glacies	Glace	617	ICE
Pallas-1786-441-201	200	Огонь	fire (noun)	Feuer	Ignis	Feu	221	FIRE
Pallas-1786-441-202	201	Свѣтъ	light (noun)	Licht	Lux	Lumière	630	LIGHT (RADIATION)
Pallas-1786-441-203	202	Тѣнь	shadow (noun)	Schatten	Umbra	Ombre	1388	SHADE
Pallas-1786-441-204	203	Темно	dark (adjective)	Finßter	Tenbrißus	Sombre	706	DARK
Pallas-1786-441-205	204	День	day (noun)	Tag	Dies	Jour	1225	DAY (NOT NIGHT)
Pallas-1786-441-206	205	Ночь	night (noun)	Nacht	Nox	Nuit	1233	NIGHT
Pallas-1786-441-207	206	Утро	morning (noun)	Morgen	Mane	Matin	1339	MORNING
Pallas-1786-441-208	207	Вечеръ	evening (noun)	Abend	Veßpera	Soir	1629	EVENING
Pallas-1786-441-209	208	Востокъ	east (noun)	Oßt, Aufgang	Oriens	Orient	1877	EAST
Pallas-1786-441-210	209	Западъ	west (noun)	Weßt, Niedergang	Occidens	Occident	1817	WEST
Pallas-1786-441-211	210	Севѣръ	north (noun)	Nord, Mitternacht	Septentrio	Septentrion	1598	NORTH
Pallas-1786-441-212	211	Югъ	south (noun)	Süd, Mittag	Meridies	Midi	1595	SOUTH
Pallas-1786-441-213	212	Лѣто	summer (noun)	Somer	Aeßtas	Eté	1342	SUMMER
Pallas-1786-441-214	213	Зима	winter (noun)	Winter	Hyems	Hyver	1471	WINTER
Pallas-1786-441-215	214	Осень	autumn (noun)	Herbßt	Autumnus	Automne	1276	AUTUMN
Pallas-1786-441-216	215	Весна	spring (noun)	Früling	Ver	Printemps	1537	SPRINGTIME
Pallas-1786-441-217	216	Часъ	hour (noun)	Stunde	Hora	Heure	1353	HOUR
Pallas-1786-441-218	217	Семдица	week (noun)	Woche	Hebdomas	Semaine	1469	WEEK
Pallas-1786-441-219	218	Годъ	year (noun)	Jahr	Annus	Année	1226	YEAR
Pallas-1786-441-220	219	Время	time (noun)	Zeit	Tempus	Temps	892	TIME
Pallas-1786-441-221	220	Миръ	earth (noun)	Welt	Mundus	Monde	965	WORLD
Pallas-1786-441-222	221	Земля	earth, soil (noun)	Erde	Terra	Terre	1228	EARTH (SOIL)
Pallas-1786-441-223	222	Вода	water (noun)	Waßßer	Aqua	Eau	948	WATER
Pallas-1786-441-224	223	Море	ocean (noun)	Meer	Mare	Mer	645	OCEAN
Pallas-1786-441-225	224	Рѣка	river (noun)	Flußs	Fluvius	Rivière	666	RIVER
Pallas-1786-441-226	225	Озеро	lake (noun)	See	Lacus	Lac	624	LAKE
Pallas-1786-441-227	226	Волны	wave (noun)	Wellen	Fluctus	Vagues	978	WAVE
Pallas-1786-441-228	227	Островъ	island (noun)	Inßel, Eyland	Inßula	Ißle	622	ISLAND
Pallas-1786-441-229	228	Песокъ	sand (noun)	Sand	Arena (Sabulum)	Sable	671	SAND
Pallas-1786-441-230	229	Глина	clay (noun)	Thon	Argilla	Glaiße	1399	CLAY
Pallas-1786-441-231	230	Пыль	dust (noun)	Staub	Pulvis	Pußière	2	DUST
Pallas-1786-441-232	231	Грязь	dirt, mud (noun)	Koth	Coenum	Boue	25	DIRT
Pallas-1786-441-233	232	Гора	mountain (noun)	Berg	Mons	Montagne	639	MOUNTAIN
Pallas-1786-441-234	233	Берегъ	riverside (noun)	Ufer	Littus	Rive	2533	WATERSIDE
Pallas-1786-441-235	234	Холмъ	hill (noun)	Hügel	Collis	Colline	614	HILL
Pallas-1786-441-236	235	Долъ, долина	valley (noun)	Thal	Vallis	Vallée	921	VALLEY
Pallas-1786-441-237	236	Глубина	depth (noun)	Tiefe	Profunditas	Profondeur	2534	DEPTH
Pallas-1786-441-238	237	Высота	height, altitude (noun)	Hoehe	Altitido	Hauteur	2535	ALTITUDE
Pallas-1786-441-239	238	Ширина	breadth, width (noun)	Breite	Latitudo	Largeur	2536	BREADTH
Pallas-1786-441-240	239	Длина	length (noun)	Laenge	Longitudo	Longueur	2537	LENGTH
Pallas-1786-441-241	240	Дира	hole (noun)	Loch	Foramen	Trou	1667	HOLE
Pallas-1786-441-242	241	Яма	pit (noun)	Grube	Foßßa	Foßße	2539	PIT (POTHOLE)
Pallas-1786-441-243	242	Ровъ	trench (noun)	Graben	Foßßa	Foßßé	2538	TRENCH (FOSSE)
Pallas-1786-441-244	243	Пещера	cave (noun)	Hoehle	Antrum	Antre	1155	CAVE
Pallas-1786-441-245	244	Камень	stone (noun)	Stein	Lapis, Saxum	Pierre	857	STONE
Pallas-1786-441-246	245	Золото	gold (noun)	Gold	Aurum	Or	1369	GOLD
Pallas-1786-441-247	246	Сребро	silver (noun)	Silber	Argentum	Argent	759	SILVER
Pallas-1786-441-248	247	Мѣдь	copper (noun)	Kupfer	Cuprum	Cuivre	1825	COPPER
Pallas-1786-441-249	248	Железо	iron (noun)	Eißen	Ferrum	Fer	621	IRON
Pallas-1786-441-250	249	Олово	tin (noun)	Zinn	Stannum	Etain	893	TIN (METAL)
Pallas-1786-441-251	250	Свинецъ	lead (noun)	Bley	Plumbum	Plomb	627	LEAD (CHEMICAL ELEMENT)
Pallas-1786-441-252	251	Соль	salt (noun)	Saltz	Sal	Sel	1274	SALT
Pallas-1786-441-253	252	Известь	chalk, lime (noun)	Kalk	Calx	Chaux	2540	LIME (MATERIAL)
Pallas-1786-441-254	253	Ядъ	poison (noun)	Gift	Venenum	Poißon	655	POISON
Pallas-1786-441-255	254	Чудо	wonder (noun)	Wunder	Miraculum	Merveille	2541	MIRACLE
Pallas-1786-441-256	255	Зелень	grass (noun)	Gras	Gramen	Verdure	606	GRASS
Pallas-1786-441-257	256	Трава	herbs (noun)	Kraut	Herba	Herbe	2542	HERB
Pallas-1786-441-258	257	Древо	tree (noun)	Baum	Arbor	Arbre	906	TREE
Pallas-1786-441-259	258	Лѣсъ	wood, forest (noun)	Holtz, Wald	Lignum, Sylva	Bois, Forêt	420	FOREST
Pallas-1786-441-260	259	Колъ	stake, pole (noun)	Pfahlu	Palum	Poteau, Pie	281	POST
Pallas-1786-441-261	260	Корень	root (noun)	Wurtzel	Radix	Racine	670	ROOT
Pallas-1786-441-262	261	Пень	stump (of tree, noun)	Stumpf	Caudex	Tronc	1023	STUMP OF TREE
Pallas-1786-441-263	262	Кора	bark (noun)	Rinde	Cortex	Ecorce	1204	BARK
Pallas-1786-441-264	263	Сукъ	branch (noun)	Ast	Ramus	Branche	1531	BRANCH
Pallas-1786-441-265	264	Листъ	leaf (noun)	Blatt	Folium	Feuille	628	LEAF
Pallas-1786-441-266	265	Цвѣтъ	flower (noun)	Blume	Flos	Fleur	239	FLOWER
Pallas-1786-441-267	266	Плодъ	fruit (noun)	Frucht	Fructus	Fruit	1507	FRUIT
Pallas-1786-441-268	267	Сѣмя	seed (noun)	Same	Semen	Graine	714	SEED
Pallas-1786-441-269	268	Ягода	berry (noun)	Beere	Bacca	Baye	904	BERRY
Pallas-1786-441-270	269	Лукъ	onion (noun)	Zwiebel	Bulbus	Oignon	2366	ONION
Pallas-1786-441-271	270	Орѣьъ	nut (noun)	Nußs	Nux	Noix	191	NUT
Pallas-1786-441-272	271	Яблоко	apple (noun)	Apfel	Pomum	Pomme	1320	APPLE
Pallas-1786-441-273	272	Дубъ	oak (noun)	Eiche	Quercus	Chêne	644	OAK
Pallas-1786-441-274	273	Виноградъ	vine (noun)	Weinßtok	Vitis	Vigne	343	VINE
Pallas-1786-441-275	274	Поле	field (noun)	Feld	Campus	Plaine	212	FIELD
Pallas-1786-441-276	275	Пашня	field, acre (noun)	Acker	Ager	Champ	212	FIELD
