ID	NUMBER	ENGLISH	RUSSIAN_COUNTER	GERMAN_COUNTER	ENGLISH_COUNTER	CONCEPTICON_ID	CONCEPTICON_GLOSS	typical_context	role_frame	meaning_list	label_for_url
Hartmann-2013-162-35	35	CLOSE				1046	SHUT	Then man closes the door.	A closes P	New meaning	close
Hartmann-2013-162-36	36	COME				1446	COME	The boy came (to the village).	A comes (to L)	New meaning	come
Hartmann-2013-162-37	37	COME (1)						The boy came.	S comes	Old meaning	come-1
Hartmann-2013-162-38	38	COME (2)	prijti					The boy came to/from the village.	A comes (from/to L)	New meaning	come-2
Hartmann-2013-162-39	39	COOK	gotovitʹ OR varitʹ	kochen (1)	cook	1100	COOK (SOMETHING)	The women cooked the meat.	A cooks P	Extended list	cook
Hartmann-2013-162-40	40	COUGH	kašljatʹ	husten	cough	879	COUGH	The old man coughed.	S coughs	Core list	cough
Hartmann-2013-162-41	41	COUGH AT						The man choughed at my face.	A coughs at P	New meaning	cough-at
Hartmann-2013-162-42	42	COVER	nakrytʹ	zudecken	cover	761	COVER	The woman covered the boy with a blanket.	A covers P (with X)	Core list	cover
Hartmann-2013-162-43	43	CRAM						The boy crammed peanuts into his mouth.	X crams Y into Z	New meaning	cram
Hartmann-2013-162-44	44	CROSS						The boys crossed the road.	X crosses Y	New meaning	cross
Hartmann-2013-162-45	45	CRY		weinen	cry	1839	CRY	The baby is crying.	S cries	Old meaning	cry
Hartmann-2013-162-46	46	CRY ABOUT						The woman cries about her loss.	A cries about X	New meaning	cry-about
Hartmann-2013-162-47	47	CUT	rezatʹ	schneiden	cut	2156	CUT (WITH KNIFE)	The woman cut the bread with a sharp knife.	A cuts P (with I)	Core list	cut
Hartmann-2013-162-48	48	DESERVE						The woman deserves credit.	A deserves P	New meaning	deserve
Hartmann-2013-162-49	49	DIE	umeretʹ	sterben	die	1494	DIE	The snake died.	S dies	Core list	die
Hartmann-2013-162-50	50	DIG	kopatʹ	graben	dig	1418	DIG	The woman is digging for potatoes.	A digs (for X)	Extended list	dig
Hartmann-2013-162-51	51	DO				813	DO	The man did his work.	X does Y	New meaning	do
Hartmann-2013-162-52	52	DREAM				1920	DREAM (SOMETHING)	The woman was dreaming.	E dreams	New meaning	dream
Hartmann-2013-162-53	53	DRESS	odetʹ	anziehen	dress			The mother dressed her daughter	A dresses P	Core list	dress
Hartmann-2013-162-54	54	DRINK				1401	DRINK	The man drank strong coffee.	X drinks Y	New meaning	drink
Hartmann-2013-162-55	55	DRIVE OUT						The man drove out his boat.	A drives P out	New meaning	drive-out
Hartmann-2013-162-56	56	DROP				2866	DROP (SOMETHING)	The girl dropped the cup.	A drops P	New meaning	drop
Hartmann-2013-162-57	57	DROWN	utonutʹ			1904	DROWN	The man drowned in a river.	S drowns	New meaning	drown
Hartmann-2013-162-58	58	DRY				1786	DRY UP	The sun has dried out the ground.	A dries P	New meaning	dry
Hartmann-2013-162-59	59	EAT	estʹ	essen	eat	1336	EAT	The boy ate the fruit.	A eats P	Core list	eat
Hartmann-2013-162-60	60	ENTER				749	ENTER	The man entered (the house).	X enters somewhere	New meaning	enter
Hartmann-2013-162-61	61	FALL	upastʹ	fallen	fall	1280	FALL	The horse fell.	S falls	Old meaning	fall
Hartmann-2013-162-62	62	FEAR	bojatʹsja	Angst haben OR fürchten	fear OR be afraid	1419	FEAR (BE AFRAID)	The man feared the bear.	E fears M	Core list	fear
Hartmann-2013-162-63	63	FEEL COLD	mërznutʹ	kalt sein	feel cold			I'm cold.	S is cold	Core list	feel-cold
Hartmann-2013-162-64	64	FEEL PAIN	boletʹ	weh tun	hurt OR have (a) pain	2561	HURT (SENSE PAIN)	My arm is hurting. =I'm feeling pain in my arm.	E feels pain in M	Core list	feel-pain
Hartmann-2013-162-65	65	FEEL SICK						The boy felt sick.	E feels sick	New meaning	feel-sick
Hartmann-2013-162-66	66	FEEL SLEEPY				3620	SLEEPY	The baby is sleepy.	E feels sleepy	New meaning	feel-sleepy
Hartmann-2013-162-67	67	FELL				355	CUT DOWN	The men felled the tree.	A fells P	New meaning	fell
Hartmann-2013-162-68	68	FILL	napolnitʹ	füllen	fill	2006	FILL	The girl filled the glass with water.	A fills P (with X)	Core list	fill
Hartmann-2013-162-69	69	FOLLOW	sledovatʹ	folgen	follow	1085	FOLLOW	The boys followed the girls.	A follows X	Core list	follow
Hartmann-2013-162-70	70	FRIGHTEN	pugatʹ	erschrecken	frighten OR scare	252	FRIGHTEN	The bear frightened the man.	A frightens P	Core list	frighten
Hartmann-2013-162-71	71	GET		bekommen	get	694	GET	The man got a letter from his friend.	R gets T (from X)	Old meaning	get
Hartmann-2013-162-72	72	GET (= obtain)						The girl got a car.	A gets P	New meaning	get-obtain
Hartmann-2013-162-73	73	GET DRESSED				814	DRESS UP	The little girl got dressed.	S gets gressed.	New meaning	get-dressed
Hartmann-2013-162-74	74	GET EXCITED						The woman got excited.	A got excited	New meaning	get-excited
Hartmann-2013-162-75	75	GIVE	datʹ	geben	give	1447	GIVE	We gave the books to the children.	A gives T to R	Core list	give
Hartmann-2013-162-76	76	GIVE BIRTH				1195	GIVE BIRTH	The woman gave birth to a baby boy.	X gives birth to Y	New meaning	give-birth
Hartmann-2013-162-77	77	GO	idti	gehen	go	695	GO	The woman went to the market.	S goes somewhere (L)	Core list	go
Hartmann-2013-162-78	78	GO WELL						Everything goes well for him.	T goes well for E	New meaning	go-well
Hartmann-2013-162-79	79	GRIND	molotʹ	mahlen	grind	1033	GRIND	The women ground the seeds (with mortar and pestle).	A grinds P (with I)	Extended list	grind
Hartmann-2013-162-80	80	HAVE AN INTUITION						The woman has the intuition that it will rain.	A has the intiontion that P	New meaning	have-an-intuition
Hartmann-2013-162-81	81	HEAR	uslyšatʹ	hören	hear OR listen (to)	1408	HEAR	The boy heard the bear.	E hears M	Extended list	hear
Hartmann-2013-162-82	82	HELP	pomočʹ	helfen	help	1897	HELP	I helped the boys.	A helps X	Core list	help
Hartmann-2013-162-83	83	HIDE	sprjatatʹ	verstecken	hide	602	HIDE (CONCEAL)	The boy hid the frog from his mother.	A hides T (from X)	Core list	hide
Hartmann-2013-162-84	84	HIT	udaritʹ	schlagen	hit	1433	HIT	The boy hit the snake with a stick.	A hits P (with I)	Core list	hit
Hartmann-2013-162-85	85	HUG	obnjatʹ	umarmen	hug	928	EMBRACE	The mother hugged her little boy.	A hugs P	Core list	hug
Hartmann-2013-162-86	86	HUNT (FOR)	oxotitʹsja			1435	HUNT	The man hunts for deer.	X hunts (for) Y	Old meaning	hunt-for
Hartmann-2013-162-87	87	HURT				44	INJURE	The man hurts his hand.	A hurts X	New meaning	hurt
Hartmann-2013-162-88	88	JUMP	prygnutʹ	springen OR hüpfen	jump	1829	JUMP	The girl jumped.	A jumps	Core list	jump
Hartmann-2013-162-89	89	JUMP OVER						The boy jumped over the fence.	A jumps over X	New meaning	jump-over
Hartmann-2013-162-90	90	KILL	ubitʹ	umbringen OR töten	kill	1417	KILL	The man killed his enemy with a club.	A kills P (with I)	Core list	kill
Hartmann-2013-162-91	91	KNOW	znatʹ	kennen	know	2248	KNOW (SOMEBODY)	The girl knew the boy.	A knows P	Core list	know
Hartmann-2013-162-92	92	LAUGH	smejatʹsja	lachen	laugh	1355	LAUGH	The little girl laughed.	S laughs	Core list	laugh
Hartmann-2013-162-93	93	LAUGH ABOUT						The woman laught about the dog.	A laughs about X	New meaning	laugh-about
Hartmann-2013-162-94	94	LEARN				504	LEARN	The girl learnt the song.	A learns P	New meaning	learn
Hartmann-2013-162-95	95	LEAVE	ujti OR uexatʹ	verlassen	leave	1752	LEAVE	The boy left the village.	A left L	Core list	leave
Hartmann-2013-162-96	96	LIKE	nravitʹsja	mögen OR gefallen	like	1117	LIKE	The boy liked his new toy.	E likes M	Core list	like
Hartmann-2013-162-97	97	LISTEN				1608	LISTEN	The boy listened to the music.	E listens to M.	New meaning	listen
Hartmann-2013-162-98	98	LIVE	žitʹ	leben OR wohnen	live	363	DWELL (LIVE, RESIDE)	The old people live in town.	S lives somewhere (L)	Core list	live
Hartmann-2013-162-99	99	LOAD	nagruzitʹ	laden	load	3669	LOAD (SOMETHING)	The farmer loaded hay onto the truck. = The farmer loaded the truck with hay.	A loads T (onto L)	Core list	load
Hartmann-2013-162-100	100	LONG FOR				3473	LONG (FOR SOMETHING)	The teacher longs for coffee.	A longs for P	New meaning	long-for
Hartmann-2013-162-101	101	LOOK AT	smotretʹ	anschauen	look	1819	LOOK	The boy looked at the girl.	A looks at P	Core list	look-at
Hartmann-2013-162-102	102	MAKE		machen	make	734	MAKE	The man made a box out of wood.	A makes P (out of X)	Old meaning	make
Hartmann-2013-162-103	103	MAKE APPEAR						The wizard made a white dove appear.	A makes P appear	New meaning	make-appear
Hartmann-2013-162-104	104	MAKE CLIMB						The man made the monkey climb the wall.	C makes A climb L	New meaning	make-climb
Hartmann-2013-162-105	105	MAKE HUNGRY						The hard work made the men hungry.	M makes E hungry	New meaning	make-hungry
Hartmann-2013-162-106	106	MAKE ONE'S PRESENCE KNOWN						He made his presence known in the province.	S makes one's presence known	New meaning	make-ones-presence-known
Hartmann-2013-162-107	107	MAKE RUN						The girl made the horse run.	A makes P run	New meaning	make-run
Hartmann-2013-162-108	108	MAKE SICK						The cold made the girl sick.	M makes E sick	New meaning	make-sick
Hartmann-2013-162-109	109	MARRY				203	MARRY	The man married the woman.	X marries Y	New meaning	marry
Hartmann-2013-162-110	110	MEET	vstretitʹ	treffen	meet	1831	MEET	The men met the boys.	A meets X	Core list	meet
Hartmann-2013-162-111	111	NAME	nazvatʹ	nennen	call OR name	180	CALL BY NAME	The parents called the baby Anna.	A name X (a) Y	Core list	name
Hartmann-2013-162-112	112	OFFER						The girl offerd her help to a stranger.	X offers Y to Z	New meaning	offer
Hartmann-2013-162-113	113	PEEL	očistitʹ	schälen	peel	275	PEEL	The boy peeled the bark off the stick.	A peels (X off) P	Core list	peel
Hartmann-2013-162-114	114	PLAY	igratʹ (1) OR igratʹ (2)	spielen	play	1413	PLAY	The child is playing.	S plays	Core list	play
Hartmann-2013-162-115	115	POUR	litʹ	gießen	pour	1487	POUR	The man poured water into the glass.	A pours T somewhere (L)	Core list	pour
Hartmann-2013-162-116	116	PROPOSE (a marriage)						The man proposed to the woman.	A proposes to M	New meaning	propose-a-marriage
Hartmann-2013-162-117	117	PUSH	tolknutʹ	stoßen OR schieben OR schubsen	push	1452	PUSH	The boy pushed the girl (into the water).	A pushes P (somewhere (L))	Extended list	push
Hartmann-2013-162-118	118	PUT	položitʹ	stellen OR legen OR setzen	put	998	PUT	I put the cup onto the table.	A puts T somewhere (L)	Core list	put
Hartmann-2013-162-119	119	RAIN	dožd' idët	regnen	rain	1253	RAIN (RAINING)	It rained.	(it) rains	Core list	rain
Hartmann-2013-162-120	120	READ				724	READ	The girl is reading a book.	X reads Y	New meaning	read
Hartmann-2013-162-121	121	REFUSE				49	REFUSE	The old lady refused the man a place to sleep.	X refuses Y Z	New meaning	refuse
Hartmann-2013-162-122	122	REMAIN				987	REMAIN	The woman remained in the village.	A remains in L	New meaning	remain
Hartmann-2013-162-123	123	REMEMBER	zapomnitʹ			707	REMEMBER	She remembered the street.	A remembers X	Old meaning	remember
Hartmann-2013-162-124	124	REST				168	REST	The girl was resting.	X rests	New meaning	rest
Hartmann-2013-162-125	125	ROLL	katitʹsja	rollen	roll	827	ROLL	The ball is rolling.	A rolls	Core list	roll
Hartmann-2013-162-126	126	ROLL (tr)						The child rolls the ball.	A rolls P	New meaning	roll-tr
Hartmann-2013-162-127	127	RUN	bežatʹ	rennen	run	1519	RUN	The horse is running.	A runs	Core list	run
Hartmann-2013-162-128	128	SAY	skazatʹ OR govoritʹ	sagen	say	1458	SAY	"They said ""no"" to me."	"A says ""...""( to X)"	Core list	say
Hartmann-2013-162-129	129	SAY (impersonal)						It says (it) in the article.	S says somewhere (L)	New meaning	say-impersonal
Hartmann-2013-162-130	130	SCREAM	vopit'	schreien	scream			The man screamed.	S screams	Core list	scream
Hartmann-2013-162-131	131	SEARCH FOR	iskatʹ	suchen	search	1468	LOOK FOR	The men searched for the women.	A searches for X	Core list	search-for
Hartmann-2013-162-132	132	SEAT				2878	SEAT (SOMEBODY)	The mother seated her child on the chair.	A seats P (somewhere L)	New meaning	seat
Hartmann-2013-162-133	133	SEE	videtʹ	sehen	see	1409	SEE	The man saw the bear.	E sees M	Core list	see
Hartmann-2013-162-134	134	SEND	poslatʹ	schicken	send	1127	SEND	The girl sent flowers to her grandmother.	A sends T (to X)	Core list	send
Hartmann-2013-162-135	135	SETTLE						The couple settled in a small town.	A settles in L	New meaning	settle
Hartmann-2013-162-136	136	SHAVE (a body part/person)	britʹ	rasieren	shave	231	SHAVE	The man shaved his beard/cut his hair.	A shaves (his beard/hair)	Core list	shave-a-body-part/person
Hartmann-2013-162-137	137	SHAVE (self)						The barber shaved the man.	A shaves P	New meaning	shave-self
Hartmann-2013-162-138	138	SHOUT AT	kričatʹ	anschreien	shout	715	SHOUT	The woman shouted at the children.	A shouts at X	Core list	shout-at
Hartmann-2013-162-139	139	SHOW	pokazatʹ	zeigen	show	1039	SHOW	The girls showed pictures to the teacher.	A shows T (to R)	Core list	show
Hartmann-2013-162-140	140	SING	petʹ	singen	sing	1261	SING	The boy sang (a song).	S sings	Core list	sing
Hartmann-2013-162-141	141	SINK	utonutʹ	sinken	sink	1088	SINK (DESCEND)	The boat sank.	S sinks	Core list	sink
Hartmann-2013-162-142	142	SINK (tr)						The boy sank the paper boat.	A sinks P	New meaning	sink-tr
Hartmann-2013-162-143	143	SIT	sidetʹ	sitzen	sit	1416	SIT	The children sat on the floor.	S sits somewhere (L)	Core list	sit
Hartmann-2013-162-144	144	SIT DOWN	sestʹ	sich hinsetzen	sit down	1649	SIT DOWN	The children sat down on the bench.	S sits down (somewhere (L))	Core list	sit-down
Hartmann-2013-162-145	145	SMELL	njuxatʹ	riechen	smell	1586	SMELL (PERCEIVE)	The bear smelled the boy.	E smells M	Core list	smell
Hartmann-2013-162-146	146	SPEAK				1623	SPEAK	The girl spoke.	X speaks	New meaning	speak
Hartmann-2013-162-147	147	STEAL	ukrastʹ	stehlen	steal	713	STEAL	The thief stole money from the old lady.	A steals T (from X)	Extended list	steal
Hartmann-2013-162-148	148	STUMBLE				3617	STUMBLE	The boy stumbled.	S stumbles	New meaning	stumble
Hartmann-2013-162-149	149	TAKE	vzjatʹ	nehmen	take	1749	TAKE	The man took the money from his friend.	A takes P (from X)	Core list	take
Hartmann-2013-162-150	150	TALK	govoritʹ	sprechen OR reden	talk	2708	TALK	The girl talked to the boy about her dog.	A talks (to X) (about Y)	Core list	talk
Hartmann-2013-162-151	151	TEACH	naučitʹ	beibringen OR lehren	teach	709	TEACH	The old lady taught the girl a song.	A teaches R T	Extended list	teach
Hartmann-2013-162-152	152	TEAR	otorvatʹ	reißen	tear	1735	TEAR (SHRED)	The girl tore the page from the book.	A tears P (from X)	Core list	tear
Hartmann-2013-162-153	153	TELL	skazatʹ	erzählen	tell	1711	TELL	The girl told the boy a funny story.	A tells (X) Y	Core list	tell
Hartmann-2013-162-154	154	THINK	dumatʹ	nachdenken OR denken	think	1415	THINK (REFLECT)	The girl thought about her grandmother yesterday.	A thinks about X	Core list	think
Hartmann-2013-162-155	155	THROW	brositʹ	werfen	throw	1456	THROW	The boy threw the ball into the window.	A throws T somewhere (L)	Core list	throw
Hartmann-2013-162-156	156	TIE	privjazatʹ	anbinden	tie	1917	TIE	The man tied the horse with a rope to the tree.	A ties P (to L) (with I)	Core list	tie
Hartmann-2013-162-157	157	TOUCH	kosnutʹsja	berühren OR anfassen	touch	1892	TOUCH	The boy touched the snake with a stick.	A touches P (with I)	Core list	touch
Hartmann-2013-162-158	158	TWINKLE				2889	TWINKLE	Stars twinkle.	X twinkle	New meaning	twinkle
Hartmann-2013-162-159	159	WANT		wollen	want	1784	WANT	The monkey wanted a banana.	A wants X	Old meaning	want
Hartmann-2013-162-160	160	WASH	mytʹ	waschen	wash	1453	WASH	The mother washed the baby.	A washes P	Core list	wash
Hartmann-2013-162-161	161	WINK				1655	BLINK	The boy winked at his favorite girl.	A winks at X	New meaning	wink
Hartmann-2013-162-162	162	WIPE	vyteretʹ	wischen	wipe	1454	WIPE	The women wiped dirt off the table.	A wipes T (off X)	Extended list	wipe
