ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	WORDPAIR_GLOSS	WORDPAIR	POS	SIMILARITY_SCORE_ARABIC	SIMILARITY_SCORE_CHINESE	SIMILARITY_SCORE_WELSH	SIMILARITY_SCORE_ENGLISH	SIMILARITY_SCORE_ESTONIAN	SIMILARITY_SCORE_FINNISH	SIMILARITY_SCORE_FRENCH	SIMILARITY_SCORE_HEBREW	SIMILARITY_SCORE_POLISH	SIMILARITY_SCORE_RUSSIAN	SIMILARITY_SCORE_SPANISH	SIMILARITY_SCORE_KISWAHILI	SIMILARITY_SCORE_YUE_CHINESE	SIMILARITY_SCORE_MEAN	ARABIC	CHINESE	WELSH	ESTONIAN	FINNISH	FRENCH	HEBREW	POLISH	RUSSIAN	SPANISH	KISWAHILI	YUE_CHINESE
Vulic-2020-3776-18	18	car	1111	CAR	car; cab	word1-18	nouns	4.5	3.454545455	4.1	2.846153846	0	3.2	4	2.7	3.5	2.8	3.8	4.3	4.181818182	3.24020979	سيارة	车	car	autor	auto	voiture	מכונית	samochód	автомобиль	coche	gari	車
Vulic-2020-3776-19	19	bone	1394	BONE	bone; teeth	word1-19	nouns	3.1	0.636363636	0.8	2.076923077	2.1	2	2.9	1.6	2.3	1.3	1.7	0.2	2	1.634440559	عظم	骨头	asgwrn	luu	luu	os	עצם	kość	кость	hueso	mfupa	骨頭
Vulic-2020-3776-20	20	umbrella	3105	UMBRELLA	umbrella; heater	word1-20	nouns	0.2	0.090909091	0	0	0.1	0.1	0.5	1.1	0	0	0.2	0	0.090909091	0.181818182	مظلة	伞	ymbarél	vihmavari	sateenvarjo	parapluie	מטרייה	parasol	зонтик	paraguas	kipasha joto	遮
Vulic-2020-3776-21	21	frustration			frustration; anger	word1-21	nouns	2.4	2.363636364	1.6	4	2.2	2.3	3.7	3.1	4	2	4.5	0.2	4.727272727	2.890909091	إحباط	懊恼	rhwystredigaeth	pettumus	turhautuminen	frustration	תסכול	frustracja	досада	frustración	usumbufu	懊惱
Vulic-2020-3776-22	22	asset			asset; stock	word1-22	nouns	1.4	2.545454545	3.4	3.538461538	2.9	0	4	3	0.2	2.2	2.6	2.9	3.272727273	2.546386946	أصول	资产	ased	vara	etu	actif	נכס	atut	актив	activo	akiba	資產
Vulic-2020-3776-23	23	action			action; course	word1-23	nouns	1.2	0.363636364	0	1.692307692	1.3	0.2	2.6	2	0.9	0.7	1.3	0.4	0.545454545	1.00011655	عمل	行动	gweithred	tegu	toiminta	action	פעולה	akcja	действие	acción	tendo	行動
Vulic-2020-3776-24	24	celebration			celebration; ceremony	word1-24	nouns	4.3	2.272727273	2.1	3.076923077	3.5	4.3	5.3	3.2	5.6	3.8	4.1	5.4	2.636363636	3.773834499	احتفال	庆祝	dathliad	pidustus	juhla	célébration	חגיגה	uroczystość	праздник	celebracion	sherehe	慶祝
Vulic-2020-3776-25	25	essay			essay; homework	word1-25	nouns	1.6	0.909090909	1.8	2.615384615	1.9	2	4.2	1.7	2.4	2.1	3.3	0.3	1.727272727	2.079312354	مقالة	文章	traethawd	essee	essee	dissertation	חיבור	esej	сочинение	ensayo	kazi ya ziada	文章
Vulic-2020-3776-26	26	circumnavigation			circumnavigation; baggage	word1-26	nouns	0.5	0	0	0.153846154	0.9	0.3	1	0.2	0	1	1.1	0	0.454545455	0.425699301	ملاحة دورانية	环球航行	cylchfordaith	ümbermaailmareis	kiertäminen	circumnavigation	הקפת כדור הארץ	opłynięcie	кругосветное плавание	circunnavegación	mzigo	環球航行
Vulic-2020-3776-27	27	mob			mob; crowd	word1-27	nouns	5.8	0.909090909	4.7	4.538461538	5.5	5.2	5.7	4.4	3.7	4	3.2	4.2	0.454545455	3.875174825	حشد	暴民	mob	rahvasumm	joukkio	attroupement	המון	motłoch	орава	populacho	kikundi	暴民
Vulic-2020-3776-28	28	shoulder	1482	SHOULDER	shoulder; head	word1-28	nouns	2.8	0.181818182	0.9	0.923076923	1.1	0.9	2.7	1.4	0.7	0.6	1.5	0.8	0.545454545	1.020862471	كتف	肩	ysgwydd	õlg	olkapää	épaule	כתף	bark	плечо	hombro	bega	肩
Vulic-2020-3776-29	29	archer			archer; pathfinder	word1-29	nouns	0.8	0.272727273	0.1	0.307692308	0.6	0.2	2.2	0.2	1.5	0.6	0.8	0	0.090909091	0.572610723	رامي السهام	射手	saethydd	vibukütt	jousiampuja	archer	קשת	łucznik	лучник	arquero	njia	射手
Vulic-2020-3776-30	30	myth			myth; satire	word1-30	nouns	0.4	0.363636364	0.3	0.153846154	1	0.5	2	1.1	1.8	0.7	2	2.4	0.545454545	1.071911422	أسطورة	神话	chwedl	müüt	myytti	mythe	מיתוס	mit	миф	mito	satire	神話
Vulic-2020-3776-31	31	winner			winner; candidate	word1-31	nouns	2.9	2.181818182	0.8	0.769230769	1.2	1.1	2.6	1.2	0.7	0.8	1.7	1.1	0.818181818	1.247435897	فائز	获胜者	enillydd	võitja	voittaja	vainqueur	מנצח	zwycięzca	победитель	ganador	mshindi	獲勝者
Vulic-2020-3776-32	32	combat			combat; belligerence	word1-32	nouns	3.8	3	2	1.923076923	1.5	1.8	4.6	3.1	2.8	2	3.4	4.1	0.636363636	2.571620047	قتال	战斗	brwydr	lahing	taistelu	combat	קרב	walka	бой	combate	ubishani	戰鬥
Vulic-2020-3776-33	33	door			door; gate	word1-33	nouns	4.2	5.545454545	1.9	2.769230769	3.3	3.3	4.8	4.3	4	3.6	4.9	5.1	5.545454545	4.088344988	باب	门	drws	uks	ovi	porte	דלת	drzwi	дверь	puerta	mlango	門
Vulic-2020-3776-34	34	bowling			bowling; bowler	word1-34	nouns	3.2	1.090909091	1.4	1.153846154	1.5	1.8	1.6	3	1.9	1.9	2.1	2.4	1.727272727	1.797668998	البولينغ	保龄	bowlio	keegel	keilaaminen	bowling	באולינג	kręglarstwo	боулинг	bolos	bowler	保齡球
Vulic-2020-3776-35	35	circumstance			circumstance; situation	word1-35	nouns	3.1	5.181818182	5.3	5.076923077	3.4	4.6	5.2	4.3	4.8	4	5.6	1.7	5.454545455	4.551107226	ظرف	状况	amgylchiad	asjaolu	olosuhde	circonstance	נסיבות	okoliczność	обстоятельство	circunstancia	mazingira	狀況
Vulic-2020-3776-36	36	convocation			convocation; gathering	word1-36	nouns	2.2	2.727272727	0.8	3.846153846	3.4	4.5	3.3	5	5.8	4.4	4.8	4.6	3.090909091	3.855361305	دعوة	大型会议	cyhuddiad	kokkukutsumine	kokous	convocation	עצרת	wiec	собрание	convocatoria	kusanyiko	大型會議
Vulic-2020-3776-37	37	care			care; caution	word1-37	nouns	2.2	3.363636364	3.1	4.076923077	3.7	1.6	5	2.5	2.6	1.8	5.7	0.2	3.909090909	3.129137529	رعاية	注意	gofal	hool	huolenpito	soin	דאגה	troska	забота	cuidado	tahadhari	注意
Vulic-2020-3776-38	38	gravity			gravity; meteor	word1-38	nouns	1.4	0	0.6	0.230769231	0.8	0.2	1.4	1	0.3	0.2	1.4	0	0.545454545	0.556351981	جاذبية	地心引力	disgyrchiant	gravitatsioon	painovoima	gravité	כבידה	grawitacja	сила тяжести	gravedad	meteor	地心吸力
Vulic-2020-3776-39	39	dinner			dinner; chicken	word1-39	nouns	2.5	0.272727273	0.8	0.692307692	0.6	1.3	1.7	0.8	0.4	0.6	1.6	0.5	0.272727273	0.79481352	عشاء	晚餐	cinio	õhtusöök	päivällinen	dîner	סעודה	kolacja	ужин	cena	chakula cha usiku	晚餐
Vulic-2020-3776-40	40	sensor			sensor; radiator	word1-40	nouns	0.8	0.363636364	0.2	0.230769231	0.2	0.1	1	0.8	0.1	0.4	1.2	0.6	0.727272727	0.493473193	مستشعر	传感器	synhwyrydd	andur	sensori	capteur	חיישן	sensor	датчик	sensor	radiator	傳感器
Vulic-2020-3776-41	41	popcorn			popcorn; cinema	word1-41	nouns	2.7	0.454545455	0.7	0.230769231	1.1	0.4	1.8	1	0.4	1.1	2.1	0.1	0.636363636	0.83513986	فشار	爆玉米花	popcorn	popkorn	paukkumaissi	pop-corn	פופקורן	popcorn	попкорн	palomitas de maiz	sinema	爆谷
Vulic-2020-3776-42	42	house	1252	HOUSE	house; apartment	word1-42	nouns	4.8	4.272727273	2.2	2.846153846	1.9	3.5	4	4.4	4.8	4.2	4.1	3.9	4.181818182	3.691724942	بيت	房子	tŷ	maja	talo	maison	בית	dom	дом	casa	nyumba	屋
Vulic-2020-3776-43	43	cent			cent; wife	word1-43	nouns	0.6	0.363636364	0.1	0	0.1	0	0.1	0	0.1	0	0.3	0	0	0.088636364	سنت	一分钱	dimai	sent	sentti	centime	סנט	cent	цент	centavo	senti	一分錢
Vulic-2020-3776-44	44	word	1599	WORD	word; literature	word1-44	nouns	2.5	2	1.3	1.615384615	1.6	0.8	2.3	1.5	2	1.1	2.4	0.6	2.545454545	1.646736597	كلمة	词	gair	sõna	sana	mot	מילה	słowo	слово	palabra	neno	詞
Vulic-2020-3776-45	45	broom	245	BROOM	broom; dust	word1-45	nouns	2.9	0.363636364	0.2	0.230769231	1.1	0.7	2	1.3	0.2	1.3	0.9	0.4	0.909090909	0.800291375	مكنسة	扫帚	ysgubell	luud	luuta	balai	מטאטא	miotła	метла	Escoba	vumbi	掃帚
Vulic-2020-3776-46	46	snowboard			snowboard; skiing	word1-46	nouns	2.7	1.454545455	1.8	1.230769231	2.1	0.8	4	2.8	1.8	2.1	2.6	2.3	0.818181818	1.983624709	لوح ثلج	滑雪板	eirfwrdd	lumelaud	lumilauta	snowboard	סנוברד	snowboard	сноуборд	snowboard	skiing	滑雪板
Vulic-2020-3776-47	47	son	1620	SON	son; father	word1-47	nouns	3.2	0.454545455	0.9	0.615384615	1.8	1.4	2.7	2	1.1	0.9	1.6	0.5	2	1.330827506	إبن	儿子	mab	poeg	poika	fils	בן	syn	сын	hijo	mtoto wa kiume	兒子
Vulic-2020-3776-48	48	seed	714	SEED	seed; mustard	word1-48	nouns	1.8	0.545454545	0.3	0.692307692	1.1	1.1	2.7	1.4	0	1.4	1.8	0.1	1.090909091	1.019055944	بذرة	种子	hedyn	seeme	siemen	graine	גרגיר	nasienie	зерно	semilla	mbegu	種子
Vulic-2020-3776-49	49	cat	1208	CAT	cat; rabbit	word1-49	nouns	2.7	0.545454545	1	0.615384615	1	1.3	1.9	1.3	1.1	0.3	0.9	0.4	1.636363636	0.9997669	قط	猫	cath	kass	kissa	chat	חתול	kot	кот	gato	paka	貓
Vulic-2020-3776-50	50	biologist			biologist; microscope	word1-50	nouns	2.4	0.181818182	0.8	0.153846154	1.2	0.4	2.1	1.1	0.7	1.1	1.3	0.5	0.727272727	0.855244755	عالم أحياء	生物学家	biolegydd	bioloog	biologi	biologiste	ביולוג	biolog	биолог	biólogo	darubini	生物學家
Vulic-2020-3776-51	51	badge			badge; glass	word1-51	nouns	0.7	0.090909091	0	0.076923077	0.3	0	0.5	0.4	0.1	0	0.7	0	0.181818182	0.195804196	شارة	徽章	bathodyn	märk	kunniamerkki	badge	תג	odznaka	значок	placa	glasi	徽章
Vulic-2020-3776-52	52	gossip	3640	GOSSIP	gossip; news	word1-52	nouns	2.7	2.181818182	2.8	2.153846154	2.2	1	4.7	2.2	1.7	2.4	2.1	1.1	0.909090909	2.12039627	نميمة	流言蜚语	clecs	klatš	juoruilu	potin	רכילות	plotka	сплетня	chisme	porojo	流言蜚語
Vulic-2020-3776-53	53	dice			dice; cube	word1-53	nouns	3.9	2.454545455	2.8	1.692307692	2.4	3.2	4.6	4.5	1.4	2.9	3.5	0.9	2.909090909	2.771328671	نرد	骰子	dis	täring	noppa	dé	קוביית משחק	kości	игральная кость	dado	mchemraba	骰子
Vulic-2020-3776-54	54	tower	1671	TOWER	tower; bell	word1-54	nouns	1.5	0.636363636	0.3	0.153846154	1.3	0.5	1.6	1	0.5	0.8	1.7	0.3	0.363636364	0.762820513	برج	塔	twr	torn	torni	tour	מגדל	wieża	башня	torre	mnara	塔
Vulic-2020-3776-55	55	hardware			hardware; case	word1-55	nouns	2.2	0.181818182	0	0.307692308	0.4	0	1.9	0.5	0.5	0.3	0.6	0.1	0.181818182	0.414277389	معدات	硬件	caledwedd	riistvara	laitteisto	matériel	חומרה	narzędzia	аппара́тное обеспече́ние	programa informático	kesi	硬件
Vulic-2020-3776-56	56	god	1944	GOD	god; priest	word1-56	nouns	2	0.272727273	0.8	0.384615385	1.4	0.9	2.1	1.3	0.6	1.1	1.6	0.5	0.636363636	0.966142191	إله	天神	duw	jumal	jumala	dieu	אל	bóg	бог	Dios	mungu	天神
Vulic-2020-3776-57	57	river	666	RIVER	river; valley	word1-57	nouns	3.8	1.727272727	0.9	0.846153846	1.3	0.7	2.2	1.2	0.6	0.7	2.4	0.5	3.363636364	1.369755245	نهر	河	afon	jõgi	joki	rivière	נהר	rzeka	река	río	mto	河
Vulic-2020-3776-58	58	automobile			automobile; car	word1-58	nouns	6	5.818181818	5	5.692307692	5	6	6	5.9	5.4	5.7	5.5	5.8	6	5.650874126	سيارة	车	modur	automobiil	automobiili	automobile	מכונית	automobil	автомобиль	automóvil	gari	車
Vulic-2020-3776-59	59	mother	1216	MOTHER	mother; wife	word1-59	nouns	3.5	2.272727273	1.8	1.769230769	2.3	1.7	3.3	2.5	1.1	1.9	2.1	2.7	2.727272727	2.180769231	أم	母亲	mam	ema	äiti	mère	אמא	matka	мать	madre	mama	母親
Vulic-2020-3776-60	60	tree	906	TREE	tree; maple	word1-60	nouns	3	4.272727273	2.9	2	2.3	3.5	4.7	2.6	2.8	3	3.7	3.1	4.272727273	3.262121212	شجرة	树木	coeden	puu	puu	arbre	עץ	drzewo	дерево	árbol	mti	樹木
Vulic-2020-3776-61	61	rice	926	RICE	rice; boy	word1-61	nouns	0.2	0	0	0	0.1	0	0.1	0.4	0	0	0	0	0.090909091	0.057575758	أرز	米饭	reis	riis	riisi	riz	אורז	ryż	рис	arroz	wali	米飯
Vulic-2020-3776-62	62	guy			guy; stud	word1-62	nouns	2.2	0.818181818	0.6	1.384615385	1.5	1.1	2	1.6	0.8	0.9	0.6	0	3	1.191899767	شاب	家伙	dyn	kutt	heppu	type	בחור	facet	парень	chico	mvulana	傢伙
Vulic-2020-3776-63	63	harbor			harbor; wrapper	word1-63	nouns	0.5	0	0	0	0	0	0.9	1.9	0.1	0.2	0.1	0	0.090909091	0.274242424	مرفأ	港口	harbwr	sadam	satama	port	מחסה	port	убежище	puerto	kanga	港口
Vulic-2020-3776-64	64	intelligence			intelligence; logic	word1-64	nouns	3.4	3.090909091	2	2.692307692	2.3	2.7	3.9	2.7	2.4	2.4	3.4	2.9	2.818181818	2.77511655	ذكاء	智力	deallusrwydd	intelligentsus	älykkyys	intelligence	אינטליגנציה	inteligencja	интеллект	inteligencia	akili	智力
Vulic-2020-3776-65	65	day	1225	DAY (NOT NIGHT)	day; morning	word1-65	nouns	3	5.545454545	1.1	2	1.7	2	3.2	2	2.2	1.3	3.6	0.9	5.181818182	2.560606061	يوم	白天	dydd	päev	päivä	journée	יום	dzień	день	día	mchana	白天
Vulic-2020-3776-66	66	weapon	951	WEAPONS	weapon; helmet	word1-66	nouns	2.1	0.272727273	0.8	0.384615385	0.6	0.4	1.9	1.5	0.6	1.1	1.4	0.4	1.636363636	0.916142191	سلاح	武器	arf	relv	ase	arme	נשק	broń	оружие	arma	helmeti	武器
Vulic-2020-3776-67	67	monastery			monastery; shower	word1-67	nouns	0.4	0	0	0	0.2	0	0.2	0	0	0	0	0	0	0.033333333	دير	修道院	mynachlog	klooster	luostari	couvent	מנזר	klasztor	монастырь	monasterio	shower	修道院
Vulic-2020-3776-68	68	winner			winner; presence	word1-68	nouns	1.3	0	0	0	0.7	0	0.5	0	0.1	0.1	0.4	0.1	0.090909091	0.165909091	فائز	优胜者	enillydd	võitja	voittaja	gagnant	מנצח	zwycięzca	победитель	ganador	mshindi	優勝者
Vulic-2020-3776-69	69	television	1788	TELEVISION	television; cinema	word1-69	nouns	3.7	2.454545455	1.1	1.384615385	2.2	0.8	3.3	2.6	0.9	2.8	2.3	2.9	2.818181818	2.129778555	تلفاز	电视	teledu	televisioon	televisio	télévision	טלויזיה	telewizja	телевидение	televisión	sinema	電視
Vulic-2020-3776-70	70	steak			steak; meat	word1-70	nouns	4.9	4.090909091	3.1	3.384615385	4.2	0.4	4.9	3.5	4	4.2	3.6	4.9	4.181818182	3.704778555	شريحة لحم	牛排	stêc	steik	puhvi	steak	סטייק	stek	стейк	filete	steki	牛扒
Vulic-2020-3776-71	71	piston			piston; engine	word1-71	nouns	1.7	1.181818182	2.6	1.846153846	1.7	1.7	3.2	1.7	2	1.8	2.2	1.4	0.727272727	1.837937063	مكبس	活塞	piston	kolb	mäntä	piston	שסתום	tłok	поршень	pistón	injini	活塞
Vulic-2020-3776-72	72	virus			virus; blood	word1-72	nouns	1	0.181818182	0.6	0.615384615	1.1	0.7	2.1	1.1	0.5	0.8	1.2	0.5	0.545454545	0.828554779	حمة	病毒	firws	viirus	virus	virus	וירוס	wirus	вирус	virus	damu	病毒
Vulic-2020-3776-73	73	man			man; sentry	word1-73	nouns	1.3	2	0.6	0.769230769	1.3	2.2	2.7	0.6	1.1	1.1	0.9	0.7	1	1.247435897	رجل	男人	dyn	mees	mies	homme	גבר	mężczyzna	человек	hombre	mwanaume	男人
Vulic-2020-3776-74	74	sheep			sheep; lamb	word1-74	nouns	4.9	4.363636364	3.3	4.538461538	4	4.3	4.8	3.5	4	3	3.8	3.8	3.727272727	3.927447552	خروف	羊	dafad	lammas	lammas	mouton	כבש	owca	овца	oveja	kondoo	羊
Vulic-2020-3776-75	75	car			car; highway	word1-75	nouns	2.4	0.090909091	0.8	0.307692308	1.1	0.6	2.3	1.4	0.3	1.1	1.4	0.5	0.909090909	0.900641026	سيارة	车	car	auto	auto	voiture	מכונית	samochód	автомобиль	coche	gari	車
Vulic-2020-3776-76	76	endurance			endurance; strength	word1-76	nouns	4.2	2.545454545	4.8	2.846153846	2.7	4	3.5	2.7	2.6	2.8	3	0.1	2.818181818	2.867482517	قدرة التحمل	耐力	dygnwch	vastupidavus	kestävyys	persévérance	סבולת	wytrzymałość	выносливость	resistencia	subira	耐力
Vulic-2020-3776-77	77	entropy			entropy; information	word1-77	nouns	0.4	0.545454545	0.2	0.769230769	1.5	0.2	1.8	1.6	0.2	0.1	0.8	0	0.181818182	0.658041958	قصور	熵	entropi	entroopia	entropia	entropie	אנטרופיה	entropia	энтропия	entropía	habari	熵
Vulic-2020-3776-78	78	noise	1182	NOISE	noise; rattle	word1-78	nouns	4	1	0.6	2.538461538	1.6	0.6	4.5	2.2	3	4.9	3.4	4.3	2.454545455	2.591083916	ضجيج	喧闹声	sŵn	lärm	melu	bruit	רעש	hałas	шум	ruido	kelele	噪聲
Vulic-2020-3776-79	79	money	1559	MONEY	money; salary	word1-79	nouns	4.9	4.272727273	2.9	2.769230769	3.4	2.1	4.5	3.6	3.3	2.8	3.7	3	3.909090909	3.354254079	مال	钱	arian	raha	raha	argent	כסף	pieniądze	деньги	dinero	hela	錢
Vulic-2020-3776-80	80	teacher	1038	TEACHER	teacher; helper	word1-80	nouns	2.7	0.818181818	2.1	2.153846154	1.8	2.2	2.5	1.6	0.3	2.1	1.1	0.6	0.454545455	1.477214452	معلّم	老师	athro	õpetaja	opettaja	enseignant	מורה	nauczyciel	наставник	profesor	mwalimu	老師
Vulic-2020-3776-81	81	author			author; creator	word1-81	nouns	3.9	4	3.1	3.692307692	5.3	3.8	5.1	3.9	5.9	4.5	5.3	2.4	3.636363636	4.219055944	مؤلّف	作者	awdur	autor	tekijä	auteur	מחבר	autor	автор	autor	mtunzi	作者
Vulic-2020-3776-82	82	wallpaper			wallpaper; background	word1-82	nouns	3.3	3	1	3.076923077	2.8	1.6	3.4	3.2	3.2	1.9	1.6	1.7	2.181818182	2.388228438	ورق الحائط	墙纸	papur wal	tapeet	tapetti	papier peint	טפט	tapeta	обои	papel pintado	mandharinyuma	牆紙
Vulic-2020-3776-83	83	beer	1639	BEER	beer; champagne	word1-83	nouns	3.8	2.454545455	1.3	1	1.3	1.2	3.2	2.2	1.4	1.1	1.3	2.9	2.909090909	1.85530303	جعة	啤酒	cwrw	õlu	olut	bière	בירה	piwo	пиво	cerveza	bia	啤酒
Vulic-2020-3776-84	84	capability			capability; competence	word1-84	nouns	4.7	5.090909091	4.1	4.538461538	4.3	4.3	6	4.9	3.5	2.7	3	4.1	4.090909091	4.218356643	قدرة	能力	gallu	võimekus	valmiudet	aptitude	יכולת	zdolność	способность	capacidad	uwezo	能力
Vulic-2020-3776-85	85	hand			hand; wrist	word1-85	nouns	4.1	2	1.6	1.307692308	1.9	2.3	3.3	1.7	1.8	2.3	2.2	0.5	3.454545455	2.03018648	يد	手	llaw	käelaba	käsi	main	יד	ręka	кисть	mano	mkono	手
Vulic-2020-3776-86	86	chapter	835	CHAPTER	chapter; choice	word1-86	nouns	0.5	0.090909091	0	0	0.8	0.2	0.8	0.2	0.3	0.6	0.5	0.1	0.090909091	0.306818182	فصل	章	pennod	peatükk	kappale	chapitre	פרק	rozdział	глава	capítulo	sura	章
Vulic-2020-3776-87	87	august	2851	AUGUST	august; month	word1-87	nouns	4.5	2.5	2.2	2	1.8	2.7	3.3	2.3	2.2	2.7	3	3.1	2.363636364	2.513636364	اب	八月	awst	august	elokuu	août	אוגוסט	sierpień	август	agosto	agosti	八月
Vulic-2020-3776-88	88	course			course; stomach	word1-88	nouns	2	0	0	0	0.1	0	0.2	0	0	0.2	0.1	0.1	0	0.058333333	طبق	课程	cwrs	suund	kurssi	cours	קורס	kurs	курс	curso	njia	課程
