ID	NUMBER	ENGLISH	CROATIAN	DIFFICULTY	DISCRIMINATION	CONCEPTICON_ID	CONCEPTICON_GLOSS
Rogic-2013-346-33	33	hammer	čekić	1.00	-	1481	HAMMER
Rogic-2013-346-34	34	comb	češalj	1.00	-	1475	COMB
Rogic-2013-346-35	35	brush	četka	0.88	0.15	1821	BRUSH
Rogic-2013-346-36	36	boot	čizma	0.94	0.20	585	BOOT
Rogic-2013-346-37	37	man	čovjek	0.68	0.05	683	PERSON
Rogic-2013-346-38	38	binoculars	dalekozor	0.78	0.16		
Rogic-2013-346-39	39	board	daska	0.74	0.39	1227	BOARD
Rogic-2013-346-40	40	camel	deva	1.00	-	1871	CAMEL
Rogic-2013-346-41	41	chimney	dimnjak	0.96	0.18	1305	CHIMNEY
Rogic-2013-346-42	42	boy	dječak	0.98	0.11	1366	BOY
Rogic-2013-346-43	43	girl	djevojčica	0.98	0.15	1646	GIRL
Rogic-2013-346-44	44	rainbow	duga	1.00	-	1733	RAINBOW
Rogic-2013-346-45	45	button	dugme	0.52	-0.11	757	BUTTON
Rogic-2013-346-46	46	dolphin	dupin	0.94	-0.23	1479	DOLPHIN
Rogic-2013-346-47	47	castle	dvorac	0.88	0.00	1938	FORTRESS
Rogic-2013-346-48	48	Eskimo	eskim	0.82	0.36		
Rogic-2013-346-49	49	camera	fotoaparat	0.90	0.03	2618	CAMERA
Rogic-2013-346-50	50	fridge	frižider	0.78	0.09		
Rogic-2013-346-51	51	garage	garaža	0.78	0.21		
Rogic-2013-346-52	52	guitar	gitara	1.00	-	3090	GUITAR
Rogic-2013-346-53	53	earthworm	glista	0.58	-0.06	2350	EARTHWORM
Rogic-2013-346-54	54	globe	globus	0.80	0.26	2588	GLOBE
Rogic-2013-346-55	55	mushroom	gljiva	0.98	0.15	641	MUSHROOM
Rogic-2013-346-56	56	nest	gnijezdo	0.66	0.19	539	NEST
Rogic-2013-346-57	57	rake	grablje	0.96	0.03	338	RAKE
Rogic-2013-346-58	58	city	grad	0.86	0.00	2547	CITY
Rogic-2013-346-59	59	pea	grašak	0.22	0.16	2025	PEA
Rogic-2013-346-60	60	grapes	grožđe	1.00	-	920	GRAPE
Rogic-2013-346-61	61	tire	guma	0.48	-0.08	1996	GET TIRED
Rogic-2013-346-62	62	pirate	gusar	0.82	-0.08	4015	PIRATE
Rogic-2013-346-63	63	caterpillar	gusjenica	0.48	0.29	2247	CATERPILLAR
Rogic-2013-346-64	64	dress	haljina	0.86	0.16	474	DRESS
Rogic-2013-346-65	65	harp	harfa	0.74	0.37	2597	HARP
Rogic-2013-346-66	66	accordion	harmonika	0.96	0.20	2603	ACCORDION
Rogic-2013-346-67	67	helicopter	helikopter	0.96	-0.04	2580	HELICOPTER
Rogic-2013-346-68	68	hydrant	hidrant	0.42	0.28		
Rogic-2013-346-69	69	pants	hlače	0.74	-0.04	809	TROUSERS
Rogic-2013-346-70	70	octopus	hobotnica	0.98	0.09	2581	OCTOPUS
Rogic-2013-346-71	71	needle	igla	0.78	-0.06	1382	NEEDLE (FOR SEWING)
Rogic-2013-346-72	72	x	iks	0.86	0.08		
Rogic-2013-346-73	73	apple	jabuka	0.96	0.05	1320	APPLE
Rogic-2013-346-74	74	strawberry	jagoda	0.94	-0.09	3138	STRAWBERRY
Rogic-2013-346-75	75	egg	jaje	1.00	-	744	EGG
Rogic-2013-346-76	76	jacket	jaketa	0.64	-0.05	2770	JACKET
Rogic-2013-346-77	77	lamb	janje	0.52	0.09	820	LAMB
Rogic-2013-346-78	78	lobster	jastog	0.42	0.27	2397	LOBSTER
Rogic-2013-346-79	79	pillow	jastuk	0.84	-0.14	1044	PILLOW
Rogic-2013-346-80	80	sailboat	jedrilica	0.50	0.17	4026	SAILBOAT
Rogic-2013-346-81	81	deer	jelen	0.94	0.14	1936	DEER
Rogic-2013-346-82	82	helmet	kaciga	1.00	-	1680	HELMET
Rogic-2013-346-83	83	bathtub	kada	0.92	-0.01		
Rogic-2013-346-84	84	belt	kaiš	0.72	0.06	772	BELT
Rogic-2013-346-85	85	cactus	kaktus	1.00	-	2595	CACTUS
Rogic-2013-346-86	86	calendar	kalendar	1.00	-	1967	CALENDAR
Rogic-2013-346-87	87	fireplace	kamin	0.62	0.11	185	FIREPLACE
Rogic-2013-346-88	88	truck	kamion	1.00	-	4011	TRUCK
Rogic-2013-346-89	89	bucket	kanta	0.60	-0.06	2052	BUCKET
Rogic-2013-346-90	90	hat	kapa	1.00	-	771	HAT
Rogic-2013-346-91	91	coat	kaput	0.58	0.29	603	COAT
Rogic-2013-346-92	92	padlock	katanac	0.70	-0.15	336	PADLOCK
Rogic-2013-346-93	93	cage	kavez	0.44	-0.19	3283	CAGE
Rogic-2013-346-94	94	biscuit	keks	0.36	0.14		
Rogic-2013-346-95	95	statue	kip	0.72	0.03	1002	STATUE
Rogic-2013-346-96	96	paintbrush	kist	0.50	-0.15	3094	PAINTBRUSH
Rogic-2013-346-97	97	rain	kiša	0.94	0.02	658	RAIN (PRECIPITATION)
Rogic-2013-346-98	98	umbrella	kišobran	1.00	-	3105	UMBRELLA
Rogic-2013-346-99	99	clown	klaun	0.98	-0.01	4020	CLOWN
Rogic-2013-346-100	100	piano	klavir	0.84	-0.13	3994	PIANO (INSTRUMENT)
Rogic-2013-346-101	101	pliers	kliješta	0.84	0.04	4003	PLIERS
Rogic-2013-346-102	102	kangaroo	klokan	0.98	0.06	164	KANGAROO
Rogic-2013-346-103	103	bench	klupa	0.88	0.26	2584	BENCH
Rogic-2013-346-104	104	key	ključ	1.00	-	1472	KEY
Rogic-2013-346-105	105	book	knjiga	1.00	-	963	BOOK
Rogic-2013-346-106	106	cube	kocka	0.82	0.04		
Rogic-2013-346-107	107	cubes	kocke	0.64	0.04		
Rogic-2013-346-108	108	chicken	kokoš	0.96	0.06	1318	CHICKEN
Rogic-2013-346-109	109	chicken	kokoš	0.40	-0.07	1511	ROOSTER
Rogic-2013-346-110	110	van	kombi	0.56	-0.06		
Rogic-2013-346-111	111	rope	konop	0.78	0.34	1218	ROPE
Rogic-2013-346-112	112	rope	konop	0.46	-0.06		
Rogic-2013-346-113	113	can	konzerva	0.82	0.14	1051	CAN
Rogic-2013-346-114	114	horse	konj	1.00	-	615	HORSE
Rogic-2013-346-115	115	hoof	kopito	0.88	0.12	152	HOOF
Rogic-2013-346-116	116	turtle	kornjača	1.00	-	112	TURTLE
Rogic-2013-346-117	117	hair	kosa	1.00	-	2648	HAIR (HEAD)
Rogic-2013-346-118	118	lawnmower	kosilica	0.94	0.31		
Rogic-2013-346-119	119	bone	kost	0.98	0.03	1394	BONE
Rogic-2013-346-120	120	skeleton	kostur	0.98	0.14	2668	SKELETON
Rogic-2013-346-121	121	basket	košara	0.92	0.07	1539	BASKET
Rogic-2013-346-122	122	shirt	košulja	0.64	0.18	1622	SHIRT
Rogic-2013-346-123	123	wheel	kotač	0.56	0.22	710	WHEEL
Rogic-2013-346-124	124	goat	koza	0.80	0.20	1502	GOAT
Rogic-2013-346-125	125	goat	koza	0.58	0.04		
Rogic-2013-346-126	126	king	kralj	0.98	0.03	1508	KING
Rogic-2013-346-127	127	queen	kraljica	0.92	0.31	1306	QUEEN
Rogic-2013-346-128	128	cow	krava	0.92	0.23	1007	COW
Rogic-2013-346-129	129	tie	kravata	1.00	-	3711	TIE (NOUN)
Rogic-2013-346-130	130	bed	krevet	0.98	-0.01	1663	BED
Rogic-2013-346-131	131	cross	križ	1.00	-	1367	CROSS
Rogic-2013-346-132	132	crocodile	krokodil	0.96	0.08	1857	CROCODILE
Rogic-2013-346-133	133	roof	krov	1.00	-	769	ROOF
Rogic-2013-346-134	134	circle	krug	0.86	0.04	1467	CIRCLE
Rogic-2013-346-135	135	bread	kruh	0.98	0.34	1368	BREAD
Rogic-2013-346-136	136	crown	kruna	0.98	0.03	1943	CROWN (OF HEAD)
Rogic-2013-346-137	137	pear	kruška	1.00	-	922	PEAR
Rogic-2013-346-138	138	house	kuća	0.96	-0.02	1252	HOUSE
Rogic-2013-346-139	139	kitchen	kuhinja	0.92	0.17	1365	KITCHEN
Rogic-2013-346-140	140	corn	kukuruz	0.98	0.30	506	MAIZE
Rogic-2013-346-141	141	cabbage	kupus	0.58	-0.33	774	CABBAGE
Rogic-2013-346-142	142	box	kutija	0.94	0.19	1465	BOX
Rogic-2013-346-143	143	square	kvadrat	0.48	-0.12	850	SQUARE
Rogic-2013-346-144	144	swan	labud	0.92	0.03	2837	SWAN
Rogic-2013-346-145	145	lamp	lampa	0.54	-0.14	625	LAMP
Rogic-2013-346-146	146	chain	lanac	0.98	0.03	1627	CHAIN
Rogic-2013-346-147	147	lion	lav	1.00	-	1386	LION
Rogic-2013-346-148	148	fan	lepeza	0.94	0.06	1971	FAN (OBJECT)
Rogic-2013-346-149	149	butterfly	leptir	1.00	-	1791	BUTTERFLY
Rogic-2013-346-150	150	funnel	lijevak	0.50	0.13	2602	FUNNEL
Rogic-2013-346-151	151	lemon	limun	0.96	0.20	3091	LEMON
Rogic-2013-346-152	152	fox	lisica	0.68	0.05	1312	FOX
Rogic-2013-346-153	153	leaf	list	0.96	0.13	628	LEAF
Rogic-2013-346-154	154	pot	lonac	0.52	-0.01	1462	POT
Rogic-2013-346-155	155	shovel	lopata	1.00	-	1901	SHOVEL
Rogic-2013-346-156	156	ball	lopta	0.64	-0.01	1845	BALL
Rogic-2013-346-157	157	skull	lubanja	0.70	0.13	1605	SKULL
Rogic-2013-346-158	158	pipe	lula	0.98	0.30	1124	PIPE
Rogic-2013-346-159	159	swing	ljuljačka	0.98	0.01	3101	SWING
Rogic-2013-346-160	160	cat	mačka	1.00	-	1208	CAT
Rogic-2013-346-161	161	donkey	magarac	0.50	-0.13	1862	DONKEY
Rogic-2013-346-162	162	magnet	magnet	0.92	0.32		
Rogic-2013-346-163	163	monkey	majmun	0.98	-0.12	1350	MONKEY
Rogic-2013-346-164	164	monkey	majmun	0.48	-0.25	1350	MONKEY
Rogic-2013-346-165	165	queen bee	matica	0.26	0.03		
Rogic-2013-346-166	166	bear	medvjed	0.84	-0.25	1820	BEAR
Rogic-2013-346-167	167	broom	metla	1.00	-	245	BROOM
Rogic-2013-346-168	168	microphone	mikrofon	0.86	0.08	4014	MICROPHONE
Rogic-2013-346-169	169	microscope	mikroskop	0.88	0.04	4016	MICROSCOPE
Rogic-2013-346-170	170	mouse	miš	0.98	0.03	1491	MOUSE
Rogic-2013-346-171	171	mouse	miš	0.68	0.10		
Rogic-2013-346-172	172	moon	mjesec	0.92	-0.12	1313	MOON
Rogic-2013-346-173	173	bride	mlada	0.40	0.16	1266	BRIDE
Rogic-2013-346-174	174	sailor	mornar	0.94	0.40		
Rogic-2013-346-175	175	bridge	most	0.98	-0.06	1011	BRIDGE
Rogic-2013-346-176	176	brain	mozak	0.98	0.30	1583	BRAIN
Rogic-2013-346-177	177	ant	mrav	0.70	0.33	587	ANT
Rogic-2013-346-178	178	carrot	mrkva	0.96	0.13	3085	CARROT
Rogic-2013-346-179	179	fly	muha	0.74	0.31	1504	FLY (INSECT)
Rogic-2013-346-180	180	glasses	naočale	0.90	0.16	1898	SPECTACLES
Rogic-2013-346-181	181	orange	naranča	0.72	0.21	2627	ORANGE (FRUIT)
Rogic-2013-346-182	182	leg	noga	0.88	0.40	1297	LEG
Rogic-2013-346-183	183	nose	nos	1.00	-	1221	NOSE
Rogic-2013-346-184	184	wallet	novčanik	0.84	0.00		
Rogic-2013-346-185	185	knife	nož	1.00	-	1352	KNIFE
Rogic-2013-346-186	186	suit	odijelo	0.94	-0.01	764	SUIT
Rogic-2013-346-187	187	mirror	ogledalo	0.86	-0.12	1171	MIRROR
Rogic-2013-346-188	188	fence	ograda	1.00	-	1690	FENCE
Rogic-2013-346-189	189	necklace	ogrlica	0.70	0.06	1961	NECKLACE
Rogic-2013-346-190	190	eye	oko	1.00	-	1248	EYE
Rogic-2013-346-191	191	pencil	olovka	1.00	-	2578	PENCIL
Rogic-2013-346-192	192	walnut	orah	0.84	0.22	2042	WALNUT
Rogic-2013-346-193	193	eagle	orao	0.70	-0.23	1905	EAGLE
Rogic-2013-346-194	194	sheep	ovca	0.66	0.29	1331	SHEEP
Rogic-2013-346-195	195	parachute	padobran	0.54	-0.08		
Rogic-2013-346-196	196	package	paket	0.80	0.27		
Rogic-2013-346-197	197	thumb	palac	0.70	0.14	1781	THUMB
Rogic-2013-346-198	198	palm tree	palma	0.88	0.10	1181	PALM TREE
Rogic-2013-346-199	199	parrot	papiga	0.86	0.24	882	PARROT
Rogic-2013-346-200	200	paper	papir	0.38	-0.02	648	PAPER
Rogic-2013-346-201	201	fern	paprat	0.40	0.16	3802	FERN
Rogic-2013-346-202	202	pepper	paprika	0.92	0.03	1385	PEPPER
Rogic-2013-346-203	203	dog	pas	1.00	-	2009	DOG
Rogic-2013-346-204	204	duck	patka	0.98	0.14	1360	DUCK
Rogic-2013-346-205	205	spider	pauk	0.98	0.34	843	SPIDER
Rogic-2013-346-206	206	bee	pčela	0.54	-0.19	665	BEE
Rogic-2013-346-207	207	iron	pegla	0.88	-0.17	4031	IRON (PRESSING)
Rogic-2013-346-208	208	trophy	pehar	0.66	0.15		
Rogic-2013-346-209	209	diapers	pelene	0.32	0.02		
Rogic-2013-346-210	210	ashtray	pepeljara	0.82	0.20	4028	ASHTRAY
Rogic-2013-346-211	211	wig	perika	0.86	-0.02		
Rogic-2013-346-212	212	feather	pero	0.96	-0.02	1201	FEATHER
Rogic-2013-346-213	213	saw	pila	0.96	-0.05	1948	SAW
Rogic-2013-346-214	214	tweezers	pinceta	0.94	-0.02		
Rogic-2013-346-215	215	penguin	pingvin	0.96	0.11	2831	PENGUIN
Rogic-2013-346-216	216	clamp	pinjur	0.36	-0.01		
Rogic-2013-346-217	217	pyramid	piramida	1.00	-	2600	PYRAMID
Rogic-2013-346-218	218	letter	pismo	0.82	0.27	1612	LETTER
Rogic-2013-346-219	219	letter	pismo	0.76	0.12		
Rogic-2013-346-220	220	gun	pištolj	0.96	0.06	1566	GUN
Rogic-2013-346-221	221	mountain	planina	0.92	0.13	639	MOUNTAIN
Rogic-2013-346-222	222	tiles	pločice	0.50	-0.12	3404	TILE
Rogic-2013-346-223	223	submarine	podmornica	0.86	0.18	4022	SUBMARINE
Rogic-2013-346-224	224	gift	poklon	0.78	0.23	2982	GIFT
Rogic-2013-346-225	225	slingshot	praćka	0.96	0.20		
Rogic-2013-346-226	226	trailer	prikolica	0.52	-0.18		
Rogic-2013-346-227	227	propeller	propeler	0.46	0.36		
Rogic-2013-346-228	228	window	prozor	0.98	0.10	1375	WINDOW
Rogic-2013-346-229	229	chest	prsa	0.74	0.07	1592	CHEST
Rogic-2013-346-230	230	vest	prsluk	0.64	0.17	3140	VEST
Rogic-2013-346-231	231	finger	prst	0.68	-0.22	1303	FINGER
Rogic-2013-346-232	232	ring	prsten	1.00	-	1374	RING
Rogic-2013-346-233	233	wheat	pšenica	0.34	0.14	1077	WHEAT
Rogic-2013-346-234	234	bird	ptica	0.78	0.10	937	BIRD
Rogic-2013-346-235	235	turkey	puran	0.30	-0.03	2386	TURKEY
Rogic-2013-346-236	236	desert	pustinja	0.74	0.43	3687	DESERT
Rogic-2013-346-237	237	rifle	puška	1.00	-	3881	PISTOL
Rogic-2013-346-238	238	snail	puž	1.00	-	1543	SNAIL
Rogic-2013-346-239	239	cancer	rak	0.84	0.12		
Rogic-2013-346-240	240	rocket	raketa	0.98	0.34		
Rogic-2013-346-241	241	ruler	ravnalo	0.54	0.08	3405	RULER
Rogic-2013-346-242	242	racket	reket	0.86	-0.13	3096	RACKET
Rogic-2013-346-243	243	tail	rep	0.68	0.11	1220	TAIL
Rogic-2013-346-244	244	robot	robot	1.00	-	4006	ROBOT
Rogic-2013-346-245	245	towel	ručnik	0.76	0.10	1021	TOWEL
Rogic-2013-346-246	246	arm	ruka	0.80	0.14	2121	ARM OR HAND
Rogic-2013-346-247	247	glove	rukavica	1.00	-	867	GLOVE
Rogic-2013-346-248	248	backpack	ruksak	0.46	0.11		
Rogic-2013-346-249	249	rose	ruža	0.86	0.15	3882	ROSE
Rogic-2013-346-250	250	saxophone	saksofon	0.46	0.60	4024	SAXOPHONE
Rogic-2013-346-251	251	clock	sat	1.00	-	1323	CLOCK
Rogic-2013-346-252	252	saddle	sedlo	0.96	0.06	3065	SADDLE
Rogic-2013-346-253	253	sandwich	sendvič	1.00	-	4008	SANDWICH
Rogic-2013-346-254	254	anchor	sidro	1.00	-	1870	ANCHOR
Rogic-2013-346-255	255	cheese	sir	1.00	-	1569	CHEESE
Rogic-2013-346-256	256	axe	sjekira	0.88	0.12	677	AXE
Rogic-2013-346-257	257	grasshopper	skakavac	0.90	0.15	607	GRASSHOPPER
Rogic-2013-346-258	258	stairs	skale	0.50	-0.06	34	STAIRS
Rogic-2013-346-259	259	stairs	skale	0.48	0.07		
Rogic-2013-346-260	260	picture	slika	0.98	0.11	3303	PICTURE (PAINTING)
Rogic-2013-346-261	261	elephant	slon	1.00	-	1290	ELEPHANT
Rogic-2013-346-262	262	receiver	slušalica	0.86	0.31		
Rogic-2013-346-263	263	garbage	smeće	0.74	-0.17	909	GARBAGE
Rogic-2013-346-264	264	owl	sova	1.00	-	735	OWL
Rogic-2013-346-265	265	heart	srce	0.98	0.30	1223	HEART
Rogic-2013-346-266	266	tree	stablo	0.90	0.03	906	TREE
Rogic-2013-346-267	267	stand	stalak	0.26	0.02	1442	STAND
Rogic-2013-346-268	268	table	stol	1.00	-	1775	TABLE
Rogic-2013-346-269	269	chair	stolica	0.98	0.03	1476	CHAIR
Rogic-2013-346-270	270	foot	stopalo	0.58	0.27	1301	FOOT
Rogic-2013-346-271	271	arrow	strelica	0.84	-0.06	977	ARROW
Rogic-2013-346-272	272	arrow	strijela	0.76	-0.03	977	ARROW
Rogic-2013-346-273	273	pole	stup	0.94	-0.12	281	POST
Rogic-2013-346-274	274	skirt	suknja	0.72	0.09	1600	SKIRT
Rogic-2013-346-275	275	sun	sunce	1.00	-	1343	SUN
Rogic-2013-346-276	276	tear	suza	0.82	-0.13	1651	TEAR (OF EYE)
Rogic-2013-346-277	277	candle	svijeća	0.88	-0.08	1273	CANDLE
Rogic-2013-346-278	278	pig	svinja	0.66	0.10	1337	PIG
Rogic-2013-346-279	279	lighthouse	svjetionik	0.90	0.10		
Rogic-2013-346-280	280	scarf	šal	0.98	0.15	3066	SCARF OR TURBAN
Rogic-2013-346-281	281	cup	šalica	0.60	0.11	476	CUP
Rogic-2013-346-282	282	tent	šator	1.00	-	1316	TENT
Rogic-2013-346-283	283	hat	šešir	0.92	-0.12	771	HAT
Rogic-2013-346-284	284	bat	šišmiš	0.98	0.34	1793	BAT
Rogic-2013-346-285	285	scissors	škare	0.80	-0.28	356	SHEARS
Rogic-2013-346-286	286	shell	školjka	0.98	0.06	598	SHELL
Rogic-2013-346-287	287	scorpion	škorpion	0.92	0.02	1538	SCORPION
Rogic-2013-346-288	288	tap	špina	0.52	0.02	1488	FAUCET
Rogic-2013-346-289	289	stick	štap	0.94	0.03	1295	STICK
Rogic-2013-346-290	290	stove	štednjak	0.38	0.30	859	STOVE
Rogic-2013-346-291	291	clothespin	štipalica	0.44	0.01		
Rogic-2013-346-292	292	plate	tanjur	0.48	-0.03	480	PLATE
Rogic-2013-346-293	293	pan	tava	0.96	0.28	31	PAN
Rogic-2013-346-294	294	telephone	telefon	1.00	-	1379	TELEPHONE
Rogic-2013-346-295	295	telescope	teleskop	0.58	0.10	4012	TELESCOPE
Rogic-2013-346-296	296	tank	tenk	0.98	-0.12	3102	TANK
Rogic-2013-346-297	297	carpet	tepih	0.48	-0.11	292	RUG
Rogic-2013-346-298	298	thermometer	termometar	0.54	0.18	3104	THERMOMETER
Rogic-2013-346-299	299	tiger	tigar	0.96	0.14	846	TIGER
Rogic-2013-346-300	300	slide	tobogan	0.94	-0.01	1324	SLIP
Rogic-2013-346-301	301	cannon	top	0.92	0.09	3202	CANNON
Rogic-2013-346-302	302	thermometer	toplomjer	0.76	0.12	3104	THERMOMETER
Rogic-2013-346-303	303	bag	torba	0.90	-0.19	2468	BAG
Rogic-2013-346-304	304	totem	totem	0.32	0.30		
Rogic-2013-346-305	305	tractor	traktor	1.00	-		
Rogic-2013-346-306	306	cherry	trešnja	0.70	0.21	2765	CHERRY
Rogic-2013-346-307	307	triangle	trokut	0.98	0.11		
Rogic-2013-346-308	308	seal	tuljan	0.76	0.21	651	SEAL
Rogic-2013-346-309	309	hook	udica	0.84	0.18	1071	HOOK
Rogic-2013-346-310	310	ear	uho	0.94	0.05	1247	EAR
Rogic-2013-346-311	311	vacuum cleaner	usisivač	0.90	0.06		
Rogic-2013-346-312	312	scale	vaga	1.00	-	266	SCALE
Rogic-2013-346-313	313	fire	vatra	0.96	-0.17	221	FIRE
Rogic-2013-346-314	314	firefighter	vatrogasac	0.98	0.34		
Rogic-2013-346-315	315	vase	vaza	0.80	0.19	3746	VASE
Rogic-2013-346-316	316	fan	ventilator	0.88	0.02	1971	FAN (OBJECT)
Rogic-2013-346-317	317	violin	violina	0.78	0.30	4023	VIOLIN
Rogic-2013-346-318	318	hanger	vješalica	0.98	0.03	770	EARRING
Rogic-2013-346-319	319	witch	vještica	0.94	-0.09	824	WITCH
Rogic-2013-346-320	320	windmill	vjetrenjača	0.94	0.30	3841	WINDMILL
Rogic-2013-346-321	321	squirrel	vjeverica	0.98	0.11	1628	SQUIRREL
Rogic-2013-346-322	322	train	vlak	0.90	-0.09	900	TRAIN
Rogic-2013-346-323	323	waterfall	vodopad	0.50	0.25	943	WATERFALL
Rogic-2013-346-324	324	soldier	vojnik	0.78	-0.17	1941	SOLDIER
Rogic-2013-346-325	325	door	vrata	1.00	-	1567	DOOR
Rogic-2013-346-326	326	wolf	vuk	0.68	-0.04	522	WOLF
Rogic-2013-346-327	327	volcano	vulkan	0.98	0.14	2291	VOLCANO
Rogic-2013-346-328	328	flag	zastava	0.78	-0.07	2623	FLAG
Rogic-2013-346-329	329	bowl	zdjela	0.60	0.28	1530	BOWL
Rogic-2013-346-330	330	zebra	zebra	0.86	0.05	3675	ZEBRA
Rogic-2013-346-331	331	rabbit	zec	0.94	0.15	1136	RABBIT
Rogic-2013-346-332	332	wall	zid	0.86	0.42	3830	WALL
Rogic-2013-346-333	333	snake	zmija	1.00	-	730	SNAKE
Rogic-2013-346-334	334	dentures	zubalo	0.54	0.11		
Rogic-2013-346-335	335	dentist	zubar	0.84	0.13	3876	DENTIST
Rogic-2013-346-336	336	star	zvijezda	0.98	-0.06	1430	STAR
Rogic-2013-346-337	337	whistle	zviždaljka	0.92	-0.16	3107	WHISTLE (INSTRUMENT)
Rogic-2013-346-338	338	bell	zvono	0.94	0.20	2246	BELL
Rogic-2013-346-339	339	spinning top	zvrk	0.24	0.15	3996	TOP (TOY)
Rogic-2013-346-340	340	frog	žaba	1.00	-	503	FROG
Rogic-2013-346-341	341	light bulb	žarulja	0.90	0.25		
Rogic-2013-346-342	342	woman	žena	0.62	0.13	962	WOMAN
Rogic-2013-346-343	343	razor blade	žilet	0.42	0.09		
Rogic-2013-346-344	344	acorn	žir	0.80	0.04	968	ACORN
Rogic-2013-346-345	345	giraffe	žirafa	0.94	0.03	3089	GIRAFFE
Rogic-2013-346-346	346	spoon	žlica	0.92	0.17	1378	SPOON
