ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH_FAMILIARITY_MEAN	ENGLISH_FEATURES_TAXONOMIC_SCORE	ENGLISH_FEATURES_FUNCTIONAL_SCORE	ENGLISH_FEATURES_VISUAL_MOTOR_SCORE	ENGLISH_FEATURES_VISUAL_SURFACE_SCORE	ENGLISH_FEATURES_VISUAL_COLOR_SCORE	ENGLISH_FEATURES_AUDITORY_SCORE	ENGLISH_FEATURES_GUSTATORY_SCORE	ENGLISH_FEATURES_OLFACTORY_SCORE	ENGLISH_FEATURES_HAPTIC_SCORE	ENGLISH_FEATURES_ENCYCLOPEDIC_SCORE
McRae-2005-541-171	171	dandelion	1800	DANDELION	6.40	3	0	0	2	2	0	0	0	1	5
McRae-2005-541-172	172	deer	1936	DEER	5.40	4	2	2	7	2	0	0	0	0	3
McRae-2005-541-173	173	desk	1775	TABLE	8.65	1	4	0	7	0	0	0	0	0	4
McRae-2005-541-174	174	dish	481	DISH	8.80	0	3	0	4	1	0	0	0	0	2
McRae-2005-541-175	175	dishwasher			7.30	1	2	0	5	0	1	0	0	0	4
McRae-2005-541-176	176	dog	2009	DOG	8.15	4	1	2	6	0	1	0	0	1	3
McRae-2005-541-177	177	doll	1659	DOLL	7.75	2	4	0	2	0	0	0	0	0	4
McRae-2005-541-178	178	dolphin	1479	DOLPHIN	3.85	3	1	5	2	1	2	0	0	1	8
McRae-2005-541-179	179	donkey	1862	DONKEY	4.45	2	1	0	5	2	1	0	0	1	2
McRae-2005-541-180	180	door	1567	DOOR	8.95	0	6	0	7	0	0	0	0	0	0
McRae-2005-541-181	181	doorknob	4030	DOORKNOB	8.85	0	3	0	4	0	0	0	0	1	1
McRae-2005-541-182	182	dove	1853	DOVE	3.70	1	0	1	3	1	0	0	0	0	4
McRae-2005-541-183	183	drain			7.70	0	3	0	2	0	0	0	0	0	4
McRae-2005-541-184	184	drapes			7.70	1	11	0	2	1	0	0	0	1	2
McRae-2005-541-185	185	dress	474	DRESS	7.85	1	2	0	4	1	0	0	0	0	5
McRae-2005-541-186	186	dresser	4055	DRESSER	8.35	1	2	0	6	0	0	0	0	1	1
McRae-2005-541-187	187	drill	3423	DRILL	6.00	1	3	0	4	0	1	0	0	0	2
McRae-2005-541-188	188	drum	908	DRUM	5.20	1	3	0	3	0	5	0	0	0	1
McRae-2005-541-189	189	duck	1360	DUCK	5.20	3	2	4	6	0	1	0	0	0	4
McRae-2005-541-190	190	dunebuggy			2.70	2	1	1	5	0	1	0	0	0	5
McRae-2005-541-191	191	eagle	1905	EAGLE	3.60	3	0	2	6	0	0	0	0	0	6
McRae-2005-541-192	192	earmuffs			5.25	0	5	0	2	1	0	0	0	4	1
McRae-2005-541-193	193	eel	1013	FRESHWATER EEL	2.55	1	1	1	2	1	0	0	0	1	4
McRae-2005-541-194	194	eggplant	1146	AUBERGINE	3.75	1	2	0	1	3	0	0	0	0	2
McRae-2005-541-195	195	elephant	1290	ELEPHANT	3.50	2	2	2	8	1	0	0	0	0	2
McRae-2005-541-196	196	elevator	4033	ELEVATOR	8.10	0	3	2	6	0	0	0	0	0	3
McRae-2005-541-197	197	elk	1772	ELK	2.65	3	2	2	5	1	0	0	0	1	2
McRae-2005-541-198	198	emerald			4.05	3	3	0	1	1	0	0	0	0	4
McRae-2005-541-199	199	emu	2817	EMU	3.10	2	0	0	7	0	0	0	0	0	3
McRae-2005-541-200	200	envelope	3088	ENVELOPE	7.90	0	4	0	3	2	0	0	0	0	2
McRae-2005-541-201	201	escalator	2596	ESCALATOR	7.35	1	0	3	4	1	0	0	0	0	2
McRae-2005-541-202	202	falcon	3258	FALCON	2.85	3	0	2	6	0	0	0	0	0	3
McRae-2005-541-203	203	fan_(appliance)	1971	FAN (OBJECT)	7.65	0	2	1	5	0	0	0	0	0	4
McRae-2005-541-204	204	faucet	1488	FAUCET	8.10	1	4	0	7	0	0	0	0	0	6
McRae-2005-541-205	205	fawn	4134	FAWN	3.80	5	2	4	7	1	0	0	0	1	6
McRae-2005-541-206	206	fence	1690	FENCE	8.15	3	3	0	3	1	0	0	0	0	1
McRae-2005-541-207	207	finch	3721	FINCH	3.25	1	0	2	4	1	1	0	0	0	1
McRae-2005-541-208	208	flamingo	3722	FLAMINGO	2.70	2	0	1	4	1	0	0	0	0	3
McRae-2005-541-209	209	flea	232	FLEA	4.35	2	0	3	1	1	0	0	0	0	10
McRae-2005-541-210	210	flute	777	FLUTE	4.60	1	3	0	7	1	1	0	0	0	0
McRae-2005-541-211	211	football			6.10	0	4	1	7	2	0	0	0	0	1
McRae-2005-541-212	212	fork	1302	FORK	8.70	1	1	0	8	0	0	0	0	1	3
McRae-2005-541-213	213	fox	1312	FOX	4.70	3	1	1	6	1	0	0	0	0	5
McRae-2005-541-214	214	freezer			8.35	1	8	0	5	1	0	0	0	1	3
McRae-2005-541-215	215	fridge			8.80	1	4	0	9	1	0	0	0	2	2
McRae-2005-541-216	216	frog	503	FROG	5.45	2	0	5	3	1	1	0	0	0	4
McRae-2005-541-217	217	garage			7.85	0	5	0	3	0	0	0	0	0	1
McRae-2005-541-218	218	garlic	2368	GARLIC	7.85	1	10	0	4	1	0	2	2	0	1
McRae-2005-541-219	219	gate	2940	GATE	7.10	0	7	0	6	0	0	0	0	0	1
McRae-2005-541-220	220	giraffe	3089	GIRAFFE	4.05	2	0	1	5	3	0	0	0	0	3
McRae-2005-541-221	221	gloves	867	GLOVE	8.40	2	5	0	4	0	0	0	0	0	3
McRae-2005-541-222	222	goat	1502	GOAT	4.05	2	2	5	7	1	0	0	0	0	3
McRae-2005-541-223	223	goldfish			6.40	3	0	2	4	2	0	0	0	0	3
McRae-2005-541-224	224	goose	1187	GOOSE	4.90	2	1	1	6	1	1	0	0	0	3
McRae-2005-541-225	225	gopher			2.60	1	0	1	4	1	0	0	0	0	1
McRae-2005-541-226	226	gorilla	3144	GORILLA	2.65	2	0	2	4	1	0	0	0	1	6
McRae-2005-541-227	227	gown	326	CLOAK	6.15	2	2	0	2	1	0	0	0	0	5
McRae-2005-541-228	228	grape	920	GRAPE	7.10	1	4	0	4	3	0	2	0	1	3
McRae-2005-541-229	229	grapefruit	3804	GRAPEFRUIT OR POMELO	6.20	1	4	0	7	2	0	1	0	1	6
McRae-2005-541-230	230	grasshopper	607	GRASSHOPPER	4.95	1	1	3	5	1	0	0	0	0	2
McRae-2005-541-231	231	grater			5.05	1	5	0	4	0	0	0	0	1	1
McRae-2005-541-232	232	grenade			2.20	2	4	0	4	1	2	0	0	0	2
McRae-2005-541-233	233	groundhog	3719	MARMOT	3.85	2	1	2	1	1	0	0	0	1	6
McRae-2005-541-234	234	guitar	3090	GUITAR	6.15	3	1	0	3	0	2	0	0	0	2
McRae-2005-541-235	235	gun	1566	GUN	3.50	2	7	1	2	1	2	0	0	0	1
McRae-2005-541-236	236	guppy			2.00	1	1	1	1	0	0	0	0	0	2
McRae-2005-541-237	237	hammer	1481	HAMMER	6.30	1	5	0	7	0	1	0	0	1	1
McRae-2005-541-238	238	hamster	3147	HAMSTER	6.10	4	0	4	3	1	0	0	0	1	1
McRae-2005-541-239	239	hare	1190	HARE	3.25	3	1	4	7	2	0	0	0	0	1
McRae-2005-541-240	240	harmonica	2590	HARMONICA	3.65	1	2	0	2	0	1	0	0	0	0
McRae-2005-541-241	241	harp	2597	HARP	3.05	1	2	0	3	0	1	0	0	0	1
McRae-2005-541-242	242	harpoon			2.10	1	5	0	3	0	0	0	0	1	1
McRae-2005-541-243	243	harpsichord			2.40	1	0	0	3	0	2	0	0	0	0
McRae-2005-541-244	244	hatchet	677	AXE	2.60	2	2	0	3	0	0	0	0	1	0
McRae-2005-541-245	245	hawk	307	HAWK	3.50	2	0	4	6	0	0	0	0	0	1
McRae-2005-541-246	246	helicopter	2580	HELICOPTER	4.05	0	3	2	3	0	1	0	0	0	1
McRae-2005-541-247	247	helmet	1680	HELMET	6.20	1	6	0	2	1	0	0	0	1	1
McRae-2005-541-248	248	hoe	284	HOE	3.70	1	6	0	8	0	0	0	0	0	0
McRae-2005-541-249	249	honeydew			4.25	2	1	0	3	2	0	2	0	1	3
McRae-2005-541-250	250	hook	1071	HOOK	6.65	0	4	0	3	0	0	0	0	1	1
McRae-2005-541-251	251	hornet	3261	HORNET	5.30	1	0	2	3	2	1	0	0	0	3
McRae-2005-541-252	252	horse	615	HORSE	6.30	1	5	2	6	0	0	0	0	0	5
McRae-2005-541-253	253	hose			5.75	1	4	0	6	1	0	0	0	0	4
McRae-2005-541-254	254	hose_(leggings)			6.55	1	5	0	3	2	0	0	0	1	1
McRae-2005-541-255	255	house	1252	HOUSE	8.45	1	2	0	10	0	0	0	0	1	2
McRae-2005-541-256	256	housefly	1504	FLY (INSECT)	6.85	2	1	3	5	1	1	0	0	0	2
McRae-2005-541-257	257	hut	1678	HUT	3.25	1	0	0	4	0	0	0	0	0	1
McRae-2005-541-258	258	hyena	1799	HYENA	1.75	5	0	2	1	0	1	0	0	1	4
McRae-2005-541-259	259	iguana	1578	IGUANA	3.15	4	0	1	7	1	0	0	0	2	2
McRae-2005-541-260	260	inn			5.55	2	2	0	3	0	0	0	0	0	3
McRae-2005-541-261	261	jacket	2770	JACKET	8.60	1	4	0	6	1	0	0	0	1	2
McRae-2005-541-262	262	jar	4135	JAR	6.95	1	4	0	5	1	0	0	0	0	1
McRae-2005-541-263	263	jeans			8.65	1	2	0	5	3	0	0	0	1	2
McRae-2005-541-264	264	jeep			6.90	2	3	0	3	1	0	0	0	0	5
McRae-2005-541-265	265	jet			4.50	1	3	2	6	0	1	0	0	0	2
McRae-2005-541-266	266	kettle	854	KETTLE	7.80	1	5	0	6	0	1	0	0	0	4
McRae-2005-541-267	267	key	1472	KEY	8.75	0	5	0	3	2	0	0	0	0	2
McRae-2005-541-268	268	keyboard_(musical)			5.55	2	0	0	2	2	3	0	0	0	1
McRae-2005-541-269	269	kite	4032	KITE (TOY)	5.20	1	3	1	4	2	0	0	0	0	3
McRae-2005-541-270	270	knife	1352	KNIFE	8.00	3	3	0	6	0	0	0	0	2	3
McRae-2005-541-271	271	ladle	2657	LADLE	4.95	2	4	0	4	0	0	0	0	0	1
McRae-2005-541-272	272	lamb	820	LAMB	4.50	1	4	1	3	2	1	0	0	2	2
McRae-2005-541-273	273	lamp	625	LAMP	8.55	1	3	0	6	0	0	0	0	0	4
McRae-2005-541-274	274	lantern	4025	LANTERN	5.30	0	4	0	4	0	0	0	0	0	4
McRae-2005-541-275	275	lemon	3091	LEMON	7.15	1	6	0	4	1	0	2	0	1	2
McRae-2005-541-276	276	leopard	1139	LEOPARD	3.35	3	0	1	3	0	0	0	0	1	1
McRae-2005-541-277	277	leotards			6.05	2	3	0	0	2	0	0	0	2	3
McRae-2005-541-278	278	lettuce	3729	LETTUCE	7.95	3	4	0	2	1	0	0	0	1	7
