ID	NUMBER	GLOSS	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMLEX_IDS	SIMLEX_GLOSSES	LINKS	ENGLISH	ARABIC	CHINESE	WELSH	ESTONIAN	FINNISH	FRENCH	HEBREW	POLISH	RUSSIAN	SPANISH	CANTONESE	ENGLISH_IN_SOURCE	ARABIC_IN_SOURCE	CHINESE_IN_SOURCE	WELSH_IN_SOURCE	ESTONIAN_IN_SOURCE	FINNISH_IN_SOURCE	FRENCH_IN_SOURCE	HEBREW_IN_SOURCE	POLISH_IN_SOURCE	RUSSIAN_IN_SOURCE	SPANISH_IN_SOURCE	CANTONESE_IN_SOURCE	ENGLISH_SCORE	ARABIC_SCORE	CHINESE_SCORE	WELSH_SCORE	ESTONIAN_SCORE	FINNISH_SCORE	FRENCH_SCORE	HEBREW_SCORE	POLISH_SCORE	RUSSIAN_SCORE	SPANISH_SCORE	CANTONESE_SCORE	MANDARIN_ERRATUM	FRENCH_ERRATUM	RUSSIAN_ERRATUM	SPANISH_ERRATUM
Vulic-2020-2244-11	11	necessary	adjectives	1030	NECESSARY	1199:1 1218:2 1268:2	important essential unnecessary	105 1354 2181	necessary	ضروري	必须	angenrheidiol	vajalik	tarpeellinen	nécessaire	הכרחי	konieczny	необходимый	necesario	必須	necessary necessary necessary	ضروري ضروري ضروري	必须 必须 必须	angenrheidiol angenrheidiol angenrheidiol	vajalik vajalik vajalik	tarpeellinen tarpeellinen tarpeellinen	nécessaire nécessaire nécessaire	הכרחי הכרחי הכרחי	konieczny konieczny konieczny	необходимый необходимый необходимый	necesario necesario necesario	必須 必須 必須	4.0 5.076923076923077 0.07692307692307693	5.1 4.9 1.9	3.8181818181818183 5.545454545454546 0.18181818181818182	3.2 4.8 0.0	4.9 3.7 0.5	4.7 3.0 0.4	4.7 5.6 1.7	3.3 5.0 1.1	4.2 5.4 0.0	3.5 3.6 0.1	3.5 5.1 0.2	3.1818181818181817 5.363636363636363 0.09090909090909091	0 0 0	0 0 0	0 0 0	0 0 0
Vulic-2020-2244-12	12	good	adjectives	1035	GOOD	1248:2	spicy	678	good	جيد	好	da	hea	hyvä	bien	טוב	dobry	хороший	bueno	好	good	جيد	好	da	hea	hyvä	bien	טוב	dobry	хороший	bueno	好	0.0	0.4	0.0	0.0	1.1	0.2	0.3	0.9	0.5	0.7	0.0	0.09090909090909091	0	0	0	0
Vulic-2020-2244-13	13	teacher	nouns	1038	TEACHER	4:2 80:1 291:1 344:1 973:1	friend helper rabbi instructor student	128 1488 1896 1560 776	teacher	معلّم (معلم)	老师	athro	õpetaja	opettaja	enseignant (professeur)	מורה	nauczyciel	наставник (учитель)	profesor	老師	teacher teacher teacher teacher teacher	معلّم معلّم معلّم معلم معلّم	老师 老师 老师 老师 老师	athro athro athro athro athro	õpetaja õpetaja õpetaja õpetaja õpetaja	opettaja opettaja opettaja opettaja opettaja	professeur enseignant enseignant enseignant enseignant	מורה מורה מורה מורה מורה	nauczyciel nauczyciel nauczyciel nauczyciel nauczyciel	наставник наставник наставник учитель учитель	profesor profesor profesor profesor profesor	老師 老師 老師 老師 老師	0.3076923076923077 2.1538461538461537 1.9230769230769231 4.538461538461538 0.3076923076923077	0.7 2.7 1.6 3.5 3.2	0.8181818181818182 0.8181818181818182 0.7272727272727273 2.272727272727273 0.45454545454545453	0.6 2.1 2.9 4.1 0.7	1.2 1.8 0.0 3.7 1.3	0.6 2.2 2.2 4.4 1.1	1.4 2.5 1.9 6.0 2.6	0.9 1.6 2.2 4.0 1.5	0.2 0.3 2.3 5.0 0.2	1.9 2.1 1.2 5.2 0.9	0.4 1.1 0.6 2.1 0.6	0.9090909090909091 0.45454545454545453 1.0 3.1818181818181817 0.9090909090909091	0 0 0 0 0	0 0 0 0 0	0 0 0 0 0	0 0 0 0 0
Vulic-2020-2244-14	14	poet	nouns	1045	POET	118:1	journalist	1577	poet	شاعر	诗人	bardd	luuletaja	runoilija	poète	משורר	poeta	поэт	poeta	詩人	poet	شاعر	诗人	bardd	luuletaja	runoilija	poète	משורר	poeta	поэт	poeta	詩人	0.6153846153846154	1.5	0.0	0.4	1.4	0.9	1.8	1.6	0.5	0.7	0.9	0.09090909090909091	0	0	0	0
Vulic-2020-2244-15	15	shut	verbs	1046	SHUT	1568:1	vomit	100	shut	يغلق	关闭	cau	sulgema	sulkea	fermer	לסגור	zamykać	закрыть	cerrar	關閉	shut	يغلق	关闭	cau	sulgema	sulkea	fermer	לסגור	zamykać	закрыть	cerrar	關閉	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0	0	0	0
Vulic-2020-2244-16	16	pursue (a career)	verbs	1047	PURSUE	1665:2	investigate	1566	pursue	يلاحق	追求	canlyn	järgima	tavoitella	poursuivre	לרדוף	dążyć	заниматься	perseguir	追求	pursue	يلاحق	追求	canlyn	järgima	tavoitella	poursuivre	לרדוף	dążyć	заниматься	perseguir	追求	2.6923076923076925	2.0	0.2727272727272727	0.1	1.2	0.8	1.9	1.1	0.3	3.1	1.1	1.0909090909090908	0	0	0	0
Vulic-2020-2244-17	17	pursue (to achieve)	verbs	1047	PURSUE	1600:1	persuade	634	pursue	يسعى	追求	canlyn	järgima	tavoitella	poursuivre	לרדוף	dążyć	добиваться	perseguir	追求	pursue	يسعى	追求	canlyn	järgima	tavoitella	poursuivre	לרדוף	dążyć	добиваться	perseguir	追求	0.07692307692307693	1.5	0.18181818181818182	0.4	0.3	0.7	0.7	0.5	1.9	1.1	0.4	0.2727272727272727	0	0	0	0
Vulic-2020-2244-18	18	nephew	nouns	1063	NEPHEW	786:2	aunt	97	nephew	ابن أخ	侄子	nai	õepoeg	veljenpoika	neveu	אחיין	siostrzeniec	племянник	sobrino	侄子	nephew	ابن أخ	侄子	nai	õepoeg	veljenpoika	neveu	אחיין	siostrzeniec	племянник	sobrino	侄子	0.23076923076923078	2.8	0.2727272727272727	0.9	1.2	0.8	2.5	1.3	0.9	0.8	0.6	1.1818181818181819	0	0	0	0
Vulic-2020-2244-19	19	shield	nouns	1064	SHIELD	651:1	buckler	1046	shield	درع	屏蔽	tarian	kilp	suoja	bouclier	מגן	tarcza	щит	escudo	屏蔽	shield	درع	屏蔽	tarian	kilp	suoja	bouclier	מגן	tarcza	щит	escudo	屏蔽	0.8461538461538461	3.8	0.2727272727272727	1.5	2.5	3.0	3.7	2.1	5.2	2.7	1.5	0.36363636363636365	1	0	0	0
Vulic-2020-2244-20	20	crime	nouns	1066	CRIME	391:1 414:1 487:1 1026:1	attack violation fraud theft	766 2207 1410 2128	crime	جريمة	犯罪	trosedd	kuritegu	rikos	infraction (criminalité)	פשע	przestępstwo	преступление (преступлениe)	crimen (delito)	犯罪	crime crime crime crime	جريمة جريمة جريمة جريمة	犯罪 犯罪 犯罪 犯罪	trosedd trosedd trosedd trosedd	kuritegu kuritegu kuritegu kuritegu	rikos rikos rikos rikos	criminalité infraction infraction criminalité	פשע פשע פשע פשע	przestępstwo przestępstwo przestępstwo przestępstwo	преступление преступление преступление преступлениe	delito crimen delito crimen	犯罪 犯罪 犯罪 犯罪	1.6923076923076923 2.8461538461538463 2.3076923076923075 2.230769230769231	1.8 2.7 2.8 3.8	0.9090909090909091 3.4545454545454546 2.8181818181818183 3.4545454545454546	2.3 1.2 2.6 2.0	2.3 3.7 3.4 3.1	0.2 1.7 3.6 3.4	2.4 5.3 4.5 2.8	2.6 2.0 2.3 2.3	2.0 3.5 4.3 5.0	0.5 4.0 1.9 2.2	1.7 3.2 3.0 3.1	0.9090909090909091 3.272727272727273 2.6363636363636362 3.4545454545454546	0 0 0 0	0 0 0 0	0 0 0 0	0 0 0 0
Vulic-2020-2244-21	21	court	nouns	1068	COURT	413:2	judge	815	court	محكمة	法庭	llys	kohus	tuomioistuin	tribunal	בית משפט	sąd	суд	Corte	法庭	court	محكمة	法庭	llys	kohus	tuomioistuin	tribunal	בית משפט	sąd	суд	Corte	法庭	1.0	3.1	0.8181818181818182	0.9	1.6	1.3	3.3	1.7	1.7	1.6	0.9	0.9090909090909091	0	0	0	0
Vulic-2020-2244-22	22	bus	nouns	1070	BUS	124:2 1019:2	cab vehicle	1051 497	bus	حافلة	公共汽车	bws	buss	linja-auto	autobus	אוטובוס	autobus	автобус	autobús	巴士	bus bus	حافلة حافلة	公共汽车 公共汽车	bws bws	buss buss	linja-auto linja-auto	autobus autobus	אוטובוס אוטובוס	autobus autobus	автобус автобус	autobús autobús	巴士 巴士	1.0769230769230769 1.9230769230769231	3.0 4.4	2.090909090909091 3.0	0.8 3.0	1.6 2.3	1.7 3.0	3.1 4.0	2.3 1.9	1.3 3.4	0.8 1.9	2.0 2.5	2.5454545454545454 2.1818181818181817	0 0	0 0	0 0	0 0
Vulic-2020-2244-23	23	appear	verbs	1076	EMERGE (APPEAR)	1414:2 1306:2 1610:1	become leave attend	409 334 974	appear	يظهر	出现	ymddangos	ilmuma	ilmestyä	apparaître	להופיע	pojawić się	появляться (казаться)	Aparecer	出現	appear appear appear	يظهر يظهر يظهر	出现 出现 出现	ymddangos ymddangos ymddangos	ilmuma ilmuma ilmuma	ilmestyä ilmestyä ilmestyä	apparaître apparaître apparaître	להופיע להופיע להופיע	pojawić się pojawić się pojawić się	казаться появляться появляться	Aparecer Aparecer Aparecer	出現 出現 出現	0.07692307692307693 0.07692307692307693 0.5384615384615384	2.3 1.0 2.1	0.36363636363636365 0.0 3.090909090909091	1.3 0.1 0.7	0.7 0.4 1.2	3.6 0.0 0.4	1.4 0.2 1.5	0.1 0.6 4.0	1.5 0.5 1.2	0.7 0.1 1.1	0.9 0.6 2.7	0.2727272727272727 0.09090909090909091 3.3636363636363638	0 0 0	0 0 0	1 0 0	0 0 0
Vulic-2020-2244-24	24	wheat	nouns	1077	WHEAT	732:2	cereal	1091	wheat	قمح	小麦	gwenith	nisu	vehnä	blé	חיטה	pszenica	пшеница	trigo	小麥	wheat	قمح	小麦	gwenith	nisu	vehnä	blé	חיטה	pszenica	пшеница	trigo	小麥	1.3076923076923077	4.0	3.272727272727273	2.0	3.1	3.2	4.1	3.0	4.5	3.0	1.9	3.090909090909091	0	0	0	0
Vulic-2020-2244-25	25	feel	verbs	1079	FEEL	1330:2	believe	382	feel	يشعر	感觉到	teimlo	tundma	tuntea	ressentir	להרגיש	czuć	чувствовать	sentir	感覺到	feel	يشعر	感觉到	teimlo	tundma	tuntea	ressentir	להרגיש	czuć	чувствовать	sentir	感覺到	2.076923076923077	1.6	0.9090909090909091	3.1	1.4	1.5	2.7	1.5	1.2	0.9	2.2	0.2727272727272727	0	0	0	0
Vulic-2020-2244-26	26	follow	verbs	1085	FOLLOW	1319:1	chase	1104	follow	يتّبع	跟随	dilyn	jälitama	seurata	suivre	לעקוב	śledzić	следовать	seguir	跟隨	follow	يتّبع	跟随	dilyn	jälitama	seurata	suivre	לעקוב	śledzić	следовать	seguir	跟隨	2.8461538461538463	5.2	2.8181818181818183	1.7	4.6	3.5	2.7	2.0	3.3	2.7	3.7	2.4545454545454546	0	0	0	0
Vulic-2020-2244-27	27	release	verbs	1095	LET GO OR SET FREE	1557:2 1607:1	catch press	753 392	release	يطلق (يحرّر)	放开 (放走)	rhyddhau	vabastama	vapauttaa	terminer (libérer)	לשחרר	uwalniać	освобождать (выпускать)	lanzar	放開 (放走)	release release	يطلق يحرّر	放走 放开	rhyddhau rhyddhau	vabastama vabastama	vapauttaa vapauttaa	terminer libérer	לשחרר לשחרר	uwalniać uwalniać	выпускать освобождать	lanzar lanzar	放走 放開	0.07692307692307693 0.0	1.3 1.0	0.2727272727272727 0.0	1.1 0.1	0.8 0.4	0.4 0.0	0.4 0.4	1.0 0.9	0.0 0.0	0.1 0.0	0.4 0.2	0.45454545454545453 0.18181818181818182	0 0	0 0	0 0	0 0
Vulic-2020-2244-28	28	song	nouns	1096	SONG	450:1 722:1 947:2	performer story ballad	1813 426 994	song	اغنية (أغنية)	歌曲	cân	laul	laulu	chanson	שיר	piosenka (piosenka )	песня	canción	歌曲	song song song	اغنية أغنية اغنية	歌曲 歌曲 歌曲	cân cân cân	laul laul laul	laulu laulu laulu	chanson chanson chanson	שיר שיר שיר	piosenka piosenka piosenka 	песня песня песня	canción canción canción	歌曲 歌曲 歌曲	0.38461538461538464 0.3076923076923077 3.3076923076923075	2.6 0.9 1.5	0.36363636363636365 0.45454545454545453 3.090909090909091	0.9 0.9 4.2	1.1 2.8 3.2	0.8 0.5 4.3	2.4 2.0 4.8	0.8 2.2 4.1	0.9 0.8 3.7	1.1 0.3 3.6	0.5 0.4 3.9	0.0 0.2727272727272727 4.2727272727272725	0 0 0	0 0 0	0 0 0	0 0 0
Vulic-2020-2244-29	29	motor	nouns	110	MOTOR	432:1 504:1	boat engine	366 515	motor	محرّك كهربائي (محرك)	电动机	modur	mootor	moottori  (moottori)	moteur	מנוע	motor	мотор	motor	電動機 (摩打)	motor motor	محرك محرّك كهربائي	电动机 电动机	modur modur	mootor mootor	moottori  moottori	moteur moteur	מנוע מנוע	motor motor	мотор мотор	motor motor	電動機 摩打	0.6153846153846154 3.3076923076923075	1.2 4.5	0.2727272727272727 2.4545454545454546	0.8 3.9	0.6 1.1	0.7 0.8	1.8 3.7	1.3 6.0	0.6 4.3	0.9 4.9	0.4 2.0	0.18181818181818182 4.545454545454546	0 0	0 0	0 0	0 0
Vulic-2020-2244-30	30	cook	verbs	1100	COOK (SOMETHING)	1333:1 1439:1 1676:1	lose fry mix	1618 867 419	cook	يطبخ	煮	coginio	süüa tegema (küpsetama)	kypsentää	cuisiner	לבשל	gotować	готовить	cocinar	煮	cook cook cook	يطبخ يطبخ يطبخ	煮 煮 煮	coginio coginio coginio	süüa tegema küpsetama süüa tegema	kypsentää kypsentää kypsentää	cuisiner cuisiner cuisiner	לבשל לבשל לבשל	gotować gotować gotować	готовить готовить готовить	cocinar cocinar cocinar	煮 煮 煮	0.0 2.3076923076923075 0.6153846153846154	0.8 3.4 1.7	0.0 0.45454545454545453 0.2727272727272727	0.0 2.0 0.9	0.0 2.4 0.9	0.0 3.8 0.4	0.1 3.4 2.3	0.0 2.1 1.4	0.0 2.6 0.4	0.0 1.3 0.3	0.1 2.8 1.0	0.09090909090909091 0.8181818181818182 0.36363636363636365	0 0 0	0 0 0	0 0 0	0 0 0
Vulic-2020-2244-31	31	climb	verbs	1102	CLIMB	1511:1	hike	1496	climb	يتسلّق	爬	dringo	ronima	kiivetä	grimper	לטפס	wspinać się	лазить	escalar	爬	climb	يتسلّق	爬	dringo	ronima	kiivetä	grimper	לטפס	wspinać się	лазить	escalar	爬	2.769230769230769	2.3	0.5454545454545454	2.9	1.8	1.7	2.6	1.7	0.9	0.7	1.1	0.8181818181818182	0	0	0	0
Vulic-2020-2244-32	32	nurse	nouns	1104	NURSE	614:1	scientist	1983	nurse	ممرضة	护士	nyrs	õde	sairaanhoitaja	infirmier	אחות	pielęgniarka	медбрат	enfermera	護士	nurse	ممرضة	护士	nyrs	õde	sairaanhoitaja	infirmier	אחות	pielęgniarka	медбрат	enfermera	護士	0.23076923076923078	0.4	0.18181818181818182	0.4	0.2	0.4	1.4	0.5	0.0	0.1	0.4	0.09090909090909091	0	0	0	0
Vulic-2020-2244-33	33	camp	nouns	1105	CAMP	733:1	cabin	1052	camp	مخيم	营地	gwersyll	laager	leiri	campement	מחנה	pole	лагерь	campamento	營地	camp	مخيم	营地	gwersyll	laager	leiri	campement	מחנה	pole	лагерь	campamento	營地	0.6923076923076923	1.4	0.18181818181818182	0.9	1.2	0.5	1.3	1.3	0.5	1.2	1.0	0.36363636363636365	0	0	0	0
Vulic-2020-2244-34	34	car	nouns	1111	CAR	58:2 917:2 18:1 75:1 631:1 802:1 877:2 172:1 379:2 490:1 611:1 704:1 915:1 954:1 958:1	automobile tank cab highway gauge horn boat elevator street hose bicycle bridge carriage factory truck	980 584 1051 1495 1434 1506 366 1334 150 1507 774 8 513 1374 2154	car	سيارة	汽车 (车)	car	auto (autor)	auto (auto )	voiture	מכונית (אוטו)	samochód	автомобиль (машина)	coche	汽車 (車)	car car car car car car car car car car car car car car car	سيارة سيارة سيارة سيارة سيارة سيارة سيارة سيارة سيارة سيارة سيارة سيارة سيارة سيارة سيارة	汽车 汽车 车 车 车 车 车 汽车 汽车 汽车 汽车 汽车 汽车 汽车 汽车	car car car car car car car car car car car car car car car	auto auto autor auto auto auto auto auto auto auto auto auto auto auto auto	auto auto auto auto  auto auto auto auto auto auto auto auto auto auto auto	voiture voiture voiture voiture voiture voiture voiture voiture voiture voiture voiture voiture voiture voiture voiture	אוטו מכונית מכונית מכונית מכונית מכונית מכונית מכונית מכונית מכונית מכונית מכונית מכונית מכונית מכונית	samochód samochód samochód samochód samochód samochód samochód samochód samochód samochód samochód samochód samochód samochód samochód	машина машина автомобиль автомобиль автомобиль автомобиль автомобиль автомобиль автомобиль автомобиль автомобиль автомобиль автомобиль автомобиль автомобиль	coche coche coche coche coche coche coche coche coche coche coche coche coche coche coche	汽車 汽車 車 車 車 車 車 汽車 汽車 汽車 汽車 汽車 汽車 汽車 汽車	5.6923076923076925 0.6153846153846154 2.8461538461538463 0.3076923076923077 0.0 0.9230769230769231 0.5384615384615384 0.07692307692307693 0.7692307692307693 0.0 0.6923076923076923 0.0 2.5384615384615383 0.0 1.6923076923076923	6.0 0.9 4.5 2.4 0.0 2.5 2.8 0.3 2.7 1.8 3.2 0.7 3.7 1.0 3.7	5.818181818181818 0.6363636363636364 3.4545454545454546 0.09090909090909091 0.2727272727272727 0.18181818181818182 0.36363636363636365 0.0 0.2727272727272727 0.09090909090909091 0.45454545454545453 0.18181818181818182 1.9090909090909092 0.18181818181818182 2.8181818181818183	5.0 0.8 4.1 0.8 0.1 0.4 0.8 0.2 0.7 0.0 1.1 0.3 5.0 0.1 1.6	5.0 1.0 0.0 1.1 1.2 1.0 0.8 0.7 0.8 0.4 1.1 0.6 1.5 0.5 3.1	6.0 0.9 3.2 0.6 0.4 0.0 0.9 0.1 0.4 0.0 1.1 0.3 1.4 0.2 3.2	6.0 1.4 4.0 2.3 0.7 1.9 2.1 0.7 1.3 0.2 2.2 0.6 4.3 1.1 3.3	5.9 1.5 2.7 1.4 0.8 1.3 1.6 0.8 1.1 0.5 1.8 0.8 2.0 0.9 2.9	5.4 0.4 3.5 0.3 0.0 0.2 0.6 0.0 0.3 0.5 0.4 0.0 2.6 0.2 3.7	5.7 1.4 2.8 1.1 0.9 0.9 0.6 0.8 0.8 0.8 0.7 0.4 0.9 0.4 2.5	5.5 0.6 3.8 1.4 0.4 0.0 0.6 0.3 0.3 0.3 0.6 0.2 4.9 0.4 1.2	6.0 0.7272727272727273 4.181818181818182 0.9090909090909091 0.0 0.18181818181818182 0.45454545454545453 0.18181818181818182 0.6363636363636364 0.18181818181818182 1.5454545454545454 0.2727272727272727 1.1818181818181819 0.0 2.3636363636363638	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Vulic-2020-2244-35	35	succeed	verbs	1112	SUCCEED	1530:2 1540:1 1546:2 1641:1	achieve try win fail	880 351 818 1375	succeed	ينجح	成功	llwyddo	edu saavutama	onnistua	réussir	להצליח	powieść się	преуспевать	tener éxito	成功	succeed succeed succeed succeed	ينجح ينجح ينجح ينجح	成功 成功 成功 成功	llwyddo llwyddo llwyddo llwyddo	edu saavutama edu saavutama edu saavutama edu saavutama	onnistua onnistua onnistua onnistua	réussir réussir réussir réussir	להצליח להצליח להצליח להצליח	powieść się powieść się powieść się powieść się	преуспевать преуспевать преуспевать преуспевать	tener éxito tener éxito tener éxito tener éxito	成功 成功 成功 成功	3.3076923076923075 0.7692307692307693 3.076923076923077 0.07692307692307693	4.0 2.1 4.4 1.3	2.0 0.2727272727272727 3.727272727272727 0.36363636363636365	4.6 0.9 4.1 0.1	4.0 1.4 4.2 0.6	3.6 0.9 3.3 0.4	4.4 2.3 4.6 1.8	2.1 1.7 2.2 1.0	3.4 0.1 2.6 0.0	2.8 0.3 1.7 0.0	4.7 0.5 3.1 0.2	1.1818181818181819 0.18181818181818182 4.181818181818182 0.0	0 0 0 0	0 0 0 0	0 0 0 0	0 0 0 0
Vulic-2020-2244-36	36	divide	verbs	1119	DIVIDE	1575:1	unite	2176	divide	يفرّق	划分	rhannu	jagama	jakaa	diviser	לחלק	dzielić	делить	dividir	劃分	divide	يفرّق	划分	rhannu	jagama	jakaa	diviser	לחלק	dzielić	делить	dividir	劃分	0.07692307692307693	1.2	0.36363636363636365	0.1	1.1	0.6	1.9	1.0	0.0	0.1	0.2	0.0	0	0	0	0
Vulic-2020-2244-37	37	honest	adjectives	1120	HONEST	1176:1	guilty	313	honest	صادق	诚实	onest	aus	rehellinen	honnête	כן	uczciwy	честный	honesto	誠實	honest	صادق	诚实	onest	aus	rehellinen	honnête	כן	uczciwy	честный	honesto	誠實	0.0	1.1	0.09090909090909091	0.1	0.8	0.1	1.2	0.6	0.0	0.0	0.1	0.2727272727272727	0	0	0	0
