ID	NUMBER	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	ARGUMENT_FRAME	STIMULUS_SENTENCE
Say-2020-130-94	94	mix	MIX	2017	X (get mixed) with Y	(Some honey was put in a jar of milk and stirred.) The honey got mixed with the milk.
Say-2020-130-95	95	look	LOOK	1819	X (look) at Y	P. is looking at the clouds (trying to determine if it will rain).
Say-2020-130-96	96	take off	TAKE OFF	3538	X (take off) Y	P. took off his shirt.
Say-2020-130-97	97	dream (sleeping)	DREAM (SOMETHING)	1920	X (dream) about Y	(P. sleeps) P. dreams about M.
Say-2020-130-98	98	agree	AGREE	3643	X (agree) with Y	(M. told P. that their son should learn Irish.) P. agreed with M.
Say-2020-130-99	99	have a quarrel	QUARREL (VERB)	3302	X (have a quarrel) with Y	P. had a quarrel with M.
Say-2020-130-100	100	cost	COST	242	X (cost) Y	This cup costs 1 euro.
Say-2020-130-101	101	shoot at	SHOOT	1172	X (shoot) at Y	P. shot at the bird. (He missed.)
Say-2020-130-102	102	pour	POUR	1487	X (pour) Y	P. poured the sugar (into the cup).
Say-2020-130-103	103	lose			X (lose) Y	P. lost his keys.
Say-2020-130-104	104	sink	SINK (DESCEND)	1088	X (sink) in Y	(This tree has very heavy wood. I threw a log in the river.) The log sank in the water.
Say-2020-130-105	105	kill	KILL	1417	X (kill) Y	P. killed M.
Say-2020-130-106	106	hit	HIT	1433	X (hit) Y	P. hit M.
Say-2020-130-107	107	kiss	KISS	578	X (kiss) Y	P. kissed M.
Say-2020-130-108	108	read	READ	724	X (read) Y	P. read an interesting book.
Say-2020-130-109	109	move (bodypart)			X (move) Y	P. moved his finger.
Say-2020-130-110	110	respect	RESPECT (SOMEBODY)	385	X (respect) Y	P. respects M.
Say-2020-130-111	111	be squeamish			X (be squeamish) about Y	P. is squeamish about dirty dishes.
Say-2020-130-112	112	be content			X (be content) wit Y X (be content) with	(P.’s son does well at school.) P. is OK/content/satisfied with his son.
Say-2020-130-113	113	fall in love			X (fall in love) with Y	P. fell in love with M.
Say-2020-130-114	114	trust	TRUST (SOMEBODY)	3902	X (trust) Y	(P. and M. have a happy family. M. never deceives P.) P. trusts M.
Say-2020-130-115	115	sympathise	SYMPATHIZE	3903	X (sympathise) with Y	(P.’s mother is very ill.) P. sympathises with his mother.
Say-2020-130-116	116	envy	ENVY	40	X (envy) Y	(M. has a car, and P. doesn't). P. envies M.
Say-2020-130-117	117	be angry	BE ANGRY	2223	X (be angry) with Y	P. is angry with M.
Say-2020-130-118	118	be surprised			X (be surprised) at Y	(M. made P. an expensive gift.) P. was surprised at this gift.
Say-2020-130-119	119	love (tea)			X (love) Y	P. loves tea.
Say-2020-130-120	120	enjoy			X (enjoy) Y	(After being in cold water) P. enjoys hot tea.
Say-2020-130-121	121	want	WANT	1784	X (want) Y	P. wants a new mobile phone.
Say-2020-130-122	122	have a grudge			X (have a grudge) against Y	(Why doesn’t P. speak with M.?) P. has a grudge against M.
Say-2020-130-123	123	take offence			X (take_offence) at Y	(M. called P. an idiot.) P. took offence at M. = P. got cross with M.
Say-2020-130-124	124	upset			X (upset) Y	P. greatly upset M. (He told her that he had spent all the money.)
Say-2020-130-125	125	marvel			X (marvel) at Y	(P. arrived in the capital.) P. marvelled at / was struck by / was impressed by this town.
Say-2020-130-126	126	despise	DESPISE	2715	X (despise) Y	P. despises M.
Say-2020-130-127	127	get upset			X (get upset) with Y	(P.’s son got bad marks in school once again.) P. got upset with his son. = P. got upset because of his son.
Say-2020-130-128	128	get irritated			X (get irritated) with Y	(P. has a very bad disposition. Look
Say-2020-130-129	129	be fond			X (be fond) of Y	P. is fond of M.
Say-2020-130-130	130	be shy			X (be shy) about Y	(P. is the smallest in his class.) P. is shy / embarassed about his height.
