ID	NUMBER	ENGLISH	LEXIBANK_GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	NORWEGIAN	NORWEGIAN_FREQUENCY	SWEDISH	SWEDISH_FREQUENCY	BORROWING	ANIMACY	MASS_NOUN	ABSTRACTNESS
Epps-2021-844-472	472	MOVEMENT	MOVEMENT	3695	MOVEMENT	rørsle		rörelse		c	0	0	1
Epps-2021-844-473	473	MULE	MULE	890	MULE			mula	6	l	1	0	0
Epps-2021-844-474	474	MURDER	MURDER	845	MURDER	mord	11	mord	52	c	0	0	1
Epps-2021-844-475	475	MUSHROOM	MUSHROOM 1 // MUSHROOM 2	641	MUSHROOM	kjuke	0	ticka, tjuka	0	c	0	1	0
Epps-2021-844-476	476	MUSIC	MUSIC	642	MUSIC	musikk	183	musik	191	l	0	0	1
Epps-2021-844-477	477	NAIL	NAIL	1896	FINGERNAIL OR TOENAIL	spikar	3	spik	4	c	0	0	0
Epps-2021-844-478	478	NAME	NAME	1405	NAME	namn	257	namn	378	c	0	0	1
Epps-2021-844-479	479	NASAL MUCUS	NASAL MUCUS	208	NASAL MUCUS (SNOT)	snørr	1	snor	0	c	0	1	0
Epps-2021-844-480	480	NATIVE COUNTRY	NATIVE COUNTRY	89	NATIVE COUNTRY	heimland	11	hemland	38	c	0	0	0
Epps-2021-844-481	481	NAVEL	NAVEL	1838	NAVEL	navle	1	navel	2	c	0	0	0
Epps-2021-844-482	482	NECK	NECK	1333	NECK	nakke	37	nacke	20	c	0	0	0
Epps-2021-844-483	483	NECKLACE	NECKLACE 1 // NECKLACE 2	1961	NECKLACE	halsband	52	halsband	2	c	0	0	0
Epps-2021-844-484	484	NEED OR NECESSITY	NEED OR NECESSITY 1 // NEED OR NECESSITY 2	422	NECESSITY	behov	125	behov	208	l	0	0	1
Epps-2021-844-485	485	NEEDLE (PINE)	NEEDLE (PINE) 1 // NEEDLE (PINE) 2			barnål	3			c	0	1	0
Epps-2021-844-486	486	NEEDLE (SEWING)	NEEDLE (SEWING)	1382	NEEDLE (FOR SEWING)	nål		nål	6	c	0	0	0
Epps-2021-844-487	487	NEIGHBOUR	NEIGHBOUR	1332	NEIGHBOUR	granne	33	granne	35	c	1	0	0
Epps-2021-844-488	488	NEST	NEST 1 // NEST 2	539	NEST			fågelbo	1	c	0	0	0
Epps-2021-844-489	489	NETTLE	NETTLE	33	NETTLE	nesle	0	nässla	1	l	0	1	0
Epps-2021-844-490	490	NEWSPAPER	NEWSPAPER 1 // NEWSPAPER 2	1298	NEWSPAPER	avis	284	avi	0	l	0	0	0
Epps-2021-844-491	491	NIGHT	NIGHT	1233	NIGHT	natt	210	natt	153	c	0	0	1
Epps-2021-844-492	492	NIPPLE OR TEAT	NIPPLE OR TEAT 1 // NIPPLE OR TEAT 2	796	NIPPLE	brystvorte	1	bröstvårta	1	c	0	0	0
Epps-2021-844-493	493	NOBLE	NOBLE	482	NOBLE	adelsmann	2	adelsman	12	c	1	0	0
Epps-2021-844-494	494	NOSE	NOSE	1221	NOSE	nase	46	näsa	20	c	0	0	0
Epps-2021-844-495	495	NOSTRIL	NOSTRIL	1178	NOSTRIL	nasehole	0	näshål	0	c	0	0	0
Epps-2021-844-496	496	NUMBER	NUMBER	1356	NUMBER	nummer	216	nummer	106	l	0	0	1
Epps-2021-844-497	497	NURSE	NURSE	1104	NURSE			sjuksköterska	12	c	1	0	0
Epps-2021-844-498	498	NUT	NUT	191	NUT	nøtt	2	nöt	5	c	0	0	0
Epps-2021-844-499	499	OAK	OAK	644	OAK	eik	2	ek	6	c	0	1	0
Epps-2021-844-500	500	OAR	OAR	3137	OAR	år, åre	15	åra	2	c	0	0	0
Epps-2021-844-501	501	OATH	OATH	1712	OATH	eid	5	ed	3	c	0	0	1
Epps-2021-844-502	502	OATS	OATS 1 // OATS 2	60	OAT	havre	0	havre	6	c	0	1	0
Epps-2021-844-503	503	OCEAN	OCEAN	645	OCEAN	osean		ocean	10	l	0	1	0
Epps-2021-844-504	504	OIL	OIL	1484	OIL (ORGANIC SUBSTANCE)	olje	69	olja	35	l	0	1	0
Epps-2021-844-505	505	OINTMENT	OINTMENT 1 // OINTMENT 2	1926	OINTMENT	smurning	0	smorning	0	c	0	1	0
Epps-2021-844-506	506	OLIVE	OLIVE	1154	OLIVE	oliven	0	oliv	1	l	0	0	0
Epps-2021-844-507	507	OMEN	OMEN 1 // OMEN 2 // OMEN 3	107	OMEN			förebud	2	c	0	0	1
Epps-2021-844-508	508	ONE'S OWN BUSINESS	ONE'S OWN BUSINESS					ensak		c	0	0	0
Epps-2021-844-509	509	ORNAMENT OR ADORNMENT	ORNAMENT OR ADORNMENT 1 // ORNAMENT OR ADORNMENT 2	917	ORNAMENT	utsmykking	5	utsmyckning	11	l	0	0	0
Epps-2021-844-510	510	OUTSKIRTS	OUTSKIRTS			utkant		utkant		l	0	0	1
Epps-2021-844-511	511	OVEN	OVEN	1143	OVEN	omn	47	ugn	13	c	0	0	0
Epps-2021-844-512	512	OWL	OWL	735	OWL	ugle	4	uggla	5	c	1	0	0
Epps-2021-844-513	513	OX	OX	1169	OX	okse	13	oxe	1	c	1	1	0
Epps-2021-844-514	514	PADDLE	PADDLE	234	PADDLE			paddel	0	l	0	0	0
Epps-2021-844-515	515	PADLOCK	PADLOCK	336	PADLOCK	hengelås	4	hänglås	11	c	0	0	0
Epps-2021-844-516	516	PAIN	PAIN 1 // PAIN 2 // PAIN 3 // PAIN 4 // PAIN 5	1783	PAIN	vondt		ont	0	c	0	x	1
Epps-2021-844-517	517	PAINT; COLOR	PAINT; COLOR	1613	COLOR	farge	48	färg	189	l	0	0	0
Epps-2021-844-518	518	PAIR	PAIR	1888	PAIR	par	244	par	427	l	0	0	1
Epps-2021-844-519	519	PALM OF THE HAND	PALM OF THE HAND 1 // PALM OF THE HAND 2 // PALM OF THE HAND 3	1183	PALM OF HAND	handflate	4	handflata	0	c	0	0	0
Epps-2021-844-520	520	PALM TREE	PALM TREE	1181	PALM TREE	palme	2	palm	9	l	0	1	0
Epps-2021-844-521	521	PAN	PAN	31	PAN	panne	24	panna	20	l	0	0	0
Epps-2021-844-522	522	PAPER	PAPER	648	PAPER	papir	41	papper	76	l	0	0	0
Epps-2021-844-523	523	PARENTS	PARENTS	505	PARENTS	forelder	126	föräldrar	137	c	1	1	0
Epps-2021-844-524	524	PART	PART 1 // PART 2	779	PART	del	1097	del	1177	l	0	0	1
Epps-2021-844-525	525	PASTRY	PASTRY					bakelse		l	0	0	0
Epps-2021-844-526	526	PASTURE	PASTURE 1 // PASTURE 2 // PASTURE 3	649	PASTURE	hage	38	hage	1	c	0	1	0
Epps-2021-844-527	527	PATH	PATH 1 // PATH 2	2252	PATH	veg	986	väg	552	c	0	0	0
Epps-2021-844-528	528	PEACE	PEACE	1338	PEACE	fred	152	fred	68	c	0	1	1
Epps-2021-844-529	529	PEG	PEG 1 // PEG 2 // PEG 3 // PEG 4 // PEG 5 // PEG 6	361	PEG	spuns	1	spuns	0	c	0	0	0
Epps-2021-844-530	530	PEN	PEN	794	PEN	penn	15	penna	22	l	0	0	0
Epps-2021-844-531	531	PENALTY OR PUNISHMENT	PENALTY OR PUNISHMENT 1 // PENALTY OR PUNISHMENT 2	390	PUNISHMENT	straff	21	straff	32	l	0	0	1
Epps-2021-844-532	532	PENIS	PENIS 1 // PENIS 2	1222	PENIS	peis	4			c	0	0	0
Epps-2021-844-533	533	PENSION	PENSION			pensjon		pension		l	0	0	1
Epps-2021-844-534	534	PEOPLE	PEOPLE	789	PEOPLE	folk	1523	folk	519	c	1	1	0
Epps-2021-844-535	535	PEPPER	PEPPER	1385	PEPPER	pepar	0	peppar	4	l	0	1	0
Epps-2021-844-536	536	PERJURY	PERJURY	1792	PERJURY	meined	0	mened	1	c	0	0	1
Epps-2021-844-537	537	PERSON	PERSON	683	PERSON	menneskjemenneske,		människa	844	l	1	0	0
Epps-2021-844-538	538	PERSONALITY	PERSONALITY			personlegdom		personlighet		l	0	1	1
Epps-2021-844-539	539	PESTLE	PESTLE	225	PESTLE	støyt	11	mortelstöt	8	c	0	0	0
Epps-2021-844-540	540	PETROLEUM	PETROLEUM	650	PETROLEUM	bensin	11	bensin	14	l	0	1	0
Epps-2021-844-541	541	PIECE	PIECE 1 // PIECE 2	594	PIECE	bete, bit	0	bit	65	c	0	0	1
Epps-2021-844-542	542	PIG	PIG 1 // PIG 2 // PIG 3	1337	PIG	gris	24	gris	4	c	1	0	0
Epps-2021-844-543	543	PILL OR TABLET	PILL OR TABLET	395	PILL	tablett	0	tablett	2	l	0	0	0
Epps-2021-844-544	544	PILLOW	PILLOW 1 // PILLOW 2	1044	PILLOW	kodde	1	kudde	2	c	0	0	0
Epps-2021-844-545	545	PINE	PINE	1740	PINE	toll	10	tall	7	c	0	1	0
Epps-2021-844-546	546	PIPE	PIPE	1124	PIPE	pipe	35	pipa	18	l	0	0	0
Epps-2021-844-547	547	PITCHFORK	PITCHFORK 1 // PITCHFORK 2	337	PITCHFORK	kvissel&	0			c	0	0	0
Epps-2021-844-548	548	PITY	PITY	1141	PITY	synd	76	synd	44	l	0	x	1
Epps-2021-844-549	549	PLACE	PLACE	723	PLACE (POSITION)	plass	522	plats	463	l	0	0	0
Epps-2021-844-550	550	PLAIN	PLAIN	652	PLAIN	slette	14	slätt	16	c	0	1	0
Epps-2021-844-551	551	PLAINTIFF	PLAINTIFF	2020	PLAINTIFF			kärande	0	l	1	0	0
Epps-2021-844-552	552	PLAIT/BRAID	PLAIT/BRAID	1729	PLAIT OR BRAID OR WEAVE	flette	2	fläta	5	c	0	0	0
Epps-2021-844-553	553	PLANT	PLANT	653	PLANT (VEGETATION)	vekst	55	växt	22	c	0	1	0
Epps-2021-844-554	554	PLASTIC	PLASTIC	654	PLASTIC	plast	9	plast	31	l	0	1	0
Epps-2021-844-555	555	PLATE	PLATE	480	PLATE	tallerk,tallerken	6	tallrik	7	l	0	0	0
Epps-2021-844-556	556	PLOT	PLOT 1 // PLOT 2 // PLOT 3	2024	PLOT	komplott	0	komplott	2	l	0	0	1
Epps-2021-844-557	557	POCKET	POCKET 1 // POCKET 2	1851	POCKET	fikke	0	ficka	13	l	0	0	0
Epps-2021-844-558	558	POET	POET	1045	POET	diktar	60	diktare	58	l	1	0	0
Epps-2021-844-559	559	POISON	POISON	655	POISON	gift	6	gift	18	l	0	1	1
Epps-2021-844-560	560	POLICE	POLICE	656	POLICE	polis, polise	2	polis	202	l	1	0	0
Epps-2021-844-561	561	PORT	PORT	610	PORT	hamn	37	hamn	111	c	0	0	0
Epps-2021-844-562	562	PORTION	PORTION			porsjon		portion		l	0	0	1
Epps-2021-844-563	563	POST OR POLE	POST OR POLE 1 // POST OR POLE 2	281	POST			pelare	10	l	0	0	0
Epps-2021-844-564	564	POST/MAIL	POST/MAIL	167	MAIL	post	81	post	59	l	0	1	0
Epps-2021-844-565	565	POSTCARD	POSTCARD	1497	POSTCARD	postkort	2	vykort	3	l	0	0	0
Epps-2021-844-566	566	POT	POT	1462	POT	gryte	16	gryta	1	c	0	0	0
Epps-2021-844-567	567	POTATO	POTATO 1 // POTATO 2	593	POTATO	pære	3	pära	0	l	0	0	0
Epps-2021-844-568	568	POTTER	POTTER	359	POTTER			krukmakare	0	l	1	0	0
Epps-2021-844-569	569	PRAISE	PRAISE 1 // PRAISE 2 // PRAISE 3 // PRAISE 4	1687	PRAISE			beröm	14	l	0	x	1
Epps-2021-844-570	570	PRAISE/ BOASTING	PRAISE/ BOASTING			skrepp	0	skräpp		c	0	x	1
Epps-2021-844-571	571	PRAWN OR SHRIMP	PRAWN OR SHRIMP	2349	SHRIMP	reke	3	räka	5	l	1	1	0
Epps-2021-844-572	572	PRECIPICE	PRECIPICE	618	PRECIPICE	stup	5	stup	4	c	0	0	0
Epps-2021-844-573	573	PRESIDENT	PRESIDENT	899	PRESIDENT	president	63	president	205	l	1	0	0
Epps-2021-844-574	574	PRICE	PRICE	657	PRICE	pris	241	pris	283	l	0	1	1
Epps-2021-844-575	575	PRIEST	PRIEST	852	PRIEST	prest	157	präst	89	l	1	0	0
Epps-2021-844-576	576	PRINTING	PRINTING			trykkeri		tryckeri		l	0	0	0
Epps-2021-844-577	577	PRISON	PRISON	1281	PRISON	fengsel	37	fängelse	60	l	0	0	0
Epps-2021-844-578	578	PROPERTY	PROPERTY			eigedom		egendom		c	0	0	1
Epps-2021-844-579	579	PUMPKIN OR SQUASH	PUMPKIN OR SQUASH 1 // PUMPKIN OR SQUASH 2	864	PUMPKIN			pumpa	3	l	0	1	0
Epps-2021-844-580	580	PUNISHMENT	PUNISHMENT	390	PUNISHMENT	refsing	0	räfsing	0	c	0	0	1
Epps-2021-844-581	581	PUPIL	PUPIL 1 // PUPIL 2	753	PUPIL (STUDENT)	elev	282	elev	249	l	1	0	0
Epps-2021-844-582	582	PUS	PUS	1808	PUS	var	1	var	0	c	0	1	0
Epps-2021-844-583	583	QUARREL	QUARREL 1 // QUARREL 2 // QUARREL 3 // QUARREL 4 // QUARREL 5	1848	QUARREL			gräl	10	c	0	0	1
Epps-2021-844-584	584	QUEEN	QUEEN	1306	QUEEN	dronning	4	drottning	62	c	1	0	0
Epps-2021-844-585	585	RABBIT	RABBIT	1136	RABBIT	kanin	14	kanin	1	l	1	0	0
Epps-2021-844-586	586	RADIO	RADIO	1315	RADIO	radio	91		126	l	0	0	0
Epps-2021-844-587	587	RAFT	RAFT	1664	RAFT	flåte	14	flotte	4	c	0	0	0
Epps-2021-844-588	588	RAFTER	RAFTER 1 // RAFTER 2	829	RAFTER	takstol	0	takstol	0	c	0	0	0
Epps-2021-844-589	589	RAIN	RAIN	658	RAIN (PRECIPITATION)	regn	59	regn	28	c	0	1	0
Epps-2021-844-590	590	RAINBOW	RAINBOW	1733	RAINBOW	regnboge	4	regnbåge	1	c	0	0	0
Epps-2021-844-591	591	RAKE	RAKE 1 // RAKE 2 // RAKE 3	338	RAKE	harv	1	harv, harva	0	c	0	0	0
Epps-2021-844-592	592	RAPE	RAPE	953	RAPE	valdtekt	5	våldtäkt	6	c	0	0	0
Epps-2021-844-593	593	RAT	RAT	1490	RAT	rotte	3	råtta	8	l	1	1	0
Epps-2021-844-594	594	RATTLE	RATTLE	300	RATTLE			skallra	1	c	0	0	0
Epps-2021-844-595	595	RAZOR	RAZOR	151	RAZOR	høvel	0	rakhyvel	0	l	0	0	0
Epps-2021-844-596	596	REINDEER/CARIBOU	REINDEER/CARIBOU	1876	REINDEER	rein	15	ren	1	c	1	0	0
Epps-2021-844-597	597	RELATIVES	RELATIVES 1 // RELATIVES 2	1644	RELATIVES	slekt	45	släkt	41	l	1	1	0
Epps-2021-844-598	598	RELIGION	RELIGION	661	RELIGION	religion	22	religion	75	l	0	1	1
Epps-2021-844-599	599	RICE	RICE	926	RICE	ris	4	ris	7	l	0	1	0
Epps-2021-844-600	600	RIDGEPOLE	RIDGEPOLE	280	RIDGEPOLE	takås	0	takås	3	c	0	0	0
Epps-2021-844-601	601	RING	RING	1374	RING	ring	37	ring	24	c	0	0	0
Epps-2021-844-602	602	RIVER OR STREAM	RIVER OR STREAM 1 // RIVER OR STREAM 2 // RIVER OR STREAM 3	666	RIVER	å	15	å	7	c	0	0	0
Epps-2021-844-603	603	ROAD	ROAD	667	ROAD	gate	69	gata	119	c	0	0	0
Epps-2021-844-604	604	ROD	ROD			svige		svig	0	c	0	0	0
Epps-2021-844-605	605	ROOF	ROOF	769	ROOF	tak	218	tak	73	c	0	0	0
Epps-2021-844-606	606	ROOM	ROOM	1450	ROOM	rom	216	rum	301	c	0	0	0
Epps-2021-844-607	607	ROOT	ROOT	670	ROOT	rot	49	rot	43	c	0	1	0
Epps-2021-844-608	608	ROPE	ROPE	1218	ROPE	reip	0	rep	3	c	0	0	0
Epps-2021-844-609	609	RUDDER	RUDDER 1 // RUDDER 2	108	RUDDER	styre	286	styre	2	c	0	0	0
Epps-2021-844-610	610	RUIN	RUIN			ruin	0	ruin	17	l	0	0	0
Epps-2021-844-611	611	RYE	RYE	23	RYE	rug	1	råg	1	c	0	1	0
Epps-2021-844-612	612	SACRIFICE	SACRIFICE	1103	SACRIFICE	offer	27	offer	66	l	0	1	1
Epps-2021-844-613	613	SAIL	SAIL	787	SAIL	segl	10	segel	27	c	0	0	0
Epps-2021-844-614	614	SALT	SALT	1274	SALT	salt	18	salt	20	c	0	1	0
Epps-2021-844-615	615	SAND	SAND	671	SAND	sand	19	sand	32	c	0	1	0
Epps-2021-844-616	616	SANDFLY OR MIDGE OR GNAT	SANDFLY OR MIDGE OR GNAT 1 // SANDFLY OR MIDGE OR GNAT 2	95	SANDFLY	mygg	4	mygga	3	c	1	1	0
Epps-2021-844-617	617	SAP	SAP	345	SAP	sevje	5	sav	0	c	0	1	0
Epps-2021-844-618	618	SATURDAY	SATURDAY	1700	SATURDAY	laurdag	232	lördag	93	c	0	0	1
Epps-2021-844-619	619	SAUSAGE	SAUSAGE 1 // SAUSAGE 2	1874	SAUSAGE	kurv	0	korv	10	c	0	0	0
Epps-2021-844-620	620	SAW	SAW	1948	SAW	sag	8	såg	2	c	0	0	0
Epps-2021-844-621	621	SCAB	SCAB	2664	SCAB	skorpe	4	sårskorpa	0	c	0	1	0
Epps-2021-844-622	622	SCALE	SCALE	266	SCALE			fjäll		c	1	1	0
Epps-2021-844-623	623	SCAR	SCAR	497	SCAR	ær	0	ärr	13	c	0	0	0
Epps-2021-844-624	624	SCHOOL	SCHOOL	673	SCHOOL	skole, skule	836	skola	296	l	0	1	0
Epps-2021-844-625	625	SCIENCE	SCIENCE			vitskap		vetenskap		l	0	1	1
Epps-2021-844-626	626	SCISSORS OR SHEARS	SCISSORS OR SHEARS	356	SHEARS	saks	11	sax	5	c	0	0	0
Epps-2021-844-627	627	SCORPION	SCORPION	1538	SCORPION	skorpion	0	skorpion	0	l	1	0	0
Epps-2021-844-628	628	SCRAPER	SCRAPER			skrape	1	skrapa	0	l	0	0	1
Epps-2021-844-629	629	SCREW	SCREW	1802	SCREW	skrue	2	skruv	5	l	0	0	0
Epps-2021-844-630	630	SCREWDRIVER/CHISEL	SCREWDRIVER/CHISEL	1979	CHISEL	meisel	0	skruvmejsel	0	l	0	0	0
Epps-2021-844-631	631	SCULPTOR	SCULPTOR	914	SCULPTOR	skulptør	1	skulptör	10	l	1	0	0
Epps-2021-844-632	632	SEA	SEA	1474	SEA	hav	123	hav	153	c	0	1	0
Epps-2021-844-633	633	SEAGULL	SEAGULL 1 // SEAGULL 2 // SEAGULL 3	950	SEAGULL	lom	8	lom	0	c	1	0	0
Epps-2021-844-634	634	SEASON	SEASON	691	SEASON	årstid	16	årstid	9	c	0	1	1
Epps-2021-844-635	635	SEAT	SEAT			sete	25	säte	7	c	0	0	0
Epps-2021-844-636	636	SECTION	SECTION			seksjon		sektion		l	0	0	1
Epps-2021-844-637	637	SEED	SEED	714	SEED	frø	0	frö	28	c	0	1	0
Epps-2021-844-638	638	SERVANT	SERVANT 1 // SERVANT 2 // SERVANT 3 // SERVANT 4	255	SERVANT	tenar	17	tjänare	15	c	1	0	0
Epps-2021-844-639	639	SHADE OR SHADOW	SHADE OR SHADOW	1388	SHADE	skugge	51	skugga	63	c	0	1	0
Epps-2021-844-640	640	SHAME	SHAME	1776	SHAME	skam	18	skam	9	c	0	x	1
Epps-2021-844-641	641	SHAVINGS	SHAVINGS			spon	2	spån	0	c	0	1	0
Epps-2021-844-642	642	SHED (UTHUS)	SHED (UTHUS)	3025	BARN OR SHED	uthus	10	uthus	3	c	0	0	0
Epps-2021-844-643	643	SHEEP	SHEEP 1 // SHEEP 2	1331	SHEEP	sau	84			c	1	1	0
Epps-2021-844-644	644	SHELF	SHELF	745	SHELF	hylle	17	hylla	19	l	0	0	0
Epps-2021-844-645	645	SHELL	SHELL 1 // SHELL 2	598	SHELL	skjel, skal	3	skal		c	1	1	0
Epps-2021-844-646	646	SHIELD	SHIELD	1064	SHIELD	skjold	2	sköld	8	c	0	0	0
Epps-2021-844-647	647	SHIP	SHIP	740	SHIP	skip	32	skepp	20	c	0	0	0
Epps-2021-844-648	648	SHIRT	SHIRT	1622	SHIRT	skjorte	24	skjorta	9	c	0	0	0
Epps-2021-844-649	649	SHOE	SHOE	1381	SHOE	sko	46	sko	48	c	0	0	0
Epps-2021-844-650	650	SHOEMAKER	SHOEMAKER	875	SHOEMAKER	skomakar	6	skomakare	10	l	0	0	0
Epps-2021-844-651	651	SHOP/STORE	SHOP/STORE 1 // SHOP/STORE 2 // SHOP/STORE 3	752	STORE	bu&	12			c	0	0	0
Epps-2021-844-652	652	SHORE	SHORE	113	SHORE	strand	30	strand	72	c	0	1	0
Epps-2021-844-653	653	SHOULDER	SHOULDER 1 // SHOULDER 2	1482	SHOULDER						0	0	0
Epps-2021-844-654	654	SHOULDER-BLADE	SHOULDER-BLADE	172	SHOULDERBLADE	akselfjøl	0			c	0	0	0
Epps-2021-844-655	655	SHOVEL	SHOVEL 1 // SHOVEL 2	1901	SHOVEL	spade	11	spade	4	c	0	0	0
Epps-2021-844-656	656	SIBLING	SIBLING	1640	SIBLING	sysken,søsken	18	syskon	9	c	1	0	0
Epps-2021-844-657	657	SICKLE OR SCYTHE	SICKLE OR SCYTHE 1 // SICKLE OR SCYTHE 2	2132	SICKLE OR SCYTHE	sigd	1	sigd	0	c	0	0	0
Epps-2021-844-658	658	SIDE	SIDE	682	SIDE	side	648	sida	679	c	0	0	0
Epps-2021-844-659	659	SILK	SILK 1 // SILK 2	1641	SILK	silke	1	silke	0	l	0	0	0
Epps-2021-844-660	660	SILVER	SILVER	759	SILVER	sylv, sølv	0	silver	14	c	0	1	0
Epps-2021-844-661	661	SINEW OR TENDON	SINEW OR TENDON	1137	TENDON	sen, sene	1	sena	0	c	0	1	0
Epps-2021-844-662	662	SINK	SINK 1 // SINK 2 // SINK 3			benk		diskbänk	2	c	0	0	0
Epps-2021-844-663	663	SKIN OR HIDE	SKIN OR HIDE 1 // SKIN OR HIDE 2	763	SKIN	hud	5	hud	21	c	0	1	0
Epps-2021-844-664	664	SKIRT	SKIRT	1600	SKIRT	kjole	30	kjol	38	l	0	0	0
Epps-2021-844-665	665	SKULL	SKULL	1605	SKULL	skalle	13	skalle	13	c	0	0	0
Epps-2021-844-666	666	SKY/HEAVEN	SKY/HEAVEN	1732	SKY	himmel	80	himmel	51	c	0	1	0
Epps-2021-844-667	667	SLAVE	SLAVE 1 // SLAVE 2	812	SLAVE	træl	3	träl	0	c	1	0	0
Epps-2021-844-668	668	SLEDGE/SLED	SLEDGE/SLED 1 // SLEDGE/SLED 2	16	SLED	slede	7	släde	1	c	0	0	0
Epps-2021-844-669	669	SMOKE	SMOKE	778	SMOKE (EXHAUST)	røyk	38	rök	16	c	0	1	0
Epps-2021-844-670	670	SNAKE	SNAKE	730	SNAKE	orm	4	orm	4	c	1	0	0
Epps-2021-844-671	671	SNOW	SNOW	784	SNOW	snø	6	snö	44	c	0	1	0
Epps-2021-844-672	672	SNOWSHOE	SNOWSHOE	233	SNOWSHOE	truge	0	tryga	0	c	0	0	0
Epps-2021-844-673	673	SOAP	SOAP 1 // SOAP 2	788	SOAP	dveil	0	tvål	8	c	0	0	0
Epps-2021-844-674	674	SOCK OR STOCKING	SOCK OR STOCKING 1 // SOCK OR STOCKING 2	329	STOCKING	strømpe	0	strumpa	10	l	0	0	0
Epps-2021-844-675	675	SOIL	SOIL	1228	EARTH (SOIL)	jord	251	jord	178	c	0	1	0
Epps-2021-844-676	676	SOLDIER	SOLDIER	1941	SOLDIER	soldat	61	soldat	67	l	1	0	0
Epps-2021-844-677	677	SONG	SONG 1 // SONG 2	1096	SONG	låt	11	låt	12	c	0	0	0
Epps-2021-844-678	678	SORCEROR	SORCEROR	823	SORCERER	trollkar,trollkall	1	trollkarl	5	c	1	0	1
Epps-2021-844-679	679	SOUL OR SPIRIT	SOUL OR SPIRIT	53	SPIRIT	ande	9	ande	28	c	1	0	1
Epps-2021-844-680	680	SOUND OR NOISE	SOUND OR NOISE	1811	SOUND OR NOISE	ljod, lyd	76	ljud	31	c	0	1	1
Epps-2021-844-681	681	SOUP	SOUP 1 // SOUP 2 // SOUP 3 // SOUP 4	1547	SOUP	kokning	0	kokning	0	l	0	1	0
Epps-2021-844-682	682	SPADE	SPADE 1 // SPADE 2	1176	SPADE	fjøl,bakstefjøl	7	fjöl	0	c	0	0	0
Epps-2021-844-683	683	SPEAR	SPEAR	945	SPEAR	spjut, spyd	3	spjut	3	c	0	0	0
Epps-2021-844-684	684	SPECTACLES OR GLASSES	SPECTACLES OR GLASSES 1 // SPECTACLES OR GLASSES 2	1898	SPECTACLES	glasauga	0	glasögon	10	c	0	0	0
Epps-2021-844-685	685	SPEECH	SPEECH	1115	SPEECH	tale	132	tal	200	c	0	0	1
Epps-2021-844-686	686	SPIDER	SPIDER // SPIDER	843	SPIDER	kongro	0				1	0	0
Epps-2021-844-687	687	WEB/FABRIC	WEB/FABRIC	1065	SPIDER WEB	kongrovev	4	väv	2	c	0	1	0
Epps-2021-844-688	688	SPINDLE	SPINDLE	277	SPINDLE	snelle	0	slända	0	c	0	0	0
Epps-2021-844-689	689	SPINE	SPINE	805	SPINE	ryggrad	7	ryggrad	9	l	0	0	0
Epps-2021-844-690	690	SPLEEN	SPLEEN	1744	SPLEEN	milt	0	mjälte	2	c	0	0	0
Epps-2021-844-691	691	SPOON	SPOON	1378	SPOON	skei	8	sked	2	l	0	0	0
Epps-2021-844-692	692	SPRING (SEASON)	SPRING (SEASON)	1537	SPRINGTIME	vår	163	vår	144	c	0	1	1
Epps-2021-844-693	693	SPRING OR WELL	SPRING OR WELL 1 // SPRING OR WELL 2	2144	SPRING OR WELL	brunn	8	brunn	12	c	0	0	0
Epps-2021-844-694	694	SQUARE	SQUARE	850	SQUARE	firkant	1	fyrkant	2	l	0	0	0
Epps-2021-844-695	695	SQUIRREL	SQUIRREL	1628	SQUIRREL	ikorn, ekorn	0	ekorre	2	c	1	0	0
Epps-2021-844-696	696	STABLE OR STALL	STABLE OR STALL	851	STABLE	lade, løe	32	lada	2	c	0	0	0
Epps-2021-844-697	697	STACK	STACK			stakk	7	stack	1	c	0	1	0
Epps-2021-844-698	698	STAFF	STAFF			pigg	2	pik	0	c	0	0	0
Epps-2021-844-699	699	STAR	STAR	1430	STAR	stjerne	28	stjärna	33	c	0	0	0
Epps-2021-844-700	700	STARCH	STARCH					stärkelse		c	0	1	1
Epps-2021-844-701	701	STATION	STATION			stasjon		station		l	0	0	0
Epps-2021-844-702	702	STATUE	STATUE	1002	STATUE	statue	0	staty	5	l	0	0	0
Epps-2021-844-703	703	STEAM	STEAM 1 // STEAM 2 // STEAM 3	1193	STEAM			dofve	0	c	0	1	0
Epps-2021-844-704	704	STEER	STEER			stut	0	stut	0	c	1	1	0
Epps-2021-844-705	705	STONE	STONE	857	STONE	stein	115	sten	68	c	0	1	0
Epps-2021-844-706	706	STORM	STORM	858	STORM	storm	35	storm	45	c	0	1	0
Epps-2021-844-707	707	STORY	STORY	2060	STORY			berättelse		l	0	0	1
Epps-2021-844-708	708	STOVE	STOVE	859	STOVE	spis	0	spis	17	l	0	0	0
Epps-2021-844-709	709	STRANGER	STRANGER 1 // STRANGER 2 // STRANGER 3	791	STRANGER	framand		främmande	1	l	1	0	0
Epps-2021-844-710	710	STRAP	STRAP 1 // STRAP 2 // STRAP 3	2973	STRAP	reim	1	bärrem	1	c	0	0	0
Epps-2021-844-711	711	STUPIDITY	STUPIDITY			dumskap@		dumhet		l	0	1	1
Epps-2021-844-712	712	SUGAR	SUGAR	862	SUGAR	sukker	11	socker	15	l	0	1	0
