ID	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH	MAURITIAN	HAITIAN	FRENCH
Wittmann-1973-200-71	71	1210	HEAVY	heavy	lurd	lu	lourd
Wittmann-1973-200-72	72	136	HERE	here	isi	isit	ici
Wittmann-1973-200-73	73	353	STRIKE	to hit	bat-e	frapé, tapé	frapper
Wittmann-1973-200-74	74	1448	HOLD	to hold	tini	kêbé	tenir
Wittmann-1973-200-75	75	1239	HOW	how	kumâ, ki manyer	kômâ	comment
Wittmann-1973-200-76	76	1435	HUNT	to hunt	lasas, pus-e	šasé	chasser
Wittmann-1973-200-77	77	1200	HUSBAND	husband	mari, bonom	mari	mari
Wittmann-1973-200-78	78	1209	I	I	mo-a	mwê	moi
Wittmann-1973-200-79	79	617	ICE	ice	laglas	glas	glace
Wittmann-1973-200-80	80	1459	IF	if	si	si	si
Wittmann-1973-200-81	81	1460	IN	in	dâ	nâ, lâ	dans
Wittmann-1973-200-82	82	1417	KILL	to kill	tuy-e	tuyé	tuer
Wittmann-1973-200-83	83	1410	KNOW (SOMETHING)	to know	kon-e	kôn(ê)	connaître
Wittmann-1973-200-84	84	624	LAKE	lake	reservoar	(l)étâ	lac
Wittmann-1973-200-85	85	1355	LAUGH	to laugh	rir	ri	rire
Wittmann-1973-200-86	86	628	LEAF	leaf	fey	fèy	feuille
Wittmann-1973-200-87	87	244	LEFT	left (side)	gos	gòš	gauche
Wittmann-1973-200-88	88	1297	LEG	leg	lazam	žâm	jambe
Wittmann-1973-200-89	89	1411	LIE (REST)	to lie	alôz-e	kuše, layé	être couché
Wittmann-1973-200-90	90	1422	BE ALIVE	to live	viv	viv	vivre
Wittmann-1973-200-91	91	1224	LIVER	liver	lefoa	fwa	foie
Wittmann-1973-200-92	92	1203	LONG	long	lon	lô(g)	long
Wittmann-1973-200-93	93	1392	LOUSE	louse	lipu	pu	pou
Wittmann-1973-200-94	94	2106	MALE PERSON	man-male	zom	nòm, nèg	homme
Wittmann-1973-200-95	95	1198	MANY	many	buku	âpil	beaucoup
Wittmann-1973-200-96	96	2615	FLESH OR MEAT	meat-flesh	lavian	viân	viande
Wittmann-1973-200-97	97	1216	MOTHER	mother	mama	mâmâ	maman, mère 
Wittmann-1973-200-98	98	639	MOUNTAIN	mountain	môtây	mòn	montagne
Wittmann-1973-200-99	99	674	MOUTH	mouth	labus	buš, ǰol	bouche
Wittmann-1973-200-100	100	1405	NAME	name	nô	nô	nom
Wittmann-1973-200-101	101	1267	NARROW	narrow	sere, ti	étwat	étroit
Wittmann-1973-200-102	102	1942	NEAR	near	pre, pa luê	pré	près
Wittmann-1973-200-103	103	1333	NECK	neck	liku	ku	cou
Wittmann-1973-200-104	104	1231	NEW	new	nef	nèf, nuvó	neuf
Wittmann-1973-200-105	105	1233	NIGHT	night	lanuit	(la)nwit	nuit
Wittmann-1973-200-106	106	1221	NOSE	nose	nene	né	nez
Wittmann-1973-200-107	107	1240	NOT	not	(na)pa	pa	(ne) pas
Wittmann-1973-200-108	108	1229	OLD	old	vye	vié	vieux
Wittmann-1973-200-109	109	1493	ONE	one	en	yun	un
Wittmann-1973-200-110	110	197	OTHER	other	lot/lezot	lòt/zòt	autre
Wittmann-1973-200-111	111	683	PERSON	person	dimun	mun	personne
Wittmann-1973-200-112	112	1413	PLAY	to play	zue	žwé	jouer
Wittmann-1973-200-113	113	1455	PULL	to pull	ris-e	tiré, ralé	tirer
Wittmann-1973-200-114	114	1452	PUSH	to push	pus-e	pusé	pousser
Wittmann-1973-200-115	115	658	RAIN (PRECIPITATION)	rain	lapli	(la)pli	pluie
Wittmann-1973-200-116	116	156	RED	red	ruz	ruž	rouge
Wittmann-1973-200-117	117	1725	CORRECT (RIGHT)	right (correct)	(ena) rezô	(gê) rézô	(avoir) raison
Wittmann-1973-200-118	118	1019	RIGHT	right (side)	droat	dwat	droit
Wittmann-1973-200-119	119	666	RIVER	river	larivyer	lariviè	rivière
Wittmann-1973-200-120	120	667	ROAD	road	simê	šémê, rut	chemin
Wittmann-1973-200-121	121	670	ROOT	root	rasin	rasin	racine
Wittmann-1973-200-122	122	1218	ROPE	rope	lakord	kòd	corde
Wittmann-1973-200-123	123	1728	ROTTEN	rotten	puri, gate	puri	pourri
Wittmann-1973-200-124	124	1449	RUB	to rub	frot-e	fróté	frotter
Wittmann-1973-200-125	125	1274	SALT	salt	disel	sèl	sel
Wittmann-1973-200-126	126	671	SAND	sand	disab	sab	sable
Wittmann-1973-200-127	127	1458	SAY	to say	dir	di	dire
Wittmann-1973-200-128	128	1436	SCRATCH	to scratch	grat-e	graté	gratter
Wittmann-1973-200-129	129	1474	SEA	sea	lamer	lâmè	mer
Wittmann-1973-200-130	130	1409	SEE	to see	truv-e	wè	voir
Wittmann-1973-200-131	131	714	SEED	seed	lagren	grên	graine
Wittmann-1973-200-132	132	1457	SEW	to sew	kud	kud	coudre
Wittmann-1973-200-133	133	1396	SHARP	sharp	fite	filé	tranchant
Wittmann-1973-200-134	134	1645	SHORT	short	kurt	kut	court
Wittmann-1973-200-135	135	1261	SING	to sing	sât-e	šâté	chanter
Wittmann-1973-200-136	136	1416	SIT	to sit	asiz-e	šita	être assis
Wittmann-1973-200-137	137	2613	SKIN (HUMAN)	skin	lapo	pó	peau
Wittmann-1973-200-138	138	1732	SKY	sky	lesyel	lésièl	ciel
Wittmann-1973-200-139	139	1585	SLEEP	to sleep	dormi	dòmi	dormir
Wittmann-1973-200-140	140	1246	SMALL	small	ti	piti	petit
Wittmann-1973-200-141	141	1586	SMELL (PERCEIVE)	to smell	sâti	sâti	sentir
Wittmann-1973-200-142	142	778	SMOKE (EXHAUST)	smoke	lafime	lafimê	fumée
Wittmann-1973-200-143	143	1234	SMOOTH	smooth	lis	lis, dus	lisse
Wittmann-1973-200-144	144	730	SNAKE	snake	serpa	kulèv, sèpâ	serpent
Wittmann-1973-200-145	145	784	SNOW	snow	lanez	lanèž	neige
Wittmann-1973-200-146	146	1241	SOME	some	de-troa	kèk	quelques
Wittmann-1973-200-147	147	1440	SPIT	to spit	kras-e	krašé	cracher
Wittmann-1973-200-148	148	1437	SPLIT	to split	fan	fân	fendre
Wittmann-1973-200-149	149	1414	SQUEEZE	to squeeze	ser-e	séré	serrer
Wittmann-1973-200-150	150	1434	STAB	to stab	pôyard-e	fut yun ku-d-kutó	poignarder
Wittmann-1973-200-151	151	1442	STAND	to stand	dibut-e	kâpé	être debout
Wittmann-1973-200-152	152	1430	STAR	star	zetual	zétwal	étoile
Wittmann-1973-200-153	153	1295	STICK	stick	batô	batô, makak	bâton
Wittmann-1973-200-154	154	857	STONE	stone	ros	piè, róš	pierre
Wittmann-1973-200-155	155	1404	STRAIGHT	straight	droat	dwat	droit
Wittmann-1973-200-156	156	1421	SUCK	to suck	sus-e	susé	sucer
Wittmann-1973-200-157	157	1343	SUN	sun	soley	sólèy	soleil
Wittmann-1973-200-158	158	1573	SWELL	to swell	âfle	âflé	s’enfler
Wittmann-1973-200-159	159	1439	SWIM	to swim	naz-e	nažé	nager
Wittmann-1973-200-160	160	1220	TAIL	tail	lake	ké, tyé	queue
Wittmann-1973-200-161	161	78	THAT	that	sa	sila	ça, cela
Wittmann-1973-200-162	162	1937	THERE	there	laba	la-ba, la	là-bas
Wittmann-1973-200-163	163	817	THEY	they	zot	yó	eux
Wittmann-1973-200-164	164	1244	THICK	thick	epe	épé	épais
Wittmann-1973-200-165	165	2308	THIN	thin	mês, meg	mês, mèg	mince, maigre
Wittmann-1973-200-166	166	2271	THINK	to think	mazin-e	pâsé	penser
Wittmann-1973-200-167	167	1214	THIS	this	sa	sa	ceci
Wittmann-1973-200-168	168	1215	THOU	thou	to-a	u	toi
Wittmann-1973-200-169	169	492	THREE	three	troa	twa(z)	trois
Wittmann-1973-200-170	170	1456	THROW	to throw	zet-e	žété	jeter
Wittmann-1973-200-171	171	1917	TIE	to tie	atas-e, amar-e	marê	attacher
Wittmann-1973-200-172	172	1205	TONGUE	tongue	lalan	lâg	langue
Wittmann-1973-200-173	173	1380	TOOTH	tooth	ledâ	dâ	dent
Wittmann-1973-200-174	174	906	TREE	tree	pye	pié (bwa)	arbre
Wittmann-1973-200-175	175	1588	TURN	to turn	turn-e, vir-e	tûnê, viré	tourner, virer
Wittmann-1973-200-176	176	1498	TWO	two	de	dé(z)	deux
Wittmann-1973-200-177	177	1278	VOMIT	to vomit	vomi	vómi	vomir
Wittmann-1973-200-178	178	1443	WALK	to walk	mars-e	mašé	marcher
Wittmann-1973-200-179	179	1232	WARM	warm	so	šó	chaud
Wittmann-1973-200-180	180	1453	WASH	to wash	lav-e	lavé	laver
Wittmann-1973-200-181	181	948	WATER	water	dilo	dl(y)ó	eau
Wittmann-1973-200-182	182	1212	WE	we	nu	nu	nous
Wittmann-1973-200-183	183	1726	WET	wet	muye	muyé	mouillé
Wittmann-1973-200-184	184	1236	WHAT	what	ki	ki, ki sa	que, quoi
Wittmann-1973-200-185	185	1238	WHEN	when	kâ, ki ler	kâ	quand
Wittmann-1973-200-186	186	1237	WHERE	where	(a)kot, ki kote	ki kóté	où
Wittmann-1973-200-187	187	1335	WHITE	white	blâ	blâš	blanc
Wittmann-1973-200-188	188	1235	WHO	who	ki sa’n la	ki, ki mun	qui
Wittmann-1973-200-189	189	1243	WIDE	wide	larz	laž	large
Wittmann-1973-200-190	190	1199	WIFE	wife	fam, bonfam	madâm	femme, épouse 
Wittmann-1973-200-191	191	960	WIND	wind	divâ	vâ	vent
Wittmann-1973-200-192	192	1257	WING	wing	lezel	zèl	aile
Wittmann-1973-200-193	193	1454	WIPE	to wipe	suy-e	siyé, suyé	essuyer
Wittmann-1973-200-194	194	1340	WITH	with	ar/av, ek	ak, avè(k)	avec
Wittmann-1973-200-195	195	962	WOMAN	woman	fam	fâm, nègès	femme
Wittmann-1973-200-196	196	420	FOREST	woods	boa	bwa	bois, forêt 
Wittmann-1973-200-197	197	1219	WORM	worm	lever	vè	ver
Wittmann-1973-200-198	198	1213	YOU	ye	zot	nu, u, zòt	vous
Wittmann-1973-200-199	199	1226	YEAR	year	-â, -ane, banane	â, ané	an, année
Wittmann-1973-200-200	200	1424	YELLOW	yellow	zon	žôn	jaune
