ID	NUMBER	ORIGINAL	GERMAN	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Steinthal-1875-1549-83	83	Hitze	Hitze	heat	612	HEAT
Steinthal-1875-1549-84	84	Erde (Welt)	Erde (Welt)	earth	965	WORLD
Steinthal-1875-1549-85	85	ein Land (grosses Gebiet)	ein Land (grosses Gebiet)	land	626	LAND
Steinthal-1875-1549-86	86	Boden	Boden	soil	1228	EARTH (SOIL)
Steinthal-1875-1549-87	87	Feld (Acker)	Feld (Acker)	field	212	FIELD
Steinthal-1875-1549-88	88	Wiese	Wiese	meadow	2819	GRASSLAND
Steinthal-1875-1549-89	89	Wüste	Wüste	desert	3687	DESERT
Steinthal-1875-1549-90	90	Oase	Oase	oasis		
Steinthal-1875-1549-91	91	Quelle	Quelle	spring of water	849	SPRING (OF WATER)
Steinthal-1875-1549-92	92	Brunnen	Brunnen	well	954	WELL
Steinthal-1875-1549-93	93	Wald	Wald	forest	420	FOREST
Steinthal-1875-1549-94	94	Busch	Busch	bush		
Steinthal-1875-1549-95	95	Berg	Berg	mountain	639	MOUNTAIN
Steinthal-1875-1549-96	96	Gebirge	Gebirge	mountain range	2123	MOUNTAIN RIDGE
Steinthal-1875-1549-97	97	Hügel	Hügel	hill	614	HILL
Steinthal-1875-1549-98	98	Gipfel	Gipfel	summit	1614	SUMMIT
Steinthal-1875-1549-99	99	Fels	Fels	rock	668	ROCK
Steinthal-1875-1549-100	100	Thal	Thal	valley	921	VALLEY
Steinthal-1875-1549-101	101	Ebene	Ebene	plains	652	PLAIN
Steinthal-1875-1549-102	102	Meer	Meer	sea	1474	SEA
Steinthal-1875-1549-103	103	Insel	Insel	island	622	ISLAND
Steinthal-1875-1549-104	104	See (Teich)	See (Teich)	lake	624	LAKE
Steinthal-1875-1549-105	105	Strom	Strom	big river	666	RIVER
Steinthal-1875-1549-106	106	Bach	Bach	stream	947	STREAM
Steinthal-1875-1549-107	107	Welle	Welle	wave	978	WAVE
Steinthal-1875-1549-108	108	Der Fluss ist im Steigen.	Der Fluss ist im Steigen.	The river is rising.		
Steinthal-1875-1549-109	109	Das Wasser tritt über die Ufer, steht hoch, niedrig, fällt.	Das Wasser tritt über die Ufer.	The river bursts its banks.		
Steinthal-1875-1549-110	110	Das Wasser tritt über die Ufer, steht hoch, niedrig, fällt.	Das Wasser steht hoch.	The water level is high.		
Steinthal-1875-1549-111	111	Das Wasser tritt über die Ufer, steht hoch, niedrig, fällt.	Das Wasser steht niedrig.	The water level is low.		
Steinthal-1875-1549-112	112	Das Wasser tritt über die Ufer, steht hoch, niedrig, fällt.	Das Wasser fällt.	The water level falls.		
Steinthal-1875-1549-113	113	Der Bach ist ausgetrocknet.	Der Bach ist ausgetrocknet.	The stream has dried up.		
Steinthal-1875-1549-114	114	Das Wasser ist heiss, kalt.	Das Wasser ist heiss.	The water is hot.		
Steinthal-1875-1549-115	115	Das Wasser ist heiss, kalt.	Das Wasser ist kalt.	The water is cold.		
Steinthal-1875-1549-116	116	Feuer	Feuer	fire	221	FIRE
Steinthal-1875-1549-117	117	Flamme	Flamme	flame	889	FLAME
Steinthal-1875-1549-118	118	Rauch steigt auf.	Rauch steigt auf.	Smoke rises.		
Steinthal-1875-1549-119	119	Feuerkohle	Feuerkohle	charcoal	1188	CHARCOAL
Steinthal-1875-1549-120	120	Asche	Asche	ash	646	ASH
Steinthal-1875-1549-121	121	Metall (die gewöhnlichen Metalle)	Metall	metal	2244	METAL
Steinthal-1875-1549-122	122	Sand	Sand	sand	671	SAND
Steinthal-1875-1549-123	123	Lehm	Lehm	silt	1399	CLAY
Steinthal-1875-1549-124	124	Stein (Edelsteine, Kiesel, Feuerstein)	Stein	stone	857	STONE
Steinthal-1875-1549-125	125	Stein (Edelsteine, Kiesel, Feuerstein)	Edelsteine	gemstone	1029	JEWEL
Steinthal-1875-1549-126	126	Stein (Edelsteine, Kiesel, Feuerstein)	Kiesel	pebble	961	PEBBLES
Steinthal-1875-1549-127	127	Stein (Edelsteine, Kiesel, Feuerstein)	Feuerstein	flintstone		
Steinthal-1875-1549-128	128	Staub	Staub	dust	2	DUST
Steinthal-1875-1549-129	129	Schlamm	Schlamm	mud	640	MUD
Steinthal-1875-1549-130	130	Salz	Salz	salt	1274	SALT
Steinthal-1875-1549-131	131	Seife	Seife	soap	788	SOAP
Steinthal-1875-1549-132	132	Baum fällen	Baum fällen	to fell a tree	355	CUT DOWN
Steinthal-1875-1549-133	133	Strauch	Strauch	shrub	751	SHRUB
Steinthal-1875-1549-134	134	Rohr abschneiden	Rohr abschneiden	to cut reed		
Steinthal-1875-1549-135	135	Gras	Gras	grass	606	GRASS
Steinthal-1875-1549-136	136	Der Baum treibt Blüthen.	Der Baum treibt Blüthen.	The tree bears blossoms.		
Steinthal-1875-1549-137	137	Das Kraut schiesst auf. 	Das Kraut schiesst auf. 	The plants shoot up.		
Steinthal-1875-1549-138	138	Getreide (dessen übliche Arten)	Getreide	grain	605	GRAIN
Steinthal-1875-1549-139	139	Arten von Hülsenfrüchten, von Gemüsen	Hülsenfrüchte	legumes		
Steinthal-1875-1549-140	140	Arten von Hülsenfrüchten, von Gemüsen	Gemüse	vegetables	924	VEGETABLES
Steinthal-1875-1549-141	141	Zweig	Zweig	twig	3222	TWIG
Steinthal-1875-1549-142	142	Blatt	Blatt	leaf	628	LEAF
Steinthal-1875-1549-143	143	Laub	Laub	leaves		
Steinthal-1875-1549-144	144	Rinde	Rinde	bark	1204	BARK
Steinthal-1875-1549-145	145	Dorn	Dorn	thorn	124	THORN
Steinthal-1875-1549-146	146	Die Frucht reift, ist noch nicht reif, faul.	Die Frucht reift.	The fruit ripens.	179	RIPEN
Steinthal-1875-1549-147	147	Die Frucht reift, ist noch nicht reif, faul.	Die Frucht ist noch nicht reif.	The fruit is not ripe yet.	1958	UNRIPE
Steinthal-1875-1549-148	148	Die Frucht reift, ist noch nicht reif, faul.	Die Frucht fault.	The fruit rots.	2907	ROT
Steinthal-1875-1549-149	149	Same	Same	seed	714	SEED
Steinthal-1875-1549-150	150	Wurzel	Wurzel	root	670	ROOT
Steinthal-1875-1549-151	151	Kartoffel	Kartoffel	potato	593	POTATO
Steinthal-1875-1549-152	152	Holz spalten	Holz spalten	to split wood		
Steinthal-1875-1549-153	153	Stroh	Stroh	straw	2299	STRAW
Steinthal-1875-1549-154	154	Heu	Heu	hay	342	HAY
Steinthal-1875-1549-155	155	Palme	Palme	palm tree	1181	PALM TREE
Steinthal-1875-1549-156	156	Dattel	Dattel	date	3801	DATE (FRUIT)
Steinthal-1875-1549-157	157	Kaffee	Kaffee	coffee		
Steinthal-1875-1549-158	158	Pfeffer	Pfeffer	pepper	1385	PEPPER
Steinthal-1875-1549-159	159	Cacao	Cacao	cocoa	2442	COCOA BEAN
Steinthal-1875-1549-160	160	Cocosnuss	Cocosnuss	coconut	970	COCONUT
Steinthal-1875-1549-161	161	Beere	Beere	berry	904	BERRY
Steinthal-1875-1549-162	162	Kern	Kern	pip	1762	STONE (OF FRUIT)
Steinthal-1875-1549-163	163	Schale	Schale	peel	2373	SKIN (OF FRUIT)
Steinthal-1875-1549-164	164	schälen	schälen	to peel	275	PEEL
Steinthal-1875-1549-165	165	Hülse	Hülse	husk	2363	CHAFF (HUSK)
Steinthal-1875-1549-166	166	Fleisch der Früchte	Fleisch der Früchte	fruit pulp		
Steinthal-1875-1549-167	167	Gummi	Gummi	gum		
Steinthal-1875-1549-168	168	Baumwolle	Baumwolle	cotton	1850	COTTON
Steinthal-1875-1549-169	169	Indigo	Indigo	indigo		
Steinthal-1875-1549-170	170	Tabak	Tabak	tobacco	974	TOBACCO
Steinthal-1875-1549-171	171	Oel	Oel	oil	1484	OIL (ORGANIC SUBSTANCE)
Steinthal-1875-1549-172	172	Zucker	Zucker	sugar	862	SUGAR
Steinthal-1875-1549-173	173	Stock (zum Gehen)	Stock (zum Gehen)	walking cane	1296	WALKING STICK
Steinthal-1875-1549-174	174	Thier	Thier	animal	619	ANIMAL
Steinthal-1875-1549-175	175	Hund bellt, beisst, wedelt mit dem Schwanze.	Hund bellt.	Dog barks.		
Steinthal-1875-1549-176	176	Hund bellt, beisst, wedelt mit dem Schwanze.	Hund beisst.	Dog bites.		
Steinthal-1875-1549-177	177	Hund bellt, beisst, wedelt mit dem Schwanze.	Hund wedelt mit dem Schwanze.	Dog wags its tail.		
Steinthal-1875-1549-178	178	Katze miaut.	Katze miaut.	Cat meows.		
Steinthal-1875-1549-179	179	Bulle	Bulle	bull	1008	BULL
Steinthal-1875-1549-180	180	Kuh	Kuh	cow	1007	COW
Steinthal-1875-1549-181	181	Ochs käut wieder.	Ochs käut wieder.	Ox ruminates.		
Steinthal-1875-1549-182	182	Kalb	Kalb	calf	1989	CALF
Steinthal-1875-1549-183	183	kalben	kalben	to calve		
Steinthal-1875-1549-184	184	Stier brüllt.	Stier brüllt.	Bull roars.		
Steinthal-1875-1549-185	185	Rindvieh	Rindvieh	bovine	3044	BOVINE
Steinthal-1875-1549-186	186	Ziege mäckert.	Ziege mäckert.	Goat bleats.		
Steinthal-1875-1549-187	187	Ziegenbock	Ziegenbock	He-goat	2475	MALE GOAT
Steinthal-1875-1549-188	188	Schaf blökt.	Schaf blökt.	Sheep bleats.		
Steinthal-1875-1549-189	189	Mutterschaf	Mutterschaf	ewe	1345	EWE
Steinthal-1875-1549-190	190	Widder	Widder	ram	1344	RAM
Steinthal-1875-1549-191	191	Hammel	Hammel	wether		
Steinthal-1875-1549-192	192	Antilope	Antilope	antelope	3674	ANTELOPE
Steinthal-1875-1549-193	193	Giraffe	Giraffe	giraffe	3089	GIRAFFE
Steinthal-1875-1549-194	194	Hirsch	Hirsch	stag	1936	DEER
Steinthal-1875-1549-195	195	Reh	Reh	deer		
Steinthal-1875-1549-196	196	Schwein grunzt.	Schwein grunzt.	Pig grunts.		
Steinthal-1875-1549-197	197	Pferd wiehert.	Pferd wiehert.	Horse neighs.		
Steinthal-1875-1549-198	198	Esel ist träge.	Esel ist träge.	Donkey is idle.		
Steinthal-1875-1549-199	199	Maulthier	Maulthier	mule (female horse, male donkey)	890	MULE
Steinthal-1875-1549-200	200	Maulesel	Maulesel	hinny (male horse, female donkey)		
Steinthal-1875-1549-201	201	Zebra	Zebra	zebra	3675	ZEBRA
Steinthal-1875-1549-202	202	Kameel	Kameel	camel	1871	CAMEL
Steinthal-1875-1549-203	203	Elefant	Elefant	elephant	1290	ELEPHANT
Steinthal-1875-1549-204	204	Rhinoceros	Rhinoceros	rhinoceros	2591	RHINOCEROS
Steinthal-1875-1549-205	205	Hippopotamos	Hippopotamos	hippopotamus	3145	HIPPOPOTAMUS
Steinthal-1875-1549-206	206	Löwe brüllt.	Löwe brüllt.	Lion roars.		
Steinthal-1875-1549-207	207	Tiger	Tiger	tiger	846	TIGER
Steinthal-1875-1549-208	208	Leopard	Leopard	leopard	1139	LEOPARD
Steinthal-1875-1549-209	209	Panther	Panther	panther		
Steinthal-1875-1549-210	210	Hyäne	Hyäne	hyena	1799	HYENA
Steinthal-1875-1549-211	211	Bär	Bär	bear	1820	BEAR
Steinthal-1875-1549-212	212	Fuchs	Fuchs	fox	1312	FOX
Steinthal-1875-1549-213	213	Wolf	Wolf	wolf	522	WOLF
Steinthal-1875-1549-214	214	Rennthier	Rennthier	reindeer, caribou	1876	REINDEER
Steinthal-1875-1549-215	215	Eber	Eber	boar	3154	WILD BOAR
Steinthal-1875-1549-216	216	Hase	Hase	hare	1190	HARE
Steinthal-1875-1549-217	217	Ratte	Ratte	rat	1490	RAT
Steinthal-1875-1549-218	218	Maus	Maus	mouse	1491	MOUSE
Steinthal-1875-1549-219	219	Affen (dessen Arten)	Affe	monkey, ape	3298	APE OR MONKEY
Steinthal-1875-1549-220	220	Vogel singt, zwitschert, fliegt.	Vogel singt.	Bird sings.		
Steinthal-1875-1549-221	221	Vogel singt, zwitschert, fliegt.	Vogel zwitschert.	Bird chirps.		
Steinthal-1875-1549-222	222	Vogel singt, zwitschert, fliegt.	Vogel fliegt.	Bird flies.		
Steinthal-1875-1549-223	223	Adler fliegt hoch, stürzt sich auf seine Beute.	Adler fliegt hoch.	Eagle soars.		
Steinthal-1875-1549-224	224	Adler fliegt hoch, stürzt sich auf seine Beute.	Adler stürzt sich auf seine Beute.	Eagle attacks its prey.		
Steinthal-1875-1549-225	225	Geier	Geier	vulture	1185	VULTURE
Steinthal-1875-1549-226	226	Eule	Eule	owl	735	OWL
Steinthal-1875-1549-227	227	Papagei	Papagei	parrot	882	PARROT
Steinthal-1875-1549-228	228	Storch	Storch	stork	3724	STORK
Steinthal-1875-1549-229	229	Strauss	Strauss	ostrich	3797	OSTRICH
Steinthal-1875-1549-230	230	Huhn	Huhn	chicken	1318	CHICKEN
Steinthal-1875-1549-231	231	Hahn kräht.	Hahn kräht.	Cock crows.		
Steinthal-1875-1549-232	232	Henne gackert.	Henne gackert.	Hen clucks.		
Steinthal-1875-1549-233	233	Rebhuhn	Rebhuhn	partridge	3681	PARTRIDGE
Steinthal-1875-1549-234	234	Perlhuhn	Perlhuhn	guinea fowl	456	GUINEA FOWL
Steinthal-1875-1549-235	235	Gans	Gans	goose	1187	GOOSE
Steinthal-1875-1549-236	236	Ente	Ente	duck	1360	DUCK
Steinthal-1875-1549-237	237	Küchlein	Küchlein	chick	2513	CHICKEN CHICK
Steinthal-1875-1549-238	238	Henne hat ein Ei gelegt.	Henne hat ein Ei gelegt.	Hen laid an egg.		
Steinthal-1875-1549-239	239	Taube	Taube	dove	1853	DOVE
Steinthal-1875-1549-240	240	Schildkröte	Schildkröte	turtle	112	TURTLE
Steinthal-1875-1549-241	241	Krokodil (Alligator)	Krokodil (Alligator)	crocodile	1857	CROCODILE
Steinthal-1875-1549-242	242	Eidexe	Eidexe	lizard	632	LIZARD
Steinthal-1875-1549-243	243	Frosch	Frosch	frog	503	FROG
Steinthal-1875-1549-244	244	Kröte	Kröte	toad	894	TOAD
Steinthal-1875-1549-245	245	Schlange, kriecht (deren Arten).	Schlange	snake	730	SNAKE
Steinthal-1875-1549-246	246	Schlange, kriecht (deren Arten).	Schlange kriecht.	Snake crawls.		
Steinthal-1875-1549-247	247	Fisch (Arten) schwimmt.	Fisch schwimmt.	Fish swims.		
Steinthal-1875-1549-248	248	Krebs	Krebs	cancer, crab	2348	CRAB
Steinthal-1875-1549-249	249	Skorpion	Skorpion	scorpion	1538	SCORPION
Steinthal-1875-1549-250	250	Spinne	Spinne	spider	843	SPIDER
Steinthal-1875-1549-251	251	Käfer	Käfer	bug	1027	BUG
Steinthal-1875-1549-252	252	Ameise (Arten)	Ameise	ant	587	ANT
Steinthal-1875-1549-253	253	Heuschrecke	Heuschrecke	locust	810	LOCUST
Steinthal-1875-1549-254	254	Biene	Biene	bee	665	BEE
Steinthal-1875-1549-255	255	Honig	Honig	honey	942	HONEY
Steinthal-1875-1549-256	256	Wachs	Wachs	beewax	1931	BEESWAX
Steinthal-1875-1549-257	257	Stachel	Stachel	stinger	3798	STINGER
Steinthal-1875-1549-258	258	Wespe	Wespe	wasp	1517	WASP
Steinthal-1875-1549-259	259	Fliege sticht.	Fliege sticht.	Fly stings.		
Steinthal-1875-1549-260	260	Mücke	Mücke	mosquito	1509	MOSQUITO
Steinthal-1875-1549-261	261	Laus	Laus	louse	1392	LOUSE
Steinthal-1875-1549-262	262	Floh	Floh	flea	232	FLEA
Steinthal-1875-1549-263	263	Wanze	Wanze	bed bug	1949	BEDBUG
Steinthal-1875-1549-264	264	Schmetterling	Schmetterling	butterfly	1791	BUTTERFLY
Steinthal-1875-1549-265	265	Raupe	Raupe	caterpillar	2247	CATERPILLAR
Steinthal-1875-1549-266	266	Wurm	Wurm	worm	1219	WORM
Steinthal-1875-1549-267	267	Seide	Seide	silk	1641	SILK
Steinthal-1875-1549-268	268	Schnecke	Schnecke	snail	1543	SNAIL
Steinthal-1875-1549-269	269	Auster	Auster	oyster	2830	OYSTERS
Steinthal-1875-1549-270	270	Männchen	Männchen	male (of animals)		
Steinthal-1875-1549-271	271	Weibchen	Weibchen	female (of animals)		
Steinthal-1875-1549-272	272	Fleisch	Fleisch	flesh, meat	2615	FLESH OR MEAT
Steinthal-1875-1549-273	273	Fett	Fett	fat	323	FAT (ORGANIC SUBSTANCE)
Steinthal-1875-1549-274	274	Milch	Milch	milk	635	MILK
Steinthal-1875-1549-275	275	Butter	Butter	butter	1245	BUTTER
Steinthal-1875-1549-276	276	Käse	Käse	cheese	1569	CHEESE
Steinthal-1875-1549-277	277	Haar	Haar	fur	580	FUR
Steinthal-1875-1549-278	278	Schwanz	Schwanz	tail	1220	TAIL
Steinthal-1875-1549-279	279	Wolle	Wolle	wool	964	WOOL
Steinthal-1875-1549-280	280	Fett	Fett	fat	1282	FAT (FROM ANIMALS)
Steinthal-1875-1549-281	281	Horn	Horn	horn	1393	HORN (ANATOMY)
Steinthal-1875-1549-282	282	Huf (Klaue)	Huf	hoof	152	HOOF
Steinthal-1875-1549-283	283	Huf (Klaue)	Klaue	claw, talon	72	CLAW
Steinthal-1875-1549-284	284	Rüssel	Rüssel	trunk		
Steinthal-1875-1549-285	285	Elfenbein	Elfenbein	ivory	3800	IVORY
Steinthal-1875-1549-286	286	Flügel	Flügel	wing	1257	WING
Steinthal-1875-1549-287	287	Feder	Feder	feather	1201	FEATHER
Steinthal-1875-1549-288	288	Vogelschwanz	Vogelschwanz	bird's tail		
Steinthal-1875-1549-289	289	Schnabel	Schnabel	beak	73	BEAK
Steinthal-1875-1549-290	290	Ei	Ei	egg	744	EGG
Steinthal-1875-1549-291	291	Nest	Nest	nest	3549	BIRD NEST
Steinthal-1875-1549-292	292	Lager	Lager	camp	1105	CAMP
Steinthal-1875-1549-293	293	Höhle	Höhle	cave	1155	CAVE
Steinthal-1875-1549-294	294	Gräte	Gräte	fishbone	3799	FISHBONE
Steinthal-1875-1549-295	295	Flossen	Flossen	fins	213	FIN
Steinthal-1875-1549-296	296	Schuppen	Schuppen	fish scales	266	SCALE
Steinthal-1875-1549-297	297	Schale	Schale	shell	598	SHELL
Steinthal-1875-1549-298	298	Mensch (Leute)	Mensch (Leute)	human	683	PERSON
Steinthal-1875-1549-299	299	Mann	Mann	man	1554	MAN
Steinthal-1875-1549-300	300	Weib	Weib	woman	962	WOMAN
Steinthal-1875-1549-301	301	Kind	Kind	child	2099	CHILD
Steinthal-1875-1549-302	302	Sohn	Sohn	son	1620	SON
Steinthal-1875-1549-303	303	Tochter	Tochter	daughter	1357	DAUGHTER
Steinthal-1875-1549-304	304	Diese Frau hat sechs Kinder geboren.	Diese Frau hat sechs Kinder geboren.	This woman has given birth to six children.		
Steinthal-1875-1549-305	305	zeugen	zeugen	beget	1152	BEGET
Steinthal-1875-1549-306	306	Wo bist du geboren?	Wo bist du geboren?	Where were you born?		
Steinthal-1875-1549-307	307	Ist dein Vater am Leben?	Ist dein Vater am Leben?	Is your father alive?		
Steinthal-1875-1549-308	308	Er ist todt.	Er ist todt.	He is dead.		
Steinthal-1875-1549-309	309	Er ist wohl.	Er ist wohl.	He is well.		
Steinthal-1875-1549-310	310	Knabe	Knabe	little boy	1366	BOY
Steinthal-1875-1549-311	311	Jüngling	Jüngling	young man	76	YOUNG MAN
Steinthal-1875-1549-312	312	kleines Mädchen	kleines Mädchen	little girl	1646	GIRL
Steinthal-1875-1549-313	313	reife Jungfrau	reife Jungfrau	young woman	77	YOUNG WOMAN
Steinthal-1875-1549-314	314	Gatte	Gatte	husband	1200	HUSBAND
Steinthal-1875-1549-315	315	Gattin	Gattin	wife	1199	WIFE
Steinthal-1875-1549-316	316	Braut	Braut	bride	1266	BRIDE
Steinthal-1875-1549-317	317	Bräutigam	Bräutigam	bridegroom	3282	GROOM
Steinthal-1875-1549-318	318	Junggeselle	Junggeselle	bachelor		
Steinthal-1875-1549-319	319	Wittwe	Wittwe	widow	1756	WIDOW
Steinthal-1875-1549-320	320	Wittwer	Wittwer	widower	1981	WIDOWER
Steinthal-1875-1549-321	321	sich verheirathen	sich verheirathen	to marry	203	MARRY
Steinthal-1875-1549-322	322	Ein Mann A hat die Jungfrau B geheirathet.	Ein Mann A hat die Jungfrau B geheirathet.	A man A has married the virgin B.		
Steinthal-1875-1549-323	323	Sein Sohn hat meine Tochter zur Frau.	Sein Sohn hat meine Tochter zur Frau.	His son is married to my daughter.		
