ID	NUMBER	ENGLISH	DUTCH	SWEDISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Woll-2010-301-57	57	dinner	diner (maaltijd)	middag	1833	DINNER (SUPPER)
Woll-2010-301-58	58	dirty	vies	smutsig	1230	DIRTY
Woll-2010-301-59	59	discuss	discussieren	diskutera		
Woll-2010-301-60	60	dog	hond	hund	2009	DOG
Woll-2010-301-61	61	dream (v.)	dromen	drömma	1920	DREAM (SOMETHING)
Woll-2010-301-62	62	drink (v.)	drinken	dricka	1401	DRINK
Woll-2010-301-63	63	drive (car)	autorijden	köra	741	DRIVE
Woll-2010-301-64	64	dry (a.)	droog	torr	1398	DRY
Woll-2010-301-65	65	ear	oor	öra	1247	EAR
Woll-2010-301-66	66	eat	oog	äta	1336	EAT
Woll-2010-301-67	67	egg	ei	ägg	744	EGG
Woll-2010-301-68	68	eight	acht	åtta	1705	EIGHT
Woll-2010-301-69	69	eighteen	achttien	arton	1713	EIGHTEEN
Woll-2010-301-70	70	eighty	tachtig	åttio	1722	EIGHTY
Woll-2010-301-71	71	eleven	elf	elva	1706	ELEVEN
Woll-2010-301-72	72	email (v.)	emailen	mejla, skicka e-post		
Woll-2010-301-73	73	empty	leeg	tom	1624	EMPTY
Woll-2010-301-74	74	England	Engeland	England		
Woll-2010-301-75	75	evening	avond	kväll	1629	EVENING
Woll-2010-301-76	76	fall (v.)	vallen	falla/ramla	1280	FALL
Woll-2010-301-77	77	family	familie	familj	194	FAMILY
Woll-2010-301-78	78	far (far away)	ver weg	långt (bort)	1406	FAR
Woll-2010-301-79	79	fat (person)	dik (persoon)	tjock (person)	1279	FAT (OBESE)
Woll-2010-301-80	80	father	vader	far	1217	FATHER
Woll-2010-301-81	81	fax (v.)	faxen	faxa		
Woll-2010-301-82	82	few	weinig	få (antal)	1242	FEW
Woll-2010-301-83	83	fifteen	vijftien	femton	1709	FIFTEEN
Woll-2010-301-84	84	fifty	vijftig	femtio	1717	FIFTY
Woll-2010-301-85	85	fingerspell (v.)	vingerspellen	använda handalfabet		
Woll-2010-301-86	86	finished	klaar	klart		
Woll-2010-301-87	87	fire (n.)	vuur	eld	221	FIRE
Woll-2010-301-88	88	fish (n.)	vis	fisk	227	FISH
Woll-2010-301-89	89	five	vijf	fem	493	FIVE
Woll-2010-301-90	90	float (v.)	drijven	flyta	1574	FLOAT
Woll-2010-301-91	91	flower (n.)	bloem	blomma	239	FLOWER
Woll-2010-301-92	92	fog	mist	dimma	249	FOG
Woll-2010-301-93	93	forbidden (a.)/not allowed	verboden	förbjudet		
Woll-2010-301-94	94	forty	veertig	fyrtio	1716	FORTY
Woll-2010-301-95	95	four	vier	fyra	1500	FOUR
Woll-2010-301-96	96	fourteen	veertien	fjorton	2451	FOURTEEN
Woll-2010-301-97	97	freeze (v., of object)	bevriezen	frysa (om saker)	1431	FREEZE
Woll-2010-301-98	98	fruit	fruit	frukt	1507	FRUIT
Woll-2010-301-99	99	full (of bottle etc.; not empty)	vol (t.o. leeg)	full (flaska)	1429	FULL
Woll-2010-301-100	100	future	toekomst	framtid	2427	FUTURE
Woll-2010-301-101	101	get up (get out of bed)	opstaan	stiga upp	3350	GET UP FROM BED
Woll-2010-301-102	102	girl	meisje	flicka	1646	GIRL
Woll-2010-301-103	103	god	god	gud	3231	DEITY
Woll-2010-301-104	104	good	goed	bra	1035	GOOD
Woll-2010-301-105	105	grandfather	opa	morfar/farfar	1383	GRANDFATHER
Woll-2010-301-106	106	grandmother	oma	mormor/morfar	1496	GRANDMOTHER
Woll-2010-301-107	107	green	groen	grön	1425	GREEN
Woll-2010-301-108	108	grey	grijs	grå	153	GREY
Woll-2010-301-109	109	hair	haar	hår	1040	HAIR
Woll-2010-301-110	110	hand	hand	hand	1277	HAND
Woll-2010-301-111	111	happy	gelukkig	lycklig	1495	HAPPY
Woll-2010-301-112	112	hard of hearing	slechthorend	hörselskadad		
Woll-2010-301-113	113	hare	haas	hare	1190	HARE
Woll-2010-301-114	114	hate	haten	hata	1607	HATE
Woll-2010-301-115	115	headache	hoofdpijn	huvudvärk	3625	HEADACHE
Woll-2010-301-116	116	hear (v.)	horen	höra	1408	HEAR
Woll-2010-301-117	117	hearing (n., person)	horend (persoon)	hörande (person)		
Woll-2010-301-118	118	hearing aid	gehoorapparaat	hörapparat		
Woll-2010-301-119	119	here	hier	här	136	HERE
Woll-2010-301-120	120	Holland	Nederland	Holland		
Woll-2010-301-121	121	hot (not cold)	warm	varm	1286	HOT
Woll-2010-301-122	122	house	huis	hus	1252	HOUSE
Woll-2010-301-123	123	how	hoe	hur	1239	HOW
Woll-2010-301-124	124	hundred	honderd	hundra	1634	HUNDRED
Woll-2010-301-125	125	hunger	honger	hungrig	1864	HUNGER
Woll-2010-301-126	126	husband	echtgenoot	make, man	1200	HUSBAND
Woll-2010-301-127	127	I	ik	jag	1209	I
Woll-2010-301-128	128	idea	idee	idé	1609	IDEA
Woll-2010-301-129	129	if	als	om	1459	IF
Woll-2010-301-130	130	ill (a., sickness)	ziek	sjuk		
Woll-2010-301-131	131	intelligent	slim	intelligent	2530	SMART
Woll-2010-301-132	132	internet	internet	internet		
Woll-2010-301-133	133	interpreter	tolk	tolk	3744	INTERPRETER
Woll-2010-301-134	134	jealous	jaloers	avundsjuk		
Woll-2010-301-135	135	kill	vermoorden	döda	1417	KILL
Woll-2010-301-136	136	know	weten	veta	1410	KNOW (SOMETHING)
Woll-2010-301-137	137	language	taal	språk	1307	LANGUAGE
Woll-2010-301-138	138	laugh (v.)	lachen	skratta	1355	LAUGH
Woll-2010-301-139	139	learn	leren	lära sig	504	LEARN
Woll-2010-301-140	140	lie (v., to tell a lie)	liegen	ljuga	1411	LIE (REST)
Woll-2010-301-141	141	light (not dark)	licht (t.o. donker)	ljus (ej mörk)	630	LIGHT (RADIATION)
Woll-2010-301-142	142	lightning	bliksem	blixt	1654	LIGHTNING
Woll-2010-301-143	143	lion	leeuw	lejon	1386	LION
Woll-2010-301-144	144	live (v., not be dead)	levend	leva	1422	BE ALIVE
Woll-2010-301-145	145	live somewhere	wonen	bo (någonstans)	363	DWELL (LIVE, RESIDE)
Woll-2010-301-146	146	look	kijken	titta	1819	LOOK
Woll-2010-301-147	147	love	houden van	älska	923	LOVE
Woll-2010-301-148	148	make	maken	göra	734	MAKE
Woll-2010-301-149	149	man	man	man	1554	MAN
Woll-2010-301-150	150	many	veel	många	1198	MANY
Woll-2010-301-151	151	marry	trouwen	gifta sig	203	MARRY
Woll-2010-301-152	152	meat	vlees	kött	634	MEAT
Woll-2010-301-153	153	meet (persons)	ontmoeten	träffa (personer)	1831	MEET
Woll-2010-301-154	154	midnight	middernacht (twaalf uur ‘s nachts)	midnatt		
Woll-2010-301-155	155	million	miljoen	miljon		
Woll-2010-301-156	156	mobile phone (cell phone)	mobiele telefoon	mobiltelefon		
Woll-2010-301-157	157	month	maand	månad	1370	MONTH
Woll-2010-301-158	158	moon	maan	måne	1313	MOON
Woll-2010-301-159	159	morning	ochtend	morgon	1339	MORNING
Woll-2010-301-160	160	mother	moeder	mor	1216	MOTHER
Woll-2010-301-161	161	mountain	berg	berg	639	MOUNTAIN
Woll-2010-301-162	162	mouse	muis	mus	1491	MOUSE
Woll-2010-301-163	163	must (v.)	moeten	måste	971	MUST
Woll-2010-301-164	164	my	mijn	min	2090	MY
Woll-2010-301-165	165	name	naam	namn	1405	NAME
Woll-2010-301-166	166	narrow	smal	trång	1267	NARROW
Woll-2010-301-167	167	new	nieuw	ny	1231	NEW
Woll-2010-301-168	168	nice	leuk	trevlig		
Woll-2010-301-169	169	night	nacht	natt	1233	NIGHT
Woll-2010-301-170	170	nine	negen	nio	1483	NINE
Woll-2010-301-171	171	nineteen	negentien	nitton	1714	NINETEEN
Woll-2010-301-172	172	ninety	negentig	nittio	1724	NINETY
Woll-2010-301-173	173	no (say no)	nee	nej	1269	NO
Woll-2010-301-174	174	noise	herrie/lawaai	oväsen, buller	1182	NOISE
Woll-2010-301-175	175	noon	twaalf uur ‘s middags	mitt på dagen, kl 12	12	MIDDAY
Woll-2010-301-176	176	not	niet	inte	1240	NOT
Woll-2010-301-177	177	not yet	nog niet	har inte (perf neg)		
Woll-2010-301-178	178	nothing	niets	ingenting	687	NOTHING
Woll-2010-301-179	179	now	nu	nu	1376	NOW
Woll-2010-301-180	180	number	getal	nummer	1356	NUMBER
Woll-2010-301-181	181	old	oud	gammal	1229	OLD
Woll-2010-301-182	182	one	een	ett	1493	ONE
Woll-2010-301-183	183	oral(ism)	oralisme	oralism		
Woll-2010-301-184	184	parents	ouders	föräldrar	505	PARENTS
Woll-2010-301-185	185	past (time)	verleden/vroeger	förut		
Woll-2010-301-186	186	pay	betalen	betala	718	PAY
Woll-2010-301-187	187	people	mensen	folk	789	PEOPLE
Woll-2010-301-188	188	person	persoon	person	683	PERSON
Woll-2010-301-189	189	play (v.)	spelen	leka	1413	PLAY
Woll-2010-301-190	190	purple	paars	lila	2452	PURPLE
Woll-2010-301-191	191	rain (v.)	regen	regna	1253	RAIN (RAINING)
Woll-2010-301-192	192	read	lezen	läsa	724	READ
Woll-2010-301-193	193	red	rood	röd	156	RED
Woll-2010-301-194	194	remember	onthouden	komma ihåg	707	REMEMBER
Woll-2010-301-195	195	right (a., correct)	juist/goed	rätt	1725	CORRECT (RIGHT)
Woll-2010-301-196	196	river (of considerable size)	rivier	flod	666	RIVER
Woll-2010-301-197	197	road	weg	väg	667	ROAD
Woll-2010-301-198	198	sad	verdrietig	ledsen	699	SAD
Woll-2010-301-199	199	salt (n.)	zout	salt	1274	SALT
Woll-2010-301-200	200	same	zelfde	samma	200	SAME
Woll-2010-301-201	201	say	zeggen	säga	1458	SAY
Woll-2010-301-202	202	school	school	skola	673	SCHOOL
Woll-2010-301-203	203	Scotland	Schotland	Skotland		
Woll-2010-301-204	204	sea	zee	hav	1474	SEA
Woll-2010-301-205	205	see	zien	se	1409	SEE
Woll-2010-301-206	206	self	zelf	själv	1993	SELF
Woll-2010-301-207	207	sell	verkopen	sälja	1571	SELL
Woll-2010-301-208	208	seven	zeven	sju	1704	SEVEN
Woll-2010-301-209	209	seventeen	zeventien	sjutton	2453	SEVENTEEN
Woll-2010-301-210	210	seventy	zeventig	sjuttio	1721	SEVENTY
Woll-2010-301-211	211	sharp (like a knife)	scherp	skarp, vass (kniv)	1396	SHARP
Woll-2010-301-212	212	shout	schreeuwen	ropa	715	SHOUT
Woll-2010-301-213	213	shy	verlegen	blyg	487	SHY
Woll-2010-301-214	214	sign (v.)	gebaren	teckna (teckenspråk)	1720	SIGN
Woll-2010-301-215	215	silent (a.)	stil	tyst	48	BE SILENT
Woll-2010-301-216	216	sing	zingen	sjunga	1261	SING
Woll-2010-301-217	217	sister	zus	syster	1263	SISTER
Woll-2010-301-218	218	sit (v.)	zitten	sitta	1416	SIT
Woll-2010-301-219	219	six	zes	sex	1703	SIX
Woll-2010-301-220	220	sixteen	zestien	sexton	2454	SIXTEEN
Woll-2010-301-221	221	sixty	zestig	sextio	1718	SIXTY
Woll-2010-301-222	222	sky	lucht/hemel	himmel	1732	SKY
Woll-2010-301-223	223	sleep (v.)	slapen	sova	1585	SLEEP
Woll-2010-301-224	224	smile (v.)	glimlachen	le	1451	SMILE
Woll-2010-301-225	225	SMS (v.)	sms-en	att SMS, sms:a		
Woll-2010-301-226	226	snake	slang	orm	730	SNAKE
Woll-2010-301-227	227	snow (v.)	sneeuwen	snöa	784	SNOW
Woll-2010-301-228	228	some (vs. few vs. many)	sommige	några	1241	SOME
Woll-2010-301-229	229	son	zoon	son	1620	SON
Woll-2010-301-230	230	sour (a., taste)	zuur	sur (smak)	1906	SOUR
Woll-2010-301-231	231	speak	praten	prata	1623	SPEAK
Woll-2010-301-232	232	spring	lente	vår	1537	SPRINGTIME
Woll-2010-301-233	233	stand (v. to be standing)	staan	stå (person)	1442	STAND
Woll-2010-301-234	234	star	ster	stjärna	1430	STAR
Woll-2010-301-235	235	steal	stelen	stjäla	713	STEAL
Woll-2010-301-236	236	stone	steen	sten	857	STONE
Woll-2010-301-237	237	straight (direction)	rechtdoor	rakt (fram)		
Woll-2010-301-238	238	summer	zomer	sommar	1342	SUMMER
Woll-2010-301-239	239	sun	zon	sol	1343	SUN
Woll-2010-301-240	240	surprised	verbaasd	förvånad	1572	SURPRISED
Woll-2010-301-241	241	Sweden	Zweden	Sverige		
Woll-2010-301-242	242	sweet (a., taste)	zoet	söt (smak)	717	SWEET
Woll-2010-301-243	243	tall (person)	lang (persoon)	lång (person)	3346	TALL (PERSON)
Woll-2010-301-244	244	teach (educate)	onderwijzen	undervisa	709	TEACH
Woll-2010-301-245	245	teacher	leraar	lärare	1038	TEACHER
Woll-2010-301-246	246	tease	plagen	reta		
Woll-2010-301-247	247	telephone	telefoon	telefon	1379	TELEPHONE
Woll-2010-301-248	248	ten	tien	tio	1515	TEN
Woll-2010-301-249	249	there is (existential)	er is (aanwezig)	finns (befintlighet)	2152	THERE IS OR THERE ARE
Woll-2010-301-250	250	thin (person)	dun/mager	mager (person)	1400	THIN (SLIM)
Woll-2010-301-251	251	think (contemplate)	nadenken	fundera	1415	THINK (REFLECT)
Woll-2010-301-252	252	thirsty	dorst	törstig	847	THIRSTY
Woll-2010-301-253	253	thirteen	dertien	tretton	1708	THIRTEEN
Woll-2010-301-254	254	thirty	dertig	trettio	1715	THIRTY
Woll-2010-301-255	255	thousand	duizend	tusen	1843	THOUSAND
Woll-2010-301-256	256	three	drie	tre	492	THREE
Woll-2010-301-257	257	thunder	donder	åska	1150	THUNDER
Woll-2010-301-258	258	tired	moe	trött	1757	TIRED
Woll-2010-301-259	259	tortoise	schildpad	sköldpadda	895	TORTOISE
Woll-2010-301-260	260	tree	boom	träd	906	TREE
Woll-2010-301-261	261	trick (v)	bedriegen	lura	3230	DECEIVE
Woll-2010-301-262	262	twelve	twaalf	tolv	1707	TWELVE
Woll-2010-301-263	263	twenty	twintig	tjugo	1710	TWENTY
Woll-2010-301-264	264	twenty-eight	achtentwintig	tjugoåtta		
Woll-2010-301-265	265	twenty-five	vijfentwintig	tjugofem		
Woll-2010-301-266	266	twenty-four	vierentwintig	tjugofyra		
Woll-2010-301-267	267	twenty-nine	negenentwintig	tjugonio		
Woll-2010-301-268	268	twenty-one	eenentwintig	tjugoett	1734	TWENTY ONE
Woll-2010-301-269	269	twenty-seven	zeveneentwintig	tjugosju		
Woll-2010-301-270	270	twenty-six	zesentwintig	tjugosex		
Woll-2010-301-271	271	twenty-three	drieentwintig	tjugotre		
Woll-2010-301-272	272	twenty-two	tweeentwintig	tjugotvå		
Woll-2010-301-273	273	two	twee	två	1498	TWO
Woll-2010-301-274	274	uncle	oom	morbror	1327	UNCLE
Woll-2010-301-275	275	understand	begrijpen	förstå	1536	UNDERSTAND
Woll-2010-301-276	276	visit (v.)	bezoeken	besöka	1377	VISIT
Woll-2010-301-277	277	Wales	Wales	Wales		
Woll-2010-301-278	278	walk (to go by foot)	lopen	gå (till fots)	1443	WALK
Woll-2010-301-279	279	want	willen	vilja	1784	WANT
Woll-2010-301-280	280	water	water	vatten	948	WATER
Woll-2010-301-281	281	week	week	vecka	1469	WEEK
Woll-2010-301-282	282	what	wat	vad	1236	WHAT
Woll-2010-301-283	283	when	wanneer	när	1238	WHEN
Woll-2010-301-284	284	where	waar	var	1237	WHERE
Woll-2010-301-285	285	which	welke	vilken	727	WHICH
Woll-2010-301-286	286	white	wit	vit	1335	WHITE
Woll-2010-301-287	287	who	wie	vem	1235	WHO
Woll-2010-301-288	288	why	waarom	varför	1270	WHY
Woll-2010-301-289	289	winter	winter	vinter	1471	WINTER
Woll-2010-301-290	290	wolf	wolf	varg	522	WOLF
Woll-2010-301-291	291	woman	vrouw	kvinna	962	WOMAN
Woll-2010-301-292	292	worse	slechter	värre		
Woll-2010-301-293	293	worst	slechtst	värst		
Woll-2010-301-294	294	write	schrijven	skriva	1672	WRITE
Woll-2010-301-295	295	wrong	fout	fel	1390	WRONG
Woll-2010-301-296	296	year	jaar	år	1226	YEAR
Woll-2010-301-297	297	yellow	geel	gul	1424	YELLOW
Woll-2010-301-298	298	yes	ja	ja	1268	YES
Woll-2010-301-299	299	you	jij	du	1215	THOU
Woll-2010-301-300	300	your	jouw	din	732	YOUR (SINGULAR)
Woll-2010-301-301	301	zero	nul	noll	1294	ZERO
