ID	NUMBER	ENGLISH	VIETNAMESE	IDS_KEY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Tjuka-2024-1310-60	60	like, similar	giống nhau	12-920	1558	SIMILAR
Tjuka-2024-1310-61	61	line	đường thẳng	12-840	1048	LINE
Tjuka-2024-1310-62	62	hole	lỗ, hố	12-850	1667	HOLE
Tjuka-2024-1310-63	63	sphere, ball	quả bóng	12-830	1845	BALL
Tjuka-2024-1310-64	64	round	tròn	12-810	1395	ROUND
Tjuka-2024-1310-65	65	circle	vòng tròn	12-820	1467	CIRCLE
Tjuka-2024-1310-66	66	square	hình vuông	12-780	850	SQUARE
Tjuka-2024-1310-67	67	cross	đi qua	12-770	1367	CROSS
Tjuka-2024-1310-68	68	corner	góc	12-760	192	CORNER
Tjuka-2024-1310-69	69	hook	cái móc	12-750	1071	HOOK
Tjuka-2024-1310-70	70	crooked	cong, cong queo	12-740	297	CROOKED
Tjuka-2024-1310-71	71	straight	thẳng	12-730	1404	STRAIGHT
Tjuka-2024-1310-72	72	flat	phẳng	12-710	1633	FLAT
Tjuka-2024-1310-73	73	shallow	nông	12-680	193	SHALLOW
Tjuka-2024-1310-74	74	deep	sâu	12-670	1593	DEEP
Tjuka-2024-1310-75	75	thin (in dimension)	mỏng	12-650	2249	THIN (OF SHAPE OF OBJECT)
Tjuka-2024-1310-76	76	thick (in dimension)	dày	12-630	1244	THICK
Tjuka-2024-1310-77	77	narrow	hẹp	12-620	1267	NARROW
Tjuka-2024-1310-78	78	wide, broad	rộng	12-610	1243	WIDE
Tjuka-2024-1310-79	79	short	ngắn	12-590	1645	SHORT
Tjuka-2024-1310-80	80	tall	cao	12-580	711	TALL
Tjuka-2024-1310-81	81	long	dài	12-570	1203	LONG
Tjuka-2024-1310-82	82	small, little	nhỏ, bé	12-560	1246	SMALL
Tjuka-2024-1310-83	83	large, big	to, lớn	12-550	1202	BIG
Tjuka-2024-1310-84	84	span, fathom	sải	12-541	81	FATHOM
Tjuka-2024-1310-85	85	measure	đo	12-540	1506	MEASURE
Tjuka-2024-1310-86	86	grow	mọc, phát triển, lớn lên	12-530	479	GROW
Tjuka-2024-1310-87	87	south	nam	12-480	1595	SOUTH
Tjuka-2024-1310-88	88	north	bắc	12-470	1598	NORTH
Tjuka-2024-1310-89	89	west	tây	12-460	1817	WEST
Tjuka-2024-1310-90	90	east	đông	12-450	1877	EAST
Tjuka-2024-1310-91	91	near (adv)	gần	12-430	1942	NEAR
Tjuka-2024-1310-92	92	far (adv)	xa	12-440	1406	FAR
Tjuka-2024-1310-93	93	left (side)	trái	12-420	244	LEFT
Tjuka-2024-1310-94	94	right (side)	phải	12-410	1019	RIGHT
Tjuka-2024-1310-95	95	middle, center	giữa	12-370	3208	CENTER OR MIDDLE
Tjuka-2024-1310-96	96	side	bên	12-360	682	SIDE
Tjuka-2024-1310-97	97	edge	mép, rìa	12-353	863	EDGE
Tjuka-2024-1310-98	98	pointed	nhọn	12-352	372	POINTED
Tjuka-2024-1310-99	99	end	cuối	12-350	742	END (OF SPACE)
Tjuka-2024-1310-100	100	bottom	tầng	12-340	690	BOTTOM
Tjuka-2024-1310-101	101	low	thấp	12-320	721	LOW
Tjuka-2024-1310-102	102	top	đỉnh	12-330	1753	TOP
Tjuka-2024-1310-103	103	high	cao	12-310	1265	HIGH
Tjuka-2024-1310-104	104	hide, conceal	trốn, giấu	12-270	602	HIDE (CONCEAL)
Tjuka-2024-1310-105	105	shut, close	đóng	12-250	1046	SHUT
Tjuka-2024-1310-106	106	cover	phủ	12-260	761	COVER
Tjuka-2024-1310-107	107	open	mở	12-240	1156	OPEN
Tjuka-2024-1310-108	108	divide	chia	12-232	1119	DIVIDE
Tjuka-2024-1310-109	109	separate	chia	12-230	1359	SEPARATE
Tjuka-2024-1310-110	110	join, unite	liên kết	12-220	1743	JOIN
Tjuka-2024-1310-111	111	pile up	chất đống lên, xếp	12-213	1576	PILE UP
Tjuka-2024-1310-112	112	pick up	nhặt (lên)	12-212	371	PICK UP
Tjuka-2024-1310-113	113	collect, gather	thu thập	12-210	7	GATHER
Tjuka-2024-1310-114	114	remains, left overs	phần còn lại	12-170	838	REMAINS
Tjuka-2024-1310-115	115	remain, stay	ở lại	12-160	987	REMAIN
Tjuka-2024-1310-116	116	stand	đứng	12-150	1442	STAND
Tjuka-2024-1310-117	117	lie down	nằm nghỉ	12-140	215	LIE DOWN
Tjuka-2024-1310-118	118	sit	ngồi	12-130	1416	SIT
Tjuka-2024-1310-119	119	put	đặt, để	12-120	998	PUT
Tjuka-2024-1310-120	120	place	nơi	12-110	723	PLACE (POSITION)
Tjuka-2024-1310-121	121	up, above	lên	12-80	1591	UP
Tjuka-2024-1310-122	122	under	dưới	12-70	1485	BELOW OR UNDER
Tjuka-2024-1310-123	123	outside	bề ngoài, bên ngoài	12-60	762	OUTSIDE
Tjuka-2024-1310-124	124	inside, in	trong	12-50	1606	INSIDE
Tjuka-2024-1310-125	125	front	mặt trước	12-41	1883	IN FRONT OF
Tjuka-2024-1310-126	126	before	trước	12-40	1882	BEFORE
Tjuka-2024-1310-127	127	down, below	xuống	12-30	2094	DOWN OR BELOW
Tjuka-2024-1310-128	128	beside	bên	12-20	1816	BESIDE
Tjuka-2024-1310-129	129	behind	sau	12-11	1686	BEHIND
Tjuka-2024-1310-130	130	after	sau	12-10	1685	AFTER
Tjuka-2024-1310-131	131	weigh	cân	11-920	1098	WEIGH
Tjuka-2024-1310-132	132	share (distribute)	chia phần	11-910	884	SHARE
Tjuka-2024-1310-133	133	cheap	rẻ	11-890	1887	CHEAP
Tjuka-2024-1310-134	134	dear (costly, expensive)	đắt	11-880	1426	EXPENSIVE
Tjuka-2024-1310-135	135	price	giá	11-870	657	PRICE
Tjuka-2024-1310-136	136	store, shop	cửa hàng	11-860	752	STORE
Tjuka-2024-1310-137	137	market (place)	thị trường	11-850	633	MARKET
Tjuka-2024-1310-138	138	merchant	thương gia, nhà buôn	11-840	1082	MERCHANT
Tjuka-2024-1310-139	139	trade, barter	buôn bán	11-830	2135	TRADE OR BARTER
Tjuka-2024-1310-140	140	sell	bán	11-820	1571	SELL
Tjuka-2024-1310-141	141	buy	mua	11-810	1869	BUY
Tjuka-2024-1310-142	142	earn	kiếm	11-790	733	EARN
Tjuka-2024-1310-143	143	wages	tiền lương	11-780	1122	WAGES
Tjuka-2024-1310-144	144	hire	thuê	11-770	3213	HIRE OR RENT
Tjuka-2024-1310-145	145	tax, tribute	thuế	11-690	873	TAX
Tjuka-2024-1310-146	146	account, reckoning	hóa đơn	11-660	1081	BILL
Tjuka-2024-1310-147	147	pay (vb)	trả tiền	11-650	718	PAY
Tjuka-2024-1310-148	148	debt	nợ	11-640	1914	DEBT
Tjuka-2024-1310-149	149	owe	nợ	11-630	369	OWE
Tjuka-2024-1310-150	150	borrow	vay, mượn	11-620	1823	BORROW
Tjuka-2024-1310-151	151	lend	(cho) mượn	11-610	582	LEND
Tjuka-2024-1310-152	152	avaricious, stingy	hám lợi	11-540	1774	STINGY
Tjuka-2024-1310-153	153	beggar	người ăn xin	11-530	1934	BEGGAR
Tjuka-2024-1310-154	154	poor	nghèo	11-520	1674	POOR
Tjuka-2024-1310-155	155	rich	giàu	11-510	712	RICH
Tjuka-2024-1310-156	156	coin	đồng tiền	11-440	1867	COIN
Tjuka-2024-1310-157	157	money	tiền	11-430	1559	MONEY
Tjuka-2024-1310-158	158	release, let go	thả	11-340	1095	LET GO OR SET FREE
Tjuka-2024-1310-159	159	lose	mất	11-330	3072	MISPLACE
Tjuka-2024-1310-160	160	find	tìm thấy	11-320	719	FIND
Tjuka-2024-1310-161	161	seek, look for	tìm	11-310	1468	LOOK FOR
Tjuka-2024-1310-162	162	harm, injure, damage	làm hại	11-280	3195	DAMAGE OR INJURE
Tjuka-2024-1310-163	163	destroy	hủy hoại	11-270	681	DESTROY
Tjuka-2024-1310-164	164	save, rescue	cứu	11-250	2008	RESCUE
Tjuka-2024-1310-165	165	preserve, look after	bảo quản	11-240	1997	PRESERVE
Tjuka-2024-1310-166	166	give back	trả lại	11-220	85	GIVE BACK
Tjuka-2024-1310-167	167	give	cho	11-210	1447	GIVE
Tjuka-2024-1310-168	168	thing	cái, điều	11-180	738	THING
Tjuka-2024-1310-169	169	keep, retain	giữ	11-170	1477	KEEP
Tjuka-2024-1310-170	170	get, obtain	nhận được	11-160	694	GET
Tjuka-2024-1310-171	171	hold	cầm	11-150	1448	HOLD
Tjuka-2024-1310-172	172	seize, grasp	nắm lấy, túm lấy	11-140	855	SEIZE
Tjuka-2024-1310-173	173	take	mang, lấy	11-130	1749	TAKE
Tjuka-2024-1310-174	174	own, possess	có, sở hữu	11-120	684	OWN
Tjuka-2024-1310-175	175	have	có	11-110	773	HAVE
Tjuka-2024-1310-176	176	land (vb)	lên bờ	10-920	1922	LAND (DESCEND)
Tjuka-2024-1310-177	177	harbor, port	bến cảng	10-910	610	PORT
Tjuka-2024-1310-178	178	anchor	cái neo	10-890	1870	ANCHOR
Tjuka-2024-1310-179	179	sail (noun)	buồm	10-880	786	SAILCLOTH
Tjuka-2024-1310-180	180	mast	cột	10-870	184	MAST
Tjuka-2024-1310-181	181	rudder	bánh lái	10-860	108	RUDDER
Tjuka-2024-1310-182	182	row (vb)	chèo	10-852	1849	ROW
Tjuka-2024-1310-183	183	paddle (noun)	mái chèo	10-851	234	PADDLE
Tjuka-2024-1310-184	184	oar	mái chèo	10-850	3137	OAR
Tjuka-2024-1310-185	185	raft	bè	10-840	1664	RAFT
Tjuka-2024-1310-186	186	outrigger	cọc chèo (thuyền chèo)	10-832	416	OUTRIGGER
Tjuka-2024-1310-187	187	canoe	xuồng	10-831	1970	CANOE
Tjuka-2024-1310-188	188	boat	thuyền	10-830	1844	BOAT
Tjuka-2024-1310-189	189	ship	tàu	10-810	740	SHIP
Tjuka-2024-1310-190	190	yoke	cái ách	10-780	14	YOKE
Tjuka-2024-1310-191	191	axle	trục xe	10-770	1769	AXLE
Tjuka-2024-1310-192	192	wheel	bánh xe	10-760	710	WHEEL
Tjuka-2024-1310-193	193	carriage, wagon, cart	xe	10-750	122	CART
Tjuka-2024-1310-194	194	bridge	cầu	10-740	1011	BRIDGE
Tjuka-2024-1310-195	195	path	đường mòn	10-720	2252	PATH
Tjuka-2024-1310-196	196	road	đường	10-710	667	ROAD
Tjuka-2024-1310-197	197	push, shove	đẩy	10-670	1452	PUSH
Tjuka-2024-1310-198	198	ride	lái	10-660	367	RIDE
Tjuka-2024-1310-199	199	drive	lái (xe)	10-650	741	DRIVE
Tjuka-2024-1310-200	200	lead (vb)	chì	10-640	43	LEAD (GUIDE)
Tjuka-2024-1310-201	201	send	gửi	10-630	1127	SEND
Tjuka-2024-1310-202	202	bring	mang (đến)	10-620	692	BRING
Tjuka-2024-1310-203	203	carry-underarm	kẹp, xách	10-615	415	CARRY UNDER ARM
Tjuka-2024-1310-204	204	carry-on-head	đội	10-614	414	CARRY ON HEAD
Tjuka-2024-1310-205	205	carry-on-shoulder	mang	10-613	413	CARRY ON SHOULDER
Tjuka-2024-1310-206	206	carry-in-hand	cầm, xách	10-612	412	CARRY IN HAND
Tjuka-2024-1310-207	207	carry (bear)	mang, vác	10-610	700	CARRY
Tjuka-2024-1310-208	208	enter	đi vào	10-570	749	ENTER
Tjuka-2024-1310-209	209	approach	đến gần	10-560	1778	APPROACH
Tjuka-2024-1310-210	210	reach, arrive	đến	10-550	1387	ARRIVE
Tjuka-2024-1310-211	211	pursue	đuổi theo, đuổi bắt	10-530	1047	PURSUE
Tjuka-2024-1310-212	212	follow	(đi) theo	10-520	1085	FOLLOW
Tjuka-2024-1310-213	213	flee	bỏ trốn	10-510	956	FLEE
Tjuka-2024-1310-214	214	disappear	biến mất, biến đi	10-491	485	DISAPPEAR
Tjuka-2024-1310-215	215	go away, depart	ra đi	10-490	1752	LEAVE
Tjuka-2024-1310-216	216	come back	trở lại	10-481	581	COME BACK
Tjuka-2024-1310-217	217	come	đến	10-480	1446	COME
Tjuka-2024-1310-218	218	go out	đi ra ngoài	10-474	1107	GO OUT
Tjuka-2024-1310-219	219	go down	đi xuống	10-473	2014	GO DOWN (DESCEND)
Tjuka-2024-1310-220	220	climb	trèo	10-472	1102	CLIMB
Tjuka-2024-1310-221	221	go	đi	10-470	695	GO
Tjuka-2024-1310-222	222	go up	đi lên	10-471	705	GO UP (ASCEND)
Tjuka-2024-1310-223	223	run	chạy	10-460	1519	RUN
Tjuka-2024-1310-224	224	limp	khập khiễng	10-451	366	LIMP
Tjuka-2024-1310-225	225	walk	đi bộ	10-450	1443	WALK
Tjuka-2024-1310-226	226	dance	nhảy	10-440	1879	DANCE
Tjuka-2024-1310-227	227	kick	đá	10-431	1135	KICK
Tjuka-2024-1310-228	228	jump, leap	nhảy	10-430	1829	JUMP
Tjuka-2024-1310-229	229	slide, slip	trượt	10-420	1324	SLIP
Tjuka-2024-1310-230	230	crouch	ngồi xổm	10-413	296	CROUCH
Tjuka-2024-1310-231	231	kneel	quỳ (xuống)	10-412	66	KNEEL
Tjuka-2024-1310-232	232	creep, crawl	trườn	10-410	3456	CRAWL OR CREEP
Tjuka-2024-1310-233	233	blow	thổi	10-380	175	BLOW (OF WIND)
Tjuka-2024-1310-234	234	fly (vb)	bay	10-370	1441	FLY (MOVE THROUGH AIR)
Tjuka-2024-1310-235	235	sail (vb)	đi thuyền	10-360	787	SAIL
Tjuka-2024-1310-236	236	splash	té, làm bắn tóe	10-352	365	SPLASH
Tjuka-2024-1310-237	237	dive	lặn	10-351	119	DIVE
Tjuka-2024-1310-238	238	swim	bơi	10-350	1439	SWIM
Tjuka-2024-1310-239	239	float	nổi	10-340	1574	FLOAT
Tjuka-2024-1310-240	240	sink	chìm	10-330	1088	SINK (DESCEND)
Tjuka-2024-1310-241	241	flow	chảy	10-320	2003	FLOW
Tjuka-2024-1310-242	242	shake	lắc	10-260	1909	SHAKE
Tjuka-2024-1310-243	243	catch (ball)	bắt	10-252	702	CATCH
Tjuka-2024-1310-244	244	throw	ném	10-250	1456	THROW
Tjuka-2024-1310-245	245	drip	giọt	10-240	2253	DRIP (EMIT LIQUID)
Tjuka-2024-1310-246	246	fall	rơi, ngã	10-230	1280	FALL
Tjuka-2024-1310-247	247	raise, lift	nâng lên, nhấc lên	10-220	501	LIFT
Tjuka-2024-1310-248	248	rise	(tăng) lên	10-210	568	RISE (MOVE UPWARDS)
Tjuka-2024-1310-249	249	twist	bện	10-170	3199	TWIST (AROUND)
Tjuka-2024-1310-250	250	drop (vb)	rơi	10-160	2866	DROP (SOMETHING)
Tjuka-2024-1310-251	251	roll	lăn	10-150	827	ROLL
Tjuka-2024-1310-252	252	wind, wrap	gió, quấn	10-140	1113	WRAP
Tjuka-2024-1310-253	253	turn around	trở	10-130	1444	TURN AROUND
Tjuka-2024-1310-254	254	turn over	lật	10-120	1445	TURN (SOMETHING)
Tjuka-2024-1310-255	255	move	di chuyển	10-110	765	MOVE
Tjuka-2024-1310-256	256	paint (vb)	sơn	9-890	2001	PAINTING
Tjuka-2024-1310-257	257	chisel	cái đục	9-840	1979	CHISEL
Tjuka-2024-1310-258	258	paint (noun)	sơn	9-880	647	PAINT (PIGMENTS)
Tjuka-2024-1310-259	259	statue	bức tượng	9-830	1002	STATUE
Tjuka-2024-1310-260	260	sculptor	thợ điêu khắc	9-820	914	SCULPTOR
Tjuka-2024-1310-261	261	carve	tạc	9-810	228	CARVE
Tjuka-2024-1310-262	262	fan (vb)	quạt	9-791	360	FAN (ACTION)
Tjuka-2024-1310-263	263	fan (noun)	cái quạt	9-790	1971	FAN (OBJECT)
Tjuka-2024-1310-264	264	netbag	túi lưới	9-780	293	NETBAG
Tjuka-2024-1310-265	265	rug	thảm	9-771	292	RUG
Tjuka-2024-1310-266	266	mat	chiếu	9-770	195	MAT
Tjuka-2024-1310-267	267	basket	giỏ	9-760	1539	BASKET
Tjuka-2024-1310-268	268	weave, plait	dệt	9-750	3294	BRAID (VERB) OR WEAVE (BASKET)
Tjuka-2024-1310-269	269	glass	thủy tinh	9-740	604	GLASS
Tjuka-2024-1310-270	270	clay	đất sét	9-730	1399	CLAY
Tjuka-2024-1310-271	271	mold (clay etc)	tạo hình	9-720	289	MOLD
Tjuka-2024-1310-272	272	potter	thợ gốm	9-710	359	POTTER
Tjuka-2024-1310-273	273	tin, tinplate	thiếc	9-690	3217	TIN OR TINPLATE
Tjuka-2024-1310-274	274	lead (noun)	chì	9-680	627	LEAD (CHEMICAL ELEMENT)
Tjuka-2024-1310-275	275	iron	sắt	9-670	621	IRON
Tjuka-2024-1310-276	276	copper, bronze	đồng điếu	9-660	3192	BRONZE OR COPPER
Tjuka-2024-1310-277	277	silver	bạc	9-650	759	SILVER
Tjuka-2024-1310-278	278	gold	vàng	9-640	1369	GOLD
Tjuka-2024-1310-279	279	cast (metals)	đúc	9-630	211	CAST
Tjuka-2024-1310-280	280	anvil	cái đe	9-620	1648	ANVIL
Tjuka-2024-1310-281	281	forge	rèn	9-610	288	FORGE
Tjuka-2024-1310-282	282	smith, blacksmith	thợ rèn	9-600	1001	BLACKSMITH
Tjuka-2024-1310-283	283	glue	keo dán	9-560	1069	GLUE
Tjuka-2024-1310-284	284	nail	cái đinh	9-500	502	NAIL (TOOL)
Tjuka-2024-1310-285	285	hammer	cái búa	9-490	1481	HAMMER
Tjuka-2024-1310-286	286	saw	cái cưa	9-480	1948	SAW
Tjuka-2024-1310-287	287	hollow out	rỗng ra, đục khoét	9-461	46	HOLLOW OUT
Tjuka-2024-1310-288	288	bore	khoan	9-460	1501	BORE
Tjuka-2024-1310-289	289	build	xây	9-440	1840	BUILD
Tjuka-2024-1310-290	290	carpenter	thợ mộc	9-430	1042	CARPENTER
Tjuka-2024-1310-291	291	tool	dụng cụ	9-422	1361	TOOL
Tjuka-2024-1310-292	292	broom	chổi	9-380	245	BROOM
Tjuka-2024-1310-293	293	wash	rửa	9-360	1453	WASH
Tjuka-2024-1310-294	294	sweep	quét	9-370	230	SWEEP
Tjuka-2024-1310-295	295	pour	rót, đổ	9-350	1487	POUR
Tjuka-2024-1310-296	296	squeeze, wring	vắt	9-343	1414	SQUEEZE
Tjuka-2024-1310-297	297	press	ấn	9-342	1913	PRESS
Tjuka-2024-1310-298	298	hang up	cúp (máy)	9-341	357	HANG UP
Tjuka-2024-1310-299	299	spread out	trải ra	9-340	38	SPREAD OUT
Tjuka-2024-1310-300	300	pull	kéo	9-330	1455	PULL
Tjuka-2024-1310-301	301	stretch	giăng ra, duỗi ra	9-320	214	STRETCH
Tjuka-2024-1310-302	302	rub, wipe	lau	9-310	1449	RUB
Tjuka-2024-1310-303	303	flay, skin	lột da	9-290	291	PULL OFF (SKIN)
Tjuka-2024-1310-304	304	tear	xé	9-280	1735	TEAR (SHRED)
Tjuka-2024-1310-305	305	split	chẻ, bổ	9-270	1437	SPLIT
Tjuka-2024-1310-306	306	broken	vỡ	9-261	588	BROKEN
Tjuka-2024-1310-307	307	break	phá vỡ	9-260	680	BREAK (DESTROY OR GET DESTROYED)
Tjuka-2024-1310-308	308	ax	cái rìu	9-250	677	AXE
Tjuka-2024-1310-309	309	adze	rìu lưỡi vòm 	9-251	290	ADZE
Tjuka-2024-1310-310	310	scissors, shears	cái kéo	9-240	356	SHEARS
Tjuka-2024-1310-311	311	knife	dao	9-230	1352	KNIFE
Tjuka-2024-1310-312	312	stab	đâm	9-223	3189	STAB TO DEATH
Tjuka-2024-1310-313	313	chop, hew	chặt, bổ, đốn	9-222	155	CHOP
Tjuka-2024-1310-314	314	cut down	chặt (cây)	9-221	355	CUT DOWN
Tjuka-2024-1310-315	315	cut	cắt	9-220	1432	CUT
Tjuka-2024-1310-316	316	pound with fist	đập thình	9-211	354	POUND
Tjuka-2024-1310-317	317	strike (hit, beat)	đánh	9-210	2133	STRIKE OR BEAT
Tjuka-2024-1310-318	318	knot (noun)	nút thắt	9-192	760	KNOT
Tjuka-2024-1310-319	319	rope, cord	dây thừng	9-190	1218	ROPE
Tjuka-2024-1310-320	320	chain	xích	9-180	1627	CHAIN
Tjuka-2024-1310-321	321	untie	cởi trói, cởi dây	9-161	352	UNTIE
Tjuka-2024-1310-322	322	tie, bind	buộc	9-160	1917	TIE
Tjuka-2024-1310-323	323	fold	gấp	9-150	1470	FOLD
Tjuka-2024-1310-324	324	bend	cúi xuống	9-140	2004	BEND
Tjuka-2024-1310-325	325	work	việc	9-120	984	WORK (LABOUR)
Tjuka-2024-1310-326	326	do, make	làm	9-110	2575	DO OR MAKE
Tjuka-2024-1310-327	327	mushroom	nấm	8-980	641	MUSHROOM
Tjuka-2024-1310-328	328	nettle	cây tầm ma	8-970	33	NETTLE
Tjuka-2024-1310-329	329	fish poison (root)	chất độc cá, thuốc độc cá	8-960	348	FISH POISON
Tjuka-2024-1310-330	330	sugar cane	cây mía	8-941	146	SUGAR CANE
Tjuka-2024-1310-331	331	bamboo	cây tre	8-940	1927	BAMBOO
Tjuka-2024-1310-332	332	pumpkin, squash	quả bí ngô	8-931	864	PUMPKIN
Tjuka-2024-1310-333	333	gourd	quả bầu, quả bí ngô	8-930	411	GOURD
Tjuka-2024-1310-334	334	tapioca, manioc, cassava	sắn	8-920	925	CASSAVA
Tjuka-2024-1310-335	335	yam	khoai mỡ	8-912	410	YAM
Tjuka-2024-1310-336	336	sweet potato	khoai lang	8-910	159	SWEET POTATO
Tjuka-2024-1310-337	337	banyan	cây đa	8-850	346	BANYAN
Tjuka-2024-1310-338	338	banana tree	cây chuối	8-840	1795	BANANA TREE
Tjuka-2024-1310-339	339	citrus fruit	trái cây họ cam quýt	8-830	1126	CITRUS FRUIT
Tjuka-2024-1310-340	340	coconut	quả dừa	8-820	970	COCONUT
Tjuka-2024-1310-341	341	palm tree	cây cọ	8-810	1181	PALM TREE
Tjuka-2024-1310-342	342	sap	nhựa cây	8-760	345	SAP
Tjuka-2024-1310-343	343	bark	vỏ cây	8-750	1204	BARK
Tjuka-2024-1310-344	344	forked branch	nhánh cây chia	8-740	409	FORKED BRANCH
Tjuka-2024-1310-345	345	tree trunk	thân cây	8-730	344	TREE TRUNK
Tjuka-2024-1310-346	346	tree stump	gốc cây	8-720	241	TREE STUMP
Tjuka-2024-1310-347	347	pipe	tẩu thuốc	8-691	1124	PIPE
Tjuka-2024-1310-348	348	smoke (tobacco)	hút	8-690	1689	SMOKE (INHALE)
Tjuka-2024-1310-349	349	tobacco	thuốc lá	8-680	974	TOBACCO
Tjuka-2024-1310-350	350	vine	cây nho	8-670	3769	GRAPEVINE
Tjuka-2024-1310-351	351	acorn	hạt sồi	8-660	968	ACORN
Tjuka-2024-1310-352	352	fir	cây lãnh sam	8-650	1915	FIR
Tjuka-2024-1310-353	353	pine	cây thông	8-640	1740	PINE
Tjuka-2024-1310-354	354	birch	cây cáng lò	8-630	1855	BIRCH
Tjuka-2024-1310-355	355	beech	cây sồi	8-620	1950	BEECH
Tjuka-2024-1310-356	356	oak	cây sồi	8-610	644	OAK
Tjuka-2024-1310-357	357	tree	cây	8-600	906	TREE
Tjuka-2024-1310-358	358	flower	hoa	8-570	239	FLOWER
Tjuka-2024-1310-359	359	leaf	lá	8-560	628	LEAF
Tjuka-2024-1310-360	360	branch	cành	8-550	3223	BRANCH OR TWIG
