ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	COLOR_MEAN	MOTION_MEAN	GRASP_MEAN	PAIN_MEAN	SOUND_MEAN	TASTE_MEAN	SMELL_MEAN	BODY_OBJECT_INTERACTION	CONCRETENESS	IMAGEABILITY	SEMANTIC_CATEGORY
DiezAlamo-2018-750-27	27	BARCO	ship	SHIP	740	4.75	6.32	1.5	4.30769230769231	6.54838709677419	2.15625	3.2	4.69491525423729	6.018	6.293	Embarcaciones (A type of ship)
DiezAlamo-2018-750-28	28	BARRO	clay	CLAY	1399	3.90625	2	5	1.96153846153846	1.83870967741935	1.5	4.52	5.77966101694915	5.786	6.151	Juguetes (A toy)
DiezAlamo-2018-750-29	29	BASTÓN	cane	WALKING STICK	1296	2.875	4.16	7.54166666666667	4.65384615384615	2.70967741935484	2.28125	1.68	5.63793103448276	6.204	6.601	
DiezAlamo-2018-750-30	30	BAÚL	trunk			3.65625	1.68	4.08333333333333	3.5	3.41935483870968	2.28125	3.24	5.43859649122807	6.326	6.061	Muebles (An article of furniture)
DiezAlamo-2018-750-31	31	BIBLIA	bible			2.51515151515152	1.84	7.16666666666667	3.65384615384615	1.58064516129032	2.15625	2.72	5.10169491525424	5.661	5.702	Material de lectura (A type of reading material)
DiezAlamo-2018-750-32	32	BICICLETA	bike	BICYCLE	747	5.125	6.76	5.125	4.34615384615385	3.54838709677419	2.34375	2.32	6.03389830508475	6.8	6.578	Vehículos (A type of vehicle)
DiezAlamo-2018-750-33	33	BLUSA	blouse			4.65625	3.2	7.5	1.38461538461538	1.29032258064516	2.90625	2.88	6.50847457627119	6.4	5.195	Prendas de vestir (An article of clothing)
DiezAlamo-2018-750-34	34	BOINA	beret			3.63636363636364	2.6	7.20833333333333	1.57692307692308	1.41935483870968	2.4375	2.32	5.47457627118644	6.286	5.949	Prendas de vestir (An article of clothing)
DiezAlamo-2018-750-35	35	BOTELLA	bottle	BOTTLE	1321	4.09090909090909	2.92	7.625	4.30769230769231	3.35483870967742	2.9375	2.28	5.95	6.034	6.765	Utensilios de cocina (A kitchen utensil)
DiezAlamo-2018-750-36	36	BUEY	ox	OX	1169	4	7	1.54166666666667	5.07692307692308	5.29032258064516	5.78125	6.2	4.62068965517241	5.861	5.607	Animales de cuatro patas (A four-footed animal)
DiezAlamo-2018-750-37	37	BÚFALO	buffalo	BUFFALO	934	4.66666666666667	7.04	1.41666666666667	5.69230769230769	5.83870967741935	5.1875	6.16	4.13559322033898	6.309	5.502	Animales de cuatro patas (A four-footed animal)
DiezAlamo-2018-750-38	38	BUFANDA	scarf	SCARF OR TURBAN	3066	5.3030303030303	3.16	7.45833333333333	1.65384615384615	1.32258064516129	2.59375	3.08	6.47457627118644	6.714	6.07	Prendas de vestir (An article of clothing)
DiezAlamo-2018-750-39	39	BÚHO	owl	OWL	735	4.25	6.44	3.75	2.30769230769231	4.41935483870968	3.625	4	4.46551724137931	6.097	6.072	Aves (A bird)
DiezAlamo-2018-750-40	40	BUZÓN	mailbox			4.48484848484848	1.24	4.54166666666667	2.76923076923077	2.45161290322581	2	2	5.46551724137931	6.238	6.288	Partes de un edificio (A part of a building)
DiezAlamo-2018-750-41	41	CABALLO	horse	HORSE	615	5.5	7.6	2	4.88461538461539	5.64516129032258	4.6875	6.44	5.63333333333333	6.228	6.648	Animales de cuatro patas (A four-footed animal)
DiezAlamo-2018-750-42	42	CABAÑA	cabin			3.15151515151515	1.16	1.375	2.73076923076923	3.16129032258065	2.34375	3.24	4.11864406779661		6.087	Tipos de viviendas (A type of human dwelling)
DiezAlamo-2018-750-43	43	CABLE	cable			3.21212121212121	2.16	7.08333333333333	3.69230769230769	1.83870967741935	1.75	1.88	5.76271186440678	5.815	5.712	'Herramientas (A carpenter''s tool)'
DiezAlamo-2018-750-44	44	CACHORRO	cub	PUPPY	74	4.3030303030303	7.28	6.375	2.15384615384615	4.14285714285714	3.4375	5	5.74576271186441	5.193	6.425	
DiezAlamo-2018-750-45	45	CAJA	box	BOX	1465	2.66666666666667	2.48	6.41666666666667	3	2.45161290322581	2.5	2.8	6	4.581	6.232	Instrumentos musicales (A musical instrument)
DiezAlamo-2018-750-46	46	CALENDARIO	calendar	CALENDAR	1967	3.36363636363636	1.76	6.83333333333333	1.73076923076923	1.51612903225806	2.53125	1.68	5.18333333333333	6.18	5.997	Unidades de tiempo (A unit of time)
DiezAlamo-2018-750-47	47	CAMA	bed	BED	1663	3.48484848484848	1.52	2.75	2.34615384615385	2.80645161290323	3.07142857142857	3.2	6.7	6.116	7	Muebles (An article of furniture)
DiezAlamo-2018-750-48	48	CAMIÓN	truck			4.3125	6.92	1.41666666666667	6.19230769230769	6.35483870967742	1.65625	4.12	5.08333333333333	6.495	6.548	Vehículos (A type of vehicle)
DiezAlamo-2018-750-49	49	CAMISA	shirt	SHIRT	1622	4.66666666666667	3.16	7.5	1.76923076923077	1.48387096774194	2.75	3	6.21666666666667	6.293	6.281	Prendas de vestir (An article of clothing)
DiezAlamo-2018-750-50	50	CAMPANA	bell	BELL	2246	5.28125	4.72	5	3.76923076923077	6.45161290322581	2.09375	2.16	5.12068965517241	5.647	6.488	Instrumentos musicales (A musical instrument)
DiezAlamo-2018-750-51	51	CANDADO	padlock	PADLOCK	336	4.18181818181818	1.76	7.54166666666667	3.2	2.45161290322581	1.96875	2.6	5.67796610169492	6.179	6.222	
DiezAlamo-2018-750-52	52	CARNE	meat	MEAT	634	5.03125	2.24	6.58333333333333	2.42307692307692	1.83870967741935	7.125	5.72	5.77966101694915	5.643	6.228	Colores (A color)
DiezAlamo-2018-750-53	53	CARPETA	folder			4.625	3.4	7.625	2.42307692307692	2.2258064516129	2.5625	2.28	6.11864406779661	6.144	6.469	Material de lectura (A type of reading material)
DiezAlamo-2018-750-54	54	CARRO	cart	CART	122	3.5	6.08	3.83333333333333	4.26923076923077	4.90322580645161	2	2.68	5.93220338983051	5.565	5.966	Vehículos (A type of vehicle)
DiezAlamo-2018-750-55	55	CARRUAJE	carriage	CARRIAGE	2620	4.48484848484848	5.92	1.70833333333333	4.11538461538461	5.74193548387097	1.90625	3.32	4.52542372881356	5.759	5.7	Vehículos (A type of vehicle)
DiezAlamo-2018-750-56	56	CARTA	letter	LETTER	1612	2.53125	3.04	7.66666666666667	2.23076923076923	1.45161290322581	2.75	2.32	5.76271186440678	5.729	6.048	Material de lectura (A type of reading material)
DiezAlamo-2018-750-57	57	CARTEL	poster			5.33333333333333	2	6.41666666666667	2.26923076923077	1.64516129032258	2.59375	1.64	5.30508474576271	4.987	6.135	Material de lectura (A type of reading material)
DiezAlamo-2018-750-58	58	CASA	house	HOUSE	1252	4.5	1.16	1.125	3.23076923076923	3.7741935483871	2.1875	4.04	5.2	5.631	6.575	Tipos de viviendas (A type of human dwelling)
DiezAlamo-2018-750-59	59	CEBOLLA	onion	ONION	2366	3.09375	2.04	7.75	2.61538461538462	1.45161290322581	5.8125	6.64	6.03389830508475	6.433	6.406	Verduras (A vegetable)
DiezAlamo-2018-750-60	60	CENICERO	ashtray			2.84848484848485	1.96	7.375	3.42307692307692	2.56666666666667	1.0625	5.44	5.79661016949153	6.332	5.941	
DiezAlamo-2018-750-61	61	CERA	wax	BEESWAX	1931	3.28125	1.76	5.95833333333333	3.46153846153846	1.29032258064516	2.5	4.4	5.13559322033898	4.748	5.869	
DiezAlamo-2018-750-62	62	CERDO	pig	PIG	1337	4.21212121212121	6.92	2.83333333333333	3.23076923076923	4.96774193548387	6.625	7.08	5	5.391	5.804	Animales de cuatro patas (A four-footed animal)
DiezAlamo-2018-750-63	63	CESTA	basket	BASKET	1539	3.21875	2.56	7.20833333333333	2.03846153846154	2.03225806451613	2.625	2.28	6.3448275862069	5.811	6.057	
DiezAlamo-2018-750-64	64	CHAQUETA	jacket	JACKET	2770	4.875	3.36	7.54166666666667	1.53846153846154	1.67741935483871	2.59375	2.88	6.01724137931035	5.864	6.591	Prendas de vestir (An article of clothing)
DiezAlamo-2018-750-65	65	CHARCO	puddle	PUDDLE	2290	2.51515151515152	2.2	1.5	1.88461538461538	2.41935483870968	2.15625	2.8	4.53448275862069	5.441	6.076	
DiezAlamo-2018-750-66	66	CHEQUE	check			2.63636363636364	2.32	7.45833333333333	1.73076923076923	1.25806451612903	2.75	1.92	4.86440677966102	6.48		Dinero (A kind of money)
DiezAlamo-2018-750-67	67	CHICLE	gum			4.45454545454545	4.36	7.625	2.07692307692308	2.09677419354839	6.80645161290323	5.04	6.10344827586207	6.384	6.084	
DiezAlamo-2018-750-68	68	CHIMENEA	chimney	CHIMNEY	1305	3.96875	1.2	1.45833333333333	4.15384615384615	2.93548387096774	1.59375	5.72	4.68421052631579	6.169	6.286	Partes de un edificio (A part of a building)
DiezAlamo-2018-750-69	69	CHOCOLATE	chocolate	CHOCOLATE	3873	5.75757575757576	2.6	7.54166666666667	1.57692307692308	1.48387096774194	7.78125	5.72	6.03389830508475	6.127	6.624	Bebidas no alcohólicas (A nonalcoholic beverage)
DiezAlamo-2018-750-70	70	CHOZA	hut	HUT	1678	2.84848484848485	1.16	1.70833333333333	2.69230769230769	2.90322580645161	2.125	3.76	4.51724137931035	5.179	6.42	Tipos de viviendas (A type of human dwelling)
DiezAlamo-2018-750-71	71	CICATRIZ	scar	SCAR	497	2.78787878787879	1.44	1.83333333333333	4.15384615384615	1.06451612903226	2.21875	1.2	4.66666666666667	5.58	5.96	
DiezAlamo-2018-750-72	72	CIGARRO	cigarette	CIGARETTE	969	2.78125	3.88	7.83333333333333	5.30769230769231	1.48387096774194	2.6875	7.36	6.01694915254237	6.247	6.308	
DiezAlamo-2018-750-73	73	CINTURÓN	belt	BELT	772	4.09375	2.56	7.16666666666667	4.65384615384615	2.74193548387097	2.3125	2.72	6.13559322033898	6.051	5.833	Prendas de vestir (An article of clothing)
DiezAlamo-2018-750-74	74	COCINA	kitchen	KITCHEN	1365	4.21875	1.28	1.33333333333333	3.69230769230769	4.83870967741935	2.75	4.76	4.55	6.044	6.059	Partes de un edificio (A part of a building)
DiezAlamo-2018-750-75	75	COHETE	rocket			5.78787878787879	6.24	2.33333333333333	5.38461538461539	7.19354838709677	2.15625	3.92	3.56140350877193	5.952	6.271	Vehículos (A type of vehicle)
DiezAlamo-2018-750-76	76	COJÍN	cushion			5.3030303030303	2.28	7.29166666666667	1.76923076923077	1.41935483870968	2.5625	2.84	6.01694915254237	6.022	6.429	Muebles (An article of furniture)
DiezAlamo-2018-750-77	77	COLLAR	necklace	NECKLACE	1961	6	2.64	7.375	2.61538461538462	2.32258064516129	3.0625	1.96	6.1551724137931	5.334	6.543	
DiezAlamo-2018-750-78	78	COMETA	kite			6.63636363636364	6.68	4.41666666666667	2.30769230769231	2.25806451612903	2.71875	1.76	4.60344827586207	5.618	6.066	Juguetes (A toy)
DiezAlamo-2018-750-79	79	CÓMODA	dresser			3.24242424242424	1.4	2.79166666666667	3.03846153846154	2.70967741935484	2.5	1.72	4.74576271186441	4.755	5.939	Muebles (An article of furniture)
DiezAlamo-2018-750-80	80	CONEJO	rabbit	RABBIT	1136	4.39393939393939	7.4	5.04166666666667	2.07692307692308	2.51612903225806	6.03125	5.08	5.48275862068965	6.365	6.061	Animales de cuatro patas (A four-footed animal)
DiezAlamo-2018-750-81	81	COPA	drinking glass	CUP	476	3.33333333333333	3.16	7.66666666666667	3	3.09677419354839	3.625	2.8	6.1	5.289	6.388	Utensilios de cocina (A kitchen utensil)
DiezAlamo-2018-750-82	82	CORDÓN	cord			2.42424242424242	2.84	7.54166666666667	2.53846153846154	1.35483870967742	2.3125	1.52	5.93220338983051	5.342	6.052	
DiezAlamo-2018-750-83	83	CORONA	crown	CROWN (OF HEAD)	1943	6.48484848484848	2.12	6.875	2.73076923076923	2.29032258064516	2.375	1.64	4.8135593220339	5.557	5.557	Dinero (A kind of money)
DiezAlamo-2018-750-84	84	CORTEZA	bark	BARK	1204	3.42424242424242	1.64	6.04166666666667	2.42307692307692	2.2258064516129	4.21875	3.24	4.52542372881356	4.766	5.673	Árboles (A tree)
DiezAlamo-2018-750-85	85	CREMA	cream			2.78125	2.16	7.08333333333333	1.65384615384615	1.54838709677419	4.34375	5.84	5.78333333333333	4.991	6.029	Colores (A color)
DiezAlamo-2018-750-86	86	CREMALLERA	zipper			3.18181818181818	3.56	6.95833333333333	3.5	2.70967741935484	2.21875	1.52	6	5.82	5.127	
DiezAlamo-2018-750-87	87	CRISTAL	crystal			2.78787878787879	1.6	4.91666666666667	5.30769230769231	4.35483870967742	2.5625	1.4	5.26666666666667	5.879	5.703	Piedras preciosas (A precious stone)
DiezAlamo-2018-750-88	88	CUBO	bucket			3.84375	2.4	7	2.96153846153846	2.38709677419355	2.3125	2.12	5.96610169491525	5.169	5.129	Juguetes (A toy)
DiezAlamo-2018-750-89	89	CUCHILLO	knife	KNIFE	1352	3.66666666666667	3.64	7.83333333333333	6.73076923076923	2.96774193548387	2.34375	1.52	6.59322033898305	6.506	6.499	Utensilios de cocina (A kitchen utensil)
DiezAlamo-2018-750-90	90	CUERDA	rope	ROPE	1218	2.66666666666667	3.44	7.375	4	1.90322580645161	2.28125	2.2	5.86206896551724	5.329	6.547	Juguetes (A toy)
DiezAlamo-2018-750-91	91	CULEBRA	snake	SNAKE	730	5.59375	7.52	4.33333333333333	5.34615384615385	2.80645161290323	2.75	2.88	4.43103448275862	6.522	6.407	Serpientes (A snake)
DiezAlamo-2018-750-92	92	DADO	dice			3.78787878787879	4.8	7.83333333333333	1.92307692307692	2.29032258064516	2.75	1.32	6.05084745762712	5.713	5.273	
DiezAlamo-2018-750-93	93	DINERO	money	MONEY	1559	5.21875	4.32	7.375	4.5	2.64516129032258	2.40625	3.8	5.76666666666667	5.75	6.216	Tipos de viviendas (A type of human dwelling)
DiezAlamo-2018-750-94	94	DISCO	disc			4.66666666666667	3.8	7.66666666666667	2.38461538461538	4.58064516129032	2.53125	1.88	5.42372881355932	5.189	5.836	Tipos de música (A type of music)
DiezAlamo-2018-750-95	95	DIVÁN	divan			3.6969696969697	1.6	3.29166666666667	2.73076923076923	2	2.40625	1.96	5.33333333333333	6.023	5.49	Muebles (An article of furniture)
DiezAlamo-2018-750-96	96	DUCHA	shower			2.63636363636364	1.72	3.79166666666667	2.57692307692308	3.74193548387097	2.71875	3.56	5.45762711864407	5.303	6.565	
DiezAlamo-2018-750-97	97	ENSALADA	salad			6.12121212121212	2.16	5.83333333333333	1.23076923076923	1.58064516129032	7.15625	4.56	5.79661016949153	5.114	6.146	Verduras (A vegetable)
DiezAlamo-2018-750-98	98	ERMITA	hermitage			2.93939393939394	1.24	1.16666666666667	3.07692307692308	3.2258064516129	1.96875	3.44	3.94736842105263	4.805	5.716	Edificios religiosos (A building for religious service)
DiezAlamo-2018-750-99	99	ESCALERA	escalator	LADDER OR STAIRS	2689	2.78125	1.72	3.66666666666667	4.57692307692308	2.90322580645161	2.1875	1.56	5.30508474576271	5.756	6.5	Partes de un edificio (A part of a building)
DiezAlamo-2018-750-100	100	ESCAPARATE	storefront			6.06060606060606	1.28	1.45833333333333	3.03846153846154	2	2.375	1.36	4.20689655172414	5.388	6.08	
DiezAlamo-2018-750-101	101	ESCOPETA	shotgun			4.03030303030303	3.4	5.29166666666667	7.65384615384615	7.03225806451613	1.58064516129032	2.28	5.28813559322034	5.618	6.329	Armas (A weapon)
DiezAlamo-2018-750-102	102	ESCRITORIO	desk	TABLE	1775	3.48484848484848	1.36	2.75	3.03846153846154	2.61290322580645	2.59375	1.84	5.66101694915254	6.235	6.462	Muebles (An article of furniture)
DiezAlamo-2018-750-103	103	ESMOQUIN	tuxedo			5.12121212121212	2.68	5.95833333333333	1.57692307692308	1.51612903225806	2.375	2.72	5.42105263157895	6.027	5.923	
DiezAlamo-2018-750-104	104	ESPADA	sword	SWORD	1535	4.81818181818182	4.08333333333333	6.5	6.80769230769231	4.54838709677419	2.125	1.8	5.32758620689655	6.461	5.876	Armas (A weapon)
DiezAlamo-2018-750-105	105	ESPEJO	mirror	MIRROR	1171	3.65625	1.28	5.95833333333333	3.76923076923077	2.09677419354839	2.3125	1.2	5.79661016949153	6.345	5.595	Muebles (An article of furniture)
DiezAlamo-2018-750-106	106	ESPINA	thorn	THORN	124	2.24242424242424	1.68	6.75	5.38461538461539	1.25806451612903	2.09375	1.48	4.69491525423729	5.31	5.645	
DiezAlamo-2018-750-107	107	ESTANTERÍA	bookcase			3.125	1.24	2.875	4.19230769230769	2.45161290322581	2.4375	2.12	5.54385964912281	6.037	6.424	Muebles (An article of furniture)
DiezAlamo-2018-750-108	108	FALDA	skirt	SKIRT	1600	5.1875	3.68	7.20833333333333	1.34615384615385	1.32258064516129	2.70967741935484	2	6.06779661016949	5.444	6.591	Prendas de vestir (An article of clothing)
DiezAlamo-2018-750-109	109	FICHA	file	FILE (TOOL)	3407	4.375	3.52	7.5	1.80769230769231	1.67741935483871	2.53125	1.48	5.77966101694915	5.312	5.873	
DiezAlamo-2018-750-110	110	FLAUTA	flute	FLUTE	777	3.6875	2.92	7.375	2.46153846153846	5.29032258064516	2.6875	1.8	5.94915254237288	6.161	5.971	Instrumentos musicales (A musical instrument)
DiezAlamo-2018-750-111	111	FLECHA	arrow	ARROW	977	3.27272727272727	5.56	6.5	6.38461538461539	3.09677419354839	2.25	1.36	4.72881355932203	5.752	6.119	Armas (A weapon)
DiezAlamo-2018-750-112	112	FLOR	flower	FLOWER	239	7.33333333333333	3.32	7.75	1.42307692307692	1.45161290322581	4.65625	6.04	5.81666666666667	5.658	6.306	'Nombres de mujer (A girl''s first name)'
DiezAlamo-2018-750-113	113	FOCO	spotlight			5.8125	2.2	4.20833333333333	3.19230769230769	2.16129032258065	2.21875	1.68	4.10169491525424	4.993	5.758	
DiezAlamo-2018-750-114	114	FOLIO	sheet			2.90625	2.6	7.875	2.38461538461538	1.48387096774194	2.6875	2.92	6.12280701754386	6.574	7	Material de lectura (A type of reading material)
DiezAlamo-2018-750-115	115	FOTO	photo	PICTURE (PHOTOGRAPH)	3304	6.61290322580645	1.56	7.625	2.15384615384615	1.38709677419355	2.9375	2.12	5.53333333333333	6.152	6.436	
DiezAlamo-2018-750-116	116	FRESA	strawberry	STRAWBERRY	3138	7.125	2.28	7.70833333333333	1.30769230769231	1.2258064516129	7.71875	5.52	6.06779661016949	5.878	6.67	Frutas (A fruit)
DiezAlamo-2018-750-117	117	FUSIL	rifle	GUN	1566	3.875	3.56	4.58333333333333	7.88461538461539	6.67741935483871	1.5625	2.8	4.8135593220339	5.909	5.836	Armas (A weapon)
DiezAlamo-2018-750-118	118	GALLO	rooster	ROOSTER	1511	5.71875	7.04	4.41666666666667	3.23076923076923	5	5.28125	5.36	4.96491228070175	5.942	6.614	Peces (A fish)
DiezAlamo-2018-750-119	119	GARAJE	garage			2.53333333333333	1.32	1.08333333333333	2.73076923076923	4.29032258064516	1.78125	4	3.96666666666667	6.36	5.507	Partes de un edificio (A part of a building)
DiezAlamo-2018-750-120	120	GLOBO	balloon	BALLOON	3083	6.40625	5.88	7.41666666666667	1.61538461538462	2.09677419354839	2.78125	3.12	5.66101694915254	5.94	6.243	Vehículos (A type of vehicle)
DiezAlamo-2018-750-121	121	GOMA	eraser			3.40625	3.08	7.75	2.46153846153846	1.80645161290323	2.71875	4.16	5.8448275862069	4.44	6.164	Juguetes (A toy)
DiezAlamo-2018-750-122	122	GUITARRA	guitar	GUITAR	3090	4.66666666666667	4.68	6.25	3.23076923076923	5.7741935483871	2.78125	2.64	6.20338983050847	5.921	6.687	Instrumentos musicales (A musical instrument)
DiezAlamo-2018-750-123	123	HAMACA	hammock	HAMMOCK	2019	4	4.48	4.25	2.15384615384615	2	2.53125	2.28	5.66101694915254	6.085	6.566	Muebles (An article of furniture)
DiezAlamo-2018-750-124	124	HIERBA	grass	GRASS	606	6.5625	3.29166666666667	6.54166666666667	1.26923076923077	1.51612903225806	4.09375	5.56	5.23728813559322	6.536	6.087	
DiezAlamo-2018-750-125	125	HIERRO	iron	IRON	621	4.1875	1.72	5.79166666666667	5.5	4.06451612903226	2.03125	3.72	5.23728813559322	5.849	5.573	Metales (A metal)
DiezAlamo-2018-750-126	126	HILO	thread	THREAD	1161	3.4375	2.8	7.625	1.88461538461538	1.09677419354839	3.15625	1.16	5.55172413793103	5.825	6.37	Tejidos (A kind of cloth)
DiezAlamo-2018-750-127	127	HOJA	leaf	LEAF (LEAFLIKE OBJECT)	2250	3.72727272727273	3.68	7.66666666666667	2.15384615384615	1.48387096774194	3.25	2.96	6.2	5.261	6.232	Material de lectura (A type of reading material)
DiezAlamo-2018-750-128	128	HORNO	oven	OVEN	1143	3.4375	1.52	3	5.26923076923077	3.03225806451613	2.5625	4.68	5.55932203389831	6.058	6.475	Utensilios de cocina (A kitchen utensil)
DiezAlamo-2018-750-129	129	HUESO	bone	BONE	1394	2.09375	2.8	6.66666666666667	3.53846153846154	2.32258064516129	3.25	2.52	4.88135593220339	5.669	6.037	Partes del cuerpo humano (A part of the human body)
DiezAlamo-2018-750-130	130	HUEVO	egg	EGG	744	4.15151515151515	2.24	7.75	2.15384615384615	2.06451612903226	7.03125	3.92	6.2	5.564	6.319	Condimentos (A substance for flavoring food)
DiezAlamo-2018-750-131	131	JABALÍ	wild boar	WILD BOAR	3154	4.15625	7.2	2.25	5.73076923076923	5.32258064516129	5.59375	5.92	4.54237288135593	5.95	5.69	Animales de cuatro patas (A four-footed animal)
DiezAlamo-2018-750-132	132	JABÓN	soap	SOAP	788	3.5	3	7.70833333333333	2.30769230769231	1.54838709677419	2.65625	6.12	6.43333333333333	6.619	5.648	
DiezAlamo-2018-750-133	133	JAMÓN	ham			5.33333333333333	1.96	5.95833333333333	3	1.61290322580645	7.46875	6.24	5.91525423728814	6.251	6.125	
DiezAlamo-2018-750-134	134	JARDÍN	garden	GARDEN	586	7.24242424242424	1.8	1.45833333333333	2.03846153846154	2.41935483870968	3.46875	5.72	4.16949152542373	6.261	5.864	Partes de un edificio (A part of a building)
