ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SEMANTIC_CLASS	TYPICAL_ATTRIBUTE	COHYPONYMY	TYPICAL_EVENT	HYPERONYM	MERONYM	RANDOM_ADJECTIVE	RANDOM_NOUN	RANDOM_VERB
Baroni-2011-200-13	13	stove	859	STOVE	appliance	clean, dangerous, dirty, electric, electrical, empty, good, hot, large, new, old, rectangular	dishwasher, freezer, fridge, oven, phone, radio, refrigerator, stereo, telephone, television, toaster, washer	bake, boil, break, broil, build, burn, clean, close, cook, fix, fry, grill, heat, open, produce, reheat, repair, roast, switch, turn, use, warm, wipe	appliance, artefact, artifact, commodity, device, good, object	burner, cooker, electricity, element, food, gas, heater, metal, plug, steel, supply, top, wood	Serb, back, diverse, economic, familiar, first, great, least, powerful, spiritual	ability, bookshop, charge, charity, cheer, const, context, discipline, ending, entertainment, equality, goal, john, melody, migraine, needle, paving, penny, perspective, self-pity, slavery, soccer, stability, veil, venue, website	accelerate, arise, blurt, bow, climb, fail, gain, groom, license, look, recommend, reformulate, rejoice, repute, respect, sell, send, shower
Baroni-2011-200-14	14	television	1788	TELEVISION	appliance	addictive, big, boring, cheap, digital, electric, electrical, electronic, expensive, flat, good, heavy, interesting, large, loud, new, noisy, old, popular, small, square	computer, dishwasher, freezer, fridge, oven, phone, radio, refrigerator, stereo, stove, telephone, toaster, washer	announce, break, broadcast, build, display, enjoy, fix, hear, install, listen, produce, receive, repair, show, sound, steal, switch, throw, transmit, tune, turn, use, watch, wipe	appliance, artefact, artifact, commodity, device, equipment, good, object, system	amplifier, antenna, cable, channel, circuit, control, loudspeaker, metal, monitor, plastic, plug, resistance, screen, show, speaker, supply, tube, video, wire	French, Scots, dead, different, great, intended, lucky, most, original, outside, perfect, second, simple, territorial, unique	Pluto, Thank, approach, arrears, cc, colony, consequence, copy, digit, directive, dollar, farewell, folk, fuselage, future, grassland, guestbook, inline, intolerance, occupancy, outing, policy, probe, prosecution, psychologist, shovel, solo, south-east, treasure, understanding, wife	accomplish, achieve, annotate, combine, earn, enter, expect, fight, gear, inherit, lay, lose, make, mark, meet, pack, print, share
Baroni-2011-200-15	15	toaster			appliance	clean, dangerous, dirty, electric, electrical, good, hot, new, old, rectangular	dishwasher, freezer, fridge, oven, phone, radio, refrigerator, stereo, stove, telephone, television, washer	break, brown, build, burn, close, cook, fix, heat, make, open, pop, produce, put, repair, switch, throw, toast, turn, use, warm, wipe	appliance, artefact, artifact, commodity, device, good, object	bread, element, engine, inside, metal, plug, rack, steel, supply, top	adverse, chief, collective, geographic, large, many, mental	brake, building, camcorder, convention, cursor, distress, drive, fragment, illusion, legality, longevity, nucleus, pad, passage, predictor, presentation, response, scholarship, show, trafficker, variation, vocal	access, adapt, apply, begin, behave, dedicate, deter, direct, gather, graduate, protest, reassert, resist, situate, suppress, swamp, tell, write
Baroni-2011-200-16	16	washer			appliance	big, clean, dirty, electric, electrical, empty, full, good, loud, new, noisy, old, rectangular, small, warm, white	dishwasher, freezer, fridge, oven, phone, radio, refrigerator, stereo, stove, telephone, television, toaster	break, build, clean, close, dry, fix, load, open, produce, put, repair, switch, throw, turn, use, wash, wipe	appliance, artefact, artifact, commodity, device, good, object	basket, button, clothes, clothing, control, detergent, dial, door, drum, engine, front, inside, lid, metal, motor, plug, rack, soap, steel, supply, top, water, window, windscreen	Turkish, angry, difficult, divine, early, first-hand, first, forthcoming, key, other, same, video	advice, affluence, agreement, ammunition, boot, charter, download, eighty, entrance, ext, finance, footnote, fortune, historian, hit, homepage, hovercraft, impact, mi, notice, patter, personnel, photography, remembrance, restriction, revolt, rhetoric, silver, skill, slice, specie, synod, tab, taxpayer, text, woodland	agree, bend, burn, characterise, contrast, dispatch, enable, highlight, keep, raise, select, sit, torture
Baroni-2011-200-17	17	crow	913	CROW	bird	black, large, loud, noisy, old, wild, young	blackbird, dove, eagle, falcon, goose, hawk, owl, penguin, pheasant, pigeon, raven, robin, sparrow, swan, vulture, woodpecker	breathe, caw, die, eat, fly, inhabit, lay, live, nest, roost, sit, squawk, walk	animal, bird, chordate, creature, passerine, scavenger, vertebrate	beak, eye, feather, foot, head, pinion, plumage, plume, rump, wing	available, economic, excessive, only, special	Marxism, P, antibiotic, awe, bannister, beanbag, brandy, corollary, counsel, coupling, coward, deg, ditto, doctrine, gambler, handover, knot, liking, midpoint, mining, overdrive, pentium, pragmatics, reformer, relict, series, shire, ultimatum, utilisation	argue, attend, deconstruct, excavate, guarantee, increase, prohibit, rash, retain, sell, supply
Baroni-2011-200-18	18	dove	1853	DOVE	bird	domestic, little, old, white, young	blackbird, crow, eagle, falcon, goose, hawk, owl, penguin, pheasant, pigeon, robin, sparrow, swallow, swan, vulture, woodpecker	breathe, die, eat, flutter, fly, inhabit, lay, live, moan, nest, roost, sit	animal, bird, chordate, creature, vertebrate	beak, eye, feather, foot, head, pinion, plumage, plume, rump, wing	current, future, great, special	alleyway, biochemistry, blink, bounce, cab, centurion, congregation, culture, debris, dishcloth, fitment, glass, hyperactivity, make-up, musicianship, network, patient, penalty, piety, ringtones, section, serum, starting, subcommittee, subsea, wedge, wharf	become, cut, depend, dust, interpret, kiss, pile, show, spawn, superimpose
Baroni-2011-200-19	19	eagle	1905	EAGLE	bird	aggressive, bald, big, brown, dangerous, large, old, strong, wild, young	condor, crow, dove, falcon, goose, hawk, owl, penguin, pheasant, pigeon, robin, sparrow, swan, vulture, woodpecker	breathe, catch, circle, die, eat, fly, hover, hunt, inhabit, lay, live, nest, roost, see, sit, soar, spot, swoop	animal, bird, chordate, creature, predator, raptor, vertebrate	beak, claw, eye, feather, foot, head, pinion, plumage, plume, rump, talon, wing	Scottish, first, full, full-time, official, public, radioactive, value-added	GB, adjuster, aggressor, botanist, charm, coastline, cushion, downtime, enrollee, fader, generation, groundwater, hype, insignia, juice, ladle, mailing, menopause, nostalgia, offseason, page, pip, psoriasis, qualification, shepherd, shopping, striker, stuff	age, argue, assess, award, bang, do, elude, farm, intend, interrupt, master, provide, recount, scale, slow, superimpose, switch
Baroni-2011-200-20	20	falcon	3258	FALCON	bird	aggressive, big, brown, dangerous, large, old, wild, young	crow, dove, eagle, goose, hawk, owl, penguin, pheasant, pigeon, robin, sparrow, swan, vulture, woodpecker	breathe, catch, circle, die, eat, fly, hover, hunt, inhabit, lay, live, nest, roost, see, sit, soar, spot, swoop	animal, bird, chordate, creature, predator, raptor, vertebrate	beak, claw, eye, feather, foot, head, pinion, plumage, plume, rump, talon, wing	ethnic, further, latter, remaining, so-called	Aussie, Cas, Monsieur, arrogance, blame, carbonate, communion, dance, editor, hash, immigration, inaugural, km, liberalization, lute, maize, metalwork, operator, person, sentencing, slavery, stab, surveyor, thou, trajectory, underdog, ureter, worksheet	clothe, devolve, disagree, display, embroil, happen, obtain, precipitate, raise, redo, regard, represent, war
Baroni-2011-200-21	21	goose	1187	GOOSE	bird	aquatic, domestic, edible, old, white, young	crow, dove, duck, eagle, falcon, hawk, owl, penguin, pheasant, pigeon, robin, sparrow, swan, vulture, woodpecker	breathe, catch, cook, die, eat, feed, fly, follow, graze, hunt, inhabit, keep, lay, live, nest, peck, roost, shoot, swim, waddle, walk	animal, bird, chordate, creature, vertebrate, waterbird, waterfowl	beak, eye, feather, foot, head, neck, pinion, plumage, plume, rump, wing	annual, great, necessary, retired, video	Caesar, ad-hoc, attitude, attribution, cinematography, continuum, cost-effectiveness, curriculum, doubter, dwarve, een, geek, glider, indexing, isle, juxtaposition, lord, match, metric, monograph, odd, panic, program, reading, record, retro, shopper, signatory, stipulation, stud, wineglass	apologise, become, break, celebrate, change, cherish, defy, enrol, grade, graduate, look, misfire, nickname, pull, reveal, reward, rotate, succeed, swipe, think, travel
Baroni-2011-200-22	22	hawk	307	HAWK	bird	aggressive, big, brown, gray, grey, large, old, strong, wild, young	crow, dove, eagle, falcon, goose, owl, penguin, pheasant, pigeon, robin, sparrow, swan, vulture, woodpecker	breathe, catch, circle, die, eat, fly, hover, hunt, inhabit, lay, live, nest, roost, see, sit, soar, spot, swoop	animal, bird, chordate, creature, predator, raptor, vertebrate	beak, claw, eye, feather, foot, head, pinion, plumage, plume, rump, talon, wing	contextual, economic, educational, experienced, first, further, judicial, practical	FIA, IRA, MSM, binding, christmas, co-operative, crate, dark, difficulty, employer, everytime, genesis, idealism, improvisation, jacaranda, kerb, limestone, mindfulness, neutron, no-one, other, passenger, prism, sea, shortcoming, sign, triathlon, windmill	aim, concern, conference, convict, elapse, feign, include, localise, nominate, paint, present, reverse, star, strengthen, trim
Baroni-2011-200-23	23	owl	735	OWL	bird	brown, gray, grey, nocturnal, old, smart, wild, wise, young	crow, dove, eagle, falcon, goose, hawk, penguin, pheasant, pigeon, robin, sparrow, swan, vulture, woodpecker	breathe, breed, catch, die, eat, fly, hear, hoot, inhabit, lay, live, nest, roost, see, sit, spot	animal, bird, chordate, creature, predator, raptor, vertebrate	beak, claw, eye, feather, foot, head, pinion, plumage, plume, rump, talon, wing	constitutional, experienced, ridiculous, subtropical, tight, undemocratic	address, ancient, axiom, character, computer, covering, darling, heiress, hobble, interlude, isp, kidnapping, knee, mentoring, motorway, msc, noodle, parcel, person, port, preacher, protestation, quantification, roadmap, router, student-run, trumpet, veracity, verandah	adopt, announce, conform, face, feature, intend, intervene, lapse, offer, rock, satisfy, snorkelling, sport, spread, use
Baroni-2011-200-24	24	penguin	2831	PENGUIN	bird	Antarctic, amphibious, aquatic, black, funny, old, social, white, wild, young	crow, dove, duck, eagle, falcon, goose, gull, hawk, owl, pheasant, pigeon, robin, sparrow, swan, vulture, woodpecker	breathe, die, eat, feed, follow, inhabit, lay, live, nest, roost, swim, waddle, walk	animal, bird, chordate, creature, seabird, vertebrate	beak, eye, feather, foot, head, neck, pinion, plumage, plume, rump, wing	discriminate, graduate, great, key, major, popular, sharp, voluntary	adversity, aviator, blueprint, comma, committee, completion, documentation, emissary, energy, feedback, flat, gauntlet, glycogen, hypermedia, inmate, inquirer, island, kirk, lectureship, lifter, minesweeper, multi-agency, operator, pod, psychosis, renewal, sensor, strand, teddy, washbasin, woman	decline, glorify, guard, name, note, oversee, remain, retain, slant, store, want
Baroni-2011-200-25	25	pheasant	3060	PHEASANT	bird	brown, colorful, colourful, edible, green, old, wild, young	crow, dove, eagle, falcon, goose, hawk, owl, peacock, penguin, pigeon, robin, sparrow, swan, vulture, woodpecker	breathe, cook, die, eat, fly, hunt, inhabit, lay, live, nest, roost, shoot, squawk, walk	animal, bird, chordate, creature, game, vertebrate	beak, breast, eye, feather, foot, head, pinion, plumage, plume, rump, wing	animated, ethnic, holistic, important, key, sure, uniform, volcanic	Druid, Pakistani, address, anti-virus, arming, auction, crossfire, detriment, hallmark, home, hydroxide, implant, lake, nightie, pact, partition, pediatrician, policyholder, relegation, roundhouse, samurai, special, theatre, trail, triangulation, trilogy	abandon, blame, brew, cause, code, enquire, please, publish, simplify, train, understand
Baroni-2011-200-26	26	pigeon			bird	dirty, domestic, edible, gray, grey, old, young	blackbird, crow, dove, eagle, falcon, goose, hawk, owl, penguin, pheasant, robin, sparrow, swallow, swan, vulture, woodpecker	breathe, catch, coo, die, eat, feed, flutter, fly, hunt, inhabit, keep, lay, live, nest, roost, sit, walk	animal, bird, chordate, creature, vertebrate	beak, eye, feather, foot, head, pinion, plumage, plume, rump, wing	communal, enormous, forthcoming, human, late, right-wing, threatening	Brahmin, astronomer, bail, bookmarking, cargo, colonization, conference, cornerstone, design, disdain, doorstep, four-lane, gules, hello, idolatry, implementation, international, interview, nous, one, privateer, property, radial, romance, swim, ten-year, tiara, upgrade	add, base, blend, concern, effect, lose, model, pipe, pry, remind, sever, sign, study, track, yield
Baroni-2011-200-27	27	robin	2402	ROBIN	bird	common, little, old, red, small, wild, young	blackbird, crow, dove, eagle, falcon, goose, hawk, oriole, owl, penguin, pheasant, pigeon, sparrow, swallow, swan, vulture, woodpecker	breathe, cheep, chirp, die, eat, fly, hop, inhabit, lay, live, migrate, nest, roost, sing, sit, twitter	animal, bird, chordate, creature, passerine, thrush, vertebrate	beak, breast, eye, feather, foot, head, neck, pinion, plumage, plume, rump, wing	general, great, online, outstanding, popular, whole	CFC, Saracen, absurdity, accident, addiction, address, break, combatant, commitment, commuter, concatenation, culture, curling, directive, disagreement, distension, earring, freshman, handicap, harbor, hospitalisation, iron, lapse, mange, permanence, post, primetime, professorship, rebranding, reflexion, self-government, sewerage, wart	disintegrate, engrave, expect, file, fob, happen, identify, inter, malinger, occur, omit, perjure, surround, thrive, treat, wrap
Baroni-2011-200-28	28	sparrow	1854	SPARROW	bird	brown, little, old, small, wild, young	blackbird, crow, dove, eagle, falcon, goose, hawk, owl, penguin, pheasant, pigeon, robin, swallow, swan, vulture, woodpecker	breathe, cheep, chirp, die, eat, fly, hunt, inhabit, lay, live, nest, roost, sing, sit, twitter	animal, bird, chordate, creature, passerine, vertebrate	beak, eye, feather, foot, head, pinion, plumage, plume, rump, wing	cheap, dependent, large, likely, new, second	affluence, aide, cape, cent, citizen, curvature, deadline, ego, ember, fatherhood, football, fritillary, functor, guardian, hallucination, heart-attack, mit, motive, placebo, reveller, sentence, stoker, travelogue, trinity, two-door, update, weighting, year-end, zeal	adapt, alarm, avoid, begin, complain, console, elect, enable, enact, extirpate, ladle, like, mark, multitask
Baroni-2011-200-29	29	swan	2837	SWAN	bird	aquatic, beautiful, domestic, faithful, graceful, old, pretty, white, wild, young	crow, dove, duck, eagle, falcon, goose, hawk, owl, penguin, pheasant, pigeon, robin, sparrow, vulture, woodpecker	breathe, die, eat, feed, fly, follow, inhabit, lay, live, nest, roost, sing, swim, waddle, walk	animal, bird, chordate, creature, vertebrate, waterbird, waterfowl	beak, eye, feather, foot, head, neck, pinion, plumage, plume, rump, wing	fifth, financial, fourth, global, lesser, many, next, reduced, unwell	analog, approach, asphalt, bandwagon, cf, compromise, condominium, context, diary, doom, eighteen, escapade, frustration, gamelan, miniature, mistake, overdraft, plywood, post-graduate, prosecutor, security, sinner, smattering, spaceman, stockist, stratum, travel	base, cane, check, coordinate, expend, forge, intend, issue, locate, participate, promise, read, reopen, string
Baroni-2011-200-30	30	vulture	1185	VULTURE	bird	aggressive, bald, brown, dangerous, large, old, ugly, wild, young	crow, dove, eagle, falcon, goose, hawk, owl, penguin, pheasant, pigeon, robin, sparrow, swan, woodpecker	breathe, catch, circle, die, eat, fly, hover, hunt, inhabit, lay, live, nest, roost, scavenge, see, sit, soar, spot, swoop	animal, bird, chordate, creature, predator, raptor, scavenger, vertebrate	beak, claw, eye, feather, foot, head, neck, pinion, plumage, plume, rump, talon, wing	bare, cool, gastropod, natural, red, sophisticated, special, terrorist	Hindi, Knick, amusement, atheism, blank, bolt, christening, concern, condemnation, coz, dismay, folk, footing, hairdresser, icts, ish, launcher, microprocessor, militancy, minima, monsoon, moor, npt, nursery, pinny, post, sleight, solo, tale, war	arrive, bar, couple, cover, enter, except, exile, graze, interlock, overwrite, prepare, prescribe, reach, resort, work, wring, zero
Baroni-2011-200-31	31	woodpecker	2447	WOODPECKER	bird	brown, loud, noisy, old, red, wild, young	blackbird, crow, dove, eagle, falcon, goose, hawk, owl, penguin, pheasant, pigeon, robin, sparrow, swallow, swan, vulture	breathe, die, eat, fly, inhabit, lay, live, nest, peck, roost, sit	animal, bird, chordate, creature, vertebrate	beak, eye, feather, foot, head, pinion, plumage, plume, rump, wing	academic, general, inferior, internal, poor	Spode, alibi, burner, constriction, diagonal, domino, dropout, electrician, encouragement, fellow, fork, grove, handicraft, headgear, inversion, neurobiology, picnic, pity, podium, port, research, root, setup, sewing, synonym, to-morrow, wheel	appropriate, benefit, finger, happen, lengthen, overcome, question, receive, return, spread
Baroni-2011-200-32	32	castle			building	Gothic, Roman, Romanesque, beautiful, big, empty, expensive, fancy, furnished, gothic, huge, large, luxurious, luxury, medieval, modern, new, nice, old, pretentious, roomy, royal, ruined, small, spacious	cathedral, cottage, hospital, hotel, library, pub, restaurant, skyscraper, villa, warehouse	arrive, attack, belong, build, burn, buy, capture, clean, construct, cook, cost, defend, demolish, destroy, drink, eat, enjoy, enter, find, furnish, go, host, leave, live, own, protect, relax, renovate, rent, rest, sell, siege, sit, sleep, stand, stay, visit	accommodation, building, construction, defence, defense, dwelling, edifice, fortification, habitation, home, house, housing, lodging, site, structure	bathroom, battlement, bedroom, brick, bridge, ceiling, door, dungeon, exterior, fireplace, floor, furniture, garden, gate, guest, hall, inside, interior, king, kitchen, knight, moat, outside, owner, prince, princess, queen, roof, room, spire, stair, stairs, stone, tower, turret, visitor, wall, window	Finnish, Lead, available, dew-distilling, fundamental, handicapped, hermetic, inconclusive, least, little, median, naked, other, pop, senior-high, short, soft, surprised, thin, watertight	adjudication, anniversary, apparatus, avoidance, brush, cause, communicans, confidence, consciousness, cos, dad, date, dolphin, donut, emails, enthusiasm, eye, feeling, funding, geography, graduate, guy, handheld, histogram, information, interval, journal, labour, law, look, management, necessity, pop, portion, racing, raise, recipe, record, researcher, retirement, season, selling, spectrum, sprint, street, term, traitor, update, week, workshop, year-olds	abolish, adjust, alter, announce, bother, cause, connect, distinguish, entitle, exhibit, exit, happen, hope, identify, improve, interest, issue, launch, lift, like, matter, perceive, provide, recover, recurve, remove, share, shed, top, value, watch
