ID	NUMBER	ENGLISH	BISLAMA	CONCEPTICON_ID	CONCEPTICON_GLOSS
Walworth-2018-215-119	119	earth	kraon	1228	EARTH (SOIL)
Walworth-2018-215-120	120	stone	ston	857	STONE
Walworth-2018-215-121	121	sand	sanbij	671	SAND
Walworth-2018-215-122	122	water	wota	948	WATER
Walworth-2018-215-123	123	flow	wota i ron 	2003	FLOW
Walworth-2018-215-124	124	sea	solwota	1474	SEA
Walworth-2018-215-125	125	salt	sol	1274	SALT
Walworth-2018-215-126	126	lake	lek (o bel wota)	624	LAKE
Walworth-2018-215-127	127	woods	dak bus	420	FOREST
Walworth-2018-215-128	128	sky	skae (no minim klaud)	1732	SKY
Walworth-2018-215-129	129	moon	mun	1313	MOON
Walworth-2018-215-130	130	star	sta	1430	STAR
Walworth-2018-215-131	131	cloud	klaud	1489	CLOUD
Walworth-2018-215-132	132	fog	fok (olsem smok long moning)	249	FOG
Walworth-2018-215-133	133	rain	ren	2108	RAINING OR RAIN
Walworth-2018-215-134	134	thunder	tanda	1150	THUNDER
Walworth-2018-215-135	135	lightning	laetning	1654	LIGHTNING
Walworth-2018-215-136	136	wind	win	960	WIND
Walworth-2018-215-137	137	blow	blo (olsem win)	175	BLOW (OF WIND)
Walworth-2018-215-138	138	warm	wom (blong ples, blong weta)	1232	WARM
Walworth-2018-215-139	139	cold	kolkol (blong ples, blong weta)	1287	COLD
Walworth-2018-215-140	140	dry	drae	1398	DRY
Walworth-2018-215-141	141	wet	wetwet	1726	WET
Walworth-2018-215-142	142	heavy	hevi	1210	HEAVY
Walworth-2018-215-143	143	fire	faea	221	FIRE
Walworth-2018-215-144	144	burn	bon	2102	BURN
Walworth-2018-215-145	145	smoke	smok	778	SMOKE (EXHAUST)
Walworth-2018-215-146	146	ash	asis	646	ASH
Walworth-2018-215-147	147	black	blak	163	BLACK
Walworth-2018-215-148	148	white	waet	1335	WHITE
Walworth-2018-215-149	149	red	red	156	RED
Walworth-2018-215-150	150	yellow	yalo	1424	YELLOW
Walworth-2018-215-151	151	green	grin	1425	GREEN
Walworth-2018-215-152	152	small	smol	1246	SMALL
Walworth-2018-215-153	153	big	big	1202	BIG
Walworth-2018-215-154	154	short	shot	1645	SHORT
Walworth-2018-215-155	155	long	long	1203	LONG
Walworth-2018-215-156	156	thin	tintin	2308	THIN
Walworth-2018-215-157	157	thick	tik	1244	THICK
Walworth-2018-215-158	158	narrow	naro	1267	NARROW
Walworth-2018-215-159	159	wide	waed	1243	WIDE
Walworth-2018-215-160	160	painful	soa	1129	PAINFUL
Walworth-2018-215-161	161	shy	shem/kwaet	487	SHY
Walworth-2018-215-162	162	old	olfala	1229	OLD
Walworth-2018-215-163	163	new	niu	1231	NEW
Walworth-2018-215-164	164	good	gud	1035	GOOD
Walworth-2018-215-165	165	bad	bad, rabis	1292	BAD
Walworth-2018-215-166	166	correct	strait, tru	1725	CORRECT (RIGHT)
Walworth-2018-215-167	167	night	naet	1233	NIGHT
Walworth-2018-215-168	168	day	dei	1225	DAY (NOT NIGHT)
Walworth-2018-215-169	169	year	yia (12 manis)	1226	YEAR
Walworth-2018-215-170	170	when	wanem taem	1238	WHEN
Walworth-2018-215-171	171	hide	haetem	2486	HIDE
Walworth-2018-215-172	172	climb	klaem	1102	CLIMB
Walworth-2018-215-173	173	at	long	1461	AT
Walworth-2018-215-174	174	in	insaed	1460	IN
Walworth-2018-215-175	175	above	antap	1741	ABOVE
Walworth-2018-215-176	176	below	andanit	1485	BELOW OR UNDER
Walworth-2018-215-177	177	this	hemia ia	1214	THIS
Walworth-2018-215-178	178	that	hemia longwei	78	THAT
Walworth-2018-215-179	179	near	kolosap	1942	NEAR
Walworth-2018-215-180	180	far	longwei	1406	FAR
Walworth-2018-215-181	181	where	wea	1237	WHERE
Walworth-2018-215-182	182	1S	mi	1209	I
Walworth-2018-215-183	183	2S	yu	1215	THOU
Walworth-2018-215-184	184	3S	hem	2642	HE OR SHE
Walworth-2018-215-185	185	1P_incl	yumi	1131	WE (INCLUSIVE)
Walworth-2018-215-186	186	1P_excl	mifala	1130	WE (EXCLUSIVE)
Walworth-2018-215-187	187	1D_incl	yumitu	2637	WE TWO (INCLUSIVE)
Walworth-2018-215-188	188	1D_excl	mitufala	2636	WE TWO (EXCLUSIVE)
Walworth-2018-215-189	189	2P	yufala	1213	YOU
Walworth-2018-215-190	190	2D	yutufala	2111	YOU TWO
Walworth-2018-215-191	191	3P	olgeta	817	THEY
Walworth-2018-215-192	192	3D	tufala	2635	THEY TWO
Walworth-2018-215-193	193	what	wanem	1236	WHAT
Walworth-2018-215-194	194	who	hu	1235	WHO
Walworth-2018-215-195	195	other	narafala, narawan	197	OTHER
Walworth-2018-215-196	196	all	ol	98	ALL
Walworth-2018-215-197	197	and	mo	1577	AND
Walworth-2018-215-198	198	if	sipos	1459	IF
Walworth-2018-215-199	199	how	hao, olsem wanem	1239	HOW
Walworth-2018-215-200	200	no	no	1269	NO
Walworth-2018-215-201	201	count	kaontem	1420	COUNT
Walworth-2018-215-202	202	one	wan	1493	ONE
Walworth-2018-215-203	203	two	tu	1498	TWO
Walworth-2018-215-204	204	three	tri	492	THREE
Walworth-2018-215-205	205	four	fo	1500	FOUR
Walworth-2018-215-206	206	five	faiv	493	FIVE
Walworth-2018-215-207	207	six	sikis	1703	SIX
Walworth-2018-215-208	208	seven	seven	1704	SEVEN
Walworth-2018-215-209	209	eight	eit	1705	EIGHT
Walworth-2018-215-210	210	nine	naen	1483	NINE
Walworth-2018-215-211	211	ten	ten	1515	TEN
Walworth-2018-215-212	212	twenty	twenti	1710	TWENTY
Walworth-2018-215-213	213	fifty	fifti	1717	FIFTY
Walworth-2018-215-214	214	one_hundred	wan hundred	1634	HUNDRED
Walworth-2018-215-215	215	one_thousand	wan taosan	1843	THOUSAND
