ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	KANNADA	KANNADA_ROMANIZED	IMAGE_AGREEMENT_MEAN	IMAGE_AGREEMENT_SD	PICTURE_NAME_AGREEMENT_MEAN	PICTURE_NAME_AGREEMENT_SD	FAMILIARITY_MEAN	FAMILIARITY_SD	VISUAL_COMPLEXITY_MEAN	VISUAL_COMPLEXITY_SD	AoA_MEAN	AoA_SD	NAME_AGREEMENT_PERCENT	NAME_AGREEMENT_PERCENT_SD
Bangalore-2022-180-11	11	Barrel	2548	BARREL	ಬ್ಯಾರೆಲ್	Byārel	2.26	2.44	2.65	2.29	4.03	1.34	4.35	1.30	3.76	1.37	17.16	14.79
Bangalore-2022-180-12	12	Basket	1539	BASKET	ಚೀಲ	Cīla	4.29	0.84	4.91	0.29	4.85	0.44	4.68	0.59	2.71	1.12	65.19	20.71
Bangalore-2022-180-13	13	Bear	1820	BEAR	ಕರಡಿ	Karaḍi	4.59	0.74	4.76	0.70	4.76	0.65	4.50	0.75	2.68	1.09	85.62	4.59
Bangalore-2022-180-14	14	Bed	1663	BED	ಹಾಸಿಗೆ	Hāsige	4.91	0.29	5.00	0.00	4.97	0.17	4.91	0.29	1.91	1.03	24.79	9.27
Bangalore-2022-180-15	15	Bee	665	BEE	ಜೇನುನೊಣ	Jēnu Noṇa	4.56	0.82	4.79	0.77	4.97	0.17	4.59	0.70	2.50	1.11	93.24	5.05
Bangalore-2022-180-16	16	Beetle	2242	BEETLE	ಗುಬ್ಬಚ್ಚಿ	Gubbacci	3.44	2.16	3.59	2.19	3.56	1.78	3.53	1.76	2.71	1.55	17.99	12.37
Bangalore-2022-180-17	17	Bell	2246	BELL	ಘಂಟೆ	Ghaṇṭe	4.82	0.46	5.00	0.00	5.00	0.00	4.82	0.39	1.79	0.77	19.93	13.15
Bangalore-2022-180-18	18	Belt	772	BELT	ಬಿಲ್ಟು	Biltu	4.12	1.43	4.06	1.54	4.97	0.17	4.76	0.50	2.74	1.11	93.08	8.01
Bangalore-2022-180-19	19	Bird	937	BIRD	ಹಕ್ಕಿ	Hakki	4.68	0.73	4.97	0.17	4.97	0.17	4.79	0.48	1.50	0.75	52.13	28.27
Bangalore-2022-180-20	20	Blouse			ಬ್ಲೌಸ್	Blouse	2.24	1.69	2.76	1.81	4.94	0.34	4.71	0.52	2.26	1.14	5.71	15.93
Bangalore-2022-180-21	21	Boot	585	BOOT	ಬೂಟ್	Boot	2.38	1.61	2.88	1.72	4.74	0.57	4.62	0.74	2.79	1.45	45.59	11.47
Bangalore-2022-180-22	22	Bowl	1530	BOWL	ಬಟ್ಟಲು	Baṭṭalu	4.82	0.39	4.97	0.17	4.88	0.41	4.74	0.67	1.74	0.75	83.00	10.94
Bangalore-2022-180-23	23	Box	1465	BOX	ಪೆಟ್ಟಿಗೆ	Peṭṭige	4.15	0.99	4.44	1.11	4.82	0.46	4.50	0.79	2.32	1.25	52.72	20.58
Bangalore-2022-180-24	24	Broom	245	BROOM	ಕೂಚಿ	Kūci	2.97	1.64	3.50	1.80	4.79	0.59	4.35	1.01	3.26	1.36	14.71	19.58
Bangalore-2022-180-25	25	Butterfly	1791	BUTTERFLY	ಚಿಟ್ಟೆ	Ciṭṭe	4.94	0.24	5.00	0.00	4.88	0.54	4.88	0.33	1.97	1.09	50.99	21.97
Bangalore-2022-180-26	26	Button	757	BUTTON	ಗುಂಡಿ	Guṇḍi	4.50	1.31	4.91	0.29	4.94	0.24	4.91	0.29	2.21	1.04	100.00	0.00
Bangalore-2022-180-27	27	Camel	1871	CAMEL	ಓಂಟು	Oṇṭu	4.94	0.34	5.00	0.00	5.00	0.00	4.82	0.39	2.50	1.21	73.15	4.75
Bangalore-2022-180-28	28	Candle	1273	CANDLE	ಮೆಣಸುವತ್ತಿ	Meṇasuvatti	4.91	0.38	5.00	0.00	4.97	0.17	4.79	0.54	2.12	1.01	23.20	16.90
Bangalore-2022-180-29	29	Cannon	3202	CANNON	ತೋಪು	Tōpu	3.71	2.15	4.04	1.84	4.82	0.52	4.74	0.51	3.91	0.97	84.58	5.19
Bangalore-2022-180-30	30	Cap	1288	CAP	ಟೋಪಿ	Tōpi	4.65	0.73	4.91	0.38	4.91	0.29	4.74	0.51	2.21	1.09	97.06	17.15
Bangalore-2022-180-31	31	Cat	1208	CAT	ಬೆಕ್ಕು	Bekku	4.94	0.24	5.00	0.00	4.91	0.51	4.76	0.55	1.53	0.96	22.70	12.74
Bangalore-2022-180-32	32	Caterpillar	2247	CATERPILLAR	ಹುಳ	Huḷa	4.56	0.79	4.94	0.24	4.94	0.24	4.41	0.78	2.65	0.98	49.17	33.01
Bangalore-2022-180-33	33	Chain	1627	CHAIN	ಸರಪಳಿ	Sarapaḷi	4.50	1.29	4.68	1.09	4.97	0.17	4.68	0.59	2.71	0.94	94.28	16.89
Bangalore-2022-180-34	34	Chair	1476	CHAIR	ಕುರ್ಚಿ	Kurci	4.94	0.24	5.00	0.00	5.00	0.00	4.88	0.33	1.74	0.83	95.50	9.11
Bangalore-2022-180-35	35	Chicken	1318	CHICKEN	ಕೋಳಿ	Kōḷi	4.91	0.29	5.00	0.00	5.00	0.00	4.74	0.57	1.68	0.64	100.00	0.00
Bangalore-2022-180-36	36	Clock	1323	CLOCK	ಗಡಿಯಾರ	Gaḍiyāra	4.79	0.41	5.00	0.00	4.94	0.24	4.74	0.62	1.91	0.83	6.59	7.52
Bangalore-2022-180-37	37	Cloth pin			ಬಟ್ಟೆ ಮುಟಕಾ	Baṭṭe muṭakā	3.03	1.87	3.31	1.82	4.97	0.17	4.82	0.46	3.38	1.33	54.95	7.16
Bangalore-2022-180-38	38	Cloud	1489	CLOUD	ಮೋಡ	Mōḍa	4.76	0.78	4.85	0.61	4.94	0.34	4.59	0.66	1.79	0.98	57.59	31.98
Bangalore-2022-180-39	39	Clown			ವಿದೂಷಕ	Vidūṣaka	4.65	0.81	4.88	0.69	4.94	0.24	4.53	0.75	3.06	1.10	99.65	2.02
Bangalore-2022-180-40	40	Comb	1475	COMB	ಬೆರಸು	Berasu	5.00	0.00	5.00	0.00	4.91	0.51	4.65	0.81	1.76	0.99	99.83	1.01
Bangalore-2022-180-41	41	Corn	506	MAIZE	ಜೋಳ	Jōḷa	4.56	1.19	4.68	0.98	4.94	0.24	4.85	0.36	2.62	1.07	79.89	3.05
Bangalore-2022-180-42	42	Couch	3099	SOFA	ಸೋಫಾ	Sōphā	4.91	0.29	5.00	0.00	4.88	0.54	4.74	0.57	3.06	1.41	100.00	0.00
Bangalore-2022-180-43	43	Cow	1007	COW	ಹಸು	Hasu	4.94	0.24	5.00	0.00	4.91	0.38	4.79	0.48	1.35	0.69	84.24	6.72
Bangalore-2022-180-44	44	Crown	1943	CROWN (OF HEAD)	ಕಿರೀಟ	Kirīṭa	4.76	0.50	5.00	0.00	4.94	0.34	4.85	0.44	3.00	1.39	50.45	12.66
Bangalore-2022-180-45	45	Cup	476	CUP	ಕಪ್	Kap	3.03	1.68	3.09	1.80	4.91	0.38	4.59	0.74	2.62	1.41	86.83	8.10
Bangalore-2022-180-46	46	Deer	1936	DEER	ಜಿಂಕೆ	Jiṅke	4.53	0.96	4.59	1.18	4.97	0.17	4.56	0.75	2.79	1.20	57.02	6.56
Bangalore-2022-180-47	47	Desk	1775	TABLE	ಮೇಜು	Mēju	3.97	1.77	4.44	1.39	4.94	0.24	4.91	0.29	2.50	1.13	94.46	14.94
Bangalore-2022-180-48	48	Dog	2009	DOG	ನಾಯಿ	Nāyi	4.97	0.17	5.00	0.00	5.00	0.00	4.85	0.44	1.32	0.59	39.54	16.80
Bangalore-2022-180-49	49	Doll	1659	DOLL	ಗೊಂಬೆ	Gombe	4.41	1.10	4.76	0.74	4.97	0.17	4.41	0.74	1.82	1.14	96.36	5.33
Bangalore-2022-180-50	50	Donkey	1862	DONKEY	ಕತ್ತೆ	Katte	4.91	0.29	4.97	0.17	4.94	0.24	4.65	0.65	2.00	0.78	73.34	22.37
Bangalore-2022-180-51	51	Door	1567	DOOR	ಬಾಗಿಲು	Bāgilu	4.88	0.41	5.00	0.00	4.94	0.34	4.82	0.46	1.65	0.95	48.15	20.68
Bangalore-2022-180-52	52	Door Knob			ಬಾಗಿಲು ಹ್ಯಾಂಡಲ್	Bāgilu Hyāṇḍal	2.00	2.13	3.37	2.08	4.76	0.70	4.59	0.70	3.47	1.26	7.97	12.11
Bangalore-2022-180-53	53	Dress	474	DRESS	ಉಡುಪು	Uḍupu	4.44	1.05	4.74	0.86	4.91	0.38	4.68	0.64	2.41	1.42	28.92	16.31
Bangalore-2022-180-54	54	Dresser			ಉಡುಪು ಪೆಟ್ಟಿಗೆ	Uḍupu Peṭṭige	4.06	1.58	4.56	1.25	4.97	0.17	4.56	0.75	2.56	1.26	76.97	16.10
Bangalore-2022-180-55	55	Duck	1360	DUCK	ಬಾತು	Bātu	4.91	0.29	5.00	0.00	5.00	0.00	4.59	0.61	2.41	1.02	61.40	28.93
Bangalore-2022-180-56	56	Eagle	1905	EAGLE	ಗರುಡ	Garuḍa	4.65	0.88	4.74	0.96	5.00	0.00	4.65	0.60	2.74	0.96	98.27	10.09
Bangalore-2022-180-57	57	Ear	1247	EAR	ಕಿವಿ	Kivi	5.00	0.00	5.00	0.00	5.00	0.00	4.85	0.36	1.26	0.57	99.65	2.02
Bangalore-2022-180-58	58	Elephant	1290	ELEPHANT	ಆನೆ	Āne	4.94	0.24	5.00	0.00	4.94	0.34	4.62	0.70	1.76	0.99	29.24	30.36
Bangalore-2022-180-59	59	Envelope	3088	ENVELOPE	ಲಕೋಟೆ	Lakoṭe	2.82	2.41	3.37	2.08	4.88	0.41	4.71	0.58	2.91	1.11	96.70	3.76
Bangalore-2022-180-60	60	Eye	1248	EYE	ಕಣ್ಣು	Kaṇṇu	4.82	0.46	5.00	0.00	5.00	0.00	4.68	0.77	1.26	0.67	28.41	11.49
Bangalore-2022-180-61	61	Fence	1690	FENCE	ತೋಟದ ಕಡಿಗೆ	Tōṭada Kaḍige	4.12	1.25	4.74	0.79	4.91	0.38	4.56	0.75	2.97	1.19	94.12	16.92
Bangalore-2022-180-62	62	Finger	1303	FINGER	ಬೆರಳು	Beraḷu	4.94	0.24	5.00	0.00	5.00	0.00	4.85	0.44	1.29	0.52	97.92	12.11
Bangalore-2022-180-63	63	Fish	227	FISH	ಮೀನು	Mīnu	4.94	0.24	5.00	0.00	4.97	0.17	4.76	0.50	2.32	0.88	77.13	13.74
Bangalore-2022-180-64	64	Flag	2623	FLAG	ಧ್ವಜ	Dhvaja	4.41	1.13	4.88	0.69	4.94	0.34	4.56	0.66	1.94	0.92	98.27	10.09
Bangalore-2022-180-65	65	Flower	239	FLOWER	ಹೂವು	Hūvu	4.68	0.91	5.00	0.00	4.94	0.24	4.85	0.44	1.62	0.99	64.15	13.92
Bangalore-2022-180-66	66	Flute	777	FLUTE	ಬಾಸುರಿ	Bāsuri	4.47	1.08	4.65	1.01	4.97	0.17	4.41	0.82	2.94	1.10	74.73	20.32
Bangalore-2022-180-67	67	Fly	1504	FLY (INSECT)	ನೊಣ	Noṇa	4.97	0.17	5.00	0.00	4.85	0.56	4.47	0.79	1.97	0.83	27.56	6.71
Bangalore-2022-180-68	68	Foot	1301	FOOT	ಕಾಲು	Kālu	5.00	0.00	5.00	0.00	4.88	0.48	4.79	0.48	1.41	0.86	2.77	16.14
Bangalore-2022-180-69	69	Foot ball			ಫುಟ್ಬಾಲ್	Phuṭbāl	2.65	1.81	2.76	1.98	4.59	0.96	3.76	1.16	3.76	1.05	79.57	16.37
Bangalore-2022-180-70	70	Foot ball Helmet	1680	HELMET	ಫುಟ್ಬಾಲ್ ಹೆಲ್ಮೆಟ್	Phuṭbāl Helmeṭ	2.53	2.46	2.99	2.08	4.97	0.17	4.44	0.96	3.82	1.14	7.44	10.18
Bangalore-2022-180-71	71	Fox	1312	FOX	ನರಿ	Nari	4.94	0.24	5.00	0.00	4.88	0.41	4.56	0.79	2.85	1.05	97.22	2.82
Bangalore-2022-180-72	72	Frog	503	FROG	ಕಪ್ಪೆ	Kappe	4.97	0.17	4.97	0.17	5.00	0.00	4.74	0.51	2.06	0.98	45.26	20.48
Bangalore-2022-180-73	73	Frying pan	31	PAN	ಬಾಣಲೆ	Bāṇale	2.71	1.68	3.03	1.70	4.97	0.17	4.62	0.65	3.32	1.32	30.00	11.28
Bangalore-2022-180-74	74	Garbage can			ಕಸದ ಬುಟ್ಟಿ	Kasada Buṭṭi	4.65	0.77	4.94	0.24	4.88	0.54	4.50	0.83	3.21	1.41	91.00	9.39
Bangalore-2022-180-75	75	Glass	604	GLASS	ಗಾಜು	Gāju	5.00	0.00	5.00	0.00	4.88	0.54	4.79	0.48	2.41	1.23	99.65	2.02
Bangalore-2022-180-76	76	Glasses	1898	SPECTACLES	ಕನ್ನಡಕ	Kaṇṇada	4.97	0.17	5.00	0.00	4.97	0.17	4.88	0.41	2.12	1.09	29.29	4.16
Bangalore-2022-180-77	77	Gloves	867	GLOVE	ಕೈಗೆರಸು	Kaigerasu	3.24	1.95	3.78	1.86	4.85	0.44	4.74	0.62	3.29	1.29	76.80	20.29
Bangalore-2022-180-78	78	Goat	1502	GOAT	ಮೇಕೆ	Mēke	4.88	0.41	4.91	0.51	4.85	0.50	4.62	0.65	2.41	1.05	89.94	11.98
Bangalore-2022-180-79	79	Grapes	920	GRAPE	ದ್ರಾಕ್ಷಿ	Drākṣi	5.00	0.00	4.97	0.17	4.97	0.17	4.85	0.44	2.21	1.37	39.68	9.16
Bangalore-2022-180-80	80	Grasshopper	607	GRASSHOPPER	ಹುಲ್ಲುಗೋಳಿ	Hullugōḷi	3.94	2.04	4.04	1.84	4.82	0.52	4.76	0.50	2.76	0.92	74.69	12.00
Bangalore-2022-180-81	81	Gun	1566	GUN	ಬಿಂದಿಗ	Bindige	4.06	1.43	4.00	1.67	4.94	0.24	4.88	0.33	3.12	1.15	73.00	22.22
Bangalore-2022-180-82	82	Hair	2648	HAIR (HEAD)	ಕೂದಲು	Kūdalu	4.53	0.71	4.94	0.34	4.97	0.17	4.12	1.09	1.59	1.08	55.45	7.19
Bangalore-2022-180-83	83	Hammer	1481	HAMMER	ಹತೊಡೆ	Hatoḍe	4.97	0.17	5.00	0.00	4.88	0.48	4.65	0.65	2.85	1.16	93.60	6.56
Bangalore-2022-180-84	84	Hand	1277	HAND	ಕೈ	Kai	4.82	0.46	4.79	0.73	5.00	0.00	4.76	0.50	1.35	0.54	88.40	6.90
Bangalore-2022-180-85	85	Hat	771	HAT	ಟೋಪಿ	Tōpi	4.41	1.05	4.53	1.21	4.94	0.34	4.85	0.36	2.38	1.16	97.06	3.17
Bangalore-2022-180-86	86	Horse	615	HORSE	ಕುದುರೆ	Kudure	4.91	0.38	5.00	0.00	5.00	0.00	4.74	0.51	1.91	0.79	98.62	8.07
Bangalore-2022-180-87	87	House	1252	HOUSE	ಮನೆ	Mane	4.85	0.44	5.00	0.00	5.00	0.00	4.85	0.36	1.32	0.53	82.67	2.27
Bangalore-2022-180-88	88	Iron			ಇಸ್ತ್ರಿ	Istri	4.91	0.29	5.00	0.00	4.97	0.17	4.76	0.55	2.88	1.09	30.80	3.02
Bangalore-2022-180-89	89	Ironing board			ಇಸ್ತ್ರಿ ಬೋರ್ಡ್	Istri Bōrḍ	4.82	0.39	4.97	0.17	4.82	0.52	4.65	0.60	3.88	1.17	74.40	9.50
Bangalore-2022-180-90	90	Kettle	854	KETTLE	ಕಿಟ್ಲಿ	Kiṭli	2.59	1.54	3.09	1.85	4.62	0.65	4.38	0.92	3.82	1.11	25.29	10.26
Bangalore-2022-180-91	91	Key	1472	KEY	ಕೀಲು	Kīlu	4.79	0.54	5.00	0.00	4.94	0.34	4.82	0.39	2.41	1.16	74.75	20.87
Bangalore-2022-180-92	92	Kite	307	HAWK	ಗಾಳಿ ಹಕ್ಕಿ	Gāḷi hakki	4.88	0.33	5.00	0.00	4.97	0.17	4.71	0.58	2.38	0.95	31.48	5.44
Bangalore-2022-180-93	93	Knife	1352	KNIFE	ಚಾಕು	Cāku	4.29	1.06	4.68	0.98	4.88	0.54	3.97	1.06	2.91	1.03	14.69	3.01
Bangalore-2022-180-94	94	Ladder	1464	LADDER	ಹತ್ತಣಕೋಲು	Hattaṇakōlu	4.68	0.59	4.91	0.29	5.00	0.00	4.32	0.94	2.21	0.95	72.24	15.50
Bangalore-2022-180-95	95	Lamp	625	LAMP	ದೀಪ	Dīpa	2.06	1.50	2.88	1.74	4.91	0.29	4.68	0.77	3.03	1.42	90.52	9.10
Bangalore-2022-180-96	96	Leaf	628	LEAF	ಎಲೆ	Ele	4.32	1.09	4.91	0.38	5.00	0.00	4.65	0.69	1.59	0.61	99.84	0.95
Bangalore-2022-180-97	97	Leg	1297	LEG	ಕಾಲು	Kālu	4.85	0.36	5.00	0.00	5.00	0.00	4.88	0.33	1.50	0.90	94.61	14.08
Bangalore-2022-180-98	98	Lemon	3091	LEMON	ನಿಂಬೆ	Niṃbe	4.79	0.41	4.94	0.24	5.00	0.00	4.71	0.52	2.38	0.99	37.04	10.89
Bangalore-2022-180-99	99	Leopard	1139	LEOPARD	ಚಿರತೆ	Cirate	4.74	0.45	4.94	0.24	4.82	0.58	4.41	0.82	2.53	1.19	99.51	2.86
Bangalore-2022-180-100	100	Light bulb			ಬಲ್ಬು	Balbu	2.76	2.27	3.59	1.72	4.97	0.17	4.88	0.33	2.35	1.23	96.53	4.50
Bangalore-2022-180-101	101	Lion	1386	LION	ಸಿಂಹ	Siṃha	4.85	0.36	4.97	0.17	4.85	0.44	4.35	0.81	2.35	1.07	77.51	12.41
Bangalore-2022-180-102	102	Lips	478	LIP	ತುಟಿ	Tuṭi	4.88	0.33	5.00	0.00	5.00	0.00	4.62	0.60	1.74	1.08	99.67	1.91
Bangalore-2022-180-103	103	Lobster 	2397	LOBSTER	ಹಾವು ಮೀನು	Hāvu Mīnu	1.59	2.11	1.72	2.06	2.85	2.02	3.18	2.18	2.62	2.00	75.21	10.24
Bangalore-2022-180-104	104	Lock	1596	LOCK	ಬೀಗ	Bīga	4.85	0.36	5.00	0.00	5.00	0.00	4.79	0.48	2.38	1.18	91.84	13.28
Bangalore-2022-180-105	105	Monkey	1350	MONKEY	ಕೊಂಬೆ	Koṃbe	4.59	0.70	4.97	0.17	5.00	0.00	4.24	0.92	1.74	0.71	94.29	16.92
Bangalore-2022-180-106	106	Moon	1313	MOON	ಚಂದ್ರ	Candra	4.44	0.86	4.91	0.29	4.94	0.24	4.56	0.66	1.53	0.61	98.53	8.57
Bangalore-2022-180-107	107	Mountain	639	MOUNTAIN	ಬೆಟ್ಟ	Beṭṭa	4.56	0.79	4.91	0.51	4.91	0.29	4.50	0.79	2.71	1.27	0.82	4.76
Bangalore-2022-180-108	108	Mouse	1491	MOUSE	ಹಳ್ಳಿಗೋಣ	Haḷḷigōṇa	4.91	0.29	5.00	0.00	5.00	0.00	4.85	0.36	1.82	0.94	90.86	4.20
Bangalore-2022-180-109	109	Mushroom	641	MUSHROOM	ಅಣಬೆ	Aṇabe	4.06	1.86	4.24	1.62	4.79	0.59	4.76	0.43	3.41	1.37	77.35	12.14
Bangalore-2022-180-110	110	Nail	502	NAIL (TOOL)	ನೇಲು	Nēlu	4.97	0.17	5.00	0.00	4.97	0.17	4.85	0.36	2.68	1.01	79.64	14.76
Bangalore-2022-180-111	111	Nail Filer			ನೇಲು ಜರೀಗಣೆ	Nēlu jarīgaṇe	1.00	1.89	1.49	1.82	3.74	1.97	3.41	1.92	3.15	1.86	82.74	17.66
Bangalore-2022-180-112	112	Necklace	1961	NECKLACE	ಹಾರ	Hāra	4.62	0.85	4.79	0.84	4.97	0.17	4.44	0.82	2.35	1.07	94.12	16.89
Bangalore-2022-180-113	113	Needle	1382	NEEDLE (FOR SEWING)	ಸೂಜಿ	Sūji	4.82	0.39	4.94	0.24	4.97	0.17	4.82	0.39	2.74	1.21	7.83	11.38
Bangalore-2022-180-114	114	Nose	1221	NOSE	ಮೂಗು	Mūgu	4.71	0.72	5.00	0.00	5.00	0.00	4.56	0.56	1.59	0.92	91.18	17.15
Bangalore-2022-180-115	115	Onion	2366	ONION	ಈರುಳ್ಳಿ	Īruḷḷi	4.62	0.65	4.94	0.24	5.00	0.00	4.50	0.71	2.29	1.00	62.63	12.53
Bangalore-2022-180-116	116	Orange	2627	ORANGE (FRUIT)	ಕಿತ್ತಳೆಹಣ್ಣು	Kittaḷehaṇṇu	4.44	0.82	4.97	0.17	4.94	0.24	4.29	0.87	2.24	0.89	82.88	6.23
Bangalore-2022-180-117	117	Ostrich	3797	OSTRICH	ಉಷ್ಟ್ರಪಕ್ಷಿ	Uṣṭrapakṣi	1.32	2.18	1.78	2.00	3.59	1.96	3.09	1.94	2.94	1.89	100.00	0.00
Bangalore-2022-180-118	118	Owl	735	OWL	ಗೂಬೆ	Gūbe	4.88	0.33	4.97	0.17	4.85	0.50	4.79	0.48	2.59	1.21	5.72	15.95
Bangalore-2022-180-119	119	Peacock	3382	PEACOCK	ನವಿಲು	Navilu	4.88	0.33	5.00	0.00	4.88	0.48	4.71	0.52	2.59	1.16	68.36	4.67
Bangalore-2022-180-120	120	Peanut	595	GROUNDNUT (PEANUT)	ಕಡಲೆಕಾಯಿ	Kadalekāyi	4.85	0.36	4.88	0.41	4.91	0.29	4.74	0.57	2.38	1.02	94.45	15.02
Bangalore-2022-180-121	121	Pear	922	PEAR	ಪೇರಲ ಹಣ್ಣು	Pērala Haṇṇu	2.32	2.17	2.62	2.04	4.00	1.50	3.79	1.51	3.15	1.52	5.88	16.89
Bangalore-2022-180-122	122	Pepper	1385	PEPPER	ಮೆಣಸು	Meṇasu	4.94	0.24	5.00	0.00	5.00	0.00	4.68	0.53	3.15	1.13	86.14	12.27
Bangalore-2022-180-123	123	Pig	1337	PIG	ಹಂದಿ	Handi	4.74	0.67	4.97	0.17	4.97	0.17	4.50	0.66	2.62	1.18	92.01	12.33
Bangalore-2022-180-124	124	Pineapple	2440	PINEAPPLE	ಅನಾನಸ	Anānasa	4.88	0.33	5.00	0.00	5.00	0.00	4.68	0.59	2.91	1.08	66.26	18.62
Bangalore-2022-180-125	125	Pitcher	270	JUG	ಕುಂಬಳ	Kumbaḷa	3.29	2.08	4.00	1.67	4.85	0.56	4.62	0.65	3.26	1.31	82.36	17.91
Bangalore-2022-180-126	126	Pot	1462	POT	ಮಡಕೆ	Maḍake	4.41	1.08	4.71	0.87	4.91	0.29	4.62	0.60	3.24	1.26	31.64	4.67
Bangalore-2022-180-127	127	Potato	593	POTATO	ಆಲೂಗಡ್ಡೆ	Ālūgaḍḍe	4.85	0.36	5.00	0.00	4.97	0.17	4.41	0.78	2.71	0.94	39.17	9.64
Bangalore-2022-180-128	128	Pumpkin	864	PUMPKIN	ಸೀಹೆಣಸಿನಕಾಯಿ	Sīheṇasinakāyi	4.82	0.39	5.00	0.00	4.94	0.24	4.88	0.33	2.74	1.14	91.35	3.31
Bangalore-2022-180-129	129	Rabbit	1136	RABBIT	ಮೊಲ	Mola	4.76	0.50	4.94	0.24	4.91	0.38	4.65	0.54	2.53	1.19	82.70	6.63
Bangalore-2022-180-130	130	Rhino	2591	RHINOCEROS	ಖಡ್ಗಮೃಗ	Khaḍgamariga	3.32	2.21	4.06	1.61	4.41	1.13	4.59	0.99	3.50	1.35	94.12	5.97
Bangalore-2022-180-131	131	Rocking chair			ಗುಲಿಕೆ ಕುರ್ಚಿ	Gulike Kurci	4.41	1.10	4.88	0.33	4.97	0.17	4.82	0.46	2.97	1.14	51.06	7.30
Bangalore-2022-180-132	132	Rollin pin			ಚಪ್ಪಟೆ	Cappaṭe	4.56	1.24	4.87	0.77	4.88	0.41	4.85	0.36	2.62	1.21	26.87	27.38
Bangalore-2022-180-133	133	Rooster	1511	ROOSTER	ಕೋಕೋನ	Kōkōna	4.88	0.33	4.97	0.17	4.94	0.24	4.85	0.44	2.21	0.84	81.90	6.94
Bangalore-2022-180-134	134	Ruler	3405	RULER	ಆಳ್ವಿಕರ	Āḷvikara	4.50	1.13	4.28	1.44	4.91	0.29	4.82	0.46	2.56	0.86	36.70	10.94
Bangalore-2022-180-135	135	Sail Boat			ಗಾಳಿಮರದಿ ದೋಣಿ	Gāḷimaradi Dōṇi	4.41	0.92	4.71	0.87	4.65	0.73	4.50	0.79	3.18	1.22	87.10	8.10
Bangalore-2022-180-136	136	Salt box			ಉಪ್ಪಿನ ಪೆಟ್ಟಿಗೆ	Uppina Peṭṭige	4.68	0.73	4.97	0.17	4.88	0.41	4.62	0.60	3.79	1.15	8.48	17.21
Bangalore-2022-180-137	137	Saw	1948	SAW	ಕೊರೆ	Kore	4.97	0.17	5.00	0.00	4.68	0.88	4.88	0.33	3.09	1.26	4.57	9.48
Bangalore-2022-180-138	138	Seahorse	2586	SEAHORSE	ಸಮುದ್ರದ ಅಶ್ವ	Samudrada Aśva	3.44	2.27	3.62	2.18	3.00	2.17	3.29	2.10	2.65	2.00	80.12	9.18
Bangalore-2022-180-139	139	Seal	651	SEAL	ಸಮುದ್ರಸಿಂಹ	Samudra Siṃha	0.59	1.56	0.91	1.53	2.56	2.11	2.74	2.27	2.32	2.18	8.32	14.24
