ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	ENGLISH_FAMILIARITY_MEAN	ENGLISH_PAIN_MEAN	ENGLISH_OLFACTORY_MEAN	ENGLISH_COLOR_MEAN	ENGLISH_GUSTATORY_MEAN	ENGLISH_AUDITORY_MEAN	ENGLISH_GRASP_MEAN	ENGLISH_MOTION_MEAN
Amsel-2012-559-32	32	beans	832	BEAN	7.48	1.55	4.68	03.04	5.68	1.57	6.59	1.3
Amsel-2012-559-33	33	bear	1820	BEAR	07.07	6.16	04.08	3.76	03.08	6.39	1.63	5.9
Amsel-2012-559-34	34	beaver	1194	BEAVER	6.6	3.96	3.71	3.4	02.04	3.45	03.08	6.14
Amsel-2012-559-35	35	bed	1663	BED	7.81	1.83	2.44	3.24	1.5	2.5	2.33	1.56
Amsel-2012-559-36	36	bedroom	2505	BEDROOM	7.54	1.9	3.23	4	2.23	2.41	1.48	1.12
Amsel-2012-559-37	37	bee	665	BEE	7.48	6.52	1.59	6.29	1.88	4.38	4.63	6.95
Amsel-2012-559-38	38	beehive	88	BEEHIVE	6.79	6.57	3.24	3.7	3	4.3	2.45	2.23
Amsel-2012-559-39	39	beetle	2242	BEETLE	7.14	03.08	2.26	4.21	1.7	2.92	06.05	6.26
Amsel-2012-559-40	40	beets			6.84	1.74	3.71	6.29	4.89	1.57	6.62	1.29
Amsel-2012-559-41	41	belt	772	BELT	7.4	4.74	2	3.23	1.63	2.24	6.71	1.82
Amsel-2012-559-42	42	bench	2584	BENCH	7.38	1.82	1.9	2.74	1.4	1.38	1.92	1.4
Amsel-2012-559-43	43	bike	747	BICYCLE	7.6	04.05	1.71	4.3	1.63	3.54	3.65	6.17
Amsel-2012-559-44	44	birch	1855	BIRCH	5.41	2.17	2.82	03.05	2.43	2.63	2.32	2.18
Amsel-2012-559-45	45	biscuit	4126	BISCUIT	7.41	1.36	5.86	1.77	6.8	1.42	7.16	02.04
Amsel-2012-559-46	46	bison	3142	BISON	6.14	4.95	4.59	3.3	4.83	3.96	1.19	5.14
Amsel-2012-559-47	47	blackbird	4127	BLACKBIRD	6.46	2.81	2.75	3.22	2.4	3.6	3.26	6
Amsel-2012-559-48	48	blender			7.58	4.95	2.62	1.91	1.62	6.91	4.92	5.43
Amsel-2012-559-49	49	blouse	4018	BLOUSE	7.3	1.62	2.56	5.33	1.76	01.08	6.43	2.54
Amsel-2012-559-50	50	blueberry	2809	BLUEBERRY	7.57	1.45	3.74	6.2	7.3	01.09	7.5	1.45
Amsel-2012-559-51	51	bluejay			6.46	2.35	3	6.26	2.83	3.77	3.5	6.48
Amsel-2012-559-52	52	boat	1844	BOAT	7.25	3.58	2.44	3.5	1.76	4.92	1.26	5.92
Amsel-2012-559-53	53	bolts			07.03	3.75	2.23	2.14	1.5	3.65	6.83	2.63
Amsel-2012-559-54	54	bomb	1804	BOMB	6.44	7.5	4.24	2.72	1.35	7.78	2.88	2.73
Amsel-2012-559-55	55	book	963	BOOK	7.78	2.67	3.21	3.65	1.64	2.21	7.26	2.5
Amsel-2012-559-56	56	bookcase			7.48	04.04	1.71	3	1.71	1.52	1.73	01.08
Amsel-2012-559-57	57	boots	585	BOOT	7.49	3.19	4.63	3.32	1.71	3	5.48	4.3
Amsel-2012-559-58	58	bottle	1321	BOTTLE	7.63	4.86	2.76	3.16	2.7	3.42	7.5	2.39
Amsel-2012-559-59	59	boulder	3810	BOULDER	7.12	6.15	1.61	2.13	1.27	3.92	1.18	2.2
Amsel-2012-559-60	60	bouquet			7.22	1.91	6.96	6.64	3.26	1.36	5.92	2.71
Amsel-2012-559-61	61	bowl	1530	BOWL	7.62	2.58	1.9	3.92	2.38	1.59	07.04	1.38
Amsel-2012-559-62	62	box	1465	BOX	7.66	2.38	1.7	2.6	1.42	1.74	5.36	2.3
Amsel-2012-559-63	63	bra	4128	BRA	7.43	2.7	02.08	5.71	2.43	1.17	7.17	2.41
Amsel-2012-559-64	64	bracelet	1754	BRACELET	7.47	2.29	1.41	5.68	1.86	2.18	7.23	1.96
Amsel-2012-559-65	65	bread	1368	BREAD	7.78	1.54	5.14	2.46	7.6	1.39	7.59	1.52
Amsel-2012-559-66	66	brick	1006	BRICK	7.47	6.25	2.3	05.04	1.75	2.7	06.08	1.82
Amsel-2012-559-67	67	bridge	1011	BRIDGE	7.36	2.43	1.8	3.17	1.59	02.04	1.45	1.35
Amsel-2012-559-68	68	broccoli	3726	BROCCOLI	7.46	1.16	3.5	6	6.29	1.43	7.58	1.5
Amsel-2012-559-69	69	broom	245	BROOM	7.41	3	2.43	2.43	1.48	2.17	6.57	3.96
Amsel-2012-559-70	70	brush	1821	BRUSH	7.48	2.58	2.12	03.08	1.91	1.95	7.67	3.41
Amsel-2012-559-71	71	bucket	2052	BUCKET	7.31	3.13	2.17	3.58	1.61	02.05	6.45	1.95
Amsel-2012-559-72	72	buckle			7.33	3.44	1.86	3.36	1.52	2.5	06.04	1.74
Amsel-2012-559-73	73	budgie			3.41	2.5	2.3	4.32	1.81	2.19	2.74	2.43
Amsel-2012-559-74	74	buffalo	934	BUFFALO	07.07	5.52	5.52	2.91	3.8	4.32	1.23	5.86
Amsel-2012-559-75	75	buggy			06.08	4.32	2.24	4.95	1.59	4.7	1.86	5.91
Amsel-2012-559-76	76	building	3396	BUILDING	7.53	2.67	2.38	3.4	1.84	2.39	1.58	1.1
Amsel-2012-559-77	77	bull	1008	BULL	6.95	7.28	5.91	3.45	3	4.95	1.36	7
Amsel-2012-559-78	78	bullet	1114	BULLET	6.66	7.63	2.95	3.63	1.29	6.41	4.95	5.92
Amsel-2012-559-79	79	bungalow			06.03	1.8	2.1	3.19	1.71	1.7	1.55	1.2
Amsel-2012-559-80	80	bureau	2430	OFFICE	5.91	2.5	1.79	1.87	02.08	1.96	1.56	1.55
Amsel-2012-559-81	81	bus	1070	BUS	7.71	5.35	3.86	5.96	1.79	6	1.32	6.64
Amsel-2012-559-82	82	butterfly	1791	BUTTERFLY	7.39	1.48	1.61	07.04	1.65	1.18	05.04	7.44
Amsel-2012-559-83	83	buzzard	1865	BUZZARD	5.43	3.44	2.48	2.83	1.88	4.52	3.79	4.36
Amsel-2012-559-84	84	cabbage	774	CABBAGE	7.42	1.14	3.32	3.79	5.54	1.36	5.91	1.3
Amsel-2012-559-85	85	cabin			7.23	2	2.8	2.55	1.32	02.04	1.15	1.1
Amsel-2012-559-86	86	cabinet			7.57	2.86	2.45	2.8	1.74	2.5	2.48	1.7
Amsel-2012-559-87	87	cactus	2595	CACTUS	7.26	6.78	2.27	5.71	04.08	01.04	1.91	01.04
Amsel-2012-559-88	88	cage	3283	CAGE	7.1	2.91	2.35	2.45	1.68	2.91	3.27	1.67
Amsel-2012-559-89	89	cake	2408	CAKE	7.73	1.55	6.35	5.52	7.91	1.26	5.16	1.43
Amsel-2012-559-90	90	calculator			7.47	1.96	1.39	2.64	1.8	1.58	7.12	1.41
Amsel-2012-559-91	91	calf	1989	CALF	6.85	3.35	4.59	3.6	05.04	3.96	2.61	5.13
Amsel-2012-559-92	92	camel	1871	CAMEL	6.83	3.35	5	2.54	2.24	3.7	1.5	5.96
Amsel-2012-559-93	93	camisole			5.98	2	1.62	4.45	1.79	1.46	06.05	2.22
Amsel-2012-559-94	94	canary	4129	CANARY	6.59	03.05	3.22	6.48	2.24	4.43	4	6.52
Amsel-2012-559-95	95	candle	1273	CANDLE	7.58	4.63	5.96	4.73	1.26	01.04	6.52	2.73
Amsel-2012-559-96	96	candycane			7.6	2.13	4.83	5.65	7.28	1.61	7.8	1.65
Amsel-2012-559-97	97	cannon	3202	CANNON	07.05	7.71	3.5	2.75	1.41	7.78	1.56	4.22
Amsel-2012-559-98	98	canoe	1970	CANOE	6.79	3.13	1.79	3.1	2.5	2.17	1.68	5.33
Amsel-2012-559-99	99	cantaloupe			7.34	1.95	5.27	5.56	6.76	1.52	5.5	2.24
Amsel-2012-559-100	100	cape	1662	CAPE	6.97	1.86	1.77	3.81	2.19	1.4	6.32	3.56
Amsel-2012-559-101	101	car	1111	CAR	7.64	6.35	3.59	6.14	1.21	6.35	1.44	6.59
Amsel-2012-559-102	102	caribou	1876	REINDEER	5.51	3.35	4.13	2.91	3.23	3.63	2.19	4.83
Amsel-2012-559-103	103	carpet	292	RUG	7.33	1.52	2.88	3.58	1.81	1.29	1.95	1.63
Amsel-2012-559-104	104	carrot	3085	CARROT	7.65	1.65	3.33	6.13	6.64	1.27	7.23	1.48
Amsel-2012-559-105	105	cart	122	CART	7.29	3.92	1.71	3.32	1.26	3.4	4.24	5.73
Amsel-2012-559-106	106	cat	1208	CAT	7.44	4.76	4.56	4.36	1.77	3.85	4.75	06.04
Amsel-2012-559-107	107	catapult			6.53	6	1.42	2.73	1.36	05.09	1.79	5.39
Amsel-2012-559-108	108	caterpillar	2247	CATERPILLAR	7.24	1.71	2.25	5.86	1.5	1	6.79	5.17
Amsel-2012-559-109	109	catfish	3777	CATFISH	6.92	2.71	5.13	2.8	5.13	1.71	4.23	5.67
Amsel-2012-559-110	110	cathedral			6.88	2.63	2.48	4.74	1.88	2.39	2.17	1.19
Amsel-2012-559-111	111	cauliflower	2843	CAULIFLOWER	7.23	1.28	3.82	2.57	6.26	1.33	6.88	1.18
Amsel-2012-559-112	112	cedar	4147	CEDAR	6.31	2.67	5.43	3.64	2.52	1.8	2	1.91
Amsel-2012-559-113	113	celery	3727	CELERY	7.58	2.26	3.17	5.45	5.92	1.36	6.8	1.41
Amsel-2012-559-114	114	cellar	4108	CELLAR	6.65	1.96	3.19	1.84	1.19	2.36	1.29	01.05
Amsel-2012-559-115	115	cello			7	2.64	2.22	04.05	1.76	5.88	4.27	2.52
Amsel-2012-559-116	116	certificate			7.46	1.73	1.86	2	1.86	1.46	7.13	1.36
Amsel-2012-559-117	117	chain	1627	CHAIN	7.31	5.17	2.59	2.54	1.47	4.39	6.5	3
Amsel-2012-559-118	118	chair	1476	CHAIR	7.46	3.78	1.75	3.48	1.73	2.78	4.19	02.04
Amsel-2012-559-119	119	chalk	4130	CHALK	7.38	1.71	2.71	2.18	1.68	3.89	7.59	3.5
Amsel-2012-559-120	120	chandelier			6.99	3.84	1.96	05.05	2	2.52	1.82	2.13
Amsel-2012-559-121	121	chapel			6.91	1.64	2.29	3.22	1.96	3.15	1.82	1.43
Amsel-2012-559-122	122	cheese	1569	CHEESE	7.76	1.32	5.8	5.92	06.05	1.3	7.3	1.32
Amsel-2012-559-123	123	cheetah	3146	CHEETAH	7.13	7.32	03.04	06.05	3.55	4.26	1.38	7.27
Amsel-2012-559-124	124	cherry	2765	CHERRY	7.55	1.36	04.04	7.1	07.05	1.48	6.76	1.43
Amsel-2012-559-125	125	chickadee			4.75	2.19	2.5	05.04	2.82	2.79	03.04	5.13
Amsel-2012-559-126	126	chicken	1318	CHICKEN	7.44	3	4.38	3.14	6.9	05.04	3.68	5.78
Amsel-2012-559-127	127	chimp	3734	CHIMPANZEE	07.03	4.61	5	3.26	2.16	5.87	2.69	6.36
Amsel-2012-559-128	128	chipmunk	4131	CHIPMUNK	6.87	2.96	3.2	3.87	2.57	3.18	3.17	5.3
Amsel-2012-559-129	129	chisel	1979	CHISEL	6.53	4.68	1.33	2.12	1.25	4.43	6.29	4.38
Amsel-2012-559-130	130	church	1349	CHURCH	6.85	2.42	2.13	2.15	1.63	3.88	1.33	1
Amsel-2012-559-131	131	cigar	4019	CIGAR	6.9	4.54	6.91	3.13	2.17	1.45	7.81	2.22
Amsel-2012-559-132	132	cigarette	969	CIGARETTE	07.05	6.71	7.38	1.9	2	1.95	7.91	2.57
Amsel-2012-559-133	133	clam			7.16	2	5.58	2.48	6.27	1.71	7.33	2.57
Amsel-2012-559-134	134	clamp			6.6	4.6	1.67	2.73	1.68	1.87	06.09	1.73
Amsel-2012-559-135	135	clarinet			07.01	2.74	2.13	3.73	02.09	5.88	6.52	2.35
Amsel-2012-559-136	136	cloak	326	CLOAK	6.68	1.59	02.09	3.57	2.43	1.35	6.39	2.86
Amsel-2012-559-137	137	clock	1323	CLOCK	7.71	2	01.08	2.82	1.95	3.64	5.5	5.33
Amsel-2012-559-138	138	closet			7.55	1.83	02.05	2.36	2.19	1.45	1.86	1.29
Amsel-2012-559-139	139	coat	603	COAT	7.42	1.65	2.14	4.72	1.81	1.52	6.83	2.3
Amsel-2012-559-140	140	cockroach	1575	COCKROACH	07.06	1.67	2.48	2.84	1.45	1.72	4.2	6.2
Amsel-2012-559-141	141	coconut	970	COCONUT	7.39	3.17	4.43	3.3	7.16	1.86	6	2.33
Amsel-2012-559-142	142	cod	4132	COD	6.23	2.32	5.68	3	6	1.75	4.19	5.59
Amsel-2012-559-143	143	coin	1867	COIN	7.7	1.81	2.71	3.29	1.43	2.82	7.55	2.17
Amsel-2012-559-144	144	colander			05.01	1.68	2.39	2.12	2.48	2.19	4.27	1.91
Amsel-2012-559-145	145	comb	1475	COMB	7.46	2.72	1.58	3.35	1.6	1.42	7.82	3.39
Amsel-2012-559-146	146	cork			7.12	2.48	2.73	2.36	2.31	2.67	7.11	1.71
Amsel-2012-559-147	147	corkscrew			07.09	3.7	2	2.46	1.71	3.22	6.41	2.68
Amsel-2012-559-148	148	corn	506	MAIZE	7.64	1.29	4.3	6.43	7.64	1.52	6.67	1.43
Amsel-2012-559-149	149	cottage	4116	COTTAGE	6.85	1.84	2.71	3.42	2.17	1.48	1.74	1.65
Amsel-2012-559-150	150	couch	3099	SOFA	7.51	1.58	1.92	3.92	1.52	1.42	2.1	1.67
Amsel-2012-559-151	151	cougar	1891	PUMA	6.87	6.87	3.75	5.3	2.48	4.5	1.68	6.9
Amsel-2012-559-152	152	cow	1007	COW	7.25	2.74	6.39	4	6.24	4.62	1.86	4.96
Amsel-2012-559-153	153	coyote	912	COYOTE	6.85	5.17	04.04	3.14	2.81	06.04	1.38	6.5
Amsel-2012-559-154	154	crab	2348	CRAB	7.4	5.24	05.04	5.2	6.88	2.52	5.21	06.04
Amsel-2012-559-155	155	cranberry	3840	CRANBERRY	7.51	1.22	4.67	6.43	6.82	1.28	7.29	1.35
Amsel-2012-559-156	156	crayon			7.52	1.89	3.91	6.84	1.78	1.35	7.83	2.9
Amsel-2012-559-157	157	crocodile	1857	CROCODILE	6.91	6.41	3.2	4.43	2.54	3.13	1.88	4.63
Amsel-2012-559-158	158	crossbow	3193	CROSSBOW	6.42	6.79	1.26	2.39	1.64	3.29	4.75	3.3
Amsel-2012-559-159	159	crow	913	CROW	7.3	3.3	3.27	3.85	2.16	5.19	2.64	6.64
Amsel-2012-559-160	160	crowbar			6.68	6.19	1.71	2.1	1.73	3.8	6.48	3
Amsel-2012-559-161	161	crown	1943	CROWN (OF HEAD)	07.04	2.12	1.65	7	02.09	1.32	6.25	1.96
Amsel-2012-559-162	162	cucumber	496	CUCUMBER	7.56	1.57	3.42	5.8	6.74	1.29	7.48	1.57
Amsel-2012-559-163	163	cup	476	CUP	7.6	2	1.52	3.5	2.5	1.59	7.94	2.42
Amsel-2012-559-164	164	cupboard	3357	CUPBOARD	7.44	2.95	2.33	2.68	2	2.83	3	1.58
Amsel-2012-559-165	165	curtains	2621	CURTAIN	7.59	1.55	1.67	5.15	1.43	2	5.52	03.04
Amsel-2012-559-166	166	cushion	1044	PILLOW	7.61	1.35	1.5	3.7	1.83	1.42	5.54	1.25
Amsel-2012-559-167	167	dagger	4133	DAGGER	6.8	7.28	1.55	2.36	1.24	2.62	6.7	2.77
Amsel-2012-559-168	168	dalmation			6.95	3.84	4.5	4	1.7	05.04	2.84	6.5
Amsel-2012-559-169	169	dandelion	1800	DANDELION	7.37	1.13	3.61	4.95	3.38	1.14	7.71	2.35
Amsel-2012-559-170	170	deer	1936	DEER	07.03	3.48	4.38	2.88	04.08	3.3	1.41	5.92
Amsel-2012-559-171	171	desk	1775	TABLE	7.46	02.05	1.63	2.64	1.95	1.71	2.5	1.27
Amsel-2012-559-172	172	dime			7.47	2.21	2.24	3.57	1.62	1.83	7.7	1.91
Amsel-2012-559-173	173	dish	481	DISH	7.6	03.08	2.61	2.48	2.29	3.24	6.86	1.62
Amsel-2012-559-174	174	dishwasher			7.29	2.55	3.5	02.09	1.65	04.08	1.75	3.21
Amsel-2012-559-175	175	dog	2009	DOG	7.59	4.46	06.04	4.32	2.59	06.08	3.69	7.1
Amsel-2012-559-176	176	doll	1659	DOLL	7.29	2.7	1.83	5.17	02.09	1.75	06.04	2.78
Amsel-2012-559-177	177	dolphin	1479	DOLPHIN	7.16	2.46	2.9	04.04	2.58	4.59	1.84	7.42
Amsel-2012-559-178	178	donkey	1862	DONKEY	6.94	4.18	6.15	2.73	3.18	4.87	1.31	5.83
Amsel-2012-559-179	179	door	1567	DOOR	7.64	4.92	1.46	03.05	1.79	04.04	4.59	3.92
Amsel-2012-559-180	180	doorknob	4030	DOORKNOB	7.57	2.59	1.26	2.86	2.17	2.43	7.27	2.88
Amsel-2012-559-181	181	dove	1853	DOVE	7.17	2.5	3.57	2.87	3.14	3	4.24	6.5
Amsel-2012-559-182	182	drain			7.2	1.87	3	2.39	1.53	3.42	1.62	1.86
Amsel-2012-559-183	183	drapes			7.25	1.54	1.59	4.73	1.39	1.75	5.14	2.74
Amsel-2012-559-184	184	dress	474	DRESS	7.45	1.77	02.08	6.38	2.38	1.19	6.61	3.38
Amsel-2012-559-185	185	dresser	4055	DRESSER	7.46	2.68	2.5	3.5	1.52	02.04	1.6	01.05
Amsel-2012-559-186	186	drill	3423	DRILL	7.3	6.74	02.04	2.96	1.64	6.96	6.46	5.71
Amsel-2012-559-187	187	drum	908	DRUM	7.34	2.84	1.93	3.5	1.78	7.26	3.75	2.77
Amsel-2012-559-188	188	duck	1360	DUCK	7.35	2.24	4.14	4.23	5.48	05.05	3.87	6.26
Amsel-2012-559-189	189	dunebuggy			5.5	04.08	3.45	3.25	1.25	4.28	2.33	5.17
Amsel-2012-559-190	190	eagle	1905	EAGLE	6.96	4.4	2.86	4.13	3.3	3.92	2.32	6.82
Amsel-2012-559-191	191	earmuffs			07.07	1.67	1.5	4.13	1.71	1.23	6.8	1.9
Amsel-2012-559-192	192	eel	1013	FRESHWATER EEL	6.7	4.96	4.22	3.43	5.96	1.52	3.33	6.7
Amsel-2012-559-193	193	egg	744	EGG	7.78	1.91	4.55	2	7.5	1.88	7.5	1.48
Amsel-2012-559-194	194	eggplant	1146	AUBERGINE	7.31	1.1	3.18	06.08	6.13	1.57	7.22	1.55
Amsel-2012-559-195	195	elephant	1290	ELEPHANT	7.27	5.2	5.64	2.96	2.33	5.96	1.78	5.57
Amsel-2012-559-196	196	elevator	4033	ELEVATOR	7.57	2.63	2	03.09	1.33	4.26	1.55	6.54
Amsel-2012-559-197	197	elk	1772	ELK	6.4	4.22	3.41	3.72	4.16	3.77	02.05	5.58
Amsel-2012-559-198	198	emerald			6.95	1.57	1.35	7.13	1.59	1.65	6.29	1.15
Amsel-2012-559-199	199	emu	2817	EMU	5.7	3.83	3.95	3.23	3.63	3.96	1.95	5.68
Amsel-2012-559-200	200	envelope	3088	ENVELOPE	7.51	2.29	1.95	1.48	2.92	1.5	6.95	2.13
Amsel-2012-559-201	201	eraser			7.62	2.11	2.46	4	1.18	1.63	7.5	02.09
Amsel-2012-559-202	202	escalator	2596	ESCALATOR	7.59	3.42	2.68	2.33	1.27	3.87	1.84	6.78
Amsel-2012-559-203	203	falcon	3258	FALCON	6.8	5.57	3.22	3.95	2.38	4.68	2.8	6.87
Amsel-2012-559-204	204	faucet	1488	FAUCET	7.55	02.08	2.41	3.6	1.5	3.39	5.91	2.5
Amsel-2012-559-205	205	fawn	4134	FAWN	5.78	2.8	3.39	3.48	3.26	2.78	2.32	5.43
Amsel-2012-559-206	206	fence	1690	FENCE	7.42	3.46	1.59	2.82	1.18	1.13	2.87	1.57
Amsel-2012-559-207	207	finch	3721	FINCH	6.16	2.32	3.91	4.3	3.36	4.77	3.45	6.63
Amsel-2012-559-208	208	flamingo	3722	FLAMINGO	7.23	3	4.96	6.68	2.65	2.92	1.46	5.18
Amsel-2012-559-209	209	flea	232	FLEA	6.86	4.19	1.63	2.14	1.64	1.28	5.24	6.85
Amsel-2012-559-210	210	flute	777	FLUTE	7.24	2.55	1.96	3.5	2.42	5.71	5.43	2.57
Amsel-2012-559-211	211	football	1845	BALL	7.32	4.2	2.87	3.75	1.52	2.83	7	5.92
Amsel-2012-559-212	212	fork	1302	FORK	7.77	4.17	1.48	3.48	2	2.29	7.82	3.54
Amsel-2012-559-213	213	fox	1312	FOX	6.93	04.09	3.5	4.65	2.32	3.64	2.22	6.58
Amsel-2012-559-214	214	freezer			7.52	2.45	3.68	1.63	1.88	2.91	1.59	1.84
Amsel-2012-559-215	215	fridge			7.77	2.61	3.54	2.84	2.3	2.95	2.47	1.63
Amsel-2012-559-216	216	frog	503	FROG	7.34	2.76	3.54	5.41	2.67	3.96	6.67	5.42
Amsel-2012-559-217	217	garage			7.51	2.35	3.52	2.43	1.16	4.14	1.65	2.33
Amsel-2012-559-218	218	garlic	2368	GARLIC	7.6	2.32	7.35	1.86	6.19	01.04	6.57	1.37
Amsel-2012-559-219	219	gate	2940	GATE	7.35	3.17	1.83	2.88	1.3	3.3	3.32	2.96
Amsel-2012-559-220	220	giraffe	3089	GIRAFFE	07.06	2.86	4.61	5.52	1.96	3.23	1.33	06.05
Amsel-2012-559-221	221	glacier			6.97	3.54	1.64	2.83	3.92	3.77	1.3	03.04
Amsel-2012-559-222	222	gloves	867	GLOVE	7.4	1.48	3.16	3.5	1.29	1.43	6.72	1.65
Amsel-2012-559-223	223	goat	1502	GOAT	07.04	2.82	5.52	2.33	3.81	4.37	2.2	5.92
Amsel-2012-559-224	224	goldfish			7.51	1.75	03.05	6.44	2.5	1.55	4.92	6.73
Amsel-2012-559-225	225	golfball			7.35	4.48	1.55	1.96	02.05	2.32	6.95	5.19
Amsel-2012-559-226	226	goose	1187	GOOSE	07.05	3.76	3.73	3.43	4.36	5.43	3.27	5.32
Amsel-2012-559-227	227	gopher			6.31	2.6	2.86	3.33	1.95	2.43	3.14	6.29
Amsel-2012-559-228	228	gorilla	3144	GORILLA	6.99	5.96	5.32	3.61	1.64	06.04	1.13	06.08
Amsel-2012-559-229	229	gown			7.18	1.64	1.69	4.65	1.95	1.38	5.73	2.44
Amsel-2012-559-230	230	grape	920	GRAPE	7.47	1.31	2.95	5.95	7.48	01.05	7.52	1.59
Amsel-2012-559-231	231	grapefruit	3804	GRAPEFRUIT OR POMELO	7.47	2	5.42	6.54	6.21	1	6.56	1.95
Amsel-2012-559-232	232	grasshopper	607	GRASSHOPPER	7.29	1.44	1.53	4.74	1.92	2.87	5.89	6.21
Amsel-2012-559-233	233	grater			6.77	4.67	1.96	3.2	1.95	3.76	6.61	3.25
Amsel-2012-559-234	234	grenade			6.56	7.5	4.13	3	1.5	7.73	6.95	4.42
Amsel-2012-559-235	235	groundhog	3719	MARMOT	6.49	3.65	4.17	3.35	2.24	2.58	3.23	6.17
Amsel-2012-559-236	236	guitar	3090	GUITAR	7.41	03.05	1.68	4.18	02.04	5.71	5.71	3.69
Amsel-2012-559-237	237	gun	1566	GUN	7.13	7.74	3.22	2.81	2.1	7.17	7.23	3.4
Amsel-2012-559-238	238	guppy			6.54	1.46	2.38	5.13	2.5	1.26	5	5.9
Amsel-2012-559-239	239	hammer	1481	HAMMER	7.43	6.44	1.5	2.23	1.25	6.24	7.52	5.26
Amsel-2012-559-240	240	hamster	3147	HAMSTER	7.31	3	5.18	3.5	1.7	2.78	7.41	6.62
Amsel-2012-559-241	241	handgun			6.96	7.67	2.83	2.7	1.28	7.14	6.86	2.58
Amsel-2012-559-242	242	hare	1190	HARE	6.72	2.33	3.45	2.76	4.59	2.42	4.13	06.09
Amsel-2012-559-243	243	harmonica	2590	HARMONICA	07.06	1.95	1.6	3.88	2	5.68	6.77	2.92
Amsel-2012-559-244	244	harp	2597	HARP	6.85	1.91	1.76	04.08	1.74	5.54	3.58	2.43
