ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	TURKISH	MODAL_NAME	NAME_AGREEMENT_PERCENT	IMAGE_AGREEMENT_MEAN	IMAGE_AGREEMENT_SD	CONCEPTUAL_FAMILIARITY_MEAN	CONCEPTUAL_FAMILIARITY_SD	TURKISH_AOA_MEAN	TURKISH_AOA_SD	VISUAL_COMPLEXITY_MEAN	VISUAL_COMPLEXITY_SD	SYLLABLES_NUMBER	LETTERS_NUMBER	WORD_FREQUENCY
Raman-2013-260-84	84	elephant	1290	ELEPHANT	Fil	Fil	100	4.50	0.70	4.61	0.63	2.10	0.59	1.38	0.39	1	3	9.00
Raman-2013-260-85	85	envelope	3088	ENVELOPE	Zarf	Zarf	89	3.56	0.67	4.76	0.62	2.39	0.80	1.03	0.30	1	4	7.35
Raman-2013-260-86	86	eye	1248	EYE	Göz	Göz	98	4.03	1.33	4.92	1.28	1.48	0.90	1.50	0.91	1	3	300.60
Raman-2013-260-87	87	fence	1690	FENCE	Çit	Çit	67	2.50	1.33	4.68	0.77	2.69	0.83	1.31	0.55	1	3	1.57
Raman-2013-260-88	88	finger	1303	FINGER	Parmak	Parmak	100	4.19	2.01	4.78	0.75	1.52	1.00	1.13	0.25	2	6	39.22
Raman-2013-260-89	89	fish	227	FISH	Balık	Balık	100	4.32	1.19	4.83	0.61	1.67	0.96	1.28	1.11	2	5	70.89
Raman-2013-260-90	90	flag	2623	FLAG	Bayrak	Bayrak	98	3.60	0.82	4.58	0.65	2.30	0.69	1.06	0.72	2	6	21.62
Raman-2013-260-91	91	flower	239	FLOWER	Çiçek	Çiçek	96	3.38	1.34	4.81	1.01	1.89	0.88	1.38	1.17	2	5	86.69
Raman-2013-260-92	92	flute	777	FLUTE	Flüt	Flüt	49	3.47	1.26	4.28	1.03	3.10	0.96	1.72	0.91	1	4	3.02
Raman-2013-260-93	93	fly	1504	FLY (INSECT)	Sinek	Sinek	95	4.06	1.46	4.78	1.04	2.07	0.92	1.50	1.31	2	5	10.77
Raman-2013-260-94	94	foot	1301	FOOT	Ayak	Ayak	100	4.63	0.80	4.92	0.94	1.41	1.00	1.19	0.81	2	4	91.98
Raman-2013-260-95	95	football	1845	BALL	Futbol	Amerikan Topu	43	3.10	1.34	4.31	1.22	3.28	1.08	1.31	0.91	6	13	NA
Raman-2013-260-96	96	football helmet			Kask	Kask	72	3.13	0.84	4.31	0.66	3.64	0.64	1.72	0.00	1	4	0.46
Raman-2013-260-97	97	fork	1302	FORK	Çatal	Çatal	100	3.47	0.30	4.75	0.48	1.92	0.64	1.13	0.18	2	5	7.87
Raman-2013-260-98	98	fox	1312	FOX	Tilki	Tilki	91	3.68	0.82	4.36	1.09	2.59	0.96	1.31	0.72	2	5	15.59
Raman-2013-260-99	99	french horn	939	HORN (INSTRUMENT)	Korno	Saksafon	25	1.42	1.03	4.17	0.58	3.72	0.61	1.69	0.18	3	8	0.78
Raman-2013-260-100	100	frog	503	FROG	Kurbağa	Kurbağa	98	4.19	1.07	4.42	0.95	2.21	0.82	1.53	0.37	3	7	7.51
Raman-2013-260-101	101	frying pan	31	PAN	Tava	Tava	95	3.88	0.77	4.75	0.78	2.44	0.88	1.19	0.51	2	4	3.63
Raman-2013-260-102	102	garbage can	4036	GARBAGE CAN	Çöp tenekesi	Çöp	59	3.44	1.05	4.90	0.59	2.15	0.76	1.19	0.39	1	3	23.55
Raman-2013-260-103	103	giraffe	3089	GIRAFFE	Zürafa	Zürafa	96	3.53	0.88	4.61	0.50	2.54	0.64	1.91	0.63	3	6	2.39
Raman-2013-260-104	104	glass	604	GLASS	Bardak	Bardak	100	4.69	1.08	4.93	0.52	1.51	0.79	1.03	0.39	2	6	37.04
Raman-2013-260-105	105	glasses	1898	SPECTACLES	Gözlük	Gözlük	100	4.19	1.16	4.85	0.78	1.90	0.78	1.09	0.34	2	6	7.05
Raman-2013-260-106	106	gloves	867	GLOVE	Eldiven	Eldiven	100	3.90	1.39	4.68	0.62	2.05	0.75	1.13	0.53	3	7	3.88
Raman-2013-260-107	107	goat	1502	GOAT	Keçi	Keçi	91	4.56	1.38	4.47	0.99	2.70	0.90	1.22	1.07	2	4	12.21
Raman-2013-260-108	108	gorilla	3144	GORILLA	Goril	Goril	82	4.06	1.31	4.37	0.92	2.75	0.93	1.47	1.02	2	5	0.63
Raman-2013-260-109	109	grapes	920	GRAPE	Üzüm	Üzüm	100	3.22	1.02	4.73	0.43	2.11	0.70	1.53	0.72	2	4	25.81
Raman-2013-260-110	110	grasshopper	607	GRASSHOPPER	Çekirge	Çekirge	91	3.57	0.81	4.63	0.95	2.39	0.79	1.53	0.49	3	7	2.79
Raman-2013-260-111	111	guitar	3090	GUITAR	Gitar	Gitar	100	4.63	0.72	4.73	0.89	2.75	0.81	1.22	0.91	2	5	7.64
Raman-2013-260-112	112	gun	1566	GUN	Silah	Silah	63	3.86	1.15	4.59	0.38	2.80	0.84	1.28	0.25	2	5	85.64
Raman-2013-260-113	113	hair	2648	HAIR (HEAD)	Saç	Saç	100	4.09	1.05	4.80	1.07	1.54	0.97	1.84	0.98	1	3	26.38
Raman-2013-260-114	114	hammer	1481	HAMMER	Çekiç	Çekiç	100	3.44	1.78	4.64	0.77	3.03	0.96	1.06	0.47	2	5	12.84
Raman-2013-260-115	115	hand	1277	HAND	El	El	100	4.29	0.78	4.88	0.73	1.43	0.78	1.28	0.25	1	2	269.48
Raman-2013-260-116	116	hanger	770	EARRING	Askı	Askı	100	4.47	1.46	4.81	0.77	2.48	1.03	1.06	1.28	2	4	1.74
Raman-2013-260-117	117	harp	2597	HARP	Harp	Harp	32	3.56	0.72	4.20	0.94	3.95	0.97	1.78	0.64	1	4	0.67
Raman-2013-260-118	118	hat	771	HAT	Şapka	Şapka	98	2.73	0.70	4.73	0.81	2.10	1.03	1.13	0.61	2	5	12.40
Raman-2013-260-119	119	heart	1223	HEART	Kalp	Kalp	98	4.16	1.12	4.83	1.17	2.28	1.06	1.00	0.95	1	4	69.15
Raman-2013-260-120	120	helicopter	2580	HELICOPTER	Helikopter	Helikopter	100	4.16	0.83	4.63	0.45	2.41	0.87	1.66	0.49	4	10	9.38
Raman-2013-260-121	121	horse	615	HORSE	At	At	100	4.75	1.21	4.68	0.34	2.03	0.70	1.41	1.02	1	2	70.87
Raman-2013-260-122	122	house	1252	HOUSE	Ev	Ev	100	3.84	0.86	4.92	0.61	1.56	0.77	1.25	0.30	1	2	218.40
Raman-2013-260-123	123	iron	4031	IRON (PRESSING)	Ütü	Ütü	100	3.39	0.81	4.78	0.40	2.49	0.67	1.28	0.53	2	3	3.15
Raman-2013-260-124	124	ironing board	3998	IRONING BOARD	Ütü Tahtası	Ütü masası	100	3.29	0.68	4.75	0.46	2.51	0.62	1.47	0.93	5	10	0.17
Raman-2013-260-125	125	jacket	2770	JACKET	Ceket	Ceket	47	4.22	0.77	4.86	0.85	2.30	0.78	1.28	1.33	2	5	6.82
Raman-2013-260-126	126	kangaroo	164	KANGAROO	Kanguru	Kanguru	93	4.84	0.93	4.44	0.84	2.61	0.84	1.31	1.21	3	7	0.46
Raman-2013-260-127	127	kettle	854	KETTLE	Çaydanlık	Çaydanlık	93	3.32	1.58	4.80	0.36	2.18	0.77	1.25	0.63	3	9	1.70
Raman-2013-260-128	128	key	1472	KEY	Anahtar	Anahtar	98	4.41	1.32	4.93	0.88	1.84	1.01	1.25	0.81	3	7	38.11
Raman-2013-260-129	129	kite	307	HAWK	Uçurtma	Uçurtma	96	3.84	1.57	4.75	0.97	1.95	1.02	1.47	0.18	3	7	10.66
Raman-2013-260-130	130	knife	1352	KNIFE	Bıçak	Bıçak	100	3.80	1.29	4.69	0.89	1.90	0.94	1.13	0.80	2	5	23.04
Raman-2013-260-131	131	ladder	1464	LADDER	Merdiven	Merdiven	100	4.31	1.83	4.69	0.94	2.43	1.05	1.09	0.87	3	8	14.17
Raman-2013-260-132	132	lamp	625	LAMP	Lamba	Abajur	50	3.39	0.83	4.67	0.86	2.25	0.79	1.19	0.00	3	6	0.40
Raman-2013-260-133	133	leaf	628	LEAF	Yaprak	Yaprak	100	3.68	1.57	4.75	0.62	2.07	0.97	1.59	0.00	2	6	43.99
Raman-2013-260-134	134	leg	1297	LEG	Bacak	Bacak	95	4.06	1.19	4.85	0.72	1.66	0.93	1.13	1.14	2	5	17.61
Raman-2013-260-135	135	lemon	3091	LEMON	Limon	Limon	98	4.38	1.00	4.80	0.40	1.97	0.87	1.00	0.97	2	5	24.15
Raman-2013-260-136	136	leopard	1139	LEOPARD	Leopar	Kaplan	59	4.38	0.30	4.41	1.12	2.56	0.94	1.63	0.82	2	6	8.54
Raman-2013-260-137	137	lettuce	3729	LETTUCE	Marul	Marul	59	3.55	0.34	4.69	1.24	2.48	0.98	1.69	1.13	2	5	2.43
Raman-2013-260-138	138	light bulb	4000	LIGHTBULB	Ampül	Ampül	73	4.84	0.37	4.86	0.64	1.75	0.84	1.34	1.10	2	5	0.04
Raman-2013-260-139	139	light switch	4001	LIGHT SWITCH	Elektrik düğmesi	Düğme	33	4.19	0.95	4.73	0.83	2.16	0.81	1.16	0.75	2	5	4.26
Raman-2013-260-140	140	lion	1386	LION	Aslan	Aslan	100	4.66	0.48	4.53	1.00	2.18	0.82	1.50	0.34	2	5	37.88
Raman-2013-260-141	141	lips	478	LIP	Dudak	Dudak	100	4.28	0.48	4.80	0.43	1.39	0.83	1.03	0.81	2	5	12.23
Raman-2013-260-142	142	lobster	2397	LOBSTER	ıstakoz	ıstakoz	56	2.97	0.43	4.51	0.63	2.80	0.71	1.56	0.25	3	7	0.84
Raman-2013-260-143	143	lock	1596	LOCK	Kilit	Kilit	96	4.53	0.54	4.69	0.48	2.82	0.79	1.13	0.87	2	5	17.33
Raman-2013-260-144	144	mitten	867	GLOVE	Eldiven (Tek Parmaklı)	Eldiven	96	3.33	0.73	4.66	0.43	2.11	0.81	1.16	1.01	3	7	3.88
Raman-2013-260-145	145	monkey	1350	MONKEY	Maymun	Maymun	95	4.31	1.03	4.24	0.34	2.74	0.83	1.22	1.11	2	6	9.19
Raman-2013-260-146	146	moon	1313	MOON	Ay	Ay	82	4.20	0.64	4.85	0.63	1.77	0.99	1.09	0.98	1	2	286.52
Raman-2013-260-147	147	motorcycle	638	MOTORCYCLE	Motosiklet	Motor	52	4.31	0.67	4.59	1.15	2.52	1.15	1.69	1.11	2	5	24.13
Raman-2013-260-148	148	mountain	639	MOUNTAIN	Dağ	Dağ	89	3.68	0.88	4.37	1.01	2.48	1.01	1.56	0.66	1	3	42.37
Raman-2013-260-149	149	mouse	1491	MOUSE	Fare	Fare	95	4.66	0.56	4.61	0.84	1.95	1.09	1.16	0.34	2	4	17.12
Raman-2013-260-150	150	mushroom	641	MUSHROOM	Mantar	Mantar	95	4.34	0.89	4.80	1.11	2.49	1.11	1.31	1.16	2	6	17.61
Raman-2013-260-151	151	nail	502	NAIL (TOOL)	Çivi	Çivi	96	4.81	0.80	4.80	0.88	2.30	0.88	1.06	0.34	2	4	7.83
Raman-2013-260-152	152	nail file			Törpü	Törpü	78	3.50	0.77	4.66	0.66	3.02	0.74	1.16	0.45	2	5	0.34
Raman-2013-260-153	153	necklace	1961	NECKLACE	Kolye	Kolye	98	4.34	0.68	4.71	0.57	2.33	0.76	1.28	0.49	2	5	3.17
Raman-2013-260-154	154	needle	1382	NEEDLE (FOR SEWING)	iğne	iğne	93	4.06	1.12	4.58	0.79	2.69	1.01	1.25	0.89	2	4	22.12
Raman-2013-260-155	155	nose	1221	NOSE	Burun	Burun	100	4.59	0.81	4.81	1.13	1.39	0.87	1.09	0.94	2	5	27.72
Raman-2013-260-156	156	nut	191	NUT	Somun	Vida	43	2.81	0.87	4.66	0.55	3.05	0.67	1.28	0.94	2	4	1.55
Raman-2013-260-157	157	onion	2366	ONION	Soğan	Soğan	100	3.90	1.43	4.69	1.04	2.38	0.90	1.31	1.16	2	5	24.76
Raman-2013-260-158	158	orange	2627	ORANGE (FRUIT)	Portakal	Portakal	96	4.16	0.86	4.78	0.69	2.08	0.88	1.28	0.34	3	8	17.50
Raman-2013-260-159	159	ostrich	3797	OSTRICH	Devekuşu	Devekuşu	86	3.80	0.81	4.19	0.90	3.03	0.98	1.44	1.58	4	8	1.11
Raman-2013-260-160	160	owl	735	OWL	Baykuş	Baykuş	100	4.69	1.41	4.53	0.86	2.66	0.99	1.38	0.64	2	6	3.38
Raman-2013-260-161	161	paintbrush	3094	PAINTBRUSH	Boya fırçası	 fırça	91	4.72	1.01	4.66	0.76	2.23	0.75	1.06	0.87	2	6	8.79
Raman-2013-260-162	162	pants	809	TROUSERS	Pantolon	Pantolon	98	3.94	0.76	4.66	0.50	2.07	0.72	1.22	0.79	3	8	11.56
Raman-2013-260-163	163	peach	2043	PEACH	Şeftali	Şeftali	79	4.25	0.93	4.46	0.57	1.82	0.95	1.66	0.47	3	7	4.76
Raman-2013-260-164	164	peacock	3382	PEACOCK	Tavuskuşu	Tavuskuşu	91	3.97	0.84	4.54	1.05	2.59	0.98	1.84	1.39	4	9	0.23
Raman-2013-260-165	165	peanut	595	GROUNDNUT (PEANUT)	Fıstık	Fıstık	93	4.00	0.72	4.59	0.64	2.56	0.86	1.91	0.00	2	6	7.09
Raman-2013-260-166	166	pear	922	PEAR	Armut	Armut	98	4.75	1.40	4.86	0.57	1.77	0.85	1.19	0.30	2	5	6.40
Raman-2013-260-167	167	pen	794	PEN	Tükenmezkalem	Kalem	98	3.84	0.76	4.78	0.48	2.05	0.98	1.16	0.78	2	5	36.68
Raman-2013-260-168	168	pencil	2578	PENCIL	Kurşunkalem	Kurşunkalem	100	4.69	1.24	4.69	0.34	1.74	0.80	1.00	0.25	4	11	1.68
Raman-2013-260-169	169	penguin	2831	PENGUIN	Penguen	Penguen	96	4.19	0.84	4.56	1.21	2.57	1.00	1.34	0.66	3	7	0.99
Raman-2013-260-170	170	pepper	1385	PEPPER	Biber	Biber	95	3.43	0.91	4.49	0.77	2.41	0.94	1.38	0.39	2	5	19.41
Raman-2013-260-171	171	piano	3994	PIANO (INSTRUMENT)	Piyano	Piyano	100	4.16	0.95	4.75	0.85	3.15	0.99	1.56	1.47	3	6	15.72
Raman-2013-260-172	172	pig	1337	PIG	Domuz	Domuz	98	4.19	0.91	4.42	0.57	2.69	0.75	1.25	0.57	2	5	10.60
Raman-2013-260-173	173	pineapple	2440	PINEAPPLE	Ananas	Ananas	86	4.75	0.88	4.85	0.47	2.85	0.92	1.72	1.26	3	6	0.99
