ID	NUMBER	ENGLISH	ITALIAN	FRENCH	MALAGASY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Serva-2020-207-47	47	dog	cane	chien	alika	2009	DOG
Serva-2020-207-48	48	louse	pidocchio	pou	hao	1392	LOUSE
Serva-2020-207-49	49	snake	serpente	serpent	bibilava	730	SNAKE
Serva-2020-207-50	50	worm	verme	ver	kankana	1219	WORM
Serva-2020-207-51	51	tree	albero	arbre	hazo	906	TREE
Serva-2020-207-52	52	forest	foresta	forêt	ala	420	FOREST
Serva-2020-207-53	53	stick	bastone	bâton	kibay	1295	STICK
Serva-2020-207-54	54	fruit	frutta	fruit	voankazo	1507	FRUIT
Serva-2020-207-55	55	seed (semen)	seme	graine	voa	714	SEED
Serva-2020-207-56	56	leaf	foglia	feuille	ravina	628	LEAF
Serva-2020-207-57	57	root	radice	racine	faka	670	ROOT
Serva-2020-207-58	58	bark (of a tree)	corteccia	écorce	hodi-kazo	1204	BARK
Serva-2020-207-59	59	flower	fiore	fleur	voninkazo	239	FLOWER
Serva-2020-207-60	60	grass	erba	herbe	ahitra	606	GRASS
Serva-2020-207-61	61	rope	corda	corde	tady	1218	ROPE
Serva-2020-207-62	62	skin	pelle	peau	hoditra	763	SKIN
Serva-2020-207-63	63	meat	carne	viande	hena	634	MEAT
Serva-2020-207-64	64	blood	sangue	sang	ra	946	BLOOD
Serva-2020-207-65	65	bone	osso	os	taolana	1394	BONE
Serva-2020-207-66	66	fat (noun)	grasso	graisse (matière)	taviny	323	FAT (ORGANIC SUBSTANCE)
Serva-2020-207-67	67	egg	uovo	œuf	atody	744	EGG
Serva-2020-207-68	68	horn	corno	corne	tandroka	1393	HORN (ANATOMY)
Serva-2020-207-69	69	tail	coda	queue	rambo	1220	TAIL
Serva-2020-207-70	70	feather	penna	plume	volom-borona	1201	FEATHER
Serva-2020-207-71	71	hair (on the head)	capelli	cheveux	volo	2648	HAIR (HEAD)
Serva-2020-207-72	72	head	testa	tête	loha	1256	HEAD
Serva-2020-207-73	73	ear	orecchio	oreille	sofina	1247	EAR
Serva-2020-207-74	74	eye	occhio	œil	maso	1248	EYE
Serva-2020-207-75	75	nose	naso	nez	orona	1221	NOSE
Serva-2020-207-76	76	mouth	bocca	bouche	vava	674	MOUTH
Serva-2020-207-77	77	tooth	dente	dent	nify	1380	TOOTH
Serva-2020-207-78	78	tongue	lingua	langue	lela	1205	TONGUE
Serva-2020-207-79	79	fingernail	unghia	ongle	hoho	1258	FINGERNAIL
Serva-2020-207-80	80	foot	piede	pied	tongotra	1301	FOOT
Serva-2020-207-81	81	leg	gamba	jambe	ranjo	1297	LEG
Serva-2020-207-82	82	knee	ginocchio	genou	lohalika	1371	KNEE
Serva-2020-207-83	83	hand	mano	main	tanana	1277	HAND
Serva-2020-207-84	84	wing	ala	aile	elatra	1257	WING
Serva-2020-207-85	85	belly	pancia	ventre	kibo	1251	BELLY
Serva-2020-207-86	86	guts	interiora	entrailles	tsinay	1334	GUTS
Serva-2020-207-87	87	neck	collo	cou	vozona	1333	NECK
Serva-2020-207-88	88	back (of a person)	schiena	dos	lamosina	1291	BACK
Serva-2020-207-89	89	breast	petto	poitrine	tratra	1592	CHEST
Serva-2020-207-90	90	heart	cuore	cœur	fo	1223	HEART
Serva-2020-207-91	91	liver	fegato	foie	aty	1224	LIVER
Serva-2020-207-92	92	to drink	bere	boire	misotro	1401	DRINK
Serva-2020-207-93	93	to eat	mangiare	manger	mihinana	1336	EAT
Serva-2020-207-94	94	to bite	mordere	mordre	manaikitra	1403	BITE
Serva-2020-207-95	95	to suck	succhiare	sucer	mifiaka	1421	SUCK
Serva-2020-207-96	96	to spit	sputare	cracher	mandrehoka	1440	SPIT
Serva-2020-207-97	97	to vomit	vomitare	vomir	mandoa	1278	VOMIT
Serva-2020-207-98	98	to blow	soffiare	souffler	mitsoka	175	BLOW (OF WIND)
Serva-2020-207-99	99	to breathe	respirare	respirer	miaina	1407	BREATHE
Serva-2020-207-100	100	to laugh	ridere	rire	mihomehy	1355	LAUGH
Serva-2020-207-101	101	to see	vedere	voir	mahita	1409	SEE
Serva-2020-207-102	102	to hear	sentire	entendre	mihaino	1408	HEAR
Serva-2020-207-103	103	to know (facts)	sapere	savoir	mahay	1410	KNOW (SOMETHING)
Serva-2020-207-104	104	to think	pensare	penser	mieritreritra	2271	THINK
Serva-2020-207-105	105	to smell (perceive)	odorare (sentire)	sentir (par le nez)	manimbolo	2124	SMELL
Serva-2020-207-106	106	to fear	temere	craindre	matahotra	1419	FEAR (BE AFRAID)
Serva-2020-207-107	107	to sleep	dormire	dormir	matory	1585	SLEEP
Serva-2020-207-108	108	to live	vivere	vivre	velona	1422	BE ALIVE
Serva-2020-207-109	109	to die	morire	mourir	maty	1494	DIE
Serva-2020-207-110	110	to kill	uccidere	tuer	mamono	1417	KILL
Serva-2020-207-111	111	to fight	combattere	se battre	miady	1423	FIGHT
Serva-2020-207-112	112	to hunt	cacciare	chasser	mihaza	1435	HUNT
Serva-2020-207-113	113	to hit	colpire	frapper	mikapoka	353	STRIKE
Serva-2020-207-114	114	to cut	tagliare	couper	mandidy	1432	CUT
Serva-2020-207-115	115	to split	dividere	fendre (diviser)	mamaky	1437	SPLIT
Serva-2020-207-116	116	to stab	pugnalare	poignarder	manatsatoka antsy	1434	STAB
Serva-2020-207-117	117	to scratch	grattare	gratter	mikiky	1767	SCRAPE
Serva-2020-207-118	118	to dig	scavare	creuser	mangady	1418	DIG
Serva-2020-207-119	119	to swim	nuotare	nager	milomano	1439	SWIM
Serva-2020-207-120	120	to fly	volare	voler	manidina	1441	FLY (MOVE THROUGH AIR)
Serva-2020-207-121	121	to walk (to go)	andare	aller	mandeha	695	GO
Serva-2020-207-122	122	to come	venire	venir	avy	1446	COME
Serva-2020-207-123	123	to lie (state; as in a bed)	stare sdraiato	être couche	mandry	215	LIE DOWN
Serva-2020-207-124	124	to sit (state)	stare seduto	être assis	mipetraka	1416	SIT
Serva-2020-207-125	125	to stand (state)	stare in piedi	être debout	mitsangana	1442	STAND
Serva-2020-207-126	126	to turn (intransitive)	girare	tourner	mihodina	1588	TURN
Serva-2020-207-127	127	to fall	cadere	tomber	mianjera	1280	FALL
Serva-2020-207-128	128	to give	dare	donner	manome	1447	GIVE
Serva-2020-207-129	129	to hold	tenere	tenir	mitantana	1448	HOLD
Serva-2020-207-130	130	to squeeze	spremere	presser (comme un citron)	manery	1414	SQUEEZE
Serva-2020-207-131	131	to rub	strofinare	frotter	manakasoka	1449	RUB
Serva-2020-207-132	132	to wash	lavare	laver	manasa	1453	WASH
Serva-2020-207-133	133	to wipe	asciugare	essuyer	mamafa	1454	WIPE
Serva-2020-207-134	134	to pull	tirare	tirer	mitifitra	1455	PULL
Serva-2020-207-135	135	to push	spingere	pousser	manosika	1452	PUSH
Serva-2020-207-136	136	to throw	lanciare	jeter (lancer)	manoraka	1456	THROW
Serva-2020-207-137	137	to tie	legare	lier	mamehy	1917	TIE
Serva-2020-207-138	138	to sew	cucire	coudre	manjaitra	1457	SEW
Serva-2020-207-139	139	to count	contare	compter	manisa	1420	COUNT
Serva-2020-207-140	140	to say	dire	dire	milaza	1458	SAY
Serva-2020-207-141	141	to sing	cantare	chanter	mihira	1261	SING
Serva-2020-207-142	142	to play	giocare	jouer	milalao	1413	PLAY
Serva-2020-207-143	143	to float	galleggiare	flotter	mitsinkafona	1574	FLOAT
Serva-2020-207-144	144	to flow	scorrere	couler	mikoriana	2003	FLOW
Serva-2020-207-145	145	to freeze	gelare	geler	mandry	1431	FREEZE
Serva-2020-207-146	146	to swell	gonfiare	gonfler	mibontsina	1573	SWELL
Serva-2020-207-147	147	sun	sole	soleil	masoandro	1343	SUN
Serva-2020-207-148	148	moon	luna	lune	volana	1313	MOON
Serva-2020-207-149	149	star	stella	étoile	kintana	1430	STAR
Serva-2020-207-150	150	water	acqua	eau	rano	948	WATER
Serva-2020-207-151	151	rain	pioggia	pluie	orana	658	RAIN (PRECIPITATION)
Serva-2020-207-152	152	river	fiume	rivière	renirano	666	RIVER
Serva-2020-207-153	153	lake	lago	lac	farihy	624	LAKE
Serva-2020-207-154	154	sea	mare	mer	ranomasina	1474	SEA
Serva-2020-207-155	155	salt	sale	sel	sira	1274	SALT
Serva-2020-207-156	156	stone	pietra	pierre	vato	857	STONE
Serva-2020-207-157	157	sand	sabbia	sable	fasika	671	SAND
Serva-2020-207-158	158	dust	polvere	poussière	vovoka	2	DUST
Serva-2020-207-159	159	earth	terra	terre	tany	1228	EARTH (SOIL)
Serva-2020-207-160	160	cloud	nuvola	nuage	rahona	1489	CLOUD
Serva-2020-207-161	161	fog	nebbia	brouillard	zavona	249	FOG
Serva-2020-207-162	162	sky	cielo	ciel	lanitra	1732	SKY
Serva-2020-207-163	163	wind	vento	vent	rivotra	960	WIND
Serva-2020-207-164	164	snow	neve	neige	ranomandry	784	SNOW
Serva-2020-207-165	165	ice	ghiaccio	glace	ranomandry	617	ICE
Serva-2020-207-166	166	smoke	fumo	fumée	setroka	778	SMOKE (EXHAUST)
Serva-2020-207-167	167	fire	fuoco	feu	afo	221	FIRE
Serva-2020-207-168	168	ash	cenere	cendre	lavenona	646	ASH
Serva-2020-207-169	169	to burn	bruciare	brûler	mandoro	2102	BURN
Serva-2020-207-170	170	road	strada	route	lalana	667	ROAD
Serva-2020-207-171	171	mountain	montagna	montagne	tendrombohitra	639	MOUNTAIN
Serva-2020-207-172	172	red	rosso	rouge	mena	156	RED
Serva-2020-207-173	173	green	verde	vert	maitso	1425	GREEN
Serva-2020-207-174	174	yellow	giallo	jaune	mavo	1424	YELLOW
Serva-2020-207-175	175	white	bianco	blanc	fotsy	1335	WHITE
Serva-2020-207-176	176	black	nero	noir	mainty	163	BLACK
Serva-2020-207-177	177	night	notte	nuit	alina	1233	NIGHT
Serva-2020-207-178	178	day	giorno	jour	andro	1225	DAY (NOT NIGHT)
Serva-2020-207-179	179	year	anno	an (année)	taona	1226	YEAR
Serva-2020-207-180	180	warm	caldo	chaud	mafana	1232	WARM
Serva-2020-207-181	181	cold	freddo	froid	mangatsiaka	1287	COLD
Serva-2020-207-182	182	full	pieno	plein	feno	1429	FULL
Serva-2020-207-183	183	new	nuovo	nouveau	vaovao	1231	NEW
Serva-2020-207-184	184	old	vecchio	vieux	antitra	1229	OLD
Serva-2020-207-185	185	good	buono	bon	tsara	1035	GOOD
Serva-2020-207-186	186	bad	cattivo	mauvais	ratsy	1292	BAD
Serva-2020-207-187	187	rotten	marcio	pourri	lo	1728	ROTTEN
Serva-2020-207-188	188	dirty	sporco	sale	maloto	1230	DIRTY
Serva-2020-207-189	189	straight	dritto	droit	mahitsy	1404	STRAIGHT
Serva-2020-207-190	190	round	rotondo	rond	boribory	1395	ROUND
Serva-2020-207-191	191	sharp (as a knife)	affilato	tranchant	maranitra	1396	SHARP
Serva-2020-207-192	192	dull (as a knife)	smussato	émoussé	dombo	379	BLUNT
Serva-2020-207-193	193	smooth	liscio	lisse	malama	1234	SMOOTH
Serva-2020-207-194	194	wet	bagnato	mouillé	mando	1726	WET
Serva-2020-207-195	195	dry	secco	sec	maina	1398	DRY
Serva-2020-207-196	196	correct (just; right)	giusto	juste (correct)	mety	1725	CORRECT (RIGHT)
Serva-2020-207-197	197	near	vicino	près	akaiky	1942	NEAR
Serva-2020-207-198	198	far	lontano	loin	lavitra	1406	FAR
Serva-2020-207-199	199	right (adj.)	destra	droite	havanana	1019	RIGHT
Serva-2020-207-200	200	left (adj.)	sinistra	gauche	havia	244	LEFT
Serva-2020-207-201	201	at	a	à	any	1461	AT
Serva-2020-207-202	202	in	in	dans	anaty	1606	INSIDE
Serva-2020-207-203	203	with	con	avec	amin'ny	1340	WITH
Serva-2020-207-204	204	and	e	et	sy	1577	AND
Serva-2020-207-205	205	if	se	si	raha	1459	IF
Serva-2020-207-206	206	because	perché	parce que	satria	1157	BECAUSE
Serva-2020-207-207	207	name	nome	nom	anarana	1405	NAME
