ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	HINDI	NAMEABILITY	H_VALUE	NAME_AGREEMENT	IMAGE_AGREEMENT	FAMILIARITY	VISUAL_COMPLEXITY	AOA_HINDI	FREQUENCY_LOG	PHONEMES_NUMBER	ALPHA_SYLLABLES_NUMBER	SYLLABLES_NUMBER	LATENCY_MS
Ramanujan-2019-158-67	67	goat	1502	GOAT	बकरी (bakri)	0.98	0.00	1.00	4.76	4.75	4.76	4.38	0.77	4.00	3.00	2.00	1279.67
Ramanujan-2019-158-68	68	grapes	920	GRAPE	अंगूर (angoor)	1.00	0.12	0.98	4.76	4.88	1.92	4.02	0.51	5.00	4.00	2.00	1118.13
Ramanujan-2019-158-69	69	grasshopper	607	GRASSHOPPER	बटड्डा (tidda)	0.80	0.40	0.94	4.68	4.66	4.68	5.86	--	5.00	3.00	2.00	--
Ramanujan-2019-158-70	70	gun	1566	GUN	बंदू क (bandook)	0.98	0.63	0.84	4.83	4.68	4.83	5.42	1.42	5.00	4.00	2.00	1159.57
Ramanujan-2019-158-71	71	hair	2648	HAIR (HEAD)	बाल (baal)	1.00	0.21	0.97	4.56	4.90	4.56	3.12	1.99	3.00	2.00	1.00	1106.90
Ramanujan-2019-158-72	72	hammer	1481	HAMMER	हथोडा (hathoda)	0.93	0.00	1.00	4.76	4.80	4.76	5.42	0.09	5.00	3.00	3.00	1061.93
Ramanujan-2019-158-73	73	hand	1277	HAND	हाथ (haath)	1.00	0.81	0.83	4.82	4.95	4.82	3.10	2.64	3.00	2.00	1.00	924.14
Ramanujan-2019-158-74	74	hat	771	HAT	टोपी (topi)	0.97	0.00	1.00	4.82	4.90	1.71	4.23	0.71	4.00	2.00	2.00	1168.73
Ramanujan-2019-158-75	75	heart	1223	HEART	बदल (dil)	0.92	0.00	1.00	4.70	4.81	4.70	5.70	1.98	3.00	2.00	1.00	945.41
Ramanujan-2019-158-76	76	horse	615	HORSE	घोडा (ghoda)	1.00	0.00	1.00	4.90	4.86	4.90	4.22	0.87	4.00	2.00	2.00	1014.45
Ramanujan-2019-158-77	77	house	1252	HOUSE	घर (ghar)	0.98	0.49	0.91	4.82	4.90	4.82	3.67	2.66	2.00	2.00	1.00	826.55
Ramanujan-2019-158-78	78	iron			इस्तरी  (istree)	0.80	0.00	1.00	4.55	4.83	4.55	6.06	0.09	5.00	4.00	2.00	--
Ramanujan-2019-158-79	79	kangaroo	164	KANGAROO	कं गारू (kangaaroo)	0.97	0.00	1.00	4.73	4.51	2.10	6.08	0.21	6.00	3.00	3.00	--
Ramanujan-2019-158-80	80	kettle	854	KETTLE	के िली (ketli)	0.95	0.00	1.00	4.71	4.69	4.71	5.59	0.19	5.00	3.00	2.00	--
Ramanujan-2019-158-81	81	key	1472	KEY	चाबी (chaabi)	1.00	0.12	0.98	4.91	4.95	4.91	4.71	0.71	4.00	2.00	2.00	936.66
Ramanujan-2019-158-82	82	kite	307	HAWK	पिंग (patang)	1.00	0.00	1.00	4.92	4.95	4.92	4.92	1.02	4.00	3.00	2.00	1018.70
Ramanujan-2019-158-83	83	ladder	1464	LADDER	सीढी (seedi)	1.00	0.00	1.00	4.76	4.88	1.85	4.66	0.77	4.00	2.00	2.00	1142.79
Ramanujan-2019-158-84	84	leaf	628	LEAF	पत्ता (patta)	1.00	0.00	1.00	4.59	4.88	1.76	4.38	0.93	4.00	3.00	2.00	1092.75
Ramanujan-2019-158-85	85	lemon	3091	LEMON	नीबं  ू (neembu)	0.90	0.00	1.00	4.64	4.75	4.64	4.55	0.81	4.00	3.00	2.00	1118.48
Ramanujan-2019-158-86	86	leopard	1139	LEOPARD	चीिा (cheeta)	0.98	0.86	0.81	4.66	4.66	2.19	5.00	0.35	4.00	2.00	2.00	--
Ramanujan-2019-158-87	87	lion	1386	LION	शेर (sher)	1.00	0.21	0.97	4.79	4.71	4.79	4.18	1.45	3.00	2.00	1.00	1109.07
Ramanujan-2019-158-88	88	lips	478	LIP	होंठ (hont)	1.00	0.00	1.00	4.71	4.92	4.71	3.54	0.82	3.00	3.00	1.00	1126.04
Ramanujan-2019-158-89	89	lock	1596	LOCK	िाला (taala)	1.00	0.00	1.00	4.86	4.92	4.86	4.71	1.08	4.00	2.00	2.00	1096.86
Ramanujan-2019-158-90	90	monkey	1350	MONKEY	बंदर (bandar)	1.00	0.21	0.97	4.65	4.81	4.65	4.16	0.91	4.00	4.00	2.00	1073.46
Ramanujan-2019-158-91	91	moon	1313	MOON	चांद (chaand)	1.00	0.48	0.92	4.70	4.93	4.70	3.65	1.06	4.00	3.00	1.00	1064.96
Ramanujan-2019-158-92	92	mountain	639	MOUNTAIN	पहाड (pahaad)	1.00	0.84	0.73	4.67	4.76	4.67	4.44	1.83	4.00	3.00	2.00	1223.67
Ramanujan-2019-158-93	93	mouse	1491	MOUSE	चूहा (chooha)	1.00	0.00	1.00	4.85	4.90	4.85	4.10	0.73	4.00	2.00	2.00	1063.70
Ramanujan-2019-158-94	94	mushroom	641	MUSHROOM	कु कु रमुत्ता (kukurmuttha)	0.63	0.18	0.97	4.69	4.59	4.69	7.36	--	10.00	6.00	4.00	--
Ramanujan-2019-158-95	95	nail	502	NAIL (TOOL)	कील (keel)	0.98	0.00	1.00	4.84	4.90	1.58	5.39	0.64	3.00	2.00	1.00	1152.38
Ramanujan-2019-158-96	96	knife	1352	KNIFE	चाकू  (chakoo)	0.98	0.49	0.89	4.67	4.80	4.67	4.82	1.05	4.00	2.00	2.00	1237.83
Ramanujan-2019-158-97	97	necklace	1961	NECKLACE	माला (mala)	1.00	0.81	0.83	4.78	4.88	4.78	4.65	1.30	4.00	2.00	2.00	1142.60
Ramanujan-2019-158-98	98	needle	1382	NEEDLE (FOR SEWING)	सुई (sooi)	0.97	0.00	1.00	4.75	4.80	4.75	5.07	0.82	3.00	2.00	1.00	1213.96
Ramanujan-2019-158-99	99	nose	1221	NOSE	नाक (naak)	1.00	0.00	1.00	4.88	4.98	4.88	3.19	1.28	3.00	2.00	1.00	908.10
Ramanujan-2019-158-100	100	onion	2366	ONION	प्याज (pyaaz)	0.97	0.00	1.00	4.51	4.92	4.51	4.54	0.97	4.00	3.00	1.00	1052.25
Ramanujan-2019-158-101	101	orange	2627	ORANGE (FRUIT)	संिरा (santra)	0.92	0.36	0.94	4.43	4.92	4.43	4.33	0.09	5.00	4.00	2.00	1196.50
Ramanujan-2019-158-102	102	ostrich	3797	OSTRICH	शुिुरमुगग (shuturmurgh)	0.66	0.00	1.00	4.33	4.32	4.33	7.69	0.25	9.00	6.00	3.00	--
Ramanujan-2019-158-103	103	owl	735	OWL	उल्लू  (ullu)	1.00	0.00	1.00	4.80	4.73	4.80	4.76	0.50	4.00	3.00	2.00	1017.81
Ramanujan-2019-158-104	104	pants	809	TROUSERS	पिलून (patloon)	0.66	0.68	0.82	4.94	4.93	4.94	5.28	0.36	5.00	4.00	2.00	--
Ramanujan-2019-158-105	105	peach	2043	PEACH	आिू  (aadu)	0.49	0.00	1.00	4.38	4.93	4.38	5.90	0.14	4.00	2.00	2.00	--
Ramanujan-2019-158-106	106	peacock	3382	PEACOCK	मोर (mor)	1.00	0.00	1.00	4.81	4.83	4.81	4.41	0.62	3.00	2.00	1.00	1133.78
Ramanujan-2019-158-107	107	peanut	595	GROUNDNUT (PEANUT)	मूंगफली (moongphali)	0.80	0.00	1.00	4.62	4.56	4.62	4.70	0.73	6.00	4.00	3.00	--
Ramanujan-2019-158-108	108	pear	922	PEAR	नाशपािी (nashpati)	0.64	0.00	1.00	4.79	4.76	4.79	5.92	0.17	7.00	4.00	3.00	--
Ramanujan-2019-158-109	109	pen	794	PEN	कलम (kalam)	1.00	0.00	1.00	4.85	4.92	4.85	4.63	1.02	3.00	3.00	2.00	1033.47
Ramanujan-2019-158-110	110	pepper	1385	PEPPER	बशमला बमचग (shimla mirch)	0.97	0.00	1.00	4.70	4.81	4.70	6.65	0.86	9.00	6.00	3.00	--
Ramanujan-2019-158-111	111	pig	1337	PIG	सुअर (pig)	0.98	0.00	1.00	4.69	4.73	4.69	4.97	0.49	4.00	3.00	2.00	1237.48
Ramanujan-2019-158-112	112	pineapple	2440	PINEAPPLE	अनन्नास (ananas)	0.81	0.00	1.00	4.75	4.76	4.75	6.17	0.27	6.00	4.00	3.00	--
Ramanujan-2019-158-113	113	pliers	4003	PLIERS	प्लास (plaas)	0.66	0.00	1.00	4.54	4.73	2.00	7.18	--	4.00	3.00	1.00	--
Ramanujan-2019-158-114	114	pot	1462	POT	भगोना (bhagona)	0.58	2.04	0.38	4.86	4.80	4.86	5.95	--	5.00	3.00	3.00	--
Ramanujan-2019-158-115	115	potato	593	POTATO	आलू (aalu)	0.98	0.00	1.00	4.67	4.81	4.67	3.95	1.07	4.00	2.00	2.00	1097.83
Ramanujan-2019-158-116	116	pumpkin	864	PUMPKIN	कद् दू (kaddu)	0.93	0.23	0.96	4.62	4.85	4.62	5.26	0.21	4.00	3.00	2.00	1336.12
Ramanujan-2019-158-117	117	rabbit	1136	RABBIT	खरगोश (khargosh)	1.00	0.00	1.00	4.69	4.83	4.69	4.53	0.60	5.00	4.00	2.00	1042.04
Ramanujan-2019-158-118	118	rhinoceros	2591	RHINOCEROS	गेंिा (gaenda)	0.80	0.00	1.00	4.72	4.68	4.72	5.83	0.03	4.00	3.00	2.00	--
Ramanujan-2019-158-119	119	ring	1374	RING	अंगूठी (angooti)	1.00	0.00	1.00	4.71	4.95	4.71	5.24	0.43	6.00	4.00	3.00	1047.86
Ramanujan-2019-158-120	120	rolling pin	4002	ROLLING PIN	बेलन (belan)	1.00	0.00	1.00	4.78	4.90	4.78	5.00	0.43	4.00	3.00	2.00	979.65
Ramanujan-2019-158-121	121	rooster	1511	ROOSTER	मुगाग (rooster)	1.00	0.53	0.88	4.69	4.88	4.69	4.38	0.41	5.00	3.00	2.00	995.79
Ramanujan-2019-158-122	122	sailboat	4026	SAILBOAT	नाव (naav)	0.95	0.96	0.77	4.72	4.75	4.72	5.28	1.33	3.00	2.00	1.00	1192.32
Ramanujan-2019-158-123	123	saw	1948	SAW	आरी (aari)	0.95	0.00	1.00	4.71	4.75	4.71	6.80	0.09	4.00	2.00	2.00	--
Ramanujan-2019-158-124	124	scissors	356	SHEARS	कैं ची (kaenchi	1.00	0.00	1.00	4.81	4.90	4.81	5.14	0.39	5.00	3.00	2.00	1063.03
Ramanujan-2019-158-125	125	screw driver			पेंचकस (paechkas)	0.90	0.00	1.00	4.75	4.78	4.75	6.13	0.03	5.00	4.00	2.00	--
Ramanujan-2019-158-126	126	sheep	1331	SHEEP	भेड (bhed)	0.98	0.00	1.00	4.67	4.64	4.67	5.52	0.76	3.00	2.00	1.00	--
Ramanujan-2019-158-127	127	shirt	1622	SHIRT	कमीज (kameez)	0.85	0.72	0.84	4.86	4.92	1.83	5.10	0.73	4.00	3.00	2.00	--
Ramanujan-2019-158-128	128	shoe	1381	SHOE	जूिा (joota)	1.00	0.00	1.00	4.83	4.93	4.83	4.22	0.67	4.00	2.00	2.00	857.37
Ramanujan-2019-158-129	129	snail	1543	SNAIL	घोंघा (ghonga)	0.58	0.00	1.00	4.65	4.58	4.65	6.71	0.09	4.00	3.00	2.00	--
Ramanujan-2019-158-130	130	snake	730	SNAKE	साँप (saanp)	1.00	0.34	0.95	4.80	4.81	4.80	4.55	0.60	3.00	2.00	1.00	999.79
Ramanujan-2019-158-131	131	sock	1522	SOCK	मौजा (moza)	1.00	0.47	0.90	4.85	4.93	4.85	4.68	0.12	4.00	2.00	2.00	1079.38
Ramanujan-2019-158-132	132	spider	843	SPIDER	मकडी (makdi)	1.00	0.00	1.00	4.63	4.86	4.63	5.02	0.21	4.00	3.00	2.00	--
Ramanujan-2019-158-133	133	spinning wheel	4009	SPINNING WHEEL	चरखा (charkha)	0.95	0.00	1.00	4.66	4.61	4.66	6.09	0.49	4.00	3.00	2.00	--
Ramanujan-2019-158-134	134	spool/thread	1161	THREAD	धागा (dhaaga)	0.69	0.53	0.88	4.64	4.86	4.64	5.14	0.42	4.00	2.00	2.00	1254.35
Ramanujan-2019-158-135	135	spoon	1378	SPOON	चम्मच (chammach)	1.00	0.00	1.00	4.83	4.93	4.83	3.92	0.74	4.00	4.00	2.00	927.55
Ramanujan-2019-158-136	136	squirrel	1628	SQUIRREL	बगलहरी (gilehri)	0.98	0.00	1.00	4.66	4.81	4.66	4.93	0.19	6.00	4.00	3.00	1196.94
Ramanujan-2019-158-137	137	star	1430	STAR	िारा (taara)	0.98	0.96	0.62	4.47	4.88	4.47	4.44	0.71	4.00	2.00	2.00	1115.35
Ramanujan-2019-158-138	138	sun	1343	SUN	सूरज (sooraj)	1.00	0.21	0.97	4.70	4.90	4.70	3.67	1.34	4.00	3.00	2.00	1136.15
Ramanujan-2019-158-139	139	swan	2837	SWAN	हंस (hans)	0.49	0.00	1.00	4.76	4.76	4.76	5.10	1.04	3.00	3.00	1.00	--
Ramanujan-2019-158-140	140	swing	3101	SWING	झूला (jhoola)	0.92	0.00	1.00	4.67	4.69	4.67	4.41	0.48	4.00	2.00	2.00	1194.05
Ramanujan-2019-158-141	141	table	1775	TABLE	मेज (mez)	0.93	0.00	1.00	4.78	4.93	4.78	4.75	1.13	3.00	2.00	1.00	--
Ramanujan-2019-158-142	142	telephone	1379	TELEPHONE	दू रभाष (doorbhash)	0.32	0.30	0.95	4.78	4.83	4.78	7.78	1.14	6.00	4.00	2.00	--
Ramanujan-2019-158-143	143	television	1788	TELEVISION	दू रदशगन (doordarshan)	0.31	0.00	1.00	4.94	4.92	4.94	6.06	1.48	7.00	6.00	3.00	--
Ramanujan-2019-158-144	144	thumb	1781	THUMB	अंगूठा (angootha)	0.98	0.00	1.00	4.78	4.92	4.78	3.72	0.38	6.00	4.00	3.00	1103.10
Ramanujan-2019-158-145	145	tiger	846	TIGER	बाघ (baagh)	0.59	0.00	1.00	4.51	4.73	4.51	5.60	1.15	3.00	2.00	1.00	--
Ramanujan-2019-158-146	146	tomato	986	TOMATO	टमाटर (tamaatar)	0.98	0.00	1.00	4.86	4.92	4.86	4.19	0.76	5.00	4.00	3.00	1029.38
Ramanujan-2019-158-147	147	top	3996	TOP (TOY)	लट्टू (lattu)	0.95	0.00	1.00	4.66	4.83	4.66	4.61	0.58	4.00	3.00	2.00	1072.89
Ramanujan-2019-158-148	148	train	900	TRAIN	रे लगाडी (raelgaadi)	0.85	0.58	0.86	4.67	4.93	4.67	4.98	2.28	7.00	4.00	3.00	1339.00
Ramanujan-2019-158-149	149	tree	906	TREE	पेड (ped)	1.00	0.29	0.95	4.79	4.90	4.79	3.86	1.69	3.00	2.00	1.00	920.68
Ramanujan-2019-158-150	150	turtle	112	TURTLE	कछु आ (kachua)	1.00	0.00	1.00	4.83	4.76	4.83	4.86	0.17	5.00	3.00	3.00	1216.56
Ramanujan-2019-158-151	151	umbrella	3105	UMBRELLA	छािा (chatha)	1.00	0.79	0.76	4.80	4.92	1.71	4.67	0.35	4.00	2.00	2.00	1013.76
Ramanujan-2019-158-152	152	vase	3746	VASE	फू लदान (phooldaan)	0.59	1.32	0.60	4.57	4.71	4.57	6.19	0.12	6.00	4.00	2.00	--
Ramanujan-2019-158-153	153	watermelon	2766	WATERMELON	िरबूज (tarbooz)	0.97	0.00	1.00	4.54	4.80	4.54	4.68	0.25	5.00	4.00	2.00	--
Ramanujan-2019-158-154	154	well	954	WELL	कुआं (kua)	1.00	0.12	0.98	4.74	4.78	4.74	5.17	0.57	4.00	2.00	2.00	1220.71
Ramanujan-2019-158-155	155	wheel	710	WHEEL	पबहया (pahiya)	0.92	0.80	0.76	4.70	4.75	4.70	5.16	0.59	5.00	3.00	3.00	--
Ramanujan-2019-158-156	156	whistle	3107	WHISTLE (INSTRUMENT)	सीटी (seeti)	1.00	0.00	1.00	4.71	4.86	1.78	4.86	0.57	4.00	2.00	2.00	1169.93
Ramanujan-2019-158-157	157	windmill	3841	WINDMILL	पवन-चक्की (pavan- chakki)	0.63	0.00	1.00	4.59	4.63	4.59	7.22	1.16	7.00	6.00	4.00	--
Ramanujan-2019-158-158	158	window	1375	WINDOW	खखडकी (khidki)	0.97	0.00	1.00	4.49	4.83	4.49	4.53	1.09	5.00	3.00	2.00	1220.22
