ID	NUMBER	GLOSS	FRENCH	LATIN	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gauchat-1925-480-104	104	of the bell tower	du clocher	cloccariu	36		
Gauchat-1925-480-105	105	It (feminine) is	Elle est	ĭlla est	36		
Gauchat-1925-480-106	106	lost (feminine)	perdue	perdūta	36		
Gauchat-1925-480-107	107	Who has	Qui a	cui / qualis habet	36		
Gauchat-1925-480-108	108	done that?	fait cela?	factu	36		
Gauchat-1925-480-109	109	I go	Je vais	vado	38		
Gauchat-1925-480-110	110	to the market	au marché	mercatu	38		
Gauchat-1925-480-111	111	to search	chercher	circare	38	1468	LOOK FOR
Gauchat-1925-480-112	112	a shovel	une pelle	pala	38	1901	SHOVEL
Gauchat-1925-480-113	113	(a) scythe	(une) faux	falce	38	20	SCYTHE
Gauchat-1925-480-114	114	(a) scythe handle	(un) manche de faux	falcariu	38		
Gauchat-1925-480-115	115	(a) plague	(un) fléau	flagĕllu	40		
Gauchat-1925-480-116	116	(a) van	(un) van	vannu	40		
Gauchat-1925-480-117	117	(a) boiler	(une) chaudière	caldaria	40		
Gauchat-1925-480-118	118	(a) plow	(une) charrue	carrūca	40	2154	PLOUGH (INSTRUMENT)
Gauchat-1925-480-119	119	(a) tank	(une) cuve	cūpa	40	2548	BARREL
Gauchat-1925-480-120	120	(a) trouble	(un) pétrin	magide	40		
Gauchat-1925-480-121	121	(a) yoke	(un) joug	jŭgu	42	14	YOKE
Gauchat-1925-480-122	122	(a) handle	(un) manche	manicu	42	1254	HANDLE
Gauchat-1925-480-123	123	(a) cage	(une) cage	cavea	42	3283	CAGE
Gauchat-1925-480-124	124	(a) bed	(un) lit	lēctu	42	1663	BED
Gauchat-1925-480-125	125	(a) bottle	(une) bouteille	buttŭcula	42	1321	BOTTLE
Gauchat-1925-480-126	126	(a) knife	(un) couteau	cultĕllu	42	1352	KNIFE
Gauchat-1925-480-127	127	scissors	(des) ciseaux	fŏrfices	44	356	SHEARS
Gauchat-1925-480-128	128	(a) mirror	(un) miroir	miratōriu	44	1171	MIRROR
Gauchat-1925-480-129	129	(a) coil	(une) bobine	spōla	44		
Gauchat-1925-480-130	130	(a) crown	(une) couronne	corōna	44	1943	CROWN (OF HEAD)
Gauchat-1925-480-131	131	I will buy	J‘achèterai	accaptare + habeo	44		
Gauchat-1925-480-132	132	also	aussi	alesīc + bĕne	44		
Gauchat-1925-480-133	133	some pants	„des“ pantalons	calceas	46		
Gauchat-1925-480-134	134	(a) belt	(une) ceinture	cinctūra	46	772	BELT
Gauchat-1925-480-135	135	(some) linen	(de la) toile	tela	46	916	LINEN
Gauchat-1925-480-136	136	(some) silk	(de la) soie	sēta	46	1641	SILK
Gauchat-1925-480-137	137	(some) wool	(de la) laine	lana	46	964	WOOL
Gauchat-1925-480-138	138	(some) leather	(du) cuir	cŏriu	46	629	LEATHER
Gauchat-1925-480-139	139	This bed sheet	Ce drap de lit	linteŏlu	48		
Gauchat-1925-480-140	140	is better	est meilleur	meliōre	48		
Gauchat-1925-480-141	141	than the other	que l’autre	alteru	48		
Gauchat-1925-480-142	142	It has one	Il a une	habet	48		
Gauchat-1925-480-143	143	width	largeur	largu + ōre	48		
Gauchat-1925-480-144	144	double	double	dŭpla	48		
Gauchat-1925-480-145	145	The sewing	La couture	co(n)sutūra	50		
Gauchat-1925-480-146	146	is straight	est droite	dirēcta	50	1404	STRAIGHT
Gauchat-1925-480-147	147	The vehicle	Le char	carru	50	2549	VEHICLE
Gauchat-1925-480-148	148	is light	est léger	leviariu	50	1052	LIGHT (WEIGHT)
Gauchat-1925-480-149	149	The chain	La chaîne	catēna	50	1627	CHAIN
Gauchat-1925-480-150	150	(is) light (feminine)	(est) légère	leviaria	50		
Gauchat-1925-480-151	151	The rope	La corde	cŏrda	52	1218	ROPE
Gauchat-1925-480-152	152	new (feminine)	neuve	nŏva	52		
Gauchat-1925-480-153	153	is better (feminine)	est meilleure	meliōre	52		
Gauchat-1925-480-154	154	The circle	Le cercle	cĭrculu	52	1467	CIRCLE
Gauchat-1925-480-155	155	is round	est rond	rotŭndu	52	1395	ROUND
Gauchat-1925-480-156	156	The wheel	La roue	rŏta	52	710	WHEEL
Gauchat-1925-480-157	157	(is) round (feminine)	(est) ronde	rotŭnda	54		
Gauchat-1925-480-158	158	One must	Il faudra	fallere + habet	54		
Gauchat-1925-480-159	159	soon	bientôt	bĕne tŏstu	54	703	SOON
Gauchat-1925-480-160	160	mow	tondre	tŏndere	54	190	MOW
Gauchat-1925-480-161	161	the ewes	les brebis	fētas	54	1345	EWE
Gauchat-1925-480-162	162	sharpen (?)	racérer	reaciariare	54		
Gauchat-1925-480-163	163	the axe	la hache	happia (+ itta)	56	677	AXE
Gauchat-1925-480-164	164	beat in the barn	battre en grange	excŭtere	56		
Gauchat-1925-480-165	165	grind	moudre	mŏlere	56	1033	GRIND
Gauchat-1925-480-166	166	the wheat	le blé	blatu	56	1077	WHEAT
Gauchat-1925-480-167	167	keep	garder	wardare	56	1477	KEEP
Gauchat-1925-480-168	168	the livestock	les bêtes	bĕstias	56	631	LIVESTOCK
Gauchat-1925-480-169	169	turn	tourner	(re)virare	58	1588	TURN
Gauchat-1925-480-170	170	the earth	la terre	tĕrra	58	1228	EARTH (SOIL)
Gauchat-1925-480-171	171	to sow	semer	seminare	58	748	SOW SEEDS
Gauchat-1925-480-172	172	(the) hemp	(le) chanvre	cannapu	58	2041	HEMP
Gauchat-1925-480-173	173	the beans	les fèves	fabas	58	832	BEAN
Gauchat-1925-480-174	174	The horse	Le cheval	caballu	58	615	HORSE
Gauchat-1925-480-175	175	is sold	est vendu	vendūtu	60		
Gauchat-1925-480-176	176	The cow	La vache	vacca	60	1007	COW
Gauchat-1925-480-177	177	(is) sold (feminine)	(est) vendue	vendūta	60		
Gauchat-1925-480-178	178	The goats	Les chèvres	capras	60	1502	GOAT
Gauchat-1925-480-179	179	(are) sold	(sont) vendues	vendūtas	60		
Gauchat-1925-480-180	180	It is expensive	Il est cher	caru	60		
Gauchat-1925-480-181	181	(she is) expensive	(Elle est) chère	cara	62		
Gauchat-1925-480-182	182	(they are) expensive	(elles sont) chères	caras	62		
Gauchat-1925-480-183	183	The pig	Le porc	pŏrcu	62	1337	PIG
Gauchat-1925-480-184	184	is fat	est gros	grŏssu	62	1279	FAT (OBESE)
Gauchat-1925-480-185	185	The sow	La truie	trŏia	62	1351	SOW (FEMALE PIG)
Gauchat-1925-480-186	186	(is) fat (feminine)	(est) grosse	grŏssa	62		
Gauchat-1925-480-187	187	The hay	Le foin	fēnu	64	342	HAY
Gauchat-1925-480-188	188	is dry	est sec	sĭccu	64	1398	DRY
Gauchat-1925-480-189	189	The grass	L’herbe	hĕrba	64	606	GRASS
Gauchat-1925-480-190	190	(is) dry (feminine)	(est) sèche	sĭcca	64		
Gauchat-1925-480-191	191	What do you want?	Que veux-tu?	quĭd vŏles tū	64		
Gauchat-1925-480-192	192	I would like	Je voudrais	volere + habēbam	64		
Gauchat-1925-480-193	193	some salt	du sel	sal	66		
Gauchat-1925-480-194	194	some pepper	du poivre	pĭper	66		
Gauchat-1925-480-195	195	one leaf	une feuille	fŏlia	66	628	LEAF
Gauchat-1925-480-196	196	some cabbage	de chou	caule	66		
Gauchat-1925-480-197	197	a wreath	une gerbe	garba	66	2589	WREATH
Gauchat-1925-480-198	198	some straw	de paille	palea	66		
Gauchat-1925-480-199	199	a bag	un sac	saccu	68	2468	BAG
Gauchat-1925-480-200	200	some oat	d’avoine	avēna	68		
Gauchat-1925-480-201	201	some flour	de farine	farina	68		
Gauchat-1925-480-202	202	an armful	une brassée	braciata	68		
Gauchat-1925-480-203	203	some armfuls	(des) brassées	braciatas	68		
Gauchat-1925-480-204	204	of wood	de bois	bŏscu	68		
Gauchat-1925-480-205	205	(a) shovel	(une) pelletée	palata	70		
Gauchat-1925-480-206	206	(some) shovels	(des) pelletées	palatas	70		
Gauchat-1925-480-207	207	of coal	de charbon	carbōne	70		
Gauchat-1925-480-208	208	a handful	une poignée	pugnata	70		
Gauchat-1925-480-209	209	(some) handfuls	(des) poignées	pugnatas	70		
Gauchat-1925-480-210	210	of ash	de cendres	cĭneres	70		
Gauchat-1925-480-211	211	I had	J’avais	habēbam	72		
Gauchat-1925-480-212	212	hunger	faim	fame	72	1864	HUNGER
Gauchat-1925-480-213	213	and thirst	et soif	sĭte	72		
Gauchat-1925-480-214	214	I have eaten	J’ai mangé	manducatu	72		
Gauchat-1925-480-215	215	some bread	du pain	pane	72		
Gauchat-1925-480-216	216	(some) honey	(du) miel	mĕl	72	942	HONEY
Gauchat-1925-480-217	217	an egg	un œuf	ŏvu	74	744	EGG
Gauchat-1925-480-218	218	raw	cru	crūdu	74	1959	RAW
Gauchat-1925-480-219	219	(some) meat	(de la) viande	carne	74	634	MEAT
Gauchat-1925-480-220	220	raw (feminine)	crue	crūda	74		
Gauchat-1925-480-221	221	(some) cheese	(du) fromage	formaticu	74	1569	CHEESE
Gauchat-1925-480-222	222	(some) «serac»	(du) „sérac“	seraceu	74		
Gauchat-1925-480-223	223	half	la moitié	medietate	76	816	HALF
Gauchat-1925-480-224	224	of an apple	d’une pomme	pōma	76		
Gauchat-1925-480-225	225	cooked	cuite	cŏcta	76	269	COOKED
Gauchat-1925-480-226	226	(the apple is) eaten	(la pomme est) mangée	manducata	76		
Gauchat-1925-480-227	227	The two halves	Les deux moitiés	dŭas medietates	76		
Gauchat-1925-480-228	228	(are) eaten	(sont) mangées	manducatas	76		
Gauchat-1925-480-229	229	I needed	Il m’a fallu	fallūtu	78		
Gauchat-1925-480-230	230	to drink	boire	bĭbere	78	1401	DRINK
Gauchat-1925-480-231	231	some milk	du lait	lacticĕllu	78		
Gauchat-1925-480-232	232	some whey	du petit-lait	lactata	78		
Gauchat-1925-480-233	233	The wine	Le vin	vīnu	78	1524	WINE
Gauchat-1925-480-234	234	is clear	est clair	claru	78	250	LIGHT (COLOR)
Gauchat-1925-480-235	235	lukewarm	tiède	tĕpidu	80		
Gauchat-1925-480-236	236	The water	L’eau	aqua	80	948	WATER
Gauchat-1925-480-237	237	(is) clear (feminine)	(est) claire	clara	80		
Gauchat-1925-480-238	238	lukewarm (feminine)	tiède	tĕpida	80		
Gauchat-1925-480-239	239	The glass	Le verre	vĭtru	80	604	GLASS
Gauchat-1925-480-240	240	is full	est plein	plēnu	80	1429	FULL
Gauchat-1925-480-241	241	The spoon	La cuiller	cochleare	82	1378	SPOON
Gauchat-1925-480-242	242	(is) full (feminine)	(est) pleine	plēna	82		
Gauchat-1925-480-243	243	He drank	Il a bu	bibūtu	82		
Gauchat-1925-480-244	244	(a) spoonful, (of) spoonfuls	(une) cuillerée, (des) cuillerées	cochlearata -atas	82		
Gauchat-1925-480-245	245	of poison	de poison	potiōne	82		
Gauchat-1925-480-246	246	He dies	Il meurt	mŏrit	82		
Gauchat-1925-480-247	247	This fruit	Ce fruit	frūctu frūcta	84		
Gauchat-1925-480-248	248	is red	est rouge	rŭbeu	84		
Gauchat-1925-480-249	249	ripe	mûr	matūru	84	178	RIPE
Gauchat-1925-480-250	250	soft	doux	dŭlce	84	1856	SOFT
Gauchat-1925-480-251	251	The plum	La prune	prūma	84		
Gauchat-1925-480-252	252	(is) ripe (feminine)	(est) mûre	matūra	84		
Gauchat-1925-480-253	253	sweet	douce	dŭlce + a	84	717	SWEET
Gauchat-1925-480-254	254	Our	Notre	nŏstru	86	780	OUR
Gauchat-1925-480-255	255	apple tree	pommier	pomariu	86		
Gauchat-1925-480-256	256	loses	perd	pĕrdit	86		
Gauchat-1925-480-257	257	his sap	sa sève	sapa	86		
Gauchat-1925-480-258	258	He cannot	Il ne peut	pŏtet	86		
Gauchat-1925-480-259	259	more	plus	plūs	86	1992	MORE
Gauchat-1925-480-260	260	grow	croître	crēscere	86	479	GROW
Gauchat-1925-480-261	261	The acorn	Le gland	glande	88	968	ACORN
Gauchat-1925-480-262	262	grows	croît	crēscit	88		
Gauchat-1925-480-263	263	above	sur	sū(r)su	88	1741	ABOVE
Gauchat-1925-480-264	264	the oak	le chêne	cassinu	88	644	OAK
Gauchat-1925-480-265	265	The willow	Le saule	salice	88	818	WILLOW
Gauchat-1925-480-266	266	has fewer	a moins	mĭnus	88		
Gauchat-1925-480-267	267	of knots	de nœuds	nōdos	90		
Gauchat-1925-480-268	268	than the beech	que le hêtre	fagu	90		
Gauchat-1925-480-269	269	See here	Voilà	*-	90		
Gauchat-1925-480-270	270	a plant	une plante	planta	90	653	PLANT (VEGETATION)
Gauchat-1925-480-271	271	without	sans	sĭne	90	1478	WITHOUT
Gauchat-1925-480-272	272	thorns	épines	spīnas	90	124	THORN
Gauchat-1925-480-273	273	Someone comes	On vient	hŏmo vĕnit	92		
Gauchat-1925-480-274	274	to call me	m’appeler	appellare (quiritare)	92		
Gauchat-1925-480-275	275	for	pour	pro	92		
Gauchat-1925-480-276	276	eating	manger	manducare	92		
Gauchat-1925-480-277	277	to hunt	chasser	captiare	92	1435	HUNT
Gauchat-1925-480-278	278	a dog	un chien	cane	92	2009	DOG
Gauchat-1925-480-279	279	to take	prendre	prē(he)ndere	94	1749	TAKE
Gauchat-1925-480-280	280	a thief	un voleur	latro	94	1160	THIEF
Gauchat-1925-480-281	281	(he is) taken, (she is) taken	(il est) pris, (elle est) prise	prē(hen)su, -ē(hen)sa	94		
Gauchat-1925-480-282	282	The miller	Le meunier	molinariu	94		
Gauchat-1925-480-283	283	grinds	moud	mŏlit	94		
Gauchat-1925-480-284	284	One believes	On croit	crēdit	94		
Gauchat-1925-480-285	285	(that he is) rich	(qu’il est) riche	rīccu	96	712	RICH
Gauchat-1925-480-286	286	He has made	Il a fait	factu	96		
Gauchat-1925-480-287	287	a loss	une perte	pĕrdita	96		
Gauchat-1925-480-288	288	His wife	Sa femme	fēmina	96		
Gauchat-1925-480-289	289	is rich (feminine)	est riche	rīcca	96		
Gauchat-1925-480-290	290	They have	Ils ont	habent	96		
Gauchat-1925-480-291	291	a beautiful	un beau	bĕllu	98		
Gauchat-1925-480-292	292	garden	jardin	co(ho)rtile	98	586	GARDEN
Gauchat-1925-480-293	293	a beautiful (feminine)	une belle	bĕlla	98		
Gauchat-1925-480-294	294	vine	vigne	vīnea	98	343	VINE
Gauchat-1925-480-295	295	They can	Ils peuvent	pŏtunt	98		
Gauchat-1925-480-296	296	pay	payer	pacare	98	718	PAY
Gauchat-1925-480-297	297	The daughter	La fille	fīlia	100	1357	DAUGHTER
Gauchat-1925-480-298	298	of my sister	de ma sœur	sŏror	100		
Gauchat-1925-480-299	299	sings	chante	cantat	100		
Gauchat-1925-480-300	300	well	bien	bĕne	100		
Gauchat-1925-480-301	301	You sing	Tu chantes	cantas	100		
Gauchat-1925-480-302	302	better than she	mieux qu‘elle	mĕlius, illæi	100		
Gauchat-1925-480-303	303	these people	Ces gens	gĕntes	102		
Gauchat-1925-480-304	304	sang	ont chanté	cantatu	102		
Gauchat-1925-480-305	305	(a) song	(une) chanson	cantiōne	102	1096	SONG
Gauchat-1925-480-306	306	It (feminine) was	Elle a été	statu habūtu	102		
Gauchat-1925-480-307	307	badly sung	mal chantée	male cantata	102		
Gauchat-1925-480-308	308	they were (badly) sung	elles ont été (mal) chantées	cantatas	102		
Gauchat-1925-480-309	309	(They) should	(Ils) devraient	debēre + (hab)ēbant	104		
Gauchat-1925-480-310	310	all	tous	tōttī	104	98	ALL
Gauchat-1925-480-311	311	shut up	se taire	qu(i)etiare	104	48	BE SILENT
Gauchat-1925-480-312	312	All (feminine)	Toutes	tōttas	104		
Gauchat-1925-480-313	313	these women	ces femmes	fēminas	104		
Gauchat-1925-480-314	314	they do not know	ne savent pas	sapunt	104		
Gauchat-1925-480-315	315	to sing	chanter	cantare	104	1261	SING
Gauchat-1925-480-316	316	One cannot	On ne peut pas	pŏtet	106		
Gauchat-1925-480-317	317	know everything	tout savoir	sapēre	106		
Gauchat-1925-480-318	318	That does not prove	Cela ne prouve	prŏbat	106		
Gauchat-1925-480-319	319	nothing	rien	rĕm	106	687	NOTHING
Gauchat-1925-480-320	320	One keeps from	On défend	defēndit	106		
Gauchat-1925-480-321	321	the children	aux enfants	infantes	106	2099	CHILD
Gauchat-1925-480-322	322	(to) swear	(de) jurer	jurare	108	1939	SWEAR
Gauchat-1925-480-323	323	(to) cry	(de) pleurer	plorare	108	1839	CRY
Gauchat-1925-480-324	324	(to) jump	(de) sauter	saltare	108	1829	JUMP
Gauchat-1925-480-325	325	This little girl	Cette fillette	filia + ĭtta	108		
Gauchat-1925-480-326	326	has made	a fait	factu	108		
Gauchat-1925-480-327	327	her prayer	sa prière	precaria	108		
Gauchat-1925-480-328	328	She is sleepy	Elle a sommeil	sŏmnu	110		
Gauchat-1925-480-329	329	She sleeps	Elle dort	dŏrmit	110		
Gauchat-1925-480-330	330	already	déjà	jam	110	2576	ALREADY
Gauchat-1925-480-331	331	when	quand	quando	110	1238	WHEN
Gauchat-1925-480-332	332	you come	vous venez	venītis	110		
Gauchat-1925-480-333	333	to go to bed	vous coucher	collocare	110	215	LIE DOWN
Gauchat-1925-480-334	334	My brother	Mon frère	fratre	112		
Gauchat-1925-480-335	335	is bored	s’ennuie	inŏdiat	112		
Gauchat-1925-480-336	336	alone	tout seul	solĭttu	112	1964	ALONE
Gauchat-1925-480-337	337	you would like	vous voudriez	volēre + (hab)ebatis	112		
Gauchat-1925-480-338	338	that I do not	que je ne le	ĭllu	112		
Gauchat-1925-480-339	339	know (not a bit)	sache pas	sapiam	112		
Gauchat-1925-480-340	340	I cry	Je pleure	plōro	114		
Gauchat-1925-480-341	341	slowly	doucement	-mĕnte	114	2165	SLOWLY
Gauchat-1925-480-342	342	so that we don’t hear	pour qu’on n’entende pas	hŏmo audiat	114		
Gauchat-1925-480-343	343	(I) can	(Je) sais	sa(p)io	114		
Gauchat-1925-480-344	344	some	un peu	paucu	114	1241	SOME
Gauchat-1925-480-345	345	read	lire	lĕgere	114	724	READ
Gauchat-1925-480-346	346	I say that to nobody	Je ne le dis	dīco	116		
Gauchat-1925-480-347	347	than to them	qu’à eux	illōru	116		
Gauchat-1925-480-348	348	It beats	Il frappe	fĕrit	116		
Gauchat-1925-480-349	349	one o'clock	une heure	hōra	116		
Gauchat-1925-480-350	350	No smoke	Pas de fumée	fumaria	116		
Gauchat-1925-480-351	351	without fire	sans feu	fŏcu	116		
Gauchat-1925-480-352	352	The flame	La flamme	flamma	118	889	FLAME
Gauchat-1925-480-353	353	is hot (feminine)	est chaude	cal(i)da	118		
Gauchat-1925-480-354	354	The neighbor	Le voisin	vicīnu	118	1332	NEIGHBOUR
Gauchat-1925-480-355	355	arrived	est arrivé	adripatu	118		
Gauchat-1925-480-356	356	The neighbor (feminine)	La voisine	vicīna	118		
Gauchat-1925-480-357	357	(has) arrived	(est) arrivée	adripata	118		
Gauchat-1925-480-358	358	(He is) old, (she is) old	(Il est) vieux, (Elle est) vieille	vĕclu, -cla	120	2112	OLD (AGED)
Gauchat-1925-480-359	359	ugly, ugly (feminine)	laid, laide	pūtidu, -da	120	1548	UGLY
Gauchat-1925-480-360	360	deaf, deaf (feminine)	sourd, sourde	sŭrdu, -da	120	996	DEAF
Gauchat-1925-480-361	361	poor (masculine and feminine)	pauvre (m. et f.)	pauperu, -ra	120	1674	POOR
Gauchat-1925-480-362	362	proud, proud (feminine)	fier, fière	fĕru, -ra	120	174	PROUD
Gauchat-1925-480-363	363	Sunday	Dimanche	dīe domĭnica	122	1699	SUNDAY
Gauchat-1925-480-364	364	Monday	lundi	dīe lūnæ	122	1697	MONDAY
Gauchat-1925-480-365	365	Thursday	jeudi	dīe jŏvis	122	1693	THURSDAY
Gauchat-1925-480-366	366	How much	Combien	waigaro	122	531	HOW MUCH
Gauchat-1925-480-367	367	of money	de monnaie	monēta	122		
Gauchat-1925-480-368	368	do you have	as-tu	ha(be)s tū	122		
Gauchat-1925-480-369	369	still	encore	anque ad hōra	122	2919	STILL (CONTINUING)
Gauchat-1925-480-370	370	I do not have	J’en ai	ĭnde habeo	124		
Gauchat-1925-480-371	371	enough	assez	prōde	124	1881	ENOUGH
Gauchat-1925-480-372	372	more than you	plus que toi	magis	124		
