ID	NUMBER	RANK	STABILITY_SCORE	GERMAN	NELEX_ID	ENGLISH	RUSSIAN	GERMAN_ANNOTATION	ENGLISH_ANNOTATION	RUSSIAN_ANNOTATION	CONCEPTICON_GLOSS	CONCEPTICON_ID	NOTE
Dellert-2017-1016-66	66	164	-1.145461	Erde	Erde::N	earth	земля, почва	Substanz	substance	вещество; НАПР:комок земли	EARTH (SOIL)	1228	
Dellert-2017-1016-67	67	292	-1.175208	Staub	Staub::N	dust	пыль	Ablagerung	settled	НАПР:вытереть пыль	DUST	2	
Dellert-2017-1016-68	68	82	-2.206577	Rauch	Rauch::N	smoke	дым	von einem Feuer	from a fire	от огня	SMOKE (EXHAUST)	778	
Dellert-2017-1016-69	69	827	-0.054543	Funke	Funke::N	spark	искра	von einem Feuer	from a fire	от огня	SPARK	518	
Dellert-2017-1016-70	70	129	-2.29136	Feuer	Feuer::N	fire	огонь	Flammen	flames	пламя	FIRE	221	
Dellert-2017-1016-71	71	192	-1.138404	Licht	Licht::N	light	свет	natürlich	from a natural source	природный	LIGHT (RADIATION)	630	
Dellert-2017-1016-72	72	481	-1.122783	Schatten	Schatten::N	shadow	тень	schattiger Ort	shady place	тенистое место	SHADE	1388	
Dellert-2017-1016-73	73	488	-1.113199	Wetter	Wetter::N	weather	погода				WEATHER	952	
Dellert-2017-1016-74	74	672	-0.096679	Nebel	Nebel::N	fog	туман				FOG	249	
Dellert-2017-1016-75	75	205	-1.190594	Wolke	Wolke::N	cloud	облако	hell	bright	свётлое	CLOUD	1489	
Dellert-2017-1016-76	76	255	-1.16627	Regen	Regen::N	rain	дождь	fallend	falling	НАПР:дождь идёт	RAIN (PRECIPITATION)	658	
Dellert-2017-1016-77	77	37	-2.207532	Schnee	Schnee::N	snow	снег	liegend	on the ground	на земле	SNOW	784	
Dellert-2017-1016-78	78	32	-2.266068	Eis	Eis::N	ice	лёд	natürliche Substanz	natural substance	природный НАПР:на реке, озере	ICE	617	
Dellert-2017-1016-79	79	420	-1.169482	Frost	Frost::N	frost	мороз	Temperatur unter Gefrierpunkt	temperature below freezing point	сильный холод	FROST	2034	
Dellert-2017-1016-80	80	484	-1.117138	Kälte	Kälte::N	chill	холод	niedrige Temperatur	low temperature	низкая температура воздуха	COLD (CHILL)	2932	POS
Dellert-2017-1016-81	81	730	-0.041652	Hitze	Hitze::N	heat	жара	hohe Temperatur	high temperature	высокая температура воздуха	HEAT	612	
Dellert-2017-1016-82	82	656	-0.024082	Raureif	Raureif::N	hoarfrost	иней				HOARFROST	2942	
Dellert-2017-1016-83	83	1007	1.197472	Regenbogen	Regenbogen::N	rainbow	радуга				RAINBOW	1733	
Dellert-2017-1016-84	84	625	-0.001241	Donner	Donner::N	thunder	гром	bei Gewitter	during a thunderstorm	во время грозы	THUNDER	1150	
Dellert-2017-1016-85	85	753	-0.089439	Strömung	Strömung::N	current	течение	eines Flusses	of a river	реки	CURRENT (STREAM)	2935	
Dellert-2017-1016-86	86	458	-1.170306	Tropfen	Tropfen::N	drop	капля	BSP:Wasser	EX:water	НАПР:воды	DROP (CLASSIFIER)	2087	not DROP (CLASSIFIER)
Dellert-2017-1016-87	87	109	-2.288698	Schaum	Schaum::N	foam	пена	auf Flüssigkeit	on liquid	на поверхности жидкости	FOAM	1768	
Dellert-2017-1016-88	88	715	-0.077517	Schmutz	Schmutz::N	dirt	грязь	auf Gegenständen	on objects	на предметах	DIRT	25	
Dellert-2017-1016-89	89	61	-2.228149	See	See::N	lake	озеро	Binnensee			LAKE	624	
Dellert-2017-1016-90	90	749	-0.093922	Sumpf	Sumpf::N	swamp	топь	Feuchtgebiet	area of impassable wet land	вязкое труднопроходимое место	SWAMP	1145	
Dellert-2017-1016-91	91	976	0.082546	Moor	Moor::N	moor	болото	Torfmoor	wasteland covered by heath	торфяное болото	MOORLAND	2962	
Dellert-2017-1016-92	92	575	-0.008312	Wiese	Wiese::N	meadow	луг	Land mit Grasbewuchs	land covered with grass	поросший травой	PASTURE	649	
Dellert-2017-1016-93	93	284	-1.195172	Wald	Wald::N	forest	лес				FOREST	420	
Dellert-2017-1016-94	94	756	-0.081831	Hügel	Hügel::N	hill	холм	möglicherweise bewaldet	possibly wooded	горка	HILL	614	
Dellert-2017-1016-95	95	763	-0.066956	Anhöhe	Anhöhe::N	elevation	возвышенность	höher gelegenes Gelände	of the ground	более высокое, возвышающееся над окрестностью место	ELEVATION	2936	not distinct from HILL
Dellert-2017-1016-96	96	81	-2.209868	Berg	Berg::N	mountain	гора	unbewaldet	woodless	не поросшая лесом	MOUNTAIN	639	
Dellert-2017-1016-97	97	822	-0.070502	Gipfel	Gipfel::N	summit	вершина	eines Berges	of a mountain	горы	SUMMIT	1614	
Dellert-2017-1016-98	98	798	-0.059802	Höhle	Höhle::N	cave	пещера	in einem Berg	in a mountain	в горе	CAVE	1155	
Dellert-2017-1016-99	99	960	0.073616	Abhang	Abhang::N	slope	склон	eines Berges	of a mountain	горы	PRECIPICE	618	
Dellert-2017-1016-100	100	867	-0.088111	Quelle	Quelle::N	source	источник	eines Flusses	of a river	реки	SPRING (OF WATER)	849	
Dellert-2017-1016-101	101	754	-0.084698	Bach	Bach::N	brook	ручей	kleiner Fluss	small river	маленькая река	RIVER	666	not distinct from RIVER
Dellert-2017-1016-102	102	227	-1.139801	Fluss	Fluss::N	river	река	größerer Fluss	larger river	большая река	RIVER	666	
Dellert-2017-1016-103	103	372	-1.18519	Ufer	Ufer::N	shore	берег	eines Sees	of a lake	НАПР:озeра	SHORE	113	
Dellert-2017-1016-104	104	591	-0.070349	Küste	Küste::N	coast	побережье	Meeresküste	seashore	берег моря	COAST	1525	
Dellert-2017-1016-105	105	788	-0.093131	Festland	Festland::N	land	суша		as opposed to sea	как противоположность морю	MAINLAND	166	
Dellert-2017-1016-106	106	106	-2.29988	Meer	Meer::N	sea	море				SEA	1474	
Dellert-2017-1016-107	107	667	-0.003174	Bucht	Bucht::N	cove, bay	бухта	kleine Bucht	small coastal inlet	небольшой залив в море	BAY	663	
Dellert-2017-1016-108	108	259	-1.152876	Insel	Insel::N	island	остров				ISLAND	622	
Dellert-2017-1016-109	109	850	-0.073582	Blume	Blume::N	flower	цветок				FLOWER	239	
Dellert-2017-1016-110	110	277	-1.117369	Gras	Gras::N	grass	трава	Bodenbewuchs	ground cover	зелёный покров земли НАПР:лежать на траве	GRASS	606	
Dellert-2017-1016-111	111	194	-1.128621	Wurzel	Wurzel::N	root	корень	einer Pflanze	of a plant	растения	ROOT	670	
Dellert-2017-1016-112	112	48	-2.202903	Baum	Baum::N	tree	дерево	Pflanze	plant	растение	TREE	906	
Dellert-2017-1016-113	113	791	-0.087953	Stamm	Stamm::N	trunk	ствол	eines Baumes	of a tree	дерева	TREE TRUNK	344	
Dellert-2017-1016-114	114	224	-1.14791	Rinde	Rinde::N	bark	кора	eines Baumes	of a tree	дерева	BARK	1204	
Dellert-2017-1016-115	115	257	-1.163897	Ast	Ast::N	limb	сук	eines Baumes	of a tree	дерева	BRANCH	1531	
Dellert-2017-1016-116	116	612	-0.040117	Zweig	Zweig::N	twig	ветвь	eines Baumes	of a tree	дерева	BRANCH	1531	not distinct from BRANCH
Dellert-2017-1016-117	117	120	-2.229714	Blatt	Blatt::N	leaf	лист	einer Pflanze	of a plant	растения	LEAF	628	
Dellert-2017-1016-118	118	319	-1.194508	Birke	Birke::N	birch	берёза				BIRCH	1855	
Dellert-2017-1016-119	119	514	-1.136112	Kiefer[Baum]	Kiefer[Baum]::N	pine	сосна		pine tree		PINE	1740	
Dellert-2017-1016-120	120	385	-1.149515	Weide[Baum]	Weide[Baum]::N	willow	ива				WILLOW	818	
Dellert-2017-1016-121	121	583	-0.087277	Tanne	Tanne::N	fir	ель				FIR	1915	
Dellert-2017-1016-122	122	84	-2.202967	Horn	Horn::N	horn	рог	eines Tieres	of an animal	животного	HORN (ANATOMY)	1393	
Dellert-2017-1016-123	123	244	-1.193887	Feder	Feder::N	feather	перо	eines Vogels	of a bird	птицы	FEATHER	1201	
Dellert-2017-1016-124	124	386	-1.148395	Fell	Fell::N	fur	шкура	eines Tieres	of an animal	животного	FUR	580	
Dellert-2017-1016-125	125	152	-1.187192	Flügel	Flügel::N	wing	крыло	eines Vogels	of a bird	птицы	WING	1257	
Dellert-2017-1016-126	126	618	-0.023658	Klaue	Klaue::N	claw	коготь	BSP:eines Vogel	EX:of a bird	НАПР:птицы	CLAW	72	
Dellert-2017-1016-127	127	563	-0.038216	Kralle	Kralle::N	paw	лапа	BSP:einer Katze	EX:of a cat	НАПР:кошки	PAW	2965	
Dellert-2017-1016-128	128	335	-1.168923	Schwanz	Schwanz::N	tail	хвост	BSP:eines Hundes	EX:of a dog	НАПР:собаки	TAIL	1220	
Dellert-2017-1016-129	129	207	-1.183631	Ei	Ei::N	egg	яйцо	BSP:eines Vogel	EX:of a bird	НАПР:птицы	EGG	744	
Dellert-2017-1016-130	130	86	-2.299024	Nest	Nest::N	nest	гнездо	BSP:eines Vogel	EX:of a bird	НАПР:птицы	NEST	539	
Dellert-2017-1016-131	131	971	0.092566	Bau	Bau::N	lair	нора	BSP:eines Fuchses	EX:of a fox	НАПР:лисы	LAIR	2949	
Dellert-2017-1016-132	132	584	-0.085719	Tier	Tier::N	animal	животное				ANIMAL	619	
Dellert-2017-1016-133	133	446	-1.101006	Herde	Herde::N	flock	стадо	BSP:Schafherde	EX:of sheep	НАПР:овец	FLOCK (OF ANIMALS)	2939	
Dellert-2017-1016-134	134	72	-2.265435	Kuh	Kuh::N	cow	корова				COW	1007	
Dellert-2017-1016-135	135	210	-1.177871	Bulle	Bulle::N	bull	бык	männliches Rind	male bovine	самец коровы	BULL	1008	
Dellert-2017-1016-136	136	107	-2.29378	Pferd	Pferd::N	horse	лошадь				HORSE	615	
Dellert-2017-1016-137	137	548	-0.064581	Schaf	Schaf::N	sheep	овца				SHEEP	1331	
Dellert-2017-1016-138	138	892	0.060645	Schwein	Schwein::N	pig	свинья				PIG	1337	
Dellert-2017-1016-139	139	63	-2.211981	Hund	Hund::N	dog	собака				DOG	2009	
Dellert-2017-1016-140	140	510	-1.151708	Katze	Katze::N	cat	кошка				CAT	1208	
Dellert-2017-1016-141	141	245	-1.190992	Bär	Bär::N	bear	медведь				BEAR	1820	
Dellert-2017-1016-142	142	710	-0.098819	Eichhörnchen	Eichhörnchen::N	squirrel	белка				SQUIRREL	1628	
Dellert-2017-1016-143	143	600	-0.058561	Elch	Elch::N	elk	лось				ELK	1772	
Dellert-2017-1016-144	144	641	-0.058215	Fuchs	Fuchs::N	fox	лиса				FOX	1312	
Dellert-2017-1016-145	145	301	-1.148627	Hase	Hase::N	hare	заяц				HARE	1190	
Dellert-2017-1016-146	146	258	-1.1587	Maus	Maus::N	mouse	мышь				MOUSE	1491	
Dellert-2017-1016-147	147	223	-1.149471	Wolf	Wolf::N	wolf	волк				WOLF	522	
Dellert-2017-1016-148	148	272	-1.124271	Vogel	Vogel::N	bird	птица				BIRD	937	
Dellert-2017-1016-149	149	411	-1.183932	Schwarm	Schwarm::N	swarm	стая	BSP:Vogelschwarm	EX:of birds	НАПР:птиц	SWARM (OF BIRDS)	2974	
Dellert-2017-1016-150	150	594	-0.067001	Huhn	Huhn::N	chicken	курица				CHICKEN	1318	
Dellert-2017-1016-151	151	795	-0.082618	Hahn	Hahn::N	cock	петух	männliches Huhn	male chicken	самец курицы	ROOSTER	1511	
Dellert-2017-1016-152	152	144	-2.22007	Gans	Gans::N	goose	гусь				GOOSE	1187	
Dellert-2017-1016-153	153	627	-0.095774	Adler	Adler::N	eagle	орёл				EAGLE	1905	
Dellert-2017-1016-154	154	582	-0.089301	Ente	Ente::N	duck	утка				DUCK	1360	
Dellert-2017-1016-155	155	602	-0.05064	Eule	Eule::N	owl	сова				OWL	735	
Dellert-2017-1016-156	156	334	-1.16941	Kranich	Kranich::N	crane	журавль				CRANE	1830	
Dellert-2017-1016-157	157	300	-1.150809	Krähe	Krähe::N	crow	ворона				CROW	913	
Dellert-2017-1016-158	158	448	-1.199481	Kuckuck	Kuckuck::N	cuckoo	кукушка				CUCKOO	2934	
Dellert-2017-1016-159	159	418	-1.170563	Schwan	Schwan::N	swan	лебедь				SWAN	2837	
Dellert-2017-1016-160	160	77	-2.227773	Fisch	Fisch::N	fish	рыба				FISH	227	
Dellert-2017-1016-161	161	698	-0.031216	Barsch	Barsch::N	perch	окунь				PERCH (FISH)	2966	
Dellert-2017-1016-162	162	854	-0.042238	Hecht	Hecht::N	pike	щука				PIKE (FISH)	2967	
Dellert-2017-1016-163	163	573	-0.013457	Schlange[Tier]	Schlange[Tier]::N	snake	змея				SNAKE	730	
Dellert-2017-1016-164	164	466	-1.151688	Wurm	Wurm::N	worm	червяк				WORM	1219	
Dellert-2017-1016-165	165	824	-0.066669	Spinne	Spinne::N	spider	паук				SPIDER	843	
Dellert-2017-1016-166	166	876	-0.029387	Ameise	Ameise::N	ant	муравей				ANT	587	
Dellert-2017-1016-167	167	42	-2.253808	Laus	Laus::N	louse	вошь				LOUSE	1392	
Dellert-2017-1016-168	168	712	-0.088323	Mücke	Mücke::N	gnat	комар				MOSQUITO	1509	
Dellert-2017-1016-169	169	332	-1.175455	Fliege	Fliege::N	fly	муха	Insekt	insect	насекомое	FLY (INSECT)	1504	
Dellert-2017-1016-170	170	978	0.096064	Schmetterling	Schmetterling::N	butterfly	бабочка				BUTTERFLY	1791	
Dellert-2017-1016-171	171	445	-1.101713	Beere	Beere::N	berry	ягода	generische Bezeichnung	generic term	общee название	BERRY	904	
Dellert-2017-1016-172	172	703	-0.021588	Apfel	Apfel::N	apple	яблоко				APPLE	1320	
Dellert-2017-1016-173	173	920	0.048615	Pilz	Pilz::N	mushroom	гриб	generische Bezeichnung	generic term	общee название	MUSHROOM	641	
Dellert-2017-1016-174	174	882	0.008141	Zwiebel	Zwiebel::N	onion	луковица	essbar	edible	репчатый лук	ONION	2366	
Dellert-2017-1016-175	175	356	-1.122511	Saat	Saat::N	seed	семена	Saatgut	fertilized grain	для посева	SEED	714	
Dellert-2017-1016-176	176	201	-1.104008	Korn	Korn::N	grain	зерно	Einzelkorn	single grain	одно	GRAIN	605	not GRAIN
Dellert-2017-1016-177	177	161	-1.154437	Heu	Heu::N	hay	сено				HAY	342	
Dellert-2017-1016-178	178	545	-0.069049	Schale	Schale::N	peel, husk	кожура́, шелуха	BSP:eines Apfels	EX:of an apple	НАПР:яблока	SKIN (OF FRUIT)	2373	
Dellert-2017-1016-179	179	204	-1.191714	Grube	Grube::N	pit	яма	Loch im Boden	hole in the ground	углубление в земле	PIT (POTHOLE)	2539	
Dellert-2017-1016-180	180	782	-0.011876	Falle	Falle::N	trap	ловушка	BSP:Mausefalle	EX:mouse trap	НАПР:мышело́вка	TRAP (PITFALL)	1075	
Dellert-2017-1016-181	181	636	-0.075389	Schlinge	Schlinge::N	noose	петля	BSP:Schlaufe an Schnur	EX:on a rope	НАПР:на верёвке	NOOSE	2604	
Dellert-2017-1016-182	182	268	-1.135586	Spur	Spur::N	track	след	BSP:eines Tieres	EX:of an animal	НАПР:животного	FOOTPRINT	318	
Dellert-2017-1016-183	183	156	-1.174016	Asche	Asche::N	ash	зола	Überbleibsel eines Feuers	solid remains of a fire	пепел	ASH	646	
Dellert-2017-1016-184	184	781	-0.012997	Dreck	Dreck::N	filth	грязь	Verschmutzung	that which soils or defiles	то, что пачкает	DIRT	25	not distinct from DIRT
Dellert-2017-1016-185	185	131	-2.288841	Eisen	Eisen::N	iron	железо	Metall	metal	металл	IRON	621	
Dellert-2017-1016-186	186	146	-2.21276	Gold	Gold::N	gold	золото	Metall	metal	металл	GOLD	1369	
Dellert-2017-1016-187	187	333	-1.169798	Silber	Silber::N	silver	серебро	Metall	metal	металл	SILVER	759	
Dellert-2017-1016-188	188	281	-1.10517	Kohle	Kohle::N	coal	уголь	brennbare Substanz	combustible substance	горючее вещество	CHARCOAL	1188	
Dellert-2017-1016-189	189	720	-0.06915	Glas	Glas::N	glass	стекло	Material	transparent substance	прозрачный материал	GLASS	604	
Dellert-2017-1016-190	190	351	-1.13087	Lehm	Lehm::N	clay	глина	formbares Material	ductile material	пластичный материал	CLAY	1399	
Dellert-2017-1016-191	191	218	-1.165285	Sand	Sand::N	sand	песок	Material	material	материал	SAND	671	
Dellert-2017-1016-192	192	537	-0.078572	Mensch	Mensch::N	human	человек		human being		PERSON	683	
Dellert-2017-1016-193	193	231	-1.133574	Mann	Mann::N	man	мужчина	erwachsener männlicher Mensch	adult male human		MAN	1554	
Dellert-2017-1016-194	194	344	-1.148225	Frau	Frau::N	woman	женщина	erwachsener weiblicher Mensch			WOMAN	962	
Dellert-2017-1016-195	195	451	-1.186794	Kind	Kind::N	child	ребёнок	BSP:10 Jahre alt	EX:10 years old	НАПР:десятилетний	CHILD (YOUNG HUMAN)	1304	
Dellert-2017-1016-196	196	906	0.053323	Junge	Junge::N	boy	мальчик	männliches Kind	male child	ребёнок мужского пола	BOY	1366	
Dellert-2017-1016-197	197	689	-0.047849	Mädchen	Mädchen::N	girl	девочка	weibliches Kind	female child	ребёнок женского пола	GIRL	1646	
Dellert-2017-1016-198	198	810	-0.029355	Familie	Familie::N	family	семья	Gruppe nah verwandter Menschen, zusammenlebend	group of close relatives living together	группа близких родственников, живущих вместе	FAMILY	194	
Dellert-2017-1016-199	199	705	-0.015528	Großvater	Großvater::N	grandfather	дедушка	BSP:Vater des Vaters	EX:father's father	НАПР:отец отца	GRANDFATHER	1383	
Dellert-2017-1016-200	200	623	-0.005714	Großmutter	Großmutter::N	grandmother	бабушка	BSP:Mutter des Vaters	EX:father's mother	НАПР:мать отца	GRANDMOTHER	1496	
Dellert-2017-1016-201	201	945	0.057187	Eltern	Eltern::N	parents	родители				PARENTS	505	
Dellert-2017-1016-202	202	238	-1.106487	Vater	Vater::N	father	отец				FATHER	1217	
Dellert-2017-1016-203	203	188	-1.15385	Mutter	Mutter::N	mother	мать				MOTHER	1216	
Dellert-2017-1016-204	204	20	-2.202475	Sohn	Sohn::N	son	сын				SON	1620	
Dellert-2017-1016-205	205	135	-2.25425	Tochter	Tochter::N	daughter	дочь				DAUGHTER	1357	
Dellert-2017-1016-206	206	242	-1.194023	Bruder	Bruder::N	brother	брат	BSP:älterer Bruder	EX:elder brother	НАПР:старший брат	BROTHER	1262	
Dellert-2017-1016-207	207	185	-1.168282	Schwester	Schwester::N	sister	сестра	BSP:ältere Schwester	EX:elder sister	НАПР:старшая сестра	SISTER	1263	
