ID	NUMBER	ENGLISH	WORDPAIR	POS	SIM_LEX_999	CONCRETENESS_WORD1	CONCRETENESS_WORD2	CONCRETENESS	ASSOCIATION_STRENGTH	SIM_ASSOCIATION_333	CONCEPTICON_ID	CONCEPTICON_GLOSS
Hill-2015-999-22	22	narrow	word2-11	A	1.03	3.06	3.04	2	4.06	1	1267	NARROW
Hill-2015-999-23	23	bad	word1-12	A	8.42	1.68	1.92	1	3.41	1	1292	BAD
Hill-2015-999-24	24	awful	word2-12	A	8.42	1.68	1.92	1	3.41	1		
Hill-2015-999-25	25	easy	word1-13	A	0.58	2.07	2.21	1	2.83	1	686	EASY
Hill-2015-999-26	26	difficult	word2-13	A	0.58	2.07	2.21	1	2.83	1	584	DIFFICULT
Hill-2015-999-27	27	bad	word1-14	A	7.78	1.68	2.04	1	2.31	1	1292	BAD
Hill-2015-999-28	28	terrible	word2-14	A	7.78	1.68	2.04	1	2.31	1		
Hill-2015-999-29	29	hard	word1-15	A	1.38	3.76	1.62	2	2.16	1	1884	HARD
Hill-2015-999-30	30	simple	word2-15	A	1.38	3.76	1.62	2	2.16	1		
Hill-2015-999-31	31	smart	word1-16	A	0.55	1.75	2.36	1	2.1	1	2530	SMART
Hill-2015-999-32	32	dumb	word2-16	A	0.55	1.75	2.36	1	2.1	1	1492	DUMB
Hill-2015-999-33	33	insane	word1-17	A	9.57	1.77	2.37	1	2.09	1		
Hill-2015-999-34	34	crazy	word2-17	A	9.57	1.77	2.37	1	2.09	1		
Hill-2015-999-35	35	happy	word1-18	A	0.95	2.56	2.76	2	2.07	1	1495	HAPPY
Hill-2015-999-36	36	mad	word2-18	A	0.95	2.56	2.76	2	2.07	1	1899	MAD
Hill-2015-999-37	37	large	word1-19	A	9.47	3.37	3.54	2	2	1		
Hill-2015-999-38	38	huge	word2-19	A	9.47	3.37	3.54	2	2	1		
Hill-2015-999-39	39	hard	word1-20	A	8.05	3.76	2.5	2	1.99	1	1884	HARD
Hill-2015-999-40	40	tough	word2-20	A	8.05	3.76	2.5	2	1.99	1		
Hill-2015-999-41	41	new	word1-21	A	6.83	2.81	1.97	1	1.98	1	1231	NEW
Hill-2015-999-42	42	fresh	word2-21	A	6.83	2.81	1.97	1	1.98	1	243	FRESH
Hill-2015-999-43	43	sharp	word1-22	A	0.6	3.86	2.37	2	1.48	1	1396	SHARP
Hill-2015-999-44	44	dull	word2-22	A	0.6	3.86	2.37	2	1.48	1		
Hill-2015-999-45	45	quick	word1-23	A	9.7	2.89	3.07	2	1.38	1		
Hill-2015-999-46	46	rapid	word2-23	A	9.7	2.89	3.07	2	1.38	1		
Hill-2015-999-47	47	dumb	word1-24	A	6.67	2.36	1.84	1	1.34	1	1492	DUMB
Hill-2015-999-48	48	foolish	word2-24	A	6.67	2.36	1.84	1	1.34	1		
Hill-2015-999-49	49	wonderful	word1-25	A	8.63	1.82	2.07	1	1.17	1		
Hill-2015-999-50	50	terrific	word2-25	A	8.63	1.82	2.07	1	1.17	1		
Hill-2015-999-51	51	strange	word1-26	A	9.02	1.86	1.7	1	1.16	1	600	STRANGE
Hill-2015-999-52	52	odd	word2-26	A	9.02	1.86	1.7	1	1.16	1		
Hill-2015-999-53	53	happy	word1-27	A	1.28	2.56	2.53	1	1.15	1	1495	HAPPY
Hill-2015-999-54	54	angry	word2-27	A	1.28	2.56	2.53	1	1.15	1	1826	ANGRY
Hill-2015-999-55	55	narrow	word1-28	A	1.18	3.04	2.45	2	1	1	1267	NARROW
Hill-2015-999-56	56	broad	word2-28	A	1.18	3.04	2.45	2	1	1	2531	BROAD
Hill-2015-999-57	57	simple	word1-29	A	9.4	1.62	2.07	1	0.96	1		
Hill-2015-999-58	58	easy	word2-29	A	9.4	1.62	2.07	1	0.96	1	686	EASY
Hill-2015-999-59	59	old	word1-30	A	0.87	2.72	1.97	1	0.91	1	1229	OLD
Hill-2015-999-60	60	fresh	word2-30	A	0.87	2.72	1.97	1	0.91	1	243	FRESH
Hill-2015-999-61	61	apparent	word1-31	A	8.47	1.73	2.07	1	0.89	1		
Hill-2015-999-62	62	obvious	word2-31	A	8.47	1.73	2.07	1	0.89	1		
Hill-2015-999-63	63	inexpensive	word1-32	A	8.72	2.22	2.11	1	0.79	1		
Hill-2015-999-64	64	cheap	word2-32	A	8.72	2.22	2.11	1	0.79	1	1887	CHEAP
Hill-2015-999-65	65	nice	word1-33	A	5	2.18	2.25	1	0.77	1		
Hill-2015-999-66	66	generous	word2-33	A	5	2.18	2.25	1	0.77	1	3632	GENEROUS
Hill-2015-999-67	67	weird	word1-34	A	0.72	1.59	1.4	1	0.76	1		
Hill-2015-999-68	68	normal	word2-34	A	0.72	1.59	1.4	1	0.76	1		
Hill-2015-999-69	69	weird	word1-35	A	9.2	1.59	1.7	1	0.75	1		
Hill-2015-999-70	70	odd	word2-35	A	9.2	1.59	1.7	1	0.75	1		
Hill-2015-999-71	71	bad	word1-36	A	7.62	1.68	1.59	1	0.74	1	1292	BAD
Hill-2015-999-72	72	immoral	word2-36	A	7.62	1.68	1.59	1	0.74	1		
Hill-2015-999-73	73	sad	word1-37	A	0.95	3.07	2.5	2	0.74	1	699	SAD
Hill-2015-999-74	74	funny	word2-37	A	0.95	3.07	2.5	2	0.74	1	4038	FUNNY
Hill-2015-999-75	75	wonderful	word1-38	A	8.05	1.82	1.81	1	0.7	1		
Hill-2015-999-76	76	great	word2-38	A	8.05	1.82	1.81	1	0.7	1		
Hill-2015-999-77	77	guilty	word1-39	A	6.38	2.36	1.74	1	0.69	1	1682	GUILTY
Hill-2015-999-78	78	ashamed	word2-39	A	6.38	2.36	1.74	1	0.69	1	1894	ASHAMED
Hill-2015-999-79	79	beautiful	word1-40	A	6.5	2.16	1.82	1	0.68	1	1427	BEAUTIFUL
Hill-2015-999-80	80	wonderful	word2-40	A	6.5	2.16	1.82	1	0.68	1		
Hill-2015-999-81	81	confident	word1-41	A	8.27	2.62	1.73	1	0.68	1		
Hill-2015-999-82	82	sure	word2-41	A	8.27	2.62	1.73	1	0.68	1		
Hill-2015-999-83	83	dumb	word1-42	A	7.27	2.36	3.14	2	0.68	1	1492	DUMB
Hill-2015-999-84	84	dense	word2-42	A	7.27	2.36	3.14	2	0.68	1	2239	DENSE
Hill-2015-999-85	85	large	word1-43	A	9.55	3.37	3.66	2	0.68	1		
Hill-2015-999-86	86	big	word2-43	A	9.55	3.37	3.66	2	0.68	1	1202	BIG
Hill-2015-999-87	87	nice	word1-44	A	0.67	2.18	2.11	1	0.49	1		
Hill-2015-999-88	88	cruel	word2-44	A	0.67	2.18	2.11	1	0.49	1	500	CRUEL
Hill-2015-999-89	89	impatient	word1-45	A	6.03	2.38	1.68	1	0.47	1	3885	IMPATIENT
Hill-2015-999-90	90	anxious	word2-45	A	6.03	2.38	1.68	1	0.47	1		
Hill-2015-999-91	91	big	word1-46	A	6.73	3.66	2.45	2	0.47	1	1202	BIG
Hill-2015-999-92	92	broad	word2-46	A	6.73	3.66	2.45	2	0.47	1	2531	BROAD
Hill-2015-999-93	93	strong	word1-47	A	3.17	3.14	2.07	2	0.42	0	785	STRONG
Hill-2015-999-94	94	proud	word2-47	A	3.17	3.14	2.07	2	0.42	0	174	PROUD
Hill-2015-999-95	95	unnecessary	word1-48	A	0.63	1.56	1.8	1	0.41	0		
Hill-2015-999-96	96	necessary	word2-48	A	0.63	1.56	1.8	1	0.41	0	1030	NECESSARY
Hill-2015-999-97	97	restless	word1-49	A	1.6	2.46	3.16	2	0.41	0		
Hill-2015-999-98	98	young	word2-49	A	1.6	2.46	3.16	2	0.41	0	1207	YOUNG
Hill-2015-999-99	99	dumb	word1-50	A	0.75	2.36	2.46	1	0.37	0	1492	DUMB
Hill-2015-999-100	100	intelligent	word2-50	A	0.75	2.36	2.46	1	0.37	0		
Hill-2015-999-101	101	bad	word1-51	A	0.35	1.68	1.81	1	0.35	0	1292	BAD
Hill-2015-999-102	102	great	word2-51	A	0.35	1.68	1.81	1	0.35	0		
Hill-2015-999-103	103	difficult	word1-52	A	0.87	2.21	1.62	1	0.34	0	584	DIFFICULT
Hill-2015-999-104	104	simple	word2-52	A	0.87	2.21	1.62	1	0.34	0		
Hill-2015-999-105	105	necessary	word1-53	A	7.37	1.8	2.14	1	0.34	0	1030	NECESSARY
Hill-2015-999-106	106	important	word2-53	A	7.37	1.8	2.14	1	0.34	0	1285	IMPORTANT
Hill-2015-999-107	107	bad	word1-54	A	0.65	1.68	2.07	1	0.28	0	1292	BAD
Hill-2015-999-108	108	terrific	word2-54	A	0.65	1.68	2.07	1	0.28	0		
Hill-2015-999-109	109	mad	word1-55	A	1.45	2.76	2.36	1	0.28	0	1899	MAD
Hill-2015-999-110	110	glad	word2-55	A	1.45	2.76	2.36	1	0.28	0		
Hill-2015-999-111	111	honest	word1-56	A	1.18	1.66	2.36	1	0.27	0	1120	HONEST
Hill-2015-999-112	112	guilty	word2-56	A	1.18	1.66	2.36	1	0.27	0	1682	GUILTY
Hill-2015-999-113	113	easy	word1-57	A	0.52	2.07	2.5	1	0.27	0	686	EASY
Hill-2015-999-114	114	tough	word2-57	A	0.52	2.07	2.5	1	0.27	0		
Hill-2015-999-115	115	easy	word1-58	A	4.1	2.07	2.64	1	0.27	0	686	EASY
Hill-2015-999-116	116	flexible	word2-58	A	4.1	2.07	2.64	1	0.27	0	1691	FLEXIBLE
Hill-2015-999-117	117	certain	word1-59	A	8.42	1.68	1.73	1	0.23	0	509	CERTAIN
Hill-2015-999-118	118	sure	word2-59	A	8.42	1.68	1.73	1	0.23	0		
Hill-2015-999-119	119	essential	word1-60	A	8.97	1.52	1.8	1	0.21	0		
Hill-2015-999-120	120	necessary	word2-60	A	8.97	1.52	1.8	1	0.21	0	1030	NECESSARY
Hill-2015-999-121	121	different	word1-61	A	1.08	1.97	1.4	1	0.21	0	2504	DIFFERENT
Hill-2015-999-122	122	normal	word2-61	A	1.08	1.97	1.4	1	0.21	0		
Hill-2015-999-123	123	sly	word1-62	A	7.25	2.03	1.79	1	0.21	0		
Hill-2015-999-124	124	clever	word2-62	A	7.25	2.03	1.79	1	0.21	0	1310	CLEVER
Hill-2015-999-125	125	crucial	word1-63	A	8.82	2.08	2.14	1	0.21	0		
Hill-2015-999-126	126	important	word2-63	A	8.82	2.08	2.14	1	0.21	0	1285	IMPORTANT
Hill-2015-999-127	127	harsh	word1-64	A	8.18	2.23	2.11	1	0.21	0		
Hill-2015-999-128	128	cruel	word2-64	A	8.18	2.23	2.11	1	0.21	0	500	CRUEL
Hill-2015-999-129	129	childish	word1-65	A	5.5	2.52	1.84	1	0.21	0		
Hill-2015-999-130	130	foolish	word2-65	A	5.5	2.52	1.84	1	0.21	0		
Hill-2015-999-131	131	scarce	word1-66	A	9.17	2.57	1.96	1	0.21	0		
Hill-2015-999-132	132	rare	word2-66	A	9.17	2.57	1.96	1	0.21	0	209	RARE
Hill-2015-999-133	133	friendly	word1-67	A	5.9	2.32	2.25	1	0.21	0		
Hill-2015-999-134	134	generous	word2-67	A	5.9	2.32	2.25	1	0.21	0	3632	GENEROUS
Hill-2015-999-135	135	fragile	word1-68	A	2.38	2.86	3.28	2	0.21	0		
Hill-2015-999-136	136	frigid	word2-68	A	2.38	2.86	3.28	2	0.21	0		
Hill-2015-999-137	137	long	word1-69	A	3.57	3.18	3.04	2	0.21	0	1203	LONG
Hill-2015-999-138	138	narrow	word2-69	A	3.57	3.18	3.04	2	0.21	0	1267	NARROW
Hill-2015-999-139	139	big	word1-70	A	6.18	3.66	3.37	2	0.21	0	1202	BIG
Hill-2015-999-140	140	heavy	word2-70	A	6.18	3.66	3.37	2	0.21	0	1210	HEAVY
Hill-2015-999-141	141	rough	word1-71	A	2.47	3.83	3.28	2	0.21	0	1923	ROUGH
Hill-2015-999-142	142	frigid	word2-71	A	2.47	3.83	3.28	2	0.21	0		
Hill-2015-999-143	143	bizarre	word1-72	A	9.37	1.79	1.86	1	0.2	0		
Hill-2015-999-144	144	strange	word2-72	A	9.37	1.79	1.86	1	0.2	0	600	STRANGE
Hill-2015-999-145	145	illegal	word1-73	A	4.28	2.37	1.59	1	0.2	0		
Hill-2015-999-146	146	immoral	word2-73	A	4.28	2.37	1.59	1	0.2	0		
Hill-2015-999-147	147	bad	word1-74	A	4.2	1.68	2.36	1	0.2	0	1292	BAD
Hill-2015-999-148	148	guilty	word2-74	A	4.2	1.68	2.36	1	0.2	0	1682	GUILTY
Hill-2015-999-149	149	modern	word1-75	A	0.73	2.31	2.04	1	0.2	0		
Hill-2015-999-150	150	ancient	word2-75	A	0.73	2.31	2.04	1	0.2	0		
Hill-2015-999-151	151	new	word1-76	A	0.23	2.81	2.04	1	0.2	0	1231	NEW
Hill-2015-999-152	152	ancient	word2-76	A	0.23	2.81	2.04	1	0.2	0		
Hill-2015-999-153	153	dull	word1-77	A	0.55	2.37	2.5	1	0.2	0		
Hill-2015-999-154	154	funny	word2-77	A	0.55	2.37	2.5	1	0.2	0	4038	FUNNY
Hill-2015-999-156	156	young	word2-78	A	2	2.56	3.16	2	0.2	0	1207	YOUNG
Hill-2015-999-157	157	easy	word1-79	A	1.12	2.07	3.66	2	0.2	0	686	EASY
Hill-2015-999-158	158	big	word2-79	A	1.12	2.07	3.66	2	0.2	0	1202	BIG
Hill-2015-999-159	159	great	word1-80	A	1.17	1.81	1.92	1	0.15	0		
Hill-2015-999-160	160	awful	word2-80	A	1.17	1.81	1.92	1	0.15	0		
Hill-2015-999-161	161	tiny	word1-81	A	0.6	3.11	3.54	2	0.15	0		
Hill-2015-999-162	162	huge	word2-81	A	0.6	3.11	3.54	2	0.15	0		
Hill-2015-999-163	163	polite	word1-82	A	7.63	1.85	1.78	1	0.14	0	3300	POLITE
Hill-2015-999-164	164	proper	word2-82	A	7.63	1.85	1.78	1	0.14	0		
Hill-2015-999-165	165	modest	word1-83	A	2.65	2.21	1.74	1	0.14	0		
Hill-2015-999-166	166	ashamed	word2-83	A	2.65	2.21	1.74	1	0.14	0	1894	ASHAMED
Hill-2015-999-167	167	exotic	word1-84	A	8.05	2.11	1.96	1	0.14	0		
Hill-2015-999-168	168	rare	word2-84	A	8.05	2.11	1.96	1	0.14	0	209	RARE
Hill-2015-999-169	169	dumb	word1-85	A	1.17	2.36	1.79	1	0.14	0	1492	DUMB
Hill-2015-999-170	170	clever	word2-85	A	1.17	2.36	1.79	1	0.14	0	1310	CLEVER
Hill-2015-999-171	171	delightful	word1-86	A	8.65	2.38	1.82	1	0.14	0		
Hill-2015-999-172	172	wonderful	word2-86	A	8.65	2.38	1.82	1	0.14	0		
Hill-2015-999-173	173	noticeable	word1-87	A	8.48	2.29	2.07	1	0.14	0		
Hill-2015-999-174	174	obvious	word2-87	A	8.48	2.29	2.07	1	0.14	0		
Hill-2015-999-175	175	afraid	word1-88	A	5.07	2.7	1.68	1	0.14	0	1419	FEAR (BE AFRAID)
Hill-2015-999-176	176	anxious	word2-88	A	5.07	2.7	1.68	1	0.14	0		
Hill-2015-999-177	177	formal	word1-89	A	8.02	2.7	1.78	1	0.14	0		
Hill-2015-999-178	178	proper	word2-89	A	8.02	2.7	1.78	1	0.14	0		
Hill-2015-999-179	179	dreary	word1-90	A	8.25	2.33	2.37	1	0.14	0		
Hill-2015-999-180	180	dull	word2-90	A	8.25	2.33	2.37	1	0.14	0		
Hill-2015-999-181	181	delightful	word1-91	A	6.58	2.38	2.34	1	0.14	0		
Hill-2015-999-182	182	cheerful	word2-91	A	6.58	2.38	2.34	1	0.14	0	4037	CHEERFUL
Hill-2015-999-183	183	unhappy	word1-92	A	5.95	2.04	2.76	1	0.14	0	3974	UNHAPPY
Hill-2015-999-184	184	mad	word2-92	A	5.95	2.04	2.76	1	0.14	0	1899	MAD
Hill-2015-999-185	185	sad	word1-93	A	5.4	3.07	2.04	1	0.14	0	699	SAD
Hill-2015-999-186	186	terrible	word2-93	A	5.4	3.07	2.04	1	0.14	0		
Hill-2015-999-187	187	sick	word1-94	A	3.57	2.97	2.37	2	0.14	0	1847	SICK
Hill-2015-999-188	188	crazy	word2-94	A	3.57	2.97	2.37	2	0.14	0		
Hill-2015-999-189	189	violent	word1-95	A	6.98	3.1	2.53	2	0.14	0		
Hill-2015-999-190	190	angry	word2-95	A	6.98	3.1	2.53	2	0.14	0	1826	ANGRY
Hill-2015-999-191	191	laden	word1-96	A	5.9	2.96	3.37	2	0.14	0		
Hill-2015-999-192	192	heavy	word2-96	A	5.9	2.96	3.37	2	0.14	0	1210	HEAVY
Hill-2015-999-193	193	dirty	word1-97	A	1.6	4.23	2.11	2	0.14	0	1230	DIRTY
Hill-2015-999-194	194	cheap	word2-97	A	1.6	4.23	2.11	2	0.14	0	1887	CHEAP
Hill-2015-999-195	195	elastic	word1-98	A	7.78	3.73	2.64	2	0.14	0		
Hill-2015-999-196	196	flexible	word2-98	A	7.78	3.73	2.64	2	0.14	0	1691	FLEXIBLE
Hill-2015-999-197	197	hard	word1-99	A	5.9	3.76	3.14	2	0.14	0	1884	HARD
Hill-2015-999-198	198	dense	word2-99	A	5.9	3.76	3.14	2	0.14	0	2239	DENSE
Hill-2015-999-199	199	recent	word1-100	A	7.05	2.5	2.81	2	0.13	0		
Hill-2015-999-200	200	new	word2-100	A	7.05	2.5	2.81	2	0.13	0	1231	NEW
Hill-2015-999-201	201	bold	word1-101	A	3.97	2.43	2.07	1	0.12	0		
Hill-2015-999-202	202	proud	word2-101	A	3.97	2.43	2.07	1	0.12	0	174	PROUD
Hill-2015-999-203	203	sly	word1-102	A	1.97	2.03	1.86	1	0	0		
Hill-2015-999-204	204	strange	word2-102	A	1.97	2.03	1.86	1	0	0	600	STRANGE
Hill-2015-999-205	205	strange	word1-103	A	2.07	1.86	2.03	1	0	0	600	STRANGE
Hill-2015-999-206	206	sly	word2-103	A	2.07	1.86	2.03	1	0	0		
Hill-2015-999-207	207	dumb	word1-104	A	0.48	2.36	1.96	1	0	0	1492	DUMB
Hill-2015-999-208	208	rare	word2-104	A	0.48	2.36	1.96	1	0	0	209	RARE
Hill-2015-999-209	209	sly	word1-105	A	0.58	2.03	2.5	1	0	0		
Hill-2015-999-210	210	tough	word2-105	A	0.58	2.03	2.5	1	0	0		
Hill-2015-999-211	211	terrific	word1-106	A	0.4	2.07	2.76	1	0	0		
Hill-2015-999-212	212	mad	word2-106	A	0.4	2.07	2.76	1	0	0	1899	MAD
Hill-2015-999-213	213	modest	word1-107	A	0.98	2.21	2.64	1	0	0		
Hill-2015-999-214	214	flexible	word2-107	A	0.98	2.21	2.64	1	0	0	1691	FLEXIBLE
Hill-2015-999-215	215	fresh	word1-108	A	0.4	1.97	3.06	1	0	0	243	FRESH
Hill-2015-999-216	216	wide	word2-108	A	0.4	1.97	3.06	1	0	0	1243	WIDE
Hill-2015-999-217	217	huge	word1-109	A	0.48	3.54	2.36	2	0	0		
Hill-2015-999-218	218	dumb	word2-109	A	0.48	3.54	2.36	2	0	0	1492	DUMB
Hill-2015-999-219	219	large	word1-110	A	0.48	3.37	2.64	2	0	0		
Hill-2015-999-220	220	flexible	word2-110	A	0.48	3.37	2.64	2	0	0	1691	FLEXIBLE
Hill-2015-999-221	221	dirty	word1-111	A	0.3	4.23	3.04	2	0	0	1230	DIRTY
Hill-2015-999-222	222	narrow	word2-111	A	0.3	4.23	3.04	2	0	0	1267	NARROW
Hill-2015-999-223	223	wife	word1-112	N	2.3	4.13	4.11	3	8.85	1	1199	WIFE
Hill-2015-999-224	224	husband	word2-112	N	2.3	4.13	4.11	3	8.85	1	1200	HUSBAND
Hill-2015-999-225	225	book	word1-113	N	6.35	4.9	4.93	4	8.81	1	963	BOOK
Hill-2015-999-226	226	text	word2-113	N	6.35	4.9	4.93	4	8.81	1		
Hill-2015-999-227	227	groom	word1-114	N	3.17	4.54	4.63	3	8.65	1	3282	GROOM
Hill-2015-999-228	228	bride	word2-114	N	3.17	4.54	4.63	3	8.65	1	1266	BRIDE
Hill-2015-999-229	229	night	word1-115	N	1.88	4.52	3.92	3	8.19	1	1233	NIGHT
Hill-2015-999-230	230	day	word2-115	N	1.88	4.52	3.92	3	8.19	1	1225	DAY (NOT NIGHT)
Hill-2015-999-231	231	south	word1-116	N	2.2	3.84	4.14	3	7.72	1	1595	SOUTH
Hill-2015-999-232	232	north	word2-116	N	2.2	3.84	4.14	3	7.72	1	1598	NORTH
Hill-2015-999-233	233	plane	word1-117	N	3.65	4.92	4.87	4	7.57	1	1597	AIRPLANE
Hill-2015-999-234	234	airport	word2-117	N	3.65	4.92	4.87	4	7.57	1		
Hill-2015-999-235	235	uncle	word1-118	N	5.5	4.24	4.17	3	7.46	1	1327	UNCLE
Hill-2015-999-236	236	aunt	word2-118	N	5.5	4.24	4.17	3	7.46	1	1272	AUNT
Hill-2015-999-237	237	horse	word1-119	N	8.33	5	4.75	4	7.4	1	615	HORSE
Hill-2015-999-238	238	mare	word2-119	N	8.33	5	4.75	4	7.4	1	938	MARE
Hill-2015-999-239	239	bottom	word1-120	N	0.7	4.25	3.93	3	6.96	1	690	BOTTOM
Hill-2015-999-240	240	top	word2-120	N	0.7	4.25	3.93	3	6.96	1	1753	TOP
Hill-2015-999-241	241	friend	word1-121	N	8.78	3.07	3.48	2	6.87	1	1325	FRIEND
Hill-2015-999-242	242	buddy	word2-121	N	8.78	3.07	3.48	2	6.87	1		
Hill-2015-999-243	243	student	word1-122	N	9.35	4.92	4.55	3	6.83	1		
Hill-2015-999-244	244	pupil	word2-122	N	9.35	4.92	4.55	3	6.83	1	753	PUPIL (STUDENT)
Hill-2015-999-245	245	world	word1-123	N	6.67	4.36	4.59	3	6.79	1	965	WORLD
Hill-2015-999-246	246	globe	word2-123	N	6.67	4.36	4.59	3	6.79	1	2588	GLOBE
Hill-2015-999-247	247	leg	word1-124	N	2.88	4.83	4.96	4	6.73	1	1297	LEG
Hill-2015-999-248	248	arm	word2-124	N	2.88	4.83	4.96	4	6.73	1	1673	ARM
Hill-2015-999-249	249	plane	word1-125	N	8.1	4.92	4.77	4	6.62	1	1597	AIRPLANE
Hill-2015-999-250	250	jet	word2-125	N	8.1	4.92	4.77	4	6.62	1		
Hill-2015-999-251	251	woman	word1-126	N	3.33	4.46	4.79	3	6.6	1	962	WOMAN
Hill-2015-999-252	252	man	word2-126	N	3.33	4.46	4.79	3	6.6	1	1554	MAN
Hill-2015-999-253	253	horse	word1-127	N	7.07	5	4.96	4	6.54	1	615	HORSE
Hill-2015-999-254	254	colt	word2-127	N	7.07	5	4.96	4	6.54	1		
Hill-2015-999-255	255	actress	word1-128	N	7.12	4.54	4.57	3	5.78	1		
Hill-2015-999-256	256	actor	word2-128	N	7.12	4.54	4.57	3	5.78	1		
Hill-2015-999-257	257	teacher	word1-129	N	9.25	4.52	4.26	3	5.66	1	1038	TEACHER
Hill-2015-999-258	258	instructor	word2-129	N	9.25	4.52	4.26	3	5.66	1		
Hill-2015-999-259	259	movie	word1-130	N	8.87	4.59	4.71	3	5.43	1	216	MOVIE
Hill-2015-999-260	260	film	word2-130	N	8.87	4.59	4.71	3	5.43	1		
Hill-2015-999-261	261	bird	word1-131	N	7.85	5	4.93	4	5.29	1	937	BIRD
Hill-2015-999-262	262	hawk	word2-131	N	7.85	5	4.93	4	5.29	1	307	HAWK
Hill-2015-999-263	263	word	word1-132	N	3.68	3.56	4.62	3	5.2	1	1599	WORD
Hill-2015-999-264	264	dictionary	word2-132	N	3.68	3.56	4.62	3	5.2	1		
Hill-2015-999-265	265	money	word1-133	N	7.88	4.54	3.69	3	5.16	1	1559	MONEY
Hill-2015-999-266	266	salary	word2-133	N	7.88	4.54	3.69	3	5.16	1		
Hill-2015-999-267	267	dog	word1-134	N	1.75	4.85	4.86	4	5.13	1	2009	DOG
Hill-2015-999-268	268	cat	word2-134	N	1.75	4.85	4.86	4	5.13	1	1208	CAT
Hill-2015-999-269	269	area	word1-135	N	9.47	3.72	3.19	2	5.12	1	2980	AREA
Hill-2015-999-270	270	region	word2-135	N	9.47	3.72	3.19	2	5.12	1		
Hill-2015-999-271	271	navy	word1-136	N	6.43	3.93	4.7	3	5	1		
Hill-2015-999-272	272	army	word2-136	N	6.43	3.93	4.7	3	5	1	1561	ARMY
Hill-2015-999-273	273	book	word1-137	N	7.53	4.9	4.1	3	4.86	1	963	BOOK
Hill-2015-999-274	274	literature	word2-137	N	7.53	4.9	4.1	3	4.86	1		
Hill-2015-999-275	275	clothes	word1-138	N	3.27	4.76	4.83	4	4.83	1	1895	CLOTHES
Hill-2015-999-276	276	closet	word2-138	N	3.27	4.76	4.83	4	4.83	1		
Hill-2015-999-277	277	sunset	word1-139	N	2.47	4.54	4.69	3	4.8	1	2295	SUNSET
Hill-2015-999-278	278	sunrise	word2-139	N	2.47	4.54	4.69	3	4.8	1	2296	SUNRISE
Hill-2015-999-279	279	child	word1-140	N	2.98	4.78	4.4	3	4.59	1	2099	CHILD
Hill-2015-999-280	280	adult	word2-140	N	2.98	4.78	4.4	3	4.59	1	3635	ADULT
Hill-2015-999-281	281	cow	word1-141	N	9.52	4.96	4.64	4	4.39	1	1007	COW
Hill-2015-999-282	282	cattle	word2-141	N	9.52	4.96	4.64	4	4.39	1	1153	CATTLE
Hill-2015-999-283	283	book	word1-142	N	5.63	4.9	3.3	3	4.19	1	963	BOOK
Hill-2015-999-284	284	story	word2-142	N	5.63	4.9	3.3	3	4.19	1	2060	STORY
