ID	NUMBER	TURKISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	AOA_MEAN	AOA_MEAN_CHILDREN	AOA_MEAN_YOUNG	AOA_MEAN_MIDDLE	AOA_MEAN_OLD	MEAN_IMAGEABILITY	MEAN_CONCRETENESS	FREQUENCY	NUMBER_SYLLABLES	NUMBER_LETTERS
Goz-2017-600-25	25	avare	vagabond			4.63	3.38	5.55	4.85	4.27	3.37	3.07	2	3	5
Goz-2017-600-26	26	avuç	palm	1183	PALM OF HAND	1.8	1.71	1.83	2.01	1.66	6.2	6.63	71	2	4
Goz-2017-600-27	27	ayakkabı	shoe	1381	SHOE	1.61	1.63	1.51	1.65	1.63	6.44	6.88	147	4	8
Goz-2017-600-28	28	ayıp	indecency			1.83	1.76	1.93	1.95	1.7	3.06	1.97	75	2	4
Goz-2017-600-29	29	aykırı	contradictory			3.57	2.64	3.77	4.23	3.66	2.74	2.15	50	3	6
Goz-2017-600-30	30	ayna	mirror	1171	MIRROR	1.75	1.63	1.75	1.9	1.72	6.41	6.79	144	2	4
Goz-2017-600-31	31	azim	determination			3.43	2.51	3.93	3.8	3.52	2.45	1.88	10	2	4
Goz-2017-600-32	32	baba	father	1217	FATHER	1.2	1.14	1.16	1.21	1.28	6.5	5.92	1024	2	4
Goz-2017-600-33	33	bacak	leg	1297	LEG	1.56	1.54	1.41	1.7	1.59	6.5	6.86	185	2	5
Goz-2017-600-34	34	bağnaz	puritan			5.44	3.8	5.96	5.71	5.35	2.82	2.49	3	2	6
Goz-2017-600-35	35	bahar	spring (season)	1537	SPRINGTIME	1.85	1.72	1.9	1.95	1.84	5.46	4.94	74	2	5
Goz-2017-600-36	36	bal	honey	942	HONEY	1.67	1.68	1.56	1.79	1.63	6.37	6.84	69	1	3
Goz-2017-600-37	37	balık	fish	227	FISH	1.63	1.46	1.54	1.9	1.63	6.67	6.79	300	2	5
Goz-2017-600-38	38	balkon	balcony			1.99	1.7	1.79	2.17	2.24	6.45	6.87	57	2	6
Goz-2017-600-39	39	barınak	shelter			3.02	2.17	3.23	3.62	3.09	5.47	6.43	16	3	7
Goz-2017-600-40	40	barış	peace	1338	PEACE	2.4	1.81	2.45	2.76	2.57	3.43	2.44	67	2	5
Goz-2017-600-41	41	basınç	pressure			4.26	3.37	4.25	4.92	4.46	3.25	4.85	83	2	6
Goz-2017-600-42	42	başarı	success	4089	SUCCESS	2.37	1.98	2.38	2.72	2.39	3.56	2.52	304	3	6
Goz-2017-600-43	43	başıboş	unattended			3.04	2.52	3.57	3.44	2.71	2.97	2.82	20	3	7
Goz-2017-600-44	44	bayi	dealer			4.42	2.89	4.94	4.87	4.94	4.85	6.26	51	2	4
Goz-2017-600-45	45	bayrak	flag	2623	FLAG	1.84	1.77	1.8	2.03	1.76	6.51	6.59	55	2	6
Goz-2017-600-46	46	bayram	festival			1.66	1.59	1.64	1.78	1.61	4.71	3.99	127	2	6
Goz-2017-600-47	47	beceri	skill			3.21	2.21	3.1	3.75	3.71	2.99	2.95	63	3	6
Goz-2017-600-48	48	belâ	trouble			2.84	2.19	3.2	3.4	2.61	2.7	1.93	58	2	4
Goz-2017-600-49	49	belde	town	1391	TOWN	4.35	2.9	4.76	5.08	4.54	3.71	5.35	24	2	5
Goz-2017-600-50	50	belge	document			3.65	2.32	3.46	4.52	4.22	5.03	6.5	190	2	5
Goz-2017-600-51	51	bencil	selfish			3.76	2.55	3.69	4.41	4.32	3.06	2.06	14	2	6
Goz-2017-600-52	52	berber	barber			1.99	1.83	1.99	2.18	1.97	6.24	6.61	7	2	6
Goz-2017-600-53	53	beyaz	white	1335	WHITE	1.7	1.63	1.68	1.76	1.72	6	5.04	282	2	5
Goz-2017-600-54	54	bıçak	knife	1352	KNIFE	1.7	1.68	1.77	1.8	1.58	6.55	6.87	100	2	5
Goz-2017-600-55	55	biber	pepper	1385	PEPPER	1.69	1.58	1.74	1.86	1.58	6.51	6.75	73	2	5
Goz-2017-600-56	56	bilek	wrist	799	WRIST	1.89	1.77	1.9	2.17	1.76	6.06	6.82	42	2	5
Goz-2017-600-57	57	bilgi	information	4044	INFORMATION	2.5	1.99	2.46	3.07	2.48	2.65	2.53	985	2	5
Goz-2017-600-58	58	bilimci	scientist			4.33	2.68	4.26	4.91	5.3	3.66	5.46	18	3	7
Goz-2017-600-59	59	bilişim	informatics			5.36	2.92	5.84	6.07	6.46	2.6	3.7	29	3	7
Goz-2017-600-60	60	bina	building	3396	BUILDING	1.99	1.74	1.82	2.41	1.98	6.05	6.78	313	2	4
Goz-2017-600-61	61	bisiklet	bicycle	747	BICYCLE	1.87	1.59	1.69	2.25	1.92	6.51	6.86	64	3	8
Goz-2017-600-62	62	bitki	plant	653	PLANT (VEGETATION)	2.11	1.86	2.12	2.45	2.02	5.89	6.6	234	2	5
Goz-2017-600-63	63	blok	block			4.19	2.68	4.2	4.89	4.87	4.15	5.55	51	2	4
Goz-2017-600-64	64	boğa	bull	1008	BULL	2.16	1.9	2.2	2.51	2.04	6.18	6.84	38	2	4
Goz-2017-600-65	65	borçlu	indebted			3.22	2.28	3.65	3.7	3.28	3.08	4.32	32	2	6
Goz-2017-600-66	66	boru	pipe			2.19	1.97	2.39	2.3	2.13	6.32	6.89	80	2	4
Goz-2017-600-67	67	boya	paint	647	PAINT (PIGMENTS)	1.76	1.69	1.62	1.99	1.73	5.35	6.43	98	2	4
Goz-2017-600-68	68	boza	fermented millet drink			3.56	3.02	3.89	4.1	3.24	6.33	6.64	4	2	4
Goz-2017-600-69	69	böcek	insect	620	INSECT	1.5	1.43	1.46	1.62	1.49	6.32	6.75	37	2	5
Goz-2017-600-70	70	bölüm	section			3.19	2.28	3.06	3.79	3.58	3.1	3.93	682	2	5
Goz-2017-600-71	71	brüt	gross			5.3	3.49	5.58	5.7	5.68	2.39	2.99	6	1	4
Goz-2017-600-72	72	bulut	cloud	1489	CLOUD	1.79	1.65	1.68	1.98	1.83	6.45	6.29	66	2	5
Goz-2017-600-73	73	bunalım	depression	3877	DEPRESSION	4.34	2.89	4.76	5.1	4.61	3.17	1.94	51	3	7
Goz-2017-600-74	74	bunaltı	gloom			3.93	2.75	4.15	4.43	4.36	3.14	3.16	2	3	7
Goz-2017-600-75	75	buz	ice	617	ICE	1.85	1.63	2	1.93	1.85	6.42	6.74	75	1	3
Goz-2017-600-76	76	büro	office	2430	OFFICE	4.02	2.93	3.7	4.76	4.57	5.43	6.37	69	2	4
Goz-2017-600-77	77	büyü	magic	392	MAGIC	3.41	2.2	3.4	4.1	3.87	2.92	1.78	11	2	4
Goz-2017-600-78	78	cadde	street	1362	STREET	2.21	1.94	2.15	2.58	2.18	6.11	6.52	320	2	5
Goz-2017-600-79	79	cami	mosque	1603	MOSQUE	1.81	1.76	1.79	1.93	1.76	6.56	6.59	188	2	4
Goz-2017-600-80	80	cansız	lifeless			2.6	2.26	2.66	3.18	2.32	4.19	5.29	13	2	6
Goz-2017-600-81	81	ceket	jacket	2770	JACKET	1.89	1.7	1.99	2.03	1.83	6.39	7	64	2	5
Goz-2017-600-82	82	cenaze	funeral	3336	FUNERAL	2.36	2.08	2.44	2.69	2.24	5.4	5.51	45	3	6
Goz-2017-600-83	83	cenin	embryo			5.78	3.26	6.14	5.96	6.18	4.36	5.72	5	2	5
Goz-2017-600-84	84	cennet	heaven	1565	HEAVEN	2.34	2	2.52	2.67	2.2	3.76	1.76	84	2	6
Goz-2017-600-85	85	cesur	brave	3	BRAVE	2.58	2.01	2.77	3.01	2.54	3.49	2.25	39	2	5
Goz-2017-600-86	86	cevap	answer			2.03	1.83	1.85	2.29	2.12	3.99	4.35	381	2	5
Goz-2017-600-87	87	cılk	festering (wound)			4.17	3.02	5.27	4.3	3.63	2.4	3.03	3	1	4
Goz-2017-600-88	88	cihaz	device			3.65	2.42	3.71	3.94	4.43	4.76	6.43	173	2	5
Goz-2017-600-89	89	cinayet	homicide	845	MURDER	3.34	1.59	3.43	3.83	3.51	4.5	4.71	105	3	7
Goz-2017-600-90	90	cisim	object			3.01	2.31	2.9	3.63	3.15	3.64	5.84	68	2	5
Goz-2017-600-91	91	çabuk	quick	1631	FAST	1.89	1.77	1.97	2.03	1.8	2.98	2.4	141	2	5
Goz-2017-600-92	92	çağrı	call	2944	CALL (APPEAL)	3.49	2.41	3.64	3.77	4.11	3.23	3.9	58	2	5
Goz-2017-600-93	93	çamaşır	laundry			1.77	1.71	1.77	1.9	1.72	6.04	6.78	52	3	7
Goz-2017-600-94	94	çare	cure			3.23	2.32	3.73	3.58	3.32	3.26	2.11	113	2	4
Goz-2017-600-95	95	çehre	countenance			3.5	3.11	4.28	4.06	2.65	4.88	6.02	15	2	5
Goz-2017-600-96	96	çelenk	wreath	2589	WREATH	3.42	2.82	3.58	3.92	3.45	6.08	6.71	4	2	6
Goz-2017-600-97	97	çerçeve	frame	2624	FRAME	2.09	1.86	2.05	2.52	1.95	6.11	6.76	179	3	7
Goz-2017-600-98	98	çığlık	scream	2522	SCREAM (NOISE)	2.18	1.81	2.18	2.5	2.24	4.6	5.2	74	2	6
Goz-2017-600-99	99	çiçek	flower	239	FLOWER	1.58	1.45	1.52	1.73	1.59	6.61	6.67	177	2	5
Goz-2017-600-100	100	çiçekçi	florist			2.21	1.7	1.77	2.77	2.5	6.12	6.53	10	3	7
Goz-2017-600-101	101	çikolata	chocolate	3873	CHOCOLATE	1.78	1.5	1.44	1.97	2.13	6.49	6.91	115	4	8
Goz-2017-600-102	102	çirkin	ugly	1548	UGLY	1.96	1.64	1.79	2.45	1.94	4.08	2.61	63	2	6
Goz-2017-600-103	103	çocuk	child	2099	CHILD	1.51	1.44	1.43	1.54	1.59	6.36	6.45	2326	2	5
Goz-2017-600-104	104	çömlek	pottery			2.65	2.46	2.99	2.95	2.27	5.18	6.85	12	2	6
Goz-2017-600-105	105	çubuk	stick	1295	STICK	1.86	1.58	1.94	2.21	1.72	5.13	6.47	45	2	5
Goz-2017-600-106	106	çukur	pit	2539	PIT (POTHOLE)	2.11	2	2.25	2.26	1.94	5.93	6.39	70	2	5
Goz-2017-600-107	107	damar	vein	1924	VEIN	2.68	2.3	3.1	2.98	2.41	5.29	6.52	96	2	5
Goz-2017-600-108	108	damla	drop	3748	DROP (OF A LIQUID)	2.14	1.97	2.09	2.48	2.03	5.87	6.64	84	2	5
Goz-2017-600-109	109	dans	dance	3472	DANCE (MOVEMENT)	2.37	1.76	1.77	3	2.82	4.96	5.1	68	1	4
Goz-2017-600-110	110	davet	invitation			2.91	2.18	3.03	3.6	2.85	4.26	3.66	53	2	5
Goz-2017-600-111	111	dayak	whipping			1.84	1.86	2.09	1.84	1.62	4.67	4.85	76	2	5
Goz-2017-600-112	112	dede	grandfather	1383	GRANDFATHER	1.52	1.42	1.46	1.65	1.54	6.39	6.48	118	2	4
Goz-2017-600-113	113	delik	hole	1667	HOLE	1.87	1.76	2.03	1.95	1.78	5.65	6.09	111	2	5
Goz-2017-600-114	114	demir	iron	621	IRON	2.08	1.87	2.34	2.29	1.87	5.5	6.77	135	2	5
Goz-2017-600-115	115	deniz	sea	1474	SEA	1.84	1.58	1.47	2.28	1.98	6.49	6.57	509	2	5
Goz-2017-600-116	116	depo	warehouse	3399	WAREHOUSE	2.96	2.19	3.22	3.56	2.9	5.58	6.67	92	2	4
Goz-2017-600-117	117	dere	brook	3821	BROOK	1.97	1.79	2.11	2.18	1.84	5.96	6.86	58	2	4
Goz-2017-600-118	118	deri	leather	629	LEATHER	2.19	2.04	2.62	2.23	1.96	5.55	6.74	204	2	4
Goz-2017-600-119	119	dert	trouble			3.27	2.41	3.6	3.83	3.29	3.44	2.16	158	1	4
Goz-2017-600-120	120	devlet	state	2955	STATE (POLITICS)	3.11	2.57	3.39	3.51	2.99	3.73	3.73	902	2	6
Goz-2017-600-121	121	deyim	idiom			3.38	2.67	3.23	4.09	3.51	3.11	2.84	60	2	5
Goz-2017-600-122	122	dikiş	seam			2.18	1.97	2.51	2.21	2.06	5.52	6.33	24	2	5
Goz-2017-600-123	123	din	religion	661	RELIGION	2.22	2.01	2.4	2.62	1.91	3.38	2.22	261	1	3
Goz-2017-600-124	124	dinamik	dynamic			4.26	2.71	4.73	4.81	4.77	3	2.76	81	3	7
Goz-2017-600-125	125	dizgin	reins			3.87	2.7	4.9	4.37	3.49	3.42	5.31	8	2	6
Goz-2017-600-126	126	dostluk	friendship	3954	FRIENDSHIP	2.57	1.95	2.83	2.84	2.67	4.07	1.97	86	2	7
Goz-2017-600-127	127	dram	drama			4.15	3.04	4.34	4.76	4.42	2.82	2.84	50	1	4
Goz-2017-600-128	128	dua	prayer	4100	PRAYER	1.82	1.75	1.9	1.97	1.67	4	2.84	51	2	3
Goz-2017-600-129	129	dudak	lip	478	LIP	1.71	1.63	1.61	1.89	1.71	6.46	6.8	157	2	5
Goz-2017-600-130	130	duygulu	sentimental			2.99	2.03	3.3	3.58	3.09	3.44	2.02	16	3	7
Goz-2017-600-131	131	dükkân	shop	746	SHOP	1.89	1.76	1.94	2.09	1.81	6.17	6.73	205	2	6
Goz-2017-600-132	132	dürüst	honest	1120	HONEST	2.84	2.06	3	3.55	2.8	3.3	2.09	54	2	6
Goz-2017-600-133	133	ebleh	imbecile			5.71	3.3	6.06	6	5.55	1.85	2.67	2	2	5
Goz-2017-600-134	134	ekonomi	economy			4.33	2.87	3.89	4.97	5.37	3.21	3.47	336	4	7
Goz-2017-600-135	135	ekran	screen			3.4	2	2.38	3.45	5.43	6.27	6.74	144	2	5
Goz-2017-600-136	136	elektrik	electricity	59	ELECTRICITY	2.3	1.99	2.01	2.56	2.57	4.57	5.31	260	4	8
Goz-2017-600-137	137	elem	sorrow	1668	GRIEF	4.44	2.82	5.56	4.57	3.92	2.32	1.78	11	2	4
Goz-2017-600-138	138	eleştirmen	critic			4.68	3.06	4.41	5.51	2.5	3.8	5.34	22	4	10
Goz-2017-600-139	139	elma	apple	1320	APPLE	1.52	1.51	1.43	1.53	1.59	6.73	6.95	64	2	4
Goz-2017-600-140	140	enerjik	energetic			3.95	2.86	3.45	4.55	4.79	3.65	2.69	14	3	7
Goz-2017-600-141	141	engel	obstacle			2.75	2.08	3.18	3.19	2.63	3.97	4.42	126	2	5
Goz-2017-600-142	142	enginar	artichoke	3997	ARTICHOKE	3.92	2.76	3.84	4.85	4.14	5.59	6.74	31	3	7
Goz-2017-600-143	143	erozyon	erosion			4.09	2.99	4.43	4.17	2.76	4.26	6.01	21	3	7
Goz-2017-600-144	144	esinti	breeze	3982	BREEZE	2.89	2.27	3.22	3.19	2.92	3.99	5.36	17	3	6
Goz-2017-600-145	145	esir	captive			3.14	2.32	3.73	3.57	3.02	4.64	5.06	30	2	4
Goz-2017-600-146	146	espri	joke	3425	JOKE	3.61	2.4	3.42	4.15	4.35	3.61	2.76	28	2	5
Goz-2017-600-147	147	eşek	donkey	1862	DONKEY	1.59	1.52	1.66	1.72	1.49	6.4	6.8	52	2	4
Goz-2017-600-148	148	eşit	equal	1570	EQUAL	2.72	2.05	2.96	3.17	2.72	3.57	2.78	103	2	4
Goz-2017-600-149	149	eşsiz	unique			3.7	2.48	3.86	4.5	3.95	2.16	2.35	36	2	5
Goz-2017-600-150	150	eşya	item	2981	ITEM	1.7	1.47	1.67	1.85	1.79	5.15	6.56	199	2	4
Goz-2017-600-151	151	et	meat	634	MEAT	1.67	1.5	1.75	1.9	1.56	6.43	6.76	259	1	2
Goz-2017-600-152	152	etken	factor			4.3	3.01	4.86	4.91	4.39	2.57	2.98	104	2	5
Goz-2017-600-153	153	ev	house	1252	HOUSE	1.45	1.37	1.41	1.51	1.49	6.54	6.69	1887	1	2
Goz-2017-600-154	154	evlât	offspring	1801	CHILD (DESCENDANT)	2.34	2.03	2.71	2.55	2.15	5.29	6	78	2	5
Goz-2017-600-155	155	evrensel	universal			4.71	2.95	4.71	5.52	5.52	2.27	2.2	55	3	8
Goz-2017-600-156	156	faiz	interest (money)	2062	INTEREST	4.84	3.34	4.98	5.73	5.24	3.24	4.15	216	2	4
Goz-2017-600-157	157	faks	fax			5	3.06	4.25	5.87	6.48	5.78	6.66	129	1	4
Goz-2017-600-158	158	fâni	mortal			4.08	2.6	4.4	4.84	4.32	2.49	2.45	9	2	4
Goz-2017-600-159	159	fazlalık	redundancy			3.02	2.28	3.22	3.5	3.09	3.12	3.99	17	3	8
Goz-2017-600-160	160	felâket	disaster			3.06	2.36	3.47	3.52	2.97	3.86	3.4	68	3	7
Goz-2017-600-161	161	festival	festival	131	FESTIVAL	4.27	2.7	4.21	4.96	5.08	5.04	5.07	25	3	8
Goz-2017-600-162	162	fırça	brush	1821	BRUSH	2.01	1.75	1.93	2.3	2.05	6.11	6.73	52	2	5
Goz-2017-600-163	163	fincan	cup	476	CUP	2.04	1.92	2.1	2.2	1.94	6.47	6.94	15	2	6
Goz-2017-600-164	164	fobi	phobia			4.47	2.89	4.38	5.5	4.97	3.28	2.15	3	2	4
Goz-2017-600-165	165	formül	formula			4.19	2.89	4.13	4.76	4.89	4.08	4.58	50	2	6
Goz-2017-600-166	166	fotoğraf	photograph			1.87	1.75	1.64	2.01	2.04	6.27	6.62	335	3	8
Goz-2017-600-167	167	fuar	fair (exhibition)			3.85	2.64	3.85	4.4	4.4	5.29	5.89	102	2	4
Goz-2017-600-168	168	füze	rocket	4070	ROCKET	4.04	2.54	4.01	4.32	5.17	5.99	6.7	13	2	4
Goz-2017-600-169	169	gaddar	brutal	4104	BRUTAL	3.94	2.82	4.42	4.17	4.28	3.05	2.59	2	2	6
Goz-2017-600-170	170	garanti	guarantee			4.13	2.5	4.14	4.91	4.87	2.78	3.16	72	3	7
Goz-2017-600-171	171	garson	waiter			2.77	2.09	2.43	3.37	3.13	6.24	6.61	90	2	6
Goz-2017-600-172	172	gazete	newspaper	1298	NEWSPAPER	2.09	1.78	1.88	2.41	2.24	6.51	6.81	532	3	6
Goz-2017-600-173	173	geçerlik	validity			4.49	2.74	5.19	4.98	4.75	1.62	1.63	4	3	8
Goz-2017-600-174	174	gelin	bride	1266	BRIDE	2	1.81	1.98	2.19	2.02	6.18	6.28	67	2	5
Goz-2017-600-175	175	gemi	ship	740	SHIP	2.05	1.61	1.93	2.41	2.23	6.61	6.92	164	2	4
Goz-2017-600-176	176	gerçeklik	reality			3.87	2.42	3.65	4.65	4.58	1.89	2.06	35	3	9
Goz-2017-600-177	177	gezi	trip			2.21	1.77	2.05	2.47	2.49	4.6	4.98	74	2	4
Goz-2017-600-178	178	gıcırtı	squeak			2.41	2.1	2.8	2.58	2.23	4.03	5.29	12	3	7
Goz-2017-600-179	179	girift	intricate			6.01	2.84	6.37	6.36	6.17	1.52	2.92	5	2	6
Goz-2017-600-180	180	giyim	clothing	1895	CLOTHES	1.88	1.67	2	1.96	1.91	5.71	5.45	74	2	5
Goz-2017-600-181	181	giysi	clothes	1895	CLOTHES	2.02	1.72	1.76	2.02	2.5	6.08	6.54	125	2	5
Goz-2017-600-182	182	göl	lake	624	LAKE	2.19	1.94	2.3	2.62	1.93	6.38	6.76	115	1	3
Goz-2017-600-183	183	gölge	shadow	1388	SHADE	2.37	1.79	3.01	2.61	2.18	5.05	5.55	105	2	5
Goz-2017-600-184	184	gömlek	shirt	1622	SHIRT	1.9	1.65	1.94	2.12	1.91	6.64	6.89	73	2	6
Goz-2017-600-185	185	gözlük	eyeglasses			1.95	1.62	1.67	2.19	2.25	6.63	6.87	78	2	6
Goz-2017-600-186	186	gravür	engraving			6.12	3.43	6.37	6.49	6.07	2.68	5.63	3	3	6
Goz-2017-600-187	187	gurur	pride	3915	PRIDE	3.11	2.23	3.26	3.53	3.4	2.68	1.69	60	2	5
Goz-2017-600-188	188	gül	rose			1.75	1.63	1.78	1.89	1.7	6.42	6.79	116	1	3
Goz-2017-600-189	189	gülüş	smile			1.96	1.8	1.87	2.12	2.03	5.32	4.66	28	2	5
Goz-2017-600-190	190	gün	day	1260	DAY (24 HOURS)	1.62	1.51	1.52	1.85	1.6	3.22	3.81	2633	1	3
Goz-2017-600-191	191	gündüz	daytime	1225	DAY (NOT NIGHT)	1.71	1.53	1.83	1.89	1.61	4.94	5.27	57	2	6
Goz-2017-600-192	192	güney	south	1595	SOUTH	2.67	2.2	2.97	3.24	2.35	4.25	3.66	138	2	5
Goz-2017-600-193	193	gürültü	noise	1182	NOISE	2	1.84	1.91	2.11	2.11	4.55	5.29	131	3	7
Goz-2017-600-194	194	haber	news	2964	NEWS	2.43	1.83	2.56	2.77	2.54	4.21	4.55	598	2	5
Goz-2017-600-195	195	hacim	volume			3.7	3.19	4.03	4.17	3.46	3.5	4.94	66	2	5
Goz-2017-600-196	196	haksız	unjust			2.83	2.17	3.13	3.37	2.7	2.67	2.3	55	2	6
Goz-2017-600-197	197	hamile	pregnant	1123	PREGNANT	2.15	1.93	1.95	2.51	2.17	6.44	6.45	35	3	6
Goz-2017-600-198	198	hamur	dough	273	DOUGH	1.81	1.69	1.8	1.96	1.8	5.91	6.55	85	2	5
Goz-2017-600-199	199	haraç	tribute			4.57	3.01	4.77	5.2	5.09	3.52	5.02	8	2	5
Goz-2017-600-200	200	harf	letter			2	1.98	2.13	2.21	1.73	5.56	6.02	93	1	4
Goz-2017-600-201	201	harika	wonder			2.48	1.81	2.17	2.96	2.91	2.87	1.44	77	3	6
Goz-2017-600-202	202	harita	map	2625	MAP	2.59	2.28	2.51	3.03	2.54	6.26	6.7	61	3	6
Goz-2017-600-203	203	hasar	damage	2947	DAMAGE (INJURY)	3.32	2.33	3.37	4.02	3.55	3.94	4.47	62	2	5
Goz-2017-600-204	204	hastane	hospital	616	HOSPITAL	3.31	1.66	1.78	2.12	2.06	6.34	6.68	209	3	7
Goz-2017-600-205	205	haşarı	mischievous			1.91	3.03	4.54	3.36	2.48	3.99	2.85	5	3	6
Goz-2017-600-206	206	hata	error	1293	MISTAKE	2.1	1.9	2.26	2.3	1.97	3.16	2.9	215	2	4
Goz-2017-600-207	207	havuz	swimming pool			2.29	1.79	1.78	2.78	2.69	6.45	6.83	71	2	5
Goz-2017-600-208	208	hayat	life	210	LIFE	2.46	1.87	2.47	2.82	2.66	2.91	3	1024	2	5
Goz-2017-600-209	209	haydut	bandit			3.35	2.63	3.88	3.43	3.48	4.95	5.87	9	2	6
Goz-2017-600-210	210	hayret	astonishment			2.65	2.17	2.85	2.91	2.68	2.95	1.9	60	2	6
Goz-2017-600-211	211	hayta	punk			4.4	3.41	4.44	4.91	4.59	2.46	2.74	2	2	5
Goz-2017-600-212	212	hayvan	animal	619	ANIMAL	1.58	1.52	1.59	1.72	1.48	6.1	6.49	334	2	6
Goz-2017-600-213	213	haz	pleasure	3916	PLEASURE	4.84	3.13	5.84	3.37	4.63	2.93	1.59	41	1	3
Goz-2017-600-214	214	heykel	sculpture			2.67	2.17	2.49	3.04	2.93	6.26	6.78	69	2	6
Goz-2017-600-215	215	hırçınlık	peevishness			3.01	2.5	3.23	3.36	2.95	3.21	2.1	6	3	9
Goz-2017-600-216	216	hırs	greed			3.48	2.41	3.92	3.87	3.73	2.83	1.71	66	1	4
Goz-2017-600-217	217	hizmet	service			3.24	2.27	3.65	4.03	3.09	3.46	2.95	471	2	6
Goz-2017-600-218	218	hormon	hormone			5.03	3.37	4.95	6.15	5.55	3.02	5.36	59	2	6
Goz-2017-600-219	219	horultu	snore			2.76	2.23	2.98	3.2	2.65	4.85	5.36	2	3	7
Goz-2017-600-220	220	hoşnut	pleased			3.6	2.74	3.71	4.27	3.65	3.42	2.19	6	2	6
Goz-2017-600-221	221	hukuk	law	1062	LAW	4.33	2.71	4.44	5.14	4.97	3.32	3.79	182	2	5
Goz-2017-600-222	222	hüzün	sadness	3854	SADNESS	3.05	2.25	3.08	3.78	3.07	3.41	1.68	75	2	5
Goz-2017-600-223	223	ılık	lukewarm			1.94	1.82	1.91	2.16	1.89	4.16	4.63	54	2	4
Goz-2017-600-224	224	ıslak	wet	1726	WET	1.79	1.75	1.75	1.97	1.69	5.25	5.91	50	2	5
Goz-2017-600-225	225	ıslık	whistle	3107	WHISTLE (INSTRUMENT)	2.05	2.01	2.32	2.11	1.81	4.81	5.49	20	2	5
Goz-2017-600-226	226	ısrar	insistence			2.73	2	2.85	3.1	2.95	2.84	2.04	52	2	5
Goz-2017-600-227	227	ibadet	worship	257	WORSHIP	2.54	2.19	3.11	2.84	2.13	4.6	2.67	73	3	6
Goz-2017-600-228	228	içki	drink (alcoholic)	731	BEVERAGE	3.06	2.27	3.13	3.52	3.3	6.02	6.44	141	2	4
