ID	NUMBER	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	MEANING_1	FREQ_MEANING_1	MEANING_2	FREQ_MEANING_2	DOMINANCE_SCORE	FREQ_MEANING_1_AMERICAN_EN	FREQ_RAW_BNC	FREQ_LOG	BIGRAM_LOG_BNC	NUMBER_WORD_SENSE_WORDSMYTH	NUMBER_WORDSENSE_WORDNET	SEMANTIC_DIVERSITY	IMAGEABILITY	CONCRETENESS	FAMILIARITY
Maciejewski-2016-100-29	29	corn	MAIZE	506	a tall cereal plant that produces cylinder-shaped ears with rows of edible yellow or white seeds	79.91	a small area of hard, calloused skin on the toe or foot	20.09	0.7	89	11.84	1.07	3.2	8	9	1.45	5.8	5.76	4.69
Maciejewski-2016-100-30	30	corn			a tall cereal plant that produces cylinder-shaped ears with rows of edible yellow or white seeds	79.91	a small area of hard, calloused skin on the toe or foot	20.09	0.7	89	11.84	1.07	3.2	8	9	1.45	5.8	5.76	4.69
Maciejewski-2016-100-31	31	crash			(of a vehicle or moving object) to strike violently (against or through something)	90.69	a coarsely woven fabric made of irregular or rough yarn	5.52	0.95	91	26.73	1.43	2.83	18	17	1.64	5.34	NA	5.13
Maciejewski-2016-100-32	32	crash			(of a vehicle or moving object) to strike violently (against or through something)	90.69	a coarsely woven fabric made of irregular or rough yarn	5.52	0.95	91	26.73	1.43	2.83	18	17	1.64	5.34	NA	5.13
Maciejewski-2016-100-33	33	dam			a barrier built usually across a waterway to restrict flow and raise the water level	91.69	a female parent, especially of a four-legged mammal	5.82	0.93	88	6.81	0.83	2.3	5	4	1.53	NA	NA	3.2
Maciejewski-2016-100-34	34	dam			a barrier built usually across a waterway to restrict flow and raise the water level	91.69	a female parent, especially of a four-legged mammal	5.82	0.93	88	6.81	0.83	2.3	5	4	1.53	NA	NA	3.2
Maciejewski-2016-100-35	35	ear	EAR	1247	the organ of hearing in man and vertebrate animals	85.78	the seed-bearing part of a plant such as corn	14.12	0.87	81	29.59	1.47	2.68	6	5	1.73	5.97	6.4	5.6
Maciejewski-2016-100-36	36	ear			the organ of hearing in man and vertebrate animals	85.78	the seed-bearing part of a plant such as corn	14.12	0.87	81	29.59	1.47	2.68	6	5	1.73	5.97	6.4	5.6
Maciejewski-2016-100-37	37	egg	EGG	744	a reproductive cell within the female; ovum	78.86	to incite or encourage to act (usually followed by on)	21.14	0.7	85	24.16	1.38	1.62	5	5	1.44	5.99	6.13	6.08
Maciejewski-2016-100-38	38	egg			a reproductive cell within the female; ovum	78.86	to incite or encourage to act (usually followed by on)	21.14	0.7	85	24.16	1.38	1.62	5	5	1.44	5.99	6.13	6.08
Maciejewski-2016-100-39	39	fan	FAN (OBJECT)	1971	a hand-held device that opens out to form a triangular shape and that is used to cool the face or body by waving back and forth	45.87	an enthusiastic follower of an activity such as a sport or a performing art or of a person or persons who engage in that activity	54.13	0.21	45	18.09	1.26	3.16	8	7	1.69	5.82	5.57	5.2
Maciejewski-2016-100-40	40	fan			a hand-held device that opens out to form a triangular shape and that is used to cool the face or body by waving back and forth	45.87	an enthusiastic follower of an activity such as a sport or a performing art or of a person or persons who engage in that activity	54.13	0.21	45	18.09	1.26	3.16	8	7	1.69	5.82	5.57	5.2
Maciejewski-2016-100-41	41	fleet			a group of naval ships under one command or grouped for one purpose	75.74	swift and nimble	24.26	0.68	79	24.66	1.39	2.75	8	7	1.54	3.52	5.2	4.01
Maciejewski-2016-100-42	42	fleet			a group of naval ships under one command or grouped for one purpose	75.74	swift and nimble	24.26	0.68	79	24.66	1.39	2.75	8	7	1.54	3.52	5.2	4.01
Maciejewski-2016-100-43	43	flight			an act of passing through air or space by flying	72.87	an act or instance of fleeing	27.08	0.59	83	56.02	1.75	2.62	7	12	1.5	4.87	NA	5.31
Maciejewski-2016-100-44	44	flight			an act of passing through air or space by flying	72.87	an act or instance of fleeing	27.08	0.59	83	56.02	1.75	2.62	7	12	1.5	4.87	NA	5.31
Maciejewski-2016-100-45	45	flock	FLOCK (OF ANIMALS)	2939	a group of animals or birds of one kind keeping or kept together, such as geese or sheep	87.53	a tuft, as of wool or other fiber	12.38	0.86	90	8.1	0.91	2.82	9	7	1.63	5.16	4.77	4.34
Maciejewski-2016-100-46	46	flock			a group of animals or birds of one kind keeping or kept together, such as geese or sheep	87.53	a tuft, as of wool or other fiber	12.38	0.86	90	8.1	0.91	2.82	9	7	1.63	5.16	4.77	4.34
Maciejewski-2016-100-47	47	fly	FLY (MOVE THROUGH AIR)	1441	to move through the air by means of wings	54.75	any of a variety of small, winged insects, especially the common housefly	42.67	0.21	57	39.88	1.6	1.75	15	20	1.62	5.82	5.25	5.37
Maciejewski-2016-100-48	48	fly	FLY (INSECT)	1504	to move through the air by means of wings	54.75	any of a variety of small, winged insects, especially the common housefly	42.67	0.21	57	39.88	1.6	1.75	15	20	1.62	5.82	5.25	5.37
Maciejewski-2016-100-49	49	forge			a furnace or hearth where metal is heated to be worked or shaped	43.36	to move ahead gradually but with determination	52.45	0.52	67	4.92	0.69	2.99	9	9	1.91	2.86	NA	4.08
Maciejewski-2016-100-50	50	forge			a furnace or hearth where metal is heated to be worked or shaped	43.36	to move ahead gradually but with determination	52.45	0.52	67	4.92	0.69	2.99	9	9	1.91	2.86	NA	4.08
Maciejewski-2016-100-51	51	fry	FRY	991	to cook in hot butter, oil, or other fat	90.23	very young fish	9.76	0.87	88	12.3	1.09	1.95	10	6	1.28	NA	NA	4.87
Maciejewski-2016-100-52	52	fry			to cook in hot butter, oil, or other fat	90.23	very young fish	9.76	0.87	88	12.3	1.09	1.95	10	6	1.28	NA	NA	4.87
Maciejewski-2016-100-53	53	gin			an alcoholic liquor made from grain distilled with juniper berries	92.23	a machine designed to remove the seeds from raw cotton; cotton gin	7.47	0.91	72	5.73	0.76	1.71	4	6	1.47	5.55	6.39	5.21
Maciejewski-2016-100-54	54	gin			an alcoholic liquor made from grain distilled with juniper berries	92.23	a machine designed to remove the seeds from raw cotton; cotton gin	7.47	0.91	72	5.73	0.76	1.71	4	6	1.47	5.55	6.39	5.21
Maciejewski-2016-100-55	55	hide	HIDE	2486	to put or hold out of sight; keep from view; conceal	75.98	the skin of one of the larger animals such as a buffalo or cow	23.92	0.66	73	26.39	1.42	2.93	6	6	1.83	4.3	4.51	5.15
Maciejewski-2016-100-56	56	hide	LEATHER OR HIDE	3326	to put or hold out of sight; keep from view; conceal	75.98	the skin of one of the larger animals such as a buffalo or cow	23.92	0.66	73	26.39	1.42	2.93	6	6	1.83	4.3	4.51	5.15
Maciejewski-2016-100-57	57	hiding	HIDE (CONCEAL)	602	the act or condition of concealing or being concealed	74.38	a thrashing, flogging, or severe beating	25.37	0.65	97	14.58	1.16	2.95	3	1	1.78	NA	NA	NA
Maciejewski-2016-100-58	58	hiding			the act or condition of concealing or being concealed	74.38	a thrashing, flogging, or severe beating	25.37	0.65	97	14.58	1.16	2.95	3	1	1.78	NA	NA	NA
Maciejewski-2016-100-59	59	host	HOST	1545	a person who provides hospitality such as food, entertainment, or lodging for guests	81.69	a very large number of people or things	17.99	0.76	75	34.33	1.54	3.4	6	11	1.96	NA	NA	NA
Maciejewski-2016-100-60	60	host			a person who provides hospitality such as food, entertainment, or lodging for guests	81.69	a very large number of people or things	17.99	0.76	75	34.33	1.54	3.4	6	11	1.96	NA	NA	NA
Maciejewski-2016-100-61	61	jam			to force or pack tightly into a small space	38.01	a sweet spread usually made by cooking crushed fruit and sugar	58.71	0.39	47	9.82	0.99	1.66	13	11	1.6	5.69	5.63	5.29
Maciejewski-2016-100-62	62	jam			to force or pack tightly into a small space	38.01	a sweet spread usually made by cooking crushed fruit and sugar	58.71	0.39	47	9.82	0.99	1.66	13	11	1.6	5.69	5.63	5.29
Maciejewski-2016-100-63	63	keen			extremely sharp; able to cut readily and finely	44.09	a loud, mournful wailing for the dead	7.74	0.78	90	38.02	1.58	3.5	5	6	2.08	2.3	3.36	5.62
Maciejewski-2016-100-64	64	keen			extremely sharp; able to cut readily and finely	44.09	a loud, mournful wailing for the dead	7.74	0.78	90	38.02	1.58	3.5	5	6	2.08	2.3	3.36	5.62
Maciejewski-2016-100-65	65	launch			to propel with force	87.06	a large open boat propelled by a motor	12.94	0.83	81	34.02	1.53	2.68	8	8	1.86	4.02	NA	4.63
Maciejewski-2016-100-66	66	launch			to propel with force	87.06	a large open boat propelled by a motor	12.94	0.83	81	34.02	1.53	2.68	8	8	1.86	4.02	NA	4.63
Maciejewski-2016-100-67	67	lawn			a stretch or plot of ground planted with grass or other low-growing ground covers and usually mowed short	90.35	a fine, sheer, woven fabric, usually of cotton or linen	9.65	0.92	97	10.59	1.02	2.86	2	1	1.42	5.98	5.88	5.01
Maciejewski-2016-100-68	68	lawn			a stretch or plot of ground planted with grass or other low-growing ground covers and usually mowed short	90.35	a fine, sheer, woven fabric, usually of cotton or linen	9.65	0.92	97	10.59	1.02	2.86	2	1	1.42	5.98	5.88	5.01
Maciejewski-2016-100-69	69	lean	LEAN (MEAT)	2219	to bend or incline	59.18	having little flesh	40.62	0.39	56	13.41	1.13	3.37	11	10	1.73	3.39	3.95	4.91
Maciejewski-2016-100-70	70	lean			to bend or incline	59.18	having little flesh	40.62	0.39	56	13.41	1.13	3.37	11	10	1.73	3.39	3.95	4.91
Maciejewski-2016-100-71	71	limp	LIMP	366	to walk in an uneven, labored, lame manner	53.88	not stiff, rigid, or firm; floppy or flabby	46.12	0.32	52	5.62	0.75	3.05	5	5	1.59	4.18	4.81	4.5
Maciejewski-2016-100-72	72	limp			to walk in an uneven, labored, lame manner	53.88	not stiff, rigid, or firm; floppy or flabby	46.12	0.32	52	5.62	0.75	3.05	5	5	1.59	4.18	4.81	4.5
Maciejewski-2016-100-73	73	lock	LOCK	1596	a mechanical device for preventing entry through a door or window or into a safe, usually opened with a key or combination	81.86	a curl or portion of hair	18.14	0.75	77	24.19	1.38	2.95	12	15	1.67	5.32	5.65	5.88
Maciejewski-2016-100-74	74	lock			a mechanical device for preventing entry through a door or window or into a safe, usually opened with a key or combination	81.86	a curl or portion of hair	18.14	0.75	77	24.19	1.38	2.95	12	15	1.67	5.32	5.65	5.88
Maciejewski-2016-100-75	75	mail	MAIL	167	the system organized to send and deliver letters, parcels, and the like; postal system	87.68	flexible armor made of overlapped or linked metal rings	12.32	0.85	83	36.05	1.56	3.22	6	7	1.7	5.65	5.08	5.94
Maciejewski-2016-100-76	76	mail			the system organized to send and deliver letters, parcels, and the like; postal system	87.68	flexible armor made of overlapped or linked metal rings	12.32	0.85	83	36.05	1.56	3.22	6	7	1.7	5.65	5.08	5.94
Maciejewski-2016-100-77	77	mat	MAT	195	a piece of material, especially a strong carpet fabric such as wool, that is used as a covering to protect a floor or other surface	80.58	a piece of cardboard or other stiff material that acts as a frame for a picture or as a border between a picture and its frame	17.56	0.82	68	5.61	0.75	3.06	9	10	1.85	5.37	5.13	4.9
Maciejewski-2016-100-78	78	mat			a piece of material, especially a strong carpet fabric such as wool, that is used as a covering to protect a floor or other surface	80.58	a piece of cardboard or other stiff material that acts as a frame for a picture or as a border between a picture and its frame	17.56	0.82	68	5.61	0.75	3.06	9	10	1.85	5.37	5.13	4.9
Maciejewski-2016-100-79	79	mate			a marriage partner; husband or wife	82.1	in chess, the placing of a king in a check from which there is no escape; checkmate	17.8	0.76	76	15.66	1.19	3.12	12	12	1.6	4.72	5.07	6.4
Maciejewski-2016-100-80	80	mate			a marriage partner; husband or wife	82.1	in chess, the placing of a king in a check from which there is no escape; checkmate	17.8	0.76	76	15.66	1.19	3.12	12	12	1.6	4.72	5.07	6.4
Maciejewski-2016-100-81	81	meal	MEAL	1526	an occasion when food is prepared and eaten at a specific time	85.93	coarsely ground grain, such as corn	13.57	0.84	83	42.72	1.63	3.11	3	3	1.58	5.73	6.02	6.03
Maciejewski-2016-100-82	82	meal			an occasion when food is prepared and eaten at a specific time	85.93	coarsely ground grain, such as corn	13.57	0.84	83	42.72	1.63	3.11	3	3	1.58	5.73	6.02	6.03
Maciejewski-2016-100-83	83	mint			any of a variety of aromatic plants often cultivated as a source of fragrant oils for flavorings such as peppermint or spearmint	67.42	a factory or plant where money is produced under the authority of the government	24.07	0.62	60	7.22	0.86	3.23	7	7	1.47	4.85	NA	5.25
Maciejewski-2016-100-84	84	mint			any of a variety of aromatic plants often cultivated as a source of fragrant oils for flavorings such as peppermint or spearmint	67.42	a factory or plant where money is produced under the authority of the government	24.07	0.62	60	7.22	0.86	3.23	7	7	1.47	4.85	NA	5.25
Maciejewski-2016-100-85	85	mortar	MORTAR BINDER	1731	a heavy bowl-like receptacle in which substances are ground or pounded into powder	36.28	a bonding substance made from cement or lime, sand, and water and used to hold in place bricks, stones, or the like	56.39	0.46	48	6.5	0.81	2.63	6	4	1.28	4.49	5.48	3.68
Maciejewski-2016-100-86	86	mortar	MORTAR CRUSHER	224	a heavy bowl-like receptacle in which substances are ground or pounded into powder	36.28	a bonding substance made from cement or lime, sand, and water and used to hold in place bricks, stones, or the like	56.39	0.46	48	6.5	0.81	2.63	6	4	1.28	4.49	5.48	3.68
Maciejewski-2016-100-87	87	mount	GO UP (ASCEND)	705	to climb	61.71	a mountain or high hill	37.59	0.55	80	18.56	1.27	3.36	11	13	1.95	3.76	NA	4.56
Maciejewski-2016-100-88	88	mount			to climb	61.71	a mountain or high hill	37.59	0.55	80	18.56	1.27	3.36	11	13	1.95	3.76	NA	4.56
Maciejewski-2016-100-89	89	novel			a relatively long work of prose fiction, usually having a plot and characters	67.79	new and unusual	32.21	0.5	76	44.94	1.65	2.89	2	4	1.34	5.47	5.29	5.3
Maciejewski-2016-100-90	90	novel			a relatively long work of prose fiction, usually having a plot and characters	67.79	new and unusual	32.21	0.5	76	44.94	1.65	2.89	2	4	1.34	5.47	5.29	5.3
Maciejewski-2016-100-91	91	pack			a container for goods or belongings, usually flexible and carried on the back	82.91	to fraudulently manipulate, as by choosing, for one's own purposes	9.47	0.88	83	33.68	1.53	3.33	17	22	1.82	4.04	NA	5.72
Maciejewski-2016-100-92	92	pack			a container for goods or belongings, usually flexible and carried on the back	82.91	to fraudulently manipulate, as by choosing, for one's own purposes	9.47	0.88	83	33.68	1.53	3.33	17	22	1.82	4.04	NA	5.72
Maciejewski-2016-100-93	93	pad			a piece of soft material used as cushioning to protect from abrasion or impact, such as a cushion, mat, or thick piece of blanket or quilt	73.66	a soft sound of footsteps	20.65	0.7	79	7.29	0.86	3.12	14	11	1.75	NA	NA	NA
Maciejewski-2016-100-94	94	pad			a piece of soft material used as cushioning to protect from abrasion or impact, such as a cushion, mat, or thick piece of blanket or quilt	73.66	a soft sound of footsteps	20.65	0.7	79	7.29	0.86	3.12	14	11	1.75	NA	NA	NA
Maciejewski-2016-100-95	95	palm	PALM OF HAND	1183	the inner surface of the hand, between the wrist and the base of the fingers	66.26	any of numerous mainly tropical evergreen plants, usually an unbranched tree having a crown of large divided leaves, or fronds	33.79	0.46	69	13.87	1.14	2.88	7	5	1.59	5.55	5.96	5.15
Maciejewski-2016-100-96	96	palm	PALM TREE	1181	the inner surface of the hand, between the wrist and the base of the fingers	66.26	any of numerous mainly tropical evergreen plants, usually an unbranched tree having a crown of large divided leaves, or fronds	33.79	0.46	69	13.87	1.14	2.88	7	5	1.59	5.55	5.96	5.15
Maciejewski-2016-100-97	97	peel	PEEL	275	to pull, tear, or cut the outer covering from	90.41	a spadelike instrument with a long handle used for putting goods to be baked into an oven, or for removing them again	8.64	0.91	91	7.79	0.89	2.79	7	6	1.46	4.75	4.32	4.23
Maciejewski-2016-100-98	98	peel			to pull, tear, or cut the outer covering from	90.41	a spadelike instrument with a long handle used for putting goods to be baked into an oven, or for removing them again	8.64	0.91	91	7.79	0.89	2.79	7	6	1.46	4.75	4.32	4.23
Maciejewski-2016-100-99	99	peer			a person of the same rank, status, age group, ability, or the like as another person	55.28	to look closely, searchingly, or with difficulty	44.72	0.37	65	9.36	0.97	3	4	3	1.81	3.11	4.06	4.85
Maciejewski-2016-100-100	100	peer			a person of the same rank, status, age group, ability, or the like as another person	55.28	to look closely, searchingly, or with difficulty	44.72	0.37	65	9.36	0.97	3	4	3	1.81	3.11	4.06	4.85
Maciejewski-2016-100-101	101	pen	PEN	794	any of various instruments used for writing or drawing in ink	74.58	a small, usually fenced enclosure for animals	25.12	0.64	78	20	1.3	2.8	7	6	1.76	5.76	5.71	5.54
Maciejewski-2016-100-102	102	pen			any of various instruments used for writing or drawing in ink	74.58	a small, usually fenced enclosure for animals	25.12	0.64	78	20	1.3	2.8	7	6	1.76	5.76	5.71	5.54
Maciejewski-2016-100-103	103	pet			an animal, usually domesticated or tamed, kept in one's home for companionship rather than practical use	91.2	a sulky mood or fit of temper; peeve; petulance	8.4	0.9	93	14.5	1.16	3.02	8	7	1.39	5.89	5.57	5.41
Maciejewski-2016-100-104	104	pet			an animal, usually domesticated or tamed, kept in one's home for companionship rather than practical use	91.2	a sulky mood or fit of temper; peeve; petulance	8.4	0.9	93	14.5	1.16	3.02	8	7	1.39	5.89	5.57	5.41
Maciejewski-2016-100-105	105	pine	PINE	1740	any of numerous evergreen trees that have clustered, needle-shaped leaves and bear cones	63.47	to be affected with great desire and longing (often followed by for)	36.53	0.46	76	11.01	1.04	3.03	4	3	1.47	4.78	5.92	4.62
Maciejewski-2016-100-106	106	pine			any of numerous evergreen trees that have clustered, needle-shaped leaves and bear cones	63.47	to be affected with great desire and longing (often followed by for)	36.53	0.46	76	11.01	1.04	3.03	4	3	1.47	4.78	5.92	4.62
Maciejewski-2016-100-107	107	pink	PINK	3446	a pale reddish color; the color that results when white and red paint are mixed	93.85	to cut a scalloped or notched edge on	5.8	0.95	98	33.22	1.52	2.8	8	7	1.54	NA	NA	NA
Maciejewski-2016-100-108	108	pink			a pale reddish color; the color that results when white and red paint are mixed	93.85	to cut a scalloped or notched edge on	5.8	0.95	98	33.22	1.52	2.8	8	7	1.54	NA	NA	NA
Maciejewski-2016-100-109	109	pit	PIT (POTHOLE)	2539	a comparatively wide and deep hole dug or existing in the ground	71.82	the hard seed at the center of an apricot, cherry, plum, or certain other fruits	24	0.63	59	17.47	1.24	2.27	16	11	1.67	5.89	5.93	4.93
Maciejewski-2016-100-110	110	pit			a comparatively wide and deep hole dug or existing in the ground	71.82	the hard seed at the center of an apricot, cherry, plum, or certain other fruits	24	0.63	59	17.47	1.24	2.27	16	11	1.67	5.89	5.93	4.93
Maciejewski-2016-100-111	111	plane	AIRPLANE	1597	a flat or level surface	33.99	any of various carpentry tools with an adjustable blade, used to make surfaces of wood smooth, true, grooved, or the like	26.29	0.52	78	36.2	1.56	3.03	10	9	1.58	5.56	5.35	5.58
Maciejewski-2016-100-112	112	plane			a flat or level surface	33.99	any of various carpentry tools with an adjustable blade, used to make surfaces of wood smooth, true, grooved, or the like	26.29	0.52	78	36.2	1.56	3.03	10	9	1.58	5.56	5.35	5.58
Maciejewski-2016-100-113	113	plot	PLOT	2024	the story line or sequence of events in a novel, play, or the like	57.66	a small piece of land, especially one used for a specific purpose	42.04	0.36	60	22.07	1.34	2.53	8	7	1.67	4.2	3.79	5.15
Maciejewski-2016-100-114	114	plot			the story line or sequence of events in a novel, play, or the like	57.66	a small piece of land, especially one used for a specific purpose	42.04	0.36	60	22.07	1.34	2.53	8	7	1.67	4.2	3.79	5.15
Maciejewski-2016-100-115	115	plump			rounded in appearance; somewhat chubby	85.57	to come down quickly and with all one's weight	14.33	0.79	84	6.34	0.8	2.23	11	7	1.49	5	NA	4.45
Maciejewski-2016-100-116	116	plump			rounded in appearance; somewhat chubby	85.57	to come down quickly and with all one's weight	14.33	0.79	84	6.34	0.8	2.23	11	7	1.49	5	NA	4.45
Maciejewski-2016-100-117	117	pool			any small area of liquid that has collected on a surface; puddle; pond	68.32	a grouping of businesses or individuals for the purpose of combining resources and deriving common benefit from their association	26.04	0.62	58	48.08	1.68	2.88	11	11	1.64	5.77	5.73	5.41
Maciejewski-2016-100-118	118	pool			any small area of liquid that has collected on a surface; puddle; pond	68.32	a grouping of businesses or individuals for the purpose of combining resources and deriving common benefit from their association	26.04	0.62	58	48.08	1.68	2.88	11	11	1.64	5.77	5.73	5.41
Maciejewski-2016-100-119	119	pose			to take or hold a bodily position, as in modeling clothing or having one's likeness painted or photograph taken	71.76	to puzzle or embarrass with a difficult problem or question	28.24	0.58	74	11.94	1.08	3.04	8	9	2.02	3.64	NA	4.56
Maciejewski-2016-100-120	120	pose			to take or hold a bodily position, as in modeling clothing or having one's likeness painted or photograph taken	71.76	to puzzle or embarrass with a difficult problem or question	28.24	0.58	74	11.94	1.08	3.04	8	9	2.02	3.64	NA	4.56
Maciejewski-2016-100-121	121	prop			to support, stabilize, or sustain with or as if with a beam, stick, stone, or the like	48.76	a piece of furniture or other article used for a theatrical presentation or the like; stage property	50.34	0.28	52	6.39	0.81	2.66	6	4	1.29	2.51	4.74	4.65
