ID	NUMBER	PICTURE_CODE	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Dunabeitia-2022-500-36	36	57	stamp	596	POSTAGE STAMP
Dunabeitia-2022-500-37	37	61	newspaper	1298	NEWSPAPER
Dunabeitia-2022-500-38	38	62	wasp	1517	WASP
Dunabeitia-2022-500-39	39	63	balcony		
Dunabeitia-2022-500-40	40	64	button	757	BUTTON
Dunabeitia-2022-500-41	41	66	roof	769	ROOF
Dunabeitia-2022-500-42	42	67	couch	3099	SOFA
Dunabeitia-2022-500-43	43	68	candle	1273	CANDLE
Dunabeitia-2022-500-44	44	69	banana	868	BANANA
Dunabeitia-2022-500-45	45	70	orchestra		
Dunabeitia-2022-500-46	46	71	trophy		
Dunabeitia-2022-500-47	47	72	cheese	1569	CHEESE
Dunabeitia-2022-500-48	48	73	wave	978	WAVE
Dunabeitia-2022-500-49	49	74	tractor		
Dunabeitia-2022-500-50	50	75	balloon	3083	BALLOON
Dunabeitia-2022-500-51	51	76	broccoli	3726	BROCCOLI
Dunabeitia-2022-500-52	52	77	camel	1871	CAMEL
Dunabeitia-2022-500-53	53	78	key	1472	KEY
Dunabeitia-2022-500-54	54	79	keyboard		
Dunabeitia-2022-500-55	55	80	helicopter	2580	HELICOPTER
Dunabeitia-2022-500-56	56	81	meat	634	MEAT
Dunabeitia-2022-500-57	57	82	park		
Dunabeitia-2022-500-58	58	83	heart	1223	HEART
Dunabeitia-2022-500-59	59	84	mask	2005	MASK
Dunabeitia-2022-500-60	60	85	diamond	3878	DIAMOND
Dunabeitia-2022-500-61	61	86	river	666	RIVER
Dunabeitia-2022-500-62	62	87	robot	4006	ROBOT
Dunabeitia-2022-500-63	63	88	crutch		
Dunabeitia-2022-500-64	64	90	moon	1313	MOON
Dunabeitia-2022-500-65	65	91	mouth	674	MOUTH
Dunabeitia-2022-500-66	66	92	seal	651	SEAL
Dunabeitia-2022-500-67	67	96	milk	635	MILK
Dunabeitia-2022-500-68	68	97	feather	1201	FEATHER
Dunabeitia-2022-500-69	69	98	tiger	846	TIGER
Dunabeitia-2022-500-70	70	99	painting	3303	PICTURE (PAINTING)
Dunabeitia-2022-500-71	71	100	nose	1221	NOSE
Dunabeitia-2022-500-72	72	101	drum set		
Dunabeitia-2022-500-73	73	102	hair	2648	HAIR (HEAD)
Dunabeitia-2022-500-74	74	104	elevator	4033	ELEVATOR
Dunabeitia-2022-500-75	75	105	deer	1936	DEER
Dunabeitia-2022-500-76	76	106	green house		
Dunabeitia-2022-500-77	77	107	saxophone	4024	SAXOPHONE
Dunabeitia-2022-500-78	78	108	calendar	1967	CALENDAR
Dunabeitia-2022-500-79	79	110	desk	1775	TABLE
Dunabeitia-2022-500-80	80	111	dragon	2038	DRAGON
Dunabeitia-2022-500-81	81	112	lung	688	LUNG
Dunabeitia-2022-500-82	82	113	lake	624	LAKE
Dunabeitia-2022-500-83	83	114	fruit	1507	FRUIT
Dunabeitia-2022-500-84	84	115	hippopotamus	3145	HIPPOPOTAMUS
Dunabeitia-2022-500-85	85	116	fire	221	FIRE
Dunabeitia-2022-500-86	86	117	horse	615	HORSE
Dunabeitia-2022-500-87	87	118	wound	1109	WOUND
Dunabeitia-2022-500-88	88	121	maze		
Dunabeitia-2022-500-89	89	122	chair	1476	CHAIR
Dunabeitia-2022-500-90	90	124	corner	192	CORNER
Dunabeitia-2022-500-91	91	125	kiwi	3247	KIWIFRUIT
Dunabeitia-2022-500-92	92	126	parachute		
Dunabeitia-2022-500-93	93	127	sack	2990	SACK
Dunabeitia-2022-500-94	94	128	doll	1659	DOLL
Dunabeitia-2022-500-95	95	129	lemon	3091	LEMON
Dunabeitia-2022-500-96	96	131	singer		
Dunabeitia-2022-500-97	97	137	rat	1490	RAT
Dunabeitia-2022-500-98	98	138	fridge		
Dunabeitia-2022-500-99	99	139	ghost	1175	GHOST
Dunabeitia-2022-500-100	100	140	faucet	1488	FAUCET
Dunabeitia-2022-500-101	101	141	sunflower	1956	SUNFLOWER
Dunabeitia-2022-500-102	102	142	glass	604	GLASS
Dunabeitia-2022-500-103	103	145	trash can		
Dunabeitia-2022-500-104	104	146	olive	1154	OLIVE
Dunabeitia-2022-500-105	105	148	pipe	1124	PIPE
Dunabeitia-2022-500-106	106	149	keyhole		
Dunabeitia-2022-500-107	107	150	puddle	2290	PUDDLE
Dunabeitia-2022-500-108	108	152	snail	1543	SNAIL
Dunabeitia-2022-500-109	109	153	cigarette	969	CIGARETTE
Dunabeitia-2022-500-110	110	154	domino		
Dunabeitia-2022-500-111	111	155	bullet	1114	BULLET
Dunabeitia-2022-500-112	112	156	recorder		
Dunabeitia-2022-500-113	113	159	beard	678	BEARD
Dunabeitia-2022-500-114	114	160	wheelbarrow		
Dunabeitia-2022-500-115	115	161	tie	1917	TIE
Dunabeitia-2022-500-116	116	163	coconut	970	COCONUT
Dunabeitia-2022-500-117	117	164	road	667	ROAD
Dunabeitia-2022-500-118	118	165	belt	772	BELT
Dunabeitia-2022-500-119	119	167	shoelace		
Dunabeitia-2022-500-120	120	169	back	1291	BACK
Dunabeitia-2022-500-121	121	170	goal		
Dunabeitia-2022-500-122	122	172	parrot	882	PARROT
Dunabeitia-2022-500-123	123	173	pharmacy		
Dunabeitia-2022-500-124	124	175	painter		
Dunabeitia-2022-500-125	125	177	mushroom	641	MUSHROOM
Dunabeitia-2022-500-126	126	178	bridge	1011	BRIDGE
Dunabeitia-2022-500-127	127	181	triangle		
Dunabeitia-2022-500-128	128	184	witch	824	WITCH
Dunabeitia-2022-500-129	129	185	soccer ball		
Dunabeitia-2022-500-130	130	186	engine	2622	ENGINE
Dunabeitia-2022-500-131	131	187	city	2547	CITY
Dunabeitia-2022-500-132	132	189	alligator	1581	ALLIGATOR
Dunabeitia-2022-500-133	133	190	rain	658	RAIN (PRECIPITATION)
Dunabeitia-2022-500-134	134	191	salad	4041	SALAD
Dunabeitia-2022-500-135	135	192	thermometer	3104	THERMOMETER
Dunabeitia-2022-500-136	136	193	jellyfish	4017	JELLYFISH
Dunabeitia-2022-500-137	137	196	computer	3086	COMPUTER
Dunabeitia-2022-500-138	138	197	compass	2606	COMPASS
Dunabeitia-2022-500-139	139	199	skirt	1600	SKIRT
Dunabeitia-2022-500-140	140	200	trumpet	775	TRUMPET
Dunabeitia-2022-500-141	141	204	printer		
Dunabeitia-2022-500-142	142	205	ankle	803	ANKLE
Dunabeitia-2022-500-143	143	207	scar	497	SCAR
Dunabeitia-2022-500-144	144	208	microphone	4014	MICROPHONE
Dunabeitia-2022-500-145	145	209	boomerang	135	BOOMERANG
Dunabeitia-2022-500-146	146	210	nipple	796	NIPPLE
Dunabeitia-2022-500-147	147	212	scale	2783	SCALES (MEASURE INSTRUMENT)
Dunabeitia-2022-500-148	148	216	hammer	1481	HAMMER
Dunabeitia-2022-500-149	149	218	diaper		
Dunabeitia-2022-500-150	150	220	seagull	950	SEAGULL
Dunabeitia-2022-500-151	151	221	pacifier	3087	PACIFIER
Dunabeitia-2022-500-152	152	222	knee	1371	KNEE
Dunabeitia-2022-500-153	153	223	zipper		
Dunabeitia-2022-500-154	154	224	paintbrush	3094	PAINTBRUSH
Dunabeitia-2022-500-155	155	226	train	900	TRAIN
Dunabeitia-2022-500-156	156	227	wall	3830	WALL
Dunabeitia-2022-500-157	157	228	acorn	968	ACORN
Dunabeitia-2022-500-158	158	231	chest	1592	CHEST
Dunabeitia-2022-500-159	159	232	llama		
Dunabeitia-2022-500-160	160	233	salt	1274	SALT
Dunabeitia-2022-500-161	161	234	plate	480	PLATE
Dunabeitia-2022-500-162	162	235	needle	1382	NEEDLE (FOR SEWING)
Dunabeitia-2022-500-163	163	236	giraffe	3089	GIRAFFE
Dunabeitia-2022-500-164	164	238	puzzle		
Dunabeitia-2022-500-165	165	239	woman	962	WOMAN
Dunabeitia-2022-500-166	166	240	castle	1938	FORTRESS
Dunabeitia-2022-500-167	167	241	eye	1248	EYE
Dunabeitia-2022-500-168	168	242	mailman		
Dunabeitia-2022-500-169	169	244	light bulb	4000	LIGHTBULB
Dunabeitia-2022-500-170	170	245	root	670	ROOT
Dunabeitia-2022-500-171	171	246	dentist	3876	DENTIST
Dunabeitia-2022-500-172	172	247	brain	1583	BRAIN
Dunabeitia-2022-500-173	173	248	wagon	122	CART
Dunabeitia-2022-500-174	174	249	potato	593	POTATO
Dunabeitia-2022-500-175	175	252	lizard	632	LIZARD
Dunabeitia-2022-500-176	176	253	choir		
Dunabeitia-2022-500-177	177	254	butcher	2569	BUTCHER
Dunabeitia-2022-500-178	178	255	shovel	1901	SHOVEL
Dunabeitia-2022-500-179	179	258	baguette		
Dunabeitia-2022-500-180	180	260	island	622	ISLAND
Dunabeitia-2022-500-181	181	261	lamppost		
Dunabeitia-2022-500-182	182	264	hand	1277	HAND
Dunabeitia-2022-500-183	183	265	pirate	4015	PIRATE
Dunabeitia-2022-500-184	184	266	heel	980	HEEL
Dunabeitia-2022-500-185	185	267	knot	760	KNOT
Dunabeitia-2022-500-186	186	268	bed	1663	BED
Dunabeitia-2022-500-187	187	269	chameleon	1555	CHAMELEON
Dunabeitia-2022-500-188	188	270	arrow	977	ARROW
Dunabeitia-2022-500-189	189	271	rabbit	1136	RABBIT
Dunabeitia-2022-500-190	190	273	bus	1070	BUS
Dunabeitia-2022-500-191	191	275	cape	1662	CAPE
Dunabeitia-2022-500-192	192	277	wig		
Dunabeitia-2022-500-193	193	278	drum	908	DRUM
Dunabeitia-2022-500-194	194	281	pomegranate	3732	POMEGRANATE
Dunabeitia-2022-500-195	195	282	rhinoceros	2591	RHINOCEROS
Dunabeitia-2022-500-196	196	283	limo		
Dunabeitia-2022-500-197	197	285	carrot	3085	CARROT
Dunabeitia-2022-500-198	198	286	tunnel		
Dunabeitia-2022-500-199	199	288	forest	420	FOREST
Dunabeitia-2022-500-200	200	289	finger	1303	FINGER
Dunabeitia-2022-500-201	201	290	birdcage		
Dunabeitia-2022-500-202	202	291	trigger		
Dunabeitia-2022-500-203	203	292	compass	2606	COMPASS
Dunabeitia-2022-500-204	204	293	dinosaur	4021	DINOSAUR
Dunabeitia-2022-500-205	205	294	plumber		
Dunabeitia-2022-500-206	206	295	flag	2623	FLAG
Dunabeitia-2022-500-207	207	297	airplane	1597	AIRPLANE
Dunabeitia-2022-500-208	208	299	ostrich	3797	OSTRICH
Dunabeitia-2022-500-209	209	301	sword	1535	SWORD
Dunabeitia-2022-500-210	210	303	mime		
Dunabeitia-2022-500-211	211	307	wing	1257	WING
Dunabeitia-2022-500-212	212	308	die	1494	DIE
Dunabeitia-2022-500-213	213	309	ice cream		
Dunabeitia-2022-500-214	214	310	envelope	3088	ENVELOPE
Dunabeitia-2022-500-215	215	311	razor	151	RAZOR
Dunabeitia-2022-500-216	216	312	flower	239	FLOWER
Dunabeitia-2022-500-217	217	313	barber		
Dunabeitia-2022-500-218	218	314	perfume		
Dunabeitia-2022-500-219	219	315	UFO		
Dunabeitia-2022-500-220	220	317	soldier	1941	SOLDIER
Dunabeitia-2022-500-221	221	318	leaf	628	LEAF
Dunabeitia-2022-500-222	222	319	cow	1007	COW
Dunabeitia-2022-500-223	223	320	church	1349	CHURCH
Dunabeitia-2022-500-224	224	323	owl	735	OWL
Dunabeitia-2022-500-225	225	324	fish	227	FISH
Dunabeitia-2022-500-226	226	326	tomato	986	TOMATO
Dunabeitia-2022-500-227	227	327	helmet	1680	HELMET
Dunabeitia-2022-500-228	228	330	alligator	1581	ALLIGATOR
Dunabeitia-2022-500-229	229	331	bra		
Dunabeitia-2022-500-230	230	335	butter	1245	BUTTER
Dunabeitia-2022-500-231	231	336	ruler	3405	RULER
Dunabeitia-2022-500-232	232	337	monster		
Dunabeitia-2022-500-233	233	338	present	2982	GIFT
Dunabeitia-2022-500-234	234	340	mirror	1171	MIRROR
Dunabeitia-2022-500-235	235	341	flipper		
Dunabeitia-2022-500-236	236	342	night	1233	NIGHT
Dunabeitia-2022-500-237	237	343	bottle	1321	BOTTLE
Dunabeitia-2022-500-238	238	346	net	2653	NET (FOR CATCHING)
Dunabeitia-2022-500-239	239	348	bell pepper		
Dunabeitia-2022-500-240	240	349	lock	1596	LOCK
Dunabeitia-2022-500-241	241	350	bible		
Dunabeitia-2022-500-242	242	351	butterfly	1791	BUTTERFLY
Dunabeitia-2022-500-243	243	353	shirt	1622	SHIRT
Dunabeitia-2022-500-244	244	354	goat	1502	GOAT
Dunabeitia-2022-500-245	245	357	guitar	3090	GUITAR
Dunabeitia-2022-500-246	246	358	car	1111	CAR
Dunabeitia-2022-500-247	247	359	knife	1352	KNIFE
Dunabeitia-2022-500-248	248	361	dolphin	1479	DOLPHIN
Dunabeitia-2022-500-249	249	362	pool		
Dunabeitia-2022-500-250	250	363	fan	1971	FAN (OBJECT)
Dunabeitia-2022-500-251	251	365	hedgehog	1797	HEDGEHOG
Dunabeitia-2022-500-252	252	367	spear	945	SPEAR
Dunabeitia-2022-500-253	253	368	fan		
Dunabeitia-2022-500-254	254	369	pot	1462	POT
Dunabeitia-2022-500-255	255	370	scorpion	1538	SCORPION
Dunabeitia-2022-500-256	256	373	cauliflower	2843	CAULIFLOWER
Dunabeitia-2022-500-257	257	376	sculptor	914	SCULPTOR
Dunabeitia-2022-500-258	258	378	lobster	2397	LOBSTER
Dunabeitia-2022-500-259	259	379	zebra	3675	ZEBRA
Dunabeitia-2022-500-260	260	380	gorilla	3144	GORILLA
Dunabeitia-2022-500-261	261	381	strawberry	3138	STRAWBERRY
Dunabeitia-2022-500-262	262	383	coin	1867	COIN
Dunabeitia-2022-500-263	263	386	bomb	1804	BOMB
Dunabeitia-2022-500-264	264	387	stapler		
Dunabeitia-2022-500-265	265	388	purse		
Dunabeitia-2022-500-266	266	390	snow	784	SNOW
Dunabeitia-2022-500-267	267	391	chain	1627	CHAIN
Dunabeitia-2022-500-268	268	392	teapot		
Dunabeitia-2022-500-269	269	397	fig	322	FIG
Dunabeitia-2022-500-270	270	398	steering wheel		
Dunabeitia-2022-500-271	271	399	ballerina		
Dunabeitia-2022-500-272	272	400	duck	1360	DUCK
Dunabeitia-2022-500-273	273	404	dragonfly	2352	DRAGONFLY
Dunabeitia-2022-500-274	274	405	anchor	1870	ANCHOR
Dunabeitia-2022-500-275	275	407	mountain	639	MOUNTAIN
Dunabeitia-2022-500-276	276	408	finger	1303	FINGER
Dunabeitia-2022-500-277	277	409	cork		
Dunabeitia-2022-500-278	278	410	pistachio		
Dunabeitia-2022-500-279	279	411	fist	1473	FIST
Dunabeitia-2022-500-280	280	412	factory		
Dunabeitia-2022-500-281	281	413	tattoo	68	TATTOO
Dunabeitia-2022-500-282	282	414	lamp	625	LAMP
Dunabeitia-2022-500-283	283	416	sock	1522	SOCK
Dunabeitia-2022-500-284	284	418	curtain	2621	CURTAIN
Dunabeitia-2022-500-285	285	420	throne	1476	CHAIR
Dunabeitia-2022-500-286	286	422	axe	677	AXE
Dunabeitia-2022-500-287	287	423	egg	744	EGG
Dunabeitia-2022-500-288	288	425	bagpipe		
Dunabeitia-2022-500-289	289	426	comb	1475	COMB
Dunabeitia-2022-500-290	290	428	crab	2348	CRAB
Dunabeitia-2022-500-291	291	430	bird	937	BIRD
Dunabeitia-2022-500-292	292	431	mitten	867	GLOVE
Dunabeitia-2022-500-293	293	433	bell	2246	BELL
Dunabeitia-2022-500-294	294	437	cannon	3202	CANNON
Dunabeitia-2022-500-295	295	438	thumb	1781	THUMB
Dunabeitia-2022-500-296	296	439	volcano	2291	VOLCANO
Dunabeitia-2022-500-297	297	441	sausage	1874	SAUSAGE
Dunabeitia-2022-500-298	298	442	pineapple	2440	PINEAPPLE
Dunabeitia-2022-500-299	299	446	pig	1337	PIG
Dunabeitia-2022-500-300	300	447	star	1430	STAR
Dunabeitia-2022-500-301	301	448	jar	1462	POT
Dunabeitia-2022-500-302	302	449	bench	2584	BENCH
Dunabeitia-2022-500-303	303	451	king	1508	KING
Dunabeitia-2022-500-304	304	452	watch	3349	WRISTWATCH
Dunabeitia-2022-500-305	305	453	scissors	356	SHEARS
Dunabeitia-2022-500-306	306	454	chicken	1318	CHICKEN
Dunabeitia-2022-500-307	307	455	foot	1301	FOOT
Dunabeitia-2022-500-308	308	456	oil	1484	OIL (ORGANIC SUBSTANCE)
Dunabeitia-2022-500-309	309	457	pyramid	2600	PYRAMID
Dunabeitia-2022-500-310	310	458	wardrobe	3106	WARDROBE
Dunabeitia-2022-500-311	311	461	gun	1566	GUN
Dunabeitia-2022-500-312	312	462	fly	1504	FLY (INSECT)
Dunabeitia-2022-500-313	313	463	rectangle		
Dunabeitia-2022-500-314	314	464	eraser		
Dunabeitia-2022-500-315	315	465	knife	1352	KNIFE
Dunabeitia-2022-500-316	316	466	judge	861	JUDGE
Dunabeitia-2022-500-317	317	467	clothespin		
Dunabeitia-2022-500-318	318	472	square	850	SQUARE
Dunabeitia-2022-500-319	319	473	arm	1673	ARM
Dunabeitia-2022-500-320	320	476	apron	2046	APRON
Dunabeitia-2022-500-321	321	477	avocado	3725	AVOCADO
Dunabeitia-2022-500-322	322	478	sink	915	SINK (BASIN)
Dunabeitia-2022-500-323	323	479	kangaroo	164	KANGAROO
Dunabeitia-2022-500-324	324	480	rose	3882	ROSE
Dunabeitia-2022-500-325	325	482	boat	1844	BOAT
Dunabeitia-2022-500-326	326	484	squirrel	1628	SQUIRREL
Dunabeitia-2022-500-327	327	487	basket	1539	BASKET
Dunabeitia-2022-500-328	328	488	sun	1343	SUN
Dunabeitia-2022-500-329	329	489	pizza		
Dunabeitia-2022-500-330	330	491	rug	292	RUG
Dunabeitia-2022-500-331	331	493	skunk	3888	SKUNK
Dunabeitia-2022-500-332	332	494	mustache	1165	MOUSTACHE
Dunabeitia-2022-500-333	333	496	circle	1467	CIRCLE
Dunabeitia-2022-500-334	334	497	coffin	2011	COFFIN
Dunabeitia-2022-500-335	335	499	boy	1366	BOY
Dunabeitia-2022-500-336	336	500	stairs	34	STAIRS
Dunabeitia-2022-500-337	337	501	shield	1064	SHIELD
Dunabeitia-2022-500-338	338	502	shepherd	2544	SHEPHERD
Dunabeitia-2022-500-339	339	503	tongue	1205	TONGUE
Dunabeitia-2022-500-340	340	505	book	963	BOOK
Dunabeitia-2022-500-341	341	506	lightning	1654	LIGHTNING
Dunabeitia-2022-500-342	342	507	baby	1289	BABY
Dunabeitia-2022-500-343	343	508	box	1465	BOX
Dunabeitia-2022-500-344	344	509	telephone	1379	TELEPHONE
Dunabeitia-2022-500-345	345	510	face	1560	FACE
Dunabeitia-2022-500-346	346	513	lips	478	LIP
Dunabeitia-2022-500-347	347	514	submarine	4022	SUBMARINE
Dunabeitia-2022-500-348	348	516	calculator		
Dunabeitia-2022-500-349	349	517	rope	1218	ROPE
Dunabeitia-2022-500-350	350	521	fox	1312	FOX
Dunabeitia-2022-500-351	351	522	house	1252	HOUSE
Dunabeitia-2022-500-352	352	524	Native American		
Dunabeitia-2022-500-353	353	528	swan	2837	SWAN
Dunabeitia-2022-500-354	354	529	walrus	4007	WALRUS
Dunabeitia-2022-500-355	355	530	fence	1690	FENCE
Dunabeitia-2022-500-356	356	531	turtle	112	TURTLE
Dunabeitia-2022-500-357	357	532	clown	4020	CLOWN
Dunabeitia-2022-500-358	358	533	shark	1110	SHARK
Dunabeitia-2022-500-359	359	535	truck	4011	TRUCK
Dunabeitia-2022-500-360	360	536	branch	1531	BRANCH
Dunabeitia-2022-500-361	361	537	fingerprint		
Dunabeitia-2022-500-362	362	539	astronaut		
Dunabeitia-2022-500-363	363	540	lighthouse		
Dunabeitia-2022-500-364	364	541	shoe	1381	SHOE
Dunabeitia-2022-500-365	365	544	doctor	597	PHYSICIAN
Dunabeitia-2022-500-366	366	545	underwear		
Dunabeitia-2022-500-367	367	546	door	1567	DOOR
Dunabeitia-2022-500-368	368	547	bat	1793	BAT
Dunabeitia-2022-500-369	369	549	snake	730	SNAKE
Dunabeitia-2022-500-370	370	551	pumpkin	864	PUMPKIN
Dunabeitia-2022-500-371	371	552	Apple	1320	APPLE
Dunabeitia-2022-500-372	372	554	puppet		
Dunabeitia-2022-500-373	373	555	breakfast	1322	BREAKFAST
Dunabeitia-2022-500-374	374	557	wolf	522	WOLF
Dunabeitia-2022-500-375	375	558	lighter	3092	LIGHTER
Dunabeitia-2022-500-376	376	559	cucumber	496	CUCUMBER
Dunabeitia-2022-500-377	377	560	watermelon	2766	WATERMELON
Dunabeitia-2022-500-378	378	561	caterpillar	2247	CATERPILLAR
Dunabeitia-2022-500-379	379	562	toaster	4010	TOASTER
Dunabeitia-2022-500-380	380	563	vulture	1185	VULTURE
Dunabeitia-2022-500-381	381	564	spoon	1378	SPOON
Dunabeitia-2022-500-382	382	565	bell	2246	BELL
Dunabeitia-2022-500-383	383	566	violin	4023	VIOLIN
Dunabeitia-2022-500-384	384	568	castle	1938	FORTRESS
Dunabeitia-2022-500-385	385	569	tooth	1380	TOOTH
Dunabeitia-2022-500-386	386	570	bull	1008	BULL
Dunabeitia-2022-500-387	387	571	magnet		
Dunabeitia-2022-500-388	388	572	juggler		
Dunabeitia-2022-500-389	389	573	eggplant	1146	AUBERGINE
Dunabeitia-2022-500-390	390	575	beak	73	BEAK
Dunabeitia-2022-500-391	391	576	gloves	867	GLOVE
Dunabeitia-2022-500-392	392	577	iceberg		
Dunabeitia-2022-500-393	393	578	eyebrow	1173	EYEBROW
Dunabeitia-2022-500-394	394	579	elephant	1290	ELEPHANT
Dunabeitia-2022-500-395	395	581	asparagus	2605	ASPARAGUS
Dunabeitia-2022-500-396	396	582	lab		
Dunabeitia-2022-500-397	397	584	toad	894	TOAD
Dunabeitia-2022-500-398	398	585	ant	587	ANT
Dunabeitia-2022-500-399	399	586	iron		
Dunabeitia-2022-500-400	400	587	corn	506	MAIZE
Dunabeitia-2022-500-401	401	588	bracelet	1754	BRACELET
Dunabeitia-2022-500-402	402	590	broom	245	BROOM
Dunabeitia-2022-500-403	403	591	towel	1021	TOWEL
Dunabeitia-2022-500-404	404	592	lettuce	3729	LETTUCE
Dunabeitia-2022-500-405	405	593	chocolate	3873	CHOCOLATE
Dunabeitia-2022-500-406	406	594	syringe		
Dunabeitia-2022-500-407	407	595	cube		
Dunabeitia-2022-500-408	408	597	window	1375	WINDOW
Dunabeitia-2022-500-409	409	599	cloud	1489	CLOUD
Dunabeitia-2022-500-410	410	601	koala		
Dunabeitia-2022-500-411	411	603	cemetery	3284	GRAVEYARD
Dunabeitia-2022-500-412	412	605	harp	2597	HARP
Dunabeitia-2022-500-413	413	606	cat	1208	CAT
Dunabeitia-2022-500-414	414	607	sweater	4035	SWEATER
Dunabeitia-2022-500-415	415	608	condom		
Dunabeitia-2022-500-416	416	609	pencil case		
Dunabeitia-2022-500-417	417	610	honey	942	HONEY
Dunabeitia-2022-500-418	418	611	plant	653	PLANT (VEGETATION)
Dunabeitia-2022-500-419	419	612	Frog	503	FROG
Dunabeitia-2022-500-420	420	614	queen	1306	QUEEN
Dunabeitia-2022-500-421	421	616	cracker		
Dunabeitia-2022-500-422	422	617	airport		
Dunabeitia-2022-500-423	423	619	soap	788	SOAP
Dunabeitia-2022-500-424	424	621	tank	3102	TANK
Dunabeitia-2022-500-425	425	623	prison	1281	PRISON
Dunabeitia-2022-500-426	426	624	donkey	1862	DONKEY
Dunabeitia-2022-500-427	427	625	sled	16	SLED
Dunabeitia-2022-500-428	428	626	piano	3994	PIANO (INSTRUMENT)
Dunabeitia-2022-500-429	429	627	hot dog		
Dunabeitia-2022-500-430	430	628	scarf	3066	SCARF OR TURBAN
Dunabeitia-2022-500-431	431	633	funnel	2602	FUNNEL
Dunabeitia-2022-500-432	432	634	dynamite		
Dunabeitia-2022-500-433	433	636	sheep	1331	SHEEP
Dunabeitia-2022-500-434	434	637	bear	1820	BEAR
Dunabeitia-2022-500-435	435	640	cactus	2595	CACTUS
Dunabeitia-2022-500-436	436	644	coat	603	COAT
Dunabeitia-2022-500-437	437	645	rifle	1566	GUN
Dunabeitia-2022-500-438	438	649	ambulance	4013	AMBULANCE
Dunabeitia-2022-500-439	439	650	sponge		
Dunabeitia-2022-500-440	440	651	soup	1547	SOUP
Dunabeitia-2022-500-441	441	652	Ferris wheel		
Dunabeitia-2022-500-442	442	653	umbrella	3105	UMBRELLA
Dunabeitia-2022-500-443	443	654	pencil	2578	PENCIL
Dunabeitia-2022-500-444	444	656	battery	662	BATTERY
Dunabeitia-2022-500-445	445	657	medal		
Dunabeitia-2022-500-446	446	659	radio	1315	RADIO
Dunabeitia-2022-500-447	447	661	drawer		
Dunabeitia-2022-500-448	448	662	pelican	472	PELICAN
Dunabeitia-2022-500-449	449	663	column	2045	COLUMN
Dunabeitia-2022-500-450	450	666	coffee	1299	COFFEE
Dunabeitia-2022-500-451	451	668	turkey	2386	TURKEY
Dunabeitia-2022-500-452	452	669	pilot	43	LEAD (GUIDE)
Dunabeitia-2022-500-453	453	671	suspenders		
Dunabeitia-2022-500-454	454	672	bee	665	BEE
Dunabeitia-2022-500-455	455	673	fork	1302	FORK
Dunabeitia-2022-500-456	456	675	windmill	3841	WINDMILL
Dunabeitia-2022-500-457	457	676	cane	1296	WALKING STICK
Dunabeitia-2022-500-458	458	677	map	2625	MAP
Dunabeitia-2022-500-459	459	678	horn	939	HORN (INSTRUMENT)
Dunabeitia-2022-500-460	460	680	bow	994	BOW
Dunabeitia-2022-500-461	461	681	rocket	3096	RACKET
Dunabeitia-2022-500-462	462	682	penguin	2831	PENGUIN
Dunabeitia-2022-500-463	463	683	trailer		
