ID	Japanese	Phonetic	English	Tamil (transfer characters)	Tamil (Tamil characters)	French	Arabic	Chinese	German	Hindi	Indonesian	Persian	Russian	Spanish	Swahili 
42	毛［人間の体毛］	け	hair	mayir, muṭi	மயிர், முடி	poil	šaʿr	hánmao, máo	Haar	bāl	rambut, bulu	mū	волосы	pelo	ndevu
43	脂、脂肪	あぶら、しぼう	fat/grease	kol̠uppu	கோழுப்பு	graisse	duhn, šaḥm	zhīfáng	Fett	ciknāī	gemuk	charbī	жир, сало	grasa	mafuta
44	血	ち	blood	rattam	ரத்தம்	sang	dam	xuè	Blut	rakta	darah	khūn	кровь	sangre	damu
45	骨	ほね	bone	elumpu	ஏலும்பு	os	ʿaẓm	gútou	Knochen	haḍḍī	tulang	ostokhān	кость	hueso	mfupa
46	肉	にく	flesh	catai	சதை	chair	laḥm	ròu	Fleisch	māns	danging	gūsht	мясо	carne	nyama, mnofu
47	体、肉体	からだ、にくたい	body	uṭal	உடல்	corps	badan, jasad	shēntǐ	Leib, Körper	dēh	badan	tan	тело, корпус	cuerpo	mwili
48	病気	びょうき	diseases/illness/sickness	viyāti	வியாதி	maladie	dā', maraḍ, ʿillah	bìng	Krankheit	rōg	sakit	bīmārī, maraz	болезнь	enfermedad, mal	ugonjwa
49	傷、怪我	きず、けが	wound	kāyam	காயம்	blessure	jurḥ	shāng	Wunde	āghāt	luka	zakhm	рана	herida	kidonda, jeraha
50	薬	くすり	medicine	marun̠tu	மருன்து	remède, médicament	ʿaqqār, dawā'	yào	Medizin	dawā	obat	dārū, davā	лекарство	medicina	dawa
51	米	こめ	rice	arici	அரிசி	riz	ruzz	mǐ, dàmǐ	Reis	cāwal	beras	berenj	рис	arroz	mchele
52	粉	こな	powder/flour	māvu	மாவு	poudre, farine	daqīq, ṭaḥīn, masḥūq	fěn	Pulver, Mehl	cūrṇa	tepung	pūdr, ārd	порошок	harina	unga
53	塩	しお	salt	uppu	உப்பு	sel	milḥ	yán	Salz	namak	garam	namak	соль	sal	chumvi
54	油	あぶら	oil	eṇṇai	ஏண்ணை	huile	zayt	yóu	Öl	tēl	minjak	roughan	масло	óleo, aceite	mafuta
55	酒	さけ	liquor/wine	matu	மது	liqueur, vin	nabīd̠, ḫamr	jiǔ	Wein	madirā	arak	sharāb	ликер, вино	licor	pombe
56	タバコ	タバコ	tobacco	tēyilai	தேயிலை	cigarette	ṭabġ	yān	Tabak	tanbākū	tembakau	tanbākū	табак	tabaco	tumbako, sigara
57	味	あじ	taste/flavor	cuvai	சுவை	goût	mad̠āq, ṭaʿm	wèidaò	Geschmack	swād	rasa	mazeh	вкус	sabor	utamu
58	匂い、香り	におい、かおり	smell/scent/odour	vācan̠ai	வாசனை	odeur, parfum	rā'iḥah	xiāngwèir	Geruch, Duft	gandh	bau	bū	запах	olor	harufu, manukato, ladha
59	食べ物、食物	たべもの、しょくもつ	food	uṇavu	உணவு	vivres, nourriture	ṭaʿām	shíwù, liángshi	Speise, Essen	bhōjan	makanan	ghazā	пища	comida, alimento	chakula
60	肉	にく	meat	iraicci	இரைச்சி	viande	laḥm	ròu	Fleisch	mānsbhakshan	danging	gūsht	мясо	carne	nyama
61	卵	たまご	egg	muṭṭai	முட்டை	œuf	bayḍah	dànr	Ei	anḍā	telur	tokhm-e-morgh	яйцо	huevo	yai
62	鶏	にわとり	hen/cock/fowls	kōl̠i	கோழி	volaille	dajāj	jī	Huhn	murgī	ajam	morgh	курица, петух	gallo	kuku
63	鳥	とり	bird	par̠avai	பறவை	oiseau	ṭayr	niǎor	Vogel	ciriyā	burung	parandeh	птица	ave, pájaro	ndege???
64	翼、羽	つばさ、はね	wing	ir̠akkai	இறக்கை	aile	janāḥ	chìbǎng	Flügel	pankh	sajap	parreh, jenāh	крыло	ala	ubawa
65	羽毛	うもう	feather/plume	ir̠aku	இறகு	plume	rīš	yǔmáo	Feder	par	bulu	par	перо, пух	pluma	nyoya
66	巣	す	nest	kūṭu	கூடு	nid	ʿušš, wakr	wō	Nest	ghōnslā	sarang	āshyāneh, lāneh	гнездо	nido	kiota, tundu
67	嘴	くちばし	beak/bill	alaku	அலகு	bec	minšār	niǎozuǐ	Schnabel	cōnc	paruh	menqār, nūk	клюв	pico	mdomo wa ndege
68	角	つの	horn	kompu	கோம்பு	corne	qarn	jiǎo	Horn	sīng	tanduk	shākh	рог	cuerno	pembe
69	牛	うし	beef/cow/bull	māṭu	மாடு	bœuf	baqar	niú	Rind	gāy	lembu, sapi	gūsht-e-gāv, gāv	корова, бык	vaca	ng'ombe
70	小刀、ナイフ	こがたな、ナイフ	knife/penknife	katti	கத்தி	couteau, canif	sikkīn	xiǎodāo	Messer	churī	pisau	kārd	(столовый) нож, ножик	navaja, cuchillo	kisu
71	刀	かたな	sword	vāḷ	வாள்	sabre, épée	sayf	dāoz	Schwert, Säbel, Degen	talwār	pedang	shamshīr	меч	espada	upanga (panga)
72	刃	は	blade/edge	nun̠i	நுனி	tranchant, lame	naṣl	dāokǒu	Schneide, Schärfe	dhār	mata pisau	tīgheh	лезвие	filo	makali, machinjioni
73	棒	ぼう	pole/bar/stick	kaṭṭai	கட்டை	bâton, barre	ʿaṣā, ʿūd	gānz, gùnz	Stab	lāṭhī	batang	asā, chūb	палка, прут, сест	palo, barra	fimbo
74	弓	ゆみ	bow	vil	வில்	arc	qaws	gōng	Bogen	Kamān	busur	kamān	лук	arco	upindi
75	矢	や	arrow	ampu	அம்பு	flèche	sahm	jiàn	Pfeil	bāṇ	anak panah	tīr	стрела	flecha	mshale
76	槍	やり	lance/spear	īṭṭi	ஈட்டி	lance, javelot	rumḥ	qiāng	Spiess, Speer, Lanze	barchā	tombak	nīzeh	копьё	lanza	mkuki
77	糸	いと	thread	nūl	நூல்	fil	ḫayṭ	xiàn	Faden, Garn	sūt	benang	nakh	нить, нитка	hilo	uzi
78	針	はり	needle	ūci	ஊசி	aiguille	ibrah	zhēn	Nadel	sūī	djarum	sūzan	игла, иголка	aguja	sindano
79	着物、衣服	きもの、いふく	clothes/clothing	āṭai	ஆடை	habit, vêtements	kīmūnū, t̠iyāb	yīfu	Kleidung, Kleid	kapṛē	pakaian	lebās, pūshāk	платье, одежда	traje, ropa, vestido	nguo
80	紙	かみ	paper	tāḷ, kākitam	தாள், காகிதம்	papier	waraq	zhǐ	Papier	kāgaj	kertas	kāghaz	бумага	papel	karatasi
81	物	もの	thing	poruḷ	போருள்	chose	šay'	dōngxi	Ding	vastu	barang	chīz	вещь, предмет	cosa	kitu
82	蛇	へび	snake	pāmpu	பாம்பு	serpent	ḥayyah, t̠uʿbān	shé	Schlange	nāg	ular	mār	змея	serpiente	nyoka
83	虫	むし	worm/insect	pūcci	பூச்சி	ver, insecte	dūd, ḥašarah	chóngz	Wurm, Insekt	kīṛā	tjatjing, serangga	kerm	червяк, насекомое	gusano, insecto	mdudu
84	蝿	はえ	fly	ī	ஈ	mouche	d̠ubābāh	cāngying	Fliege	makkhī	lalat	magas	муха	mosca	inzi
85	蚊	か	mosquito	kocu	கோசு	moustique	nāmūsah, baʿūḍah	wénz	Moskito	macchar	njamuk	pasheh	комар	mosquito	mbu
86	蚤	のみ	flea	teḷḷuppūcci	தேள்ளுப்பூச்சி	puce	burġūt̠	tiàozao	Floh	pissū	kutu	keik	блоха	pulga	kiroboto
87	虱	しらみ	louse	pēn̠	பேன்	pou	qamlah	shīz	Laus	cīlar	tuma	shepesh	вошь	piojo	chawa
88	蟻	あり	ant	er̠umpu	ஏறும்பு	fourmi	naml	mǎyǐ	Ameise	cīnṭī	semut	mūr	муравей	hormiga	sisimizi, siafu, mchwa
89	魚	さかな	fish	mīn̠	மீன்	poisson	samak	yú	Fisch	machlī	ikan	māhī	рыба	pez	samaki
90	貝	かい	shellfish	cippi	சிப்பி	coquillage	ṣadafah	bèi	Muschel	sīpī	kerang	sadaf	раковина	marisco	konokono, kombe
91	動物	どうぶつ	animal	mirukam	மிருகம்	animal	ḥayawān	dòngwù	Tier	jānwar	binatang	hayavān, jānvar	животное	animal	mnyama
92	猟	りょう	hunting	vēṭṭai	வேட்டை	chasse	ṣayd	shòuliè	Jagd	shikār	pemburuan	shekār	охота	caza	uwindaji
93	網	あみ	net	valai	வலை	filet	šabakah	wǎng	Netz	jāl	djala, djaring	dām	сеть, сетка	red	wavu
94	犬	いぬ	dog	nāy	நாய்	chien	kalb	gǒu	Hund	kuttā	andjing	sag	собака	perro	mbwa
95	綱	つな	rope	kayir̠u	கயிறு	corde	ḥabl	suǒz	Seil, Strick	rassā	tambang	rīsmān	канат, верёвка	soga, cuerda	kamba
96	紐	ひも	string	nār	நார்	ficelle, cordon	šarīṭ	shéngz	Schnur	rassī	tali	nakh	шнурок, завязка, тесьма	cinta	kamba
97	羊	ひつじ	sheep	cemmar̠i āṭu	சேம்மறி ஆடு	mouton	šāh, ġanam	yáng	Schaf	bhēṛ	domba	gūsfand	овца, баран	oveja	kondoo
98	馬	うま	horse	kutirai	குதிரை	cheval	ḥiṣān	mǎ	Pferd	ghōṛā	kuda	asb	конь, лошадь	caballo	farasi
99	豚	ぶた	pig	pan̠r̠i	பன்றி	cochon	ḫinzīr	zhū	Schwein	suar	babi	khūk	свинья	cerdo	nguruwe
100	尻尾、尾	しっぽ、お	tail	vāl	வால்	queue	d̠ayl	wěiba	Schwanz	pūnch	ékor	dom	хвост	cola	mkia
101	動物の毛	け	fur/wool	rōman	ரோமந்	poil	wabar, ṣūf	máo	Wolle, Fell, Pelz	rōwēn	bulu	khaz, pashm	волос, шерсть	piel, lana	nyoya
102	毛皮	けがわ	fur	--	--	fourrure	farw	máopí	Pelz	rōwēn	kulit berbulu	khaz	мех	piel	ngozi
103	袋	ふくろ	sack/bag	pai	பை	sac	kīs, ʿaybah	kǒudài	Sack	thailā	karung	kīseh	мешок	saco	mfuko
104	鍋	なべ	pan/pot	caṭṭi	சட்டி	casserole, marmite	ḥallah	guō	Pfanne, Topf	kaṛāhī	pantji	dīg	кастрюля	cacerola, olla	sufuria
105	釜	かま	kettle	keṇṭi	கேண்டி	chaudron	furn	guō	Kessel	dēgucī	periuk	ketrī	котёл	caldera	sufuria
106	瓶	かめ	jar	cāṭi	சாடி	vase	jarrah	tánz	Krug, Topf	jalpātra	tempajan	kūzeh	кувшин, ваза	jarra	mtungi
107	壷	つぼ	jar/pot	kuṭuvai/maṭkalam	குடுவை/மட்கலம்	pot	kift, ballāṣ	hú	Topf	gamlā	potji	kūzeh	горшок, кувшин	cántaro	mtungi
108	屋根	やね	roof	kūrai	கூரை	toit	saṭḥ	wūdĭng	Dach	chat	atap	saqf, bām	крыша	techo	paa
109	壁	かべ	wall	cuvar	சுவர்	mur	jidār, ḥā'iṭ	qiáng	Wand	dīwār	dinding	dīvār	стена	pared	ukuta
110	窓	まど	window	can̠n̠al	சன்னல்	fenêtre	šubbāk, nafīd̠ah	chuāng	Fenster	khiṛkī	djendéla	panjereh	окно	ventana	dirisha
111	扉、ドア	とびら、ドア	door	katavu	கதவு	porte	bāb	mén	Tür	dwār	pintu	dar	дверь	puerta	mlango
112	家、住居	いえ、じゅうきょ	house/home	vīṭu	வீடு	maison	maskin, manzil	jiā, fángz	Haus	ghar	rumah	khāneh, manzel	дом, жилище	habitación	nyumba
113	車	くるま	vehicle/car	va:kan̠am	வ:கனம்	voiture, véhicule	sayyārah	chē	Wagen, Fuhrwerk	gāṛī	keréta	māshīn	вагон, повозка, телега	coche	gari
114	船、船舶	ふね、せんぱく	vessel/ship	kappal	கப்பல்	bateau, vaisseau, navire	safīnah, markab	chuán	Schiff	jahāj	kapal	kashtī, nāv	корабль, судно	nave, barco, buque	chombo, meli, jahazi
115	井戸	いど	well	kiṇar̠u	கிணறு	puits	bi'r	jǐng	Brunnen, Quelle	kuān	perigi, sumber	chāh	колодец	pozo	kisima
116	仕事	しごと	business/job/work/task	vēlai	வேலை	besogne, occupation, travail, tâche	šuġl	gōngzuò	Arbeit, Werk, Geschäff, Beschäftigung	kām	pekerdjaan	kār	работа, дело, занятие	ocupación	kazi
117	金、金銭	かね、きんせん	money	paṇam	பணம்	argent	māl	jīnqián	Geld	rupayā	uang	pūl	деньги	dinero	fedha, pesa
118	木	き	tree	maram	மரம்	arbre	šajar	shùmù	Baum	pēṛ	pohon	derakht	дерево	árbol	mti
119	幹	みき	stem/trunk	taṇṭu	தண்டு	tronc	ʿirqah	shùgàn	Stamm	kānḍ	batang	taneh	ствол	tronco	shina
120	枝	えだ	branch	kiḷai	கிளை	branche	farʿ	shùzhī	Zweig	shākhā	tjabang	shākheh	ветвь, сук	rama	tawi
121	草	くさ	grass	pul	புல்	herbe	ʿušb	cǎo	Gras	ghās	rumput	giyāh	трава	hierba	majani
122	茎	くき	stalk	taṇṭu	தண்டு	tige	sāq	gānz, jīng	Halm	dhaṛ	tangkai	sāqeh	стебель, ствол	tallo	bua
123	根	ね	root	vēr	வேர்	racine	jid̠r	gēnr	Wurzel	jaṛ	akar	bīkh	корень	naiz	mzizi
124	葉	は	leaf	ilai	இலை	feuille	waraq	yèz	Blatt	pattī	daun	barg	лист	hoja	majani
125	花	はな	flower/blossom	pū	பூ	fleur	zahrah	huār	Blume	phūl	bunga	gol	цветок	flor	ua
126	実	み	fruit/nut	pal̠am/koṭṭai	பழம்/கோட்டை	fruit, noix	t̠amarah	guǒshí	Frucht, Nuss	phal	buah	mīveh, bār	плод, орех	fruto, nuez	tunda
127	種子、種	しゅし、たね	seed	vitai	விதை	graine, semence	bad̠rah	zhǒngz	Same	bīj	benih	tokhm	семя	semilla	mbegu
128	樹皮	じゅひ	bark	paṭṭai	பட்டை	écorce	liḥā'	shùpí	Rinde, Borke	chilkā	kulit pohon	pūst-e-derakht	кора	corteza	ganda la mti
129	水田	た、はたけ	rice-field	vayal	வயல்	champ, rizière	ḥaqlu rruzz, ḥaql	shuǐtián, tián(dì)	Reisacker, Acker, Feld	dhān ka khēt	sawah, ladang	shālī-zār, keshtzār	рисовое поле, огород	arrozal, campo	shamba
130	林	はやし	grove/copse/woods	tōppu	தோப்பு	bois, bosquet	ġābah sagīrah, ḥarajah	línz	Gehölz	upawan	hutan ketjil	bīsheh	лес	arboleda, bosque	mwitu
131	森	もり	forest	van̠am	வனம்	forêt	ġābah	sēnlín	Wald	jangal	hutan	jangal	лес	monte, bosque	mwitu
132	道	みち	way/road	val̠i/pātai	வழி/பாதை	route, chemin	ṭarīq	mǎlù, dàolù	Weg, Strasse	path	djalan	rāh, jādeh	путь, дорога	camino, carretera	njia, barabara
133	穴	あな	hole/pit	tuḷai/paḷḷam	துளை/பள்ளம்	trou	ḫarq, t̠aqb	kūlong	Loch, Höhle, Grube	bil	lobang	sūrākh, chāh	дыра	agujero, hoyo	tundu, shimo, pango
134	橋	はし	bridge	pālam	பாலம்	pont	jisr	qiáo	Brücke	pul	djembatan	pol	мост	puente	daraja
135	川	かわ	river	ār̠u	ஆறு	rivière, fleuve	nahr	hé, jiāng	Fluss	nadī	sungai	rūdkhāneh, rūd	река	río	mto
136	山	やま	mountain	malai	மலை	montagne	jabal	shān	Berg	pahār	gunung	kūh	гора	montaña	mlima
137	野、野原	の、のはら	field	vayal	வயல்	plaine	sāḥah, maydān	tiándì	Feld	maidān	padang	meidān	поле	campo	pori
138	平野、平原	へいや、へいげん	plain	taḷam	தளம்	campagne, plaine	sahl	píngyuán	Ebene	maidān	dataran	jolgeh, dasht	равнина, поле	llano, llanura	tambarare, uwanda
139	池	いけ	pond	kuḷam	குளம்	étang	birkah	shuǐchíz	Teich	tāl	kolam	houz	пруд	estanque	ziwa, mahali pa maji
140	湖	みずうみ	lake	--	--	lac	buḥayrah	hú	See	jhīl	danau	daryācheh	озеро	lago	bahari
141	海	うみ	sea	kaṭal	கடல்	mer	baḥr	hǎi???	Meer	sāgar	laut	daryā	море	mar	bahari
142	島	しま	island	tīvu	தீவு	île	jazīrah	dǎo, hǎidǎo	Insel	dvīp	pulau	jazīreh	остров	isla	kisiwa
143	水	みず	water	nīr	நீர்	eau	mā'	shuǐ	Wasser	jal, pānī	air	āb	вода	agua	maji
144	氷	こおり	ice	pan̠ikkaṭṭi	பனிக்கட்டி	glace	jalīd	bīng	Eis	barf	és	yakh	лёд	hielo	barafu
145	石	いし	stone	kal	கல்	pierre	ḥajar	shítou	Stein	patthar	batu	sang	камень	piedra	jiwe
146	土	つち	earth	maṇ	மண்	terre, sol	turāb	tǔ	Erde	miṭṭī	tanah	khāk	почва	tierra	udongo
147	砂	すな	sand	maṇal	மணல்	sable	raml	shāz	Sand	rēt	pasir	rīg	песок	arena	mchanga
148	埃	ほこり	dust	tūci	தூசி	poussière	ġubār	huīchén	Staub	dhūli	abu, debu	khāk, ghobār	пыль	polvo	vumbi
149	煙	けむり	smoke	pukai	புகை	fumée	duḫān	yān	Rauch	rākh	asap	dūd	дым	humo	moshi
150	灰	はい	ash	cāmpal	சாம்பல்	cendre	ramād	huī	Asche	bhasm	abu	khākestar	пепел, зола	ceniza	jivu
151	火	ひ	fire	neruppu, tī:	நேருப்பு, தீ:	feu	nār	huǒ	Feuer	āg	api	ātesh	огонь	fuego	moto
152	風	かぜ	wind	kār̠r̠u	காற்று	vent	rīḥ	fēng	Wind	hawā	angin	bād	ветер	viento	upepo
153	雲	くも	cloud	mēkam	மேகம்	nuage	saḥāb	yúncai	Wolke	bādal	awan	abr	облако	nube	wingu
154	霧	きり	fog	mūṭupan̠i	மூடுபனி	brouillard	ḍabāb	wù	Nebel	kōhar	kabut	meh	мгла, туман	niebla	ukungu
155	雨	あめ	rain	mal̠ai	மழை	pluie	maṭar	yǔ	Regen	warṣā	hudjan	bārān	дождь	lluvia	mvua
156	雪	ゆき	snow	pan̠i	பனி	neige	t̠alj	xuě	Schnee	him	saldju	barf	снег	nieve	theluji
157	空	そら	sky	vān̠am	வானம்	ciel	samā'	tiān(kōng)	Himmel	ākāsh	langit	āsmān	небо	cielo	mbingu
158	虹	にじ	rainbow	vān̠a vil	வான வில்	arc-en-ciel	qawsu quzaḥ	jiàng	Regenbogen	indradhanus	pelangi	qous-e-qozah	радуга	arco iris	upindi wa mvua
159	太陽	たいよう	sun	cūriyan̠	சூரியன்	soleil	šams	tàiyang	Sonne	sūrya	matahari	āftāb, khūrshīd	солнце	sol	jua
160	月	つき	moon	cantiran̠	சந்திரன்	lune	qamar	yuèliang	Mond	candramā	bulan	māh	луна, месяц	luna	mwezi
161	影	かげ	shadow	nil̠al	நிழல்	ombre	ẓill, kanaf	yǐngz	Schatten	chāyā	bajang	sāyeh	тень	sombra	kivuli
162	星	ほし	star	naṭcattiram	நட்சத்திரம்	étoile	najm	xīngxing	Stern	sitārā	bintang	setāreh	звезда	estrella	nyota
163	日	ひ	day	pakal	பகல்	jour	yawm	rì, tiān	Tag	din	hari	rūz	день	día	siku
164	毎日	まいにち	daily/everyday	tin̠amum	தினமும்	chaque jour, tous les jours	kullu yawm	měitiān	täglich	prati din	tiap hari	har rūz, rūzāneh	каждый день	todos los días	kila siku
165	週	しゅう	week	vāram	வாரம்	semaine	usbūʿ	xīngqī	Woche	saptāh	minggu, pekan	hafteh	неделя	semana	wili, juma
166	月	つき	month	mātam	மாதம்	mois	šahr	yuè	Monat	mās	bulan	māh	месяц	mes	mwezi
167	年、年	とし、ねん	year	āṇṭu	ஆண்டு	année, an	sanah, ʿām	nián	Jahr	warṣ	tahun	sāl	год	año	mwaka
168	朝	あさ	morning	kālai	காலை	matin	ṣabāḥ	zǎoshàng	Morgen	savērā	pagi	sobh	утро	mañana	asubuhi
169	昼間	ひるま	afternoon	pir̠pakal	பிற்பகல்	jour, journée	nahār	báitiān	Nachmittag	dō pahar	siang	(ba(d)??? pas as zohr	день	tarde	mchana
170	夕暮れ、夕方	ゆうぐれ、ゆうがた	evening	mālai	மாலை	soir, soirée	masā'	bàngwǎn	Abend	shām	soré	ghrūb	сумерки, вечер	tarde	jioni
171	晩、夜	ばん、よる	night	rāttiri	ராத்திரி	nuit	masā'	wǎnehàng, yèli	Nacht	rāt	malam	shab	вечер, ночь	noche	usiku
172	昨日	きのう	yesterday	nēr̠r̠u	நேற்று	hier	ams	zuótiān	gestern	kal	kemarin	dīrūz	вчера	ayer	jana
173	明日	あす	tomorrow	nāḷai	நாளை	demain	ġad	míngtiān	morgen	kal	bésok	fardā	завтра	mañana	kesho
174	今日	きょう	today	in̠r̠u	இன்று	aujourd'hui	alyawm	jīntiān	heute	āj	hari ini	emrūz	сегодня	hoy	leo
175	今	いま	now	ippol̠utu	இப்போழுது	maintenant	al'ān	xiànzài	nun	ab	sekarang	al-ān, hālā, aknūn	сейчас, теперь	ahora	sasa
176	何時	いつ	when	eppol̠utu	ஏப்போழுது	quand	matā	jǐshí, shénmeshíhour	wann	kab	kapan, bila	kei	когда	cuando	lini
177	何時［時間］	なんじ	what time is it?	maṇi ettan̠ai	மணி ஏத்தனை	quelle heure est-il?	fī'ayyi sāʿah? fi ssāʿah kam?	jǐdiǎnzhong	wie spät ist es?	kitnē bajē hain?	Djam berapa?	sā(at chand ast?	который час?	qué hora es?	saa ngapi
178	時間、時	じかん、とき	hour/time	maṇi/hēram	மணி/ஹேரம்	heure, temps	sāʿah	shíjiān	Stunde, Zeit, Uhr	ghanṭā	djam	sā(at, vaqt	час, время	tiempo, hora	saa
179	一	いち、ひとつ	one	onr̠u	ஓந்று	un	wāḥid	yī, yīge	eins	ēk	satu	yek	один, раз	uno	moja
180	二	に、ふたつ	two	iraṇṭu	இரண்டு	deux	it̠nān	èr, liǎngge	zwei	dō	dua	dō	два	dos	mbili
