ID	NUMBER	GLOSS	HIERARCHY
Shin-1995-1052-46	46	elbow	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-47	47	eye	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-48	48	eyebrow	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-49	49	eyelash	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-50	50	face	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-51	51	fang	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-52	52	feather	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-53	53	fell	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-54	54	finger	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-55	55	fingernail	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-56	56	foot	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-57	57	forehead	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-58	58	forelock	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-59	59	goat hair	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-60	60	gullet	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-61	61	gum	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-62	62	gut	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-63	63	guts	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-64	64	hair	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-65	65	hand	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-66	66	havel	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-67	67	head	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-68	68	heart	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-69	69	heel	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-70	70	hip	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-71	71	hoof	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-72	72	horn	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-73	73	jaw	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-74	74	joint	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-75	75	kidney	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-76	76	knee	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-77	77	leg	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-78	78	lip	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-79	79	liver	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-80	80	lung	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-81	81	mane	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-82	82	molar	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-83	83	moustache	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-84	84	mouth	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-85	85	nail	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-86	86	nape	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-87	87	navel	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-88	88	neck	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-89	89	nipple	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-90	90	nose	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-91	91	penis	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-92	92	pimple	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-93	93	plait	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-94	94	rennet bag	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-95	95	ribs	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-96	96	seat	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-97	97	sheep’s wool	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-98	98	shin	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-99	99	shoulder	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-100	100	side	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-101	101	skin	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-102	102	skull	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-103	103	sleeve	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-104	104	spleen	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-105	105	stomach	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-106	106	tail	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-107	107	testicles	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-108	108	thigh	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-109	109	throat	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-110	110	toes	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-111	111	tongue	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-112	112	tooth	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-113	113	udder	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-114	114	vagina	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-115	115	vein	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-116	116	wing	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.2 Body part
Shin-1995-1052-117	117	lid	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.1  Part of object > 1.2.2.2.1.1.3 part of thing
Shin-1995-1052-118	118	cloud	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.2  Natural object > 1.2.2.2.1.1.3 part of thing
Shin-1995-1052-119	119	moon	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.2  Natural object > 1.2.2.2.1.1.3 part of thing
Shin-1995-1052-120	120	rain	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.2  Natural object > 1.2.2.2.1.1.3 part of thing
Shin-1995-1052-121	121	sky	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.2  Natural object > 1.2.2.2.1.1.3 part of thing
Shin-1995-1052-122	122	snow	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.2  Natural object > 1.2.2.2.1.1.3 part of thing
Shin-1995-1052-123	123	sun	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.2  Natural object > 1.2.2.2.1.1.3 part of thing
Shin-1995-1052-124	124	water	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.2  Natural object > 1.2.2.2.1.1.3 part of thing
Shin-1995-1052-125	125	soup	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.3  Food > 1.2.2.2.1.1.3 part of thing
Shin-1995-1052-126	126	bag	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.1 Clothing 7
Shin-1995-1052-127	127	belt	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.1 Clothing 7
Shin-1995-1052-128	128	button	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.1 Clothing 7
Shin-1995-1052-129	129	bridge	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.2 Construction
Shin-1995-1052-130	130	house	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.2 Construction
Shin-1995-1052-131	131	road	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.2 Construction
Shin-1995-1052-132	132	board	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.3 Household article 8
Shin-1995-1052-133	133	board for threshing	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.3 Household article 8
Shin-1995-1052-134	134	carpet	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.3 Household article 8
Shin-1995-1052-135	135	chest	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.3 Household article 8
Shin-1995-1052-136	136	clew	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.3 Household article 8
Shin-1995-1052-137	137	cradle	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.3 Household article 8
Shin-1995-1052-138	138	mat	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.3 Household article 8
Shin-1995-1052-139	139	stool	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.3 Household article 8
Shin-1995-1052-140	140	arrow	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
Shin-1995-1052-141	141	awl	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
Shin-1995-1052-142	142	axe	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
Shin-1995-1052-143	143	basket	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
Shin-1995-1052-144	144	bellows	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
Shin-1995-1052-145	145	besom	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
Shin-1995-1052-146	146	bow	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
Shin-1995-1052-147	147	bridle	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
Shin-1995-1052-148	148	chain	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
Shin-1995-1052-149	149	clay stove for bread baking	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
Shin-1995-1052-150	150	comb for wool	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
Shin-1995-1052-151	151	copper cauldron	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
Shin-1995-1052-152	152	cord	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
Shin-1995-1052-153	153	dagger	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
Shin-1995-1052-154	154	drum	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
Shin-1995-1052-155	155	fastening	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
Shin-1995-1052-156	156	fire-tongs	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
Shin-1995-1052-157	157	fishing trap	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
Shin-1995-1052-158	158	flint	1. Entity > 1.2 Concretum > 1.2.2 Object > 1.2.2.2  Individual object > 1.2.2.2.1.4  Artifact > 1.2.2.2.1.4.4 Instrument 9
