NUMBER	ENGLISH	FRENCH	LWT_IDs_(partial)	LWT_names_(partial)	categoryID	subcategoryID	subsubcategoryID	categoryNAME	subcategoryNAME	subsubcategoryNAME
0085	lung	poumon	4.441	the lung	1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0086	intestines	intestins			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0087	bladder	vessie			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0088	gall bladder	vésicule biliare			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0089	muscle	muscle			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0090	tendon	tendon			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0091	vein	veine			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0092	breath	souffle, haleine			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0093	saliva	salive			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0094	phlegm	phlegme			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0095	nasal mucus, snot	morve			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0096	earwax	cérumen	4.222	the earwax	1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0097	tears (n)	larmes			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0098	blood	sang	4.15	the blood	1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0099	bile, gall	bile			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0100	semen	sperme, semence			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0101	urine	urine			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0102	excrement, faeces	excrément			1	1	4	MANÕS PHYSICAL BEING	BODY PARTS	Internal parts and products
0103	blink	cligner des yeux	4.215	to blink	1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0104	wink (eye)	cligner de l'oeil			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0105	blow nose	se moucher			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0106	breathe	respirer	4.51	to breathe	1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0107	yawn	bâiller	4.52	to yawn	1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0108	snore	ronfler	4.612	to snore	1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0109	pant	haleter			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0110	blow (with mouth)	souffler			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0111	spit	cracher	4.56	to spit	1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0112	cough (v)	tousser			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0113	belch	roter			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0114	hiccough (n)	hoquet			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0115	sneeze (v)	éternuer			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0116	groan (with pain)	gémir (de douleur)			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0117	grunt (from effort)	grogner (d'effort)			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0118	palpitate (of heart)	palpiter, battre très fort (coeur)			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0119	urinate	uriner, pisser			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0120	break wind, fart	péter			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0121	defecate	déféquer, chier			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0122	shiver, tremble	frissonner, trembler			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0123	perspire, sweat	transpirer, suer			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0124	bleed	saigner			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0125	coagulate, clot	coaguler, cailler			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0126	(be) dizzy	avoir le vertige			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0127	faint	s'évanouir			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0128	sleep (v)	dormir			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0129	dream (n)	rêve			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0130	wake up (intr)	se réveiller			1	2		MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	
0131	see	voir	15.51	to see	1	2	1	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Senses
0132	notice (v)	remarquer, s'apercevoir			1	2	1	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Senses
0133	look at, watch	regarder			1	2	1	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Senses
0134	hear	entendre	15.41	to hear	1	2	1	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Senses
0135	listen	écouter	15.42	to listen	1	2	1	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Senses
0136	smell (v)	sentir (par le nez)			1	2	1	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Senses
0137	feel (passive)	sentir, percevoir, éprouver			1	2	1	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Senses
0138	touch, feel (active)	toucher			1	2	1	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Senses
0139	taste	goûter	15.31	to taste	1	2	1	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Senses
0140	eat	manger	5.11	to eat	1	2	2	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Ingestion
0141	bite (v)	mordre			1	2	2	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Ingestion
0142	crunch	croquer			1	2	2	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Ingestion
0143	chew	mâcher	5.18	to chew	1	2	2	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Ingestion
0144	gnaw	ronger			1	2	2	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Ingestion
0145	swallow	avaler	5.181	to swallow	1	2	2	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Ingestion
0146	choke	s'étrangler	5.19	to choke	1	2	2	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Ingestion
0147	lick	lécher	4.59	to lick	1	2	2	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Ingestion
0148	suck	sucer	5.16	to suck	1	2	2	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Ingestion
0149	drink	boire	5.13	to drink	1	2	2	MANÕS PHYSICAL BEING	BODY PROCESSES, FUNCTIONS	Ingestion
0150	sit	s'asseoir	12.13	to sit	1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0151	rise up (intr)	se lever, se mettre debout			1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0152	lie down	se coucher	12.14	to lie down	1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0153	turn round (intr)	se retourner			1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0154	walk	marcher	10.45	to walk	1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0155	step (v)	faire un pas			1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0156	stumble	trébucher, broncher			1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0157	limp	boiter	10.451	to limp	1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0158	crawl	ramper, marcher à quatre pattes	10.41	to crawl	1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0159	run	courir	10.46	to run	1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0160	swim	nager	10.35	to swim	1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0161	jump (v)	sauter			1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0162	kick	donner un coup de pied	10.431	to kick	1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0163	stamp (with foot)	trépigner, taper du pied			1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0164	trample	piétiner, fouler aux pieds			1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0165	wave (hand as a greeting) (v)	faire signe de la main			1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0166	indicate, point (as with the finger)	indiquer du doigt			1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0167	clap (hands)	battre des mains			1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0168	slap (v)	gifler, donner une claque			1	3		MANÕS PHYSICAL BEING	BODY MOVEMENT	
0169	stand	(être, se tenir) debout	12.15	to stand	1	4	1	MANÕS PHYSICAL BEING	BODY STATES AND CONDITIONS	Body positions
0170	straddle	chevaucher			1	4	1	MANÕS PHYSICAL BEING	BODY STATES AND CONDITIONS	Body positions
0171	lean against (intr)	s'appuyer (contre)			1	4	1	MANÕS PHYSICAL BEING	BODY STATES AND CONDITIONS	Body positions
0172	bend down, stoop	se courber, se pencher			1	4	1	MANÕS PHYSICAL BEING	BODY STATES AND CONDITIONS	Body positions
0173	bow (as in greeting)	s'incliner (pour saluer)			1	4	1	MANÕS PHYSICAL BEING	BODY STATES AND CONDITIONS	Body positions
0174	(be) seated	(être) assis			1	4	1	MANÕS PHYSICAL BEING	BODY STATES AND CONDITIONS	Body positions
0175	squat	s'accroupir		to squat	1	4	1	MANÕS PHYSICAL BEING	BODY STATES AND CONDITIONS	Body positions
0176	kneel	s'agenouiller	10.412	to kneel	1	4	1	MANÕS PHYSICAL BEING	BODY STATES AND CONDITIONS	Body positions
0177	(be) lying down	(être) couché, étendu			1	4	1	MANÕS PHYSICAL BEING	BODY STATES AND CONDITIONS	Body positions
0178	(be) hot (of person)	(avoir) chaud			1	4	2	MANÕS PHYSICAL BEING	BODY STATES AND CONDITIONS	Body conditions
0179	(be) hungry, hunger (v)	(avoir) faim			1	4	2	MANÕS PHYSICAL BEING	BODY STATES AND CONDITIONS	Body conditions
0180	(be) sated	(être) rassasié			1	4	2	MANÕS PHYSICAL BEING	BODY STATES AND CONDITIONS	Body conditions
0181	(be) thirsty, thirst (v)	(avoir) soif			1	4	2	MANÕS PHYSICAL BEING	BODY STATES AND CONDITIONS	Body conditions
0182	(be) drunk	(être) soûl			1	4	2	MANÕS PHYSICAL BEING	BODY STATES AND CONDITIONS	Body conditions
0183	(be) tired	(être) fatigué			1	4	2	MANÕS PHYSICAL BEING	BODY STATES AND CONDITIONS	Body conditions
0184	(be) sleepy	(avoir) sommeil			1	4	2	MANÕS PHYSICAL BEING	BODY STATES AND CONDITIONS	Body conditions
0185	rest	se reposer	4.912	to rest	1	4	2	MANÕS PHYSICAL BEING	BODY STATES AND CONDITIONS	Body conditions
0186	(be) awake, alert	(être) réveillé, vigilant, éveillé			1	4	2	MANÕS PHYSICAL BEING	BODY STATES AND CONDITIONS	Body conditions
0187	wrinkle (on skin)	ride (sur la peau)			1	5		MANÕS PHYSICAL BEING	IRREGULAR CONDITIONS	
0188	pimple	bouton (sur la peau)			1	5		MANÕS PHYSICAL BEING	IRREGULAR CONDITIONS	
0189	hump (of hunchback)	bosse (d'un bossu)			1	5		MANÕS PHYSICAL BEING	IRREGULAR CONDITIONS	
0190	(be) bald	(être) chauve			1	5	1	MANÕS PHYSICAL BEING	IRREGULAR CONDITIONS	Abnormal qualities (adjectival)
0191	(be) blind	(être) aveugle			1	5	1	MANÕS PHYSICAL BEING	IRREGULAR CONDITIONS	Abnormal qualities (adjectival)
0192	(be) myopic, (be) shortsighted	(être) myope			1	5	1	MANÕS PHYSICAL BEING	IRREGULAR CONDITIONS	Abnormal qualities (adjectival)
0193	(be) thin	(être) maigre, mince			1	5	1	MANÕS PHYSICAL BEING	IRREGULAR CONDITIONS	Abnormal qualities (adjectival)
0194	(be) impotent	(être) impuissant			1	5	1	MANÕS PHYSICAL BEING	IRREGULAR CONDITIONS	Abnormal qualities (adjectival)
0195	barren woman	femme stérile			1	5	2	MANÕS PHYSICAL BEING	IRREGULAR CONDITIONS	HANDICAPPED PEOPLE
0196	blind person	(un) aveugle			1	5	2	MANÕS PHYSICAL BEING	IRREGULAR CONDITIONS	HANDICAPPED PEOPLE
0197	deaf (mute) person	sourd-muet			1	5	2	MANÕS PHYSICAL BEING	IRREGULAR CONDITIONS	HANDICAPPED PEOPLE
0198	hunchback	bossu			1	5	2	MANÕS PHYSICAL BEING	IRREGULAR CONDITIONS	HANDICAPPED PEOPLE
0199	cripple (n)	estropié, mutilé			1	5	2	MANÕS PHYSICAL BEING	IRREGULAR CONDITIONS	HANDICAPPED PEOPLE
0200	dwarf	nain			1	5	2	MANÕS PHYSICAL BEING	IRREGULAR CONDITIONS	HANDICAPPED PEOPLE
0201	giant	géant			1	5	2	MANÕS PHYSICAL BEING	IRREGULAR CONDITIONS	HANDICAPPED PEOPLE
0202	stupid person	imbécile, idiot			1	5	2	MANÕS PHYSICAL BEING	IRREGULAR CONDITIONS	HANDICAPPED PEOPLE
0203	senile person	personne sénile			1	5	2	MANÕS PHYSICAL BEING	IRREGULAR CONDITIONS	HANDICAPPED PEOPLE
0204	mad person	(un) fou, insensé			1	5	2	MANÕS PHYSICAL BEING	IRREGULAR CONDITIONS	HANDICAPPED PEOPLE
0205	(be) healthy, (be) well	(être) bien portant			1	6		MANÕS PHYSICAL BEING	HEALTH AND DISEASE	
0206	(be) sick, (be) ill	(être) malade			1	6		MANÕS PHYSICAL BEING	HEALTH AND DISEASE	
0207	hurt oneself	se blesser			1	6		MANÕS PHYSICAL BEING	HEALTH AND DISEASE	
0208	heal (tr), cure (v)	guérir			1	6		MANÕS PHYSICAL BEING	HEALTH AND DISEASE	
0209	medicine	médicament, remède	4.88	the medicine	1	6		MANÕS PHYSICAL BEING	HEALTH AND DISEASE	
0210	get well, recover	se remettre, (se) guérir			1	6		MANÕS PHYSICAL BEING	HEALTH AND DISEASE	
0211	revive	reprendre connaissance			1	6		MANÕS PHYSICAL BEING	HEALTH AND DISEASE	
0212	abscess (n)	abcès			1	6	1	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Abnormalities
0213	swelling	enflure	4.853	the swelling	1	6	1	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Abnormalities
0214	tumour	tumeur			1	6	1	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Abnormalities
0215	bruise (n)	contusion, bleu			1	6	1	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Abnormalities
0216	burn (n)	brûlure			1	6	1	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Abnormalities
0217	goiter	goitre			1	6	1	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Abnormalities
0218	hernia (umbilical)	hernie			1	6	1	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Abnormalities
0219	ulcer (leg)	ulcère			1	6	1	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Abnormalities
0220	wound, sore	plaie, blessure			1	6	1	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Abnormalities
0221	pus	pus	4.857	the pus	1	6	1	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Abnormalities
0222	scar	cicatrice	4.858	the scar	1	6	1	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Abnormalities
0223	intestinal worm	vers intestinal			1	6	1	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Abnormalities
0224	illness, disease	maladie			1	6	2	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Diseases
0225	elephantiasis	éléphantiasis			1	6	2	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Diseases
0226	ringworm	teigne			1	6	2	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Diseases
0227	leprosy	lèpre			1	6	2	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Diseases
0228	malaria (fever)	paludisme (la fièvre)			1	6	2	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Diseases
0229	fever (not malaria)	fièvre (non-paludéenne)			1	6	2	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Diseases
0230	pain (n)	douleur			1	6	2	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Diseases
0231	give pain, hurt	faire mal			1	6	2	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Diseases
0232	throb (with pain)	lanciner, faire des élancements			1	6	2	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Diseases
0233	vomit (v)	vomir			1	6	2	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Diseases
0234	stomachache, upset stomach	mal de ventre, colique			1	6	2	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Diseases
0235	headache	malde tête			1	6	2	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Diseases
0236	diarrhea	diarrhea			1	6	2	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Diseases
0237	scabies (the itch)	démangeaison, gale			1	6	2	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Diseases
0238	life	vie	4.741	the life	1	6	3	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Life and death
0239	(be) alive	(être) vivant, en vie			1	6	3	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Life and death
0240	menstrual period	règles (d'une femme)			1	6	3	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Life and death
0241	(be) pregnant	(être) enceinte, en grossesse			1	6	3	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Life and death
0242	miscarriage	fausses couches			1	6	3	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Life and death
0243	labour (n), birth pains	labeur, douleur d'accouchement			1	6	3	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Life and death
0244	bear (child), give birth	accoucher, donner naissance, engendrer			1	6	3	MANÕS PHYSICAL BEING	HEALTH AND DISEASE	Life and death
