NUMBER	GLOSS	MSEA_281	MSEA_436	Matisoff_209	Swadesh_100	Swadesh_200	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
61	buttocks	---	buttocks	---	---	---	834	BUTTOCKS (noun)	3

62	buy	buy	buy	buy	---	---	1869	BUY (verb)	3

63	calf	calf	calf	---	---	---	1989	CALF (noun)	3

64	candle	---	candle	---	---	---	1273	CANDLE (noun)	3

66	cat	---	cat	---	---	---	1208	CAT (noun)	3

67	cave	---	cave	---	---	---	1155	CAVE (noun)	3

68	cheek	---	cheek	---	---	---	1730	CHEEK (noun)	3

69	chicken	chicken	chicken	---	---	---	1318	CHICKEN (noun)	3

70	child	child	child	child/son	---	child	1304	CHILD (YOUNG HUMAN) (noun)	3

71	chin	---	chin	---	---	---	1510	CHIN (noun)	3

72	choose	---	choose	---	---	---	1750	CHOOSE (verb)	3

73	claw	finger nail	finger nail	nail/claw	claw	---	72	CLAW (noun)	3

74	climb/ascend	---	---	climb/ascend	---	---	1102	CLIMB (verb)	3
74	climb/ascend	---	---	climb/ascend	---	---	705	GO UP, ASCEND (verb)	3

75	clothing	clothing	clothing	---	---	---	2088	CLOTHING (CLASSIFIER) (classifier)	3

76	cloud	cloud	cloud	cloud	cloud	cloud	1489	CLOUD (noun)	3

77	cockroach	---	cockroach	---	---	---	1575	COCKROACH (noun)	3

78	coconut	coconut	coconut	---	---	---	970	COCONUT (noun)	3

79	cold	cold	cold	cold	cold	cold	1287	COLD (OF TEMPERATURE) (adjective)	3

80	comb	---	comb	---	---	---	1475	COMB (noun)	3

81	come	come	come	---	come	come	1446	COME (verb)	3

82	cook/boil	cook	cook	cook/boil	---	---	1100	COOK (SOMETHING) (verb)	3
82	cook/boil	cook	cook	cook/boil	---	---	792	BOIL (OF LIQUID) (verb)	3

85	correct	correct	correct	---	---	right/correct	1725	CORRECT (RIGHT) (adjective)	3

86	cough	---	cough	cough	---	---	879	COUGH (verb)	3

87	count	count	count	---	---	count	1420	COUNT (verb)	3

88	cow	cow	cow	---	---	---	1007	COW (noun)	3

89	crawl	---	crawl	---	---	---	96	CRAWL (verb)	3

91	crocodile	---	crocodile	---	---	---	1857	CROCODILE (noun)	3

92	cut	cut	stab	cut	---	cut	1432	CUT (verb)	3

93	dance	dance	dance	---	---	---	1879	DANCE (verb)	3

94	dark	---	dark	---	---	---	706	DARK (adjective)	3

95	day	day	day	---	---	day	1225	DAY (NOT NIGHT) (noun)	3

96	deaf	---	deaf	---	---	---	996	DEAF (adjective)	3

97	deep	---	deep	---	---	---	1593	DEEP (adjective)	3

98	deer	deer	deer	---	---	---	1936	DEER (noun)	3

99	descend	---	---	descend	---	---	2014	GO DOWN, DESCEND (verb)	3

100	die	die	die	die	die	die	1494	DIE (verb)	3

101	difficult	---	difficult	---	---	---	584	DIFFICULT (adjective)	3

102	dig	dig	dig	dig	---	dig	1418	DIG (verb)	3

103	dirty	dirty	dirty	---	---	dirty	1230	DIRTY (adjective)	3

104	disappear	---	disappear	---	---	---	485	DISAPPEAR (verb)	3

106	do/make	---	do/make	---	---	---	813	DO (verb)	3
106	do/make	---	do/make	---	---	---	734	MAKE (verb)	3

107	dog	dog	dog	dog	dog	dog	2009	DOG (noun)	3

109	door	---	door	---	---	---	1567	DOOR (noun)	3

110	dove	---	---	dove	---	---	1853	DOVE (noun)	3

111	dream	---	dream	dream	---	---	1920	DREAM (SOMETHING) (verb)	3

112	drink	drink	drink	drink	drink	drink	1401	DRINK (verb)	3

113	drum	drum	drum	---	---	---	908	DRUM (noun)	3

114	drunk	drunk	drunk	---	---	---	1463	DRUNK (adjective)	3

115	dry	dry	dry	---	dry	dry	1398	DRY (adjective)	3

116	duck	duck	duck	---	---	---	1360	DUCK (noun)	3

117	dull	blunt	blunt	---	---	dull	1397	DULL (adjective)	3

118	dust	dust	dust	---	---	dust	2	DUST (noun)	3

119	dye	---	dye	---	---	---	157	DYE (verb)	3

120	ear	ear	ear	ear/hear	ear	ear	1247	EAR (noun)	3

121	earth/soil	earth	earth	earth	earth	earth	1228	EARTH (SOIL) (noun)	3
121	earth/soil	earth	earth	earth	earth	earth	1015	SOIL (verb)	3

122	east	---	east	---	---	---	1877	EAST (noun)	3

123	easy	---	easy	---	---	---	686	EASY (adjective)	3

124	eat	eat	eat	eat	eat	eat	1336	EAT (verb)	3

125	egg	egg	egg	egg	egg	egg	744	EGG (noun)	3

128	elbow	---	elbow	---	---	---	981	ELBOW (noun)	3

129	elephant	elephant	elephant	---	---	---	1290	ELEPHANT (noun)	3

131	enter	enter	enter	---	---	---	749	ENTER (verb)	3

134	extinguish	---	extinguish	extinguish	---	---	127	EXTINGUISH (verb)	3

135	eye	eye	eye	eye	eye	eye	1248	EYE (noun)	3

136	eyebrow	---	eyebrow	---	---	---	1173	EYEBROW (noun)	3

137	eyelid	---	eyelid	---	---	---	17	EYELID (noun)	3

138	face	---	face	---	---	---	1560	FACE (noun)	3

140	far	far	far	far	---	far	1406	FAR (adjective)	3

141	fast	---	fast	---	---	---	1631	FAST (adjective)	3

143	fat (adj.)	---	fat	fat	---	---	1279	FAT (OBESE) (adjective)	3

144	father	father	father	---	---	father	1217	FATHER (noun)	3

145	feather	feather	feather	hair (body)	feather	feather	1201	FEATHER (noun)	3

147	field	---	---	field	---	---	212	FIELD (noun)	3

148	fight	fight	fight	---	---	fight	1423	FIGHT (verb)	3

149	finger	---	finger	finger/toe	---	---	1303	FINGER (noun)	3

150	fire	fire	fire	fire	fire	fire	221	FIRE (noun)	3

151	firewood	firewood	firewood	---	---	---	10	FIREWOOD (noun)	3

152	fish	fish	fish	fish	fish	fish	227	FISH (noun)	3

154	flesh/meat	flesh	flesh	---	flesh	meat	2259	FLESH (OF A HUMAN) (noun)	3
154	flesh/meat	flesh	flesh	---	flesh	meat	634	MEAT (noun)	3

155	float	float	float	---	---	float	1574	FLOAT (verb)	3

156	flow	flow	flow	---	---	flow	2003	FLOW (verb)	3

157	flower	flower	flower	flower	---	flower	239	FLOWER (noun)	3

158	fly	fly	fly	fly	fly	fly	1504	FLY (INSECT) (noun)	3

160	fog	mist	mist	---	---	fog	249	FOG (noun)	3

161	foot	foot	foot	foot	foot	foot	1301	FOOT (noun)	3

162	forehead	---	forehead	---	---	---	123	FOREHEAD (noun)	3

163	forget	---	forget	forget	---	---	1523	FORGET (verb)	3

165	fowl	---	---	fowl	---	---	265	FOWL (noun)	3

166	freeze	freeze	---	---	---	freeze	1431	FREEZE (verb)	3

167	friend	---	friend	---	---	---	1325	FRIEND (noun)	3

168	frog	---	frog	frog	---	---	503	FROG (noun)	3

169	fruit	fruit	fruit	fruit	---	fruit	1507	FRUIT (noun)	3

170	full	full	full	full	full	---	1429	FULL (adjective)	3

171	full	full	full	---	---	---	1429	FULL (adjective)	3

172	garlic	---	garlic	---	---	---	2368	GARLIC (noun)	3

173	ghost	---	ghost	---	---	---	1175	GHOST (noun)	3

176	give	give	give	give	give	give	1447	GIVE (verb)	3

177	gold	gold	gold	---	---	---	1369	GOLD (noun)	3

179	good	good	good	---	good	good	1035	GOOD (adjective)	3

180	grandchild (nephew)	---	---	grandchild	---	---	1617	GRANDCHILD (noun)	3

181	grass	grass	grass	grass	---	grass	606	GRASS (noun)	3

182	grease	---	---	---	grease	---	323	GREASE (noun)	3

183	green	green	green	---	green	green	1425	GREEN (adjective)	3

184	grind	---	grind	grind	---	---	1033	GRIND (verb)	3

185	gums	---	gums	---	---	---	139	GUMS (noun)	3

186	hair	hair	hair	hair (head)	hair	hair	1040	HAIR (noun)	3

187	half	---	half a unit	---	---	---	816	HALF (noun)	3

189	hand	hand/arm	hand/arm	hand/arm	hand	hand	1277	HAND (noun)	3

190	hard	---	hard	---	---	---	1884	HARD (adjective)	3

191	hate	---	hate	---	---	---	1607	HATE (verb)	3

193	head	head	head	head	head	head	1256	HEAD (noun)	3

194	hear	hear	hear	---	hear	hear	1408	HEAR (verb)	3

195	heart	heart	heart	heart	heart	heart	1223	HEART (noun)	3

196	heavy	heavy	heavy	heavy	---	heavy	1210	HEAVY (adjective)	3

197	heel	---	heel	---	---	---	980	HEEL (noun)	3

200	hit	hit	hit	---	---	hit	1433	HIT (verb)	3

201	hold	---	---	---	---	hold	1448	HOLD (verb)	3

202	horn	horn	horn	horn	horn	---	1393	HORN (KERATINIZED SKIN) (noun)	3

203	horse	---	---	horse	---	---	615	HORSE (noun)	3

204	hot	hot	hot	---	hot	---	1286	HOT (adjective)	3

205	house	house	house	house	---	---	1252	HOUSE (noun)	3

208	hungry	---	hungry	---	---	---	1533	BE HUNGRY (verb)	3

209	hunt	hunt	hunt	hunt/drive	---	hunt	1435	HUNT (verb)	3

211	husband	husband	husband	---	---	husband	1200	HUSBAND (noun)	3

213	ice	---	---	---	---	ice	617	ICE (noun)	3

217	insect	---	insect	insect/bug/vermin	---	---	620	INSECT (noun)	3

219	iron	---	iron	iron	---	---	621	IRON (noun)	3

221	itchy	---	itch	itchy	---	---	149	ITCHY (adjective)	3

223	joint	---	---	joint	---	---	999	JOINT (noun)	3

225	kick	---	kick	kick	---	---	1135	KICK (verb)	3

226	kill	kill	kill	kill	kill	kill	1417	KILL (verb)	3

227	knee	knee	knee	---	knee	---	1371	KNEE (noun)	3

228	kneel	---	kneel	---	---	---	66	KNEEL (verb)	3

229	knife	---	knife	---	---	---	2082	KNIFE (CLASSIFIER) (classifier)	3

230	know	know	know	know	know	know	2248	KNOW (SOMEBODY) (verb)	3

232	lake	lake	---	---	---	lake	624	LAKE (noun)	3

233	laugh	laugh	laugh	laugh	---	laugh	1355	LAUGH (verb)	3

235	leaf	leaf	leaf	leaf	leaf	leaf	2250	LEAF (LEAFLIKE OBJECT) (noun)	3

236	leech (land)	---	land leech	leech (land)	---	---	2273	LEECH (noun)	3

237	left (hand)	left (side)	left (side)	Left side	---	left (hand)	244	LEFT (adjective)	3

238	leg	leg	leg	---	---	leg	1297	LEG (noun)	3

239	lick	---	lick	lick	---	---	319	LICK (verb)	3

241	lie, fib	lie, fib	lie, fib	---	---	---	1411	LIE (REST) (verb)	3
242	lift	---	lift	---	---	---	501	LIFT (verb)	3

243	lightning	---	lightning	---	---	---	1654	LIGHTNING (noun)	3

245	lime	---	lime for betel	---	---	---	982	LIME (noun)	3

246	liquor	---	liquor	liquor	---	---	842	LIQUOR (noun)	3

247	live	live	---	---	---	live	2309	LIVE (verb)	3

248	liver	liver	liver	liver	liver	liver	1224	LIVER (noun)	3

249	lizard (house)	---	lizard (house)	---	---	---	632	LIZARD (noun)	3

250	long	long	long	long/tall	long	long	1203	LONG (adjective)	3

252	louse	louse	louse	louse	louse	louse	1392	LOUSE (noun)	3

253	love	---	love	---	---	---	923	LOVE (verb)	3

255	man	man	man	---	man (male)	man (male)	1554	MAN (noun)	3

258	marrow	---	---	marrow	---	---	1835	MARROW (noun)	3

259	mat	---	mat	---	---	---	195	MAT (noun)	3

260	medicine	---	medicine	medicine/juice	---	---	1372	MEDICINE (noun)	3

261	monkey	monkey	monkey	monkey	---	---	1350	MONKEY (noun)	3

262	monkey	monkey	monkey	---	---	---	1350	MONKEY (noun)	3

263	moon	moon	moon	moon	moon	---	1313	MOON (noun)	3

264	morning	---	morning	---	---	---	1339	MORNING (noun)	3

266	mosquito	mosquito	mosquito	---	---	---	1509	MOSQUITO (noun)	3

267	mother	mother	mother	---	---	mother	1216	MOTHER (noun)	3

268	mountain	mountain	mountain	mountain	mountain	mountain	639	MOUNTAIN (noun)	3

269	mouth	mouth	mouth	mouth	mouth	mouth	674	MOUTH (noun)	3

270	mud	mud	---	---	---	---	640	MUD (noun)	3

271	mushroom/fungus	---	mushroom	mushroom/fungus	---	---	641	MUSHROOM (noun)	3
272	naked	---	naked	---	---	---	590	NAKED (adjective)	3

273	name	name	name	name	name	name	1405	NAME (noun)	3

274	narrow	narrow	narrow	---	---	narrow	1267	NARROW (adjective)	3

275	navel	---	navel	---	---	---	1838	NAVEL (noun)	3

276	navel	---	---	navel	---	---	1838	NAVEL (noun)	3

277	near	near	near	near	---	near	1942	NEAR (adjective)	3

278	neck	neck	---	neck	neck	neck	1333	NECK (noun)	3

279	needle	---	needle	needle	---	---	1382	NEEDLE (FOR SEWING) (noun)	3

280	new	new	new	new	new	new	1231	NEW (adjective)	3

281	night	night	night	night	night	night	1233	NIGHT (noun)	3

284	north	---	north	---	---	---	1598	NORTH (noun)	3

285	nose	nose	nose	nose	nose	nose	1221	NOSE (noun)	3

291	otter	---	---	otter	---	---	15	OTTER (noun)	3

295	paper	---	paper	---	---	---	648	PAPER (noun)	3

296	pay	---	pay	---	---	---	718	PAY (verb)	3

297	peanut	---	peanut	---	---	---	2364	PEANUT (noun)	3

299	penis	---	---	penis	---	---	1222	PENIS (noun)	3

300	person	person	person	person	person	person	516	PERSON (CLASSIFIER) (classifier)	3

301	pestle	pestle	pestle	---	---	---	225	PESTLE (noun)	3

304	pig	pig	pig	pig	---	---	2169	PIG (CLASSIFIER) (classifier)	3

305	pillow	---	pillow	---	---	---	1044	PILLOW (noun)	3

306	plant	---	plant	---	---	---	1486	PLANT (SOMETHING) (verb)	3

307	plate	---	plate	---	---	---	480	PLATE (noun)	3

308	play	play	play	---	---	play	1413	PLAY (verb)	3

309	poison	---	---	poison	---	---	655	POISON (noun)	3

311	pot (cooking)	---	pot	---	---	---	1462	POT (noun)	3

312	pound (rice)	---	pound	---	---	---	354	POUND (verb)	3

313	pull	pull	pull	---	---	pull	1455	PULL (verb)	3

314	pus	---	pus	---	---	---	1808	PUS (noun)	3

315	push	push	push	---	---	push	1452	PUSH (verb)	3

316	put/place	---	---	put/place	---	---	998	PUT (verb)	3
316	put/place	---	---	put/place	---	---	723	PLACE (POSITION) (noun)	3

317	rabbit	rabbit	rabbit	---	---	---	1136	RABBIT (noun)	3

318	rain	rain	rain	rain (n.)	rain	rain	658	RAIN (PRECIPATION) (noun)	3

319	rainbow	rainbow	rainbow	---	---	---	1733	RAINBOW (noun)	3

320	rat	rat	rat	rat/rodent	---	---	1490	RAT (noun)	3

321	red	red	red	red	red	red	156	RED (adjective)	3

324	rib	—	rib	---	---	---	801	RIB (noun)	3

325	rice (cooked)	rice (cooked)	cooked rice	rice (cooked)	---	---	926	RICE (noun)	3

326	rice (in fields)	rice (field)	paddy rice	rice (in fields)	---	---	926	RICE (noun)	3

327	rice (pounded)	pounded rice	pounded rice	---	---	---	926	RICE (noun)	3

329	right(hand)	right (side)	right (side)	right side	---	right (hand)	1019	RIGHT (adjective)	3

330	ring (finger)	---	ring	---	---	---	1374	RING (noun)	3

331	ripe	---	ripe	ripe/well-cooked	---	---	178	RIPE (adjective)	3

332	river	river	river	river/valley	---	river	666	RIVER (noun)	3

333	road (path)	road (path)	road (path)	road	road	road	667	ROAD (noun)	3

334	roof	roof	roof	---	---	---	769	ROOF (noun)	3

335	root	root	root	root	root	root	670	ROOT (noun)	3

336	rope	cord	---	---	---	rope	1218	ROPE (noun)	3

337	rotten	rotten	rotten	---	---	rotten	1728	ROTTEN (adjective)	3

338	round	round	round	round	round	---	1395	ROUND (adjective)	3

339	rub	rub (scrub)	rub	rub	---	rub	1449	RUB (verb)	3

340	run/flee	---	---	run/flee	---	---	1519	RUN (verb)	3
340	run/flee	---	---	run/flee	---	---	956	FLEE (verb)	3

341	saliva	---	saliva	---	---	---	1503	SALIVA (noun)	3

342	salt	salt	salt	salt	---	salt	1274	SALT (noun)	3

344	sand	sand	sand	---	sand	sand	671	SAND (noun)	3

346	scorpion	scorpion	scorpion	---	---	---	1538	SCORPION (noun)	3

347	scratch	scratch	scratch	scratch/scrape	---	scratch	1436	SCRATCH (verb)	3

348	sea	sea	sea	---	---	sea	1474	SEA (noun)	3

349	see	see	see	see	see	see	1409	SEE (verb)	3

350	seed	seed	seed	---	seed	seed	714	SEED (noun)	3

351	sell	---	sell	sell	---	---	1571	SELL (verb)	3

353	sew	sew	sew	sew	---	sew	1457	SEW (verb)	3

354	shade/shadow	---	shadow	shade/shadow	---	---	1388	SHADE (noun)	3
354	shade/shadow	---	shadow	shade/shadow	---	---	2275	SHADOW (noun)	3

355	shallow	---	shallow	---	---	---	193	SHALLOW (adjective)	3

356	sharp	sharp	sharp	sharp	---	sharp	1396	SHARP (adjective)	3

357	shave (beard)	---	shave (beard)	---	---	---	231	SHAVE (verb)	3

358	shin	---	shin	---	---	---	186	SHIN (noun)	3

359	shiver	---	shiver	---	---	---	52	SHIVER (verb)	3

360	shoot	shoot	shoot	shoot	---	---	1172	SHOOT (verb)	3

361	short (height)	short (height)	short (height)	---	---	short	1645	SHORT (adjective)	3

362	short (length)	short (length)	short (length)	---	---	---	1645	SHORT (adjective)	3

363	shout	---	shout	---	---	---	715	SHOUT (verb)	3

364	silver	silver	silver	silver	---	---	759	SILVER (noun)	3

365	sing	sing	sing	---	---	sing	1261	SING (verb)	3

367	sister (eldr. of f.)	sister (eldr. of f.)	sister (eldr. of f.)	---	---	---	562	SISTER (OF WOMAN) (noun)	3

368	sister (eldr. of m.)	sister (eldr. of m.)	sister (elder of m)	---	---	---	562	SISTER (OF WOMAN) (noun)	3

369	sister (yngr. of f.)	---	sister (yngr. of f.)	---	---	---	562	SISTER (OF WOMAN) (noun)	3

370	sister (yngr. of m.)	---	sister (yngr. of m.)	---	---	---	562	SISTER (OF WOMAN) (noun)	3

371	sit	sit	sit	sit	sit	sit	1416	SIT (verb)	3

373	skin	skin	skin	skin/bark	skin	skin	763	SKIN (noun)	3

375	sky	sky	sky	sky	---	sky	1732	SKY (noun)	3

376	sleep	sleep	sleep	sleep/lie down	sleep	sleep	1585	SLEEP (verb)	3

378	slow	---	slow	---	---	---	701	SLOW (adjective)	3

379	small	small	small	---	small	small	1246	SMALL (adjective)	3

380	smell	smell	smell	smell	---	smell	2124	SMELL (verb)	3

381	smile	---	smile	---	---	---	1451	SMILE (verb)	3

382	smoke	smoke	smoke	smoke	smoke	smoke	778	SMOKE (EXHAUST) (noun)	3

383	smooth	smooth	smooth	---	---	smooth	1234	SMOOTH (adjective)	3

384	snail	---	snail	---	---	---	1543	SNAIL (noun)	3

385	snake	snake	snake	snake	---	snake	730	SNAKE (noun)	3

386	sneeze	---	sneeze	---	---	---	1621	SNEEZE (verb)	3

387	snore	---	snore	---	---	---	1983	SNORE (verb)	3

388	snot	---	---	snot	---	---	208	NASAL MUCUS, SNOT (noun)	3

389	snow	---	---	---	---	snow	784	SNOW (noun)	3

390	soft (touch)	---	---	soft (touch)	---	---	1856	SOFT (adjective)	3

392	son-in-law	---	son-in-law	son-in-law	---	---	2266	SON-IN-LAW (OF WOMAN (noun)	3

393	sour	---	sour	sour	---	---	1906	SOUR (adjective)	3

394	south	---	south	---	---	---	1595	SOUTH (noun)	3

395	speak	speak	speak	---	say	say	1623	SPEAK (verb)	3

396	spear	spear	spear	---	---	---	945	SPEAR (noun)	3

397	spicy, hot	---	spicy, hot	---	---	---	544	SPICY (adjective)	3
397	spicy, hot	---	spicy, hot	---	---	---	1286	HOT (adjective)	3

398	spider	spider	spider	---	---	---	843	SPIDER (noun)	3

399	spider web	---	spider web	---	---	---	1065	SPIDER WEB (noun)	3

400	spit	spit	spit	spit (n)	---	spit	1440	SPIT (verb)	3

401	split	split	split	---	---	split	1437	SPLIT (verb)	3

403	spoon	---	spoon	---	---	---	1378	SPOON (noun)	3

404	squeeze	squeeze	---	squeeze	---	squeeze	1414	SQUEEZE (verb)	3

405	stab	stab	stab	---	---	stab	1434	STAB (verb)	3

406	stand	stand	stand	stand	stand	stand	1442	STAND (verb)	3

407	star	star	star	star	star	star	1430	STAR (noun)	3

408	steal	---	steal	steal	---	---	713	STEAL (verb)	3

409	stick	stick	---	stick	---	stick	1295	STICK (noun)	3

410	stone	stone	stone	stone	stone	stone	857	STONE (noun)	3

411	straight	straight	straight	---	---	straight	1404	STRAIGHT (adjective)	3

412	stream	---	stream	---	---	---	947	STREAM (noun)	3

413	strong	---	strong	---	---	---	785	STRONG (adjective)	3

414	suck	suck (milk)	suck	---	---	suck	1421	SUCK (verb)	3

416	sun	sun	sun	sun/day	sun	---	1343	SUN (noun)	3

417	swallow	---	swallow	---	---	---	897	SWALLOW (verb)	3

418	sweat	---	sweat	sweat	---	---	126	PERSPIRE, SWEAT (verb)	3

